Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 3819+'],[' 1913'],"[' 602.195s (Solving', ' 593.33s 1st Model', ' 233.15s Unsat', ' 0.00s)']",[' 600.625s'], ,[' 238761184'],"[' 10272151 (Analyzed', ' 9936302)']","[' 22403    (Average', ' 443.53 Last', ' 456753)']",[' 3557.3  '],"[' 1913     (Average Length', ' 989.40 Splits', ' 0)']","[' 9936302  (Deleted', ' 9831475)']","[' 344      (Ratio', '   0.00%)']","[' 32365    (Ratio', '   0.33%)']","[' 9936302  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9936302  (Average', ' 23.49 Max', ' 3289 Sum', ' 233409850)']","[' 9935762  (Average', ' 23.44 Max', ' 3209 Sum', ' 232886488 Ratio', '  99.78%)']","[' 540      (Average', ' 969.19 Max', ' 1120 Sum', ' 523362 Ratio', '   0.22%)']", ,[' 92027   '],[' 5915    '],[' 85903   '],[' 38885   '],"[' 114319   (Atom=Atom', ' 29832 Body=Body', ' 19775 Other', ' 64712)']",[' Yes'],"[' 7903     (Eliminated', '    0 Frozen', ' 7903)']","[' 4791     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.04491'],[' 0'], ,[' 313.155'],[' 0'],[' 17.2789'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.41458e+08'],[' 6.05047e+08'],[' 0'],[' 1.7641e+10'],[' 0'],[' 0'],[' 1119 '],[' 2156 '],[' 2966 '],[' 3 '],[' 0 ']
Solving...,TA52, , ,[' 1'],[' 3509+'],[' 1758'],"[' 601.941s (Solving', ' 594.24s 1st Model', ' 215.08s Unsat', ' 0.00s)']",[' 600.922s'], ,[' 232084036'],"[' 11092355 (Analyzed', ' 10673810)']","[' 21771    (Average', ' 490.28 Last', ' 1280558)']",[' 3598.5  '],"[' 1758     (Average Length', ' 930.66 Splits', ' 0)']","[' 10673810 (Deleted', ' 10561232)']","[' 316      (Ratio', '   0.00%)']","[' 35182    (Ratio', '   0.33%)']","[' 10673810 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10673810 (Average', ' 21.24 Max', ' 3368 Sum', ' 226689837)']","[' 10673266 (Average', ' 21.19 Max', ' 3366 Sum', ' 226171649 Ratio', '  99.77%)']","[' 544      (Average', ' 952.55 Max', ' 1098 Sum', ' 518188 Ratio', '   0.23%)']", ,[' 92391   '],[' 6003    '],[' 86105   '],[' 39173   '],"[' 115250   (Atom=Atom', ' 30029 Body=Body', ' 20039 Other', ' 65182)']",[' Yes'],"[' 7882     (Eliminated', '    0 Frozen', ' 7882)']","[' 5128     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.67092'],[' 0'], ,[' 312.437'],[' 0'],[' 16.4169'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.28848e+08'],[' 6.00085e+08'],[' 0'],[' 1.7501e+10'],[' 0'],[' 0'],[' 1211 '],[' 2227 '],[' 3094 '],[' 3 '],[' 0 ']
Solving...,TA53, , ,[' 1'],[' 3595+'],[' 1801'],"[' 602.045s (Solving', ' 594.23s 1st Model', ' 390.02s Unsat', ' 0.00s)']",[' 601.125s'], ,[' 266094052'],"[' 7642169  (Analyzed', ' 7287653)']","[' 18847    (Average', ' 386.67 Last', ' 662091)']",[' 3438.3  '],"[' 1801     (Average Length', ' 946.85 Splits', ' 0)']","[' 7287653  (Deleted', ' 7204618)']","[' 268      (Ratio', '   0.00%)']","[' 35414    (Ratio', '   0.49%)']","[' 7287653  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7287653  (Average', ' 35.84 Max', ' 3462 Sum', ' 261171734)']","[' 7287145  (Average', ' 35.76 Max', ' 3309 Sum', ' 260636827 Ratio', '  99.80%)']","[' 508      (Average', ' 1052.97 Max', ' 1757 Sum', ' 534907 Ratio', '   0.20%)']", ,[' 92664   '],[' 6021    '],[' 86431   '],[' 39248   '],"[' 115573   (Atom=Atom', ' 30144 Body=Body', ' 20093 Other', ' 65336)']",[' Yes'],"[' 7921     (Eliminated', '    0 Frozen', ' 7921)']","[' 4861     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.79292'],[' 0'], ,[' 272.041'],[' 0'],[' 17.9807'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.33129e+08'],[' 7.77002e+08'],[' 0'],[' 1.34493e+10'],[' 0'],[' 0'],[' 1054 '],[' 1970 '],[' 2813 '],[' 3 '],[' 0 ']
Solving...,TA54, , ,[' 1'],[' 3257+'],[' 1632'],"[' 601.882s (Solving', ' 594.58s 1st Model', ' 186.17s Unsat', ' 0.00s)']",[' 600.797s'], ,[' 253329602'],"[' 9042887  (Analyzed', ' 8723048)']","[' 18245    (Average', ' 478.11 Last', ' 321130)']",[' 3461.0  '],"[' 1632     (Average Length', ' 867.76 Splits', ' 0)']","[' 8723048  (Deleted', ' 8621387)']","[' 323      (Ratio', '   0.00%)']","[' 35659    (Ratio', '   0.41%)']","[' 8723048  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8723048  (Average', ' 28.50 Max', ' 3366 Sum', ' 248620616)']","[' 8722505  (Average', ' 28.45 Max', ' 3366 Sum', ' 248135647 Ratio', '  99.80%)']","[' 543      (Average', ' 893.13 Max', ' 1007 Sum', ' 484969 Ratio', '   0.20%)']", ,[' 92330   '],[' 6017    '],[' 85965   '],[' 39051   '],"[' 115008   (Atom=Atom', ' 29959 Body=Body', ' 20081 Other', ' 64968)']",[' Yes'],"[' 7791     (Eliminated', '    0 Frozen', ' 7791)']","[' 5081     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.69509'],[' 0'], ,[' 287.612'],[' 0'],[' 17.2518'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.47666e+08'],[' 7.01759e+08'],[' 0'],[' 1.49687e+10'],[' 0'],[' 0'],[' 1162 '],[' 2084 '],[' 2887 '],[' 3 '],[' 0 ']
Solving...,TA55, , ,[' 1'],[' 3271+'],[' 1639'],"[' 601.849s (Solving', ' 594.58s 1st Model', ' 151.27s Unsat', ' 0.00s)']",[' 600.219s'], ,[' 249970691'],"[' 8322178  (Analyzed', ' 8046999)']","[' 16588    (Average', ' 485.11 Last', ' 198143)']",[' 3386.7  '],"[' 1639     (Average Length', ' 850.09 Splits', ' 0)']","[' 8046999  (Deleted', ' 7960124)']","[' 362      (Ratio', '   0.00%)']","[' 36070    (Ratio', '   0.45%)']","[' 8046999  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8046999  (Average', ' 30.50 Max', ' 3263 Sum', ' 245439136)']","[' 8046457  (Average', ' 30.44 Max', ' 3188 Sum', ' 244939825 Ratio', '  99.80%)']","[' 542      (Average', ' 921.24 Max', ' 1008 Sum', ' 499311 Ratio', '   0.20%)']", ,[' 92186   '],[' 5984    '],[' 85801   '],[' 38906   '],"[' 114561   (Atom=Atom', ' 29834 Body=Body', ' 19982 Other', ' 64745)']",[' Yes'],"[' 7719     (Eliminated', '    0 Frozen', ' 7719)']","[' 5141     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.66984'],[' 0'], ,[' 287.742'],[' 0'],[' 17.3225'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.59622e+08'],[' 7.15502e+08'],[' 0'],[' 1.51835e+10'],[' 0'],[' 0'],[' 1135 '],[' 2180 '],[' 2989 '],[' 3 '],[' 0 ']
Solving...,TA56, , ,[' 1'],[' 3035+'],[' 1521'],"[' 601.698s (Solving', ' 594.97s 1st Model', ' 17.60s Unsat', ' 0.00s)']",[' 600.453s'], ,[' 205766627'],"[' 14986974 (Analyzed', ' 14648618)']","[' 27155    (Average', ' 539.44 Last', ' 15556)']",[' 3504.5  '],"[' 1521     (Average Length', ' 806.80 Splits', ' 0)']","[' 14648618 (Deleted', ' 14502111)']","[' 266      (Ratio', '   0.00%)']","[' 28333    (Ratio', '   0.19%)']","[' 14648618 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14648618 (Average', ' 13.73 Max', ' 3521 Sum', ' 201058291)']","[' 14648059 (Average', ' 13.69 Max', ' 3521 Sum', ' 200573574 Ratio', '  99.76%)']","[' 559      (Average', ' 867.11 Max', ' 957 Sum', ' 484717 Ratio', '   0.24%)']", ,[' 91689   '],[' 5948    '],[' 85200   '],[' 38643   '],"[' 113659   (Atom=Atom', ' 29572 Body=Body', ' 19874 Other', ' 64213)']",[' Yes'],"[' 7595     (Eliminated', '    0 Frozen', ' 7595)']","[' 3843     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5678'],[' 0'], ,[' 352.148'],[' 0'],[' 16.1514'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.54311e+08'],[' 4.45204e+08'],[' 0'],[' 2.10456e+10'],[' 0'],[' 0'],[' 1294 '],[' 2281 '],[' 3154 '],[' 3 '],[' 0 ']
Solving...,TA57, , ,[' 1'],[' 3515+'],[' 1761'],"[' 602.009s (Solving', ' 594.18s 1st Model', ' 44.79s Unsat', ' 0.00s)']",[' 600.141s'], ,[' 216109125'],"[' 11763464 (Analyzed', ' 11447587)']","[' 21108    (Average', ' 542.33 Last', ' 104773)']",[' 3428.0  '],"[' 1761     (Average Length', ' 907.27 Splits', ' 0)']","[' 11447587 (Deleted', ' 11316563)']","[' 311      (Ratio', '   0.00%)']","[' 34210    (Ratio', '   0.30%)']","[' 11447587 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11447587 (Average', ' 18.46 Max', ' 3332 Sum', ' 211305840)']","[' 11446999 (Average', ' 18.41 Max', ' 3209 Sum', ' 210738711 Ratio', '  99.73%)']","[' 588      (Average', ' 964.51 Max', ' 1063 Sum', ' 567129 Ratio', '   0.27%)']", ,[' 92215   '],[' 5985    '],[' 85900   '],[' 39073   '],"[' 114971   (Atom=Atom', ' 29960 Body=Body', ' 19985 Other', ' 65026)']",[' Yes'],"[' 7821     (Eliminated', '    0 Frozen', ' 7821)']","[' 5224     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.79452'],[' 0'], ,[' 337.699'],[' 0'],[' 16.5674'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.31072e+08'],[' 5.17153e+08'],[' 0'],[' 2.00818e+10'],[' 0'],[' 0'],[' 1241 '],[' 2381 '],[' 3230 '],[' 3 '],[' 0 ']
Solving...,TA58, , ,[' 1'],[' 3329+'],[' 1668'],"[' 601.887s (Solving', ' 594.39s 1st Model', ' 122.96s Unsat', ' 0.00s)']",[' 600.469s'], ,[' 249026743'],"[' 10926229 (Analyzed', ' 10636243)']","[' 22007    (Average', ' 483.31 Last', ' 281081)']",[' 3499.0  '],"[' 1668     (Average Length', ' 869.86 Splits', ' 0)']","[' 10636243 (Deleted', ' 10513205)']","[' 313      (Ratio', '   0.00%)']","[' 34103    (Ratio', '   0.32%)']","[' 10636243 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10636243 (Average', ' 22.95 Max', ' 3412 Sum', ' 244138066)']","[' 10635723 (Average', ' 22.91 Max', ' 3317 Sum', ' 243668766 Ratio', '  99.81%)']","[' 520      (Average', ' 902.50 Max', ' 1001 Sum', ' 469300 Ratio', '   0.19%)']", ,[' 92485   '],[' 6021    '],[' 86116   '],[' 39137   '],"[' 115232   (Atom=Atom', ' 30011 Body=Body', ' 20093 Other', ' 65128)']",[' Yes'],"[' 7799     (Eliminated', '    0 Frozen', ' 7799)']","[' 4393     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.74745'],[' 0'], ,[' 303.414'],[' 0'],[' 17.0811'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.62076e+08'],[' 6.23897e+08'],[' 0'],[' 1.59631e+10'],[' 0'],[' 0'],[' 1141 '],[' 2172 '],[' 3090 '],[' 3 '],[' 0 ']
Solving...,TA59, , ,[' 1'],[' 3693+'],[' 1850'],"[' 601.949s (Solving', ' 593.96s 1st Model', ' 455.48s Unsat', ' 0.00s)']",[' 600.234s'], ,[' 261355252'],"[' 6912022  (Analyzed', ' 6592852)']","[' 17531    (Average', ' 376.07 Last', ' 390475)']",[' 3424.6  '],"[' 1850     (Average Length', ' 972.27 Splits', ' 0)']","[' 6592852  (Deleted', ' 6518579)']","[' 352      (Ratio', '   0.01%)']","[' 36305    (Ratio', '   0.55%)']","[' 6592852  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6592852  (Average', ' 38.89 Max', ' 3438 Sum', ' 256408152)']","[' 6592358  (Average', ' 38.81 Max', ' 3127 Sum', ' 255887413 Ratio', '  99.80%)']","[' 494      (Average', ' 1054.13 Max', ' 1225 Sum', ' 520739 Ratio', '   0.20%)']", ,[' 92252   '],[' 5960    '],[' 86074   '],[' 39000   '],"[' 114814   (Atom=Atom', ' 29949 Body=Body', ' 19910 Other', ' 64955)']",[' Yes'],"[' 7890     (Eliminated', '    0 Frozen', ' 7890)']","[' 5120     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.89021'],[' 0'], ,[' 268.219'],[' 0'],[' 17.4787'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.6084e+08'],[' 8.08159e+08'],[' 0'],[' 1.29471e+10'],[' 0'],[' 0'],[' 958 '],[' 1960 '],[' 2841 '],[' 3 '],[' 0 ']
Solving...,TA60, , ,[' 1'],[' 3665+'],[' 1836'],"[' 602.022s (Solving', ' 594.23s 1st Model', ' 401.13s Unsat', ' 0.00s)']",[' 601.000s'], ,[' 267633856'],"[' 6506807  (Analyzed', ' 6178233)']","[' 15557    (Average', ' 397.14 Last', ' 878476)']",[' 3358.4  '],"[' 1836     (Average Length', ' 959.93 Splits', ' 0)']","[' 6178233  (Deleted', ' 6105098)']","[' 316      (Ratio', '   0.01%)']","[' 37125    (Ratio', '   0.60%)']","[' 6178233  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6178233  (Average', ' 42.56 Max', ' 3390 Sum', ' 262970761)']","[' 6177668  (Average', ' 42.46 Max', ' 3151 Sum', ' 262335878 Ratio', '  99.76%)']","[' 565      (Average', ' 1123.69 Max', ' 1245 Sum', ' 634883 Ratio', '   0.24%)']", ,[' 92520   '],[' 5974    '],[' 86321   '],[' 39121   '],"[' 115020   (Atom=Atom', ' 29991 Body=Body', ' 19952 Other', ' 65077)']",[' Yes'],"[' 7912     (Eliminated', '    0 Frozen', ' 7912)']","[' 5335     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.77985'],[' 0'], ,[' 259.748'],[' 0'],[' 17.6177'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.69877e+08'],[' 8.14644e+08'],[' 0'],[' 1.25021e+10'],[' 0'],[' 0'],[' 1038 '],[' 2145 '],[' 2946 '],[' 3 '],[' 0 ']
