Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1'],[' 3933+'],[' 1971'],"[' 602.469s (Solving', ' 592.76s 1st Model', ' 54.24s Unsat', ' 0.00s)']",[' 601.234s'], ,[' 155191520'],"[' 14660843 (Analyzed', ' 14487724)']","[' 28748    (Average', ' 503.96 Last', ' 132867)']",[' 3500.3  '],"[' 1971     (Average Length', ' 1034.00 Splits', ' 0)']","[' 14487724 (Deleted', ' 14326893)']","[' 178      (Ratio', '   0.00%)']","[' 19539    (Ratio', '   0.13%)']","[' 14487724 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14487724 (Average', ' 10.37 Max', ' 3815 Sum', ' 150291364)']","[' 14487059 (Average', ' 10.33 Max', ' 3518 Sum', ' 149597958 Ratio', '  99.54%)']","[' 665      (Average', ' 1042.72 Max', ' 1293 Sum', ' 693406 Ratio', '   0.46%)']", ,[' 107823  '],[' 5911    '],[' 99292   '],[' 42576   '],"[' 117671   (Atom=Atom', ' 31878 Body=Body', ' 20543 Other', ' 65250)']",[' Yes'],"[' 8151     (Eliminated', '    0 Frozen', ' 8151)']","[' 3532     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.28325'],[' 0'], ,[' 377.178'],[' 0'],[' 14.7419'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.23693e+08'],[' 3.19931e+08'],[' 0'],[' 2.48356e+10'],[' 0'],[' 0'],[' 921 '],[' 1928 '],[' 2651 '],[' 3264 '],[' 4 '],[' 0 ']
Solving...,TA62, , ,[' 1'],[' 4203+'],[' 2106'],"[' 602.566s (Solving', ' 592.52s 1st Model', ' 164.38s Unsat', ' 0.00s)']",[' 601.516s'], ,[' 182768780'],"[' 13460001 (Analyzed', ' 13165759)']","[' 27478    (Average', ' 479.14 Last', ' 926626)']",[' 3576.5  '],"[' 2106     (Average Length', ' 1106.65 Splits', ' 0)']","[' 13165759 (Deleted', ' 13034446)']","[' 222      (Ratio', '   0.00%)']","[' 20026    (Ratio', '   0.15%)']","[' 13165759 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13165759 (Average', ' 13.47 Max', ' 3600 Sum', ' 177406003)']","[' 13165127 (Average', ' 13.42 Max', ' 3600 Sum', ' 176641484 Ratio', '  99.57%)']","[' 632      (Average', ' 1209.68 Max', ' 1473 Sum', ' 764519 Ratio', '   0.43%)']", ,[' 108055  '],[' 5901    '],[' 99636   '],[' 42682   '],"[' 117951   (Atom=Atom', ' 31973 Body=Body', ' 20513 Other', ' 65465)']",[' Yes'],"[' 8269     (Eliminated', '    0 Frozen', ' 8269)']","[' 3221     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.32134'],[' 0'], ,[' 361.052'],[' 0'],[' 15.7936'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.0266e+08'],[' 3.81778e+08'],[' 0'],[' 2.18501e+10'],[' 0'],[' 0'],[' 890 '],[' 1806 '],[' 2597 '],[' 3226 '],[' 4 '],[' 0 ']
Solving...,TA63, , ,[' 1'],[' 4225+'],[' 2117'],"[' 602.599s (Solving', ' 592.47s 1st Model', ' 60.79s Unsat', ' 0.00s)']",[' 601.516s'], ,[' 189311046'],"[' 15246683 (Analyzed', ' 14823919)']","[' 26757    (Average', ' 554.02 Last', ' 140215)']",[' 3522.7  '],"[' 2117     (Average Length', ' 1111.13 Splits', ' 0)']","[' 14823919 (Deleted', ' 14659017)']","[' 236      (Ratio', '   0.00%)']","[' 23027    (Ratio', '   0.16%)']","[' 14823919 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14823919 (Average', ' 12.41 Max', ' 3384 Sum', ' 183965786)']","[' 14823252 (Average', ' 12.36 Max', ' 3384 Sum', ' 183191393 Ratio', '  99.58%)']","[' 667      (Average', ' 1161.01 Max', ' 1465 Sum', ' 774393 Ratio', '   0.42%)']", ,[' 107880  '],[' 5920    '],[' 99611   '],[' 42587   '],"[' 118259   (Atom=Atom', ' 32060 Body=Body', ' 20570 Other', ' 65629)']",[' Yes'],"[' 8248     (Eliminated', '    0 Frozen', ' 8248)']","[' 3692     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.37707'],[' 0'], ,[' 352.363'],[' 0'],[' 15.6604'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.97024e+08'],[' 3.77521e+08'],[' 0'],[' 2.08791e+10'],[' 0'],[' 0'],[' 1005 '],[' 1680 '],[' 2423 '],[' 3069 '],[' 4 '],[' 0 ']
Solving...,TA64, , ,[' 1'],[' 4029+'],[' 2019'],"[' 602.506s (Solving', ' 592.36s 1st Model', ' 224.67s Unsat', ' 0.00s)']",[' 601.188s'], ,[' 158325535'],"[' 17917086 (Analyzed', ' 17540966)']","[' 36069    (Average', ' 486.32 Last', ' 822362)']",[' 3743.8  '],"[' 2019     (Average Length', ' 1064.65 Splits', ' 0)']","[' 17540966 (Deleted', ' 17344806)']","[' 184      (Ratio', '   0.00%)']","[' 18648    (Ratio', '   0.11%)']","[' 17540966 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17540966 (Average', '  8.69 Max', ' 3643 Sum', ' 152481994)']","[' 17540287 (Average', '  8.65 Max', ' 3643 Sum', ' 151812126 Ratio', '  99.56%)']","[' 679      (Average', ' 986.55 Max', ' 1327 Sum', ' 669868 Ratio', '   0.44%)']", ,[' 107263  '],[' 5927    '],[' 99136   '],[' 42224   '],"[' 118034   (Atom=Atom', ' 31990 Body=Body', ' 20591 Other', ' 65453)']",[' Yes'],"[' 8169     (Eliminated', '    0 Frozen', ' 8169)']","[' 2789     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.42834'],[' 0'], ,[' 362.898'],[' 0'],[' 13.6614'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.9533e+08'],[' 2.90067e+08'],[' 0'],[' 2.28797e+10'],[' 0'],[' 0'],[' 1171 '],[' 1824 '],[' 2449 '],[' 3035 '],[' 4 '],[' 0 ']
Solving...,TA65, , ,[' 1'],[' 3967+'],[' 1988'],"[' 602.589s (Solving', ' 592.96s 1st Model', ' 173.59s Unsat', ' 0.00s)']",[' 601.500s'], ,[' 175911297'],"[' 15150240 (Analyzed', ' 14795185)']","[' 30970    (Average', ' 477.73 Last', ' 616281)']",[' 3412.4  '],"[' 1988     (Average Length', ' 1054.91 Splits', ' 0)']","[' 14795185 (Deleted', ' 14599676)']","[' 212      (Ratio', '   0.00%)']","[' 22347    (Ratio', '   0.15%)']","[' 14795185 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14795185 (Average', ' 11.55 Max', ' 3402 Sum', ' 170907781)']","[' 14794553 (Average', ' 11.50 Max', ' 3402 Sum', ' 170214693 Ratio', '  99.59%)']","[' 632      (Average', ' 1096.66 Max', ' 2447 Sum', ' 693088 Ratio', '   0.41%)']", ,[' 108276  '],[' 5957    '],[' 99838   '],[' 42701   '],"[' 118427   (Atom=Atom', ' 32079 Body=Body', ' 20681 Other', ' 65667)']",[' Yes'],"[' 8197     (Eliminated', '    0 Frozen', ' 8197)']","[' 3805     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.23189'],[' 0'], ,[' 365.349'],[' 0'],[' 15.5076'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.66832e+08'],[' 3.55593e+08'],[' 0'],[' 2.24266e+10'],[' 0'],[' 0'],[' 882 '],[' 1619 '],[' 2379 '],[' 3082 '],[' 4 '],[' 0 ']
Solving...,TA66, , ,[' 1'],[' 4249+'],[' 2129'],"[' 525.428s (Solving', ' 515.77s 1st Model', ' 140.44s Unsat', ' 44.22s)']",[' 524.156s'], ,[' 127551181'],"[' 13252926 (Analyzed', ' 12848880)']","[' 27857    (Average', ' 461.24 Last', ' 398960)']",[' 3461.8  '],"[' 2129     (Average Length', ' 1098.44 Splits', ' 0)']","[' 12848880 (Deleted', ' 12661026)']","[' 173      (Ratio', '   0.00%)']","[' 16865    (Ratio', '   0.13%)']","[' 12848880 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12848880 (Average', '  9.52 Max', ' 3467 Sum', ' 122322654)']","[' 12848245 (Average', '  9.46 Max', ' 3467 Sum', ' 121542305 Ratio', '  99.36%)']","[' 635      (Average', ' 1228.90 Max', ' 1493 Sum', ' 780349 Ratio', '   0.64%)']", ,[' 108116  '],[' 5915    '],[' 99789   '],[' 42663   '],"[' 118227   (Atom=Atom', ' 32052 Body=Body', ' 20555 Other', ' 65620)']",[' Yes'],"[' 8258     (Eliminated', '    0 Frozen', ' 8258)']","[' 3501     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.25168'],[' 0'], ,[' 327.607'],[' 0'],[' 13.1357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.53409e+08'],[' 2.61748e+08'],[' 0'],[' 2.08747e+10'],[' 0'],[' 0'],[' 889 '],[' 1619 '],[' 2346 '],[' 3122 '],[' 3 '],[' 1 ']
Solving...,TA67, , ,[' 1'],[' 4293+'],[' 2151'],"[' 602.562s (Solving', ' 592.12s 1st Model', ' 25.94s Unsat', ' 0.00s)']",[' 601.656s'], ,[' 144435273'],"[' 18660761 (Analyzed', ' 18291481)']","[' 35056    (Average', ' 521.78 Last', ' 34831)']",[' 3641.4  '],"[' 2151     (Average Length', ' 1116.51 Splits', ' 0)']","[' 18291481 (Deleted', ' 18083977)']","[' 192      (Ratio', '   0.00%)']","[' 18736    (Ratio', '   0.10%)']","[' 18291481 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18291481 (Average', '  7.59 Max', ' 3542 Sum', ' 138818587)']","[' 18290799 (Average', '  7.54 Max', ' 3542 Sum', ' 138006997 Ratio', '  99.42%)']","[' 682      (Average', ' 1190.01 Max', ' 1452 Sum', ' 811590 Ratio', '   0.58%)']", ,[' 108370  '],[' 5975    '],[' 100045  '],[' 42946   '],"[' 119139   (Atom=Atom', ' 32314 Body=Body', ' 20735 Other', ' 66090)']",[' Yes'],"[' 8354     (Eliminated', '    0 Frozen', ' 8354)']","[' 3237     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.46183'],[' 0'], ,[' 384.195'],[' 0'],[' 12.7347'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.30805e+08'],[' 2.44359e+08'],[' 0'],[' 2.33995e+10'],[' 0'],[' 0'],[' 1037 '],[' 1906 '],[' 2564 '],[' 3248 '],[' 4 '],[' 0 ']
Solving...,TA68, , ,[' 1'],[' 3639+'],[' 1824'],"[' 602.318s (Solving', ' 593.04s 1st Model', ' 80.69s Unsat', ' 0.00s)']",[' 600.641s'], ,[' 134004298'],"[' 18897113 (Analyzed', ' 18536448)']","[' 36773    (Average', ' 504.08 Last', ' 176310)']",[' 3649.3  '],"[' 1824     (Average Length', ' 967.02 Splits', ' 0)']","[' 18536448 (Deleted', ' 18310046)']","[' 136      (Ratio', '   0.00%)']","[' 17565    (Ratio', '   0.09%)']","[' 18536448 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18536448 (Average', '  6.94 Max', ' 4221 Sum', ' 128665217)']","[' 18535808 (Average', '  6.91 Max', ' 4221 Sum', ' 128043754 Ratio', '  99.52%)']","[' 640      (Average', ' 971.04 Max', ' 3297 Sum', ' 621463 Ratio', '   0.48%)']", ,[' 107894  '],[' 5914    '],[' 99217   '],[' 42452   '],"[' 117240   (Atom=Atom', ' 31743 Body=Body', ' 20552 Other', ' 64945)']",[' Yes'],"[' 8026     (Eliminated', '    0 Frozen', ' 8026)']","[' 2806     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.16856'],[' 0'], ,[' 393.31'],[' 0'],[' 13.758'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.97648e+08'],[' 2.15611e+08'],[' 0'],[' 2.48771e+10'],[' 0'],[' 0'],[' 891 '],[' 1769 '],[' 2445 '],[' 3135 '],[' 4 '],[' 0 ']
Solving...,TA69, , , ,[' 4593'],[' 2301'],"[' 594.855s (Solving', ' 584.08s 1st Model', ' 214.78s Unsat', ' 119.36s)']",[' 592.984s'], ,[' 186968464'],"[' 11406709 (Analyzed', ' 10996310)']","[' 24964    (Average', ' 440.49 Last', ' 813298)']",[' 3628.4  '],"[' 2301     (Average Length', ' 1189.27 Splits', ' 0)']","[' 10996310 (Deleted', ' 10876141)']","[' 290      (Ratio', '   0.00%)']","[' 22949    (Ratio', '   0.21%)']","[' 10996310 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10996310 (Average', ' 16.46 Max', ' 3484 Sum', ' 180944873)']","[' 10995716 (Average', ' 16.39 Max', ' 3484 Sum', ' 180227439 Ratio', '  99.60%)']","[' 594      (Average', ' 1207.80 Max', ' 1600 Sum', ' 717434 Ratio', '   0.40%)']", ,[' 108160  '],[' 5990    '],[' 100159  '],[' 42897   '],"[' 119837   (Atom=Atom', ' 32524 Body=Body', ' 20780 Other', ' 66533)']",[' Yes'],"[' 8461     (Eliminated', '    0 Frozen', ' 8461)']","[' 3980     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.56173'],[' 0'], ,[' 338.416'],[' 0'],[' 15.5707'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.60771e+08'],[' 4.37913e+08'],[' 0'],[' 1.96436e+10'],[' 0'],[' 0'],[' 1105 '],[' 1829 '],[' 2637 '],[' 3316 '],[' 3 '],[' 1 ']
Solving...,TA70, , ,[' 1'],[' 3847+'],[' 1928'],"[' 602.317s (Solving', ' 593.18s 1st Model', ' 27.62s Unsat', ' 0.00s)']",[' 601.500s'], ,[' 141517410'],"[' 14822818 (Analyzed', ' 14485223)']","[' 27425    (Average', ' 528.18 Last', ' 589291)']",[' 3450.6  '],"[' 1928     (Average Length', ' 1015.54 Splits', ' 0)']","[' 14485223 (Deleted', ' 14319574)']","[' 261      (Ratio', '   0.00%)']","[' 18205    (Ratio', '   0.13%)']","[' 14485223 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14485223 (Average', '  9.44 Max', ' 3502 Sum', ' 136674354)']","[' 14484535 (Average', '  9.38 Max', ' 3502 Sum', ' 135907893 Ratio', '  99.44%)']","[' 688      (Average', ' 1114.04 Max', ' 1332 Sum', ' 766461 Ratio', '   0.56%)']", ,[' 107591  '],[' 5948    '],[' 99120   '],[' 42497   '],"[' 118128   (Atom=Atom', ' 31983 Body=Body', ' 20654 Other', ' 65491)']",[' Yes'],"[' 8115     (Eliminated', '    0 Frozen', ' 8115)']","[' 3367     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.12286'],[' 0'], ,[' 391.543'],[' 0'],[' 14.6527'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.6811e+08'],[' 2.77544e+08'],[' 0'],[' 2.51935e+10'],[' 0'],[' 0'],[' 1064 '],[' 1963 '],[' 2771 '],[' 3414 '],[' 4 '],[' 0 ']
