Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 3405'],[' 1708'],"[' 428.815s (Solving', ' 420.53s 1st Model', ' 12.29s Unsat', ' 43.78s)']",[' 426.688s'], ,[' 43606405'],"[' 15434538 (Analyzed', ' 15229552)']","[' 29395    (Average', ' 518.10 Last', ' 308575)']",[' 2954.3  '],"[' 1708     (Average Length', ' 907.20 Splits', ' 0)']","[' 15229552 (Deleted', ' 15001587)']","[' 39       (Ratio', '   0.00%)']","[' 6393     (Ratio', '   0.04%)']","[' 15229552 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15229552 (Average', '  2.63 Max', ' 3813 Sum', ' 40070705)']","[' 15228945 (Average', '  2.60 Max', ' 3813 Sum', ' 39520759 Ratio', '  98.63%)']","[' 607      (Average', ' 906.01 Max', ' 1213 Sum', ' 549946 Ratio', '   1.37%)']", ,[' 97848   '],[' 4656    '],[' 90018   '],[' 36170   '],"[' 96677    (Atom=Atom', ' 26944 Body=Body', ' 16848 Other', ' 52885)']",[' Yes'],"[' 6754     (Eliminated', '    0 Frozen', ' 6754)']","[' 1013     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.85112'],[' 0'], ,[' 270.075'],[' 0'],[' 8.13937'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02595e+08'],[' 5.92379e+07'],[' 0'],[' 1.56298e+10'],[' 0'],[' 0'],[' 754 '],[' 1419 '],[' 2106 '],[' 2720 '],[' 3215 '],[' 3 '],[' 2 ']
Solving...,TA62, , , ,[' 3427'],[' 1719'],"[' 408.513s (Solving', ' 399.76s 1st Model', ' 18.39s Unsat', ' 136.28s)']",[' 406.594s'], ,[' 74359054'],"[' 11945912 (Analyzed', ' 11752530)']","[' 23204    (Average', ' 506.49 Last', ' 106384)']",[' 3014.6  '],"[' 1719     (Average Length', ' 896.66 Splits', ' 0)']","[' 11752530 (Deleted', ' 11590467)']","[' 145      (Ratio', '   0.00%)']","[' 9855     (Ratio', '   0.08%)']","[' 11752530 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11752530 (Average', '  6.01 Max', ' 4140 Sum', ' 70674213)']","[' 11751937 (Average', '  5.97 Max', ' 4140 Sum', ' 70149916 Ratio', '  99.26%)']","[' 593      (Average', ' 884.14 Max', ' 1200 Sum', ' 524297 Ratio', '   0.74%)']", ,[' 97549   '],[' 4656    '],[' 89879   '],[' 35970   '],"[' 96715    (Atom=Atom', ' 26955 Body=Body', ' 16848 Other', ' 52912)']",[' Yes'],"[' 6744     (Eliminated', '    0 Frozen', ' 6744)']","[' 1676     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.03792'],[' 0'], ,[' 240.979'],[' 0'],[' 8.27248'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83328e+08'],[' 1.27543e+08'],[' 0'],[' 1.22285e+10'],[' 0'],[' 0'],[' 831 '],[' 1555 '],[' 2133 '],[' 2781 '],[' 3273 '],[' 2 '],[' 3 ']
Solving...,TA63, , , ,[' 3345'],[' 1678'],"[' 345.685s (Solving', ' 337.61s 1st Model', ' 14.64s Unsat', ' 71.94s)']",[' 343.047s'], ,[' 39383490'],"[' 11041953 (Analyzed', ' 10832776)']","[' 22096    (Average', ' 490.26 Last', ' 28001)']",[' 2830.1  '],"[' 1678     (Average Length', ' 894.31 Splits', ' 0)']","[' 10832776 (Deleted', ' 10668096)']","[' 91       (Ratio', '   0.00%)']","[' 7507     (Ratio', '   0.07%)']","[' 10832776 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10832776 (Average', '  3.33 Max', ' 3834 Sum', ' 36119079)']","[' 10832196 (Average', '  3.29 Max', ' 3122 Sum', ' 35603958 Ratio', '  98.57%)']","[' 580      (Average', ' 888.14 Max', ' 1215 Sum', ' 515121 Ratio', '   1.43%)']", ,[' 97729   '],[' 4650    '],[' 89907   '],[' 36076   '],"[' 96506    (Atom=Atom', ' 26890 Body=Body', ' 16830 Other', ' 52786)']",[' Yes'],"[' 6692     (Eliminated', '    0 Frozen', ' 6692)']","[' 1467     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.78398'],[' 0'], ,[' 208.982'],[' 0'],[' 6.39167'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00762e+08'],[' 6.19886e+07'],[' 0'],[' 1.14882e+10'],[' 0'],[' 0'],[' 779 '],[' 1353 '],[' 1919 '],[' 2535 '],[' 3049 '],[' 2 '],[' 3 ']
Solving...,TA64, , , ,[' 3297'],[' 1654'],"[' 464.119s (Solving', ' 454.96s 1st Model', ' 7.91s Unsat', ' 73.96s)']",[' 459.484s'], ,[' 42346539'],"[' 15594933 (Analyzed', ' 15355927)']","[' 30723    (Average', ' 499.82 Last', ' 40174)']",[' 3261.8  '],"[' 1654     (Average Length', ' 875.27 Splits', ' 0)']","[' 15355927 (Deleted', ' 15124653)']","[' 27       (Ratio', '   0.00%)']","[' 4042     (Ratio', '   0.03%)']","[' 15355927 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15355927 (Average', '  2.49 Max', ' 4452 Sum', ' 38254733)']","[' 15355262 (Average', '  2.46 Max', ' 3859 Sum', ' 37722161 Ratio', '  98.61%)']","[' 665      (Average', ' 800.86 Max', ' 1113 Sum', ' 532572 Ratio', '   1.39%)']", ,[' 97075   '],[' 4690    '],[' 89592   '],[' 35714   '],"[' 97028    (Atom=Atom', ' 27026 Body=Body', ' 16950 Other', ' 53052)']",[' Yes'],"[' 6708     (Eliminated', '    0 Frozen', ' 6708)']","[' 698      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.15226'],[' 0'], ,[' 301.907'],[' 0'],[' 7.65755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00162e+08'],[' 5.60845e+07'],[' 0'],[' 1.67416e+10'],[' 0'],[' 0'],[' 1092 '],[' 1690 '],[' 2105 '],[' 2691 '],[' 3080 '],[' 3 '],[' 2 ']
Solving...,TA65, , , ,[' 3263'],[' 1637'],"[' 306.539s (Solving', ' 298.48s 1st Model', ' 10.18s Unsat', ' 35.01s)']",[' 304.688s'], ,[' 38778324'],"[' 9415815  (Analyzed', ' 9233622)']","[' 18279    (Average', ' 505.15 Last', ' 21199)']",[' 2958.2  '],"[' 1637     (Average Length', ' 885.37 Splits', ' 0)']","[' 9233622  (Deleted', ' 9093221)']","[' 59       (Ratio', '   0.00%)']","[' 6654     (Ratio', '   0.07%)']","[' 9233622  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9233622  (Average', '  3.84 Max', ' 3673 Sum', ' 35464770)']","[' 9233011  (Average', '  3.78 Max', ' 3673 Sum', ' 34919638 Ratio', '  98.46%)']","[' 611      (Average', ' 892.20 Max', ' 1202 Sum', ' 545132 Ratio', '   1.54%)']", ,[' 97787   '],[' 4704    '],[' 90078   '],[' 36118   '],"[' 97153    (Atom=Atom', ' 27065 Body=Body', ' 16992 Other', ' 53096)']",[' Yes'],"[' 6768     (Eliminated', '    0 Frozen', ' 6768)']","[' 1250     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.80604'],[' 0'], ,[' 190.402'],[' 0'],[' 5.84952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.17221e+07'],[' 5.90835e+07'],[' 0'],[' 1.00241e+10'],[' 0'],[' 0'],[' 750 '],[' 1333 '],[' 1956 '],[' 2675 '],[' 3171 '],[' 2 '],[' 3 ']
Solving...,TA66, , , ,[' 3239'],[' 1625'],"[' 313.774s (Solving', ' 306.29s 1st Model', ' 10.81s Unsat', ' 48.78s)']",[' 312.531s'], ,[' 35307336'],"[' 9676100  (Analyzed', ' 9462049)']","[' 19221    (Average', ' 492.28 Last', ' 56098)']",[' 2970.0  '],"[' 1625     (Average Length', ' 863.93 Splits', ' 0)']","[' 9462049  (Deleted', ' 9328906)']","[' 55       (Ratio', '   0.00%)']","[' 5157     (Ratio', '   0.05%)']","[' 9462049  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9462049  (Average', '  3.37 Max', ' 4067 Sum', ' 31924439)']","[' 9461481  (Average', '  3.32 Max', ' 3799 Sum', ' 31396826 Ratio', '  98.35%)']","[' 568      (Average', ' 928.90 Max', ' 1197 Sum', ' 527613 Ratio', '   1.65%)']", ,[' 97350   '],[' 4651    '],[' 89644   '],[' 35825   '],"[' 96346    (Atom=Atom', ' 26841 Body=Body', ' 16833 Other', ' 52672)']",[' Yes'],"[' 6666     (Eliminated', '    0 Frozen', ' 6666)']","[' 906      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.67515'],[' 0'], ,[' 202.946'],[' 0'],[' 5.01415'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.84069e+07'],[' 4.88439e+07'],[' 0'],[' 1.14689e+10'],[' 0'],[' 0'],[' 812 '],[' 1423 '],[' 1978 '],[' 2667 '],[' 3174 '],[' 2 '],[' 3 ']
Solving...,TA67, , , ,[' 3341'],[' 1676'],"[' 381.889s (Solving', ' 374.65s 1st Model', ' 11.07s Unsat', ' 110.26s)']",[' 381.000s'], ,[' 52171855'],"[' 14686892 (Analyzed', ' 14478241)']","[' 28486    (Average', ' 508.26 Last', ' 72249)']",[' 2926.9  '],"[' 1676     (Average Length', ' 884.18 Splits', ' 0)']","[' 14478241 (Deleted', ' 14284975)']","[' 91       (Ratio', '   0.00%)']","[' 7519     (Ratio', '   0.05%)']","[' 14478241 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14478241 (Average', '  3.36 Max', ' 3756 Sum', ' 48673915)']","[' 14477639 (Average', '  3.32 Max', ' 3756 Sum', ' 48116926 Ratio', '  98.86%)']","[' 602      (Average', ' 925.23 Max', ' 1192 Sum', ' 556989 Ratio', '   1.14%)']", ,[' 97859   '],[' 4741    '],[' 90210   '],[' 36229   '],"[' 97806    (Atom=Atom', ' 27252 Body=Body', ' 17103 Other', ' 53451)']",[' Yes'],"[' 6797     (Eliminated', '    0 Frozen', ' 6797)']","[' 1571     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.66528'],[' 0'], ,[' 236.846'],[' 0'],[' 7.18745'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25311e+08'],[' 7.83293e+07'],[' 0'],[' 1.36719e+10'],[' 0'],[' 0'],[' 876 '],[' 1473 '],[' 2153 '],[' 2709 '],[' 3263 '],[' 2 '],[' 3 ']
Solving...,TA68, , ,[' 1'],[' 3375+'],[' 1693'],"[' 295.417s (Solving', ' 288.12s 1st Model', ' 19.36s Unsat', ' 19.86s)']",[' 294.203s'], ,[' 34871845'],"[' 9556107  (Analyzed', ' 9312462)']","[' 19226    (Average', ' 484.37 Last', ' 71025)']",[' 3068.7  '],"[' 1693     (Average Length', ' 892.03 Splits', ' 0)']","[' 9312462  (Deleted', ' 9138741)']","[' 45       (Ratio', '   0.00%)']","[' 6254     (Ratio', '   0.07%)']","[' 9312462  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9312462  (Average', '  3.34 Max', ' 4372 Sum', ' 31118246)']","[' 9311954  (Average', '  3.29 Max', ' 3349 Sum', ' 30680970 Ratio', '  98.59%)']","[' 508      (Average', ' 860.78 Max', ' 1186 Sum', ' 437276 Ratio', '   1.41%)']", ,[' 97357   '],[' 4623    '],[' 89664   '],[' 35818   '],"[' 96096    (Atom=Atom', ' 26797 Body=Body', ' 16749 Other', ' 52550)']",[' Yes'],"[' 6687     (Eliminated', '    0 Frozen', ' 6687)']","[' 967      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.67228'],[' 0'], ,[' 190.293'],[' 0'],[' 6.08208'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.0561e+07'],[' 4.97193e+07'],[' 0'],[' 1.07659e+10'],[' 0'],[' 0'],[' 781 '],[' 1348 '],[' 1949 '],[' 2470 '],[' 3038 '],[' 2 '],[' 3 ']
Solving...,TA69, , ,[' 1'],[' 3373+'],[' 1692'],"[' 398.839s (Solving', ' 391.54s 1st Model', ' 20.29s Unsat', ' 4.91s)']",[' 398.000s'], ,[' 50045683'],"[' 13295086 (Analyzed', ' 13134373)']","[' 25365    (Average', ' 517.81 Last', ' 172493)']",[' 2963.2  '],"[' 1692     (Average Length', ' 893.78 Splits', ' 0)']","[' 13134373 (Deleted', ' 12967500)']","[' 83       (Ratio', '   0.00%)']","[' 7789     (Ratio', '   0.06%)']","[' 13134373 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13134373 (Average', '  3.54 Max', ' 3739 Sum', ' 46508467)']","[' 13133779 (Average', '  3.50 Max', ' 3246 Sum', ' 45978871 Ratio', '  98.86%)']","[' 594      (Average', ' 891.58 Max', ' 1218 Sum', ' 529596 Ratio', '   1.14%)']", ,[' 97301   '],[' 4725    '],[' 89836   '],[' 35951   '],"[' 97654    (Atom=Atom', ' 27204 Body=Body', ' 17055 Other', ' 53395)']",[' Yes'],"[' 6782     (Eliminated', '    0 Frozen', ' 6782)']","[' 1374     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.66946'],[' 0'], ,[' 263.647'],[' 0'],[' 8.88653'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22349e+08'],[' 7.78908e+07'],[' 0'],[' 1.62038e+10'],[' 0'],[' 0'],[' 978 '],[' 1720 '],[' 2219 '],[' 2849 '],[' 3371 '],[' 3 '],[' 2 ']
Solving...,TA70, , , ,[' 3265'],[' 1638'],"[' 396.609s (Solving', ' 389.79s 1st Model', ' 12.17s Unsat', ' 11.94s)']",[' 395.719s'], ,[' 55932052'],"[' 14539669 (Analyzed', ' 14308517)']","[' 27477    (Average', ' 520.75 Last', ' 81624)']",[' 2899.2  '],"[' 1638     (Average Length', ' 886.00 Splits', ' 0)']","[' 14308517 (Deleted', ' 14115920)']","[' 118      (Ratio', '   0.00%)']","[' 7371     (Ratio', '   0.05%)']","[' 14308517 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14308517 (Average', '  3.67 Max', ' 3435 Sum', ' 52555957)']","[' 14307905 (Average', '  3.63 Max', ' 3433 Sum', ' 51970606 Ratio', '  98.89%)']","[' 612      (Average', ' 956.46 Max', ' 1205 Sum', ' 585351 Ratio', '   1.11%)']", ,[' 96766   '],[' 4712    '],[' 89251   '],[' 35792   '],"[' 97329    (Atom=Atom', ' 27098 Body=Body', ' 17016 Other', ' 53215)']",[' Yes'],"[' 6761     (Eliminated', '    0 Frozen', ' 6761)']","[' 1509     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.54625'],[' 0'], ,[' 255.864'],[' 0'],[' 7.44362'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3409e+08'],[' 8.72336e+07'],[' 0'],[' 1.44063e+10'],[' 0'],[' 0'],[' 880 '],[' 1536 '],[' 2396 '],[' 3133 '],[' 3567 '],[' 3 '],[' 2 ']
