Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 1749+'],[' 881'],"[' 323.704s (Solving', ' 320.45s 1st Model', ' 2.31s Unsat', ' 15.43s)']",[' 322.359s'], ,[' 24298099'],"[' 13405626 (Analyzed', ' 13345926)']","[' 26853    (Average', ' 497.00 Last', ' 75247)']",[' 1909.3  '],"[' 881      (Average Length', ' 497.08 Splits', ' 0)']","[' 13345926 (Deleted', ' 13106699)']","[' 4        (Ratio', '   0.00%)']","[' 1653     (Ratio', '   0.01%)']","[' 13345926 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13345926 (Average', '  1.71 Max', ' 2565 Sum', ' 22825748)']","[' 13345614 (Average', '  1.70 Max', ' 2540 Sum', ' 22665458 Ratio', '  99.30%)']","[' 312      (Average', ' 513.75 Max', ' 701 Sum', ' 160290 Ratio', '   0.70%)']", ,[' 67264   '],[' 2877    '],[' 62056   '],[' 23181   '],"[' 61566    (Atom=Atom', ' 17520 Body=Body', ' 10831 Other', ' 33215)']",[' Yes'],"[' 4183     (Eliminated', '    0 Frozen', ' 4183)']","[' 188      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.681279'],[' 0'], ,[' 210.937'],[' 0'],[' 5.41954'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.99948e+07'],[' 2.5596e+07'],[' 0'],[' 1.14485e+10'],[' 0'],[' 0'],[' 761 '],[' 1328 '],[' 1709 '],[' 2250 '],[' 2738 '],[' 3078 '],[' 3 '],[' 3 ']
Solving...,TA52, , ,[' 1'],[' 1821+'],[' 917'],"[' 406.677s (Solving', ' 403.07s 1st Model', ' 2.54s Unsat', ' 0.26s)']",[' 403.031s'], ,[' 28340407'],"[' 16012483 (Analyzed', ' 15957949)']","[' 30685    (Average', ' 520.06 Last', ' 115279)']",[' 1840.7  '],"[' 917      (Average Length', ' 522.48 Splits', ' 0)']","[' 15957949 (Deleted', ' 15730681)']","[' 12       (Ratio', '   0.00%)']","[' 2142     (Ratio', '   0.01%)']","[' 15957949 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15957949 (Average', '  1.69 Max', ' 2581 Sum', ' 26931681)']","[' 15957522 (Average', '  1.67 Max', ' 2231 Sum', ' 26711673 Ratio', '  99.18%)']","[' 427      (Average', ' 515.24 Max', ' 740 Sum', ' 220008 Ratio', '   0.82%)']", ,[' 67394   '],[' 2928    '],[' 62273   '],[' 23327   '],"[' 62435    (Atom=Atom', ' 17760 Body=Body', ' 10984 Other', ' 33691)']",[' Yes'],"[' 4275     (Eliminated', '    0 Frozen', ' 4275)']","[' 320      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.737701'],[' 0'], ,[' 263.084'],[' 0'],[' 6.81736'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.4849e+07'],[' 3.5357e+07'],[' 0'],[' 1.38666e+10'],[' 0'],[' 0'],[' 758 '],[' 1271 '],[' 1814 '],[' 2274 '],[' 2782 '],[' 3118 '],[' 4 '],[' 2 ']
Solving...,TA53, , ,[' 1'],[' 1879+'],[' 946'],"[' 364.961s (Solving', ' 361.19s 1st Model', ' 2.71s Unsat', ' 57.26s)']",[' 361.453s'], ,[' 24694247'],"[' 13643247 (Analyzed', ' 13579427)']","[' 28288    (Average', ' 480.04 Last', ' 4388)']",[' 1939.0  '],"[' 946      (Average Length', ' 530.20 Splits', ' 0)']","[' 13579427 (Deleted', ' 13403294)']","[' 22       (Ratio', '   0.00%)']","[' 2280     (Ratio', '   0.02%)']","[' 13579427 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13579427 (Average', '  1.71 Max', ' 2731 Sum', ' 23156032)']","[' 13579047 (Average', '  1.69 Max', ' 2731 Sum', ' 22956923 Ratio', '  99.14%)']","[' 380      (Average', ' 523.97 Max', ' 730 Sum', ' 199109 Ratio', '   0.86%)']", ,[' 67986   '],[' 2928    '],[' 62708   '],[' 23628   '],"[' 62556    (Atom=Atom', ' 17789 Body=Body', ' 10984 Other', ' 33783)']",[' Yes'],"[' 4313     (Eliminated', '    0 Frozen', ' 4313)']","[' 327      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.780005'],[' 0'], ,[' 244.461'],[' 0'],[' 4.80574'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.51567e+07'],[' 3.18722e+07'],[' 0'],[' 1.36e+10'],[' 0'],[' 0'],[' 644 '],[' 1137 '],[' 1562 '],[' 2085 '],[' 2595 '],[' 2979 '],[' 3 '],[' 3 ']
Solving...,TA54, , , ,[' 1927'],[' 970'],"[' 56.185s (Solving', ' 52.43s 1st Model', ' 3.31s Unsat', ' 36.72s)']",[' 55.844s'], ,[' 6631012 '],"[' 2357712  (Analyzed', ' 2285116)']","[' 5133     (Average', ' 445.18 Last', ' 19942)']",[' 2077.2  '],"[' 970      (Average Length', ' 540.93 Splits', ' 0)']","[' 2285116  (Deleted', ' 2237531)']","[' 21       (Ratio', '   0.00%)']","[' 1148     (Ratio', '   0.05%)']","[' 2285116  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2285116  (Average', '  2.25 Max', ' 2908 Sum', ' 5150796)']","[' 2284850  (Average', '  2.20 Max', ' 2509 Sum', ' 5026451 Ratio', '  97.59%)']","[' 266      (Average', ' 467.46 Max', ' 769 Sum', ' 124345 Ratio', '   2.41%)']", ,[' 67846   '],[' 2937    '],[' 62668   '],[' 23554   '],"[' 62753    (Atom=Atom', ' 17849 Body=Body', ' 11011 Other', ' 33893)']",[' Yes'],"[' 4323     (Eliminated', '    0 Frozen', ' 4323)']","[' 59       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.798831'],[' 0'], ,[' 23.3174'],[' 0'],[' 0.693445'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45601e+07'],[' 8.42398e+06'],[' 0'],[' 1.18795e+09'],[' 0'],[' 0'],[' 729 '],[' 1178 '],[' 1650 '],[' 2084 '],[' 2501 '],[' 2914 '],[' 0 '],[' 6 ']
Solving...,TA55, , ,[' 1'],[' 1821+'],[' 917'],"[' 278.755s (Solving', ' 275.19s 1st Model', ' 2.68s Unsat', ' 66.44s)']",[' 277.109s'], ,[' 23103892'],"[' 11163294 (Analyzed', ' 11118148)']","[' 22677    (Average', ' 490.28 Last', ' 4386)']",[' 1822.4  '],"[' 917      (Average Length', ' 507.47 Splits', ' 0)']","[' 11118148 (Deleted', ' 10928360)']","[' 7        (Ratio', '   0.00%)']","[' 2223     (Ratio', '   0.02%)']","[' 11118148 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11118148 (Average', '  1.96 Max', ' 2448 Sum', ' 21794516)']","[' 11117690 (Average', '  1.94 Max', ' 2448 Sum', ' 21582955 Ratio', '  99.03%)']","[' 458      (Average', ' 461.92 Max', ' 700 Sum', ' 211561 Ratio', '   0.97%)']", ,[' 67454   '],[' 2895    '],[' 62231   '],[' 23338   '],"[' 61986    (Atom=Atom', ' 17628 Body=Body', ' 10885 Other', ' 33473)']",[' Yes'],"[' 4236     (Eliminated', '    0 Frozen', ' 4236)']","[' 353      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.745742'],[' 0'], ,[' 180.4'],[' 0'],[' 5.44276'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.56805e+07'],[' 2.90755e+07'],[' 0'],[' 1.00063e+10'],[' 0'],[' 0'],[' 657 '],[' 1230 '],[' 1636 '],[' 2136 '],[' 2650 '],[' 3047 '],[' 2 '],[' 4 ']
Solving...,TA56, , ,[' 1'],[' 1435+'],[' 724'],"[' 320.690s (Solving', ' 317.81s 1st Model', ' 1.83s Unsat', ' 13.26s)']",[' 317.625s'], ,[' 22612645'],"[' 14219752 (Analyzed', ' 14174834)']","[' 28092    (Average', ' 504.59 Last', ' 35946)']",[' 1806.9  '],"[' 724      (Average Length', ' 424.79 Splits', ' 0)']","[' 14174834 (Deleted', ' 13977397)']","[' 21       (Ratio', '   0.00%)']","[' 1740     (Ratio', '   0.01%)']","[' 14174834 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14174834 (Average', '  1.51 Max', ' 2651 Sum', ' 21388882)']","[' 14174389 (Average', '  1.50 Max', ' 2236 Sum', ' 21198167 Ratio', '  99.11%)']","[' 445      (Average', ' 428.57 Max', ' 570 Sum', ' 190715 Ratio', '   0.89%)']", ,[' 67099   '],[' 2880    '],[' 61739   '],[' 23057   '],"[' 61156    (Atom=Atom', ' 17375 Body=Body', ' 10840 Other', ' 32941)']",[' Yes'],"[' 4064     (Eliminated', '    0 Frozen', ' 4064)']","[' 173      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.598919'],[' 0'], ,[' 202.585'],[' 0'],[' 3.89103'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.96224e+07'],[' 2.60708e+07'],[' 0'],[' 1.09622e+10'],[' 0'],[' 0'],[' 708 '],[' 1386 '],[' 1722 '],[' 2307 '],[' 2774 '],[' 3166 '],[' 3 '],[' 3 ']
Solving...,TA57, , , ,[' 1533'],[' 773'],"[' 143.476s (Solving', ' 140.28s 1st Model', ' 2.24s Unsat', ' 31.33s)']",[' 142.531s'], ,[' 10364016'],"[' 5968621  (Analyzed', ' 5909577)']","[' 12517    (Average', ' 472.12 Last', ' 73996)']",[' 1871.4  '],"[' 773      (Average Length', ' 458.87 Splits', ' 0)']","[' 5909577  (Deleted', ' 5819503)']","[' 27       (Ratio', '   0.00%)']","[' 1503     (Ratio', '   0.03%)']","[' 5909577  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5909577  (Average', '  1.56 Max', ' 2856 Sum', ' 9244901)']","[' 5909155  (Average', '  1.53 Max', ' 2856 Sum', ' 9062710 Ratio', '  98.03%)']","[' 422      (Average', ' 431.73 Max', ' 637 Sum', ' 182191 Ratio', '   1.97%)']", ,[' 67400   '],[' 2927    '],[' 62088   '],[' 23273   '],"[' 61987    (Atom=Atom', ' 17612 Body=Body', ' 10981 Other', ' 33394)']",[' Yes'],"[' 4155     (Eliminated', '    0 Frozen', ' 4155)']","[' 146      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.639957'],[' 0'], ,[' 87.3927'],[' 0'],[' 1.51323'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.56105e+07'],[' 1.15817e+07'],[' 0'],[' 4.81507e+09'],[' 0'],[' 0'],[' 765 '],[' 1289 '],[' 1773 '],[' 2386 '],[' 2881 '],[' 3219 '],[' 1 '],[' 5 ']
Solving...,TA58, , , ,[' 1637'],[' 825'],"[' 202.113s (Solving', ' 198.94s 1st Model', ' 2.25s Unsat', ' 87.67s)']",[' 201.359s'], ,[' 17210493'],"[' 9807809  (Analyzed', ' 9754916)']","[' 18903    (Average', ' 516.05 Last', ' 11227)']",[' 1842.3  '],"[' 825      (Average Length', ' 478.39 Splits', ' 0)']","[' 9754916  (Deleted', ' 9592016)']","[' 25       (Ratio', '   0.00%)']","[' 1521     (Ratio', '   0.02%)']","[' 9754916  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9754916  (Average', '  1.64 Max', ' 2655 Sum', ' 15965323)']","[' 9754544  (Average', '  1.62 Max', ' 2365 Sum', ' 15796971 Ratio', '  98.95%)']","[' 372      (Average', ' 452.56 Max', ' 685 Sum', ' 168352 Ratio', '   1.05%)']", ,[' 67669   '],[' 2908    '],[' 62267   '],[' 23421   '],"[' 61892    (Atom=Atom', ' 17588 Body=Body', ' 10924 Other', ' 33380)']",[' Yes'],"[' 4161     (Eliminated', '    0 Frozen', ' 4161)']","[' 160      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.645922'],[' 0'], ,[' 116.702'],[' 0'],[' 2.55416'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.38649e+07'],[' 2.08732e+07'],[' 0'],[' 5.89674e+09'],[' 0'],[' 0'],[' 645 '],[' 1141 '],[' 1679 '],[' 2233 '],[' 2740 '],[' 3135 '],[' 1 '],[' 5 ']
Solving...,TA59, , , ,[' 1659'],[' 836'],"[' 120.510s (Solving', ' 117.76s 1st Model', ' 2.06s Unsat', ' 8.18s)']",[' 119.906s'], ,[' 14197163'],"[' 6980649  (Analyzed', ' 6936548)']","[' 13369    (Average', ' 518.85 Last', ' 11113)']",[' 1820.9  '],"[' 836      (Average Length', ' 473.65 Splits', ' 0)']","[' 6936548  (Deleted', ' 6812172)']","[' 29       (Ratio', '   0.00%)']","[' 1622     (Ratio', '   0.02%)']","[' 6936548  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6936548  (Average', '  1.88 Max', ' 2559 Sum', ' 13017609)']","[' 6936215  (Average', '  1.86 Max', ' 2341 Sum', ' 12875039 Ratio', '  98.90%)']","[' 333      (Average', ' 428.14 Max', ' 694 Sum', ' 142570 Ratio', '   1.10%)']", ,[' 67448   '],[' 2858    '],[' 62061   '],[' 23239   '],"[' 61163    (Atom=Atom', ' 17399 Body=Body', ' 10774 Other', ' 32990)']",[' Yes'],"[' 4125     (Eliminated', '    0 Frozen', ' 4125)']","[' 204      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.565166'],[' 0'], ,[' 60.978'],[' 0'],[' 2.13251'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.82688e+07'],[' 2.04072e+07'],[' 0'],[' 2.94373e+09'],[' 0'],[' 0'],[' 614 '],[' 1086 '],[' 1493 '],[' 1966 '],[' 2483 '],[' 2921 '],[' 1 '],[' 5 ']
Solving...,TA60, , , ,[' 1721'],[' 867'],"[' 86.088s (Solving', ' 83.44s 1st Model', ' 1.90s Unsat', ' 73.19s)']",[' 85.406s'], ,[' 8174118 '],"[' 3702619  (Analyzed', ' 3629817)']","[' 8434     (Average', ' 430.38 Last', ' 36926)']",[' 1702.4  '],"[' 867      (Average Length', ' 491.78 Splits', ' 0)']","[' 3629817  (Deleted', ' 3557965)']","[' 29       (Ratio', '   0.00%)']","[' 1985     (Ratio', '   0.05%)']","[' 3629817  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3629817  (Average', '  1.99 Max', ' 2791 Sum', ' 7228493)']","[' 3629337  (Average', '  1.92 Max', ' 2212 Sum', ' 6969891 Ratio', '  96.42%)']","[' 480      (Average', ' 538.75 Max', ' 731 Sum', ' 258602 Ratio', '   3.58%)']", ,[' 67827   '],[' 2923    '],[' 62458   '],[' 23531   '],"[' 62248    (Atom=Atom', ' 17690 Body=Body', ' 10969 Other', ' 33589)']",[' Yes'],"[' 4228     (Eliminated', '    0 Frozen', ' 4228)']","[' 280      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.533667'],[' 0'], ,[' 52.0998'],[' 0'],[' 1.27685'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.98629e+07'],[' 1.05554e+07'],[' 0'],[' 3.29727e+09'],[' 0'],[' 0'],[' 683 '],[' 1172 '],[' 1697 '],[' 2232 '],[' 2689 '],[' 3019 '],[' 0 '],[' 6 ']
