Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 2239'],[' 1126'],"[' 315.807s (Solving', ' 311.30s 1st Model', ' 3.17s Unsat', ' 1.34s)']",[' 314.906s'], ,[' 33865568'],"[' 16266563 (Analyzed', ' 16170192)']","[' 29527    (Average', ' 547.64 Last', ' 31731)']",[' 2221.3  '],"[' 1126     (Average Length', ' 634.05 Splits', ' 0)']","[' 16170192 (Deleted', ' 15930388)']","[' 29       (Ratio', '   0.00%)']","[' 3522     (Ratio', '   0.02%)']","[' 16170192 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16170192 (Average', '  1.97 Max', ' 3122 Sum', ' 31911771)']","[' 16169634 (Average', '  1.95 Max', ' 3110 Sum', ' 31553752 Ratio', '  98.88%)']","[' 558      (Average', ' 641.61 Max', ' 903 Sum', ' 358019 Ratio', '   1.12%)']", ,[' 89672   '],[' 3832    '],[' 82656   '],[' 30848   '],"[' 81940    (Atom=Atom', ' 23303 Body=Body', ' 14432 Other', ' 44205)']",[' Yes'],"[' 5524     (Eliminated', '    0 Frozen', ' 5524)']","[' 685      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.97651'],[' 0'], ,[' 183.836'],[' 0'],[' 4.6807'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.85516e+07'],[' 4.60565e+07'],[' 0'],[' 1.06716e+10'],[' 0'],[' 0'],[' 682 '],[' 1240 '],[' 1978 '],[' 2614 '],[' 2962 '],[' 3363 '],[' 3 '],[' 3 ']
Solving...,TA62, , ,[' 1'],[' 2739+'],[' 1376'],"[' 421.965s (Solving', ' 416.48s 1st Model', ' 5.67s Unsat', ' 11.91s)']",[' 421.469s'], ,[' 37618389'],"[' 13629999 (Analyzed', ' 13510359)']","[' 25917    (Average', ' 521.29 Last', ' 395475)']",[' 2538.7  '],"[' 1376     (Average Length', ' 737.23 Splits', ' 0)']","[' 13510359 (Deleted', ' 13350944)']","[' 44       (Ratio', '   0.00%)']","[' 4838     (Ratio', '   0.04%)']","[' 13510359 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13510359 (Average', '  2.59 Max', ' 3156 Sum', ' 35022246)']","[' 13509919 (Average', '  2.57 Max', ' 3156 Sum', ' 34680382 Ratio', '  99.02%)']","[' 440      (Average', ' 776.96 Max', ' 1025 Sum', ' 341864 Ratio', '   0.98%)']", ,[' 90596   '],[' 3873    '],[' 83622   '],[' 31482   '],"[' 83317    (Atom=Atom', ' 23717 Body=Body', ' 14555 Other', ' 45045)']",[' Yes'],"[' 5759     (Eliminated', '    0 Frozen', ' 5759)']","[' 789      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24035'],[' 0'], ,[' 302.086'],[' 0'],[' 7.89357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.15486e+07'],[' 5.29751e+07'],[' 0'],[' 1.91074e+10'],[' 0'],[' 0'],[' 683 '],[' 1272 '],[' 1882 '],[' 2352 '],[' 2875 '],[' 3317 '],[' 4 '],[' 2 ']
Solving...,TA63, , , ,[' 2853'],[' 1433'],"[' 40.655s (Solving', ' 34.86s 1st Model', ' 4.57s Unsat', ' 9.44s)']",[' 40.109s'], ,[' 6682114 '],"[' 511968   (Analyzed', ' 411754)']","[' 1689     (Average', ' 243.79 Last', ' 6988)']",[' 2680.5  '],"[' 1433     (Average Length', ' 775.97 Splits', ' 0)']","[' 411754   (Deleted', ' 383420)']","[' 35       (Ratio', '   0.01%)']","[' 1698     (Ratio', '   0.41%)']","[' 411754   (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 411754   (Average', ' 10.24 Max', ' 4105 Sum', ' 4217094)']","[' 411253   (Average', '  9.35 Max', ' 3208 Sum', ' 3848637 Ratio', '  91.26%)']","[' 501      (Average', ' 735.44 Max', ' 1090 Sum', ' 368457 Ratio', '   8.74%)']", ,[' 90463   '],[' 3868    '],[' 83552   '],[' 31490   '],"[' 83431    (Atom=Atom', ' 23754 Body=Body', ' 14540 Other', ' 45137)']",[' Yes'],"[' 5806     (Eliminated', '    0 Frozen', ' 5806)']","[' 148      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32041'],[' 0'], ,[' 10.1175'],[' 0'],[' 0.487945'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2064e+07'],[' 9.5461e+06'],[' 0'],[' 4.92864e+08'],[' 0'],[' 0'],[' 687 '],[' 1278 '],[' 1743 '],[' 2269 '],[' 2769 '],[' 3134 '],[' 0 '],[' 6 ']
Solving...,TA64, , , ,[' 2563'],[' 1288'],"[' 127.863s (Solving', ' 122.53s 1st Model', ' 4.73s Unsat', ' 0.49s)']",[' 127.750s'], ,[' 18507664'],"[' 7066484  (Analyzed', ' 6967321)']","[' 13689    (Average', ' 508.97 Last', ' 2045)']",[' 2719.7  '],"[' 1288     (Average Length', ' 701.95 Splits', ' 0)']","[' 6967321  (Deleted', ' 6833708)']","[' 12       (Ratio', '   0.00%)']","[' 1673     (Ratio', '   0.02%)']","[' 6967321  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6967321  (Average', '  2.28 Max', ' 3916 Sum', ' 15875307)']","[' 6966871  (Average', '  2.24 Max', ' 3195 Sum', ' 15616679 Ratio', '  98.37%)']","[' 450      (Average', ' 574.73 Max', ' 942 Sum', ' 258628 Ratio', '   1.63%)']", ,[' 89551   '],[' 3858    '],[' 82825   '],[' 30863   '],"[' 82824    (Atom=Atom', ' 23569 Body=Body', ' 14510 Other', ' 44745)']",[' Yes'],"[' 5641     (Eliminated', '    0 Frozen', ' 5641)']","[' 209      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23446'],[' 0'], ,[' 59.3461'],[' 0'],[' 1.92243'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.66631e+07'],[' 2.71837e+07'],[' 0'],[' 2.75754e+09'],[' 0'],[' 0'],[' 918 '],[' 1515 '],[' 1836 '],[' 2287 '],[' 2781 '],[' 3115 '],[' 1 '],[' 5 ']
Solving...,TA65, , , ,[' 2545'],[' 1279'],"[' 224.418s (Solving', ' 219.48s 1st Model', ' 4.04s Unsat', ' 4.46s)']",[' 223.516s'], ,[' 23957817'],"[' 10500908 (Analyzed', ' 10412834)']","[' 19739    (Average', ' 527.53 Last', ' 36667)']",[' 2399.7  '],"[' 1279     (Average Length', ' 698.80 Splits', ' 0)']","[' 10412834 (Deleted', ' 10248664)']","[' 36       (Ratio', '   0.00%)']","[' 3092     (Ratio', '   0.03%)']","[' 10412834 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10412834 (Average', '  2.09 Max', ' 3813 Sum', ' 21776662)']","[' 10412360 (Average', '  2.06 Max', ' 3813 Sum', ' 21438994 Ratio', '  98.45%)']","[' 474      (Average', ' 712.38 Max', ' 1029 Sum', ' 337668 Ratio', '   1.55%)']", ,[' 90470   '],[' 3868    '],[' 83399   '],[' 31357   '],"[' 82948    (Atom=Atom', ' 23600 Body=Body', ' 14540 Other', ' 44808)']",[' Yes'],"[' 5663     (Eliminated', '    0 Frozen', ' 5663)']","[' 529      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.0868'],[' 0'], ,[' 129.664'],[' 0'],[' 3.23892'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.47321e+07'],[' 3.56669e+07'],[' 0'],[' 7.46324e+09'],[' 0'],[' 0'],[' 686 '],[' 1183 '],[' 1656 '],[' 2315 '],[' 2797 '],[' 3209 '],[' 2 '],[' 4 ']
Solving...,TA66, , , ,[' 2969'],[' 1491'],"[' 142.488s (Solving', ' 136.63s 1st Model', ' 7.07s Unsat', ' 14.60s)']",[' 141.719s'], ,[' 18985220'],"[' 4580260  (Analyzed', ' 4456423)']","[' 9632     (Average', ' 462.67 Last', ' 20929)']",[' 2542.3  '],"[' 1491     (Average Length', ' 795.49 Splits', ' 0)']","[' 4456423  (Deleted', ' 4380161)']","[' 51       (Ratio', '   0.00%)']","[' 3579     (Ratio', '   0.08%)']","[' 4456423  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4456423  (Average', '  3.71 Max', ' 3678 Sum', ' 16551639)']","[' 4455917  (Average', '  3.62 Max', ' 2872 Sum', ' 16139870 Ratio', '  97.51%)']","[' 506      (Average', ' 813.77 Max', ' 1133 Sum', ' 411769 Ratio', '   2.49%)']", ,[' 90964   '],[' 3860    '],[' 83968   '],[' 31683   '],"[' 83519    (Atom=Atom', ' 23780 Body=Body', ' 14516 Other', ' 45223)']",[' Yes'],"[' 5837     (Eliminated', '    0 Frozen', ' 5837)']","[' 641      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.30699'],[' 0'], ,[' 80.1499'],[' 0'],[' 2.25998'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.7774e+07'],[' 3.03287e+07'],[' 0'],[' 4.92486e+09'],[' 0'],[' 0'],[' 719 '],[' 1190 '],[' 1670 '],[' 2139 '],[' 2690 '],[' 3120 '],[' 1 '],[' 5 ']
Solving...,TA67, , , ,[' 2391'],[' 1202'],"[' 145.901s (Solving', ' 141.25s 1st Model', ' 3.53s Unsat', ' 26.06s)']",[' 145.734s'], ,[' 12281001'],"[' 5683623  (Analyzed', ' 5560803)']","[' 12548    (Average', ' 443.16 Last', ' 57117)']",[' 2452.1  '],"[' 1202     (Average Length', ' 670.82 Splits', ' 0)']","[' 5560803  (Deleted', ' 5451641)']","[' 28       (Ratio', '   0.00%)']","[' 1689     (Ratio', '   0.03%)']","[' 5560803  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5560803  (Average', '  1.85 Max', ' 3961 Sum', ' 10306268)']","[' 5560210  (Average', '  1.78 Max', ' 3045 Sum', ' 9887032 Ratio', '  95.93%)']","[' 593      (Average', ' 706.97 Max', ' 955 Sum', ' 419236 Ratio', '   4.07%)']", ,[' 90093   '],[' 3872    '],[' 83069   '],[' 31164   '],"[' 82756    (Atom=Atom', ' 23539 Body=Body', ' 14552 Other', ' 44665)']",[' Yes'],"[' 5619     (Eliminated', '    0 Frozen', ' 5619)']","[' 241      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.02514'],[' 0'], ,[' 87.3418'],[' 0'],[' 1.84442'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.90404e+07'],[' 1.5106e+07'],[' 0'],[' 5.42605e+09'],[' 0'],[' 0'],[' 754 '],[' 1324 '],[' 2002 '],[' 2440 '],[' 2865 '],[' 3254 '],[' 1 '],[' 5 ']
Solving...,TA68, , , ,[' 2661'],[' 1337'],"[' 139.913s (Solving', ' 134.55s 1st Model', ' 7.92s Unsat', ' 16.97s)']",[' 139.328s'], ,[' 14890104'],"[' 3192147  (Analyzed', ' 3004181)']","[' 6928     (Average', ' 433.63 Last', ' 50266)']",[' 2608.4  '],"[' 1337     (Average Length', ' 727.53 Splits', ' 0)']","[' 3004181  (Deleted', ' 2945334)']","[' 38       (Ratio', '   0.00%)']","[' 2948     (Ratio', '   0.10%)']","[' 3004181  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3004181  (Average', '  4.15 Max', ' 3767 Sum', ' 12458329)']","[' 3003690  (Average', '  4.03 Max', ' 3767 Sum', ' 12117264 Ratio', '  97.26%)']","[' 491      (Average', ' 694.63 Max', ' 1013 Sum', ' 341065 Ratio', '   2.74%)']", ,[' 90388   '],[' 3825    '],[' 83334   '],[' 31298   '],"[' 82453    (Atom=Atom', ' 23486 Body=Body', ' 14411 Other', ' 44556)']",[' Yes'],"[' 5670     (Eliminated', '    0 Frozen', ' 5670)']","[' 443      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.2019'],[' 0'], ,[' 91.4658'],[' 0'],[' 2.52649'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.16699e+07'],[' 2.17056e+07'],[' 0'],[' 5.69671e+09'],[' 0'],[' 0'],[' 668 '],[' 1141 '],[' 1692 '],[' 2126 '],[' 2593 '],[' 3035 '],[' 1 '],[' 5 ']
Solving...,TA69, , , ,[' 2931'],[' 1472'],"[' 267.773s (Solving', ' 261.17s 1st Model', ' 5.34s Unsat', ' 40.59s)']",[' 267.078s'], ,[' 29708846'],"[' 11481483 (Analyzed', ' 11358248)']","[' 22389    (Average', ' 507.31 Last', ' 148937)']",[' 2468.3  '],"[' 1472     (Average Length', ' 792.56 Splits', ' 0)']","[' 11358248 (Deleted', ' 11211573)']","[' 37       (Ratio', '   0.00%)']","[' 3968     (Ratio', '   0.03%)']","[' 11358248 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11358248 (Average', '  2.39 Max', ' 3904 Sum', ' 27158155)']","[' 11357746 (Average', '  2.36 Max', ' 3904 Sum', ' 26786780 Ratio', '  98.63%)']","[' 502      (Average', ' 739.79 Max', ' 1721 Sum', ' 371375 Ratio', '   1.37%)']", ,[' 90228   '],[' 3890    '],[' 83547   '],[' 31357   '],"[' 83868    (Atom=Atom', ' 23881 Body=Body', ' 14606 Other', ' 45381)']",[' Yes'],"[' 5850     (Eliminated', '    0 Frozen', ' 5850)']","[' 675      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.43519'],[' 0'], ,[' 155.517'],[' 0'],[' 4.76523'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.91872e+07'],[' 4.63554e+07'],[' 0'],[' 8.61027e+09'],[' 0'],[' 0'],[' 908 '],[' 1422 '],[' 1964 '],[' 2471 '],[' 2981 '],[' 3418 '],[' 2 '],[' 4 ']
Solving...,TA70, , , ,[' 2711'],[' 1362'],"[' 234.975s (Solving', ' 228.12s 1st Model', ' 5.26s Unsat', ' 7.10s)']",[' 230.797s'], ,[' 20582953'],"[' 8246587  (Analyzed', ' 8078301)']","[' 15379    (Average', ' 525.28 Last', ' 1875)']",[' 2490.5  '],"[' 1362     (Average Length', ' 744.36 Splits', ' 0)']","[' 8078301  (Deleted', ' 7974526)']","[' 49       (Ratio', '   0.00%)']","[' 2515     (Ratio', '   0.03%)']","[' 8078301  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8078301  (Average', '  2.27 Max', ' 3809 Sum', ' 18313216)']","[' 8077690  (Average', '  2.21 Max', ' 3020 Sum', ' 17853262 Ratio', '  97.49%)']","[' 611      (Average', ' 752.79 Max', ' 1048 Sum', ' 459954 Ratio', '   2.51%)']", ,[' 89586   '],[' 3886    '],[' 82930   '],[' 31037   '],"[' 83470    (Atom=Atom', ' 23755 Body=Body', ' 14594 Other', ' 45121)']",[' Yes'],"[' 5764     (Eliminated', '    0 Frozen', ' 5764)']","[' 407      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.52122'],[' 0'], ,[' 141.529'],[' 0'],[' 3.38536'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.88561e+07'],[' 2.68962e+07'],[' 0'],[' 7.01828e+09'],[' 0'],[' 0'],[' 738 '],[' 1400 '],[' 2182 '],[' 2527 '],[' 3095 '],[' 3481 '],[' 2 '],[' 4 ']
