Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 5285+'],[' 2651'],"[' 607.276s (Solving', ' 582.85s 1st Model', ' 36.79s Unsat', ' 0.00s)']",[' 606.141s'], ,[' 137727108'],"[' 12809755 (Analyzed', ' 12457157)']","[' 26462    (Average', ' 470.76 Last', ' 40699)']",[' 5842.8  '],"[' 2651     (Average Length', ' 1362.16 Splits', ' 0)']","[' 12457157 (Deleted', ' 12293986)']","[' 63       (Ratio', '   0.00%)']","[' 21637    (Ratio', '   0.17%)']","[' 12457157 (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12457157 (Average', ' 10.24 Max', ' 9200 Sum', ' 127596451)']","[' 12455142 (Average', ' 10.03 Max', ' 7663 Sum', ' 124915428 Ratio', '  97.90%)']","[' 2015     (Average', ' 1330.53 Max', ' 4590 Sum', ' 2681023 Ratio', '   2.10%)']", ,[' 278529  '],[' 12001   '],[' 255055  '],[' 89655   '],"[' 232218   (Atom=Atom', ' 64914 Body=Body', ' 41893 Other', ' 125411)']",[' Yes'],"[' 15768    (Eliminated', '    0 Frozen', ' 15768)']","[' 4261     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.91816'],[' 0'], ,[' 363.304'],[' 0'],[' 12.9969'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.47063e+08'],[' 1.9117e+08'],[' 0'],[' 2.32077e+10'],[' 0'],[' 0'],[' 1187 '],[' 1982 '],[' 2711 '],[' 3335 '],[' 3963 '],[' 4608 '],[' 5295 '],[' 5858 '],[' 8 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 4917+'],[' 2467'],"[' 607.213s (Solving', ' 584.14s 1st Model', ' 27.92s Unsat', ' 0.00s)']",[' 605.891s'], ,[' 108193314'],"[' 15376280 (Analyzed', ' 15093449)']","[' 31654    (Average', ' 476.83 Last', ' 16256)']",[' 6124.9  '],"[' 2467     (Average Length', ' 1289.24 Splits', ' 0)']","[' 15093449 (Deleted', ' 14887817)']","[' 32       (Ratio', '   0.00%)']","[' 15354    (Ratio', '   0.10%)']","[' 15093449 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15093449 (Average', '  6.47 Max', ' 8559 Sum', ' 97695041)']","[' 15091661 (Average', '  6.32 Max', ' 8559 Sum', ' 95412194 Ratio', '  97.66%)']","[' 1788     (Average', ' 1276.76 Max', ' 1905 Sum', ' 2282847 Ratio', '   2.34%)']", ,[' 280439  '],[' 11798   '],[' 255301  '],[' 90484   '],"[' 228517   (Atom=Atom', ' 63918 Body=Body', ' 41284 Other', ' 123315)']",[' Yes'],"[' 15451    (Eliminated', '    0 Frozen', ' 15451)']","[' 3101     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.63295'],[' 0'], ,[' 375.672'],[' 0'],[' 10.79'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89563e+08'],[' 1.39225e+08'],[' 0'],[' 2.44976e+10'],[' 0'],[' 0'],[' 944 '],[' 1607 '],[' 2323 '],[' 2939 '],[' 3535 '],[' 4210 '],[' 4889 '],[' 5434 '],[' 8 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 4917+'],[' 2467'],"[' 550.950s (Solving', ' 528.46s 1st Model', ' 27.52s Unsat', ' 0.00s)']",[' 549.813s'], ,[' 78417066'],"[' 14594778 (Analyzed', ' 14200020)']","[' 30304    (Average', ' 468.59 Last', ' 19871)']",[' 6146.3  '],"[' 2466     (Average Length', ' 1292.08 Splits', ' 0)']","[' 14200020 (Deleted', ' 14004394)']","[' 11       (Ratio', '   0.00%)']","[' 9272     (Ratio', '   0.07%)']","[' 14200020 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14200020 (Average', '  4.80 Max', ' 8736 Sum', ' 68125938)']","[' 14198035 (Average', '  4.61 Max', ' 8736 Sum', ' 65489448 Ratio', '  96.13%)']","[' 1985     (Average', ' 1328.21 Max', ' 1967 Sum', ' 2636490 Ratio', '   3.87%)']", ,[' 279333  '],[' 11905   '],[' 254960  '],[' 89970   '],"[' 230139   (Atom=Atom', ' 64346 Body=Body', ' 41605 Other', ' 124188)']",[' Yes'],"[' 15529    (Eliminated', '    0 Frozen', ' 15529)']","[' 1745     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.48017'],[' 0'], ,[' 340.705'],[' 0'],[' 8.94171'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38843e+08'],[' 9.56983e+07'],[' 0'],[' 2.25551e+10'],[' 0'],[' 0'],[' 1126 '],[' 1817 '],[' 2611 '],[' 3214 '],[' 3944 '],[' 4647 '],[' 5326 '],[' 5838 '],[' 8 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 4819+'],[' 2418'],"[' 607.207s (Solving', ' 584.59s 1st Model', ' 29.15s Unsat', ' 0.00s)']",[' 605.219s'], ,[' 85077273'],"[' 13831550 (Analyzed', ' 13521097)']","[' 28987    (Average', ' 466.45 Last', ' 26998)']",[' 6059.7  '],"[' 2418     (Average Length', ' 1285.58 Splits', ' 0)']","[' 13521097 (Deleted', ' 13335353)']","[' 31       (Ratio', '   0.00%)']","[' 11847    (Ratio', '   0.09%)']","[' 13521097 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13521097 (Average', '  5.58 Max', ' 8418 Sum', ' 75491162)']","[' 13518972 (Average', '  5.38 Max', ' 8418 Sum', ' 72703411 Ratio', '  96.31%)']","[' 2125     (Average', ' 1311.88 Max', ' 1888 Sum', ' 2787751 Ratio', '   3.69%)']", ,[' 281658  '],[' 11901   '],[' 256294  '],[' 91121   '],"[' 229904   (Atom=Atom', ' 64281 Body=Body', ' 41593 Other', ' 124030)']",[' Yes'],"[' 15550    (Eliminated', '    0 Frozen', ' 15550)']","[' 2059     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.48023'],[' 0'], ,[' 392.07'],[' 0'],[' 10.8206'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50561e+08'],[' 1.08021e+08'],[' 0'],[' 2.45566e+10'],[' 0'],[' 0'],[' 1026 '],[' 1683 '],[' 2251 '],[' 2980 '],[' 3735 '],[' 4361 '],[' 5043 '],[' 5586 '],[' 8 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 5581+'],[' 2799'],"[' 586.288s (Solving', ' 561.00s 1st Model', ' 75.44s Unsat', ' 24.56s)']",[' 584.328s'], ,[' 125070307'],"[' 10633634 (Analyzed', ' 10346859)']","[' 23624    (Average', ' 437.98 Last', ' 78905)']",[' 5109.3  '],"[' 2799     (Average Length', ' 1458.72 Splits', ' 0)']","[' 10346859 (Deleted', ' 10176659)']","[' 99       (Ratio', '   0.00%)']","[' 28000    (Ratio', '   0.27%)']","[' 10346859 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10346859 (Average', ' 11.33 Max', ' 8644 Sum', ' 117241924)']","[' 10344944 (Average', ' 11.03 Max', ' 8558 Sum', ' 114114775 Ratio', '  97.33%)']","[' 1915     (Average', ' 1632.98 Max', ' 2230 Sum', ' 3127149 Ratio', '   2.67%)']", ,[' 280845  '],[' 11964   '],[' 256385  '],[' 90967   '],"[' 232047   (Atom=Atom', ' 64914 Body=Body', ' 41782 Other', ' 125351)']",[' Yes'],"[' 15873    (Eliminated', '    0 Frozen', ' 15873)']","[' 5863     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.08151'],[' 0'], ,[' 331.121'],[' 0'],[' 11.517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.71195e+08'],[' 2.12111e+08'],[' 0'],[' 2.02723e+10'],[' 0'],[' 0'],[' 993 '],[' 1679 '],[' 2390 '],[' 3147 '],[' 3772 '],[' 4407 '],[' 5101 '],[' 5670 '],[' 7 '],[' 1 ']
Solving...,TA76, , ,[' 1'],[' 5229+'],[' 2623'],"[' 607.444s (Solving', ' 583.24s 1st Model', ' 30.42s Unsat', ' 0.00s)']",[' 606.563s'], ,[' 93351842'],"[' 14538499 (Analyzed', ' 14183398)']","[' 30915    (Average', ' 458.79 Last', ' 72920)']",[' 5850.8  '],"[' 2623     (Average Length', ' 1349.76 Splits', ' 0)']","[' 14183398 (Deleted', ' 13969848)']","[' 26       (Ratio', '   0.00%)']","[' 13311    (Ratio', '   0.09%)']","[' 14183398 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14183398 (Average', '  5.88 Max', ' 8526 Sum', ' 83449024)']","[' 14181321 (Average', '  5.69 Max', ' 8479 Sum', ' 80654281 Ratio', '  96.65%)']","[' 2077     (Average', ' 1345.57 Max', ' 2019 Sum', ' 2794743 Ratio', '   3.35%)']", ,[' 280637  '],[' 11781   '],[' 255544  '],[' 90644   '],"[' 228719   (Atom=Atom', ' 64006 Body=Body', ' 41233 Other', ' 123480)']",[' Yes'],"[' 15542    (Eliminated', '    0 Frozen', ' 15542)']","[' 2790     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.86529'],[' 0'], ,[' 378.443'],[' 0'],[' 10.4781'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62832e+08'],[' 1.18082e+08'],[' 0'],[' 2.40811e+10'],[' 0'],[' 0'],[' 1016 '],[' 1740 '],[' 2349 '],[' 2959 '],[' 3595 '],[' 4336 '],[' 5033 '],[' 5674 '],[' 8 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 5045+'],[' 2531'],"[' 607.134s (Solving', ' 584.31s 1st Model', ' 37.08s Unsat', ' 0.00s)']",[' 605.672s'], ,[' 92234513'],"[' 15188315 (Analyzed', ' 14875400)']","[' 31315    (Average', ' 475.02 Last', ' 41682)']",[' 6215.2  '],"[' 2531     (Average Length', ' 1302.48 Splits', ' 0)']","[' 14875400 (Deleted', ' 14679471)']","[' 19       (Ratio', '   0.00%)']","[' 11380    (Ratio', '   0.08%)']","[' 14875400 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14875400 (Average', '  5.47 Max', ' 9059 Sum', ' 81344811)']","[' 14873565 (Average', '  5.31 Max', ' 9059 Sum', ' 78927558 Ratio', '  97.03%)']","[' 1835     (Average', ' 1317.30 Max', ' 1938 Sum', ' 2417253 Ratio', '   2.97%)']", ,[' 278799  '],[' 11785   '],[' 254467  '],[' 89606   '],"[' 228568   (Atom=Atom', ' 63930 Body=Body', ' 41245 Other', ' 123393)']",[' Yes'],"[' 15459    (Eliminated', '    0 Frozen', ' 15459)']","[' 2329     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.59839'],[' 0'], ,[' 379.485'],[' 0'],[' 10.246'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60279e+08'],[' 1.12516e+08'],[' 0'],[' 2.41424e+10'],[' 0'],[' 0'],[' 1147 '],[' 1856 '],[' 2420 '],[' 3036 '],[' 3699 '],[' 4433 '],[' 5224 '],[' 5710 '],[' 8 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 4929+'],[' 2473'],"[' 607.174s (Solving', ' 584.22s 1st Model', ' 25.37s Unsat', ' 0.00s)']",[' 605.656s'], ,[' 92665661'],"[' 13849451 (Analyzed', ' 13554268)']","[' 27723    (Average', ' 488.92 Last', ' 15752)']",[' 5949.7  '],"[' 2473     (Average Length', ' 1301.62 Splits', ' 0)']","[' 13554268 (Deleted', ' 13380330)']","[' 27       (Ratio', '   0.00%)']","[' 13186    (Ratio', '   0.10%)']","[' 13554268 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13554268 (Average', '  6.12 Max', ' 9629 Sum', ' 82911618)']","[' 13552238 (Average', '  5.93 Max', ' 8285 Sum', ' 80335668 Ratio', '  96.89%)']","[' 2030     (Average', ' 1268.94 Max', ' 1959 Sum', ' 2575950 Ratio', '   3.11%)']", ,[' 279582  '],[' 11913   '],[' 255010  '],[' 90203   '],"[' 230255   (Atom=Atom', ' 64384 Body=Body', ' 41629 Other', ' 124242)']",[' Yes'],"[' 15546    (Eliminated', '    0 Frozen', ' 15546)']","[' 2578     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.57488'],[' 0'], ,[' 382.049'],[' 0'],[' 10.6183'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7795e+08'],[' 1.29299e+08'],[' 0'],[' 2.54674e+10'],[' 0'],[' 0'],[' 1123 '],[' 1714 '],[' 2399 '],[' 3140 '],[' 3817 '],[' 4493 '],[' 5140 '],[' 5716 '],[' 8 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 5375+'],[' 2696'],"[' 607.765s (Solving', ' 582.60s 1st Model', ' 28.19s Unsat', ' 0.00s)']",[' 606.375s'], ,[' 96173116'],"[' 13898972 (Analyzed', ' 13725615)']","[' 29135    (Average', ' 471.10 Last', ' 22459)']",[' 5757.7  '],"[' 2696     (Average Length', ' 1375.91 Splits', ' 0)']","[' 13725615 (Deleted', ' 13541040)']","[' 35       (Ratio', '   0.00%)']","[' 15146    (Ratio', '   0.11%)']","[' 13725615 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13725615 (Average', '  6.32 Max', ' 9096 Sum', ' 86677397)']","[' 13723436 (Average', '  6.09 Max', ' 7966 Sum', ' 83651516 Ratio', '  96.51%)']","[' 2179     (Average', ' 1388.66 Max', ' 2088 Sum', ' 3025881 Ratio', '   3.49%)']", ,[' 281719  '],[' 11967   '],[' 256739  '],[' 91349   '],"[' 231777   (Atom=Atom', ' 64823 Body=Body', ' 41791 Other', ' 125163)']",[' Yes'],"[' 15777    (Eliminated', '    0 Frozen', ' 15777)']","[' 3037     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.96456'],[' 0'], ,[' 372.997'],[' 0'],[' 10.1055'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80706e+08'],[' 1.32347e+08'],[' 0'],[' 2.42125e+10'],[' 0'],[' 0'],[' 954 '],[' 1704 '],[' 2258 '],[' 2994 '],[' 3696 '],[' 4411 '],[' 5045 '],[' 5617 '],[' 8 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 4731+'],[' 2374'],"[' 607.017s (Solving', ' 585.10s 1st Model', ' 28.68s Unsat', ' 0.00s)']",[' 605.344s'], ,[' 115142740'],"[' 12479430 (Analyzed', ' 12266535)']","[' 25364    (Average', ' 483.62 Last', ' 57984)']",[' 5558.6  '],"[' 2374     (Average Length', ' 1273.57 Splits', ' 0)']","[' 12266535 (Deleted', ' 12112047)']","[' 72       (Ratio', '   0.00%)']","[' 20191    (Ratio', '   0.16%)']","[' 12266535 (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12266535 (Average', '  8.73 Max', ' 9126 Sum', ' 107096271)']","[' 12264431 (Average', '  8.49 Max', ' 7711 Sum', ' 104172016 Ratio', '  97.27%)']","[' 2104     (Average', ' 1389.86 Max', ' 1933 Sum', ' 2924255 Ratio', '   2.73%)']", ,[' 278526  '],[' 11980   '],[' 254710  '],[' 89518   '],"[' 231088   (Atom=Atom', ' 64553 Body=Body', ' 41830 Other', ' 124705)']",[' Yes'],"[' 15610    (Eliminated', '    0 Frozen', ' 15610)']","[' 4276     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.28587'],[' 0'], ,[' 380.306'],[' 0'],[' 11.0357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36108e+08'],[' 1.8016e+08'],[' 0'],[' 2.44132e+10'],[' 0'],[' 0'],[' 932 '],[' 1833 '],[' 2556 '],[' 3098 '],[' 3751 '],[' 4392 '],[' 5105 '],[' 5608 '],[' 8 '],[' 0 ']
