Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1867'],[' 942'],"[' 17.404s (Solving', ' 13.99s 1st Model', ' 1.95s Unsat', ' 0.10s)']",[' 16.969s'], ,[' 2584633 '],"[' 48854    (Analyzed', ' 11742)']","[' 197      (Average', ' 59.60 Last', ' 320)']",[' 1901.0  '],"[' 942      (Average Length', ' 535.81 Splits', ' 0)']","[' 11742    (Deleted', ' 0)']","[' 31       (Ratio', '   0.26%)']","[' 385      (Ratio', '   3.28%)']","[' 11742    (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11742    (Average', ' 121.97 Max', ' 3157 Sum', ' 1432204)']","[' 11424    (Average', ' 108.32 Max', ' 2419 Sum', ' 1271920 Ratio', '  88.81%)']","[' 318      (Average', ' 504.04 Max', ' 810 Sum', ' 160284 Ratio', '  11.19%)']", ,[' 80844   '],[' 2782    '],[' 75211   '],[' 24944   '],"[' 65137    (Atom=Atom', ' 19204 Body=Body', ' 11361 Other', ' 34572)']",[' Yes'],"[' 4398     (Eliminated', '    0 Frozen', ' 4398)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.715116'],[' 0'], ,[' 1.43882'],[' 0'],[' 0.132096'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.87009e+06'],[' 4.07848e+06'],[' 0'],[' 2.81681e+07'],[' 0'],[' 0'],[' 542 '],[' 981 '],[' 1388 '],[' 1923 '],[' 2314 '],[' 2679 '],[' 3069 '],[' 3361 '],[' 0 '],[' 8 ']
Solving...,TA62, , , ,[' 1853'],[' 935'],"[' 17.624s (Solving', ' 14.38s 1st Model', ' 1.76s Unsat', ' 0.99s)']",[' 17.484s'], ,[' 2536252 '],"[' 115859   (Analyzed', ' 71923)']","[' 354      (Average', ' 203.17 Last', ' 3342)']",[' 1871.5  '],"[' 935      (Average Length', ' 526.80 Splits', ' 0)']","[' 71923    (Deleted', ' 52693)']","[' 21       (Ratio', '   0.03%)']","[' 639      (Ratio', '   0.89%)']","[' 71923    (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 71923    (Average', ' 19.42 Max', ' 2983 Sum', ' 1396481)']","[' 71609    (Average', ' 17.28 Max', ' 2437 Sum', ' 1243030 Ratio', '  89.01%)']","[' 314      (Average', ' 488.70 Max', ' 781 Sum', ' 153451 Ratio', '  10.99%)']", ,[' 81336   '],[' 2810    '],[' 75571   '],[' 25236   '],"[' 65564    (Atom=Atom', ' 19309 Body=Body', ' 11445 Other', ' 34810)']",[' Yes'],"[' 4436     (Eliminated', '    0 Frozen', ' 4436)']","[' 43       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.690478'],[' 0'], ,[' 1.9933'],[' 0'],[' 0.138845'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.90697e+06'],[' 3.99992e+06'],[' 0'],[' 7.42959e+07'],[' 0'],[' 0'],[' 628 '],[' 1029 '],[' 1536 '],[' 1901 '],[' 2265 '],[' 2658 '],[' 3056 '],[' 3358 '],[' 0 '],[' 8 ']
Solving...,TA63, , , ,[' 1921'],[' 969'],"[' 91.551s (Solving', ' 88.15s 1st Model', ' 1.97s Unsat', ' 1.08s)']",[' 91.344s'], ,[' 10565290'],"[' 4600405  (Analyzed', ' 4503888)']","[' 8564     (Average', ' 525.91 Last', ' 113019)']",[' 1964.1  '],"[' 969      (Average Length', ' 544.53 Splits', ' 0)']","[' 4503888  (Deleted', ' 4451744)']","[' 37       (Ratio', '   0.00%)']","[' 1013     (Ratio', '   0.02%)']","[' 4503888  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4503888  (Average', '  2.03 Max', ' 3198 Sum', ' 9155675)']","[' 4503599  (Average', '  2.00 Max', ' 2834 Sum', ' 9011424 Ratio', '  98.42%)']","[' 289      (Average', ' 499.14 Max', ' 2316 Sum', ' 144251 Ratio', '   1.58%)']", ,[' 81614   '],[' 2852    '],[' 75866   '],[' 25456   '],"[' 66255    (Atom=Atom', ' 19511 Body=Body', ' 11571 Other', ' 35173)']",[' Yes'],"[' 4486     (Eliminated', '    0 Frozen', ' 4486)']","[' 136      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.723506'],[' 0'], ,[' 48.6841'],[' 0'],[' 1.19397'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.58639e+07'],[' 1.42435e+07'],[' 0'],[' 3.52228e+09'],[' 0'],[' 0'],[' 652 '],[' 1031 '],[' 1458 '],[' 1747 '],[' 2139 '],[' 2479 '],[' 2835 '],[' 3102 '],[' 1 '],[' 7 ']
Solving...,TA64, , , ,[' 1561'],[' 789'],"[' 75.563s (Solving', ' 72.66s 1st Model', ' 1.47s Unsat', ' 60.94s)']",[' 75.375s'], ,[' 7691626 '],"[' 4339575  (Analyzed', ' 4271893)']","[' 8525     (Average', ' 501.10 Last', ' 206228)']",[' 1823.1  '],"[' 789      (Average Length', ' 459.70 Splits', ' 0)']","[' 4271893  (Deleted', ' 4215377)']","[' 28       (Ratio', '   0.00%)']","[' 679      (Ratio', '   0.02%)']","[' 4271893  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4271893  (Average', '  1.56 Max', ' 2902 Sum', ' 6655467)']","[' 4271422  (Average', '  1.51 Max', ' 2574 Sum', ' 6463557 Ratio', '  97.12%)']","[' 471      (Average', ' 407.45 Max', ' 674 Sum', ' 191910 Ratio', '   2.88%)']", ,[' 80987   '],[' 2854    '],[' 75266   '],[' 25013   '],"[' 65773    (Atom=Atom', ' 19337 Body=Body', ' 11576 Other', ' 34860)']",[' Yes'],"[' 4330     (Eliminated', '    0 Frozen', ' 4330)']","[' 68       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.596857'],[' 0'], ,[' 37.5042'],[' 0'],[' 1.07689'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89066e+07'],[' 8.6267e+06'],[' 0'],[' 2.5935e+09'],[' 0'],[' 0'],[' 656 '],[' 1171 '],[' 1567 '],[' 1866 '],[' 2249 '],[' 2605 '],[' 2948 '],[' 3209 '],[' 0 '],[' 8 ']
Solving...,TA65, , , ,[' 1951'],[' 984'],"[' 92.081s (Solving', ' 88.55s 1st Model', ' 1.99s Unsat', ' 0.33s)']",[' 91.656s'], ,[' 8008767 '],"[' 3640480  (Analyzed', ' 3603265)']","[' 7828     (Average', ' 460.30 Last', ' 1418)']",[' 1907.8  '],"[' 984      (Average Length', ' 546.40 Splits', ' 0)']","[' 3603265  (Deleted', ' 3552235)']","[' 20       (Ratio', '   0.00%)']","[' 826      (Ratio', '   0.02%)']","[' 3603265  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3603265  (Average', '  1.87 Max', ' 3102 Sum', ' 6751060)']","[' 3602843  (Average', '  1.82 Max', ' 2907 Sum', ' 6540859 Ratio', '  96.89%)']","[' 422      (Average', ' 498.11 Max', ' 794 Sum', ' 210201 Ratio', '   3.11%)']", ,[' 81396   '],[' 2846    '],[' 75718   '],[' 25330   '],"[' 66253    (Atom=Atom', ' 19502 Body=Body', ' 11553 Other', ' 35198)']",[' Yes'],"[' 4491     (Eliminated', '    0 Frozen', ' 4491)']","[' 76       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.74427'],[' 0'], ,[' 55.956'],[' 0'],[' 1.14108'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87075e+07'],[' 9.69297e+06'],[' 0'],[' 3.96139e+09'],[' 0'],[' 0'],[' 506 '],[' 1008 '],[' 1356 '],[' 1688 '],[' 2267 '],[' 2495 '],[' 2900 '],[' 3184 '],[' 1 '],[' 7 ']
Solving...,TA66, , , ,[' 2107'],[' 1062'],"[' 18.930s (Solving', ' 15.39s 1st Model', ' 2.10s Unsat', ' 0.42s)']",[' 18.719s'], ,[' 2849820 '],"[' 67456    (Analyzed', ' 31871)']","[' 302      (Average', ' 105.53 Last', ' 873)']",[' 1931.3  '],"[' 1062     (Average Length', ' 574.91 Splits', ' 0)']","[' 31871    (Deleted', ' 21607)']","[' 8        (Ratio', '   0.03%)']","[' 471      (Ratio', '   1.48%)']","[' 31871    (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31871    (Average', ' 47.99 Max', ' 3076 Sum', ' 1529611)']","[' 31609    (Average', ' 43.39 Max', ' 3038 Sum', ' 1382885 Ratio', '  90.41%)']","[' 262      (Average', ' 560.02 Max', ' 873 Sum', ' 146726 Ratio', '   9.59%)']", ,[' 81377   '],[' 2827    '],[' 75721   '],[' 25357   '],"[' 66170    (Atom=Atom', ' 19504 Body=Body', ' 11496 Other', ' 35170)']",[' Yes'],"[' 4517     (Eliminated', '    0 Frozen', ' 4517)']","[' 33       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.754441'],[' 0'], ,[' 1.75017'],[' 0'],[' 0.149728'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.34154e+06'],[' 4.43787e+06'],[' 0'],[' 4.46354e+07'],[' 0'],[' 0'],[' 600 '],[' 1025 '],[' 1316 '],[' 1745 '],[' 2070 '],[' 2540 '],[' 2953 '],[' 3256 '],[' 0 '],[' 8 ']
Solving...,TA67, , , ,[' 1895'],[' 956'],"[' 17.980s (Solving', ' 14.53s 1st Model', ' 1.96s Unsat', ' 0.08s)']",[' 17.594s'], ,[' 2698980 '],"[' 121060   (Analyzed', ' 11169)']","[' 354      (Average', ' 31.55 Last', ' 1036)']",[' 1948.6  '],"[' 956      (Average Length', ' 537.89 Splits', ' 0)']","[' 11169    (Deleted', ' 0)']","[' 20       (Ratio', '   0.18%)']","[' 341      (Ratio', '   3.05%)']","[' 11169    (Average Length', '    7.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11169    (Average', ' 125.61 Max', ' 2981 Sum', ' 1402945)']","[' 10857    (Average', ' 112.05 Max', ' 2506 Sum', ' 1251515 Ratio', '  89.21%)']","[' 312      (Average', ' 485.35 Max', ' 799 Sum', ' 151430 Ratio', '  10.79%)']", ,[' 81469   '],[' 2851    '],[' 75737   '],[' 25356   '],"[' 66222    (Atom=Atom', ' 19492 Body=Body', ' 11567 Other', ' 35163)']",[' Yes'],"[' 4471     (Eliminated', '    0 Frozen', ' 4471)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.723906'],[' 0'], ,[' 1.78302'],[' 0'],[' 0.138401'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.02927e+06'],[' 4.17114e+06'],[' 0'],[' 6.13243e+07'],[' 0'],[' 0'],[' 622 '],[' 1046 '],[' 1449 '],[' 1969 '],[' 2217 '],[' 2578 '],[' 2907 '],[' 3224 '],[' 0 '],[' 8 ']
Solving...,TA68, , , ,[' 2031'],[' 1024'],"[' 19.166s (Solving', ' 15.46s 1st Model', ' 2.25s Unsat', ' 0.09s)']",[' 18.969s'], ,[' 2931158 '],"[' 23500    (Analyzed', ' 11480)']","[' 73       (Average', ' 157.26 Last', ' 296)']",[' 1980.8  '],"[' 1024     (Average Length', ' 578.37 Splits', ' 0)']","[' 11480    (Deleted', ' 0)']","[' 31       (Ratio', '   0.27%)']","[' 435      (Ratio', '   3.79%)']","[' 11480    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11480    (Average', ' 144.70 Max', ' 3233 Sum', ' 1661186)']","[' 11144    (Average', ' 130.14 Max', ' 2885 Sum', ' 1494001 Ratio', '  89.94%)']","[' 336      (Average', ' 497.57 Max', ' 855 Sum', ' 167185 Ratio', '  10.06%)']", ,[' 81367   '],[' 2820    '],[' 75709   '],[' 25311   '],"[' 65988    (Atom=Atom', ' 19438 Body=Body', ' 11475 Other', ' 35075)']",[' Yes'],"[' 4506     (Eliminated', '    0 Frozen', ' 4506)']","[' 38       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.801782'],[' 0'], ,[' 1.50555'],[' 0'],[' 0.154973'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.41977e+06'],[' 4.57822e+06'],[' 0'],[' 2.15314e+07'],[' 0'],[' 0'],[' 519 '],[' 971 '],[' 1344 '],[' 1753 '],[' 2096 '],[' 2430 '],[' 2820 '],[' 3138 '],[' 0 '],[' 8 ']
Solving...,TA69, , ,[' 1'],[' 2027+'],[' 1022'],"[' 97.478s (Solving', ' 93.95s 1st Model', ' 2.19s Unsat', ' 7.08s)']",[' 97.219s'], ,[' 5290335 '],"[' 1908079  (Analyzed', ' 1846016)']","[' 4725     (Average', ' 390.69 Last', ' 5335)']",[' 1894.6  '],"[' 1022     (Average Length', ' 572.67 Splits', ' 0)']","[' 1846016  (Deleted', ' 1798981)']","[' 38       (Ratio', '   0.00%)']","[' 1128     (Ratio', '   0.06%)']","[' 1846016  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1846016  (Average', '  2.20 Max', ' 2882 Sum', ' 4060095)']","[' 1845608  (Average', '  2.08 Max', ' 2882 Sum', ' 3834497 Ratio', '  94.44%)']","[' 408      (Average', ' 552.94 Max', ' 872 Sum', ' 225598 Ratio', '   5.56%)']", ,[' 80898   '],[' 2876    '],[' 75536   '],[' 25085   '],"[' 66818    (Atom=Atom', ' 19660 Body=Body', ' 11643 Other', ' 35515)']",[' Yes'],"[' 4554     (Eliminated', '    0 Frozen', ' 4554)']","[' 62       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.729733'],[' 0'], ,[' 68.9066'],[' 0'],[' 2.18826'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23386e+07'],[' 7.27662e+06'],[' 0'],[' 4.99401e+09'],[' 0'],[' 0'],[' 696 '],[' 1189 '],[' 1630 '],[' 2027 '],[' 2402 '],[' 2751 '],[' 3115 '],[' 3423 '],[' 1 '],[' 7 ']
Solving...,TA70, , , ,[' 1781'],[' 899'],"[' 25.549s (Solving', ' 22.39s 1st Model', ' 1.84s Unsat', ' 9.61s)']",[' 25.500s'], ,[' 3303759 '],"[' 615493   (Analyzed', ' 562971)']","[' 1658     (Average', ' 339.55 Last', ' 1985)']",[' 1813.8  '],"[' 899      (Average Length', ' 521.42 Splits', ' 0)']","[' 562971   (Deleted', ' 545383)']","[' 13       (Ratio', '   0.00%)']","[' 736      (Ratio', '   0.13%)']","[' 562971   (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 562971   (Average', '  4.19 Max', ' 2773 Sum', ' 2357742)']","[' 562468   (Average', '  3.70 Max', ' 2326 Sum', ' 2084270 Ratio', '  88.40%)']","[' 503      (Average', ' 543.68 Max', ' 808 Sum', ' 273472 Ratio', '  11.60%)']", ,[' 80291   '],[' 2873    '],[' 74978   '],[' 24712   '],"[' 66382    (Atom=Atom', ' 19525 Body=Body', ' 11634 Other', ' 35223)']",[' Yes'],"[' 4449     (Eliminated', '    0 Frozen', ' 4449)']","[' 58       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.651852'],[' 0'], ,[' 7.79815'],[' 0'],[' 0.253223'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.02844e+06'],[' 4.9343e+06'],[' 0'],[' 4.67207e+08'],[' 0'],[' 0'],[' 700 '],[' 1076 '],[' 1652 '],[' 2186 '],[' 2500 '],[' 2963 '],[' 3301 '],[' 3537 '],[' 0 '],[' 8 ']
