Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 4041+'],[' 2030'],"[' 536.212s (Solving', ' 517.52s 1st Model', ' 21.54s Unsat', ' 35.71s)']",[' 534.391s'], ,[' 61889549'],"[' 12535617 (Analyzed', ' 12307986)']","[' 27325    (Average', ' 450.43 Last', ' 63685)']",[' 5234.4  '],"[' 2030     (Average Length', ' 1099.84 Splits', ' 0)']","[' 12307986 (Deleted', ' 12135560)']","[' 35       (Ratio', '   0.00%)']","[' 8521     (Ratio', '   0.07%)']","[' 12307986 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12307986 (Average', '  4.48 Max', ' 8220 Sum', ' 55079201)']","[' 12306132 (Average', '  4.29 Max', ' 7666 Sum', ' 52850096 Ratio', '  95.95%)']","[' 1854     (Average', ' 1202.32 Max', ' 1690 Sum', ' 2229105 Ratio', '   4.05%)']", ,[' 264956  '],[' 10591   '],[' 243359  '],[' 80868   '],"[' 208413   (Atom=Atom', ' 58848 Body=Body', ' 37713 Other', ' 111852)']",[' Yes'],"[' 13953    (Eliminated', '    0 Frozen', ' 13953)']","[' 1651     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.85605'],[' 0'], ,[' 335.392'],[' 0'],[' 7.90961'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20849e+08'],[' 8.26905e+07'],[' 0'],[' 1.92443e+10'],[' 0'],[' 0'],[' 1042 '],[' 1726 '],[' 2467 '],[' 3086 '],[' 3784 '],[' 4279 '],[' 4883 '],[' 5467 '],[' 5965 '],[' 7 '],[' 2 ']
Solving...,TA72, , ,[' 1'],[' 4431+'],[' 2225'],"[' 571.886s (Solving', ' 549.79s 1st Model', ' 24.13s Unsat', ' 75.95s)']",[' 569.188s'], ,[' 58693919'],"[' 12705682 (Analyzed', ' 12516557)']","[' 28478    (Average', ' 439.52 Last', ' 25466)']",[' 5620.4  '],"[' 2225     (Average Length', ' 1190.08 Splits', ' 0)']","[' 12516557 (Deleted', ' 12310733)']","[' 16       (Ratio', '   0.00%)']","[' 7968     (Ratio', '   0.06%)']","[' 12516557 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12516557 (Average', '  4.02 Max', ' 8650 Sum', ' 50336532)']","[' 12514944 (Average', '  3.85 Max', ' 8506 Sum', ' 48249649 Ratio', '  95.85%)']","[' 1613     (Average', ' 1293.79 Max', ' 1800 Sum', ' 2086883 Ratio', '   4.15%)']", ,[' 267141  '],[' 10445   '],[' 244505  '],[' 82002   '],"[' 206722   (Atom=Atom', ' 58459 Body=Body', ' 37275 Other', ' 110988)']",[' Yes'],"[' 13999    (Eliminated', '    0 Frozen', ' 13999)']","[' 1403     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.52275'],[' 0'], ,[' 356.501'],[' 0'],[' 8.53048'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09373e+08'],[' 7.3205e+07'],[' 0'],[' 1.9604e+10'],[' 0'],[' 0'],[' 805 '],[' 1408 '],[' 2061 '],[' 2653 '],[' 3202 '],[' 3774 '],[' 4351 '],[' 4975 '],[' 5434 '],[' 7 '],[' 2 ']
Solving...,TA73, , ,[' 1'],[' 3987+'],[' 2003'],"[' 606.513s (Solving', ' 586.16s 1st Model', ' 21.41s Unsat', ' 0.00s)']",[' 602.813s'], ,[' 60351493'],"[' 14127058 (Analyzed', ' 13858304)']","[' 31013    (Average', ' 446.85 Last', ' 12202)']",[' 5568.7  '],"[' 2003     (Average Length', ' 1103.86 Splits', ' 0)']","[' 13858304 (Deleted', ' 13670826)']","[' 16       (Ratio', '   0.00%)']","[' 7473     (Ratio', '   0.05%)']","[' 13858304 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13858304 (Average', '  3.79 Max', ' 9511 Sum', ' 52488527)']","[' 13856607 (Average', '  3.66 Max', ' 8182 Sum', ' 50660651 Ratio', '  96.52%)']","[' 1697     (Average', ' 1077.12 Max', ' 1682 Sum', ' 1827876 Ratio', '   3.48%)']", ,[' 265049  '],[' 10530   '],[' 243284  '],[' 80816   '],"[' 207286   (Atom=Atom', ' 58577 Body=Body', ' 37530 Other', ' 111179)']",[' Yes'],"[' 13880    (Eliminated', '    0 Frozen', ' 13880)']","[' 1434     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.18931'],[' 0'], ,[' 392.094'],[' 0'],[' 9.24871'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18101e+08'],[' 7.74108e+07'],[' 0'],[' 2.18243e+10'],[' 0'],[' 0'],[' 1118 '],[' 1709 '],[' 2384 '],[' 3000 '],[' 3613 '],[' 4271 '],[' 4808 '],[' 5355 '],[' 5902 '],[' 9 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 4213+'],[' 2116'],"[' 606.001s (Solving', ' 586.36s 1st Model', ' 18.66s Unsat', ' 0.00s)']",[' 604.766s'], ,[' 59040178'],"[' 14330305 (Analyzed', ' 14112654)']","[' 30566    (Average', ' 461.71 Last', ' 7595)']",[' 5273.6  '],"[' 2116     (Average Length', ' 1131.15 Splits', ' 0)']","[' 14112654 (Deleted', ' 13913395)']","[' 38       (Ratio', '   0.00%)']","[' 8299     (Ratio', '   0.06%)']","[' 14112654 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14112654 (Average', '  3.67 Max', ' 8130 Sum', ' 51811186)']","[' 14110784 (Average', '  3.51 Max', ' 8130 Sum', ' 49566164 Ratio', '  95.67%)']","[' 1870     (Average', ' 1200.55 Max', ' 1737 Sum', ' 2245022 Ratio', '   4.33%)']", ,[' 266911  '],[' 10498   '],[' 244352  '],[' 81874   '],"[' 207161   (Atom=Atom', ' 58562 Body=Body', ' 37434 Other', ' 111165)']",[' Yes'],"[' 13952    (Eliminated', '    0 Frozen', ' 13952)']","[' 1666     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.98419'],[' 0'], ,[' 397.039'],[' 0'],[' 8.94223'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16648e+08'],[' 7.58882e+07'],[' 0'],[' 2.30674e+10'],[' 0'],[' 0'],[' 894 '],[' 1508 '],[' 2101 '],[' 2728 '],[' 3434 '],[' 4066 '],[' 4608 '],[' 5269 '],[' 5720 '],[' 9 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 4965+'],[' 2492'],"[' 562.969s (Solving', ' 540.12s 1st Model', ' 44.04s Unsat', ' 2.88s)']",[' 561.750s'], ,[' 87090640'],"[' 11324509 (Analyzed', ' 11096146)']","[' 24245    (Average', ' 457.67 Last', ' 164563)']",[' 4753.0  '],"[' 2492     (Average Length', ' 1293.00 Splits', ' 0)']","[' 11096146 (Deleted', ' 10943320)']","[' 60       (Ratio', '   0.00%)']","[' 18895    (Ratio', '   0.17%)']","[' 11096146 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11096146 (Average', '  7.23 Max', ' 7910 Sum', ' 80193499)']","[' 11094286 (Average', '  7.01 Max', ' 6888 Sum', ' 77789093 Ratio', '  97.00%)']","[' 1860     (Average', ' 1292.69 Max', ' 3969 Sum', ' 2404406 Ratio', '   3.00%)']", ,[' 268754  '],[' 10657   '],[' 246244  '],[' 83114   '],"[' 210709   (Atom=Atom', ' 59574 Body=Body', ' 37911 Other', ' 113224)']",[' Yes'],"[' 14365    (Eliminated', '    0 Frozen', ' 14365)']","[' 3679     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.701'],[' 0'], ,[' 329.341'],[' 0'],[' 9.79347'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.82489e+08'],[' 1.35373e+08'],[' 0'],[' 1.84669e+10'],[' 0'],[' 0'],[' 929 '],[' 1641 '],[' 2180 '],[' 2794 '],[' 3343 '],[' 3993 '],[' 4518 '],[' 5140 '],[' 5619 '],[' 8 '],[' 1 ']
Solving...,TA76, , ,[' 1'],[' 4287+'],[' 2153'],"[' 606.173s (Solving', ' 585.90s 1st Model', ' 18.05s Unsat', ' 0.00s)']",[' 603.953s'], ,[' 57554472'],"[' 14884913 (Analyzed', ' 14627710)']","[' 32326    (Average', ' 452.51 Last', ' 112467)']",[' 5420.0  '],"[' 2153     (Average Length', ' 1148.07 Splits', ' 0)']","[' 14627710 (Deleted', ' 14429412)']","[' 10       (Ratio', '   0.00%)']","[' 6344     (Ratio', '   0.04%)']","[' 14627710 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14627710 (Average', '  3.40 Max', ' 8663 Sum', ' 49752953)']","[' 14625972 (Average', '  3.26 Max', ' 7784 Sum', ' 47646016 Ratio', '  95.77%)']","[' 1738     (Average', ' 1212.28 Max', ' 1768 Sum', ' 2106937 Ratio', '   4.23%)']", ,[' 266805  '],[' 10400   '],[' 244027  '],[' 81780   '],"[' 205819   (Atom=Atom', ' 58207 Body=Body', ' 37140 Other', ' 110472)']",[' Yes'],"[' 13860    (Eliminated', '    0 Frozen', ' 13860)']","[' 1218     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.99161'],[' 0'], ,[' 391.026'],[' 0'],[' 8.36676'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08634e+08'],[' 6.89676e+07'],[' 0'],[' 2.22094e+10'],[' 0'],[' 0'],[' 917 '],[' 1562 '],[' 2168 '],[' 2762 '],[' 3385 '],[' 3896 '],[' 4519 '],[' 5161 '],[' 5674 '],[' 9 '],[' 0 ']
Solving...,TA77, , , ,[' 4065'],[' 2042'],"[' 496.579s (Solving', ' 477.47s 1st Model', ' 19.08s Unsat', ' 49.33s)']",[' 495.078s'], ,[' 51616520'],"[' 13395393 (Analyzed', ' 13208166)']","[' 29424    (Average', ' 448.89 Last', ' 29294)']",[' 5957.1  '],"[' 2042     (Average Length', ' 1088.19 Splits', ' 0)']","[' 13208166 (Deleted', ' 13018497)']","[' 22       (Ratio', '   0.00%)']","[' 4379     (Ratio', '   0.03%)']","[' 13208166 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13208166 (Average', '  3.21 Max', ' 10113 Sum', ' 42392592)']","[' 13206858 (Average', '  3.11 Max', ' 8551 Sum', ' 41043118 Ratio', '  96.82%)']","[' 1308     (Average', ' 1031.71 Max', ' 2775 Sum', ' 1349474 Ratio', '   3.18%)']", ,[' 266367  '],[' 10434   '],[' 243869  '],[' 81415   '],"[' 206019   (Atom=Atom', ' 58232 Body=Body', ' 37242 Other', ' 110545)']",[' Yes'],"[' 13802    (Eliminated', '    0 Frozen', ' 13802)']","[' 734      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.00055'],[' 0'], ,[' 303.595'],[' 0'],[' 6.08556'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.60613e+07'],[' 5.99999e+07'],[' 0'],[' 1.69693e+10'],[' 0'],[' 0'],[' 950 '],[' 1635 '],[' 2192 '],[' 2775 '],[' 3373 '],[' 4055 '],[' 4691 '],[' 5246 '],[' 5720 '],[' 6 '],[' 3 ']
Solving...,TA78, , ,[' 1'],[' 3865+'],[' 1942'],"[' 606.081s (Solving', ' 587.46s 1st Model', ' 17.49s Unsat', ' 0.00s)']",[' 604.766s'], ,[' 60788010'],"[' 14989705 (Analyzed', ' 14831665)']","[' 31280    (Average', ' 474.16 Last', ' 156464)']",[' 5140.7  '],"[' 1942     (Average Length', ' 1051.74 Splits', ' 0)']","[' 14831665 (Deleted', ' 14634288)']","[' 23       (Ratio', '   0.00%)']","[' 8454     (Ratio', '   0.06%)']","[' 14831665 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14831665 (Average', '  3.65 Max', ' 9076 Sum', ' 54169246)']","[' 14829762 (Average', '  3.52 Max', ' 7538 Sum', ' 52161913 Ratio', '  96.29%)']","[' 1903     (Average', ' 1054.83 Max', ' 1622 Sum', ' 2007333 Ratio', '   3.71%)']", ,[' 266855  '],[' 10536   '],[' 244093  '],[' 81851   '],"[' 207265   (Atom=Atom', ' 58540 Body=Body', ' 37548 Other', ' 111177)']",[' Yes'],"[' 13824    (Eliminated', '    0 Frozen', ' 13824)']","[' 1736     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.77684'],[' 0'], ,[' 401.432'],[' 0'],[' 9.3266'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16655e+08'],[' 7.56689e+07'],[' 0'],[' 2.36381e+10'],[' 0'],[' 0'],[' 985 '],[' 1570 '],[' 2215 '],[' 2769 '],[' 3457 '],[' 4151 '],[' 4779 '],[' 5193 '],[' 5692 '],[' 9 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 4291+'],[' 2155'],"[' 606.886s (Solving', ' 584.21s 1st Model', ' 27.07s Unsat', ' 0.00s)']",[' 606.047s'], ,[' 76847917'],"[' 12781446 (Analyzed', ' 12566068)']","[' 26844    (Average', ' 468.11 Last', ' 31704)']",[' 5424.0  '],"[' 2155     (Average Length', ' 1151.24 Splits', ' 0)']","[' 12566068 (Deleted', ' 12406084)']","[' 15       (Ratio', '   0.00%)']","[' 12026    (Ratio', '   0.10%)']","[' 12566068 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12566068 (Average', '  5.51 Max', ' 8024 Sum', ' 69235723)']","[' 12563989 (Average', '  5.32 Max', ' 8024 Sum', ' 66909364 Ratio', '  96.64%)']","[' 2079     (Average', ' 1118.98 Max', ' 1718 Sum', ' 2326359 Ratio', '   3.36%)']", ,[' 268471  '],[' 10579   '],[' 245577  '],[' 82688   '],"[' 208557   (Atom=Atom', ' 58925 Body=Body', ' 37677 Other', ' 111955)']",[' Yes'],"[' 14069    (Eliminated', '    0 Frozen', ' 14069)']","[' 2352     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.72327'],[' 0'], ,[' 386.275'],[' 0'],[' 10.3544'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39825e+08'],[' 1.00123e+08'],[' 0'],[' 2.08713e+10'],[' 0'],[' 0'],[' 954 '],[' 1556 '],[' 2152 '],[' 2714 '],[' 3260 '],[' 3820 '],[' 4476 '],[' 5078 '],[' 5566 '],[' 9 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 3885+'],[' 1952'],"[' 606.142s (Solving', ' 587.35s 1st Model', ' 19.31s Unsat', ' 0.00s)']",[' 604.938s'], ,[' 70343548'],"[' 13219227 (Analyzed', ' 13039724)']","[' 29280    (Average', ' 445.35 Last', ' 100884)']",[' 5235.5  '],"[' 1952     (Average Length', ' 1074.35 Splits', ' 0)']","[' 13039724 (Deleted', ' 12858015)']","[' 52       (Ratio', '   0.00%)']","[' 11569    (Ratio', '   0.09%)']","[' 13039724 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13039724 (Average', '  4.88 Max', ' 7606 Sum', ' 63583980)']","[' 13037903 (Average', '  4.72 Max', ' 7606 Sum', ' 61518809 Ratio', '  96.75%)']","[' 1821     (Average', ' 1134.09 Max', ' 1635 Sum', ' 2065171 Ratio', '   3.25%)']", ,[' 265665  '],[' 10540   '],[' 243614  '],[' 81113   '],"[' 207442   (Atom=Atom', ' 58566 Body=Body', ' 37560 Other', ' 111316)']",[' Yes'],"[' 13870    (Eliminated', '    0 Frozen', ' 13870)']","[' 2187     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.01774'],[' 0'], ,[' 393.04'],[' 0'],[' 8.91984'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49422e+08'],[' 1.04079e+08'],[' 0'],[' 2.0896e+10'],[' 0'],[' 0'],[' 856 '],[' 1661 '],[' 2307 '],[' 2923 '],[' 3415 '],[' 3876 '],[' 4515 '],[' 5129 '],[' 5545 '],[' 9 '],[' 0 ']
