Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 3465+'],[' 1743'],"[' 605.242s (Solving', ' 589.43s 1st Model', ' 14.40s Unsat', ' 0.00s)']",[' 602.953s'], ,[' 58139931'],"[' 15803921 (Analyzed', ' 15670471)']","[' 33337    (Average', ' 470.06 Last', ' 124348)']",[' 4618.7  '],"[' 1743     (Average Length', ' 958.73 Splits', ' 0)']","[' 15670471 (Deleted', ' 15460073)']","[' 17       (Ratio', '   0.00%)']","[' 8932     (Ratio', '   0.06%)']","[' 15670471 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15670471 (Average', '  3.36 Max', ' 8224 Sum', ' 52691482)']","[' 15668855 (Average', '  3.26 Max', ' 6851 Sum', ' 51087534 Ratio', '  96.96%)']","[' 1616     (Average', ' 992.54 Max', ' 1511 Sum', ' 1603948 Ratio', '   3.04%)']", ,[' 255142  '],[' 9466    '],[' 235143  '],[' 74295   '],"[' 190092   (Atom=Atom', ' 54214 Body=Body', ' 34378 Other', ' 101500)']",[' Yes'],"[' 12682    (Eliminated', '    0 Frozen', ' 12682)']","[' 1965     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.20752'],[' 0'], ,[' 407.692'],[' 0'],[' 8.61783'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18925e+08'],[' 7.53524e+07'],[' 0'],[' 2.34112e+10'],[' 0'],[' 0'],[' 917 '],[' 1688 '],[' 2290 '],[' 2833 '],[' 3384 '],[' 3993 '],[' 4422 '],[' 5022 '],[' 5609 '],[' 5974 '],[' 10 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 3527+'],[' 1774'],"[' 602.722s (Solving', ' 587.28s 1st Model', ' 13.64s Unsat', ' 50.11s)']",[' 600.984s'], ,[' 48400300'],"[' 16933418 (Analyzed', ' 16798107)']","[' 37450    (Average', ' 448.55 Last', ' 106539)']",[' 4844.6  '],"[' 1774     (Average Length', ' 984.93 Splits', ' 0)']","[' 16798107 (Deleted', ' 16535213)']","[' 12       (Ratio', '   0.00%)']","[' 5104     (Ratio', '   0.03%)']","[' 16798107 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16798107 (Average', '  2.53 Max', ' 8310 Sum', ' 42423056)']","[' 16796533 (Average', '  2.44 Max', ' 8310 Sum', ' 40910409 Ratio', '  96.43%)']","[' 1574     (Average', ' 961.02 Max', ' 1524 Sum', ' 1512647 Ratio', '   3.57%)']", ,[' 256448  '],[' 9326    '],[' 235517  '],[' 74944   '],"[' 188001   (Atom=Atom', ' 53685 Body=Body', ' 33958 Other', ' 100358)']",[' Yes'],"[' 12571    (Eliminated', '    0 Frozen', ' 12571)']","[' 1020     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.16346'],[' 0'], ,[' 405.979'],[' 0'],[' 8.82981'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.88149e+07'],[' 5.73395e+07'],[' 0'],[' 2.46511e+10'],[' 0'],[' 0'],[' 805 '],[' 1362 '],[' 1872 '],[' 2378 '],[' 2918 '],[' 3399 '],[' 4038 '],[' 4541 '],[' 5108 '],[' 5480 '],[' 9 '],[' 1 ']
Solving...,TA73, , ,[' 1'],[' 4009+'],[' 2015'],"[' 553.430s (Solving', ' 535.31s 1st Model', ' 20.37s Unsat', ' 0.37s)']",[' 552.031s'], ,[' 50592882'],"[' 13435392 (Analyzed', ' 13256464)']","[' 29950    (Average', ' 442.62 Last', ' 23548)']",[' 5075.2  '],"[' 2015     (Average Length', ' 1088.27 Splits', ' 0)']","[' 13256464 (Deleted', ' 13053384)']","[' 12       (Ratio', '   0.00%)']","[' 6171     (Ratio', '   0.05%)']","[' 13256464 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13256464 (Average', '  3.29 Max', ' 8515 Sum', ' 43552188)']","[' 13254889 (Average', '  3.17 Max', ' 6974 Sum', ' 41976732 Ratio', '  96.38%)']","[' 1575     (Average', ' 1000.29 Max', ' 1680 Sum', ' 1575456 Ratio', '   3.62%)']", ,[' 254928  '],[' 9409    '],[' 235165  '],[' 74273   '],"[' 189959   (Atom=Atom', ' 54258 Body=Body', ' 34207 Other', ' 101494)']",[' Yes'],"[' 12806    (Eliminated', '    0 Frozen', ' 12806)']","[' 1112     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.7785'],[' 0'], ,[' 358.864'],[' 0'],[' 8.10802'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01668e+08'],[' 6.41814e+07'],[' 0'],[' 2.08106e+10'],[' 0'],[' 0'],[' 1051 '],[' 1632 '],[' 2208 '],[' 2696 '],[' 3180 '],[' 3780 '],[' 4290 '],[' 4907 '],[' 5360 '],[' 5835 '],[' 9 '],[' 1 ']
Solving...,TA74, , ,[' 1'],[' 3269+'],[' 1645'],"[' 604.903s (Solving', ' 590.19s 1st Model', ' 12.98s Unsat', ' 0.00s)']",[' 603.078s'], ,[' 49202496'],"[' 17362026 (Analyzed', ' 17182857)']","[' 37614    (Average', ' 456.82 Last', ' 61783)']",[' 4631.7  '],"[' 1645     (Average Length', ' 910.60 Splits', ' 0)']","[' 17182857 (Deleted', ' 16931874)']","[' 15       (Ratio', '   0.00%)']","[' 5516     (Ratio', '   0.03%)']","[' 17182857 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17182857 (Average', '  2.56 Max', ' 7710 Sum', ' 44045889)']","[' 17181145 (Average', '  2.47 Max', ' 6934 Sum', ' 42388920 Ratio', '  96.24%)']","[' 1712     (Average', ' 967.86 Max', ' 1455 Sum', ' 1656969 Ratio', '   3.76%)']", ,[' 256454  '],[' 9357    '],[' 235448  '],[' 74867   '],"[' 188057   (Atom=Atom', ' 53680 Body=Body', ' 34051 Other', ' 100326)']",[' Yes'],"[' 12460    (Eliminated', '    0 Frozen', ' 12460)']","[' 1109     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.95079'],[' 0'], ,[' 409.736'],[' 0'],[' 7.82099'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02856e+08'],[' 5.96591e+07'],[' 0'],[' 2.38138e+10'],[' 0'],[' 0'],[' 882 '],[' 1411 '],[' 1885 '],[' 2442 '],[' 3183 '],[' 3539 '],[' 4252 '],[' 4798 '],[' 5276 '],[' 5667 '],[' 10 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 4357+'],[' 2189'],"[' 606.165s (Solving', ' 587.10s 1st Model', ' 18.47s Unsat', ' 0.00s)']",[' 601.672s'], ,[' 56013661'],"[' 14826582 (Analyzed', ' 14645467)']","[' 32701    (Average', ' 447.86 Last', ' 120069)']",[' 4659.7  '],"[' 2189     (Average Length', ' 1154.70 Splits', ' 0)']","[' 14645467 (Deleted', ' 14438175)']","[' 38       (Ratio', '   0.00%)']","[' 9226     (Ratio', '   0.06%)']","[' 14645467 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14645467 (Average', '  3.38 Max', ' 8007 Sum', ' 49467526)']","[' 14643941 (Average', '  3.26 Max', ' 7181 Sum', ' 47697480 Ratio', '  96.42%)']","[' 1526     (Average', ' 1159.93 Max', ' 1811 Sum', ' 1770046 Ratio', '   3.58%)']", ,[' 256542  '],[' 9507    '],[' 236543  '],[' 75262   '],"[' 191983   (Atom=Atom', ' 54824 Body=Body', ' 34501 Other', ' 102658)']",[' Yes'],"[' 13040    (Eliminated', '    0 Frozen', ' 13040)']","[' 1922     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.89126'],[' 0'], ,[' 390.58'],[' 0'],[' 8.55815'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20778e+08'],[' 7.79192e+07'],[' 0'],[' 2.22963e+10'],[' 0'],[' 0'],[' 871 '],[' 1505 '],[' 2049 '],[' 2739 '],[' 3262 '],[' 3706 '],[' 4268 '],[' 4815 '],[' 5298 '],[' 5737 '],[' 10 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 3847+'],[' 1934'],"[' 506.434s (Solving', ' 488.57s 1st Model', ' 16.84s Unsat', ' 1.97s)']",[' 505.578s'], ,[' 43805162'],"[' 12673380 (Analyzed', ' 12521387)']","[' 27727    (Average', ' 451.60 Last', ' 18937)']",[' 4889.1  '],"[' 1934     (Average Length', ' 1028.02 Splits', ' 0)']","[' 12521387 (Deleted', ' 12320438)']","[' 6        (Ratio', '   0.00%)']","[' 4230     (Ratio', '   0.03%)']","[' 12521387 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12521387 (Average', '  2.99 Max', ' 7326 Sum', ' 37392780)']","[' 12519902 (Average', '  2.86 Max', ' 7326 Sum', ' 35818174 Ratio', '  95.79%)']","[' 1485     (Average', ' 1060.34 Max', ' 1669 Sum', ' 1574606 Ratio', '   4.21%)']", ,[' 256300  '],[' 9286    '],[' 235523  '],[' 74869   '],"[' 187847   (Atom=Atom', ' 53685 Body=Body', ' 33838 Other', ' 100324)']",[' Yes'],"[' 12616    (Eliminated', '    0 Frozen', ' 12616)']","[' 764      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.63175'],[' 0'], ,[' 322.484'],[' 0'],[' 7.08713'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.39458e+07'],[' 5.18409e+07'],[' 0'],[' 1.86395e+10'],[' 0'],[' 0'],[' 821 '],[' 1424 '],[' 1942 '],[' 2452 '],[' 2982 '],[' 3640 '],[' 4136 '],[' 4684 '],[' 5229 '],[' 5697 '],[' 8 '],[' 2 ']
Solving...,TA77, , , ,[' 3407'],[' 1714'],"[' 560.259s (Solving', ' 544.31s 1st Model', ' 17.23s Unsat', ' 0.84s)']",[' 558.531s'], ,[' 46722188'],"[' 17141992 (Analyzed', ' 17018144)']","[' 37672    (Average', ' 451.75 Last', ' 137741)']",[' 5055.3  '],"[' 1714     (Average Length', ' 947.93 Splits', ' 0)']","[' 17018144 (Deleted', ' 16759640)']","[' 24       (Ratio', '   0.00%)']","[' 3927     (Ratio', '   0.02%)']","[' 17018144 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17018144 (Average', '  2.37 Max', ' 7612 Sum', ' 40313648)']","[' 17016778 (Average', '  2.29 Max', ' 7516 Sum', ' 39052223 Ratio', '  96.87%)']","[' 1366     (Average', ' 923.44 Max', ' 1477 Sum', ' 1261425 Ratio', '   3.13%)']", ,[' 255491  '],[' 9369    '],[' 235121  '],[' 74339   '],"[' 188480   (Atom=Atom', ' 53797 Body=Body', ' 34087 Other', ' 100596)']",[' Yes'],"[' 12553    (Eliminated', '    0 Frozen', ' 12553)']","[' 716      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.25355'],[' 0'], ,[' 362.463'],[' 0'],[' 6.46538'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.69152e+07'],[' 5.39994e+07'],[' 0'],[' 2.06439e+10'],[' 0'],[' 0'],[' 840 '],[' 1577 '],[' 2194 '],[' 2521 '],[' 3052 '],[' 3614 '],[' 4277 '],[' 4794 '],[' 5337 '],[' 5776 '],[' 9 '],[' 1 ']
Solving...,TA78, , ,[' 1'],[' 3565+'],[' 1793'],"[' 558.175s (Solving', ' 541.91s 1st Model', ' 14.05s Unsat', ' 5.46s)']",[' 554.328s'], ,[' 46773580'],"[' 13884952 (Analyzed', ' 13651216)']","[' 29953    (Average', ' 455.75 Last', ' 88608)']",[' 4794.8  '],"[' 1793     (Average Length', ' 986.07 Splits', ' 0)']","[' 13651216 (Deleted', ' 13454534)']","[' 12       (Ratio', '   0.00%)']","[' 5412     (Ratio', '   0.04%)']","[' 13651216 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13651216 (Average', '  2.99 Max', ' 7460 Sum', ' 40868453)']","[' 13649703 (Average', '  2.88 Max', ' 7283 Sum', ' 39259605 Ratio', '  96.06%)']","[' 1513     (Average', ' 1063.35 Max', ' 1569 Sum', ' 1608848 Ratio', '   3.94%)']", ,[' 254845  '],[' 9392    '],[' 234798  '],[' 74127   '],"[' 189061   (Atom=Atom', ' 53968 Body=Body', ' 34156 Other', ' 100937)']",[' Yes'],"[' 12644    (Eliminated', '    0 Frozen', ' 12644)']","[' 1040     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.25202'],[' 0'], ,[' 371.633'],[' 0'],[' 8.17033'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.43618e+07'],[' 5.75447e+07'],[' 0'],[' 2.06629e+10'],[' 0'],[' 0'],[' 898 '],[' 1463 '],[' 2121 '],[' 2664 '],[' 3162 '],[' 3712 '],[' 4250 '],[' 4790 '],[' 5273 '],[' 5711 '],[' 9 '],[' 1 ']
Solving...,TA79, , , ,[' 3795'],[' 1908'],"[' 520.648s (Solving', ' 502.51s 1st Model', ' 14.78s Unsat', ' 5.20s)']",[' 516.953s'], ,[' 47159884'],"[' 13441955 (Analyzed', ' 13285257)']","[' 29608    (Average', ' 448.70 Last', ' 64914)']",[' 4922.2  '],"[' 1908     (Average Length', ' 1035.68 Splits', ' 0)']","[' 13285257 (Deleted', ' 13094581)']","[' 21       (Ratio', '   0.00%)']","[' 6540     (Ratio', '   0.05%)']","[' 13285257 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13285257 (Average', '  3.08 Max', ' 8115 Sum', ' 40919413)']","[' 13283601 (Average', '  2.94 Max', ' 8115 Sum', ' 39124284 Ratio', '  95.61%)']","[' 1656     (Average', ' 1084.02 Max', ' 1610 Sum', ' 1795129 Ratio', '   4.39%)']", ,[' 257649  '],[' 9489    '],[' 236801  '],[' 75719   '],"[' 190896   (Atom=Atom', ' 54471 Body=Body', ' 34447 Other', ' 101978)']",[' Yes'],"[' 12831    (Eliminated', '    0 Frozen', ' 12831)']","[' 1351     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.62987'],[' 0'], ,[' 325.182'],[' 0'],[' 6.94121'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.72112e+07'],[' 5.98666e+07'],[' 0'],[' 1.72943e+10'],[' 0'],[' 0'],[' 837 '],[' 1440 '],[' 2021 '],[' 2499 '],[' 2996 '],[' 3677 '],[' 4096 '],[' 4633 '],[' 5236 '],[' 5656 '],[' 8 '],[' 2 ']
Solving...,TA80, , , ,[' 3867'],[' 1944'],"[' 546.937s (Solving', ' 528.56s 1st Model', ' 20.50s Unsat', ' 35.27s)']",[' 544.219s'], ,[' 57274349'],"[' 13088606 (Analyzed', ' 12936046)']","[' 27784    (Average', ' 465.59 Last', ' 113858)']",[' 4564.4  '],"[' 1944     (Average Length', ' 1047.85 Splits', ' 0)']","[' 12936046 (Deleted', ' 12744689)']","[' 48       (Ratio', '   0.00%)']","[' 9202     (Ratio', '   0.07%)']","[' 12936046 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12936046 (Average', '  4.01 Max', ' 7854 Sum', ' 51868667)']","[' 12934315 (Average', '  3.85 Max', ' 7854 Sum', ' 49843008 Ratio', '  96.09%)']","[' 1731     (Average', ' 1170.22 Max', ' 1684 Sum', ' 2025659 Ratio', '   3.91%)']", ,[' 256013  '],[' 9496    '],[' 235954  '],[' 74857   '],"[' 191166   (Atom=Atom', ' 54535 Body=Body', ' 34468 Other', ' 102163)']",[' Yes'],"[' 12881    (Eliminated', '    0 Frozen', ' 12881)']","[' 1893     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.77677'],[' 0'], ,[' 338.367'],[' 0'],[' 7.83294'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27367e+08'],[' 8.42578e+07'],[' 0'],[' 1.79885e+10'],[' 0'],[' 0'],[' 786 '],[' 1372 '],[' 2110 '],[' 2592 '],[' 3093 '],[' 3624 '],[' 4120 '],[' 4650 '],[' 5161 '],[' 5565 '],[' 8 '],[' 2 ']
