Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 819'],[' 420'],"[' 10.604s (Solving', ' 8.75s 1st Model', ' 0.61s Unsat', ' 2.16s)']",[' 10.422s'], ,[' 661604  '],"[' 108629   (Analyzed', ' 65785)']","[' 424      (Average', ' 155.15 Last', ' 118)']",[' 964.2   '],"[' 420      (Average Length', ' 254.44 Splits', ' 0)']","[' 65785    (Deleted', ' 56473)']","[' 28       (Ratio', '   0.04%)']","[' 388      (Ratio', '   0.59%)']","[' 65785    (Average Length', '    8.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 65785    (Average', '  6.05 Max', ' 1596 Sum', ' 398324)']","[' 65480    (Average', '  4.96 Max', ' 1368 Sum', ' 326245 Ratio', '  81.90%)']","[' 305      (Average', ' 236.32 Max', ' 426 Sum', '  72079 Ratio', '  18.10%)']", ,[' 56797   '],[' 1654    '],[' 53089   '],[' 15941   '],"[' 41406    (Atom=Atom', ' 12507 Body=Body', ' 7271 Other', ' 21628)']",[' Yes'],"[' 2638     (Eliminated', '    0 Frozen', ' 2638)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.321171'],[' 0'], ,[' 2.18592'],[' 0'],[' 0.0687445'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52307e+06'],[' 1.12524e+06'],[' 0'],[' 7.45863e+07'],[' 0'],[' 0'],[' 572 '],[' 828 '],[' 1187 '],[' 1520 '],[' 1776 '],[' 2093 '],[' 2379 '],[' 2677 '],[' 2973 '],[' 3139 '],[' 0 '],[' 10 ']
Solving...,TA52, , , ,[' 835'],[' 428'],"[' 11.092s (Solving', ' 8.89s 1st Model', ' 0.78s Unsat', ' 0.98s)']",[' 10.891s'], ,[' 699516  '],"[' 87131    (Analyzed', ' 44990)']","[' 360      (Average', ' 124.97 Last', ' 492)']",[' 969.1   '],"[' 428      (Average Length', ' 264.49 Splits', ' 0)']","[' 44990    (Deleted', ' 33520)']","[' 31       (Ratio', '   0.07%)']","[' 459      (Ratio', '   1.02%)']","[' 44990    (Average Length', '    8.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 44990    (Average', '  9.61 Max', ' 1725 Sum', ' 432195)']","[' 44728    (Average', '  8.04 Max', ' 1392 Sum', ' 361615 Ratio', '  83.67%)']","[' 262      (Average', ' 269.39 Max', ' 441 Sum', '  70580 Ratio', '  16.33%)']", ,[' 56741   '],[' 1684    '],[' 53135   '],[' 15927   '],"[' 41887    (Atom=Atom', ' 12641 Body=Body', ' 7362 Other', ' 21884)']",[' Yes'],"[' 2683     (Eliminated', '    0 Frozen', ' 2683)']","[' 7        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.371593'],[' 0'], ,[' 1.40976'],[' 0'],[' 0.0621472'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51085e+06'],[' 1.156e+06'],[' 0'],[' 3.90839e+07'],[' 0'],[' 0'],[' 522 '],[' 807 '],[' 1215 '],[' 1482 '],[' 1774 '],[' 2160 '],[' 2487 '],[' 2771 '],[' 3017 '],[' 3213 '],[' 0 '],[' 10 ']
Solving...,TA53, , , ,[' 921'],[' 471'],"[' 11.951s (Solving', ' 10.06s 1st Model', ' 0.70s Unsat', ' 3.33s)']",[' 11.953s'], ,[' 1010084 '],"[' 283509   (Analyzed', ' 273903)']","[' 841      (Average', ' 325.69 Last', ' 414)']",[' 994.5   '],"[' 471      (Average Length', ' 283.20 Splits', ' 0)']","[' 273903   (Deleted', ' 260900)']","[' 32       (Ratio', '   0.01%)']","[' 515      (Ratio', '   0.19%)']","[' 273903   (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 273903   (Average', '  2.70 Max', ' 1712 Sum', ' 740185)']","[' 273645   (Average', '  2.44 Max', ' 1389 Sum', ' 667040 Ratio', '  90.12%)']","[' 258      (Average', ' 283.51 Max', ' 468 Sum', '  73145 Ratio', '   9.88%)']", ,[' 57144   '],[' 1673    '],[' 53424   '],[' 16174   '],"[' 41845    (Atom=Atom', ' 12632 Body=Body', ' 7328 Other', ' 21885)']",[' Yes'],"[' 2710     (Eliminated', '    0 Frozen', ' 2710)']","[' 25       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.343644'],[' 0'], ,[' 1.88278'],[' 0'],[' 0.0911251'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.39121e+06'],[' 1.51195e+06'],[' 0'],[' 5.4243e+07'],[' 0'],[' 0'],[' 426 '],[' 742 '],[' 1015 '],[' 1335 '],[' 1567 '],[' 1963 '],[' 2200 '],[' 2520 '],[' 2754 '],[' 2949 '],[' 0 '],[' 10 ']
Solving...,TA54, , , ,[' 1035'],[' 528'],"[' 11.822s (Solving', ' 9.43s 1st Model', ' 0.91s Unsat', ' 0.15s)']",[' 11.641s'], ,[' 777151  '],"[' 13912    (Analyzed', ' 9243)']","[' 56       (Average', ' 165.05 Last', ' 219)']",[' 1071.6  '],"[' 528      (Average Length', ' 312.88 Splits', ' 0)']","[' 9243     (Deleted', ' 1131)']","[' 8        (Ratio', '   0.09%)']","[' 161      (Ratio', '   1.74%)']","[' 9243     (Average Length', '    8.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9243     (Average', ' 49.92 Max', ' 1653 Sum', ' 461413)']","[' 8958     (Average', ' 41.03 Max', ' 1653 Sum', ' 379270 Ratio', '  82.20%)']","[' 285      (Average', ' 288.22 Max', ' 497 Sum', '  82143 Ratio', '  17.80%)']", ,[' 56660   '],[' 1649    '],[' 53175   '],[' 15887   '],"[' 41708    (Atom=Atom', ' 12601 Body=Body', ' 7257 Other', ' 21850)']",[' Yes'],"[' 2746     (Eliminated', '    0 Frozen', ' 2746)']","[' 13       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.473674'],[' 0'], ,[' 0.791862'],[' 0'],[' 0.0653933'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.71822e+06'],[' 1.40994e+06'],[' 0'],[' 7.77675e+06'],[' 0'],[' 0'],[' 535 '],[' 908 '],[' 1098 '],[' 1397 '],[' 1675 '],[' 1910 '],[' 2163 '],[' 2457 '],[' 2734 '],[' 2927 '],[' 0 '],[' 10 ']
Solving...,TA55, , , ,[' 981'],[' 501'],"[' 10.615s (Solving', ' 8.44s 1st Model', ' 0.83s Unsat', ' 0.03s)']",[' 10.484s'], ,[' 701192  '],"[' 7075     (Analyzed', ' 3246)']","[' 9        (Average', ' 360.67 Last', ' 125)']",[' 1023.1  '],"[' 501      (Average Length', ' 299.43 Splits', ' 0)']","[' 3246     (Deleted', ' 0)']","[' 29       (Ratio', '   0.89%)']","[' 108      (Ratio', '   3.33%)']","[' 3246     (Average Length', '    6.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3246     (Average', ' 127.97 Max', ' 1718 Sum', ' 415386)']","[' 2996     (Average', ' 105.30 Max', ' 1383 Sum', ' 341794 Ratio', '  82.28%)']","[' 250      (Average', ' 294.37 Max', ' 499 Sum', '  73592 Ratio', '  17.72%)']", ,[' 56257   '],[' 1637    '],[' 52810   '],[' 15681   '],"[' 41399    (Atom=Atom', ' 12526 Body=Body', ' 7221 Other', ' 21652)']",[' Yes'],"[' 2704     (Eliminated', '    0 Frozen', ' 2704)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.416216'],[' 0'], ,[' 0.618153'],[' 0'],[' 0.0581039'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46691e+06'],[' 1.21413e+06'],[' 0'],[' 3.85718e+06'],[' 0'],[' 0'],[' 425 '],[' 783 '],[' 1093 '],[' 1390 '],[' 1711 '],[' 2129 '],[' 2405 '],[' 2616 '],[' 2855 '],[' 3016 '],[' 0 '],[' 10 ']
Solving...,TA56, , , ,[' 661'],[' 341'],"[' 11.551s (Solving', ' 10.02s 1st Model', ' 0.51s Unsat', ' 5.06s)']",[' 11.531s'], ,[' 772518  '],"[' 209530   (Analyzed', ' 198263)']","[' 642      (Average', ' 308.82 Last', ' 9870)']",[' 916.2   '],"[' 341      (Average Length', ' 223.45 Splits', ' 0)']","[' 198263   (Deleted', ' 183189)']","[' 18       (Ratio', '   0.01%)']","[' 394      (Ratio', '   0.20%)']","[' 198263   (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 198263   (Average', '  2.98 Max', ' 1515 Sum', ' 590532)']","[' 197990   (Average', '  2.66 Max', ' 1312 Sum', ' 526973 Ratio', '  89.24%)']","[' 273      (Average', ' 232.82 Max', ' 355 Sum', '  63559 Ratio', '  10.76%)']", ,[' 56220   '],[' 1644    '],[' 52639   '],[' 15561   '],"[' 41022    (Atom=Atom', ' 12392 Body=Body', ' 7241 Other', ' 21389)']",[' Yes'],"[' 2568     (Eliminated', '    0 Frozen', ' 2568)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.266388'],[' 0'], ,[' 3.74548'],[' 0'],[' 0.109985'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.77376e+06'],[' 1.15677e+06'],[' 0'],[' 1.54615e+08'],[' 0'],[' 0'],[' 571 '],[' 843 '],[' 1162 '],[' 1490 '],[' 1746 '],[' 2205 '],[' 2475 '],[' 2697 '],[' 2946 '],[' 3129 '],[' 0 '],[' 10 ']
Solving...,TA57, , , ,[' 801'],[' 411'],"[' 7.827s (Solving', ' 6.09s 1st Model', ' 0.63s Unsat', ' 0.10s)']",[' 8.000s'], ,[' 576885  '],"[' 10107    (Analyzed', ' 7000)']","[' 45       (Average', ' 155.56 Last', ' 274)']",[' 933.1   '],"[' 411      (Average Length', ' 257.69 Splits', ' 0)']","[' 7000     (Deleted', ' 0)']","[' 19       (Ratio', '   0.27%)']","[' 145      (Ratio', '   2.07%)']","[' 7000     (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7000     (Average', ' 56.45 Max', ' 1563 Sum', ' 395151)']","[' 6665     (Average', ' 43.24 Max', ' 1303 Sum', ' 302660 Ratio', '  76.59%)']","[' 335      (Average', ' 276.09 Max', ' 406 Sum', '  92491 Ratio', '  23.41%)']", ,[' 56596   '],[' 1673    '],[' 53013   '],[' 15817   '],"[' 41700    (Atom=Atom', ' 12580 Body=Body', ' 7329 Other', ' 21791)']",[' Yes'],"[' 2663     (Eliminated', '    0 Frozen', ' 2663)']","[' 7        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.314883'],[' 0'], ,[' 0.513042'],[' 0'],[' 0.0443974'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21737e+06'],[' 999104'],[' 0'],[' 5.33602e+06'],[' 0'],[' 0'],[' 600 '],[' 895 '],[' 1216 '],[' 1522 '],[' 1831 '],[' 2327 '],[' 2616 '],[' 2809 '],[' 3076 '],[' 3213 '],[' 0 '],[' 10 ']
Solving...,TA58, , , ,[' 1013'],[' 517'],"[' 13.012s (Solving', ' 10.45s 1st Model', ' 1.02s Unsat', ' 0.24s)']",[' 12.453s'], ,[' 763113  '],"[' 13095    (Analyzed', ' 8433)']","[' 50       (Average', ' 168.66 Last', ' 217)']",[' 1083.3  '],"[' 517      (Average Length', ' 311.91 Splits', ' 0)']","[' 8433     (Deleted', ' 2594)']","[' 20       (Ratio', '   0.24%)']","[' 185      (Ratio', '   2.19%)']","[' 8433     (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8433     (Average', ' 51.81 Max', ' 1692 Sum', ' 436872)']","[' 8187     (Average', ' 43.54 Max', ' 1372 Sum', ' 367198 Ratio', '  84.05%)']","[' 246      (Average', ' 283.23 Max', ' 496 Sum', '  69674 Ratio', '  15.95%)']", ,[' 56792   '],[' 1657    '],[' 53243   '],[' 15980   '],"[' 41759    (Atom=Atom', ' 12620 Body=Body', ' 7280 Other', ' 21859)']",[' Yes'],"[' 2753     (Eliminated', '    0 Frozen', ' 2753)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.507356'],[' 0'], ,[' 0.954378'],[' 0'],[' 0.0751594'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65249e+06'],[' 1.35695e+06'],[' 0'],[' 1.16702e+07'],[' 0'],[' 0'],[' 464 '],[' 851 '],[' 1102 '],[' 1509 '],[' 1730 '],[' 2100 '],[' 2414 '],[' 2720 '],[' 3023 '],[' 3260 '],[' 0 '],[' 10 ']
Solving...,TA59, , , ,[' 975'],[' 498'],"[' 10.800s (Solving', ' 8.54s 1st Model', ' 0.88s Unsat', ' 0.05s)']",[' 10.438s'], ,[' 689063  '],"[' 9357     (Analyzed', ' 5056)']","[' 30       (Average', ' 168.53 Last', ' 67)']",[' 1045.4  '],"[' 498      (Average Length', ' 301.95 Splits', ' 0)']","[' 5056     (Deleted', ' 0)']","[' 19       (Ratio', '   0.38%)']","[' 180      (Ratio', '   3.56%)']","[' 5056     (Average Length', '    7.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5056     (Average', ' 77.82 Max', ' 1759 Sum', ' 393462)']","[' 4808     (Average', ' 63.64 Max', ' 1381 Sum', ' 321773 Ratio', '  81.78%)']","[' 248      (Average', ' 289.07 Max', ' 494 Sum', '  71689 Ratio', '  18.22%)']", ,[' 56509   '],[' 1640    '],[' 53014   '],[' 15806   '],"[' 41458    (Atom=Atom', ' 12535 Body=Body', ' 7230 Other', ' 21693)']",[' Yes'],"[' 2713     (Eliminated', '    0 Frozen', ' 2713)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.427703'],[' 0'], ,[' 0.656352'],[' 0'],[' 0.0587375'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48366e+06'],[' 1.22175e+06'],[' 0'],[' 4.71841e+06'],[' 0'],[' 0'],[' 430 '],[' 765 '],[' 1001 '],[' 1272 '],[' 1526 '],[' 1934 '],[' 2203 '],[' 2503 '],[' 2742 '],[' 2996 '],[' 0 '],[' 10 ']
Solving...,TA60, , , ,[' 797'],[' 409'],"[' 8.120s (Solving', ' 6.31s 1st Model', ' 0.70s Unsat', ' 0.07s)']",[' 8.188s'], ,[' 692655  '],"[' 9781     (Analyzed', ' 6436)']","[' 38       (Average', ' 169.37 Last', ' 611)']",[' 1029.0  '],"[' 409      (Average Length', ' 256.42 Splits', ' 0)']","[' 6436     (Deleted', ' 0)']","[' 18       (Ratio', '   0.28%)']","[' 171      (Ratio', '   2.66%)']","[' 6436     (Average Length', '    7.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6436     (Average', ' 68.83 Max', ' 1588 Sum', ' 443002)']","[' 6190     (Average', ' 59.19 Max', ' 1348 Sum', ' 380957 Ratio', '  85.99%)']","[' 246      (Average', ' 252.22 Max', ' 400 Sum', '  62045 Ratio', '  14.01%)']", ,[' 56616   '],[' 1646    '],[' 52975   '],[' 15819   '],"[' 41269    (Atom=Atom', ' 12468 Body=Body', ' 7247 Other', ' 21554)']",[' Yes'],"[' 2639     (Eliminated', '    0 Frozen', ' 2639)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.32409'],[' 0'], ,[' 0.543698'],[' 0'],[' 0.049998'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38934e+06'],[' 1.15246e+06'],[' 0'],[' 6.55273e+06'],[' 0'],[' 0'],[' 462 '],[' 836 '],[' 1161 '],[' 1407 '],[' 1668 '],[' 1986 '],[' 2355 '],[' 2643 '],[' 2834 '],[' 3040 '],[' 0 '],[' 10 ']
