Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1'],[' 6191+'],[' 3099'],"[' 606.455s (Solving', ' 581.01s 1st Model', ' 479.07s Unsat', ' 0.00s)']",[' 602.844s'], ,[' 271333305'],"[' 2766838  (Analyzed', ' 2115949)']","[' 7961     (Average', ' 265.79 Last', ' 117090)']",[' 6174.3  '],"[' 3099     (Average Length', ' 1633.62 Splits', ' 0)']","[' 2115949  (Deleted', ' 2058660)']","[' 296      (Ratio', '   0.01%)']","[' 43220    (Ratio', '   2.04%)']","[' 2115949  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2115949  (Average', ' 121.60 Max', ' 6171 Sum', ' 257291281)']","[' 2115280  (Average', ' 121.12 Max', ' 6171 Sum', ' 256285133 Ratio', '  99.61%)']","[' 669      (Average', ' 1503.96 Max', ' 4943 Sum', ' 1006148 Ratio', '   0.39%)']", ,[' 139616  '],[' 10135   '],[' 133273  '],[' 68119   '],"[' 196200   (Atom=Atom', ' 51632 Body=Body', ' 35998 Other', ' 108570)']",[' Yes'],"[' 13380    (Eliminated', '    0 Frozen', ' 13380)']","[' 5557     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.17472'],[' 0'], ,[' 203.116'],[' 0'],[' 19.1222'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.74484e+08'],[' 6.74427e+08'],[' 0'],[' 5.5752e+09'],[' 0'],[' 0'],[' 1165 '],[' 2335 '],[' 3245 '],[' 3 '],[' 0 ']
Solving...,TA62, , ,[' 1'],[' 7301+'],[' 3654'],"[' 608.108s (Solving', ' 577.00s 1st Model', ' 454.97s Unsat', ' 0.00s)']",[' 605.141s'], ,[' 269876501'],"[' 2998681  (Analyzed', ' 2092064)']","[' 8278     (Average', ' 252.73 Last', ' 194773)']",[' 6621.1  '],"[' 3654     (Average Length', ' 1905.95 Splits', ' 0)']","[' 2092064  (Deleted', ' 2031761)']","[' 332      (Ratio', '   0.02%)']","[' 42922    (Ratio', '   2.05%)']","[' 2092064  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2092064  (Average', ' 120.79 Max', ' 6309 Sum', ' 252691425)']","[' 2091318  (Average', ' 120.18 Max', ' 6309 Sum', ' 251423364 Ratio', '  99.50%)']","[' 746      (Average', ' 1699.81 Max', ' 2132 Sum', ' 1268061 Ratio', '   0.50%)']", ,[' 140477  '],[' 10169   '],[' 134564  '],[' 68930   '],"[' 198448   (Atom=Atom', ' 52354 Body=Body', ' 36104 Other', ' 109990)']",[' Yes'],"[' 13864    (Eliminated', '    0 Frozen', ' 13864)']","[' 5595     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.25422'],[' 0'], ,[' 197.803'],[' 0'],[' 18.7754'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.44123e+08'],[' 6.46055e+08'],[' 0'],[' 5.64404e+09'],[' 0'],[' 0'],[' 1201 '],[' 2384 '],[' 3370 '],[' 3 '],[' 0 ']
Solving...,TA63, , ,[' 1'],[' 6939+'],[' 3473'],"[' 606.635s (Solving', ' 580.12s 1st Model', ' 441.83s Unsat', ' 0.00s)']",[' 604.266s'], ,[' 282328326'],"[' 3495803  (Analyzed', ' 2923204)']","[' 9816     (Average', ' 297.80 Last', ' 312691)']",[' 6299.1  '],"[' 3473     (Average Length', ' 1796.71 Splits', ' 0)']","[' 2923204  (Deleted', ' 2858836)']","[' 338      (Ratio', '   0.01%)']","[' 41862    (Ratio', '   1.43%)']","[' 2923204  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2923204  (Average', ' 91.36 Max', ' 6093 Sum', ' 267053128)']","[' 2922464  (Average', ' 90.92 Max', ' 6093 Sum', ' 265769504 Ratio', '  99.52%)']","[' 740      (Average', ' 1734.63 Max', ' 2104 Sum', ' 1283624 Ratio', '   0.48%)']", ,[' 140386  '],[' 10146   '],[' 134301  '],[' 68854   '],"[' 196916   (Atom=Atom', ' 51883 Body=Body', ' 35938 Other', ' 109095)']",[' Yes'],"[' 13622    (Eliminated', '    0 Frozen', ' 13622)']","[' 5687     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.57398'],[' 0'], ,[' 208.94'],[' 0'],[' 19.8984'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.7638e+08'],[' 6.64761e+08'],[' 0'],[' 6.23132e+09'],[' 0'],[' 0'],[' 1201 '],[' 2199 '],[' 3134 '],[' 3 '],[' 0 ']
Solving...,TA64, , ,[' 1'],[' 5981+'],[' 2994'],"[' 605.262s (Solving', ' 584.38s 1st Model', ' 356.11s Unsat', ' 0.00s)']",[' 602.984s'], ,[' 299714109'],"[' 4269158  (Analyzed', ' 3700876)']","[' 10804    (Average', ' 342.55 Last', ' 157861)']",[' 6121.8  '],"[' 2994     (Average Length', ' 1571.81 Splits', ' 0)']","[' 3700876  (Deleted', ' 3622604)']","[' 360      (Ratio', '   0.01%)']","[' 47177    (Ratio', '   1.27%)']","[' 3700876  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3700876  (Average', ' 77.33 Max', ' 6124 Sum', ' 286188493)']","[' 3700191  (Average', ' 77.04 Max', ' 6124 Sum', ' 285118117 Ratio', '  99.63%)']","[' 685      (Average', ' 1562.59 Max', ' 1880 Sum', ' 1070376 Ratio', '   0.37%)']", ,[' 139693  '],[' 10166   '],[' 133112  '],[' 68267   '],"[' 196392   (Atom=Atom', ' 51643 Body=Body', ' 36141 Other', ' 108608)']",[' Yes'],"[' 13189    (Eliminated', '    0 Frozen', ' 13189)']","[' 6309     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.55335'],[' 0'], ,[' 222.725'],[' 0'],[' 19.7726'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.32756e+08'],[' 7.2067e+08'],[' 0'],[' 7.57627e+09'],[' 0'],[' 0'],[' 1311 '],[' 2293 '],[' 3195 '],[' 3 '],[' 0 ']
Solving...,TA65, , ,[' 1'],[' 6615+'],[' 3311'],"[' 605.423s (Solving', ' 583.01s 1st Model', ' 487.63s Unsat', ' 0.00s)']",[' 603.297s'], ,[' 313127980'],"[' 2990943  (Analyzed', ' 2553382)']","[' 9458     (Average', ' 269.97 Last', ' 163414)']",[' 6245.1  '],"[' 3311     (Average Length', ' 1748.29 Splits', ' 0)']","[' 2553382  (Deleted', ' 2494269)']","[' 316      (Ratio', '   0.01%)']","[' 45182    (Ratio', '   1.77%)']","[' 2553382  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2553382  (Average', ' 116.92 Max', ' 6218 Sum', ' 298551577)']","[' 2552733  (Average', ' 116.49 Max', ' 6218 Sum', ' 297455331 Ratio', '  99.63%)']","[' 649      (Average', ' 1689.13 Max', ' 5218 Sum', ' 1096246 Ratio', '   0.37%)']", ,[' 139882  '],[' 10152   '],[' 133648  '],[' 68349   '],"[' 197091   (Atom=Atom', ' 51906 Body=Body', ' 36055 Other', ' 109130)']",[' Yes'],"[' 13491    (Eliminated', '    0 Frozen', ' 13491)']","[' 5574     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.72925'],[' 0'], ,[' 204.672'],[' 0'],[' 20.2227'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.08299e+08'],[' 7.88316e+08'],[' 0'],[' 6.50249e+09'],[' 0'],[' 0'],[' 1117 '],[' 2174 '],[' 3129 '],[' 3 '],[' 0 ']
Solving...,TA66, , ,[' 1'],[' 6951+'],[' 3479'],"[' 606.708s (Solving', ' 579.72s 1st Model', ' 448.26s Unsat', ' 0.00s)']",[' 603.938s'], ,[' 289372388'],"[' 3541451  (Analyzed', ' 2633986)']","[' 9888     (Average', ' 266.38 Last', ' 146298)']",[' 6413.0  '],"[' 3479     (Average Length', ' 1810.03 Splits', ' 0)']","[' 2633986  (Deleted', ' 2575632)']","[' 335      (Ratio', '   0.01%)']","[' 42649    (Ratio', '   1.62%)']","[' 2633986  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2633986  (Average', ' 103.73 Max', ' 6272 Sum', ' 273215915)']","[' 2633321  (Average', ' 103.30 Max', ' 6272 Sum', ' 272083366 Ratio', '  99.59%)']","[' 665      (Average', ' 1703.08 Max', ' 2090 Sum', ' 1132549 Ratio', '   0.41%)']", ,[' 140345  '],[' 10180   '],[' 134250  '],[' 68708   '],"[' 198003   (Atom=Atom', ' 52159 Body=Body', ' 36198 Other', ' 109646)']",[' Yes'],"[' 13708    (Eliminated', '    0 Frozen', ' 13708)']","[' 5545     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.58666'],[' 0'], ,[' 209.96'],[' 0'],[' 19.5924'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.09184e+08'],[' 6.96876e+08'],[' 0'],[' 6.65767e+09'],[' 0'],[' 0'],[' 1166 '],[' 2233 '],[' 3245 '],[' 3 '],[' 0 ']
Solving...,TA67, , ,[' 1'],[' 4977+'],[' 2492'],"[' 430.376s (Solving', ' 414.05s 1st Model', ' 209.94s Unsat', ' 0.00s)']",[' 427.797s'], ,[' 191733189'],"[' 3770323  (Analyzed', ' 2980809)']","[' 8324     (Average', ' 358.10 Last', ' 137641)']",[' 5576.5  '],"[' 2491     (Average Length', ' 1399.74 Splits', ' 0)']","[' 2980809  (Deleted', ' 2924813)']","[' 266      (Ratio', '   0.01%)']","[' 29438    (Ratio', '   0.99%)']","[' 2980809  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2980809  (Average', ' 60.88 Max', ' 6154 Sum', ' 181466217)']","[' 2980102  (Average', ' 60.48 Max', ' 6154 Sum', ' 180269779 Ratio', '  99.34%)']","[' 707      (Average', ' 1692.27 Max', ' 1980 Sum', ' 1196438 Ratio', '   0.66%)']", ,[' 138994  '],[' 10110   '],[' 132159  '],[' 67492   '],"[' 193853   (Atom=Atom', ' 50850 Body=Body', ' 35877 Other', ' 107126)']",[' Yes'],"[' 12848    (Eliminated', '    0 Frozen', ' 12848)']","[' 5808     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.47383'],[' 0'], ,[' 159.982'],[' 0'],[' 13.7704'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.12018e+08'],[' 4.33559e+08'],[' 0'],[' 5.0117e+09'],[' 0'],[' 0'],[' 1300 '],[' 2407 '],[' 6800 '],[' 3 '],[' 0 ']
Solving...,TA68, , ,[' 1'],[' 7527+'],[' 3767'],"[' 606.976s (Solving', ' 578.40s 1st Model', ' 459.96s Unsat', ' 0.00s)']",[' 603.766s'], ,[' 295033332'],"[' 3929502  (Analyzed', ' 2992585)']","[' 10706    (Average', ' 279.52 Last', ' 393584)']",[' 6560.3  '],"[' 3767     (Average Length', ' 1942.30 Splits', ' 0)']","[' 2992585  (Deleted', ' 2925947)']","[' 302      (Ratio', '   0.01%)']","[' 41983    (Ratio', '   1.40%)']","[' 2992585  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2992585  (Average', ' 92.77 Max', ' 6249 Sum', ' 277613757)']","[' 2991863  (Average', ' 92.32 Max', ' 6249 Sum', ' 276275494 Ratio', '  99.52%)']","[' 722      (Average', ' 1853.55 Max', ' 2273 Sum', ' 1338263 Ratio', '   0.48%)']", ,[' 140125  '],[' 10099   '],[' 134270  '],[' 68646   '],"[' 197620   (Atom=Atom', ' 52128 Body=Body', ' 35901 Other', ' 109591)']",[' Yes'],"[' 13841    (Eliminated', '    0 Frozen', ' 13841)']","[' 5567     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.97438'],[' 0'], ,[' 209.231'],[' 0'],[' 19.4023'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.99436e+08'],[' 6.86667e+08'],[' 0'],[' 6.60807e+09'],[' 0'],[' 0'],[' 1121 '],[' 2168 '],[' 3133 '],[' 3 '],[' 0 ']
Solving...,TA69, , ,[' 1'],[' 6245+'],[' 3126'],"[' 606.123s (Solving', ' 581.91s 1st Model', ' 366.32s Unsat', ' 0.00s)']",[' 600.891s'], ,[' 274592206'],"[' 3258419  (Analyzed', ' 2594516)']","[' 7905     (Average', ' 328.21 Last', ' 135086)']",[' 6302.3  '],"[' 3126     (Average Length', ' 1653.77 Splits', ' 0)']","[' 2594516  (Deleted', ' 2529685)']","[' 352      (Ratio', '   0.01%)']","[' 46142    (Ratio', '   1.78%)']","[' 2594516  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2594516  (Average', ' 100.29 Max', ' 6141 Sum', ' 260211749)']","[' 2593771  (Average', ' 99.85 Max', ' 6141 Sum', ' 259073478 Ratio', '  99.56%)']","[' 745      (Average', ' 1527.88 Max', ' 1844 Sum', ' 1138271 Ratio', '   0.44%)']", ,[' 140423  '],[' 10219   '],[' 134091  '],[' 68737   '],"[' 197331   (Atom=Atom', ' 51942 Body=Body', ' 36245 Other', ' 109144)']",[' Yes'],"[' 13473    (Eliminated', '    0 Frozen', ' 13473)']","[' 6242     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.0767'],[' 0'], ,[' 209.484'],[' 0'],[' 19.2937'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.86003e+08'],[' 6.83163e+08'],[' 0'],[' 6.34827e+09'],[' 0'],[' 0'],[' 1369 '],[' 2489 '],[' 3460 '],[' 3 '],[' 0 ']
Solving...,TA70, , ,[' 1'],[' 5963+'],[' 2985'],"[' 604.976s (Solving', ' 584.71s 1st Model', ' 458.19s Unsat', ' 0.00s)']",[' 602.047s'], ,[' 294486391'],"[' 3703107  (Analyzed', ' 3128616)']","[' 10578    (Average', ' 295.77 Last', ' 312094)']",[' 5965.4  '],"[' 2985     (Average Length', ' 1575.83 Splits', ' 0)']","[' 3128616  (Deleted', ' 3063257)']","[' 439      (Ratio', '   0.01%)']","[' 44490    (Ratio', '   1.42%)']","[' 3128616  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3128616  (Average', ' 90.01 Max', ' 6076 Sum', ' 281598478)']","[' 3127892  (Average', ' 89.63 Max', ' 6076 Sum', ' 280428539 Ratio', '  99.58%)']","[' 724      (Average', ' 1615.94 Max', ' 1904 Sum', ' 1169939 Ratio', '   0.42%)']", ,[' 139419  '],[' 10111   '],[' 132926  '],[' 67993   '],"[' 195416   (Atom=Atom', ' 51371 Body=Body', ' 35936 Other', ' 108109)']",[' Yes'],"[' 13239    (Eliminated', '    0 Frozen', ' 13239)']","[' 5924     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.28685'],[' 0'], ,[' 223.881'],[' 0'],[' 19.9713'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.32849e+08'],[' 7.20158e+08'],[' 0'],[' 7.41163e+09'],[' 0'],[' 0'],[' 1218 '],[' 2471 '],[' 3438 '],[' 3 '],[' 0 ']
