Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1'],[' 6201+'],[' 3105'],"[' 605.167s (Solving', ' 585.61s 1st Model', ' 195.98s Unsat', ' 0.00s)']",[' 603.250s'], ,[' 279264696'],"[' 7190035  (Analyzed', ' 6941572)']","[' 16253    (Average', ' 427.09 Last', ' 135974)']",[' 5100.6  '],"[' 3105     (Average Length', ' 1639.98 Splits', ' 0)']","[' 6941572  (Deleted', ' 6851699)']","[' 471      (Ratio', '   0.01%)']","[' 40360    (Ratio', '   0.58%)']","[' 6941572  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6941572  (Average', ' 38.73 Max', ' 4883 Sum', ' 268839929)']","[' 6940807  (Average', ' 38.58 Max', ' 4883 Sum', ' 267787757 Ratio', '  99.61%)']","[' 765      (Average', ' 1375.39 Max', ' 2268 Sum', ' 1052172 Ratio', '   0.39%)']", ,[' 132867  '],[' 8761    '],[' 125512  '],[' 65753   '],"[' 174181   (Atom=Atom', ' 47472 Body=Body', ' 32732 Other', ' 93977)']",[' Yes'],"[' 12086    (Eliminated', '    0 Frozen', ' 12086)']","[' 5463     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.01639'],[' 0'], ,[' 256.08'],[' 0'],[' 18.17'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.20739e+08'],[' 6.84563e+08'],[' 0'],[' 1.11172e+10'],[' 0'],[' 0'],[' 921 '],[' 1875 '],[' 2562 '],[' 3213 '],[' 4 '],[' 0 ']
Solving...,TA62, , ,[' 1'],[' 6851+'],[' 3430'],"[' 605.236s (Solving', ' 584.16s 1st Model', ' 357.00s Unsat', ' 0.00s)']",[' 601.984s'], ,[' 276942560'],"[' 7853878  (Analyzed', ' 7313768)']","[' 18937    (Average', ' 386.22 Last', ' 926626)']",[' 5319.1  '],"[' 3430     (Average Length', ' 1769.76 Splits', ' 0)']","[' 7313768  (Deleted', ' 7233317)']","[' 395      (Ratio', '   0.01%)']","[' 37907    (Ratio', '   0.52%)']","[' 7313768  (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7313768  (Average', ' 36.21 Max', ' 5082 Sum', ' 264863811)']","[' 7313039  (Average', ' 36.06 Max', ' 5082 Sum', ' 263700106 Ratio', '  99.56%)']","[' 729      (Average', ' 1596.30 Max', ' 2247 Sum', ' 1163705 Ratio', '   0.44%)']", ,[' 133217  '],[' 8794    '],[' 126144  '],[' 66078   '],"[' 176210   (Atom=Atom', ' 48072 Body=Body', ' 32984 Other', ' 95154)']",[' Yes'],"[' 12385    (Eliminated', '    0 Frozen', ' 12385)']","[' 5205     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.33326'],[' 0'], ,[' 260.775'],[' 0'],[' 17.6922'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.78502e+08'],[' 6.40271e+08'],[' 0'],[' 1.14938e+10'],[' 0'],[' 0'],[' 890 '],[' 1785 '],[' 2561 '],[' 3248 '],[' 4 '],[' 0 ']
Solving...,TA63, , ,[' 1'],[' 6511+'],[' 3260'],"[' 605.069s (Solving', ' 585.66s 1st Model', ' 314.52s Unsat', ' 0.00s)']",[' 603.484s'], ,[' 261889676'],"[' 10020494 (Analyzed', ' 9708514)']","[' 20930    (Average', ' 463.86 Last', ' 193678)']",[' 5198.7  '],"[' 3260     (Average Length', ' 1705.78 Splits', ' 0)']","[' 9708514  (Deleted', ' 9570792)']","[' 391      (Ratio', '   0.00%)']","[' 36472    (Ratio', '   0.38%)']","[' 9708514  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9708514  (Average', ' 25.84 Max', ' 5121 Sum', ' 250881119)']","[' 9707768  (Average', ' 25.72 Max', ' 5121 Sum', ' 249707910 Ratio', '  99.53%)']","[' 746      (Average', ' 1572.67 Max', ' 2284 Sum', ' 1173209 Ratio', '   0.47%)']", ,[' 132770  '],[' 8740    '],[' 125521  '],[' 65635   '],"[' 174717   (Atom=Atom', ' 47633 Body=Body', ' 32748 Other', ' 94336)']",[' Yes'],"[' 12119    (Eliminated', '    0 Frozen', ' 12119)']","[' 5167     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.0338'],[' 0'], ,[' 263.296'],[' 0'],[' 18.004'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.51221e+08'],[' 6.23131e+08'],[' 0'],[' 1.16686e+10'],[' 0'],[' 0'],[' 1005 '],[' 1672 '],[' 2373 '],[' 3007 '],[' 4 '],[' 0 ']
Solving...,TA64, , ,[' 1'],[' 6487+'],[' 3248'],"[' 605.281s (Solving', ' 584.52s 1st Model', ' 357.55s Unsat', ' 0.00s)']",[' 603.453s'], ,[' 269372356'],"[' 9596541  (Analyzed', ' 9318810)']","[' 21374    (Average', ' 435.99 Last', ' 128167)']",[' 5423.6  '],"[' 3248     (Average Length', ' 1703.19 Splits', ' 0)']","[' 9318810  (Deleted', ' 9204210)']","[' 392      (Ratio', '   0.00%)']","[' 36235    (Ratio', '   0.39%)']","[' 9318810  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9318810  (Average', ' 27.63 Max', ' 5184 Sum', ' 257497172)']","[' 9318063  (Average', ' 27.52 Max', ' 5184 Sum', ' 256459277 Ratio', '  99.60%)']","[' 747      (Average', ' 1389.42 Max', ' 2126 Sum', ' 1037895 Ratio', '   0.40%)']", ,[' 132662  '],[' 8748    '],[' 125561  '],[' 65640   '],"[' 174430   (Atom=Atom', ' 47554 Body=Body', ' 32694 Other', ' 94182)']",[' Yes'],"[' 12140    (Eliminated', '    0 Frozen', ' 12140)']","[' 4814     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.27922'],[' 0'], ,[' 257.352'],[' 0'],[' 17.497'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.58887e+08'],[' 6.30189e+08'],[' 0'],[' 1.13996e+10'],[' 0'],[' 0'],[' 1171 '],[' 1687 '],[' 2421 '],[' 3021 '],[' 4 '],[' 0 ']
Solving...,TA65, , ,[' 1'],[' 6203+'],[' 3106'],"[' 604.796s (Solving', ' 585.71s 1st Model', ' 359.45s Unsat', ' 0.00s)']",[' 603.469s'], ,[' 267600966'],"[' 10086675 (Analyzed', ' 9835004)']","[' 22169    (Average', ' 443.64 Last', ' 167478)']",[' 5135.2  '],"[' 3106     (Average Length', ' 1635.99 Splits', ' 0)']","[' 9835004  (Deleted', ' 9682428)']","[' 384      (Ratio', '   0.00%)']","[' 38724    (Ratio', '   0.39%)']","[' 9835004  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9835004  (Average', ' 26.13 Max', ' 4874 Sum', ' 257025903)']","[' 9834230  (Average', ' 26.02 Max', ' 4874 Sum', ' 255953712 Ratio', '  99.58%)']","[' 774      (Average', ' 1385.26 Max', ' 2066 Sum', ' 1072191 Ratio', '   0.42%)']", ,[' 132543  '],[' 8758    '],[' 125197  '],[' 65456   '],"[' 174977   (Atom=Atom', ' 47667 Body=Body', ' 32897 Other', ' 94413)']",[' Yes'],"[' 12112    (Eliminated', '    0 Frozen', ' 12112)']","[' 5582     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.96846'],[' 0'], ,[' 254.682'],[' 0'],[' 18.0127'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.8979e+08'],[' 6.61673e+08'],[' 0'],[' 1.12265e+10'],[' 0'],[' 0'],[' 882 '],[' 1619 '],[' 2367 '],[' 3049 '],[' 4 '],[' 0 ']
Solving...,TA66, , ,[' 1'],[' 7059+'],[' 3534'],"[' 605.522s (Solving', ' 584.53s 1st Model', ' 346.08s Unsat', ' 0.00s)']",[' 603.500s'], ,[' 266025021'],"[' 8796353  (Analyzed', ' 8429905)']","[' 20115    (Average', ' 419.09 Last', ' 180087)']",[' 5215.1  '],"[' 3534     (Average Length', ' 1824.45 Splits', ' 0)']","[' 8429905  (Deleted', ' 8289672)']","[' 368      (Ratio', '   0.00%)']","[' 37584    (Ratio', '   0.45%)']","[' 8429905  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8429905  (Average', ' 30.18 Max', ' 4989 Sum', ' 254424524)']","[' 8429178  (Average', ' 30.03 Max', ' 4989 Sum', ' 253164553 Ratio', '  99.50%)']","[' 727      (Average', ' 1733.11 Max', ' 2769 Sum', ' 1259971 Ratio', '   0.50%)']", ,[' 132331  '],[' 8691    '],[' 125378  '],[' 65356   '],"[' 175143   (Atom=Atom', ' 47797 Body=Body', ' 32643 Other', ' 94703)']",[' Yes'],"[' 12352    (Eliminated', '    0 Frozen', ' 12352)']","[' 5047     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.3189'],[' 0'], ,[' 255.647'],[' 0'],[' 17.7059'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.78122e+08'],[' 6.48396e+08'],[' 0'],[' 1.11264e+10'],[' 0'],[' 0'],[' 889 '],[' 1623 '],[' 2384 '],[' 3087 '],[' 4 '],[' 0 ']
Solving...,TA67, , ,[' 1'],[' 6681+'],[' 3345'],"[' 605.039s (Solving', ' 585.31s 1st Model', ' 347.14s Unsat', ' 0.00s)']",[' 603.125s'], ,[' 261792323'],"[' 9500654  (Analyzed', ' 9201350)']","[' 20821    (Average', ' 441.93 Last', ' 177162)']",[' 5255.4  '],"[' 3345     (Average Length', ' 1730.85 Splits', ' 0)']","[' 9201350  (Deleted', ' 9071513)']","[' 378      (Ratio', '   0.00%)']","[' 37442    (Ratio', '   0.41%)']","[' 9201350  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9201350  (Average', ' 27.22 Max', ' 5133 Sum', ' 250445434)']","[' 9200585  (Average', ' 27.08 Max', ' 5133 Sum', ' 249197656 Ratio', '  99.50%)']","[' 765      (Average', ' 1631.08 Max', ' 2295 Sum', ' 1247778 Ratio', '   0.50%)']", ,[' 133520  '],[' 8786    '],[' 126247  '],[' 66199   '],"[' 174930   (Atom=Atom', ' 47683 Body=Body', ' 32782 Other', ' 94465)']",[' Yes'],"[' 12193    (Eliminated', '    0 Frozen', ' 12193)']","[' 5255     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.04304'],[' 0'], ,[' 260.948'],[' 0'],[' 17.3382'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.58839e+08'],[' 6.33293e+08'],[' 0'],[' 1.15918e+10'],[' 0'],[' 0'],[' 1037 '],[' 1774 '],[' 2474 '],[' 3129 '],[' 4 '],[' 0 ']
Solving...,TA68, , ,[' 1'],[' 5835+'],[' 2922'],"[' 604.720s (Solving', ' 586.37s 1st Model', ' 338.00s Unsat', ' 0.00s)']",[' 602.578s'], ,[' 230853810'],"[' 10596318 (Analyzed', ' 10291693)']","[' 22464    (Average', ' 458.14 Last', ' 190867)']",[' 5215.5  '],"[' 2922     (Average Length', ' 1555.19 Splits', ' 0)']","[' 10291693 (Deleted', ' 10138400)']","[' 379      (Ratio', '   0.00%)']","[' 33269    (Ratio', '   0.32%)']","[' 10291693 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10291693 (Average', ' 21.41 Max', ' 5141 Sum', ' 220324186)']","[' 10290935 (Average', ' 21.31 Max', ' 5141 Sum', ' 219345022 Ratio', '  99.56%)']","[' 758      (Average', ' 1291.77 Max', ' 1920 Sum', ' 979164 Ratio', '   0.44%)']", ,[' 132301  '],[' 8697    '],[' 124817  '],[' 65205   '],"[' 173232   (Atom=Atom', ' 47171 Body=Body', ' 32655 Other', ' 93406)']",[' Yes'],"[' 11892    (Eliminated', '    0 Frozen', ' 11892)']","[' 4736     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.78573'],[' 0'], ,[' 264.896'],[' 0'],[' 17.277'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.45011e+08'],[' 5.33766e+08'],[' 0'],[' 1.0333e+10'],[' 0'],[' 0'],[' 891 '],[' 1685 '],[' 2348 '],[' 3071 '],[' 4 '],[' 0 ']
Solving...,TA69, , ,[' 1'],[' 6479+'],[' 3244'],"[' 611.532s (Solving', ' 560.90s 1st Model', ' 264.53s Unsat', ' 0.00s)']",[' 602.047s'], ,[' 100433312'],"[' 1950147  (Analyzed', ' 1710906)']","[' 5236     (Average', ' 326.76 Last', ' 40648)']",[' 5529.1  '],"[' 3244     (Average Length', ' 1711.39 Splits', ' 0)']","[' 1710906  (Deleted', ' 1664090)']","[' 270      (Ratio', '   0.02%)']","[' 22954    (Ratio', '   1.34%)']","[' 1710906  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1710906  (Average', ' 51.92 Max', ' 5614 Sum', ' 88834382)']","[' 1710136  (Average', ' 51.25 Max', ' 5614 Sum', ' 87681037 Ratio', '  98.70%)']","[' 770      (Average', ' 1497.85 Max', ' 2157 Sum', ' 1153345 Ratio', '   1.30%)']", ,[' 132573  '],[' 8773    '],[' 125416  '],[' 65561   '],"[' 175116   (Atom=Atom', ' 47707 Body=Body', ' 32880 Other', ' 94529)']",[' Yes'],"[' 12224    (Eliminated', '    0 Frozen', ' 12224)']","[' 3630     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.656'],[' 0'], ,[' 183.866'],[' 0'],[' 16.9172'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.19354e+08'],[' 1.84947e+08'],[' 0'],[' 2.14161e+09'],[' 0'],[' 0'],[' 1105 '],[' 1815 '],[' 2659 '],[' 3327 '],[' 4 '],[' 0 ']
Solving...,TA70, , ,[' 1'],[' 5603+'],[' 2806'],"[' 609.530s (Solving', ' 568.27s 1st Model', ' 249.82s Unsat', ' 0.00s)']",[' 602.094s'], ,[' 99365153'],"[' 2458589  (Analyzed', ' 2230186)']","[' 6159     (Average', ' 362.10 Last', ' 81114)']",[' 5162.5  '],"[' 2806     (Average Length', ' 1497.68 Splits', ' 0)']","[' 2230186  (Deleted', ' 2175035)']","[' 292      (Ratio', '   0.01%)']","[' 24004    (Ratio', '   1.08%)']","[' 2230186  (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2230186  (Average', ' 40.28 Max', ' 5459 Sum', ' 89840984)']","[' 2229373  (Average', ' 39.78 Max', ' 5459 Sum', ' 88713740 Ratio', '  98.75%)']","[' 813      (Average', ' 1386.52 Max', ' 1943 Sum', ' 1127244 Ratio', '   1.25%)']", ,[' 132495  '],[' 8743    '],[' 124925  '],[' 65348   '],"[' 173091   (Atom=Atom', ' 47091 Body=Body', ' 32674 Other', ' 93326)']",[' Yes'],"[' 11810    (Eliminated', '    0 Frozen', ' 11810)']","[' 3512     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.31335'],[' 0'], ,[' 219.578'],[' 0'],[' 17.0027'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.11161e+08'],[' 1.7672e+08'],[' 0'],[' 2.75761e+09'],[' 0'],[' 0'],[' 1064 '],[' 1899 '],[' 2745 '],[' 3419 '],[' 4 '],[' 0 ']
