Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 3201+'],[' 1606'],"[' 601.705s (Solving', ' 595.50s 1st Model', ' 25.26s Unsat', ' 0.00s)']",[' 600.344s'], ,[' 102699084'],"[' 25747144 (Analyzed', ' 25615630)']","[' 47114    (Average', ' 543.69 Last', ' 425563)']",[' 2871.8  '],"[' 1606     (Average Length', ' 872.66 Splits', ' 0)']","[' 25615630 (Deleted', ' 25281849)']","[' 237      (Ratio', '   0.00%)']","[' 12631    (Ratio', '   0.05%)']","[' 25615630 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25615630 (Average', '  3.87 Max', ' 2946 Sum', ' 99071900)']","[' 25614997 (Average', '  3.85 Max', ' 2946 Sum', ' 98626561 Ratio', '  99.55%)']","[' 633      (Average', ' 703.54 Max', ' 1217 Sum', ' 445339 Ratio', '   0.45%)']", ,[' 84942   '],[' 4725    '],[' 79205   '],[' 37656   '],"[' 96616    (Atom=Atom', ' 26857 Body=Body', ' 17927 Other', ' 51832)']",[' Yes'],"[' 6645     (Eliminated', '    0 Frozen', ' 6645)']","[' 1878     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.35119'],[' 0'], ,[' 382.308'],[' 0'],[' 12.4985'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.53586e+08'],[' 1.63999e+08'],[' 0'],[' 2.54982e+10'],[' 0'],[' 0'],[' 828 '],[' 1362 '],[' 1964 '],[' 2529 '],[' 2991 '],[' 5 '],[' 0 ']
Solving...,TA52, , ,[' 1'],[' 2603+'],[' 1307'],"[' 601.469s (Solving', ' 596.26s 1st Model', ' 5.63s Unsat', ' 0.00s)']",[' 600.203s'], ,[' 103647190'],"[' 24427090 (Analyzed', ' 24353328)']","[' 44546    (Average', ' 546.70 Last', ' 171510)']",[' 2565.7  '],"[' 1307     (Average Length', ' 731.23 Splits', ' 0)']","[' 24353328 (Deleted', ' 24101013)']","[' 237      (Ratio', '   0.00%)']","[' 15102    (Ratio', '   0.06%)']","[' 24353328 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24353328 (Average', '  4.14 Max', ' 3315 Sum', ' 100784263)']","[' 24352674 (Average', '  4.12 Max', ' 3315 Sum', ' 100352272 Ratio', '  99.57%)']","[' 654      (Average', ' 660.54 Max', ' 943 Sum', ' 431991 Ratio', '   0.43%)']", ,[' 84929   '],[' 4780    '],[' 79030   '],[' 37659   '],"[' 96341    (Atom=Atom', ' 26728 Body=Body', ' 18037 Other', ' 51576)']",[' Yes'],"[' 6477     (Eliminated', '    0 Frozen', ' 6477)']","[' 2615     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.07031'],[' 0'], ,[' 395.147'],[' 0'],[' 12.334'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.6652e+08'],[' 1.8114e+08'],[' 0'],[' 2.66142e+10'],[' 0'],[' 0'],[' 807 '],[' 1391 '],[' 2197 '],[' 2736 '],[' 3177 '],[' 5 '],[' 0 ']
Solving...,TA53, , ,[' 1'],[' 3459+'],[' 1735'],"[' 601.725s (Solving', ' 595.19s 1st Model', ' 7.80s Unsat', ' 0.00s)']",[' 600.469s'], ,[' 80710688'],"[' 25171570 (Analyzed', ' 25019547)']","[' 48845    (Average', ' 512.22 Last', ' 76044)']",[' 2811.6  '],"[' 1735     (Average Length', ' 911.37 Splits', ' 0)']","[' 25019547 (Deleted', ' 24735603)']","[' 182      (Ratio', '   0.00%)']","[' 10966    (Ratio', '   0.04%)']","[' 25019547 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25019547 (Average', '  3.08 Max', ' 3206 Sum', ' 77070904)']","[' 25018896 (Average', '  3.06 Max', ' 3206 Sum', ' 76538327 Ratio', '  99.31%)']","[' 651      (Average', ' 818.09 Max', ' 1189 Sum', ' 532577 Ratio', '   0.69%)']", ,[' 84781   '],[' 4686    '],[' 79136   '],[' 37474   '],"[' 96676    (Atom=Atom', ' 26893 Body=Body', ' 17844 Other', ' 51939)']",[' Yes'],"[' 6721     (Eliminated', '    0 Frozen', ' 6721)']","[' 1934     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39071'],[' 0'], ,[' 393.124'],[' 0'],[' 12.0132'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04968e+08'],[' 1.30357e+08'],[' 0'],[' 2.79592e+10'],[' 0'],[' 0'],[' 742 '],[' 1288 '],[' 1756 '],[' 2393 '],[' 2835 '],[' 5 '],[' 0 ']
Solving...,TA54, , ,[' 1'],[' 3155+'],[' 1583'],"[' 601.956s (Solving', ' 595.51s 1st Model', ' 8.73s Unsat', ' 0.00s)']",[' 601.234s'], ,[' 88560180'],"[' 25501295 (Analyzed', ' 25396211)']","[' 47215    (Average', ' 537.88 Last', ' 105757)']",[' 2882.3  '],"[' 1583     (Average Length', ' 853.32 Splits', ' 0)']","[' 25396211 (Deleted', ' 25026685)']","[' 194      (Ratio', '   0.00%)']","[' 12260    (Ratio', '   0.05%)']","[' 25396211 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25396211 (Average', '  3.35 Max', ' 3322 Sum', ' 84967951)']","[' 25395652 (Average', '  3.33 Max', ' 3322 Sum', ' 84562147 Ratio', '  99.52%)']","[' 559      (Average', ' 725.95 Max', ' 1137 Sum', ' 405804 Ratio', '   0.48%)']", ,[' 84735   '],[' 4710    '],[' 78983   '],[' 37530   '],"[' 96549    (Atom=Atom', ' 26823 Body=Body', ' 17933 Other', ' 51793)']",[' Yes'],"[' 6620     (Eliminated', '    0 Frozen', ' 6620)']","[' 1758     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.33059'],[' 0'], ,[' 393.851'],[' 0'],[' 11.6143'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.06397e+08'],[' 1.30463e+08'],[' 0'],[' 2.52989e+10'],[' 0'],[' 0'],[' 812 '],[' 1390 '],[' 1942 '],[' 2384 '],[' 2900 '],[' 5 '],[' 0 ']
Solving...,TA55, , ,[' 1'],[' 3045+'],[' 1528'],"[' 601.658s (Solving', ' 595.79s 1st Model', ' 6.65s Unsat', ' 0.00s)']",[' 600.563s'], ,[' 92112419'],"[' 26432599 (Analyzed', ' 26319009)']","[' 50062    (Average', ' 525.73 Last', ' 52620)']",[' 2724.0  '],"[' 1528     (Average Length', ' 838.62 Splits', ' 0)']","[' 26319009 (Deleted', ' 25996176)']","[' 232      (Ratio', '   0.00%)']","[' 12596    (Ratio', '   0.05%)']","[' 26319009 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26319009 (Average', '  3.37 Max', ' 3191 Sum', ' 88793659)']","[' 26318453 (Average', '  3.36 Max', ' 3191 Sum', ' 88380923 Ratio', '  99.54%)']","[' 556      (Average', ' 742.33 Max', ' 1133 Sum', ' 412736 Ratio', '   0.46%)']", ,[' 84740   '],[' 4681    '],[' 78919   '],[' 37493   '],"[' 95811    (Atom=Atom', ' 26631 Body=Body', ' 17796 Other', ' 51384)']",[' Yes'],"[' 6566     (Eliminated', '    0 Frozen', ' 6566)']","[' 1895     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22606'],[' 0'], ,[' 394.755'],[' 0'],[' 11.9927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.23029e+08'],[' 1.43121e+08'],[' 0'],[' 2.53637e+10'],[' 0'],[' 0'],[' 734 '],[' 1263 '],[' 1895 '],[' 2519 '],[' 2986 '],[' 5 '],[' 0 ']
Solving...,TA56, , ,[' 1'],[' 2965+'],[' 1488'],"[' 601.703s (Solving', ' 595.65s 1st Model', ' 10.28s Unsat', ' 0.00s)']",[' 600.594s'], ,[' 87983548'],"[' 26876739 (Analyzed', ' 26746915)']","[' 48903    (Average', ' 546.94 Last', ' 176061)']",[' 2979.6  '],"[' 1488     (Average Length', ' 808.02 Splits', ' 0)']","[' 26746915 (Deleted', ' 26409193)']","[' 132      (Ratio', '   0.00%)']","[' 11243    (Ratio', '   0.04%)']","[' 26746915 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26746915 (Average', '  3.15 Max', ' 3156 Sum', ' 84228374)']","[' 26746328 (Average', '  3.13 Max', ' 3156 Sum', ' 83845676 Ratio', '  99.55%)']","[' 587      (Average', ' 651.96 Max', ' 1029 Sum', ' 382698 Ratio', '   0.45%)']", ,[' 84688   '],[' 4683    '],[' 78826   '],[' 37393   '],"[' 95776    (Atom=Atom', ' 26611 Body=Body', ' 17820 Other', ' 51345)']",[' Yes'],"[' 6528     (Eliminated', '    0 Frozen', ' 6528)']","[' 1510     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29565'],[' 0'], ,[' 392.26'],[' 0'],[' 11.7582'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1661e+08'],[' 1.36194e+08'],[' 0'],[' 2.56951e+10'],[' 0'],[' 0'],[' 810 '],[' 1394 '],[' 2147 '],[' 2504 '],[' 3021 '],[' 5 '],[' 0 ']
Solving...,TA57, , ,[' 1'],[' 2823+'],[' 1417'],"[' 601.691s (Solving', ' 595.92s 1st Model', ' 6.40s Unsat', ' 0.00s)']",[' 600.109s'], ,[' 111395865'],"[' 25007875 (Analyzed', ' 24900060)']","[' 46443    (Average', ' 536.14 Last', ' 301295)']",[' 2769.1  '],"[' 1417     (Average Length', ' 769.96 Splits', ' 0)']","[' 24900060 (Deleted', ' 24642657)']","[' 204      (Ratio', '   0.00%)']","[' 13623    (Ratio', '   0.05%)']","[' 24900060 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24900060 (Average', '  4.34 Max', ' 2886 Sum', ' 108049090)']","[' 24899403 (Average', '  4.32 Max', ' 2886 Sum', ' 107612333 Ratio', '  99.60%)']","[' 657      (Average', ' 664.77 Max', ' 964 Sum', ' 436757 Ratio', '   0.40%)']", ,[' 84882   '],[' 4755    '],[' 79016   '],[' 37634   '],"[' 96124    (Atom=Atom', ' 26682 Body=Body', ' 17913 Other', ' 51529)']",[' Yes'],"[' 6504     (Eliminated', '    0 Frozen', ' 6504)']","[' 2102     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20778'],[' 0'], ,[' 386.47'],[' 0'],[' 12.4829'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.8308e+08'],[' 1.90317e+08'],[' 0'],[' 2.54487e+10'],[' 0'],[' 0'],[' 895 '],[' 1461 '],[' 2279 '],[' 2749 '],[' 3208 '],[' 5 '],[' 0 ']
Solving...,TA58, , ,[' 1'],[' 3095+'],[' 1553'],"[' 601.654s (Solving', ' 595.48s 1st Model', ' 16.31s Unsat', ' 0.00s)']",[' 600.609s'], ,[' 116510866'],"[' 24787284 (Analyzed', ' 24668317)']","[' 46893    (Average', ' 526.06 Last', ' 74962)']",[' 2789.8  '],"[' 1553     (Average Length', ' 846.08 Splits', ' 0)']","[' 24668317 (Deleted', ' 24396786)']","[' 235      (Ratio', '   0.00%)']","[' 16462    (Ratio', '   0.07%)']","[' 24668317 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24668317 (Average', '  4.58 Max', ' 2795 Sum', ' 112923733)']","[' 24667800 (Average', '  4.56 Max', ' 2795 Sum', ' 112584682 Ratio', '  99.70%)']","[' 517      (Average', ' 655.80 Max', ' 1106 Sum', ' 339051 Ratio', '   0.30%)']", ,[' 84671   '],[' 4710    '],[' 78926   '],[' 37421   '],"[' 96622    (Atom=Atom', ' 26844 Body=Body', ' 17958 Other', ' 51820)']",[' Yes'],"[' 6627     (Eliminated', '    0 Frozen', ' 6627)']","[' 2319     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32324'],[' 0'], ,[' 375.366'],[' 0'],[' 12.3477'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.08064e+08'],[' 2.10509e+08'],[' 0'],[' 2.39018e+10'],[' 0'],[' 0'],[' 825 '],[' 1361 '],[' 1975 '],[' 2535 '],[' 3050 '],[' 5 '],[' 0 ']
Solving...,TA59, , ,[' 1'],[' 3239+'],[' 1625'],"[' 601.837s (Solving', ' 595.54s 1st Model', ' 7.29s Unsat', ' 0.00s)']",[' 600.625s'], ,[' 138072002'],"[' 24691172 (Analyzed', ' 24557968)']","[' 45806    (Average', ' 536.13 Last', ' 37866)']",[' 2656.7  '],"[' 1625     (Average Length', ' 881.36 Splits', ' 0)']","[' 24557968 (Deleted', ' 24294948)']","[' 283      (Ratio', '   0.00%)']","[' 17074    (Ratio', '   0.07%)']","[' 24557968 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24557968 (Average', '  5.48 Max', ' 2852 Sum', ' 134595338)']","[' 24557394 (Average', '  5.46 Max', ' 2852 Sum', ' 134165293 Ratio', '  99.68%)']","[' 574      (Average', ' 749.21 Max', ' 1215 Sum', ' 430045 Ratio', '   0.32%)']", ,[' 84658   '],[' 4668    '],[' 78895   '],[' 37400   '],"[' 96013    (Atom=Atom', ' 26701 Body=Body', ' 17780 Other', ' 51532)']",[' Yes'],"[' 6611     (Eliminated', '    0 Frozen', ' 6611)']","[' 2760     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.33053'],[' 0'], ,[' 363.912'],[' 0'],[' 12.7932'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.76259e+08'],[' 2.67004e+08'],[' 0'],[' 2.34104e+10'],[' 0'],[' 0'],[' 765 '],[' 1254 '],[' 1777 '],[' 2349 '],[' 2864 '],[' 5 '],[' 0 ']
Solving...,TA60, , ,[' 1'],[' 3193+'],[' 1602'],"[' 536.713s (Solving', ' 530.36s 1st Model', ' 13.53s Unsat', ' 43.53s)']",[' 535.016s'], ,[' 98265679'],"[' 21860708 (Analyzed', ' 21759265)']","[' 41405    (Average', ' 525.52 Last', ' 70662)']",[' 2654.0  '],"[' 1602     (Average Length', ' 853.08 Splits', ' 0)']","[' 21759265 (Deleted', ' 21501913)']","[' 213      (Ratio', '   0.00%)']","[' 14699    (Ratio', '   0.07%)']","[' 21759265 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21759265 (Average', '  4.36 Max', ' 2811 Sum', ' 94963891)']","[' 21758716 (Average', '  4.35 Max', ' 2811 Sum', ' 94552553 Ratio', '  99.57%)']","[' 549      (Average', ' 749.25 Max', ' 1108 Sum', ' 411338 Ratio', '   0.43%)']", ,[' 85241   '],[' 4731    '],[' 79483   '],[' 37833   '],"[' 96478    (Atom=Atom', ' 26816 Body=Body', ' 17895 Other', ' 51767)']",[' Yes'],"[' 6663     (Eliminated', '    0 Frozen', ' 6663)']","[' 2546     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.33653'],[' 0'], ,[' 346.734'],[' 0'],[' 11.4332'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.47842e+08'],[' 1.66909e+08'],[' 0'],[' 2.32441e+10'],[' 0'],[' 0'],[' 723 '],[' 1249 '],[' 1924 '],[' 2470 '],[' 2905 '],[' 4 '],[' 1 ']
