Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 9727+'],[' 4869'],"[' 628.626s (Solving', ' 544.30s 1st Model', ' 196.44s Unsat', ' 0.00s)']",[' 625.125s'], ,[' 259027186'],"[' 3117411  (Analyzed', ' 2688826)']","[' 7021     (Average', ' 382.97 Last', ' 55392)']",[' 11817.9 '],"[' 4870     (Average Length', ' 2550.01 Splits', ' 0)']","[' 2688826  (Deleted', ' 2606407)']","[' 731      (Ratio', '   0.03%)']","[' 36561    (Ratio', '   1.36%)']","[' 2688826  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2688826  (Average', ' 81.71 Max', ' 17184 Sum', ' 219702794)']","[' 2685730  (Average', ' 79.31 Max', ' 17184 Sum', ' 213251237 Ratio', '  97.06%)']","[' 3096     (Average', ' 2083.84 Max', ' 3741 Sum', ' 6451557 Ratio', '   2.94%)']", ,[' 401096  '],[' 24939   '],[' 367971  '],[' 188536  '],"[' 461187   (Atom=Atom', ' 126053 Body=Body', ' 89894 Other', ' 245240)']",[' Yes'],"[' 30302    (Eliminated', '    0 Frozen', ' 30302)']","[' 6764     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.4232'],[' 0'], ,[' 135.418'],[' 0'],[' 15.5515'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.68565e+08'],[' 4.17726e+08'],[' 0'],[' 3.57459e+09'],[' 0'],[' 0'],[' 1358 '],[' 2459 '],[' 3378 '],[' 4414 '],[' 5856 '],[' 6897 '],[' 6 '],[' 0 ']
Solving...,TA72, , , ,[' 10325+'],[' 5168'],"[' 632.170s (Solving', ' 538.63s 1st Model', ' 200.35s Unsat', ' 0.00s)']",[' 628.125s'], ,[' 204927061'],"[' 1615527  (Analyzed', ' 1232234)']","[' 4521     (Average', ' 272.56 Last', ' 40356)']",[' 11714.9 '],"[' 5169     (Average Length', ' 2680.32 Splits', ' 0)']","[' 1232234  (Deleted', ' 1173031)']","[' 551      (Ratio', '   0.04%)']","[' 25710    (Ratio', '   2.09%)']","[' 1232234  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1232234  (Average', ' 133.30 Max', ' 18139 Sum', ' 164257856)']","[' 1229662  (Average', ' 128.00 Max', ' 18139 Sum', ' 157723974 Ratio', '  96.02%)']","[' 2572     (Average', ' 2540.39 Max', ' 4106 Sum', ' 6533882 Ratio', '   3.98%)']", ,[' 399636  '],[' 24608   '],[' 366418  '],[' 187175  '],"[' 459511   (Atom=Atom', ' 125736 Body=Body', ' 89382 Other', ' 244393)']",[' Yes'],"[' 30426    (Eliminated', '    0 Frozen', ' 30426)']","[' 4112     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.094'],[' 0'], ,[' 115.504'],[' 0'],[' 14.1476'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.55145e+08'],[' 3.16798e+08'],[' 0'],[' 1.97398e+09'],[' 0'],[' 0'],[' 1122 '],[' 2085 '],[' 3010 '],[' 6019 '],[' 6642 '],[' 9177 '],[' 6 '],[' 0 ']
Solving...,TA73, , , ,[' 10035+'],[' 5024'],"[' 541.767s (Solving', ' 453.24s 1st Model', ' 163.27s Unsat', ' 0.00s)']",[' 537.203s'], ,[' 181208718'],"[' 417312   (Analyzed', ' 130688)']","[' 2041     (Average', ' 64.03 Last', ' 9350)']",[' 13526.0 '],"[' 5024     (Average Length', ' 2592.20 Splits', ' 0)']","[' 130688   (Deleted', ' 91662)']","[' 753      (Ratio', '   0.58%)']","[' 11591    (Ratio', '   8.87%)']","[' 130688   (Average Length', '   27.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 130688   (Average', ' 1025.30 Max', ' 19313 Sum', ' 133994430)']","[' 127236   (Average', ' 964.10 Max', ' 19313 Sum', ' 125996760 Ratio', '  94.03%)']","[' 3452     (Average', ' 2316.82 Max', ' 3784 Sum', ' 7997670 Ratio', '   5.97%)']", ,[' 400314  '],[' 24802   '],[' 367184  '],[' 187924  '],"[' 460388   (Atom=Atom', ' 125905 Body=Body', ' 89632 Other', ' 244851)']",[' Yes'],"[' 30208    (Eliminated', '    0 Frozen', ' 30208)']","[' 1812     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.9838'],[' 0'], ,[' 81.2581'],[' 0'],[' 12.3342'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45208e+08'],[' 2.28505e+08'],[' 0'],[' 7.13247e+08'],[' 0'],[' 0'],[' 1872 '],[' 2432 '],[' 3345 '],[' 4406 '],[' 5539 '],[' 8253 '],[' 6 '],[' 0 ']
Solving...,TA74, , , ,[' 10321+'],[' 5165'],"[' 632.325s (Solving', ' 542.36s 1st Model', ' 186.53s Unsat', ' 0.00s)']",[' 629.563s'], ,[' 232026019'],"[' 1572227  (Analyzed', ' 1178942)']","[' 4666     (Average', ' 252.67 Last', ' 31844)']",[' 12188.5 '],"[' 5166     (Average Length', ' 2664.84 Splits', ' 0)']","[' 1178942  (Deleted', ' 1113464)']","[' 491      (Ratio', '   0.04%)']","[' 28045    (Ratio', '   2.38%)']","[' 1178942  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1178942  (Average', ' 159.55 Max', ' 17562 Sum', ' 188101162)']","[' 1176469  (Average', ' 154.66 Max', ' 17562 Sum', ' 182332679 Ratio', '  96.93%)']","[' 2473     (Average', ' 2332.59 Max', ' 3972 Sum', ' 5768483 Ratio', '   3.07%)']", ,[' 399311  '],[' 24549   '],[' 366020  '],[' 186787  '],"[' 459575   (Atom=Atom', ' 125775 Body=Body', ' 89373 Other', ' 244427)']",[' Yes'],"[' 30368    (Eliminated', '    0 Frozen', ' 30368)']","[' 4279     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2028'],[' 0'], ,[' 118.004'],[' 0'],[' 15.0897'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.95748e+08'],[' 3.5592e+08'],[' 0'],[' 2.01779e+09'],[' 0'],[' 0'],[' 1224 '],[' 2110 '],[' 3030 '],[' 4308 '],[' 5584 '],[' 7438 '],[' 6 '],[' 0 ']
Solving...,TA75, , , ,[' 10331+'],[' 5170'],"[' 634.363s (Solving', ' 542.22s 1st Model', ' 207.37s Unsat', ' 0.00s)']",[' 629.203s'], ,[' 237824966'],"[' 1406788  (Analyzed', ' 947720)']","[' 4247     (Average', ' 223.15 Last', ' 38974)']",[' 11679.7 '],"[' 5171     (Average Length', ' 2685.29 Splits', ' 0)']","[' 947720   (Deleted', ' 880995)']","[' 463      (Ratio', '   0.05%)']","[' 32208    (Ratio', '   3.40%)']","[' 947720   (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 947720   (Average', ' 208.03 Max', ' 18117 Sum', ' 197157579)']","[' 945291   (Average', ' 201.27 Max', ' 18117 Sum', ' 190746573 Ratio', '  96.75%)']","[' 2429     (Average', ' 2639.36 Max', ' 4833 Sum', ' 6411006 Ratio', '   3.25%)']", ,[' 401571  '],[' 24894   '],[' 368411  '],[' 188872  '],"[' 461312   (Atom=Atom', ' 126140 Body=Body', ' 89713 Other', ' 245459)']",[' Yes'],"[' 30489    (Eliminated', '    0 Frozen', ' 30489)']","[' 4053     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.364'],[' 0'], ,[' 114.397'],[' 0'],[' 15.0961'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.43634e+08'],[' 3.99326e+08'],[' 0'],[' 1.97042e+09'],[' 0'],[' 0'],[' 1246 '],[' 2224 '],[' 3210 '],[' 5841 '],[' 5434 '],[' 7180 '],[' 6 '],[' 0 ']
Solving...,TA76, , , ,[' 10129+'],[' 5069'],"[' 634.915s (Solving', ' 536.24s 1st Model', ' 160.18s Unsat', ' 0.00s)']",[' 632.156s'], ,[' 184247859'],"[' 2354747  (Analyzed', ' 1635739)']","[' 5603     (Average', ' 291.94 Last', ' 30420)']",[' 12456.9 '],"[' 5070     (Average Length', ' 2672.40 Splits', ' 0)']","[' 1635739  (Deleted', ' 1576183)']","[' 551      (Ratio', '   0.03%)']","[' 20732    (Ratio', '   1.27%)']","[' 1635739  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1635739  (Average', ' 85.91 Max', ' 18874 Sum', ' 140524061)']","[' 1632973  (Average', ' 81.78 Max', ' 18874 Sum', ' 133766550 Ratio', '  95.19%)']","[' 2766     (Average', ' 2443.06 Max', ' 3967 Sum', ' 6757511 Ratio', '   4.81%)']", ,[' 402222  '],[' 24892   '],[' 368762  '],[' 189584  '],"[' 458971   (Atom=Atom', ' 125554 Body=Body', ' 89345 Other', ' 244072)']",[' Yes'],"[' 30250    (Eliminated', '    0 Frozen', ' 30250)']","[' 3495     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.6076'],[' 0'], ,[' 120.342'],[' 0'],[' 13.2506'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.05812e+08'],[' 2.725e+08'],[' 0'],[' 2.45437e+09'],[' 0'],[' 0'],[' 1144 '],[' 2201 '],[' 3429 '],[' 5887 '],[' 5720 '],[' 7101 '],[' 6 '],[' 0 ']
Solving...,TA77, , , ,[' 11443+'],[' 5726'],"[' 632.222s (Solving', ' 539.33s 1st Model', ' 184.24s Unsat', ' 0.00s)']",[' 629.500s'], ,[' 222066184'],"[' 2817136  (Analyzed', ' 2233096)']","[' 6921     (Average', ' 322.66 Last', ' 77958)']",[' 12943.1 '],"[' 5727     (Average Length', ' 2911.22 Splits', ' 0)']","[' 2233096  (Deleted', ' 2167822)']","[' 373      (Ratio', '   0.02%)']","[' 20614    (Ratio', '   0.92%)']","[' 2233096  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2233096  (Average', ' 76.30 Max', ' 18919 Sum', ' 170391654)']","[' 2230707  (Average', ' 73.38 Max', ' 18919 Sum', ' 163869487 Ratio', '  96.17%)']","[' 2389     (Average', ' 2730.08 Max', ' 4380 Sum', ' 6522167 Ratio', '   3.83%)']", ,[' 401599  '],[' 24806   '],[' 368787  '],[' 189056  '],"[' 461161   (Atom=Atom', ' 126291 Body=Body', ' 89364 Other', ' 245506)']",[' Yes'],"[' 30691    (Eliminated', '    0 Frozen', ' 30691)']","[' 2906     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.8758'],[' 0'], ,[' 129.977'],[' 0'],[' 14.0586'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.34133e+08'],[' 3.0034e+08'],[' 0'],[' 2.87684e+09'],[' 0'],[' 0'],[' 1374 '],[' 2075 '],[' 3105 '],[' 4803 '],[' 5396 '],[' 6729 '],[' 6 '],[' 0 ']
Solving...,TA78, , , ,[' 10459+'],[' 5235'],"[' 630.913s (Solving', ' 539.50s 1st Model', ' 186.66s Unsat', ' 0.00s)']",[' 629.516s'], ,[' 215786514'],"[' 2077711  (Analyzed', ' 1670726)']","[' 5398     (Average', ' 309.51 Last', ' 30280)']",[' 12017.7 '],"[' 5236     (Average Length', ' 2689.46 Splits', ' 0)']","[' 1670726  (Deleted', ' 1593421)']","[' 653      (Ratio', '   0.04%)']","[' 26668    (Ratio', '   1.60%)']","[' 1670726  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1670726  (Average', ' 103.88 Max', ' 18231 Sum', ' 173547122)']","[' 1667824  (Average', ' 99.59 Max', ' 18231 Sum', ' 166392172 Ratio', '  95.88%)']","[' 2902     (Average', ' 2465.52 Max', ' 4076 Sum', ' 7154950 Ratio', '   4.12%)']", ,[' 402760  '],[' 24915   '],[' 369281  '],[' 189764  '],"[' 461068   (Atom=Atom', ' 126129 Body=Body', ' 89635 Other', ' 245304)']",[' Yes'],"[' 30504    (Eliminated', '    0 Frozen', ' 30504)']","[' 4352     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7449'],[' 0'], ,[' 119.956'],[' 0'],[' 14.4985'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.64301e+08'],[' 3.25308e+08'],[' 0'],[' 2.44164e+09'],[' 0'],[' 0'],[' 1306 '],[' 2208 '],[' 3185 '],[' 4438 '],[' 7162 '],[' 7826 '],[' 6 '],[' 0 ']
Solving...,TA79, , , ,[' 10363+'],[' 5188'],"[' 627.683s (Solving', ' 540.00s 1st Model', ' 187.43s Unsat', ' 0.00s)']",[' 625.250s'], ,[' 234634330'],"[' 2118618  (Analyzed', ' 1620103)']","[' 5447     (Average', ' 297.43 Last', ' 36696)']",[' 11745.6 '],"[' 5189     (Average Length', ' 2694.14 Splits', ' 0)']","[' 1620103  (Deleted', ' 1552200)']","[' 700      (Ratio', '   0.04%)']","[' 30588    (Ratio', '   1.89%)']","[' 1620103  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1620103  (Average', ' 120.27 Max', ' 17397 Sum', ' 194842998)']","[' 1616863  (Average', ' 115.44 Max', ' 17397 Sum', ' 187023872 Ratio', '  95.99%)']","[' 3240     (Average', ' 2413.31 Max', ' 4057 Sum', ' 7819126 Ratio', '   4.01%)']", ,[' 400284  '],[' 24776   '],[' 367394  '],[' 187707  '],"[' 462634   (Atom=Atom', ' 126513 Body=Body', ' 89956 Other', ' 246165)']",[' Yes'],"[' 30596    (Eliminated', '    0 Frozen', ' 30596)']","[' 5444     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7278'],[' 0'], ,[' 120.48'],[' 0'],[' 14.7256'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.32084e+08'],[' 3.85929e+08'],[' 0'],[' 2.64595e+09'],[' 0'],[' 0'],[' 1217 '],[' 2085 '],[' 3122 '],[' 4268 '],[' 7284 '],[' 8056 '],[' 6 '],[' 0 ']
Solving...,TA80, , , ,[' 10737+'],[' 5374'],"[' 629.625s (Solving', ' 542.18s 1st Model', ' 201.44s Unsat', ' 0.00s)']",[' 626.422s'], ,[' 242643443'],"[' 1363117  (Analyzed', ' 991656)']","[' 4467     (Average', ' 222.00 Last', ' 33279)']",[' 12206.9 '],"[' 5375     (Average Length', ' 2754.29 Splits', ' 0)']","[' 991656   (Deleted', ' 921975)']","[' 579      (Ratio', '   0.06%)']","[' 34598    (Ratio', '   3.49%)']","[' 991656   (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 991656   (Average', ' 199.01 Max', ' 17557 Sum', ' 197354051)']","[' 989076   (Average', ' 192.97 Max', ' 17557 Sum', ' 191358149 Ratio', '  96.96%)']","[' 2580     (Average', ' 2323.99 Max', ' 4098 Sum', ' 5995902 Ratio', '   3.04%)']", ,[' 402641  '],[' 24953   '],[' 369445  '],[' 189676  '],"[' 463451   (Atom=Atom', ' 126793 Body=Body', ' 90132 Other', ' 246526)']",[' Yes'],"[' 30740    (Eliminated', '    0 Frozen', ' 30740)']","[' 5509     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.0782'],[' 0'], ,[' 116.958'],[' 0'],[' 15.0904'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.42024e+08'],[' 3.9663e+08'],[' 0'],[' 2.07488e+09'],[' 0'],[' 0'],[' 1214 '],[' 2205 '],[' 3124 '],[' 3998 '],[' 6159 '],[' 7182 '],[' 6 '],[' 0 ']
