Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 7613+'],[' 3814'],"[' 612.475s (Solving', ' 568.42s 1st Model', ' 127.91s Unsat', ' 0.00s)']",[' 611.016s'], ,[' 237437003'],"[' 6978760  (Analyzed', ' 6426836)']","[' 14624    (Average', ' 439.47 Last', ' 157857)']",[' 7514.7  '],"[' 3814     (Average Length', ' 1914.58 Splits', ' 0)']","[' 6426836  (Deleted', ' 6302495)']","[' 271      (Ratio', '   0.00%)']","[' 44794    (Ratio', '   0.70%)']","[' 6426836  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6426836  (Average', ' 34.14 Max', ' 9328 Sum', ' 219380828)']","[' 6424380  (Average', ' 33.46 Max', ' 9328 Sum', ' 215072254 Ratio', '  98.04%)']","[' 2456     (Average', ' 1754.31 Max', ' 2726 Sum', ' 4308574 Ratio', '   1.96%)']", ,[' 323008  '],[' 16048   '],[' 294842  '],[' 123730  '],"[' 307546   (Atom=Atom', ' 84975 Body=Body', ' 57154 Other', ' 165417)']",[' Yes'],"[' 20763    (Eliminated', '    0 Frozen', ' 20763)']","[' 8796     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.74862'],[' 0'], ,[' 238.087'],[' 0'],[' 15.4598'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.69102e+08'],[' 4.01259e+08'],[' 0'],[' 1.19736e+10'],[' 0'],[' 0'],[' 1187 '],[' 2147 '],[' 2835 '],[' 3685 '],[' 4398 '],[' 5205 '],[' 5841 '],[' 7 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 7655+'],[' 3835'],"[' 612.332s (Solving', ' 568.77s 1st Model', ' 80.71s Unsat', ' 0.00s)']",[' 610.422s'], ,[' 236241669'],"[' 6643821  (Analyzed', ' 6165340)']","[' 13877    (Average', ' 444.28 Last', ' 18444)']",[' 7506.0  '],"[' 3835     (Average Length', ' 1918.05 Splits', ' 0)']","[' 6165340  (Deleted', ' 6048366)']","[' 301      (Ratio', '   0.00%)']","[' 44309    (Ratio', '   0.72%)']","[' 6165340  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6165340  (Average', ' 35.36 Max', ' 9534 Sum', ' 218003382)']","[' 6163039  (Average', ' 34.70 Max', ' 9534 Sum', ' 213939057 Ratio', '  98.14%)']","[' 2301     (Average', ' 1766.33 Max', ' 2728 Sum', ' 4064325 Ratio', '   1.86%)']", ,[' 323440  '],[' 15993   '],[' 295034  '],[' 123944  '],"[' 306356   (Atom=Atom', ' 84733 Body=Body', ' 56905 Other', ' 164718)']",[' Yes'],"[' 20789    (Eliminated', '    0 Frozen', ' 20789)']","[' 8191     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.43265'],[' 0'], ,[' 237.146'],[' 0'],[' 15.4316'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.75782e+08'],[' 4.07116e+08'],[' 0'],[' 1.19415e+10'],[' 0'],[' 0'],[' 1006 '],[' 1819 '],[' 2559 '],[' 3277 '],[' 4160 '],[' 4885 '],[' 5502 '],[' 7 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 7023+'],[' 3519'],"[' 611.488s (Solving', ' 570.71s 1st Model', ' 113.16s Unsat', ' 0.00s)']",[' 609.953s'], ,[' 230262001'],"[' 7268273  (Analyzed', ' 7010238)']","[' 15731    (Average', ' 445.63 Last', ' 66237)']",[' 7819.1  '],"[' 3519     (Average Length', ' 1818.54 Splits', ' 0)']","[' 7010238  (Deleted', ' 6884427)']","[' 271      (Ratio', '   0.00%)']","[' 41635    (Ratio', '   0.59%)']","[' 7010238  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7010238  (Average', ' 30.32 Max', ' 10609 Sum', ' 212516159)']","[' 7007767  (Average', ' 29.74 Max', ' 10609 Sum', ' 208456042 Ratio', '  98.09%)']","[' 2471     (Average', ' 1643.11 Max', ' 2666 Sum', ' 4060117 Ratio', '   1.91%)']", ,[' 323052  '],[' 16116   '],[' 294782  '],[' 123830  '],"[' 307133   (Atom=Atom', ' 84843 Body=Body', ' 57291 Other', ' 164999)']",[' Yes'],"[' 20639    (Eliminated', '    0 Frozen', ' 20639)']","[' 7416     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.99476'],[' 0'], ,[' 258.533'],[' 0'],[' 15.4388'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.27882e+08'],[' 3.62927e+08'],[' 0'],[' 1.28827e+10'],[' 0'],[' 0'],[' 1246 '],[' 2121 '],[' 2811 '],[' 3624 '],[' 4439 '],[' 5214 '],[' 5832 '],[' 7 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 7519+'],[' 3767'],"[' 611.978s (Solving', ' 569.61s 1st Model', ' 103.87s Unsat', ' 0.00s)']",[' 609.594s'], ,[' 213454749'],"[' 7965144  (Analyzed', ' 7495774)']","[' 17326    (Average', ' 432.63 Last', ' 148451)']",[' 7619.1  '],"[' 3767     (Average Length', ' 1858.61 Splits', ' 0)']","[' 7495774  (Deleted', ' 7350449)']","[' 239      (Ratio', '   0.00%)']","[' 38919    (Ratio', '   0.52%)']","[' 7495774  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7495774  (Average', ' 25.97 Max', ' 9639 Sum', ' 194673028)']","[' 7493535  (Average', ' 25.45 Max', ' 9639 Sum', ' 190803072 Ratio', '  98.01%)']","[' 2239     (Average', ' 1728.43 Max', ' 2699 Sum', ' 3869956 Ratio', '   1.99%)']", ,[' 324270  '],[' 16033   '],[' 295604  '],[' 124430  '],"[' 306621   (Atom=Atom', ' 84771 Body=Body', ' 57018 Other', ' 164832)']",[' Yes'],"[' 20701    (Eliminated', '    0 Frozen', ' 20701)']","[' 7212     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.32634'],[' 0'], ,[' 260.101'],[' 0'],[' 14.8187'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.05516e+08'],[' 3.43975e+08'],[' 0'],[' 1.38459e+10'],[' 0'],[' 0'],[' 1107 '],[' 1823 '],[' 2565 '],[' 3459 '],[' 4275 '],[' 4927 '],[' 5584 '],[' 7 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 7613+'],[' 3814'],"[' 612.305s (Solving', ' 569.03s 1st Model', ' 83.15s Unsat', ' 0.00s)']",[' 610.625s'], ,[' 226420250'],"[' 6348836  (Analyzed', ' 6079885)']","[' 13356    (Average', ' 455.22 Last', ' 17563)']",[' 7277.1  '],"[' 3814     (Average Length', ' 1955.87 Splits', ' 0)']","[' 6079885  (Deleted', ' 5964840)']","[' 308      (Ratio', '   0.01%)']","[' 47014    (Ratio', '   0.77%)']","[' 6079885  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6079885  (Average', ' 34.56 Max', ' 8992 Sum', ' 210094223)']","[' 6077422  (Average', ' 33.80 Max', ' 8992 Sum', ' 205474779 Ratio', '  97.80%)']","[' 2463     (Average', ' 1875.54 Max', ' 2943 Sum', ' 4619444 Ratio', '   2.20%)']", ,[' 324956  '],[' 16236   '],[' 296739  '],[' 125181  '],"[' 309095   (Atom=Atom', ' 85387 Body=Body', ' 57446 Other', ' 166262)']",[' Yes'],"[' 20923    (Eliminated', '    0 Frozen', ' 20923)']","[' 9246     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.35073'],[' 0'], ,[' 238.339'],[' 0'],[' 15.2715'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.71207e+08'],[' 4.05648e+08'],[' 0'],[' 1.22727e+10'],[' 0'],[' 0'],[' 1157 '],[' 1986 '],[' 2905 '],[' 3557 '],[' 4325 '],[' 5107 '],[' 5697 '],[' 7 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 7705+'],[' 3860'],"[' 611.872s (Solving', ' 569.76s 1st Model', ' 139.43s Unsat', ' 0.00s)']",[' 610.641s'], ,[' 238515904'],"[' 6706109  (Analyzed', ' 6236616)']","[' 14656    (Average', ' 425.53 Last', ' 41567)']",[' 7274.5  '],"[' 3860     (Average Length', ' 1922.87 Splits', ' 0)']","[' 6236616  (Deleted', ' 6109352)']","[' 267      (Ratio', '   0.00%)']","[' 47835    (Ratio', '   0.77%)']","[' 6236616  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6236616  (Average', ' 35.49 Max', ' 8989 Sum', ' 221328009)']","[' 6234266  (Average', ' 34.78 Max', ' 8989 Sum', ' 216931480 Ratio', '  98.01%)']","[' 2350     (Average', ' 1870.86 Max', ' 2866 Sum', ' 4396529 Ratio', '   1.99%)']", ,[' 323586  '],[' 15939   '],[' 294871  '],[' 123937  '],"[' 305911   (Atom=Atom', ' 84599 Body=Body', ' 56786 Other', ' 164526)']",[' Yes'],"[' 20643    (Eliminated', '    0 Frozen', ' 20643)']","[' 8639     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.25238'],[' 0'], ,[' 237.999'],[' 0'],[' 15.7966'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.83567e+08'],[' 4.10129e+08'],[' 0'],[' 1.17131e+10'],[' 0'],[' 0'],[' 1032 '],[' 1842 '],[' 2665 '],[' 3371 '],[' 4214 '],[' 4891 '],[' 5590 '],[' 7 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 7595+'],[' 3805'],"[' 612.227s (Solving', ' 569.15s 1st Model', ' 124.37s Unsat', ' 0.00s)']",[' 609.891s'], ,[' 247131199'],"[' 7401075  (Analyzed', ' 6623765)']","[' 15482    (Average', ' 427.84 Last', ' 74402)']",[' 7698.5  '],"[' 3805     (Average Length', ' 1868.33 Splits', ' 0)']","[' 6623765  (Deleted', ' 6497140)']","[' 244      (Ratio', '   0.00%)']","[' 44629    (Ratio', '   0.67%)']","[' 6623765  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6623765  (Average', ' 34.41 Max', ' 9388 Sum', ' 227923288)']","[' 6621460  (Average', ' 33.78 Max', ' 9388 Sum', ' 223758439 Ratio', '  98.17%)']","[' 2305     (Average', ' 1806.88 Max', ' 2716 Sum', ' 4164849 Ratio', '   1.83%)']", ,[' 322969  '],[' 15975   '],[' 294711  '],[' 123567  '],"[' 306131   (Atom=Atom', ' 84628 Body=Body', ' 56869 Other', ' 164634)']",[' Yes'],"[' 20673    (Eliminated', '    0 Frozen', ' 20673)']","[' 8174     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.54342'],[' 0'], ,[' 229.024'],[' 0'],[' 15.5007'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.94089e+08'],[' 4.19663e+08'],[' 0'],[' 1.06278e+10'],[' 0'],[' 0'],[' 1216 '],[' 1803 '],[' 2558 '],[' 3388 '],[' 4206 '],[' 4997 '],[' 5631 '],[' 7 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 7045+'],[' 3530'],"[' 611.441s (Solving', ' 571.55s 1st Model', ' 59.26s Unsat', ' 0.00s)']",[' 609.422s'], ,[' 179825667'],"[' 8253820  (Analyzed', ' 7896733)']","[' 16424    (Average', ' 480.80 Last', ' 92366)']",[' 7825.3  '],"[' 3530     (Average Length', ' 1797.62 Splits', ' 0)']","[' 7896733  (Deleted', ' 7779177)']","[' 356      (Ratio', '   0.00%)']","[' 29025    (Ratio', '   0.37%)']","[' 7896733  (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7896733  (Average', ' 20.57 Max', ' 10406 Sum', ' 162447504)']","[' 7893951  (Average', ' 19.98 Max', ' 10406 Sum', ' 157741810 Ratio', '  97.10%)']","[' 2782     (Average', ' 1691.48 Max', ' 8508 Sum', ' 4705694 Ratio', '   2.90%)']", ,[' 323309  '],[' 16105   '],[' 294940  '],[' 124047  '],"[' 306193   (Atom=Atom', ' 84585 Body=Body', ' 57031 Other', ' 164577)']",[' Yes'],"[' 20555    (Eliminated', '    0 Frozen', ' 20555)']","[' 5007     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.72354'],[' 0'], ,[' 295.279'],[' 0'],[' 13.897'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.16783e+08'],[' 2.63949e+08'],[' 0'],[' 1.71149e+10'],[' 0'],[' 0'],[' 1194 '],[' 2009 '],[' 2801 '],[' 3715 '],[' 4463 '],[' 5161 '],[' 5771 '],[' 7 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 8309+'],[' 4162'],"[' 613.015s (Solving', ' 566.00s 1st Model', ' 142.08s Unsat', ' 0.00s)']",[' 611.125s'], ,[' 246763303'],"[' 5359105  (Analyzed', ' 4859488)']","[' 11280    (Average', ' 430.81 Last', ' 333436)']",[' 7231.6  '],"[' 4162     (Average Length', ' 2049.77 Splits', ' 0)']","[' 4859488  (Deleted', ' 4740037)']","[' 314      (Ratio', '   0.01%)']","[' 50096    (Ratio', '   1.03%)']","[' 4859488  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4859488  (Average', ' 47.12 Max', ' 9183 Sum', ' 228984139)']","[' 4857064  (Average', ' 46.14 Max', ' 9183 Sum', ' 224235144 Ratio', '  97.93%)']","[' 2424     (Average', ' 1959.16 Max', ' 2956 Sum', ' 4748995 Ratio', '   2.07%)']", ,[' 324683  '],[' 16058   '],[' 296325  '],[' 124750  '],"[' 308651   (Atom=Atom', ' 85347 Body=Body', ' 57116 Other', ' 166188)']",[' Yes'],"[' 21060    (Eliminated', '    0 Frozen', ' 21060)']","[' 9629     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.29384'],[' 0'], ,[' 210.007'],[' 0'],[' 15.3115'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.44352e+08'],[' 4.66521e+08'],[' 0'],[' 9.84688e+09'],[' 0'],[' 0'],[' 1051 '],[' 1775 '],[' 2531 '],[' 3333 '],[' 4117 '],[' 4905 '],[' 5568 '],[' 7 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 7567+'],[' 3791'],"[' 612.103s (Solving', ' 569.86s 1st Model', ' 80.14s Unsat', ' 0.00s)']",[' 610.391s'], ,[' 200450636'],"[' 7498545  (Analyzed', ' 6967690)']","[' 15602    (Average', ' 446.59 Last', ' 77038)']",[' 7798.3  '],"[' 3791     (Average Length', ' 1876.52 Splits', ' 0)']","[' 6967690  (Deleted', ' 6842753)']","[' 312      (Ratio', '   0.00%)']","[' 35645    (Ratio', '   0.51%)']","[' 6967690  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6967690  (Average', ' 26.10 Max', ' 10146 Sum', ' 181875671)']","[' 6965064  (Average', ' 25.40 Max', ' 10146 Sum', ' 176956141 Ratio', '  97.30%)']","[' 2626     (Average', ' 1873.39 Max', ' 2711 Sum', ' 4919530 Ratio', '   2.70%)']", ,[' 323589  '],[' 16147   '],[' 295371  '],[' 124091  '],"[' 308984   (Atom=Atom', ' 85364 Body=Body', ' 57449 Other', ' 166171)']",[' Yes'],"[' 20772    (Eliminated', '    0 Frozen', ' 20772)']","[' 6630     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.31791'],[' 0'], ,[' 271.38'],[' 0'],[' 14.4119'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.70877e+08'],[' 3.14964e+08'],[' 0'],[' 1.451e+10'],[' 0'],[' 0'],[' 1047 '],[' 2000 '],[' 2762 '],[' 3394 '],[' 4177 '],[' 4941 '],[' 5530 '],[' 7 '],[' 0 ']
