Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 9579+'],[' 4796'],"[' 624.913s (Solving', ' 551.26s 1st Model', ' 143.50s Unsat', ' 0.00s)']",[' 621.531s'], ,[' 197934820'],"[' 5088643  (Analyzed', ' 4641970)']","[' 10785    (Average', ' 430.41 Last', ' 42816)']",[' 9583.8  '],"[' 4797     (Average Length', ' 2387.21 Splits', ' 0)']","[' 4641970  (Deleted', ' 4543598)']","[' 506      (Ratio', '   0.01%)']","[' 32926    (Ratio', '   0.71%)']","[' 4641970  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4641970  (Average', ' 36.12 Max', ' 12514 Sum', ' 167679208)']","[' 4639341  (Average', ' 35.04 Max', ' 12514 Sum', ' 162655002 Ratio', '  97.00%)']","[' 2629     (Average', ' 1911.07 Max', ' 3483 Sum', ' 5024206 Ratio', '   3.00%)']", ,[' 348582  '],[' 18792   '],[' 319840  '],[' 146737  '],"[' 357786   (Atom=Atom', ' 98955 Body=Body', ' 67902 Other', ' 190929)']",[' Yes'],"[' 24162    (Eliminated', '    0 Frozen', ' 24162)']","[' 5976     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7994'],[' 0'], ,[' 175.579'],[' 0'],[' 13.2842'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.72859e+08'],[' 3.21877e+08'],[' 0'],[' 6.99586e+09'],[' 0'],[' 0'],[' 1187 '],[' 2147 '],[' 2897 '],[' 3829 '],[' 4489 '],[' 5445 '],[' 6225 '],[' 7 '],[' 0 ']
Solving...,TA72, , , ,[' 10079+'],[' 5047'],"[' 621.562s (Solving', ' 553.01s 1st Model', ' 181.43s Unsat', ' 0.00s)']",[' 618.906s'], ,[' 238307582'],"[' 4200950  (Analyzed', ' 3902704)']","[' 9716     (Average', ' 401.68 Last', ' 117732)']",[' 8999.1  '],"[' 5048     (Average Length', ' 2444.08 Splits', ' 0)']","[' 3902704  (Deleted', ' 3802100)']","[' 398      (Ratio', '   0.01%)']","[' 44345    (Ratio', '   1.14%)']","[' 3902704  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3902704  (Average', ' 53.48 Max', ' 11461 Sum', ' 208697838)']","[' 3900578  (Average', ' 52.43 Max', ' 11461 Sum', ' 204636158 Ratio', '  98.05%)']","[' 2126     (Average', ' 1910.48 Max', ' 3594 Sum', ' 4061680 Ratio', '   1.95%)']", ,[' 347956  '],[' 18563   '],[' 318953  '],[' 146177  '],"[' 356582   (Atom=Atom', ' 98742 Body=Body', ' 67524 Other', ' 190316)']",[' Yes'],"[' 24219    (Eliminated', '    0 Frozen', ' 24219)']","[' 7979     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2505'],[' 0'], ,[' 156.298'],[' 0'],[' 14.4897'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.87262e+08'],[' 4.21723e+08'],[' 0'],[' 5.74159e+09'],[' 0'],[' 0'],[' 1006 '],[' 1819 '],[' 2517 '],[' 3247 '],[' 4049 '],[' 4847 '],[' 5557 '],[' 7 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 9407+'],[' 4711'],"[' 617.840s (Solving', ' 556.11s 1st Model', ' 128.63s Unsat', ' 0.00s)']",[' 615.703s'], ,[' 238427534'],"[' 5874941  (Analyzed', ' 5378907)']","[' 12728    (Average', ' 422.60 Last', ' 29795)']",[' 9411.9  '],"[' 4711     (Average Length', ' 2358.85 Splits', ' 0)']","[' 5378907  (Deleted', ' 5266437)']","[' 481      (Ratio', '   0.01%)']","[' 40402    (Ratio', '   0.75%)']","[' 5378907  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5378907  (Average', ' 38.97 Max', ' 12075 Sum', ' 209637939)']","[' 5376215  (Average', ' 37.99 Max', ' 12075 Sum', ' 204341366 Ratio', '  97.47%)']","[' 2692     (Average', ' 1967.52 Max', ' 3464 Sum', ' 5296573 Ratio', '   2.53%)']", ,[' 348732  '],[' 18761   '],[' 319575  '],[' 146810  '],"[' 357685   (Atom=Atom', ' 98943 Body=Body', ' 67985 Other', ' 190757)']",[' Yes'],"[' 24104    (Eliminated', '    0 Frozen', ' 24104)']","[' 7343     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.446'],[' 0'], ,[' 190.729'],[' 0'],[' 14.9128'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.28879e+08'],[' 3.70069e+08'],[' 0'],[' 8.1696e+09'],[' 0'],[' 0'],[' 1246 '],[' 2121 '],[' 2831 '],[' 3618 '],[' 4433 '],[' 5169 '],[' 5841 '],[' 7 '],[' 0 ']
Solving...,TA74, , , ,[' 9761+'],[' 4888'],"[' 620.529s (Solving', ' 555.69s 1st Model', ' 136.21s Unsat', ' 0.00s)']",[' 618.641s'], ,[' 234774984'],"[' 5438198  (Analyzed', ' 5074634)']","[' 12456    (Average', ' 407.40 Last', ' 57568)']",[' 8769.2  '],"[' 4889     (Average Length', ' 2393.97 Splits', ' 0)']","[' 5074634  (Deleted', ' 4952629)']","[' 516      (Ratio', '   0.01%)']","[' 43004    (Ratio', '   0.85%)']","[' 5074634  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5074634  (Average', ' 41.15 Max', ' 10936 Sum', ' 208834864)']","[' 5071809  (Average', ' 39.99 Max', ' 10936 Sum', ' 202937409 Ratio', '  97.18%)']","[' 2825     (Average', ' 2087.59 Max', ' 3454 Sum', ' 5897455 Ratio', '   2.82%)']", ,[' 347836  '],[' 18606   '],[' 318825  '],[' 145898  '],"[' 357183   (Atom=Atom', ' 98859 Body=Body', ' 67788 Other', ' 190536)']",[' Yes'],"[' 24158    (Eliminated', '    0 Frozen', ' 24158)']","[' 8387     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.6228'],[' 0'], ,[' 177.937'],[' 0'],[' 14.8053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.75472e+08'],[' 4.13917e+08'],[' 0'],[' 7.2396e+09'],[' 0'],[' 0'],[' 1107 '],[' 1823 '],[' 2572 '],[' 3459 '],[' 4249 '],[' 5015 '],[' 5669 '],[' 7 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 8949+'],[' 4482'],"[' 616.163s (Solving', ' 561.42s 1st Model', ' 194.30s Unsat', ' 0.00s)']",[' 613.359s'], ,[' 265254429'],"[' 4451199  (Analyzed', ' 4089674)']","[' 10104    (Average', ' 404.76 Last', ' 44125)']",[' 8223.2  '],"[' 4482     (Average Length', ' 2232.88 Splits', ' 0)']","[' 4089674  (Deleted', ' 3978407)']","[' 449      (Ratio', '   0.01%)']","[' 53364    (Ratio', '   1.30%)']","[' 4089674  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4089674  (Average', ' 59.51 Max', ' 10370 Sum', ' 243361971)']","[' 4087084  (Average', ' 58.12 Max', ' 10370 Sum', ' 237704488 Ratio', '  97.68%)']","[' 2590     (Average', ' 2184.36 Max', ' 3280 Sum', ' 5657483 Ratio', '   2.32%)']", ,[' 348608  '],[' 18871   '],[' 319557  '],[' 146642  '],"[' 357977   (Atom=Atom', ' 98928 Body=Body', ' 68156 Other', ' 190893)']",[' Yes'],"[' 23945    (Eliminated', '    0 Frozen', ' 23945)']","[' 9383     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.2647'],[' 0'], ,[' 176.875'],[' 0'],[' 16.0867'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.50636e+08'],[' 4.8107e+08'],[' 0'],[' 6.93629e+09'],[' 0'],[' 0'],[' 1157 '],[' 1986 '],[' 2751 '],[' 3538 '],[' 4318 '],[' 5115 '],[' 5736 '],[' 7 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 9095+'],[' 4555'],"[' 617.076s (Solving', ' 558.38s 1st Model', ' 145.91s Unsat', ' 0.00s)']",[' 614.375s'], ,[' 239253979'],"[' 5358638  (Analyzed', ' 4925331)']","[' 12319    (Average', ' 399.82 Last', ' 48581)']",[' 8764.7  '],"[' 4555     (Average Length', ' 2251.19 Splits', ' 0)']","[' 4925331  (Deleted', ' 4817135)']","[' 493      (Ratio', '   0.01%)']","[' 42237    (Ratio', '   0.86%)']","[' 4925331  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4925331  (Average', ' 43.49 Max', ' 11036 Sum', ' 214224361)']","[' 4922634  (Average', ' 42.39 Max', ' 11036 Sum', ' 208802653 Ratio', '  97.47%)']","[' 2697     (Average', ' 2010.27 Max', ' 3285 Sum', ' 5421708 Ratio', '   2.53%)']", ,[' 348219  '],[' 18615   '],[' 318820  '],[' 146366  '],"[' 354590   (Atom=Atom', ' 98077 Body=Body', ' 67428 Other', ' 189085)']",[' Yes'],"[' 23842    (Eliminated', '    0 Frozen', ' 23842)']","[' 7858     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9024'],[' 0'], ,[' 192.345'],[' 0'],[' 15.0125'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.75046e+08'],[' 4.11525e+08'],[' 0'],[' 8.19067e+09'],[' 0'],[' 0'],[' 1032 '],[' 1842 '],[' 2629 '],[' 3384 '],[' 4259 '],[' 4976 '],[' 5668 '],[' 7 '],[' 0 ']
Solving...,TA77, , , ,[' 10349+'],[' 5182'],"[' 621.733s (Solving', ' 552.22s 1st Model', ' 213.49s Unsat', ' 0.00s)']",[' 619.625s'], ,[' 242385670'],"[' 5553767  (Analyzed', ' 4729396)']","[' 11840    (Average', ' 399.44 Last', ' 76685)']",[' 9338.3  '],"[' 5183     (Average Length', ' 2489.25 Splits', ' 0)']","[' 4729396  (Deleted', ' 4616869)']","[' 451      (Ratio', '   0.01%)']","[' 41001    (Ratio', '   0.87%)']","[' 4729396  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4729396  (Average', ' 44.53 Max', ' 12194 Sum', ' 210581441)']","[' 4726970  (Average', ' 43.50 Max', ' 12194 Sum', ' 205741918 Ratio', '  97.70%)']","[' 2426     (Average', ' 1994.86 Max', ' 3729 Sum', ' 4839523 Ratio', '   2.30%)']", ,[' 347341  '],[' 18523   '],[' 318602  '],[' 145662  '],"[' 357308   (Atom=Atom', ' 98937 Body=Body', ' 67595 Other', ' 190776)']",[' Yes'],"[' 24309    (Eliminated', '    0 Frozen', ' 24309)']","[' 7412     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6205'],[' 0'], ,[' 159.588'],[' 0'],[' 14.3858'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.77251e+08'],[' 4.12958e+08'],[' 0'],[' 5.72918e+09'],[' 0'],[' 0'],[' 1216 '],[' 1803 '],[' 2561 '],[' 3369 '],[' 4167 '],[' 5011 '],[' 5642 '],[' 7 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 9211+'],[' 4613'],"[' 617.095s (Solving', ' 557.99s 1st Model', ' 135.25s Unsat', ' 0.00s)']",[' 615.641s'], ,[' 246200628'],"[' 5310921  (Analyzed', ' 4872292)']","[' 10966    (Average', ' 444.31 Last', ' 26975)']",[' 8914.6  '],"[' 4613     (Average Length', ' 2267.92 Splits', ' 0)']","[' 4872292  (Deleted', ' 4762512)']","[' 539      (Ratio', '   0.01%)']","[' 44987    (Ratio', '   0.92%)']","[' 4872292  (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4872292  (Average', ' 45.16 Max', ' 11098 Sum', ' 220047931)']","[' 4869564  (Average', ' 44.08 Max', ' 11098 Sum', ' 214747557 Ratio', '  97.59%)']","[' 2728     (Average', ' 1942.95 Max', ' 3313 Sum', ' 5300374 Ratio', '   2.41%)']", ,[' 349292  '],[' 18772   '],[' 319822  '],[' 147241  '],"[' 355931   (Atom=Atom', ' 98426 Body=Body', ' 67653 Other', ' 189852)']",[' Yes'],"[' 23894    (Eliminated', '    0 Frozen', ' 23894)']","[' 7741     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9862'],[' 0'], ,[' 189.584'],[' 0'],[' 15.2273'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.59643e+08'],[' 3.98078e+08'],[' 0'],[' 7.94311e+09'],[' 0'],[' 0'],[' 1194 '],[' 2009 '],[' 2801 '],[' 3507 '],[' 4257 '],[' 5022 '],[' 5671 '],[' 7 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 9951+'],[' 4982'],"[' 618.538s (Solving', ' 555.84s 1st Model', ' 234.33s Unsat', ' 0.00s)']",[' 616.875s'], ,[' 269411512'],"[' 3720033  (Analyzed', ' 3294276)']","[' 8380     (Average', ' 393.11 Last', ' 297849)']",[' 8634.0  '],"[' 4982     (Average Length', ' 2434.78 Splits', ' 0)']","[' 3294276  (Deleted', ' 3187301)']","[' 419      (Ratio', '   0.01%)']","[' 53793    (Ratio', '   1.63%)']","[' 3294276  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3294276  (Average', ' 74.06 Max', ' 10933 Sum', ' 243984371)']","[' 3291720  (Average', ' 72.18 Max', ' 10933 Sum', ' 237767994 Ratio', '  97.45%)']","[' 2556     (Average', ' 2432.07 Max', ' 3576 Sum', ' 6216377 Ratio', '   2.55%)']", ,[' 348482  '],[' 18586   '],[' 319275  '],[' 146128  '],"[' 358409   (Atom=Atom', ' 99156 Body=Body', ' 67914 Other', ' 191339)']",[' Yes'],"[' 24268    (Eliminated', '    0 Frozen', ' 24268)']","[' 8511     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.6508'],[' 0'], ,[' 146.304'],[' 0'],[' 15.4536'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.71299e+08'],[' 4.96899e+08'],[' 0'],[' 4.69411e+09'],[' 0'],[' 0'],[' 1051 '],[' 1783 '],[' 2531 '],[' 3322 '],[' 4110 '],[' 4917 '],[' 5630 '],[' 7 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 9565+'],[' 4790'],"[' 618.055s (Solving', ' 554.85s 1st Model', ' 117.82s Unsat', ' 0.00s)']",[' 615.797s'], ,[' 215759433'],"[' 5278265  (Analyzed', ' 4893539)']","[' 12010    (Average', ' 407.46 Last', ' 22934)']",[' 9464.2  '],"[' 4790     (Average Length', ' 2349.35 Splits', ' 0)']","[' 4893539  (Deleted', ' 4789210)']","[' 530      (Ratio', '   0.01%)']","[' 37969    (Ratio', '   0.78%)']","[' 4893539  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4893539  (Average', ' 38.30 Max', ' 12189 Sum', ' 187433465)']","[' 4890485  (Average', ' 36.98 Max', ' 12189 Sum', ' 180985446 Ratio', '  96.56%)']","[' 3054     (Average', ' 2111.34 Max', ' 3384 Sum', ' 6448019 Ratio', '   3.44%)']", ,[' 348903  '],[' 18891   '],[' 320219  '],[' 147049  '],"[' 360169   (Atom=Atom', ' 99586 Body=Body', ' 68461 Other', ' 192122)']",[' Yes'],"[' 24275    (Eliminated', '    0 Frozen', ' 24275)']","[' 6872     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9174'],[' 0'], ,[' 193.756'],[' 0'],[' 14.0712'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.12236e+08'],[' 3.5675e+08'],[' 0'],[' 8.29849e+09'],[' 0'],[' 0'],[' 1047 '],[' 2000 '],[' 2762 '],[' 3413 '],[' 4185 '],[' 4908 '],[' 5595 '],[' 7 '],[' 0 ']
