Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 8169+'],[' 4093'],"[' 562.806s (Solving', ' 514.66s 1st Model', ' 126.50s Unsat', ' 0.00s)']",[' 560.656s'], ,[' 191534294'],"[' 7257304  (Analyzed', ' 6781309)']","[' 15076    (Average', ' 449.81 Last', ' 79836)']",[' 8378.2  '],"[' 4092     (Average Length', ' 2027.15 Splits', ' 0)']","[' 6781309  (Deleted', ' 6657168)']","[' 437      (Ratio', '   0.01%)']","[' 35616    (Ratio', '   0.53%)']","[' 6781309  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6781309  (Average', ' 24.89 Max', ' 11265 Sum', ' 168759891)']","[' 6778834  (Average', ' 24.28 Max', ' 11265 Sum', ' 164683446 Ratio', '  97.58%)']","[' 2475     (Average', ' 1647.05 Max', ' 3036 Sum', ' 4076445 Ratio', '   2.42%)']", ,[' 328159  '],[' 16611   '],[' 301884  '],[' 132619  '],"[' 320847   (Atom=Atom', ' 89541 Body=Body', ' 61065 Other', ' 170241)']",[' Yes'],"[' 21526    (Eliminated', '    0 Frozen', ' 21526)']","[' 5564     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.22085'],[' 0'], ,[' 205.19'],[' 0'],[' 12.7901'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.56925e+08'],[' 3.01372e+08'],[' 0'],[' 1.02454e+10'],[' 0'],[' 0'],[' 1187 '],[' 1915 '],[' 2655 '],[' 3672 '],[' 3969 '],[' 4570 '],[' 5281 '],[' 5850 '],[' 8 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 8853+'],[' 4435'],"[' 614.593s (Solving', ' 563.07s 1st Model', ' 128.02s Unsat', ' 0.00s)']",[' 611.750s'], ,[' 198388626'],"[' 8493552  (Analyzed', ' 8172282)']","[' 18332    (Average', ' 445.79 Last', ' 38243)']",[' 7999.4  '],"[' 4435     (Average Length', ' 2119.57 Splits', ' 0)']","[' 8172282  (Deleted', ' 8033303)']","[' 491      (Ratio', '   0.01%)']","[' 37021    (Ratio', '   0.45%)']","[' 8172282  (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8172282  (Average', ' 21.59 Max', ' 9835 Sum', ' 176441364)']","[' 8169580  (Average', ' 21.00 Max', ' 9835 Sum', ' 171589442 Ratio', '  97.25%)']","[' 2702     (Average', ' 1795.68 Max', ' 3135 Sum', ' 4851922 Ratio', '   2.75%)']", ,[' 326947  '],[' 16277   '],[' 300462  '],[' 131533  '],"[' 318480   (Atom=Atom', ' 89026 Body=Body', ' 60382 Other', ' 169072)']",[' Yes'],"[' 21516    (Eliminated', '    0 Frozen', ' 21516)']","[' 6907     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.94235'],[' 0'], ,[' 232.933'],[' 0'],[' 13.8081'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.64555e+08'],[' 3.0745e+08'],[' 0'],[' 1.18403e+10'],[' 0'],[' 0'],[' 944 '],[' 1579 '],[' 2232 '],[' 2956 '],[' 3552 '],[' 4222 '],[' 4878 '],[' 5440 '],[' 8 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 7835+'],[' 3926'],"[' 613.866s (Solving', ' 567.01s 1st Model', ' 93.03s Unsat', ' 0.00s)']",[' 611.313s'], ,[' 210338071'],"[' 9249565  (Analyzed', ' 8782854)']","[' 19605    (Average', ' 447.99 Last', ' 68262)']",[' 8341.8  '],"[' 3926     (Average Length', ' 1946.14 Splits', ' 0)']","[' 8782854  (Deleted', ' 8633606)']","[' 538      (Ratio', '   0.01%)']","[' 33501    (Ratio', '   0.38%)']","[' 8782854  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8782854  (Average', ' 21.50 Max', ' 10333 Sum', ' 188855781)']","[' 8780099  (Average', ' 20.98 Max', ' 10333 Sum', ' 184296909 Ratio', '  97.59%)']","[' 2755     (Average', ' 1654.76 Max', ' 2839 Sum', ' 4558872 Ratio', '   2.41%)']", ,[' 327638  '],[' 16530   '],[' 301147  '],[' 132255  '],"[' 318473   (Atom=Atom', ' 88895 Body=Body', ' 60711 Other', ' 168867)']",[' Yes'],"[' 21273    (Eliminated', '    0 Frozen', ' 21273)']","[' 5935     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.77773'],[' 0'], ,[' 251.544'],[' 0'],[' 14.3661'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.55919e+08'],[' 3.02223e+08'],[' 0'],[' 1.32039e+10'],[' 0'],[' 0'],[' 1126 '],[' 1817 '],[' 2611 '],[' 3200 '],[' 3881 '],[' 4590 '],[' 5203 '],[' 5757 '],[' 8 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 8651+'],[' 4334'],"[' 613.921s (Solving', ' 564.69s 1st Model', ' 117.65s Unsat', ' 0.00s)']",[' 612.078s'], ,[' 183421316'],"[' 8658316  (Analyzed', ' 8318595)']","[' 18783    (Average', ' 442.88 Last', ' 162626)']",[' 8178.4  '],"[' 4334     (Average Length', ' 2115.42 Splits', ' 0)']","[' 8318595  (Deleted', ' 8169615)']","[' 551      (Ratio', '   0.01%)']","[' 29771    (Ratio', '   0.36%)']","[' 8318595  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8318595  (Average', ' 19.44 Max', ' 11339 Sum', ' 161675705)']","[' 8315712  (Average', ' 18.80 Max', ' 11339 Sum', ' 156397970 Ratio', '  96.74%)']","[' 2883     (Average', ' 1830.64 Max', ' 3156 Sum', ' 5277735 Ratio', '   3.26%)']", ,[' 327290  '],[' 16329   '],[' 300667  '],[' 131730  '],"[' 319111   (Atom=Atom', ' 89152 Body=Body', ' 60580 Other', ' 169379)']",[' Yes'],"[' 21522    (Eliminated', '    0 Frozen', ' 21522)']","[' 5614     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.51046'],[' 0'], ,[' 250.751'],[' 0'],[' 13.3123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38369e+08'],[' 2.84399e+08'],[' 0'],[' 1.32811e+10'],[' 0'],[' 0'],[' 1026 '],[' 1656 '],[' 2213 '],[' 3010 '],[' 3765 '],[' 4341 '],[' 5048 '],[' 5610 '],[' 8 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 8789+'],[' 4403'],"[' 614.169s (Solving', ' 564.19s 1st Model', ' 189.57s Unsat', ' 0.00s)']",[' 611.531s'], ,[' 232722758'],"[' 5542876  (Analyzed', ' 5287943)']","[' 12652    (Average', ' 417.95 Last', ' 127898)']",[' 7237.7  '],"[' 4403     (Average Length', ' 2164.20 Splits', ' 0)']","[' 5287943  (Deleted', ' 5169725)']","[' 488      (Ratio', '   0.01%)']","[' 48740    (Ratio', '   0.92%)']","[' 5287943  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5287943  (Average', ' 40.60 Max', ' 9672 Sum', ' 214716492)']","[' 5285508  (Average', ' 39.67 Max', ' 9672 Sum', ' 209769246 Ratio', '  97.70%)']","[' 2435     (Average', ' 2031.72 Max', ' 3278 Sum', ' 4947246 Ratio', '   2.30%)']", ,[' 326815  '],[' 16414   '],[' 300722  '],[' 131638  '],"[' 319738   (Atom=Atom', ' 89308 Body=Body', ' 60641 Other', ' 169789)']",[' Yes'],"[' 21637    (Eliminated', '    0 Frozen', ' 21637)']","[' 9163     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.54146'],[' 0'], ,[' 199.813'],[' 0'],[' 14.9585'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.22084e+08'],[' 4.43978e+08'],[' 0'],[' 9.26317e+09'],[' 0'],[' 0'],[' 993 '],[' 1664 '],[' 2358 '],[' 3055 '],[' 3758 '],[' 4406 '],[' 5102 '],[' 5670 '],[' 8 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 9287+'],[' 4652'],"[' 616.189s (Solving', ' 558.88s 1st Model', ' 145.89s Unsat', ' 0.00s)']",[' 613.000s'], ,[' 202584479'],"[' 6923345  (Analyzed', ' 6323530)']","[' 15308    (Average', ' 413.09 Last', ' 48217)']",[' 7744.0  '],"[' 4652     (Average Length', ' 2224.45 Splits', ' 0)']","[' 6323530  (Deleted', ' 6199957)']","[' 478      (Ratio', '   0.01%)']","[' 39278    (Ratio', '   0.62%)']","[' 6323530  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6323530  (Average', ' 28.55 Max', ' 9997 Sum', ' 180545258)']","[' 6321100  (Average', ' 27.82 Max', ' 9997 Sum', ' 175946081 Ratio', '  97.45%)']","[' 2430     (Average', ' 1892.67 Max', ' 3320 Sum', ' 4599177 Ratio', '   2.55%)']", ,[' 327470  '],[' 16268   '],[' 301028  '],[' 131952  '],"[' 318058   (Atom=Atom', ' 88945 Body=Body', ' 60142 Other', ' 168971)']",[' Yes'],"[' 21587    (Eliminated', '    0 Frozen', ' 21587)']","[' 7388     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.0533'],[' 0'], ,[' 192.673'],[' 0'],[' 13.9287'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.08849e+08'],[' 3.46058e+08'],[' 0'],[' 8.21944e+09'],[' 0'],[' 0'],[' 1016 '],[' 1661 '],[' 2329 '],[' 2970 '],[' 3616 '],[' 4381 '],[' 5026 '],[' 5632 '],[' 8 '],[' 0 ']
Solving...,TA77, , , ,[' 9347+'],[' 4682'],"[' 617.319s (Solving', ' 561.44s 1st Model', ' 135.03s Unsat', ' 0.00s)']",[' 615.328s'], ,[' 224370239'],"[' 7709172  (Analyzed', ' 7401816)']","[' 16798    (Average', ' 440.64 Last', ' 68748)']",[' 7875.1  '],"[' 4683     (Average Length', ' 2220.28 Splits', ' 0)']","[' 7401816  (Deleted', ' 7268816)']","[' 388      (Ratio', '   0.01%)']","[' 41620    (Ratio', '   0.56%)']","[' 7401816  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7401816  (Average', ' 27.26 Max', ' 10476 Sum', ' 201753448)']","[' 7399507  (Average', ' 26.64 Max', ' 10476 Sum', ' 197173682 Ratio', '  97.73%)']","[' 2309     (Average', ' 1983.44 Max', ' 3228 Sum', ' 4579766 Ratio', '   2.27%)']", ,[' 327519  '],[' 16261   '],[' 301194  '],[' 131985  '],"[' 318071   (Atom=Atom', ' 88935 Body=Body', ' 60128 Other', ' 169008)']",[' Yes'],"[' 21663    (Eliminated', '    0 Frozen', ' 21663)']","[' 7739     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3907'],[' 0'], ,[' 199.698'],[' 0'],[' 14.0057'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.5564e+08'],[' 3.83705e+08'],[' 0'],[' 9.0712e+09'],[' 0'],[' 0'],[' 1147 '],[' 1735 '],[' 2294 '],[' 2932 '],[' 3579 '],[' 4315 '],[' 5092 '],[' 5645 '],[' 8 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 8537+'],[' 4277'],"[' 614.044s (Solving', ' 564.66s 1st Model', ' 71.57s Unsat', ' 0.00s)']",[' 611.766s'], ,[' 180338595'],"[' 8152991  (Analyzed', ' 7859181)']","[' 17078    (Average', ' 460.19 Last', ' 75659)']",[' 8042.8  '],"[' 4277     (Average Length', ' 2092.04 Splits', ' 0)']","[' 7859181  (Deleted', ' 7733035)']","[' 530      (Ratio', '   0.01%)']","[' 30220    (Ratio', '   0.38%)']","[' 7859181  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7859181  (Average', ' 20.23 Max', ' 10468 Sum', ' 158958587)']","[' 7856479  (Average', ' 19.62 Max', ' 10468 Sum', ' 154192021 Ratio', '  97.00%)']","[' 2702     (Average', ' 1764.09 Max', ' 3177 Sum', ' 4766566 Ratio', '   3.00%)']", ,[' 327989  '],[' 16431   '],[' 301407  '],[' 132442  '],"[' 317918   (Atom=Atom', ' 88793 Body=Body', ' 60348 Other', ' 168777)']",[' Yes'],"[' 21426    (Eliminated', '    0 Frozen', ' 21426)']","[' 5842     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.46201'],[' 0'], ,[' 251.136'],[' 0'],[' 13.2216'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.37024e+08'],[' 2.84694e+08'],[' 0'],[' 1.35946e+10'],[' 0'],[' 0'],[' 1123 '],[' 1695 '],[' 2399 '],[' 3104 '],[' 3781 '],[' 4457 '],[' 5092 '],[' 5658 '],[' 8 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 8833+'],[' 4425'],"[' 614.108s (Solving', ' 564.34s 1st Model', ' 81.59s Unsat', ' 0.00s)']",[' 612.344s'], ,[' 194040119'],"[' 7533180  (Analyzed', ' 7270147)']","[' 16542    (Average', ' 439.50 Last', ' 39180)']",[' 7528.9  '],"[' 4425     (Average Length', ' 2166.01 Splits', ' 0)']","[' 7270147  (Deleted', ' 7147161)']","[' 527      (Ratio', '   0.01%)']","[' 37192    (Ratio', '   0.51%)']","[' 7270147  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7270147  (Average', ' 23.98 Max', ' 10876 Sum', ' 174368848)']","[' 7267520  (Average', ' 23.33 Max', ' 10876 Sum', ' 169630437 Ratio', '  97.28%)']","[' 2627     (Average', ' 1803.73 Max', ' 3348 Sum', ' 4738411 Ratio', '   2.72%)']", ,[' 329423  '],[' 16545   '],[' 302724  '],[' 133365  '],"[' 320618   (Atom=Atom', ' 89552 Body=Body', ' 60829 Other', ' 170237)']",[' Yes'],"[' 21658    (Eliminated', '    0 Frozen', ' 21658)']","[' 6845     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.46763'],[' 0'], ,[' 242.302'],[' 0'],[' 13.6728'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.79997e+08'],[' 3.22173e+08'],[' 0'],[' 1.29454e+10'],[' 0'],[' 0'],[' 954 '],[' 1637 '],[' 2255 '],[' 2963 '],[' 3768 '],[' 4429 '],[' 5072 '],[' 5635 '],[' 8 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 8529+'],[' 4273'],"[' 614.113s (Solving', ' 564.50s 1st Model', ' 109.92s Unsat', ' 0.00s)']",[' 612.141s'], ,[' 193510511'],"[' 6944582  (Analyzed', ' 6604550)']","[' 15662    (Average', ' 421.69 Last', ' 258577)']",[' 8145.4  '],"[' 4273     (Average Length', ' 2081.55 Splits', ' 0)']","[' 6604550  (Deleted', ' 6493520)']","[' 454      (Ratio', '   0.01%)']","[' 34597    (Ratio', '   0.52%)']","[' 6604550  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6604550  (Average', ' 25.97 Max', ' 11305 Sum', ' 171549224)']","[' 6601981  (Average', ' 25.27 Max', ' 11305 Sum', ' 166865036 Ratio', '  97.27%)']","[' 2569     (Average', ' 1823.35 Max', ' 3096 Sum', ' 4684188 Ratio', '   2.73%)']", ,[' 328248  '],[' 16529   '],[' 301697  '],[' 132558  '],"[' 320915   (Atom=Atom', ' 89587 Body=Body', ' 60984 Other', ' 170344)']",[' Yes'],"[' 21552    (Eliminated', '    0 Frozen', ' 21552)']","[' 6331     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.52552'],[' 0'], ,[' 243.365'],[' 0'],[' 13.5808'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.79591e+08'],[' 3.19821e+08'],[' 0'],[' 1.27259e+10'],[' 0'],[' 0'],[' 932 '],[' 1779 '],[' 2486 '],[' 3038 '],[' 3636 '],[' 4364 '],[' 5043 '],[' 5529 '],[' 8 '],[' 0 ']
