Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 7589+'],[' 3804'],"[' 615.296s (Solving', ' 561.85s 1st Model', ' 81.78s Unsat', ' 0.00s)']",[' 612.250s'], ,[' 139797628'],"[' 7310265  (Analyzed', ' 6901881)']","[' 15749    (Average', ' 438.24 Last', ' 23457)']",[' 7317.2  '],"[' 3804     (Average Length', ' 1853.65 Splits', ' 0)']","[' 6901881  (Deleted', ' 6779993)']","[' 437      (Ratio', '   0.01%)']","[' 26626    (Ratio', '   0.39%)']","[' 6901881  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6901881  (Average', ' 17.75 Max', ' 9636 Sum', ' 122474755)']","[' 6899356  (Average', ' 17.13 Max', ' 9636 Sum', ' 118249646 Ratio', '  96.55%)']","[' 2525     (Average', ' 1673.31 Max', ' 2758 Sum', ' 4225109 Ratio', '   3.45%)']", ,[' 311030  '],[' 14645   '],[' 286852  '],[' 120425  '],"[' 288593   (Atom=Atom', ' 81240 Body=Body', ' 54747 Other', ' 152606)']",[' Yes'],"[' 19349    (Eliminated', '    0 Frozen', ' 19349)']","[' 5006     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5698'],[' 0'], ,[' 233.706'],[' 0'],[' 12.5441'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.44732e+08'],[' 2.02885e+08'],[' 0'],[' 9.55838e+09'],[' 0'],[' 0'],[' 1042 '],[' 1708 '],[' 2421 '],[' 2990 '],[' 3670 '],[' 4109 '],[' 4723 '],[' 5336 '],[' 5834 '],[' 9 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 7821+'],[' 3920'],"[' 616.044s (Solving', ' 559.69s 1st Model', ' 95.90s Unsat', ' 0.00s)']",[' 608.969s'], ,[' 110481452'],"[' 6131559  (Analyzed', ' 5874736)']","[' 14375    (Average', ' 408.68 Last', ' 71759)']",[' 7611.3  '],"[' 3920     (Average Length', ' 1929.71 Splits', ' 0)']","[' 5874736  (Deleted', ' 5754734)']","[' 454      (Ratio', '   0.01%)']","[' 19569    (Ratio', '   0.33%)']","[' 5874736  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5874736  (Average', ' 15.60 Max', ' 10681 Sum', ' 91666282)']","[' 5872315  (Average', ' 14.93 Max', ' 10681 Sum', ' 87689648 Ratio', '  95.66%)']","[' 2421     (Average', ' 1642.56 Max', ' 2888 Sum', ' 3976634 Ratio', '   4.34%)']", ,[' 310119  '],[' 14431   '],[' 285838  '],[' 119631  '],"[' 286367   (Atom=Atom', ' 80707 Body=Body', ' 54207 Other', ' 151453)']",[' Yes'],"[' 19328    (Eliminated', '    0 Frozen', ' 19328)']","[' 3651     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.0692'],[' 0'], ,[' 231.989'],[' 0'],[' 11.1982'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84286e+08'],[' 1.53961e+08'],[' 0'],[' 8.71921e+09'],[' 0'],[' 0'],[' 805 '],[' 1408 '],[' 2060 '],[' 2652 '],[' 3171 '],[' 3757 '],[' 4430 '],[' 5038 '],[' 5513 '],[' 9 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 7311+'],[' 3665'],"[' 613.354s (Solving', ' 568.46s 1st Model', ' 58.59s Unsat', ' 0.00s)']",[' 610.875s'], ,[' 120246252'],"[' 7713238  (Analyzed', ' 7338208)']","[' 16844    (Average', ' 435.66 Last', ' 21924)']",[' 7673.4  '],"[' 3665     (Average Length', ' 1830.61 Splits', ' 0)']","[' 7338208  (Deleted', ' 7213576)']","[' 511      (Ratio', '   0.01%)']","[' 17466    (Ratio', '   0.24%)']","[' 7338208  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7338208  (Average', ' 13.98 Max', ' 10316 Sum', ' 102582073)']","[' 7335417  (Average', ' 13.37 Max', ' 10316 Sum', ' 98105195 Ratio', '  95.64%)']","[' 2791     (Average', ' 1604.04 Max', ' 2746 Sum', ' 4476878 Ratio', '   4.36%)']", ,[' 311497  '],[' 14750   '],[' 287426  '],[' 121117  '],"[' 287615   (Atom=Atom', ' 80977 Body=Body', ' 54675 Other', ' 151963)']",[' Yes'],"[' 19281    (Eliminated', '    0 Frozen', ' 19281)']","[' 3320     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.77769'],[' 0'], ,[' 287.268'],[' 0'],[' 11.9784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.98737e+08'],[' 1.64439e+08'],[' 0'],[' 1.3345e+10'],[' 0'],[' 0'],[' 1118 '],[' 1703 '],[' 2384 '],[' 3000 '],[' 3601 '],[' 4202 '],[' 4739 '],[' 5324 '],[' 5856 '],[' 9 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 6545+'],[' 3282'],"[' 554.116s (Solving', ' 514.39s 1st Model', ' 49.42s Unsat', ' 0.00s)']",[' 551.813s'], ,[' 103218703'],"[' 8975616  (Analyzed', ' 8772352)']","[' 18750    (Average', ' 467.86 Last', ' 125766)']",[' 7264.1  '],"[' 3281     (Average Length', ' 1661.74 Splits', ' 0)']","[' 8772352  (Deleted', ' 8639208)']","[' 468      (Ratio', '   0.01%)']","[' 15478    (Ratio', '   0.18%)']","[' 8772352  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8772352  (Average', '  9.99 Max', ' 10472 Sum', ' 87671600)']","[' 8769975  (Average', '  9.61 Max', ' 10472 Sum', ' 84288643 Ratio', '  96.14%)']","[' 2377     (Average', ' 1423.20 Max', ' 2484 Sum', ' 3382957 Ratio', '   3.86%)']", ,[' 310868  '],[' 14578   '],[' 286067  '],[' 120071  '],"[' 285958   (Atom=Atom', ' 80466 Body=Body', ' 54577 Other', ' 150915)']",[' Yes'],"[' 18980    (Eliminated', '    0 Frozen', ' 18980)']","[' 2542     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.81654'],[' 0'], ,[' 265.073'],[' 0'],[' 10.4555'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76145e+08'],[' 1.39757e+08'],[' 0'],[' 1.34044e+10'],[' 0'],[' 0'],[' 894 '],[' 1508 '],[' 2073 '],[' 2660 '],[' 3366 '],[' 5527 '],[' 4724 '],[' 5274 '],[' 5722 '],[' 9 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 8197+'],[' 4108'],"[' 614.310s (Solving', ' 564.96s 1st Model', ' 128.72s Unsat', ' 0.00s)']",[' 612.094s'], ,[' 136485788'],"[' 5718038  (Analyzed', ' 5432610)']","[' 14460    (Average', ' 375.70 Last', ' 90421)']",[' 6984.2  '],"[' 4108     (Average Length', ' 1968.20 Splits', ' 0)']","[' 5432610  (Deleted', ' 5314294)']","[' 400      (Ratio', '   0.01%)']","[' 30263    (Ratio', '   0.56%)']","[' 5432610  (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5432610  (Average', ' 21.93 Max', ' 9703 Sum', ' 119130336)']","[' 5430342  (Average', ' 21.22 Max', ' 9703 Sum', ' 115288521 Ratio', '  96.78%)']","[' 2268     (Average', ' 1693.92 Max', ' 2988 Sum', ' 3841815 Ratio', '   3.22%)']", ,[' 311575  '],[' 14713   '],[' 287742  '],[' 120895  '],"[' 290440   (Atom=Atom', ' 81808 Body=Body', ' 54964 Other', ' 153668)']",[' Yes'],"[' 19695    (Eliminated', '    0 Frozen', ' 19695)']","[' 5483     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.82963'],[' 0'], ,[' 240.342'],[' 0'],[' 12.2642'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.75503e+08'],[' 2.29966e+08'],[' 0'],[' 1.01924e+10'],[' 0'],[' 0'],[' 929 '],[' 1598 '],[' 2132 '],[' 2703 '],[' 3404 '],[' 3979 '],[' 4573 '],[' 5190 '],[' 5644 '],[' 9 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 8285+'],[' 4152'],"[' 612.895s (Solving', ' 567.96s 1st Model', ' 88.95s Unsat', ' 0.00s)']",[' 611.891s'], ,[' 141037218'],"[' 10513611 (Analyzed', ' 10149005)']","[' 23000    (Average', ' 441.26 Last', ' 378325)']",[' 7455.6  '],"[' 4152     (Average Length', ' 1976.69 Splits', ' 0)']","[' 10149005 (Deleted', ' 10003997)']","[' 453      (Ratio', '   0.00%)']","[' 21990    (Ratio', '   0.22%)']","[' 10149005 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10149005 (Average', ' 12.00 Max', ' 10062 Sum', ' 121799320)']","[' 10146462 (Average', ' 11.58 Max', ' 10062 Sum', ' 117498908 Ratio', '  96.47%)']","[' 2543     (Average', ' 1691.08 Max', ' 2922 Sum', ' 4300412 Ratio', '   3.53%)']", ,[' 310667  '],[' 14436   '],[' 286369  '],[' 120159  '],"[' 287340   (Atom=Atom', ' 81009 Body=Body', ' 54337 Other', ' 151994)']",[' Yes'],"[' 19416    (Eliminated', '    0 Frozen', ' 19416)']","[' 3888     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.02063'],[' 0'], ,[' 280.137'],[' 0'],[' 11.8295'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45349e+08'],[' 1.98703e+08'],[' 0'],[' 1.49437e+10'],[' 0'],[' 0'],[' 917 '],[' 1508 '],[' 2132 '],[' 2661 '],[' 3259 '],[' 3867 '],[' 4522 '],[' 5121 '],[' 5623 '],[' 9 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 7777+'],[' 3898'],"[' 612.204s (Solving', ' 569.72s 1st Model', ' 51.97s Unsat', ' 0.00s)']",[' 610.953s'], ,[' 133729677'],"[' 11601639 (Analyzed', ' 11316973)']","[' 24961    (Average', ' 453.39 Last', ' 45484)']",[' 7974.7  '],"[' 3898     (Average Length', ' 1899.60 Splits', ' 0)']","[' 11316973 (Deleted', ' 11145445)']","[' 402      (Ratio', '   0.00%)']","[' 17154    (Ratio', '   0.15%)']","[' 11316973 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11316973 (Average', ' 10.00 Max', ' 10847 Sum', ' 113224299)']","[' 11314640 (Average', '  9.66 Max', ' 10847 Sum', ' 109315661 Ratio', '  96.55%)']","[' 2333     (Average', ' 1675.37 Max', ' 2931 Sum', ' 3908638 Ratio', '   3.45%)']", ,[' 309820  '],[' 14412   '],[' 285592  '],[' 119423  '],"[' 286651   (Atom=Atom', ' 80776 Body=Body', ' 54323 Other', ' 151552)']",[' Yes'],"[' 19316    (Eliminated', '    0 Frozen', ' 19316)']","[' 3293     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.6205'],[' 0'], ,[' 292.396'],[' 0'],[' 11.1063'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20579e+08'],[' 1.7569e+08'],[' 0'],[' 1.57917e+10'],[' 0'],[' 0'],[' 950 '],[' 1635 '],[' 2030 '],[' 2700 '],[' 3283 '],[' 3873 '],[' 4532 '],[' 5172 '],[' 5627 '],[' 9 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 6995+'],[' 3507'],"[' 611.354s (Solving', ' 572.44s 1st Model', ' 44.65s Unsat', ' 0.00s)']",[' 610.281s'], ,[' 117623342'],"[' 11743211 (Analyzed', ' 11492165)']","[' 23990    (Average', ' 479.04 Last', ' 79073)']",[' 7912.6  '],"[' 3507     (Average Length', ' 1766.52 Splits', ' 0)']","[' 11492165 (Deleted', ' 11336612)']","[' 503      (Ratio', '   0.00%)']","[' 15249    (Ratio', '   0.13%)']","[' 11492165 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11492165 (Average', '  8.62 Max', ' 10421 Sum', ' 99112829)']","[' 11489554 (Average', '  8.29 Max', ' 10421 Sum', ' 95314109 Ratio', '  96.17%)']","[' 2611     (Average', ' 1454.89 Max', ' 2682 Sum', ' 3798720 Ratio', '   3.83%)']", ,[' 311738  '],[' 14700   '],[' 287085  '],[' 120951  '],"[' 286957   (Atom=Atom', ' 80748 Body=Body', ' 54637 Other', ' 151572)']",[' Yes'],"[' 19166    (Eliminated', '    0 Frozen', ' 19166)']","[' 2765     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.67656'],[' 0'], ,[' 318.471'],[' 0'],[' 11.4515'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95076e+08'],[' 1.53675e+08'],[' 0'],[' 1.85478e+10'],[' 0'],[' 0'],[' 985 '],[' 1570 '],[' 2206 '],[' 2776 '],[' 3488 '],[' 4176 '],[' 4701 '],[' 5285 '],[' 5742 '],[' 9 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 7461+'],[' 3739'],"[' 618.244s (Solving', ' 560.24s 1st Model', ' 70.33s Unsat', ' 0.00s)']",[' 611.453s'], ,[' 139473421'],"[' 8141719  (Analyzed', ' 7822845)']","[' 17103    (Average', ' 457.40 Last', ' 23428)']",[' 6932.4  '],"[' 3739     (Average Length', ' 1853.69 Splits', ' 0)']","[' 7822845  (Deleted', ' 7697116)']","[' 467      (Ratio', '   0.01%)']","[' 27017    (Ratio', '   0.35%)']","[' 7822845  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7822845  (Average', ' 15.76 Max', ' 9501 Sum', ' 123283431)']","[' 7820553  (Average', ' 15.31 Max', ' 9501 Sum', ' 119783430 Ratio', '  97.16%)']","[' 2292     (Average', ' 1527.05 Max', ' 2812 Sum', ' 3500001 Ratio', '   2.84%)']", ,[' 312175  '],[' 14639   '],[' 287517  '],[' 121087  '],"[' 288560   (Atom=Atom', ' 81223 Body=Body', ' 54819 Other', ' 152518)']",[' Yes'],"[' 19408    (Eliminated', '    0 Frozen', ' 19408)']","[' 5096     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.3265'],[' 0'], ,[' 222.692'],[' 0'],[' 12.2921'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.68322e+08'],[' 2.20272e+08'],[' 0'],[' 1.07329e+10'],[' 0'],[' 0'],[' 954 '],[' 1535 '],[' 2093 '],[' 2674 '],[' 3256 '],[' 3799 '],[' 5009 '],[' 5379 '],[' 5770 '],[' 9 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 6783+'],[' 3401'],"[' 612.920s (Solving', ' 568.64s 1st Model', ' 82.89s Unsat', ' 0.00s)']",[' 608.484s'], ,[' 131712841'],"[' 7523159  (Analyzed', ' 7326780)']","[' 16633    (Average', ' 440.50 Last', ' 93572)']",[' 7517.6  '],"[' 3401     (Average Length', ' 1719.86 Splits', ' 0)']","[' 7326780  (Deleted', ' 7196351)']","[' 414      (Ratio', '   0.01%)']","[' 23600    (Ratio', '   0.32%)']","[' 7326780  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7326780  (Average', ' 15.67 Max', ' 10647 Sum', ' 114796322)']","[' 7324467  (Average', ' 15.21 Max', ' 10647 Sum', ' 111411985 Ratio', '  97.05%)']","[' 2313     (Average', ' 1463.18 Max', ' 8213 Sum', ' 3384337 Ratio', '   2.95%)']", ,[' 311805  '],[' 14739   '],[' 287163  '],[' 121068  '],"[' 287401   (Atom=Atom', ' 80828 Body=Body', ' 54771 Other', ' 151802)']",[' Yes'],"[' 19080    (Eliminated', '    0 Frozen', ' 19080)']","[' 4280     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.49605'],[' 0'], ,[' 278.892'],[' 0'],[' 12.1808'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.43153e+08'],[' 1.98762e+08'],[' 0'],[' 1.28205e+10'],[' 0'],[' 0'],[' 856 '],[' 1661 '],[' 2261 '],[' 2879 '],[' 3309 '],[' 3833 '],[' 4545 '],[' 5095 '],[' 5526 '],[' 9 '],[' 0 ']
