Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 8899+'],[' 4459'],"[' 619.952s (Solving', ' 556.58s 1st Model', ' 99.71s Unsat', ' 0.00s)']",[' 617.047s'], ,[' 161226098'],"[' 6612928  (Analyzed', ' 6259907)']","[' 14737    (Average', ' 424.77 Last', ' 28152)']",[' 8108.5  '],"[' 4460     (Average Length', ' 2182.01 Splits', ' 0)']","[' 6259907  (Deleted', ' 6146807)']","[' 668      (Ratio', '   0.01%)']","[' 30525    (Ratio', '   0.49%)']","[' 6259907  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6259907  (Average', ' 22.30 Max', ' 10833 Sum', ' 139571358)']","[' 6256956  (Average', ' 21.43 Max', ' 10833 Sum', ' 134124855 Ratio', '  96.10%)']","[' 2951     (Average', ' 1845.65 Max', ' 3323 Sum', ' 5446503 Ratio', '   3.90%)']", ,[' 335278  '],[' 17247   '],[' 309975  '],[' 142274  '],"[' 328454   (Atom=Atom', ' 92338 Body=Body', ' 63392 Other', ' 172724)']",[' Yes'],"[' 21994    (Eliminated', '    0 Frozen', ' 21994)']","[' 5600     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.3024'],[' 0'], ,[' 210.641'],[' 0'],[' 12.7149'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.91962e+08'],[' 2.47495e+08'],[' 0'],[' 8.76459e+09'],[' 0'],[' 0'],[' 1042 '],[' 1708 '],[' 2421 '],[' 2978 '],[' 3624 '],[' 4161 '],[' 4774 '],[' 5387 '],[' 5864 '],[' 9 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 9605+'],[' 4811'],"[' 621.347s (Solving', ' 554.19s 1st Model', ' 118.71s Unsat', ' 0.00s)']",[' 615.984s'], ,[' 159357584'],"[' 6205852  (Analyzed', ' 5930089)']","[' 13812    (Average', ' 429.34 Last', ' 15776)']",[' 8372.9  '],"[' 4811     (Average Length', ' 2291.73 Splits', ' 0)']","[' 5930089  (Deleted', ' 5804194)']","[' 571      (Ratio', '   0.01%)']","[' 28800    (Ratio', '   0.49%)']","[' 5930089  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5930089  (Average', ' 22.48 Max', ' 11444 Sum', ' 133327644)']","[' 5927879  (Average', ' 21.85 Max', ' 11444 Sum', ' 129555489 Ratio', '  97.17%)']","[' 2210     (Average', ' 1706.86 Max', ' 3471 Sum', ' 3772155 Ratio', '   2.83%)']", ,[' 332624  '],[' 16691   '],[' 307016  '],[' 139679  '],"[' 327140   (Atom=Atom', ' 92108 Body=Body', ' 62911 Other', ' 172121)']",[' Yes'],"[' 21988    (Eliminated', '    0 Frozen', ' 21988)']","[' 4718     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.1121'],[' 0'], ,[' 186.934'],[' 0'],[' 12.5783'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.76749e+08'],[' 2.35807e+08'],[' 0'],[' 7.03045e+09'],[' 0'],[' 0'],[' 805 '],[' 1408 '],[' 2061 '],[' 2597 '],[' 3167 '],[' 3749 '],[' 4396 '],[' 4971 '],[' 5464 '],[' 9 '],[' 0 ']
Solving...,TA73, , , ,[' 8961+'],[' 4489'],"[' 626.549s (Solving', ' 547.69s 1st Model', ' 100.59s Unsat', ' 0.00s)']",[' 622.297s'], ,[' 123360013'],"[' 5332862  (Analyzed', ' 4981139)']","[' 11612    (Average', ' 428.96 Last', ' 31035)']",[' 9161.3  '],"[' 4490     (Average Length', ' 2185.90 Splits', ' 0)']","[' 4981139  (Deleted', ' 4891776)']","[' 553      (Ratio', '   0.01%)']","[' 15068    (Ratio', '   0.30%)']","[' 4981139  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4981139  (Average', ' 19.29 Max', ' 12572 Sum', ' 96103246)']","[' 4978536  (Average', ' 18.36 Max', ' 12572 Sum', ' 91454322 Ratio', '  95.16%)']","[' 2603     (Average', ' 1785.99 Max', ' 3289 Sum', ' 4648924 Ratio', '   4.84%)']", ,[' 332446  '],[' 16938   '],[' 307388  '],[' 139895  '],"[' 328151   (Atom=Atom', ' 92305 Body=Body', ' 63362 Other', ' 172484)']",[' Yes'],"[' 21976    (Eliminated', '    0 Frozen', ' 21976)']","[' 2730     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2311'],[' 0'], ,[' 169.645'],[' 0'],[' 11.3431'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9804e+08'],[' 1.69217e+08'],[' 0'],[' 5.54287e+09'],[' 0'],[' 0'],[' 1118 '],[' 1703 '],[' 2384 '],[' 3000 '],[' 3601 '],[' 4212 '],[' 4727 '],[' 5297 '],[' 6186 '],[' 9 '],[' 0 ']
Solving...,TA74, , , ,[' 9025+'],[' 4521'],"[' 624.290s (Solving', ' 551.87s 1st Model', ' 97.37s Unsat', ' 0.00s)']",[' 621.188s'], ,[' 131710790'],"[' 5392462  (Analyzed', ' 5172014)']","[' 12138    (Average', ' 426.10 Last', ' 29036)']",[' 8360.6  '],"[' 4522     (Average Length', ' 2180.37 Splits', ' 0)']","[' 5172014  (Deleted', ' 5065170)']","[' 665      (Ratio', '   0.01%)']","[' 21917    (Ratio', '   0.42%)']","[' 5172014  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5172014  (Average', ' 20.75 Max', ' 12017 Sum', ' 107328596)']","[' 5169523  (Average', ' 19.98 Max', ' 12017 Sum', ' 103316018 Ratio', '  96.26%)']","[' 2491     (Average', ' 1610.83 Max', ' 3305 Sum', ' 4012578 Ratio', '   3.74%)']", ,[' 333367  '],[' 16869   '],[' 307838  '],[' 140400  '],"[' 326681   (Atom=Atom', ' 91909 Body=Body', ' 63037 Other', ' 171735)']",[' Yes'],"[' 21942    (Eliminated', '    0 Frozen', ' 21942)']","[' 3807     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7597'],[' 0'], ,[' 183.308'],[' 0'],[' 11.5345'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.27958e+08'],[' 1.94035e+08'],[' 0'],[' 6.34186e+09'],[' 0'],[' 0'],[' 894 '],[' 1508 '],[' 2071 '],[' 2660 '],[' 3356 '],[' 3891 '],[' 4556 '],[' 5154 '],[' 6102 '],[' 9 '],[' 0 ']
Solving...,TA75, , , ,[' 8739+'],[' 4378'],"[' 634.698s (Solving', ' 547.06s 1st Model', ' 141.10s Unsat', ' 0.00s)']",[' 629.297s'], ,[' 132849628'],"[' 3887780  (Analyzed', ' 3639488)']","[' 8961     (Average', ' 406.15 Last', ' 60938)']",[' 7237.7  '],"[' 4379     (Average Length', ' 2166.41 Splits', ' 0)']","[' 3639488  (Deleted', ' 3546605)']","[' 605      (Ratio', '   0.02%)']","[' 29979    (Ratio', '   0.82%)']","[' 3639488  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3639488  (Average', ' 31.59 Max', ' 10903 Sum', ' 114971437)']","[' 3637014  (Average', ' 30.27 Max', ' 10903 Sum', ' 110182731 Ratio', '  95.83%)']","[' 2474     (Average', ' 1935.61 Max', ' 3503 Sum', ' 4788706 Ratio', '   4.17%)']", ,[' 331629  '],[' 16808   '],[' 306495  '],[' 138777  '],"[' 328807   (Atom=Atom', ' 92437 Body=Body', ' 63537 Other', ' 172833)']",[' Yes'],"[' 22028    (Eliminated', '    0 Frozen', ' 22028)']","[' 5511     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.4686'],[' 0'], ,[' 140.828'],[' 0'],[' 11.5835'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.61086e+08'],[' 2.21893e+08'],[' 0'],[' 4.00912e+09'],[' 0'],[' 0'],[' 929 '],[' 1598 '],[' 2109 '],[' 2714 '],[' 3339 '],[' 3953 '],[' 4520 '],[' 5935 '],[' 7848 '],[' 9 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 9911+'],[' 4964'],"[' 623.576s (Solving', ' 557.48s 1st Model', ' 97.47s Unsat', ' 0.01s)']",[' 610.438s'], ,[' 159706832'],"[' 5423831  (Analyzed', ' 5067764)']","[' 12350    (Average', ' 410.35 Last', ' 32212)']",[' 8274.2  '],"[' 4964     (Average Length', ' 2307.60 Splits', ' 0)']","[' 5067764  (Deleted', ' 4947015)']","[' 653      (Ratio', '   0.01%)']","[' 28322    (Ratio', '   0.56%)']","[' 5067764  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5067764  (Average', ' 26.35 Max', ' 11588 Sum', ' 133550225)']","[' 5065352  (Average', ' 25.55 Max', ' 11588 Sum', ' 129489073 Ratio', '  96.96%)']","[' 2412     (Average', ' 1683.73 Max', ' 3529 Sum', ' 4061152 Ratio', '   3.04%)']", ,[' 331239  '],[' 16589   '],[' 306081  '],[' 138642  '],"[' 327365   (Atom=Atom', ' 92196 Body=Body', ' 62905 Other', ' 172264)']",[' Yes'],"[' 22050    (Eliminated', '    0 Frozen', ' 22050)']","[' 5144     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.127'],[' 0'], ,[' 188.685'],[' 0'],[' 12.0943'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.81195e+08'],[' 2.41775e+08'],[' 0'],[' 7.20431e+09'],[' 0'],[' 0'],[' 917 '],[' 1508 '],[' 2128 '],[' 2701 '],[' 3276 '],[' 3877 '],[' 4466 '],[' 5107 '],[' 5633 '],[' 9 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 9701+'],[' 4860'],"[' 619.185s (Solving', ' 557.48s 1st Model', ' 116.16s Unsat', ' 0.00s)']",[' 615.719s'], ,[' 172306470'],"[' 7251473  (Analyzed', ' 6922512)']","[' 16443    (Average', ' 421.00 Last', ' 33197)']",[' 8735.4  '],"[' 4860     (Average Length', ' 2315.85 Splits', ' 0)']","[' 6922512  (Deleted', ' 6794194)']","[' 657      (Ratio', '   0.01%)']","[' 27240    (Ratio', '   0.39%)']","[' 6922512  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6922512  (Average', ' 20.98 Max', ' 12575 Sum', ' 145262613)']","[' 6919949  (Average', ' 20.29 Max', ' 12575 Sum', ' 140475535 Ratio', '  96.70%)']","[' 2563     (Average', ' 1867.76 Max', ' 3569 Sum', ' 4787078 Ratio', '   3.30%)']", ,[' 331652  '],[' 16642   '],[' 306439  '],[' 138938  '],"[' 327537   (Atom=Atom', ' 92222 Body=Body', ' 62984 Other', ' 172331)']",[' Yes'],"[' 22136    (Eliminated', '    0 Frozen', ' 22136)']","[' 4874     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.7766'],[' 0'], ,[' 195.605'],[' 0'],[' 12.5293'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.9951e+08'],[' 2.53202e+08'],[' 0'],[' 7.91663e+09'],[' 0'],[' 0'],[' 950 '],[' 1635 '],[' 2021 '],[' 2700 '],[' 3277 '],[' 3887 '],[' 4532 '],[' 5156 '],[' 5601 '],[' 9 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 8303+'],[' 4161'],"[' 615.795s (Solving', ' 563.94s 1st Model', ' 65.61s Unsat', ' 0.00s)']",[' 614.234s'], ,[' 149033224'],"[' 9374171  (Analyzed', ' 9072714)']","[' 19306    (Average', ' 469.94 Last', ' 30630)']",[' 8705.4  '],"[' 4161     (Average Length', ' 2048.54 Splits', ' 0)']","[' 9072714  (Deleted', ' 8934899)']","[' 676      (Ratio', '   0.01%)']","[' 20019    (Ratio', '   0.22%)']","[' 9072714  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9072714  (Average', ' 13.86 Max', ' 11309 Sum', ' 125775244)']","[' 9069644  (Average', ' 13.29 Max', ' 11309 Sum', ' 120605511 Ratio', '  95.89%)']","[' 3070     (Average', ' 1683.95 Max', ' 3027 Sum', ' 5169733 Ratio', '   4.11%)']", ,[' 332216  '],[' 16845   '],[' 306630  '],[' 139453  '],"[' 326558   (Atom=Atom', ' 91781 Body=Body', ' 63225 Other', ' 171552)']",[' Yes'],"[' 21761    (Eliminated', '    0 Frozen', ' 21761)']","[' 4062     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.74954'],[' 0'], ,[' 267.926'],[' 0'],[' 12.3298'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45406e+08'],[' 2.03832e+08'],[' 0'],[' 1.43738e+10'],[' 0'],[' 0'],[' 985 '],[' 1570 '],[' 2206 '],[' 2769 '],[' 3506 '],[' 4153 '],[' 4662 '],[' 5246 '],[' 5703 '],[' 9 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 10213+'],[' 5115'],"[' 622.579s (Solving', ' 548.90s 1st Model', ' 124.24s Unsat', ' 0.00s)']",[' 620.391s'], ,[' 158360460'],"[' 5718185  (Analyzed', ' 5373989)']","[' 12218    (Average', ' 439.84 Last', ' 55898)']",[' 8224.7  '],"[' 5115     (Average Length', ' 2420.72 Splits', ' 0)']","[' 5373989  (Deleted', ' 5270501)']","[' 681      (Ratio', '   0.01%)']","[' 29174    (Ratio', '   0.54%)']","[' 5373989  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5373989  (Average', ' 24.59 Max', ' 12333 Sum', ' 132133727)']","[' 5371658  (Average', ' 23.83 Max', ' 12333 Sum', ' 128062257 Ratio', '  96.92%)']","[' 2331     (Average', ' 1746.66 Max', ' 3754 Sum', ' 4071470 Ratio', '   3.08%)']", ,[' 332521  '],[' 16701   '],[' 307352  '],[' 139497  '],"[' 329922   (Atom=Atom', ' 92878 Body=Body', ' 63310 Other', ' 173734)']",[' Yes'],"[' 22352    (Eliminated', '    0 Frozen', ' 22352)']","[' 5292     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.7083'],[' 0'], ,[' 163.097'],[' 0'],[' 12.3302'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.88154e+08'],[' 2.453e+08'],[' 0'],[' 5.90407e+09'],[' 0'],[' 0'],[' 954 '],[' 1523 '],[' 2099 '],[' 2726 '],[' 3225 '],[' 3822 '],[' 4460 '],[' 5128 '],[' 5610 '],[' 9 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 8835+'],[' 4427'],"[' 616.909s (Solving', ' 559.87s 1st Model', ' 80.47s Unsat', ' 0.00s)']",[' 614.719s'], ,[' 154883644'],"[' 5981696  (Analyzed', ' 5752063)']","[' 13889    (Average', ' 414.15 Last', ' 40721)']",[' 8796.6  '],"[' 4427     (Average Length', ' 2168.91 Splits', ' 0)']","[' 5752063  (Deleted', ' 5636155)']","[' 685      (Ratio', '   0.01%)']","[' 26150    (Ratio', '   0.45%)']","[' 5752063  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5752063  (Average', ' 22.61 Max', ' 10941 Sum', ' 130066144)']","[' 5749199  (Average', ' 21.73 Max', ' 10941 Sum', ' 125005127 Ratio', '  96.11%)']","[' 2864     (Average', ' 1767.11 Max', ' 3280 Sum', ' 5061017 Ratio', '   3.89%)']", ,[' 332716  '],[' 16904   '],[' 307276  '],[' 139887  '],"[' 329232   (Atom=Atom', ' 92533 Body=Body', ' 63646 Other', ' 173053)']",[' Yes'],"[' 21962    (Eliminated', '    0 Frozen', ' 21962)']","[' 4561     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.7691'],[' 0'], ,[' 228.055'],[' 0'],[' 12.4237'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74969e+08'],[' 2.32699e+08'],[' 0'],[' 9.66438e+09'],[' 0'],[' 0'],[' 856 '],[' 1661 '],[' 2284 '],[' 2902 '],[' 3344 '],[' 3875 '],[' 4485 '],[' 5047 '],[' 5514 '],[' 9 '],[' 0 ']
