Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 6469+'],[' 3245'],"[' 619.158s (Solving', ' 584.59s 1st Model', ' 36.03s Unsat', ' 0.00s)']",[' 602.984s'], ,[' 102772389'],"[' 12306236 (Analyzed', ' 12092473)']","[' 26182    (Average', ' 461.86 Last', ' 14732)']",[' 6605.3  '],"[' 3245     (Average Length', ' 1627.19 Splits', ' 0)']","[' 12092473 (Deleted', ' 11930066)']","[' 419      (Ratio', '   0.00%)']","[' 15721    (Ratio', '   0.13%)']","[' 12092473 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12092473 (Average', '  7.39 Max', ' 9562 Sum', ' 89331448)']","[' 12090106 (Average', '  7.10 Max', ' 9562 Sum', ' 85897433 Ratio', '  96.16%)']","[' 2367     (Average', ' 1450.79 Max', ' 2524 Sum', ' 3434015 Ratio', '   3.84%)']", ,[' 298117  '],[' 13334   '],[' 275989  '],[' 111462  '],"[' 264257   (Atom=Atom', ' 74921 Body=Body', ' 50241 Other', ' 139095)']",[' Yes'],"[' 17621    (Eliminated', '    0 Frozen', ' 17621)']","[' 2755     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.38853'],[' 0'], ,[' 337.234'],[' 0'],[' 10.5053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83418e+08'],[' 1.40716e+08'],[' 0'],[' 1.91979e+10'],[' 0'],[' 0'],[' 917 '],[' 1688 '],[' 2276 '],[' 2775 '],[' 3397 '],[' 3914 '],[' 4414 '],[' 5025 '],[' 5590 '],[' 5961 '],[' 10 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 7401+'],[' 3711'],"[' 612.668s (Solving', ' 570.32s 1st Model', ' 55.62s Unsat', ' 0.00s)']",[' 609.531s'], ,[' 111172413'],"[' 10386342 (Analyzed', ' 10193886)']","[' 23413    (Average', ' 435.39 Last', ' 28090)']",[' 6935.4  '],"[' 3711     (Average Length', ' 1783.59 Splits', ' 0)']","[' 10193886 (Deleted', ' 10035634)']","[' 398      (Ratio', '   0.00%)']","[' 18154    (Ratio', '   0.18%)']","[' 10193886 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10193886 (Average', '  9.30 Max', ' 10195 Sum', ' 94804773)']","[' 10191572 (Average', '  8.97 Max', ' 10195 Sum', ' 91442312 Ratio', '  96.45%)']","[' 2314     (Average', ' 1453.09 Max', ' 2737 Sum', ' 3362461 Ratio', '   3.55%)']", ,[' 297963  '],[' 13066   '],[' 275641  '],[' 111120  '],"[' 264038   (Atom=Atom', ' 74992 Body=Body', ' 49962 Other', ' 139084)']",[' Yes'],"[' 17799    (Eliminated', '    0 Frozen', ' 17799)']","[' 3413     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.30521'],[' 0'], ,[' 294.762'],[' 0'],[' 11.3982'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95758e+08'],[' 1.54845e+08'],[' 0'],[' 1.52843e+10'],[' 0'],[' 0'],[' 805 '],[' 1316 '],[' 1889 '],[' 2368 '],[' 2881 '],[' 3416 '],[' 3964 '],[' 4463 '],[' 5020 '],[' 5434 '],[' 10 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 6335+'],[' 3178'],"[' 612.382s (Solving', ' 570.28s 1st Model', ' 49.71s Unsat', ' 0.00s)']",[' 607.766s'], ,[' 86146440'],"[' 11192321 (Analyzed', ' 10880505)']","[' 24511    (Average', ' 443.90 Last', ' 73531)']",[' 7422.9  '],"[' 3178     (Average Length', ' 1605.29 Splits', ' 0)']","[' 10880505 (Deleted', ' 10729497)']","[' 335      (Ratio', '   0.00%)']","[' 10427    (Ratio', '   0.10%)']","[' 10880505 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10880505 (Average', '  6.43 Max', ' 10480 Sum', ' 69937656)']","[' 10878392 (Average', '  6.15 Max', ' 10480 Sum', ' 66934195 Ratio', '  95.71%)']","[' 2113     (Average', ' 1421.42 Max', ' 2456 Sum', ' 3003461 Ratio', '   4.29%)']", ,[' 297886  '],[' 13273   '],[' 275646  '],[' 111253  '],"[' 263712   (Atom=Atom', ' 74796 Body=Body', ' 50203 Other', ' 138713)']",[' Yes'],"[' 17568    (Eliminated', '    0 Frozen', ' 17568)']","[' 1768     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.39994'],[' 0'], ,[' 303.16'],[' 0'],[' 9.91321'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47731e+08'],[' 1.1152e+08'],[' 0'],[' 1.46336e+10'],[' 0'],[' 0'],[' 1051 '],[' 1632 '],[' 2208 '],[' 2680 '],[' 3180 '],[' 3812 '],[' 4301 '],[' 4877 '],[' 5330 '],[' 5822 '],[' 10 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 6655+'],[' 3338'],"[' 612.388s (Solving', ' 573.06s 1st Model', ' 42.04s Unsat', ' 0.00s)']",[' 610.375s'], ,[' 86398316'],"[' 10231953 (Analyzed', ' 9989836)']","[' 23098    (Average', ' 432.50 Last', ' 57384)']",[' 7048.4  '],"[' 3338     (Average Length', ' 1646.93 Splits', ' 0)']","[' 9989836  (Deleted', ' 9823064)']","[' 467      (Ratio', '   0.00%)']","[' 11077    (Ratio', '   0.11%)']","[' 9989836  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9989836  (Average', '  7.11 Max', ' 10205 Sum', ' 71018518)']","[' 9987450  (Average', '  6.78 Max', ' 10205 Sum', ' 67764065 Ratio', '  95.42%)']","[' 2386     (Average', ' 1363.98 Max', ' 2500 Sum', ' 3254453 Ratio', '   4.58%)']", ,[' 298350  '],[' 13082   '],[' 275458  '],[' 111231  '],"[' 263236   (Atom=Atom', ' 74706 Body=Body', ' 50015 Other', ' 138515)']",[' Yes'],"[' 17608    (Eliminated', '    0 Frozen', ' 17608)']","[' 2072     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.75478'],[' 0'], ,[' 315.238'],[' 0'],[' 9.89866'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.458e+08'],[' 1.13062e+08'],[' 0'],[' 1.47532e+10'],[' 0'],[' 0'],[' 882 '],[' 1387 '],[' 1878 '],[' 2422 '],[' 3003 '],[' 3472 '],[' 4251 '],[' 4633 '],[' 5217 '],[' 5575 '],[' 10 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 7873+'],[' 3947'],"[' 614.907s (Solving', ' 562.82s 1st Model', ' 65.29s Unsat', ' 0.00s)']",[' 612.781s'], ,[' 101752157'],"[' 8457579  (Analyzed', ' 8293792)']","[' 19391    (Average', ' 427.71 Last', ' 19735)']",[' 6598.8  '],"[' 3947     (Average Length', ' 1896.86 Splits', ' 0)']","[' 8293792  (Deleted', ' 8153034)']","[' 422      (Ratio', '   0.01%)']","[' 20729    (Ratio', '   0.25%)']","[' 8293792  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8293792  (Average', ' 10.43 Max', ' 9415 Sum', ' 86532668)']","[' 8291457  (Average', '  9.97 Max', ' 9415 Sum', ' 82708134 Ratio', '  95.58%)']","[' 2335     (Average', ' 1637.92 Max', ' 2948 Sum', ' 3824534 Ratio', '   4.42%)']", ,[' 299094  '],[' 13309   '],[' 277317  '],[' 112230  '],"[' 267201   (Atom=Atom', ' 75852 Body=Body', ' 50462 Other', ' 140887)']",[' Yes'],"[' 18193    (Eliminated', '    0 Frozen', ' 18193)']","[' 4055     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.2919'],[' 0'], ,[' 247.595'],[' 0'],[' 10.245'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.91255e+08'],[' 1.5343e+08'],[' 0'],[' 1.08279e+10'],[' 0'],[' 0'],[' 871 '],[' 1430 '],[' 1920 '],[' 2550 '],[' 3073 '],[' 3644 '],[' 4192 '],[' 4739 '],[' 5212 '],[' 5661 '],[' 10 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 6789+'],[' 3405'],"[' 611.749s (Solving', ' 573.17s 1st Model', ' 43.51s Unsat', ' 0.00s)']",[' 609.984s'], ,[' 89060807'],"[' 12262501 (Analyzed', ' 12048439)']","[' 26447    (Average', ' 455.57 Last', ' 48829)']",[' 6862.1  '],"[' 3405     (Average Length', ' 1670.98 Splits', ' 0)']","[' 12048439 (Deleted', ' 11879195)']","[' 473      (Ratio', '   0.00%)']","[' 11826    (Ratio', '   0.10%)']","[' 12048439 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12048439 (Average', '  6.12 Max', ' 11281 Sum', ' 73741118)']","[' 12046219 (Average', '  5.87 Max', ' 11281 Sum', ' 70763714 Ratio', '  95.96%)']","[' 2220     (Average', ' 1341.17 Max', ' 2577 Sum', ' 2977404 Ratio', '   4.04%)']", ,[' 297631  '],[' 12976   '],[' 274801  '],[' 110716  '],"[' 261203   (Atom=Atom', ' 74171 Body=Body', ' 49526 Other', ' 137506)']",[' Yes'],"[' 17453    (Eliminated', '    0 Frozen', ' 17453)']","[' 2178     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.65876'],[' 0'], ,[' 313.14'],[' 0'],[' 9.85996'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53249e+08'],[' 1.13866e+08'],[' 0'],[' 1.62943e+10'],[' 0'],[' 0'],[' 821 '],[' 1424 '],[' 1949 '],[' 2404 '],[' 2956 '],[' 3502 '],[' 4113 '],[' 4540 '],[' 5109 '],[' 5582 '],[' 10 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 6693+'],[' 3357'],"[' 615.207s (Solving', ' 565.13s 1st Model', ' 59.20s Unsat', ' 0.00s)']",[' 609.031s'], ,[' 80849260'],"[' 9581036  (Analyzed', ' 9418791)']","[' 21219    (Average', ' 443.88 Last', ' 74186)']",[' 7241.1  '],"[' 3357     (Average Length', ' 1670.60 Splits', ' 0)']","[' 9418791  (Deleted', ' 9261495)']","[' 320      (Ratio', '   0.00%)']","[' 9616     (Ratio', '   0.10%)']","[' 9418791  (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9418791  (Average', '  6.84 Max', ' 11860 Sum', ' 64433825)']","[' 9416875  (Average', '  6.54 Max', ' 10304 Sum', ' 61638262 Ratio', '  95.66%)']","[' 1916     (Average', ' 1459.06 Max', ' 2572 Sum', ' 2795563 Ratio', '   4.34%)']", ,[' 296692  '],[' 13010   '],[' 274366  '],[' 110075  '],"[' 261986   (Atom=Atom', ' 74355 Body=Body', ' 49711 Other', ' 137920)']",[' Yes'],"[' 17545    (Eliminated', '    0 Frozen', ' 17545)']","[' 1522     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.81925'],[' 0'], ,[' 267.184'],[' 0'],[' 9.47372'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35321e+08'],[' 1.03528e+08'],[' 0'],[' 1.09104e+10'],[' 0'],[' 0'],[' 840 '],[' 1577 '],[' 1989 '],[' 2437 '],[' 3011 '],[' 3556 '],[' 4253 '],[' 4741 '],[' 5287 '],[' 5667 '],[' 10 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 6513+'],[' 3267'],"[' 613.503s (Solving', ' 571.17s 1st Model', ' 51.70s Unsat', ' 0.00s)']",[' 601.875s'], ,[' 86924170'],"[' 7919798  (Analyzed', ' 7682124)']","[' 17962    (Average', ' 427.69 Last', ' 40817)']",[' 6937.8  '],"[' 3267     (Average Length', ' 1619.15 Splits', ' 0)']","[' 7682124  (Deleted', ' 7563260)']","[' 350      (Ratio', '   0.00%)']","[' 14105    (Ratio', '   0.18%)']","[' 7682124  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7682124  (Average', '  9.35 Max', ' 9704 Sum', ' 71811180)']","[' 7680060  (Average', '  8.98 Max', ' 9704 Sum', ' 68993953 Ratio', '  96.08%)']","[' 2064     (Average', ' 1364.94 Max', ' 2518 Sum', ' 2817227 Ratio', '   3.92%)']", ,[' 298450  '],[' 13186   '],[' 275843  '],[' 111590  '],"[' 263077   (Atom=Atom', ' 74617 Body=Body', ' 50020 Other', ' 138440)']",[' Yes'],"[' 17577    (Eliminated', '    0 Frozen', ' 17577)']","[' 2534     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.94858'],[' 0'], ,[' 302.858'],[' 0'],[' 10.8051'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48484e+08'],[' 1.18202e+08'],[' 0'],[' 1.34755e+10'],[' 0'],[' 0'],[' 898 '],[' 1463 '],[' 2107 '],[' 2525 '],[' 3146 '],[' 3712 '],[' 4250 '],[' 4749 '],[' 5276 '],[' 5723 '],[' 10 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 7335+'],[' 3678'],"[' 613.661s (Solving', ' 566.67s 1st Model', ' 58.15s Unsat', ' 0.00s)']",[' 602.766s'], ,[' 90232371'],"[' 9952220  (Analyzed', ' 9621452)']","[' 22805    (Average', ' 421.90 Last', ' 17244)']",[' 7162.4  '],"[' 3678     (Average Length', ' 1774.23 Splits', ' 0)']","[' 9621452  (Deleted', ' 9471494)']","[' 409      (Ratio', '   0.00%)']","[' 13678    (Ratio', '   0.14%)']","[' 9621452  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9621452  (Average', '  7.61 Max', ' 9885 Sum', ' 73266096)']","[' 9619094  (Average', '  7.24 Max', ' 9885 Sum', ' 69703267 Ratio', '  95.14%)']","[' 2358     (Average', ' 1510.95 Max', ' 2672 Sum', ' 3562829 Ratio', '   4.86%)']", ,[' 298439  '],[' 13168   '],[' 276074  '],[' 111345  '],"[' 265817   (Atom=Atom', ' 75431 Body=Body', ' 50310 Other', ' 140076)']",[' Yes'],"[' 17956    (Eliminated', '    0 Frozen', ' 17956)']","[' 2540     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.26442'],[' 0'], ,[' 276.291'],[' 0'],[' 9.9225'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56699e+08'],[' 1.21568e+08'],[' 0'],[' 1.3094e+10'],[' 0'],[' 0'],[' 837 '],[' 1358 '],[' 1878 '],[' 2445 '],[' 2973 '],[' 3541 '],[' 4009 '],[' 4567 '],[' 5108 '],[' 5570 '],[' 10 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 6467+'],[' 3244'],"[' 612.050s (Solving', ' 572.60s 1st Model', ' 46.21s Unsat', ' 0.00s)']",[' 596.391s'], ,[' 91198482'],"[' 8547585  (Analyzed', ' 8362418)']","[' 18749    (Average', ' 446.02 Last', ' 61083)']",[' 6699.5  '],"[' 3244     (Average Length', ' 1637.00 Splits', ' 0)']","[' 8362418  (Deleted', ' 8236253)']","[' 371      (Ratio', '   0.00%)']","[' 16663    (Ratio', '   0.20%)']","[' 8362418  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8362418  (Average', '  9.29 Max', ' 9902 Sum', ' 77728076)']","[' 8360179  (Average', '  8.88 Max', ' 9902 Sum', ' 74230566 Ratio', '  95.50%)']","[' 2239     (Average', ' 1562.09 Max', ' 2466 Sum', ' 3497510 Ratio', '   4.50%)']", ,[' 299234  '],[' 13345   '],[' 276593  '],[' 112235  '],"[' 264839   (Atom=Atom', ' 75060 Body=Body', ' 50373 Other', ' 139406)']",[' Yes'],"[' 17700    (Eliminated', '    0 Frozen', ' 17700)']","[' 3050     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.6249'],[' 0'], ,[' 307.376'],[' 0'],[' 10.415'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74798e+08'],[' 1.36423e+08'],[' 0'],[' 1.41996e+10'],[' 0'],[' 0'],[' 786 '],[' 1372 '],[' 2103 '],[' 2603 '],[' 3074 '],[' 3559 '],[' 4087 '],[' 4624 '],[' 5147 '],[' 5524 '],[' 10 '],[' 0 ']
