Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 4945+'],[' 2476'],"[' 1003.714s (Solving', ' 985.48s 1st Model', ' 178.94s Unsat', ' 0.00s)']",[' 1000.734s'], ,[' 330572260'],"[' 6915071  (Analyzed', ' 6132118)']","[' 13750    (Average', ' 445.97 Last', ' 85098)']",[' 4777.5  '],"[' 2476     (Average Length', ' 1167.34 Splits', ' 0)']","[' 6132118  (Deleted', ' 6047480)']","[' 344      (Ratio', '   0.01%)']","[' 42076    (Ratio', '   0.69%)']","[' 6132118  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6132118  (Average', ' 52.33 Max', ' 4625 Sum', ' 320917224)']","[' 6131486  (Average', ' 52.21 Max', ' 4625 Sum', ' 320155498 Ratio', '  99.76%)']","[' 632      (Average', ' 1205.26 Max', ' 1554 Sum', ' 761726 Ratio', '   0.24%)']", ,[' 116135  '],[' 9098    '],[' 117354  '],[' 68115   '],"[' 204341   (Atom=Atom', ' 60015 Body=Body', ' 34548 Other', ' 109778)']",[' Yes'],"[' 11317    (Eliminated', '    0 Frozen', ' 11317)']","[' 6444     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.27497'],[' 0'], ,[' 580.862'],[' 0'],[' 24.6452'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13924e+09'],[' 9.79158e+08'],[' 0'],[' 4.41965e+10'],[' 0'],[' 0'],[' 1243 '],[' 2368 '],[' 3529 '],[' 3 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 5383+'],[' 2695'],"[' 1004.258s (Solving', ' 982.88s 1st Model', ' 294.09s Unsat', ' 0.00s)']",[' 1001.563s'], ,[' 347665183'],"[' 5936140  (Analyzed', ' 4991779)']","[' 11600    (Average', ' 430.33 Last', ' 100843)']",[' 4990.4  '],"[' 2695     (Average Length', ' 1283.53 Splits', ' 0)']","[' 4991779  (Deleted', ' 4912168)']","[' 344      (Ratio', '   0.01%)']","[' 46297    (Ratio', '   0.93%)']","[' 4991779  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4991779  (Average', ' 67.53 Max', ' 4690 Sum', ' 337075984)']","[' 4991120  (Average', ' 67.36 Max', ' 4690 Sum', ' 336268521 Ratio', '  99.76%)']","[' 659      (Average', ' 1225.29 Max', ' 4509 Sum', ' 807463 Ratio', '   0.24%)']", ,[' 117494  '],[' 9251    '],[' 118926  '],[' 69363   '],"[' 208085   (Atom=Atom', ' 61110 Body=Body', ' 34701 Other', ' 112274)']",[' Yes'],"[' 11683    (Eliminated', '    0 Frozen', ' 11683)']","[' 6855     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.00616'],[' 0'], ,[' 530.661'],[' 0'],[' 25.4528'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29073e+09'],[' 1.12718e+09'],[' 0'],[' 3.61214e+10'],[' 0'],[' 0'],[' 1345 '],[' 2437 '],[' 3587 '],[' 3 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 5377+'],[' 2692'],"[' 1003.765s (Solving', ' 984.31s 1st Model', ' 233.65s Unsat', ' 0.00s)']",[' 998.563s'], ,[' 315115100'],"[' 7405848  (Analyzed', ' 6796291)']","[' 14916    (Average', ' 455.64 Last', ' 365690)']",[' 4739.7  '],"[' 2692     (Average Length', ' 1274.61 Splits', ' 0)']","[' 6796291  (Deleted', ' 6705510)']","[' 372      (Ratio', '   0.01%)']","[' 40432    (Ratio', '   0.59%)']","[' 6796291  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6796291  (Average', ' 44.97 Max', ' 4542 Sum', ' 305652362)']","[' 6795568  (Average', ' 44.83 Max', ' 4542 Sum', ' 304691885 Ratio', '  99.69%)']","[' 723      (Average', ' 1328.46 Max', ' 1739 Sum', ' 960477 Ratio', '   0.31%)']", ,[' 116221  '],[' 9030    '],[' 117638  '],[' 67887   '],"[' 203657   (Atom=Atom', ' 59855 Body=Body', ' 34480 Other', ' 109322)']",[' Yes'],"[' 11447    (Eliminated', '    0 Frozen', ' 11447)']","[' 6180     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.66003'],[' 0'], ,[' 599.077'],[' 0'],[' 24.5347'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05743e+09'],[' 9.10635e+08'],[' 0'],[' 4.29123e+10'],[' 0'],[' 0'],[' 1221 '],[' 2228 '],[' 3339 '],[' 3 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 4943+'],[' 2475'],"[' 1004.208s (Solving', ' 983.99s 1st Model', ' 337.04s Unsat', ' 0.00s)']",[' 1000.484s'], ,[' 312573930'],"[' 9182183  (Analyzed', ' 8493190)']","[' 16813    (Average', ' 505.16 Last', ' 148766)']",[' 4872.2  '],"[' 2475     (Average Length', ' 1165.63 Splits', ' 0)']","[' 8493190  (Deleted', ' 8387098)']","[' 328      (Ratio', '   0.00%)']","[' 43401    (Ratio', '   0.51%)']","[' 8493190  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8493190  (Average', ' 35.66 Max', ' 4726 Sum', ' 302830643)']","[' 8492487  (Average', ' 35.56 Max', ' 4726 Sum', ' 301993386 Ratio', '  99.72%)']","[' 703      (Average', ' 1190.98 Max', ' 1526 Sum', ' 837257 Ratio', '   0.28%)']", ,[' 116398  '],[' 9133    '],[' 117613  '],[' 68357   '],"[' 205067   (Atom=Atom', ' 60222 Body=Body', ' 34583 Other', ' 110262)']",[' Yes'],"[' 11348    (Eliminated', '    0 Frozen', ' 11348)']","[' 6455     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.74613'],[' 0'], ,[' 595.852'],[' 0'],[' 24.2738'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.96818e+08'],[' 8.54242e+08'],[' 0'],[' 4.1973e+10'],[' 0'],[' 0'],[' 1313 '],[' 2395 '],[' 3473 '],[' 3 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 4639+'],[' 2323'],"[' 1001.058s (Solving', ' 974.70s 1st Model', ' 143.33s Unsat', ' 0.00s)']",[' 968.469s'], ,[' 286070739'],"[' 9469858  (Analyzed', ' 8806101)']","[' 17400    (Average', ' 506.10 Last', ' 60560)']",[' 4809.4  '],"[' 2323     (Average Length', ' 1120.08 Splits', ' 0)']","[' 8806101  (Deleted', ' 8689320)']","[' 266      (Ratio', '   0.00%)']","[' 38927    (Ratio', '   0.44%)']","[' 8806101  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8806101  (Average', ' 31.45 Max', ' 4740 Sum', ' 276961936)']","[' 8805450  (Average', ' 31.37 Max', ' 4740 Sum', ' 276251898 Ratio', '  99.74%)']","[' 651      (Average', ' 1090.69 Max', ' 1468 Sum', ' 710038 Ratio', '   0.26%)']", ,[' 116189  '],[' 9078    '],[' 117349  '],[' 68106   '],"[' 204314   (Atom=Atom', ' 60026 Body=Body', ' 34528 Other', ' 109760)']",[' Yes'],"[' 11238    (Eliminated', '    0 Frozen', ' 11238)']","[' 5643     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.54717'],[' 0'], ,[' 626.874'],[' 0'],[' 23.3226'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.82348e+08'],[' 7.54206e+08'],[' 0'],[' 4.4864e+10'],[' 0'],[' 0'],[' 1171 '],[' 2338 '],[' 3471 '],[' 3 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 5037+'],[' 2522'],"[' 1004.187s (Solving', ' 984.64s 1st Model', ' 125.24s Unsat', ' 0.00s)']",[' 1000.594s'], ,[' 344453953'],"[' 7312589  (Analyzed', ' 6543289)']","[' 13488    (Average', ' 485.12 Last', ' 169573)']",[' 4922.6  '],"[' 2522     (Average Length', ' 1201.67 Splits', ' 0)']","[' 6543289  (Deleted', ' 6458611)']","[' 325      (Ratio', '   0.00%)']","[' 42537    (Ratio', '   0.65%)']","[' 6543289  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6543289  (Average', ' 51.13 Max', ' 4761 Sum', ' 334561393)']","[' 6542646  (Average', ' 51.01 Max', ' 4761 Sum', ' 333771512 Ratio', '  99.76%)']","[' 643      (Average', ' 1228.43 Max', ' 1571 Sum', ' 789881 Ratio', '   0.24%)']", ,[' 116948  '],[' 9214    '],[' 118235  '],[' 69203   '],"[' 207605   (Atom=Atom', ' 60987 Body=Body', ' 34664 Other', ' 111954)']",[' Yes'],"[' 11501    (Eliminated', '    0 Frozen', ' 11501)']","[' 6338     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.72865'],[' 0'], ,[' 565.995'],[' 0'],[' 25.1403'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17607e+09'],[' 1.01434e+09'],[' 0'],[' 4.13907e+10'],[' 0'],[' 0'],[' 1137 '],[' 2296 '],[' 3490 '],[' 3 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 4889+'],[' 2448'],"[' 1004.432s (Solving', ' 985.53s 1st Model', ' 223.77s Unsat', ' 0.00s)']",[' 1001.047s'], ,[' 308091407'],"[' 8111817  (Analyzed', ' 7383444)']","[' 15612    (Average', ' 472.93 Last', ' 861935)']",[' 4847.4  '],"[' 2448     (Average Length', ' 1167.46 Splits', ' 0)']","[' 7383444  (Deleted', ' 7279173)']","[' 332      (Ratio', '   0.00%)']","[' 39408    (Ratio', '   0.53%)']","[' 7383444  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7383444  (Average', ' 40.43 Max', ' 4759 Sum', ' 298509439)']","[' 7382836  (Average', ' 40.33 Max', ' 4759 Sum', ' 297800159 Ratio', '  99.76%)']","[' 608      (Average', ' 1166.58 Max', ' 1515 Sum', ' 709280 Ratio', '   0.24%)']", ,[' 116282  '],[' 9137    '],[' 117514  '],[' 68404   '],"[' 205208   (Atom=Atom', ' 60265 Body=Body', ' 34587 Other', ' 110356)']",[' Yes'],"[' 11369    (Eliminated', '    0 Frozen', ' 11369)']","[' 6450     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.49229'],[' 0'], ,[' 610.634'],[' 0'],[' 23.4689'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01984e+09'],[' 8.74473e+08'],[' 0'],[' 4.47055e+10'],[' 0'],[' 0'],[' 1287 '],[' 2433 '],[' 3544 '],[' 3 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 4507+'],[' 2257'],"[' 998.609s (Solving', ' 973.38s 1st Model', ' 39.42s Unsat', ' 0.00s)']",[' 987.922s'], ,[' 286515549'],"[' 11825208 (Analyzed', ' 11170379)']","[' 20488    (Average', ' 545.22 Last', ' 46476)']",[' 4845.5  '],"[' 2257     (Average Length', ' 1078.08 Splits', ' 0)']","[' 11170379 (Deleted', ' 11043849)']","[' 335      (Ratio', '   0.00%)']","[' 38027    (Ratio', '   0.34%)']","[' 11170379 (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11170379 (Average', ' 24.84 Max', ' 4736 Sum', ' 277416883)']","[' 11169694 (Average', ' 24.77 Max', ' 4736 Sum', ' 276730387 Ratio', '  99.75%)']","[' 685      (Average', ' 1002.18 Max', ' 1330 Sum', ' 686496 Ratio', '   0.25%)']", ,[' 116177  '],[' 9140    '],[' 117233  '],[' 68194   '],"[' 204578   (Atom=Atom', ' 60052 Body=Body', ' 34590 Other', ' 109936)']",[' Yes'],"[' 11196    (Eliminated', '    0 Frozen', ' 11196)']","[' 5404     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.53086'],[' 0'], ,[' 643.22'],[' 0'],[' 22.9427'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.44925e+08'],[' 7.22944e+08'],[' 0'],[' 4.99474e+10'],[' 0'],[' 0'],[' 1346 '],[' 2529 '],[' 3693 '],[' 3 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 4325+'],[' 2166'],"[' 1003.954s (Solving', ' 986.96s 1st Model', ' 31.78s Unsat', ' 0.00s)']",[' 1002.297s'], ,[' 306025304'],"[' 10510809 (Analyzed', ' 9786033)']","[' 18805    (Average', ' 520.40 Last', ' 65463)']",[' 4865.9  '],"[' 2166     (Average Length', ' 1046.32 Splits', ' 0)']","[' 9786033  (Deleted', ' 9670876)']","[' 348      (Ratio', '   0.00%)']","[' 40043    (Ratio', '   0.41%)']","[' 9786033  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9786033  (Average', ' 30.34 Max', ' 4688 Sum', ' 296883695)']","[' 9785350  (Average', ' 30.27 Max', ' 4688 Sum', ' 296203349 Ratio', '  99.77%)']","[' 683      (Average', ' 996.11 Max', ' 1338 Sum', ' 680346 Ratio', '   0.23%)']", ,[' 116860  '],[' 9245    '],[' 117881  '],[' 68406   '],"[' 205214   (Atom=Atom', ' 60159 Body=Body', ' 34695 Other', ' 110360)']",[' Yes'],"[' 11266    (Eliminated', '    0 Frozen', ' 11266)']","[' 6562     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.6369'],[' 0'], ,[' 664.694'],[' 0'],[' 22.0049'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.83974e+08'],[' 8.48164e+08'],[' 0'],[' 5.81341e+10'],[' 0'],[' 0'],[' 1393 '],[' 2599 '],[' 3905 '],[' 3 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 4793+'],[' 2400'],"[' 1004.096s (Solving', ' 986.44s 1st Model', ' 285.91s Unsat', ' 0.00s)']",[' 1002.047s'], ,[' 316871364'],"[' 7140672  (Analyzed', ' 6633664)']","[' 14874    (Average', ' 445.99 Last', ' 379275)']",[' 4791.1  '],"[' 2400     (Average Length', ' 1152.43 Splits', ' 0)']","[' 6633664  (Deleted', ' 6542168)']","[' 345      (Ratio', '   0.01%)']","[' 42837    (Ratio', '   0.65%)']","[' 6633664  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6633664  (Average', ' 46.41 Max', ' 4795 Sum', ' 307852208)']","[' 6632973  (Average', ' 46.29 Max', ' 4795 Sum', ' 307045530 Ratio', '  99.74%)']","[' 691      (Average', ' 1167.41 Max', ' 1536 Sum', ' 806678 Ratio', '   0.26%)']", ,[' 116727  '],[' 9180    '],[' 117934  '],[' 68321   '],"[' 204959   (Atom=Atom', ' 60139 Body=Body', ' 34630 Other', ' 110190)']",[' Yes'],"[' 11387    (Eliminated', '    0 Frozen', ' 11387)']","[' 6148     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.85018'],[' 0'], ,[' 626.92'],[' 0'],[' 21.8736'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14033e+09'],[' 9.93683e+08'],[' 0'],[' 5.38877e+10'],[' 0'],[' 0'],[' 1191 '],[' 2448 '],[' 3687 '],[' 3 '],[' 0 ']
