Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 2435+'],[' 1222'],"[' 1001.560s (Solving', ' 995.08s 1st Model', ' 6.26s Unsat', ' 0.00s)']",[' 999.906s'], ,[' 111078410'],"[' 25551357 (Analyzed', ' 25319106)']","[' 44796    (Average', ' 565.21 Last', ' 27183)']",[' 2634.6  '],"[' 1222     (Average Length', ' 577.21 Splits', ' 0)']","[' 25319106 (Deleted', ' 25070667)']","[' 47       (Ratio', '   0.00%)']","[' 13011    (Ratio', '   0.05%)']","[' 25319106 (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25319106 (Average', '  4.25 Max', ' 2962 Sum', ' 107581563)']","[' 25318462 (Average', '  4.23 Max', ' 2962 Sum', ' 107212129 Ratio', '  99.66%)']","[' 644      (Average', ' 573.66 Max', ' 883 Sum', ' 369434 Ratio', '   0.34%)']", ,[' 82629   '],[' 5383    '],[' 82999   '],[' 46984   '],"[' 140948   (Atom=Atom', ' 42349 Body=Body', ' 24458 Other', ' 74141)']",[' Yes'],"[' 6503     (Eliminated', '    0 Frozen', ' 6503)']","[' 1999     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.43899'],[' 0'], ,[' 802.489'],[' 0'],[' 14.6664'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.94056e+08'],[' 2.1132e+08'],[' 0'],[' 9.51773e+10'],[' 0'],[' 0'],[' 1132 '],[' 1945 '],[' 2760 '],[' 3881 '],[' 4 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 2089+'],[' 1049'],"[' 1001.314s (Solving', ' 995.62s 1st Model', ' 5.22s Unsat', ' 0.00s)']",[' 999.938s'], ,[' 92688612'],"[' 24537469 (Analyzed', ' 24400956)']","[' 41945    (Average', ' 581.74 Last', ' 12680)']",[' 2627.7  '],"[' 1049     (Average Length', ' 499.71 Splits', ' 0)']","[' 24400956 (Deleted', ' 24106789)']","[' 73       (Ratio', '   0.00%)']","[' 10703    (Ratio', '   0.04%)']","[' 24400956 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24400956 (Average', '  3.68 Max', ' 3319 Sum', ' 89677334)']","[' 24400403 (Average', '  3.66 Max', ' 3319 Sum', ' 89387762 Ratio', '  99.68%)']","[' 553      (Average', ' 523.64 Max', ' 722 Sum', ' 289572 Ratio', '   0.32%)']", ,[' 82534   '],[' 5381    '],[' 82751   '],[' 46987   '],"[' 140957   (Atom=Atom', ' 42354 Body=Body', ' 24456 Other', ' 74147)']",[' Yes'],"[' 6348     (Eliminated', '    0 Frozen', ' 6348)']","[' 1428     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24359'],[' 0'], ,[' 816.986'],[' 0'],[' 13.7942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.56784e+08'],[' 1.7672e+08'],[' 0'],[' 9.45313e+10'],[' 0'],[' 0'],[' 1044 '],[' 1923 '],[' 2834 '],[' 3872 '],[' 4 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 1987+'],[' 998'],"[' 1001.421s (Solving', ' 995.81s 1st Model', ' 4.21s Unsat', ' 0.00s)']",[' 999.828s'], ,[' 75269303'],"[' 27018556 (Analyzed', ' 26812058)']","[' 47382    (Average', ' 565.87 Last', ' 88085)']",[' 2740.1  '],"[' 998      (Average Length', ' 485.83 Splits', ' 0)']","[' 26812058 (Deleted', ' 26504164)']","[' 19       (Ratio', '   0.00%)']","[' 5790     (Ratio', '   0.02%)']","[' 26812058 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26812058 (Average', '  2.69 Max', ' 3379 Sum', ' 72210218)']","[' 26811359 (Average', '  2.68 Max', ' 3379 Sum', ' 71860655 Ratio', '  99.52%)']","[' 699      (Average', ' 500.09 Max', ' 723 Sum', ' 349563 Ratio', '   0.48%)']", ,[' 81481   '],[' 5271    '],[' 81683   '],[' 46378   '],"[' 139130   (Atom=Atom', ' 41855 Body=Body', ' 24346 Other', ' 72929)']",[' Yes'],"[' 6223     (Eliminated', '    0 Frozen', ' 6223)']","[' 972      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21189'],[' 0'], ,[' 822.481'],[' 0'],[' 13.5453'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.91774e+08'],[' 1.2218e+08'],[' 0'],[' 9.62196e+10'],[' 0'],[' 0'],[' 951 '],[' 1762 '],[' 2868 '],[' 3890 '],[' 4 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 1865+'],[' 937'],"[' 1001.290s (Solving', ' 996.24s 1st Model', ' 5.74s Unsat', ' 0.00s)']",[' 997.688s'], ,[' 114172022'],"[' 23210297 (Analyzed', ' 23074726)']","[' 41016    (Average', ' 562.58 Last', ' 3642)']",[' 2738.5  '],"[' 937      (Average Length', ' 452.18 Splits', ' 0)']","[' 23074726 (Deleted', ' 22873332)']","[' 21       (Ratio', '   0.00%)']","[' 13050    (Ratio', '   0.06%)']","[' 23074726 (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23074726 (Average', '  4.81 Max', ' 3149 Sum', ' 111009848)']","[' 23074101 (Average', '  4.80 Max', ' 3149 Sum', ' 110761308 Ratio', '  99.78%)']","[' 625      (Average', ' 397.66 Max', ' 665 Sum', ' 248540 Ratio', '   0.22%)']", ,[' 82810   '],[' 5465    '],[' 82943   '],[' 47487   '],"[' 142457   (Atom=Atom', ' 42770 Body=Body', ' 24540 Other', ' 75147)']",[' Yes'],"[' 6348     (Eliminated', '    0 Frozen', ' 6348)']","[' 2189     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.28514'],[' 0'], ,[' 811.905'],[' 0'],[' 15.4849'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.82835e+08'],[' 2.07864e+08'],[' 0'],[' 9.24963e+10'],[' 0'],[' 0'],[' 997 '],[' 2120 '],[' 2880 '],[' 3806 '],[' 4 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 1869+'],[' 939'],"[' 1001.265s (Solving', ' 996.52s 1st Model', ' 5.42s Unsat', ' 0.00s)']",[' 999.938s'], ,[' 114546880'],"[' 22825304 (Analyzed', ' 22733960)']","[' 38918    (Average', ' 584.15 Last', ' 265477)']",[' 2311.5  '],"[' 939      (Average Length', ' 458.14 Splits', ' 0)']","[' 22733960 (Deleted', ' 22506037)']","[' 115      (Ratio', '   0.00%)']","[' 16390    (Ratio', '   0.07%)']","[' 22733960 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22733960 (Average', '  4.93 Max', ' 2743 Sum', ' 112001438)']","[' 22733347 (Average', '  4.91 Max', ' 2743 Sum', ' 111718603 Ratio', '  99.75%)']","[' 613      (Average', ' 461.39 Max', ' 701 Sum', ' 282835 Ratio', '   0.25%)']", ,[' 82262   '],[' 5395    '],[' 82414   '],[' 46469   '],"[' 139403   (Atom=Atom', ' 41822 Body=Body', ' 24470 Other', ' 73111)']",[' Yes'],"[' 6297     (Eliminated', '    0 Frozen', ' 6297)']","[' 2499     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.13221'],[' 0'], ,[' 807.69'],[' 0'],[' 14.653'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.33659e+08'],[' 2.45406e+08'],[' 0'],[' 9.30187e+10'],[' 0'],[' 0'],[' 846 '],[' 2061 '],[' 2792 '],[' 3943 '],[' 4 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 2173+'],[' 1091'],"[' 1001.354s (Solving', ' 995.55s 1st Model', ' 7.90s Unsat', ' 0.00s)']",[' 999.359s'], ,[' 97930992'],"[' 23995928 (Analyzed', ' 23798158)']","[' 41433    (Average', ' 574.38 Last', ' 222927)']",[' 2773.7  '],"[' 1091     (Average Length', ' 529.07 Splits', ' 0)']","[' 23798158 (Deleted', ' 23574879)']","[' 46       (Ratio', '   0.00%)']","[' 10540    (Ratio', '   0.04%)']","[' 23798158 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23798158 (Average', '  3.98 Max', ' 3184 Sum', ' 94635073)']","[' 23797445 (Average', '  3.96 Max', ' 3184 Sum', ' 94293429 Ratio', '  99.64%)']","[' 713      (Average', ' 479.16 Max', ' 733 Sum', ' 341644 Ratio', '   0.36%)']", ,[' 81986   '],[' 5294    '],[' 82268   '],[' 46286   '],"[' 138854   (Atom=Atom', ' 41740 Body=Body', ' 24369 Other', ' 72745)']",[' Yes'],"[' 6326     (Eliminated', '    0 Frozen', ' 6326)']","[' 1416     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3885'],[' 0'], ,[' 823.931'],[' 0'],[' 14.1571'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.53331e+08'],[' 1.79255e+08'],[' 0'],[' 9.36441e+10'],[' 0'],[' 0'],[' 1157 '],[' 2201 '],[' 3031 '],[' 3864 '],[' 4 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 1913+'],[' 961'],"[' 1000.920s (Solving', ' 996.11s 1st Model', ' 4.16s Unsat', ' 0.00s)']",[' 999.125s'], ,[' 85827195'],"[' 25016902 (Analyzed', ' 24826265)']","[' 43129    (Average', ' 575.63 Last', ' 37500)']",[' 2580.9  '],"[' 961      (Average Length', ' 462.99 Splits', ' 0)']","[' 24826265 (Deleted', ' 24591854)']","[' 32       (Ratio', '   0.00%)']","[' 8710     (Ratio', '   0.04%)']","[' 24826265 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24826265 (Average', '  3.34 Max', ' 3088 Sum', ' 82842618)']","[' 24825536 (Average', '  3.33 Max', ' 3088 Sum', ' 82571534 Ratio', '  99.67%)']","[' 729      (Average', ' 371.86 Max', ' 656 Sum', ' 271084 Ratio', '   0.33%)']", ,[' 81594   '],[' 5284    '],[' 81757   '],[' 45778   '],"[' 137330   (Atom=Atom', ' 41242 Body=Body', ' 24359 Other', ' 71729)']",[' Yes'],"[' 6197     (Eliminated', '    0 Frozen', ' 6197)']","[' 1443     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22454'],[' 0'], ,[' 826.312'],[' 0'],[' 14.3885'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12642e+08'],[' 1.39025e+08'],[' 0'],[' 9.77696e+10'],[' 0'],[' 0'],[' 1230 '],[' 2151 '],[' 3032 '],[' 4120 '],[' 4 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 1883+'],[' 946'],"[' 1001.333s (Solving', ' 996.21s 1st Model', ' 3.60s Unsat', ' 0.00s)']",[' 999.609s'], ,[' 97818741'],"[' 25715981 (Analyzed', ' 25595366)']","[' 43691    (Average', ' 585.83 Last', ' 78468)']",[' 2395.8  '],"[' 946      (Average Length', ' 455.55 Splits', ' 0)']","[' 25595366 (Deleted', ' 25339151)']","[' 59       (Ratio', '   0.00%)']","[' 12657    (Ratio', '   0.05%)']","[' 25595366 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25595366 (Average', '  3.72 Max', ' 2780 Sum', ' 95209656)']","[' 25594657 (Average', '  3.71 Max', ' 2780 Sum', ' 94869147 Ratio', '  99.64%)']","[' 709      (Average', ' 480.27 Max', ' 677 Sum', ' 340509 Ratio', '   0.36%)']", ,[' 82209   '],[' 5342    '],[' 82360   '],[' 46655   '],"[' 139961   (Atom=Atom', ' 42061 Body=Body', ' 24417 Other', ' 73483)']",[' Yes'],"[' 6243     (Eliminated', '    0 Frozen', ' 6243)']","[' 2217     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.15644'],[' 0'], ,[' 813.069'],[' 0'],[' 13.6917'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.64801e+08'],[' 1.84232e+08'],[' 0'],[' 9.41212e+10'],[' 0'],[' 0'],[' 915 '],[' 1913 '],[' 2830 '],[' 3869 '],[' 4 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 1959+'],[' 984'],"[' 1001.419s (Solving', ' 996.08s 1st Model', ' 4.85s Unsat', ' 0.00s)']",[' 999.594s'], ,[' 94918359'],"[' 26224800 (Analyzed', ' 26003154)']","[' 44528    (Average', ' 583.97 Last', ' 208904)']",[' 2570.9  '],"[' 984      (Average Length', ' 477.68 Splits', ' 0)']","[' 26003154 (Deleted', ' 25742677)']","[' 68       (Ratio', '   0.00%)']","[' 10647    (Ratio', '   0.04%)']","[' 26003154 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26003154 (Average', '  3.53 Max', ' 3009 Sum', ' 91917867)']","[' 26002448 (Average', '  3.52 Max', ' 3009 Sum', ' 91615129 Ratio', '  99.67%)']","[' 706      (Average', ' 428.81 Max', ' 703 Sum', ' 302738 Ratio', '   0.33%)']", ,[' 81748   '],[' 5281    '],[' 81935   '],[' 46092   '],"[' 138272   (Atom=Atom', ' 41559 Body=Body', ' 24356 Other', ' 72357)']",[' Yes'],"[' 6218     (Eliminated', '    0 Frozen', ' 6218)']","[' 1731     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.2544'],[' 0'], ,[' 814.711'],[' 0'],[' 13.5126'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.41292e+08'],[' 1.63755e+08'],[' 0'],[' 9.35019e+10'],[' 0'],[' 0'],[' 987 '],[' 1783 '],[' 2643 '],[' 3652 '],[' 4 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 2481+'],[' 1245'],"[' 1001.394s (Solving', ' 995.33s 1st Model', ' 6.55s Unsat', ' 0.00s)']",[' 1000.328s'], ,[' 104648570'],"[' 23182169 (Analyzed', ' 23044019)']","[' 41148    (Average', ' 560.03 Last', ' 102211)']",[' 2344.0  '],"[' 1245     (Average Length', ' 592.17 Splits', ' 0)']","[' 23044019 (Deleted', ' 22808261)']","[' 129      (Ratio', '   0.00%)']","[' 16836    (Ratio', '   0.07%)']","[' 23044019 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23044019 (Average', '  4.42 Max', ' 2523 Sum', ' 101758264)']","[' 23043420 (Average', '  4.40 Max', ' 2523 Sum', ' 101399689 Ratio', '  99.65%)']","[' 599      (Average', ' 598.62 Max', ' 886 Sum', ' 358575 Ratio', '   0.35%)']", ,[' 82165   '],[' 5312    '],[' 82571   '],[' 46432   '],"[' 139292   (Atom=Atom', ' 41868 Body=Body', ' 24387 Other', ' 73037)']",[' Yes'],"[' 6468     (Eliminated', '    0 Frozen', ' 6468)']","[' 2978     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.47761'],[' 0'], ,[' 809.366'],[' 0'],[' 14.3348'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.08995e+08'],[' 2.22752e+08'],[' 0'],[' 8.90713e+10'],[' 0'],[' 0'],[' 874 '],[' 1678 '],[' 2499 '],[' 3373 '],[' 4 '],[' 0 ']
