Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 2765+'],[' 1388'],"[' 1002.348s (Solving', ' 992.24s 1st Model', ' 21.61s Unsat', ' 0.00s)']",[' 1000.078s'], ,[' 50279523'],"[' 19597124 (Analyzed', ' 19461882)']","[' 36362    (Average', ' 535.23 Last', ' 67253)']",[' 2956.4  '],"[' 1388     (Average Length', ' 654.38 Splits', ' 0)']","[' 19461882 (Deleted', ' 19199218)']","[' 32       (Ratio', '   0.00%)']","[' 5252     (Ratio', '   0.03%)']","[' 19461882 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19461882 (Average', '  2.39 Max', ' 3709 Sum', ' 46603892)']","[' 19461339 (Average', '  2.38 Max', ' 3709 Sum', ' 46288646 Ratio', '  99.32%)']","[' 543      (Average', ' 580.56 Max', ' 988 Sum', ' 315246 Ratio', '   0.68%)']", ,[' 105062  '],[' 5799    '],[' 105330  '],[' 59116   '],"[' 177344   (Atom=Atom', ' 54315 Body=Body', ' 31249 Other', ' 91780)']",[' Yes'],"[' 7067     (Eliminated', '    0 Frozen', ' 7067)']","[' 932      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.49072'],[' 0'], ,[' 828.991'],[' 0'],[' 12.4795'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47831e+08'],[' 9.49675e+07'],[' 0'],[' 9.08107e+10'],[' 0'],[' 0'],[' 861 '],[' 1655 '],[' 2359 '],[' 3054 '],[' 3907 '],[' 5 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 2743+'],[' 1377'],"[' 1002.341s (Solving', ' 991.10s 1st Model', ' 9.22s Unsat', ' 0.00s)']",[' 999.063s'], ,[' 66663495'],"[' 17975381 (Analyzed', ' 17888696)']","[' 33237    (Average', ' 538.22 Last', ' 11871)']",[' 2899.2  '],"[' 1377     (Average Length', ' 661.94 Splits', ' 0)']","[' 17888696 (Deleted', ' 17656953)']","[' 71       (Ratio', '   0.00%)']","[' 10582    (Ratio', '   0.06%)']","[' 17888696 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17888696 (Average', '  3.54 Max', ' 3331 Sum', ' 63267633)']","[' 17887913 (Average', '  3.51 Max', ' 3331 Sum', ' 62831171 Ratio', '  99.31%)']","[' 783      (Average', ' 557.42 Max', ' 932 Sum', ' 436462 Ratio', '   0.69%)']", ,[' 106454  '],[' 6026    '],[' 106748  '],[' 59782   '],"[' 179342   (Atom=Atom', ' 54754 Body=Body', ' 31476 Other', ' 93112)']",[' Yes'],"[' 7320     (Eliminated', '    0 Frozen', ' 7320)']","[' 1829     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.72864'],[' 0'], ,[' 822.467'],[' 0'],[' 13.5907'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.99354e+08'],[' 1.41327e+08'],[' 0'],[' 8.65557e+10'],[' 0'],[' 0'],[' 865 '],[' 1883 '],[' 2629 '],[' 3329 '],[' 4090 '],[' 5 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 2687+'],[' 1349'],"[' 1001.976s (Solving', ' 992.04s 1st Model', ' 7.05s Unsat', ' 0.00s)']",[' 999.484s'], ,[' 60041812'],"[' 23756579 (Analyzed', ' 23569879)']","[' 41785    (Average', ' 564.08 Last', ' 171050)']",[' 3080.8  '],"[' 1349     (Average Length', ' 632.68 Splits', ' 0)']","[' 23569879 (Deleted', ' 23303895)']","[' 11       (Ratio', '   0.00%)']","[' 5476     (Ratio', '   0.02%)']","[' 23569879 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23569879 (Average', '  2.37 Max', ' 3746 Sum', ' 55966721)']","[' 23569310 (Average', '  2.36 Max', ' 3746 Sum', ' 55726753 Ratio', '  99.57%)']","[' 569      (Average', ' 421.74 Max', ' 900 Sum', ' 239968 Ratio', '   0.43%)']", ,[' 105197  '],[' 5875    '],[' 105423  '],[' 59305   '],"[' 177911   (Atom=Atom', ' 54428 Body=Body', ' 31325 Other', ' 92158)']",[' Yes'],"[' 7101     (Eliminated', '    0 Frozen', ' 7101)']","[' 909      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.38324'],[' 0'], ,[' 819.992'],[' 0'],[' 12.8612'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68275e+08'],[' 1.08813e+08'],[' 0'],[' 9.355e+10'],[' 0'],[' 0'],[' 913 '],[' 1659 '],[' 2389 '],[' 3204 '],[' 3968 '],[' 5 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 2397+'],[' 1204'],"[' 1002.070s (Solving', ' 993.51s 1st Model', ' 7.42s Unsat', ' 0.00s)']",[' 998.734s'], ,[' 52015018'],"[' 18973030 (Analyzed', ' 18814177)']","[' 33834    (Average', ' 556.07 Last', ' 12251)']",[' 2801.2  '],"[' 1204     (Average Length', ' 567.54 Splits', ' 0)']","[' 18814177 (Deleted', ' 18600566)']","[' 30       (Ratio', '   0.00%)']","[' 6184     (Ratio', '   0.03%)']","[' 18814177 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18814177 (Average', '  2.60 Max', ' 3525 Sum', ' 48894528)']","[' 18813494 (Average', '  2.58 Max', ' 3525 Sum', ' 48530456 Ratio', '  99.26%)']","[' 683      (Average', ' 533.05 Max', ' 854 Sum', ' 364072 Ratio', '   0.74%)']", ,[' 105072  '],[' 5843    '],[' 105181  '],[' 59104   '],"[' 177308   (Atom=Atom', ' 54259 Body=Body', ' 31293 Other', ' 91756)']",[' Yes'],"[' 6952     (Eliminated', '    0 Frozen', ' 6952)']","[' 1180     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.06069'],[' 0'], ,[' 843.454'],[' 0'],[' 13.3148'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54812e+08'],[' 1.02215e+08'],[' 0'],[' 9.1945e+10'],[' 0'],[' 0'],[' 874 '],[' 1640 '],[' 2214 '],[' 3101 '],[' 3804 '],[' 5 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 2715+'],[' 1363'],"[' 1001.987s (Solving', ' 993.56s 1st Model', ' 7.20s Unsat', ' 0.00s)']",[' 998.641s'], ,[' 59437668'],"[' 24296721 (Analyzed', ' 24108363)']","[' 43989    (Average', ' 548.05 Last', ' 83422)']",[' 2846.5  '],"[' 1363     (Average Length', ' 635.89 Splits', ' 0)']","[' 24108363 (Deleted', ' 23780866)']","[' 26       (Ratio', '   0.00%)']","[' 5925     (Ratio', '   0.02%)']","[' 24108363 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24108363 (Average', '  2.32 Max', ' 3415 Sum', ' 56022629)']","[' 24107552 (Average', '  2.30 Max', ' 3415 Sum', ' 55519367 Ratio', '  99.10%)']","[' 811      (Average', ' 620.55 Max', ' 960 Sum', ' 503262 Ratio', '   0.90%)']", ,[' 105007  '],[' 5838    '],[' 105247  '],[' 58684   '],"[' 176048   (Atom=Atom', ' 53844 Body=Body', ' 31288 Other', ' 90916)']",[' Yes'],"[' 7078     (Eliminated', '    0 Frozen', ' 7078)']","[' 1079     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.12928'],[' 0'], ,[' 817.218'],[' 0'],[' 13.136'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73214e+08'],[' 1.14008e+08'],[' 0'],[' 9.82341e+10'],[' 0'],[' 0'],[' 734 '],[' 1380 '],[' 2210 '],[' 3053 '],[' 3734 '],[' 5 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 2849+'],[' 1430'],"[' 1002.473s (Solving', ' 992.84s 1st Model', ' 6.59s Unsat', ' 0.00s)']",[' 1000.188s'], ,[' 71015925'],"[' 21319109 (Analyzed', ' 21175661)']","[' 37596    (Average', ' 563.24 Last', ' 3468)']",[' 2695.8  '],"[' 1430     (Average Length', ' 662.44 Splits', ' 0)']","[' 21175661 (Deleted', ' 20934808)']","[' 48       (Ratio', '   0.00%)']","[' 9551     (Ratio', '   0.05%)']","[' 21175661 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21175661 (Average', '  3.20 Max', ' 3201 Sum', ' 67717362)']","[' 21174879 (Average', '  3.17 Max', ' 3201 Sum', ' 67202569 Ratio', '  99.24%)']","[' 782      (Average', ' 658.30 Max', ' 1061 Sum', ' 514793 Ratio', '   0.76%)']", ,[' 105722  '],[' 5934    '],[' 106012  '],[' 59269   '],"[' 177803   (Atom=Atom', ' 54333 Body=Body', ' 31384 Other', ' 92086)']",[' Yes'],"[' 7224     (Eliminated', '    0 Frozen', ' 7224)']","[' 1857     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.21141'],[' 0'], ,[' 835.452'],[' 0'],[' 13.3929'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1001e+08'],[' 1.46696e+08'],[' 0'],[' 1.01906e+11'],[' 0'],[' 0'],[' 822 '],[' 1636 '],[' 2352 '],[' 3132 '],[' 4119 '],[' 5 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 2201+'],[' 1106'],"[' 802.386s (Solving', ' 792.00s 1st Model', ' 7.39s Unsat', ' 0.00s)']",[' 795.703s'], ,[' 35982509'],"[' 8669258  (Analyzed', ' 8298857)']","[' 16606    (Average', ' 499.75 Last', ' 22983)']",[' 3555.3  '],"[' 1105     (Average Length', ' 530.59 Splits', ' 0)']","[' 8298857  (Deleted', ' 8186001)']","[' 17       (Ratio', '   0.00%)']","[' 4862     (Ratio', '   0.06%)']","[' 8298857  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8298857  (Average', '  3.88 Max', ' 4044 Sum', ' 32184044)']","[' 8298336  (Average', '  3.85 Max', ' 4044 Sum', ' 31940365 Ratio', '  99.24%)']","[' 521      (Average', ' 467.71 Max', ' 710 Sum', ' 243679 Ratio', '   0.76%)']", ,[' 105929  '],[' 5949    '],[' 105967  '],[' 61008   '],"[' 183020   (Atom=Atom', ' 56057 Body=Body', ' 31399 Other', ' 95564)']",[' Yes'],"[' 6987     (Eliminated', '    0 Frozen', ' 6987)']","[' 745      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.51992'],[' 0'], ,[' 698.531'],[' 0'],[' 10.027'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07307e+08'],[' 8.2994e+07'],[' 0'],[' 7.42611e+10'],[' 0'],[' 0'],[' 2525 '],[' 3401 '],[' 4363 '],[' 5203 '],[' 5862 '],[' 5 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 2681+'],[' 1346'],"[' 1002.137s (Solving', ' 993.49s 1st Model', ' 6.96s Unsat', ' 0.00s)']",[' 999.563s'], ,[' 53724692'],"[' 26162951 (Analyzed', ' 26017522)']","[' 48038    (Average', ' 541.60 Last', ' 336172)']",[' 2922.2  '],"[' 1346     (Average Length', ' 641.39 Splits', ' 0)']","[' 26017522 (Deleted', ' 25662902)']","[' 16       (Ratio', '   0.00%)']","[' 3488     (Ratio', '   0.01%)']","[' 26017522 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26017522 (Average', '  1.93 Max', ' 3669 Sum', ' 50122305)']","[' 26016820 (Average', '  1.91 Max', ' 3669 Sum', ' 49751270 Ratio', '  99.26%)']","[' 702      (Average', ' 528.54 Max', ' 971 Sum', ' 371035 Ratio', '   0.74%)']", ,[' 104287  '],[' 5745    '],[' 104541  '],[' 58024   '],"[' 174068   (Atom=Atom', ' 53277 Body=Body', ' 31195 Other', ' 89596)']",[' Yes'],"[' 6999     (Eliminated', '    0 Frozen', ' 6999)']","[' 556      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.13077'],[' 0'], ,[' 816.062'],[' 0'],[' 12.0855'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56653e+08'],[' 9.34625e+07'],[' 0'],[' 1.00991e+11'],[' 0'],[' 0'],[' 809 '],[' 1553 '],[' 2262 '],[' 3093 '],[' 3801 '],[' 5 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 2465+'],[' 1238'],"[' 1001.953s (Solving', ' 994.10s 1st Model', ' 5.38s Unsat', ' 0.00s)']",[' 1000.406s'], ,[' 54081694'],"[' 22583814 (Analyzed', ' 22427607)']","[' 40424    (Average', ' 554.81 Last', ' 68922)']",[' 2839.6  '],"[' 1238     (Average Length', ' 591.13 Splits', ' 0)']","[' 22427607 (Deleted', ' 22145128)']","[' 18       (Ratio', '   0.00%)']","[' 4805     (Ratio', '   0.02%)']","[' 22427607 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22427607 (Average', '  2.27 Max', ' 3657 Sum', ' 50807231)']","[' 22426888 (Average', '  2.25 Max', ' 3657 Sum', ' 50413830 Ratio', '  99.23%)']","[' 719      (Average', ' 547.15 Max', ' 913 Sum', ' 393401 Ratio', '   0.77%)']", ,[' 104890  '],[' 5839    '],[' 105059  '],[' 58660   '],"[' 175976   (Atom=Atom', ' 53819 Body=Body', ' 31289 Other', ' 90868)']",[' Yes'],"[' 7008     (Eliminated', '    0 Frozen', ' 7008)']","[' 872      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.88053'],[' 0'], ,[' 848.352'],[' 0'],[' 13.576'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56437e+08'],[' 9.87731e+07'],[' 0'],[' 1.03661e+11'],[' 0'],[' 0'],[' 905 '],[' 1666 '],[' 2465 '],[' 3328 '],[' 4221 '],[' 5 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 2563+'],[' 1287'],"[' 1001.912s (Solving', ' 993.64s 1st Model', ' 6.50s Unsat', ' 0.00s)']",[' 1000.578s'], ,[' 78618406'],"[' 22869459 (Analyzed', ' 22747451)']","[' 39600    (Average', ' 574.43 Last', ' 8689)']",[' 2721.7  '],"[' 1287     (Average Length', ' 617.56 Splits', ' 0)']","[' 22747451 (Deleted', ' 22511247)']","[' 59       (Ratio', '   0.00%)']","[' 10416    (Ratio', '   0.05%)']","[' 22747451 (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22747451 (Average', '  3.31 Max', ' 3435 Sum', ' 75264567)']","[' 22746885 (Average', '  3.29 Max', ' 3435 Sum', ' 74946733 Ratio', '  99.58%)']","[' 566      (Average', ' 561.54 Max', ' 987 Sum', ' 317834 Ratio', '   0.42%)']", ,[' 105705  '],[' 5899    '],[' 105908  '],[' 59469   '],"[' 178403   (Atom=Atom', ' 54568 Body=Body', ' 31349 Other', ' 92486)']",[' Yes'],"[' 7102     (Eliminated', '    0 Frozen', ' 7102)']","[' 1688     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.94382'],[' 0'], ,[' 830.039'],[' 0'],[' 13.7129'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36634e+08'],[' 1.65971e+08'],[' 0'],[' 1.01188e+11'],[' 0'],[' 0'],[' 791 '],[' 1540 '],[' 2453 '],[' 3287 '],[' 4189 '],[' 5 '],[' 0 ']
