Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 4903+'],[' 2458'],"[' 1012.090s (Solving', ' 963.53s 1st Model', ' 66.87s Unsat', ' 0.00s)']",[' 1010.438s'], ,[' 188222221'],"[' 8792501  (Analyzed', ' 8098757)']","[' 16310    (Average', ' 496.55 Last', ' 34950)']",[' 8912.6  '],"[' 2458     (Average Length', ' 1155.66 Splits', ' 0)']","[' 8098757  (Deleted', ' 7994280)']","[' 21       (Ratio', '   0.00%)']","[' 18991    (Ratio', '   0.23%)']","[' 8098757  (Average Length', '   25.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8098757  (Average', ' 21.04 Max', ' 12197 Sum', ' 170413610)']","[' 8096071  (Average', ' 20.72 Max', ' 12197 Sum', ' 167841194 Ratio', '  98.49%)']","[' 2686     (Average', ' 957.71 Max', ' 1800 Sum', ' 2572416 Ratio', '   1.51%)']", ,[' 385576  '],[' 18642   '],[' 385859  '],[' 225520  '],"[' 676556   (Atom=Atom', ' 208876 Body=Body', ' 119542 Other', ' 348138)']",[' Yes'],"[' 20925    (Eliminated', '    0 Frozen', ' 20925)']","[' 3506     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.196'],[' 0'], ,[' 802.891'],[' 0'],[' 16.1737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.73988e+08'],[' 5.23626e+08'],[' 0'],[' 9.56531e+10'],[' 0'],[' 0'],[' 1516 '],[' 2674 '],[' 3774 '],[' 5449 '],[' 6547 '],[' 7768 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 5457+'],[' 2735'],"[' 1013.153s (Solving', ' 958.82s 1st Model', ' 74.39s Unsat', ' 0.00s)']",[' 1011.891s'], ,[' 198588993'],"[' 10187635 (Analyzed', ' 8974762)']","[' 18393    (Average', ' 487.94 Last', ' 8497)']",[' 9131.7  '],"[' 2735     (Average Length', ' 1293.11 Splits', ' 0)']","[' 8974762  (Deleted', ' 8863014)']","[' 22       (Ratio', '   0.00%)']","[' 20833    (Ratio', '   0.23%)']","[' 8974762  (Average Length', '   21.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8974762  (Average', ' 19.90 Max', ' 11945 Sum', ' 178563461)']","[' 8972210  (Average', ' 19.54 Max', ' 11945 Sum', ' 175380660 Ratio', '  98.22%)']","[' 2552     (Average', ' 1247.18 Max', ' 1913 Sum', ' 3182801 Ratio', '   1.78%)']", ,[' 384016  '],[' 18519   '],[' 384566  '],[' 227166  '],"[' 681494   (Atom=Atom', ' 210645 Body=Body', ' 119419 Other', ' 351430)']",[' Yes'],"[' 21069    (Eliminated', '    0 Frozen', ' 21069)']","[' 3683     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.4521'],[' 0'], ,[' 772.744'],[' 0'],[' 18.4695'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.71868e+08'],[' 6.2078e+08'],[' 0'],[' 8.56642e+10'],[' 0'],[' 0'],[' 1283 '],[' 2436 '],[' 3728 '],[' 5184 '],[' 6556 '],[' 7637 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 6167+'],[' 3090'],"[' 1014.346s (Solving', ' 953.16s 1st Model', ' 79.77s Unsat', ' 0.00s)']",[' 1012.234s'], ,[' 219848433'],"[' 10812602 (Analyzed', ' 9902495)']","[' 19569    (Average', ' 506.03 Last', ' 90059)']",[' 9538.9  '],"[' 3090     (Average Length', ' 1451.92 Splits', ' 0)']","[' 9902495  (Deleted', ' 9787256)']","[' 24       (Ratio', '   0.00%)']","[' 18782    (Ratio', '   0.19%)']","[' 9902495  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9902495  (Average', ' 19.83 Max', ' 12255 Sum', ' 196385321)']","[' 9900043  (Average', ' 19.52 Max', ' 12255 Sum', ' 193257276 Ratio', '  98.41%)']","[' 2452     (Average', ' 1275.71 Max', ' 2132 Sum', ' 3128045 Ratio', '   1.59%)']", ,[' 385512  '],[' 18497   '],[' 386361  '],[' 226233  '],"[' 678695   (Atom=Atom', ' 209734 Body=Body', ' 119397 Other', ' 349564)']",[' Yes'],"[' 21346    (Eliminated', '    0 Frozen', ' 21346)']","[' 3352     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7225'],[' 0'], ,[' 770.342'],[' 0'],[' 17.5049'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.76996e+08'],[' 6.21178e+08'],[' 0'],[' 9.21787e+10'],[' 0'],[' 0'],[' 1570 '],[' 2740 '],[' 3832 '],[' 4978 '],[' 6127 '],[' 7352 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 5585+'],[' 2799'],"[' 1013.583s (Solving', ' 960.32s 1st Model', ' 72.48s Unsat', ' 0.00s)']",[' 1011.672s'], ,[' 201749105'],"[' 7605976  (Analyzed', ' 7137793)']","[' 15588    (Average', ' 457.90 Last', ' 20666)']",[' 8513.0  '],"[' 2799     (Average Length', ' 1331.42 Splits', ' 0)']","[' 7137793  (Deleted', ' 7027374)']","[' 53       (Ratio', '   0.00%)']","[' 28559    (Ratio', '   0.40%)']","[' 7137793  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7137793  (Average', ' 25.63 Max', ' 11715 Sum', ' 182937438)']","[' 7135959  (Average', ' 25.31 Max', ' 11715 Sum', ' 180670641 Ratio', '  98.76%)']","[' 1834     (Average', ' 1235.99 Max', ' 4282 Sum', ' 2266797 Ratio', '   1.24%)']", ,[' 383060  '],[' 18337   '],[' 383675  '],[' 226410  '],"[' 679226   (Atom=Atom', ' 210071 Body=Body', ' 119237 Other', ' 349918)']",[' Yes'],"[' 20952    (Eliminated', '    0 Frozen', ' 20952)']","[' 5161     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9633'],[' 0'], ,[' 768.958'],[' 0'],[' 17.2828'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.31066e+08'],[' 6.63551e+08'],[' 0'],[' 8.86037e+10'],[' 0'],[' 0'],[' 1108 '],[' 2428 '],[' 3611 '],[' 5120 '],[' 6152 '],[' 7247 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 5543+'],[' 2778'],"[' 1012.764s (Solving', ' 960.90s 1st Model', ' 55.99s Unsat', ' 0.00s)']",[' 1010.953s'], ,[' 169640624'],"[' 9930696  (Analyzed', ' 9102508)']","[' 17723    (Average', ' 513.60 Last', ' 41675)']",[' 8365.5  '],"[' 2778     (Average Length', ' 1289.55 Splits', ' 0)']","[' 9102508  (Deleted', ' 8986969)']","[' 28       (Ratio', '   0.00%)']","[' 18698    (Ratio', '   0.21%)']","[' 9102508  (Average Length', '   21.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9102508  (Average', ' 16.67 Max', ' 11789 Sum', ' 151698013)']","[' 9099834  (Average', ' 16.32 Max', ' 11789 Sum', ' 148544993 Ratio', '  97.92%)']","[' 2674     (Average', ' 1179.14 Max', ' 1987 Sum', ' 3153020 Ratio', '   2.08%)']", ,[' 384860  '],[' 18683   '],[' 385401  '],[' 225265  '],"[' 675791   (Atom=Atom', ' 208580 Body=Body', ' 119583 Other', ' 347628)']",[' Yes'],"[' 21224    (Eliminated', '    0 Frozen', ' 21224)']","[' 3588     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.6871'],[' 0'], ,[' 801.685'],[' 0'],[' 15.6945'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.5815e+08'],[' 5.06111e+08'],[' 0'],[' 9.52382e+10'],[' 0'],[' 0'],[' 1261 '],[' 2376 '],[' 3503 '],[' 4758 '],[' 6124 '],[' 7344 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 5821+'],[' 2917'],"[' 1013.222s (Solving', ' 955.79s 1st Model', ' 67.15s Unsat', ' 0.00s)']",[' 1011.500s'], ,[' 192338378'],"[' 9416414  (Analyzed', ' 8663872)']","[' 16848    (Average', ' 514.24 Last', ' 19149)']",[' 8115.1  '],"[' 2917     (Average Length', ' 1365.26 Splits', ' 0)']","[' 8663872  (Deleted', ' 8546656)']","[' 43       (Ratio', '   0.00%)']","[' 27090    (Ratio', '   0.31%)']","[' 8663872  (Average Length', '   21.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8663872  (Average', ' 20.19 Max', ' 10648 Sum', ' 174930791)']","[' 8660771  (Average', ' 19.77 Max', ' 10648 Sum', ' 171283596 Ratio', '  97.92%)']","[' 3101     (Average', ' 1176.14 Max', ' 2025 Sum', ' 3647195 Ratio', '   2.08%)']", ,[' 380542  '],[' 18480   '],[' 381240  '],[' 219623  '],"[' 658865   (Atom=Atom', ' 203141 Body=Body', ' 119380 Other', ' 336344)']",[' Yes'],"[' 21178    (Eliminated', '    0 Frozen', ' 21178)']","[' 4429     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.7616'],[' 0'], ,[' 781.447'],[' 0'],[' 16.564'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.50929e+08'],[' 5.95542e+08'],[' 0'],[' 9.08872e+10'],[' 0'],[' 0'],[' 1287 '],[' 2367 '],[' 3566 '],[' 4776 '],[' 5930 '],[' 7055 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 5501+'],[' 2757'],"[' 1012.757s (Solving', ' 962.81s 1st Model', ' 64.38s Unsat', ' 0.00s)']",[' 1010.469s'], ,[' 186333702'],"[' 11571936 (Analyzed', ' 10552077)']","[' 20354    (Average', ' 518.43 Last', ' 54869)']",[' 8429.7  '],"[' 2757     (Average Length', ' 1274.67 Splits', ' 0)']","[' 10552077 (Deleted', ' 10431630)']","[' 22       (Ratio', '   0.00%)']","[' 18480    (Ratio', '   0.18%)']","[' 10552077 (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10552077 (Average', ' 15.97 Max', ' 11707 Sum', ' 168494413)']","[' 10549206 (Average', ' 15.63 Max', ' 11707 Sum', ' 164925200 Ratio', '  97.88%)']","[' 2871     (Average', ' 1243.20 Max', ' 2064 Sum', ' 3569213 Ratio', '   2.12%)']", ,[' 381713  '],[' 18463   '],[' 382230  '],[' 223650  '],"[' 670946   (Atom=Atom', ' 207185 Body=Body', ' 119363 Other', ' 344398)']",[' Yes'],"[' 20980    (Eliminated', '    0 Frozen', ' 20980)']","[' 3542     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3562'],[' 0'], ,[' 797.565'],[' 0'],[' 16.4129'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.63029e+08'],[' 5.10389e+08'],[' 0'],[' 9.48251e+10'],[' 0'],[' 0'],[' 1332 '],[' 2485 '],[' 3604 '],[' 4828 '],[' 5985 '],[' 7388 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 5873+'],[' 2943'],"[' 1013.510s (Solving', ' 958.00s 1st Model', ' 65.38s Unsat', ' 0.00s)']",[' 1011.922s'], ,[' 155710827'],"[' 11928441 (Analyzed', ' 10837965)']","[' 20824    (Average', ' 520.46 Last', ' 15976)']",[' 8976.3  '],"[' 2943     (Average Length', ' 1374.45 Splits', ' 0)']","[' 10837965 (Deleted', ' 10702070)']","[' 42       (Ratio', '   0.00%)']","[' 14913    (Ratio', '   0.14%)']","[' 10837965 (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10837965 (Average', ' 12.45 Max', ' 12121 Sum', ' 134951299)']","[' 10835274 (Average', ' 12.15 Max', ' 12121 Sum', ' 131691052 Ratio', '  97.58%)']","[' 2691     (Average', ' 1211.54 Max', ' 2101 Sum', ' 3260247 Ratio', '   2.42%)']", ,[' 382722  '],[' 18402   '],[' 383423  '],[' 223735  '],"[' 671201   (Atom=Atom', ' 207331 Body=Body', ' 119302 Other', ' 344568)']",[' Yes'],"[' 21103    (Eliminated', '    0 Frozen', ' 21103)']","[' 2683     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.6107'],[' 0'], ,[' 800.332'],[' 0'],[' 14.9883'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.2692e+08'],[' 4.78353e+08'],[' 0'],[' 9.91985e+10'],[' 0'],[' 0'],[' 1324 '],[' 2554 '],[' 3719 '],[' 5054 '],[' 6339 '],[' 7550 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 5683+'],[' 2848'],"[' 1013.475s (Solving', ' 961.23s 1st Model', ' 72.19s Unsat', ' 0.00s)']",[' 1011.547s'], ,[' 193112614'],"[' 7720509  (Analyzed', ' 7284226)']","[' 15495    (Average', ' 470.10 Last', ' 9848)']",[' 7899.4  '],"[' 2848     (Average Length', ' 1334.62 Splits', ' 0)']","[' 7284226  (Deleted', ' 7173658)']","[' 48       (Ratio', '   0.00%)']","[' 29873    (Ratio', '   0.41%)']","[' 7284226  (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7284226  (Average', ' 24.20 Max', ' 11333 Sum', ' 176272470)']","[' 7282009  (Average', ' 23.82 Max', ' 11333 Sum', ' 173504712 Ratio', '  98.43%)']","[' 2217     (Average', ' 1248.42 Max', ' 2161 Sum', ' 2767758 Ratio', '   1.57%)']", ,[' 382672  '],[' 18402   '],[' 383276  '],[' 223602  '],"[' 670802   (Atom=Atom', ' 207198 Body=Body', ' 119302 Other', ' 344302)']",[' Yes'],"[' 21006    (Eliminated', '    0 Frozen', ' 21006)']","[' 5623     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.4883'],[' 0'], ,[' 773.902'],[' 0'],[' 16.4451'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.08952e+08'],[' 6.4178e+08'],[' 0'],[' 9.27343e+10'],[' 0'],[' 0'],[' 1089 '],[' 2263 '],[' 3338 '],[' 4534 '],[' 5667 '],[' 6815 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 5551+'],[' 2782'],"[' 1013.003s (Solving', ' 960.41s 1st Model', ' 62.29s Unsat', ' 0.00s)']",[' 1011.172s'], ,[' 193438620'],"[' 8650999  (Analyzed', ' 8016235)']","[' 16954    (Average', ' 472.82 Last', ' 11597)']",[' 8281.0  '],"[' 2782     (Average Length', ' 1287.67 Splits', ' 0)']","[' 8016235  (Deleted', ' 7911807)']","[' 48       (Ratio', '   0.00%)']","[' 26010    (Ratio', '   0.32%)']","[' 8016235  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8016235  (Average', ' 21.97 Max', ' 11352 Sum', ' 176127110)']","[' 8013251  (Average', ' 21.54 Max', ' 11352 Sum', ' 172648197 Ratio', '  98.02%)']","[' 2984     (Average', ' 1165.86 Max', ' 1975 Sum', ' 3478913 Ratio', '   1.98%)']", ,[' 382914  '],[' 18535   '],[' 383425  '],[' 222413  '],"[' 667235   (Atom=Atom', ' 205876 Body=Body', ' 119435 Other', ' 341924)']",[' Yes'],"[' 21046    (Eliminated', '    0 Frozen', ' 21046)']","[' 4527     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.8091'],[' 0'], ,[' 786.9'],[' 0'],[' 16.3728'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.40118e+08'],[' 5.81666e+08'],[' 0'],[' 9.19668e+10'],[' 0'],[' 0'],[' 1440 '],[' 2573 '],[' 3690 '],[' 4809 '],[' 5991 '],[' 7087 '],[' 6 '],[' 0 ']
