Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 2049'],[' 1031'],"[' 535.477s (Solving', ' 529.29s 1st Model', ' 12.69s Unsat', ' 178.15s)']",[' 534.453s'], ,[' 37627175'],"[' 17852700 (Analyzed', ' 17751840)']","[' 33396    (Average', ' 531.56 Last', ' 97451)']",[' 2555.8  '],"[' 1031     (Average Length', ' 485.23 Splits', ' 0)']","[' 17751840 (Deleted', ' 17527877)']","[' 48       (Ratio', '   0.00%)']","[' 3152     (Ratio', '   0.02%)']","[' 17751840 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17751840 (Average', '  1.97 Max', ' 3334 Sum', ' 34939893)']","[' 17751400 (Average', '  1.96 Max', ' 3334 Sum', ' 34793635 Ratio', '  99.58%)']","[' 440      (Average', ' 332.40 Max', ' 768 Sum', ' 146258 Ratio', '   0.42%)']", ,[' 103128  '],[' 5076    '],[' 103080  '],[' 58295   '],"[' 174881   (Atom=Atom', ' 54217 Body=Body', ' 30526 Other', ' 90138)']",[' Yes'],"[' 6028     (Eliminated', '    0 Frozen', ' 6028)']","[' 390      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.58895'],[' 0'], ,[' 423.344'],[' 0'],[' 7.64908'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06964e+08'],[' 6.49028e+07'],[' 0'],[' 5.44238e+10'],[' 0'],[' 0'],[' 832 '],[' 1396 '],[' 2101 '],[' 2629 '],[' 3156 '],[' 3895 '],[' 2 '],[' 4 ']
Solving...,TA62, ,[' 1'],[' 2459+'],[' 1236'],"[' 713.744s (Solving', ' 703.60s 1st Model', ' 5.89s Unsat', ' 34.03s)']",[' 707.594s'], ,[' 37069317'],"[' 18062227 (Analyzed', ' 17926962)']","[' 33173    (Average', ' 540.41 Last', ' 134233)']",[' 2739.7  '],"[' 1236     (Average Length', ' 584.89 Splits', ' 0)']","[' 17926962 (Deleted', ' 17660481)']","[' 39       (Ratio', '   0.00%)']","[' 3050     (Ratio', '   0.02%)']","[' 17926962 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17926962 (Average', '  1.89 Max', ' 3458 Sum', ' 33921294)']","[' 17926564 (Average', '  1.88 Max', ' 3458 Sum', ' 33781170 Ratio', '  99.59%)']","[' 398      (Average', ' 352.07 Max', ' 920 Sum', ' 140124 Ratio', '   0.41%)']", ,[' 103901  '],[' 5127    '],[' 104052  '],[' 58663   '],"[' 175985   (Atom=Atom', ' 54534 Body=Body', ' 30577 Other', ' 90874)']",[' Yes'],"[' 6278     (Eliminated', '    0 Frozen', ' 6278)']","[' 393      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.37195'],[' 0'], ,[' 569.67'],[' 0'],[' 9.45554'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17845e+08'],[' 7.40387e+07'],[' 0'],[' 6.72246e+10'],[' 0'],[' 0'],[' 835 '],[' 1452 '],[' 2037 '],[' 2628 '],[' 3225 '],[' 3960 '],[' 4 '],[' 2 ']
Solving...,TA63, ,[' 1'],[' 2033+'],[' 1023'],"[' 1001.371s (Solving', ' 994.89s 1st Model', ' 6.31s Unsat', ' 0.00s)']",[' 998.984s'], ,[' 49886419'],"[' 27331963 (Analyzed', ' 27206795)']","[' 49717    (Average', ' 547.23 Last', ' 22660)']",[' 2515.9  '],"[' 1023     (Average Length', ' 484.68 Splits', ' 0)']","[' 27206795 (Deleted', ' 26853206)']","[' 11       (Ratio', '   0.00%)']","[' 3121     (Ratio', '   0.01%)']","[' 27206795 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27206795 (Average', '  1.73 Max', ' 3353 Sum', ' 47057680)']","[' 27206418 (Average', '  1.72 Max', ' 3353 Sum', ' 46906035 Ratio', '  99.68%)']","[' 377      (Average', ' 402.24 Max', ' 829 Sum', ' 151645 Ratio', '   0.32%)']", ,[' 102278  '],[' 5009    '],[' 102244  '],[' 57702   '],"[' 173102   (Atom=Atom', ' 53691 Body=Body', ' 30459 Other', ' 88952)']",[' Yes'],"[' 5975     (Eliminated', '    0 Frozen', ' 5975)']","[' 511      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5856'],[' 0'], ,[' 821.465'],[' 0'],[' 12.8755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44665e+08'],[' 8.12558e+07'],[' 0'],[' 1.04119e+11'],[' 0'],[' 0'],[' 863 '],[' 1507 '],[' 2091 '],[' 2706 '],[' 3392 '],[' 4182 '],[' 6 '],[' 0 ']
Solving...,TA64, , ,[' 2207'],[' 1110'],"[' 681.350s (Solving', ' 674.22s 1st Model', ' 4.92s Unsat', ' 2.18s)']",[' 679.516s'], ,[' 42496049'],"[' 20790401 (Analyzed', ' 20672678)']","[' 37671    (Average', ' 548.77 Last', ' 300590)']",[' 2650.3  '],"[' 1110     (Average Length', ' 524.81 Splits', ' 0)']","[' 20672678 (Deleted', ' 20434575)']","[' 51       (Ratio', '   0.00%)']","[' 3185     (Ratio', '   0.02%)']","[' 20672678 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20672678 (Average', '  1.91 Max', ' 3302 Sum', ' 39451941)']","[' 20672245 (Average', '  1.90 Max', ' 3302 Sum', ' 39305185 Ratio', '  99.63%)']","[' 433      (Average', ' 338.93 Max', ' 800 Sum', ' 146756 Ratio', '   0.37%)']", ,[' 102869  '],[' 5068    '],[' 102902  '],[' 58122   '],"[' 174362   (Atom=Atom', ' 54052 Body=Body', ' 30518 Other', ' 89792)']",[' Yes'],"[' 6101     (Eliminated', '    0 Frozen', ' 6101)']","[' 560      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.78166'],[' 0'], ,[' 548.146'],[' 0'],[' 10.0651'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25132e+08'],[' 7.28687e+07'],[' 0'],[' 6.52866e+10'],[' 0'],[' 0'],[' 874 '],[' 1568 '],[' 2189 '],[' 2690 '],[' 3186 '],[' 3719 '],[' 4 '],[' 2 ']
Solving...,TA65, , ,[' 1823'],[' 918'],"[' 695.083s (Solving', ' 689.50s 1st Model', ' 3.89s Unsat', ' 21.71s)']",[' 694.031s'], ,[' 28888317'],"[' 14114132 (Analyzed', ' 14019828)']","[' 28176    (Average', ' 497.58 Last', ' 24253)']",[' 2404.5  '],"[' 918      (Average Length', ' 447.25 Splits', ' 0)']","[' 14019828 (Deleted', ' 13822514)']","[' 25       (Ratio', '   0.00%)']","[' 3076     (Ratio', '   0.02%)']","[' 14019828 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14019828 (Average', '  1.90 Max', ' 3402 Sum', ' 26647007)']","[' 14019523 (Average', '  1.89 Max', ' 3402 Sum', ' 26535467 Ratio', '  99.58%)']","[' 305      (Average', ' 365.70 Max', ' 743 Sum', ' 111540 Ratio', '   0.42%)']", ,[' 103004  '],[' 5047    '],[' 102884  '],[' 58001   '],"[' 173999   (Atom=Atom', ' 53952 Body=Body', ' 30497 Other', ' 89550)']",[' Yes'],"[' 5927     (Eliminated', '    0 Frozen', ' 5927)']","[' 513      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.34939'],[' 0'], ,[' 603.517'],[' 0'],[' 9.00109'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.85666e+07'],[' 5.53617e+07'],[' 0'],[' 7.79528e+10'],[' 0'],[' 0'],[' 610 '],[' 1269 '],[' 2027 '],[' 2679 '],[' 3454 '],[' 4116 '],[' 4 '],[' 2 ']
Solving...,TA66, , ,[' 2001'],[' 1007'],"[' 734.598s (Solving', ' 727.60s 1st Model', ' 3.71s Unsat', ' 58.53s)']",[' 732.953s'], ,[' 33236862'],"[' 13837507 (Analyzed', ' 13764418)']","[' 28106    (Average', ' 489.73 Last', ' 131703)']",[' 2641.2  '],"[' 1007     (Average Length', ' 493.06 Splits', ' 0)']","[' 13764418 (Deleted', ' 13579119)']","[' 40       (Ratio', '   0.00%)']","[' 4492     (Ratio', '   0.03%)']","[' 13764418 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13764418 (Average', '  2.23 Max', ' 3284 Sum', ' 30728483)']","[' 13763890 (Average', '  2.22 Max', ' 3284 Sum', ' 30509941 Ratio', '  99.29%)']","[' 528      (Average', ' 413.91 Max', ' 746 Sum', ' 218542 Ratio', '   0.71%)']", ,[' 104017  '],[' 5161    '],[' 103995  '],[' 58744   '],"[' 176228   (Atom=Atom', ' 54581 Body=Body', ' 30611 Other', ' 91036)']",[' Yes'],"[' 6139     (Eliminated', '    0 Frozen', ' 6139)']","[' 840      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.71758'],[' 0'], ,[' 635.022'],[' 0'],[' 9.86599'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03851e+08'],[' 6.98061e+07'],[' 0'],[' 7.88439e+10'],[' 0'],[' 0'],[' 675 '],[' 1459 '],[' 2274 '],[' 2993 '],[' 3750 '],[' 4458 '],[' 4 '],[' 2 ']
Solving...,TA67, ,[' 1'],[' 1881+'],[' 947'],"[' 1001.550s (Solving', ' 995.52s 1st Model', ' 3.07s Unsat', ' 0.00s)']",[' 1000.453s'], ,[' 43920503'],"[' 22035824 (Analyzed', ' 21938951)']","[' 40043    (Average', ' 547.88 Last', ' 215855)']",[' 2428.5  '],"[' 947      (Average Length', ' 456.13 Splits', ' 0)']","[' 21938951 (Deleted', ' 21666237)']","[' 11       (Ratio', '   0.00%)']","[' 3312     (Ratio', '   0.02%)']","[' 21938951 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21938951 (Average', '  1.89 Max', ' 3189 Sum', ' 41513263)']","[' 21938369 (Average', '  1.88 Max', ' 3189 Sum', ' 41279373 Ratio', '  99.44%)']","[' 582      (Average', ' 401.87 Max', ' 697 Sum', ' 233890 Ratio', '   0.56%)']", ,[' 102520  '],[' 5087    '],[' 102430  '],[' 57418   '],"[' 172250   (Atom=Atom', ' 53329 Body=Body', ' 30537 Other', ' 88384)']",[' Yes'],"[' 5997     (Eliminated', '    0 Frozen', ' 5997)']","[' 542      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.54151'],[' 0'], ,[' 850.955'],[' 0'],[' 12.9687'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27217e+08'],[' 7.107e+07'],[' 0'],[' 1.08937e+11'],[' 0'],[' 0'],[' 904 '],[' 1525 '],[' 2285 '],[' 2946 '],[' 3714 '],[' 4352 '],[' 6 '],[' 0 ']
Solving...,TA68, , ,[' 1995'],[' 1004'],"[' 750.935s (Solving', ' 744.35s 1st Model', ' 6.61s Unsat', ' 73.43s)']",[' 749.906s'], ,[' 22387078'],"[' 11196736 (Analyzed', ' 11085323)']","[' 23168    (Average', ' 478.48 Last', ' 328749)']",[' 2652.4  '],"[' 1004     (Average Length', ' 482.06 Splits', ' 0)']","[' 11085323 (Deleted', ' 10882832)']","[' 56       (Ratio', '   0.00%)']","[' 2749     (Ratio', '   0.02%)']","[' 11085323 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11085323 (Average', '  1.80 Max', ' 3410 Sum', ' 19950717)']","[' 11084905 (Average', '  1.79 Max', ' 3410 Sum', ' 19794713 Ratio', '  99.22%)']","[' 418      (Average', ' 373.22 Max', ' 698 Sum', ' 156004 Ratio', '   0.78%)']", ,[' 102456  '],[' 4998    '],[' 102409  '],[' 57950   '],"[' 173846   (Atom=Atom', ' 53950 Body=Body', ' 30448 Other', ' 89448)']",[' Yes'],"[' 5951     (Eliminated', '    0 Frozen', ' 5951)']","[' 319      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.64439'],[' 0'], ,[' 665.222'],[' 0'],[' 9.52573'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.50706e+07'],[' 4.71269e+07'],[' 0'],[' 8.69976e+10'],[' 0'],[' 0'],[' 592 '],[' 1266 '],[' 1921 '],[' 2681 '],[' 3284 '],[' 3880 '],[' 4 '],[' 2 ']
Solving...,TA69, ,[' 1'],[' 1845+'],[' 929'],"[' 1001.551s (Solving', ' 995.68s 1st Model', ' 3.20s Unsat', ' 0.00s)']",[' 999.375s'], ,[' 44080208'],"[' 23334032 (Analyzed', ' 23239023)']","[' 44472    (Average', ' 522.55 Last', ' 67127)']",[' 2315.3  '],"[' 929      (Average Length', ' 442.20 Splits', ' 0)']","[' 23239023 (Deleted', ' 22880986)']","[' 15       (Ratio', '   0.00%)']","[' 3723     (Ratio', '   0.02%)']","[' 23239023 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23239023 (Average', '  1.80 Max', ' 2997 Sum', ' 41879725)']","[' 23238361 (Average', '  1.79 Max', ' 2997 Sum', ' 41578706 Ratio', '  99.28%)']","[' 662      (Average', ' 454.71 Max', ' 684 Sum', ' 301019 Ratio', '   0.72%)']", ,[' 102271  '],[' 5033    '],[' 102148  '],[' 57050   '],"[' 171146   (Atom=Atom', ' 53015 Body=Body', ' 30483 Other', ' 87648)']",[' Yes'],"[' 5910     (Eliminated', '    0 Frozen', ' 5910)']","[' 686      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44196'],[' 0'], ,[' 842.154'],[' 0'],[' 12.8807'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34249e+08'],[' 7.93659e+07'],[' 0'],[' 1.05367e+11'],[' 0'],[' 0'],[' 789 '],[' 1515 '],[' 2089 '],[' 2808 '],[' 3449 '],[' 4192 '],[' 6 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 1979+'],[' 996'],"[' 1001.591s (Solving', ' 995.01s 1st Model', ' 3.72s Unsat', ' 0.00s)']",[' 999.406s'], ,[' 43449058'],"[' 21929861 (Analyzed', ' 21850781)']","[' 42416    (Average', ' 515.15 Last', ' 27535)']",[' 2427.5  '],"[' 996      (Average Length', ' 481.35 Splits', ' 0)']","[' 21850781 (Deleted', ' 21552232)']","[' 17       (Ratio', '   0.00%)']","[' 4058     (Ratio', '   0.02%)']","[' 21850781 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21850781 (Average', '  1.87 Max', ' 3131 Sum', ' 40910792)']","[' 21850284 (Average', '  1.86 Max', ' 3131 Sum', ' 40749368 Ratio', '  99.61%)']","[' 497      (Average', ' 324.80 Max', ' 730 Sum', ' 161424 Ratio', '   0.39%)']", ,[' 102504  '],[' 5028    '],[' 102453  '],[' 56488   '],"[' 169460   (Atom=Atom', ' 52458 Body=Body', ' 30478 Other', ' 86524)']",[' Yes'],"[' 5977     (Eliminated', '    0 Frozen', ' 5977)']","[' 696      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.64262'],[' 0'], ,[' 848.803'],[' 0'],[' 13.0476'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34907e+08'],[' 8.22789e+07'],[' 0'],[' 1.08361e+11'],[' 0'],[' 0'],[' 660 '],[' 1271 '],[' 2161 '],[' 2801 '],[' 3534 '],[' 4278 '],[' 6 '],[' 0 ']
