Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 863+'],[' 439'],"[' 846.444s (Solving', ' 843.96s 1st Model', ' 1.30s Unsat', ' 130.29s)']",[' 844.375s'], ,[' 37644900'],"[' 27689337 (Analyzed', ' 27660681)']","[' 54602    (Average', ' 506.59 Last', ' 47097)']",[' 1603.2  '],"[' 439      (Average Length', ' 215.57 Splits', ' 0)']","[' 27660681 (Deleted', ' 27289956)']","[' 31       (Ratio', '   0.00%)']","[' 2435     (Ratio', '   0.01%)']","[' 27660681 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27660681 (Average', '  1.31 Max', ' 2270 Sum', ' 36353312)']","[' 27660400 (Average', '  1.31 Max', ' 2270 Sum', ' 36305367 Ratio', '  99.87%)']","[' 281      (Average', ' 170.62 Max', ' 355 Sum', '  47945 Ratio', '   0.13%)']", ,[' 76116   '],[' 3512    '],[' 75794   '],[' 43087   '],"[' 129257   (Atom=Atom', ' 40323 Body=Body', ' 22587 Other', ' 66347)']",[' Yes'],"[' 3940     (Eliminated', '    0 Frozen', ' 3940)']","[' 280      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.576999'],[' 0'], ,[' 685.086'],[' 0'],[' 11.7029'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04511e+08'],[' 4.27619e+07'],[' 0'],[' 1.03497e+11'],[' 0'],[' 0'],[' 647 '],[' 1272 '],[' 1872 '],[' 2323 '],[' 2873 '],[' 3328 '],[' 4059 '],[' 5 '],[' 2 ']
Solving...,TA52, , ,[' 961'],[' 488'],"[' 819.495s (Solving', ' 816.80s 1st Model', ' 1.44s Unsat', ' 102.01s)']",[' 818.484s'], ,[' 58688645'],"[' 38221620 (Analyzed', ' 38200165)']","[' 70978    (Average', ' 538.20 Last', ' 21891)']",[' 1660.8  '],"[' 488      (Average Length', ' 237.13 Splits', ' 0)']","[' 38200165 (Deleted', ' 37736849)']","[' 32       (Ratio', '   0.00%)']","[' 3424     (Ratio', '   0.01%)']","[' 38200165 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38200165 (Average', '  1.49 Max', ' 2106 Sum', ' 56925561)']","[' 38199934 (Average', '  1.49 Max', ' 2106 Sum', ' 56887179 Ratio', '  99.93%)']","[' 231      (Average', ' 166.16 Max', ' 384 Sum', '  38382 Ratio', '   0.07%)']", ,[' 75783   '],[' 3389    '],[' 75505   '],[' 42583   '],"[' 127745   (Atom=Atom', ' 39942 Body=Body', ' 22464 Other', ' 65339)']",[' Yes'],"[' 3861     (Eliminated', '    0 Frozen', ' 3861)']","[' 644      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.674335'],[' 0'], ,[' 601.877'],[' 0'],[' 10.5746'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59346e+08'],[' 7.24252e+07'],[' 0'],[' 7.86325e+10'],[' 0'],[' 0'],[' 655 '],[' 1357 '],[' 1940 '],[' 2377 '],[' 2828 '],[' 3539 '],[' 4113 '],[' 5 '],[' 2 ']
Solving...,TA53, ,[' 1'],[' 887+'],[' 451'],"[' 724.450s (Solving', ' 722.18s 1st Model', ' 1.15s Unsat', ' 8.65s)']",[' 722.828s'], ,[' 24619252'],"[' 16691994 (Analyzed', ' 16675796)']","[' 34434    (Average', ' 484.28 Last', ' 63182)']",[' 1615.1  '],"[' 451      (Average Length', ' 217.37 Splits', ' 0)']","[' 16675796 (Deleted', ' 16449359)']","[' 27       (Ratio', '   0.00%)']","[' 2493     (Ratio', '   0.01%)']","[' 16675796 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16675796 (Average', '  1.41 Max', ' 2255 Sum', ' 23530619)']","[' 16675590 (Average', '  1.41 Max', ' 2255 Sum', ' 23491171 Ratio', '  99.83%)']","[' 206      (Average', ' 191.50 Max', ' 372 Sum', '  39448 Ratio', '   0.17%)']", ,[' 75224   '],[' 3412    '],[' 74907   '],[' 43303   '],"[' 129905   (Atom=Atom', ' 40639 Body=Body', ' 22487 Other', ' 66779)']",[' Yes'],"[' 3845     (Eliminated', '    0 Frozen', ' 3845)']","[' 259      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.554649'],[' 0'], ,[' 623.417'],[' 0'],[' 10.4587'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.08942e+07'],[' 3.28654e+07'],[' 0'],[' 9.72829e+10'],[' 0'],[' 0'],[' 612 '],[' 1261 '],[' 1741 '],[' 2165 '],[' 2686 '],[' 3329 '],[' 4170 '],[' 5 '],[' 2 ']
Solving...,TA54, , ,[' 1129'],[' 572'],"[' 671.199s (Solving', ' 668.19s 1st Model', ' 1.33s Unsat', ' 95.95s)']",[' 669.969s'], ,[' 26088198'],"[' 17398008 (Analyzed', ' 17359556)']","[' 35168    (Average', ' 493.62 Last', ' 242641)']",[' 1529.5  '],"[' 572      (Average Length', ' 274.07 Splits', ' 0)']","[' 17359556 (Deleted', ' 17110158)']","[' 48       (Ratio', '   0.00%)']","[' 2532     (Ratio', '   0.01%)']","[' 17359556 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17359556 (Average', '  1.43 Max', ' 2228 Sum', ' 24894505)']","[' 17359296 (Average', '  1.43 Max', ' 2228 Sum', ' 24831394 Ratio', '  99.75%)']","[' 260      (Average', ' 242.73 Max', ' 464 Sum', '  63111 Ratio', '   0.25%)']", ,[' 76035   '],[' 3434    '],[' 75830   '],[' 43186   '],"[' 129554   (Atom=Atom', ' 40500 Body=Body', ' 22509 Other', ' 66545)']",[' Yes'],"[' 3979     (Eliminated', '    0 Frozen', ' 3979)']","[' 335      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.647474'],[' 0'], ,[' 569.69'],[' 0'],[' 9.40868'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.44027e+07'],[' 3.45113e+07'],[' 0'],[' 8.47705e+10'],[' 0'],[' 0'],[' 541 '],[' 1117 '],[' 1643 '],[' 2257 '],[' 2673 '],[' 3192 '],[' 3797 '],[' 4 '],[' 3 ']
Solving...,TA55, ,[' 1'],[' 803+'],[' 409'],"[' 918.921s (Solving', ' 916.62s 1st Model', ' 1.08s Unsat', ' 60.31s)']",[' 916.953s'], ,[' 40889253'],"[' 27944924 (Analyzed', ' 27911690)']","[' 53944    (Average', ' 517.42 Last', ' 160354)']",[' 1567.9  '],"[' 409      (Average Length', ' 199.12 Splits', ' 0)']","[' 27911690 (Deleted', ' 27569137)']","[' 23       (Ratio', '   0.00%)']","[' 3482     (Ratio', '   0.01%)']","[' 27911690 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27911690 (Average', '  1.41 Max', ' 2221 Sum', ' 39442274)']","[' 27911386 (Average', '  1.41 Max', ' 2221 Sum', ' 39388174 Ratio', '  99.86%)']","[' 304      (Average', ' 177.96 Max', ' 313 Sum', '  54100 Ratio', '   0.14%)']", ,[' 75991   '],[' 3611    '],[' 75639   '],[' 44376   '],"[' 133124   (Atom=Atom', ' 41513 Body=Body', ' 22686 Other', ' 68925)']",[' Yes'],"[' 4009     (Eliminated', '    0 Frozen', ' 4009)']","[' 524      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.528822'],[' 0'], ,[' 765.046'],[' 0'],[' 14.0577'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11446e+08'],[' 4.77236e+07'],[' 0'],[' 1.17035e+11'],[' 0'],[' 0'],[' 769 '],[' 1299 '],[' 1927 '],[' 2673 '],[' 3373 '],[' 3948 '],[' 4595 '],[' 6 '],[' 1 ']
Solving...,TA56, , ,[' 989'],[' 502'],"[' 765.449s (Solving', ' 762.76s 1st Model', ' 1.55s Unsat', ' 47.33s)']",[' 764.219s'], ,[' 40934414'],"[' 27648943 (Analyzed', ' 27615056)']","[' 52992    (Average', ' 521.12 Last', ' 41111)']",[' 1824.5  '],"[' 502      (Average Length', ' 246.12 Splits', ' 0)']","[' 27615056 (Deleted', ' 27274930)']","[' 34       (Ratio', '   0.00%)']","[' 2531     (Ratio', '   0.01%)']","[' 27615056 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27615056 (Average', '  1.43 Max', ' 2232 Sum', ' 39357654)']","[' 27614819 (Average', '  1.42 Max', ' 2232 Sum', ' 39324697 Ratio', '  99.92%)']","[' 237      (Average', ' 139.06 Max', ' 366 Sum', '  32957 Ratio', '   0.08%)']", ,[' 75800   '],[' 3455    '],[' 75540   '],[' 43569   '],"[' 130703   (Atom=Atom', ' 40862 Body=Body', ' 22530 Other', ' 67311)']",[' Yes'],"[' 3945     (Eliminated', '    0 Frozen', ' 3945)']","[' 402      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.726067'],[' 0'], ,[' 605.488'],[' 0'],[' 11.407'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13239e+08'],[' 5.0339e+07'],[' 0'],[' 8.67121e+10'],[' 0'],[' 0'],[' 865 '],[' 1376 '],[' 1935 '],[' 2614 '],[' 3076 '],[' 3553 '],[' 4165 '],[' 5 '],[' 2 ']
Solving...,TA57, ,[' 1'],[' 805+'],[' 410'],"[' 926.984s (Solving', ' 924.46s 1st Model', ' 1.38s Unsat', ' 67.98s)']",[' 924.844s'], ,[' 54849342'],"[' 37045967 (Analyzed', ' 37031089)']","[' 71162    (Average', ' 520.38 Last', ' 56209)']",[' 1662.0  '],"[' 410      (Average Length', ' 199.01 Splits', ' 0)']","[' 37031089 (Deleted', ' 36560632)']","[' 22       (Ratio', '   0.00%)']","[' 3392     (Ratio', '   0.01%)']","[' 37031089 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37031089 (Average', '  1.44 Max', ' 2172 Sum', ' 53167678)']","[' 37030793 (Average', '  1.43 Max', ' 2172 Sum', ' 53133695 Ratio', '  99.94%)']","[' 296      (Average', ' 114.81 Max', ' 297 Sum', '  33983 Ratio', '   0.06%)']", ,[' 75554   '],[' 3487    '],[' 75201   '],[' 42681   '],"[' 128039   (Atom=Atom', ' 39942 Body=Body', ' 22562 Other', ' 65535)']",[' Yes'],"[' 3884     (Eliminated', '    0 Frozen', ' 3884)']","[' 443      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.609136'],[' 0'], ,[' 721.146'],[' 0'],[' 12.5354'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48854e+08'],[' 6.44288e+07'],[' 0'],[' 1.01349e+11'],[' 0'],[' 0'],[' 628 '],[' 1436 '],[' 2008 '],[' 2750 '],[' 3242 '],[' 3773 '],[' 4478 '],[' 6 '],[' 1 ']
Solving...,TA58, , ,[' 889'],[' 452'],"[' 817.861s (Solving', ' 815.29s 1st Model', ' 0.95s Unsat', ' 100.31s)']",[' 816.359s'], ,[' 36017897'],"[' 25351222 (Analyzed', ' 25329266)']","[' 49601    (Average', ' 510.66 Last', ' 279996)']",[' 1525.3  '],"[' 452      (Average Length', ' 222.37 Splits', ' 0)']","[' 25329266 (Deleted', ' 24988383)']","[' 36       (Ratio', '   0.00%)']","[' 2755     (Ratio', '   0.01%)']","[' 25329266 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25329266 (Average', '  1.37 Max', ' 2094 Sum', ' 34762039)']","[' 25328922 (Average', '  1.37 Max', ' 2094 Sum', ' 34691270 Ratio', '  99.80%)']","[' 344      (Average', ' 205.72 Max', ' 334 Sum', '  70769 Ratio', '   0.20%)']", ,[' 75926   '],[' 3459    '],[' 75620   '],[' 42929   '],"[' 128783   (Atom=Atom', ' 40218 Body=Body', ' 22534 Other', ' 66031)']",[' Yes'],"[' 3903     (Eliminated', '    0 Frozen', ' 3903)']","[' 476      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.580534'],[' 0'], ,[' 669.677'],[' 0'],[' 11.9621'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01501e+08'],[' 4.36844e+07'],[' 0'],[' 9.90111e+10'],[' 0'],[' 0'],[' 586 '],[' 1205 '],[' 1772 '],[' 2310 '],[' 2906 '],[' 3486 '],[' 4102 '],[' 5 '],[' 2 ']
Solving...,TA59, ,[' 1'],[' 957+'],[' 486'],"[' 564.763s (Solving', ' 561.69s 1st Model', ' 1.37s Unsat', ' 132.29s)']",[' 563.516s'], ,[' 30099317'],"[' 19735521 (Analyzed', ' 19714282)']","[' 40359    (Average', ' 488.47 Last', ' 4252)']",[' 1811.6  '],"[' 486      (Average Length', ' 236.95 Splits', ' 0)']","[' 19714282 (Deleted', ' 19424752)']","[' 66       (Ratio', '   0.00%)']","[' 2261     (Ratio', '   0.01%)']","[' 19714282 (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19714282 (Average', '  1.46 Max', ' 2462 Sum', ' 28847960)']","[' 19714057 (Average', '  1.46 Max', ' 2462 Sum', ' 28823648 Ratio', '  99.92%)']","[' 225      (Average', ' 108.05 Max', ' 298 Sum', '  24312 Ratio', '   0.08%)']", ,[' 76531   '],[' 3651    '],[' 76252   '],[' 44691   '],"[' 134069   (Atom=Atom', ' 41788 Body=Body', ' 22726 Other', ' 69555)']",[' Yes'],"[' 4122     (Eliminated', '    0 Frozen', ' 4122)']","[' 206      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.65915'],[' 0'], ,[' 443.369'],[' 0'],[' 7.90211'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.66934e+07'],[' 4.17549e+07'],[' 0'],[' 6.28319e+10'],[' 0'],[' 0'],[' 514 '],[' 1081 '],[' 1619 '],[' 2226 '],[' 2658 '],[' 3108 '],[' 3738 '],[' 3 '],[' 4 ']
Solving...,TA60, , ,[' 995'],[' 505'],"[' 861.515s (Solving', ' 858.49s 1st Model', ' 1.30s Unsat', ' 0.02s)']",[' 860.406s'], ,[' 48017862'],"[' 34263588 (Analyzed', ' 34228814)']","[' 65954    (Average', ' 518.98 Last', ' 88956)']",[' 1739.6  '],"[' 505      (Average Length', ' 246.80 Splits', ' 0)']","[' 34228814 (Deleted', ' 33775477)']","[' 18       (Ratio', '   0.00%)']","[' 2389     (Ratio', '   0.01%)']","[' 34228814 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34228814 (Average', '  1.35 Max', ' 2171 Sum', ' 46273507)']","[' 34228570 (Average', '  1.35 Max', ' 2171 Sum', ' 46238486 Ratio', '  99.92%)']","[' 244      (Average', ' 143.53 Max', ' 318 Sum', '  35021 Ratio', '   0.08%)']", ,[' 75304   '],[' 3383    '],[' 75043   '],[' 42504   '],"[' 127508   (Atom=Atom', ' 39869 Body=Body', ' 22458 Other', ' 65181)']",[' Yes'],"[' 3872     (Eliminated', '    0 Frozen', ' 3872)']","[' 396      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.731475'],[' 0'], ,[' 667.183'],[' 0'],[' 12.133'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33236e+08'],[' 5.63183e+07'],[' 0'],[' 9.27917e+10'],[' 0'],[' 0'],[' 647 '],[' 1151 '],[' 1683 '],[' 2626 '],[' 3219 '],[' 3725 '],[' 4191 '],[' 6 '],[' 1 ']
