Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 1217+'],[' 617'],"[' 663.319s (Solving', ' 658.90s 1st Model', ' 2.80s Unsat', ' 34.37s)']",[' 662.047s'], ,[' 22032405'],"[' 14131048 (Analyzed', ' 14098273)']","[' 29683    (Average', ' 474.96 Last', ' 102381)']",[' 2012.6  '],"[' 617      (Average Length', ' 301.44 Splits', ' 0)']","[' 14098273 (Deleted', ' 13888461)']","[' 47       (Ratio', '   0.00%)']","[' 2708     (Ratio', '   0.02%)']","[' 14098273 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14098273 (Average', '  1.46 Max', ' 2699 Sum', ' 20610684)']","[' 14098056 (Average', '  1.46 Max', ' 2699 Sum', ' 20558396 Ratio', '  99.75%)']","[' 217      (Average', ' 240.96 Max', ' 488 Sum', '  52288 Ratio', '   0.25%)']", ,[' 99935   '],[' 4077    '],[' 99534   '],[' 56794   '],"[' 170378   (Atom=Atom', ' 53715 Body=Body', ' 29527 Other', ' 87136)']",[' Yes'],"[' 4676     (Eliminated', '    0 Frozen', ' 4676)']","[' 232      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04883'],[' 0'], ,[' 573.27'],[' 0'],[' 9.51589'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.03346e+07'],[' 3.79531e+07'],[' 0'],[' 8.73313e+10'],[' 0'],[' 0'],[' 527 '],[' 1235 '],[' 1789 '],[' 2318 '],[' 2827 '],[' 3413 '],[' 3895 '],[' 4504 '],[' 5 '],[' 3 ']
Solving...,TA62, , ,[' 1231'],[' 624'],"[' 541.215s (Solving', ' 537.17s 1st Model', ' 1.46s Unsat', ' 34.05s)']",[' 539.953s'], ,[' 32575145'],"[' 20808137 (Analyzed', ' 20774144)']","[' 39721    (Average', ' 523.00 Last', ' 16525)']",[' 1863.0  '],"[' 624      (Average Length', ' 305.41 Splits', ' 0)']","[' 20774144 (Deleted', ' 20475081)']","[' 66       (Ratio', '   0.00%)']","[' 2302     (Ratio', '   0.01%)']","[' 20774144 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20774144 (Average', '  1.50 Max', ' 2647 Sum', ' 31107858)']","[' 20773851 (Average', '  1.49 Max', ' 2647 Sum', ' 31054330 Ratio', '  99.83%)']","[' 293      (Average', ' 182.69 Max', ' 498 Sum', '  53528 Ratio', '   0.17%)']", ,[' 101017  '],[' 4121    '],[' 100626  '],[' 56425   '],"[' 169271   (Atom=Atom', ' 53302 Body=Body', ' 29571 Other', ' 86398)']",[' Yes'],"[' 4730     (Eliminated', '    0 Frozen', ' 4730)']","[' 291      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.99136'],[' 0'], ,[' 413.6'],[' 0'],[' 8.0092'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.35607e+07'],[' 4.64182e+07'],[' 0'],[' 5.215e+10'],[' 0'],[' 0'],[' 662 '],[' 1142 '],[' 1746 '],[' 2244 '],[' 2825 '],[' 3438 '],[' 3842 '],[' 4350 '],[' 4 '],[' 4 ']
Solving...,TA63, , ,[' 1317'],[' 667'],"[' 768.098s (Solving', ' 763.96s 1st Model', ' 2.66s Unsat', ' 10.99s)']",[' 766.656s'], ,[' 33544544'],"[' 23134632 (Analyzed', ' 23105657)']","[' 45268    (Average', ' 510.42 Last', ' 8790)']",[' 1971.6  '],"[' 667      (Average Length', ' 321.39 Splits', ' 0)']","[' 23105657 (Deleted', ' 22791151)']","[' 37       (Ratio', '   0.00%)']","[' 2817     (Ratio', '   0.01%)']","[' 23105657 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23105657 (Average', '  1.38 Max', ' 2618 Sum', ' 31840147)']","[' 23105428 (Average', '  1.38 Max', ' 2618 Sum', ' 31792861 Ratio', '  99.85%)']","[' 229      (Average', ' 206.49 Max', ' 485 Sum', '  47286 Ratio', '   0.15%)']", ,[' 99831   '],[' 4125    '],[' 99475   '],[' 56676   '],"[' 170024   (Atom=Atom', ' 53549 Body=Body', ' 29575 Other', ' 86900)']",[' Yes'],"[' 4769     (Eliminated', '    0 Frozen', ' 4769)']","[' 384      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09275'],[' 0'], ,[' 622.523'],[' 0'],[' 11.2868'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01912e+08'],[' 4.90034e+07'],[' 0'],[' 8.64819e+10'],[' 0'],[' 0'],[' 678 '],[' 1321 '],[' 1775 '],[' 2199 '],[' 2677 '],[' 3229 '],[' 3863 '],[' 4395 '],[' 6 '],[' 2 ']
Solving...,TA64, , ,[' 1537'],[' 777'],"[' 471.673s (Solving', ' 466.39s 1st Model', ' 2.63s Unsat', ' 209.28s)']",[' 470.813s'], ,[' 26033565'],"[' 17486304 (Analyzed', ' 17447086)']","[' 34428    (Average', ' 506.77 Last', ' 16733)']",[' 2127.7  '],"[' 777      (Average Length', ' 373.15 Splits', ' 0)']","[' 17447086 (Deleted', ' 17202841)']","[' 73       (Ratio', '   0.00%)']","[' 1965     (Ratio', '   0.01%)']","[' 17447086 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17447086 (Average', '  1.39 Max', ' 2690 Sum', ' 24240901)']","[' 17446816 (Average', '  1.39 Max', ' 2690 Sum', ' 24198724 Ratio', '  99.83%)']","[' 270      (Average', ' 156.21 Max', ' 475 Sum', '  42177 Ratio', '   0.17%)']", ,[' 98653   '],[' 4116    '],[' 98395   '],[' 56491   '],"[' 169469   (Atom=Atom', ' 53373 Body=Body', ' 29566 Other', ' 86530)']",[' Yes'],"[' 4858     (Eliminated', '    0 Frozen', ' 4858)']","[' 223      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32918'],[' 0'], ,[' 361.366'],[' 0'],[' 7.25618'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.29062e+07'],[' 4.27098e+07'],[' 0'],[' 4.72557e+10'],[' 0'],[' 0'],[' 718 '],[' 1179 '],[' 1585 '],[' 2039 '],[' 2592 '],[' 3036 '],[' 3533 '],[' 4036 '],[' 2 '],[' 6 ']
Solving...,TA65, , ,[' 1357'],[' 687'],"[' 532.105s (Solving', ' 527.22s 1st Model', ' 1.93s Unsat', ' 25.13s)']",[' 530.938s'], ,[' 19660991'],"[' 12145863 (Analyzed', ' 12057369)']","[' 24830    (Average', ' 485.60 Last', ' 36075)']",[' 1841.8  '],"[' 687      (Average Length', ' 333.35 Splits', ' 0)']","[' 12057369 (Deleted', ' 11866365)']","[' 43       (Ratio', '   0.00%)']","[' 2353     (Ratio', '   0.02%)']","[' 12057369 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12057369 (Average', '  1.52 Max', ' 2549 Sum', ' 18291455)']","[' 12057050 (Average', '  1.51 Max', ' 2549 Sum', ' 18205561 Ratio', '  99.53%)']","[' 319      (Average', ' 269.26 Max', ' 531 Sum', '  85894 Ratio', '   0.47%)']", ,[' 99236   '],[' 4076    '],[' 98899   '],[' 55855   '],"[' 167561   (Atom=Atom', ' 52777 Body=Body', ' 29526 Other', ' 85258)']",[' Yes'],"[' 4739     (Eliminated', '    0 Frozen', ' 4739)']","[' 358      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06251'],[' 0'], ,[' 450.596'],[' 0'],[' 7.12764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.62651e+07'],[' 3.76454e+07'],[' 0'],[' 6.68222e+10'],[' 0'],[' 0'],[' 499 '],[' 936 '],[' 1482 '],[' 1961 '],[' 2496 '],[' 3034 '],[' 3660 '],[' 4155 '],[' 4 '],[' 4 ']
Solving...,TA66, , ,[' 1419'],[' 718'],"[' 671.215s (Solving', ' 666.41s 1st Model', ' 2.40s Unsat', ' 39.04s)']",[' 669.594s'], ,[' 29282108'],"[' 14713874 (Analyzed', ' 14653956)']","[' 29744    (Average', ' 492.67 Last', ' 8602)']",[' 2020.4  '],"[' 718      (Average Length', ' 348.73 Splits', ' 0)']","[' 14653956 (Deleted', ' 14450034)']","[' 52       (Ratio', '   0.00%)']","[' 3331     (Ratio', '   0.02%)']","[' 14653956 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14653956 (Average', '  1.89 Max', ' 2626 Sum', ' 27671965)']","[' 14653641 (Average', '  1.88 Max', ' 2626 Sum', ' 27600453 Ratio', '  99.74%)']","[' 315      (Average', ' 227.02 Max', ' 576 Sum', '  71512 Ratio', '   0.26%)']", ,[' 100011  '],[' 4200    '],[' 99700   '],[' 57154   '],"[' 171458   (Atom=Atom', ' 53952 Body=Body', ' 29650 Other', ' 87856)']",[' Yes'],"[' 4889     (Eliminated', '    0 Frozen', ' 4889)']","[' 534      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23348'],[' 0'], ,[' 573.036'],[' 0'],[' 10.4606'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.08744e+07'],[' 5.59214e+07'],[' 0'],[' 8.27408e+10'],[' 0'],[' 0'],[' 588 '],[' 1117 '],[' 1655 '],[' 2151 '],[' 2609 '],[' 3159 '],[' 3632 '],[' 4295 '],[' 5 '],[' 3 ']
Solving...,TA67, , ,[' 1367'],[' 692'],"[' 524.082s (Solving', ' 519.43s 1st Model', ' 2.40s Unsat', ' 14.17s)']",[' 523.141s'], ,[' 33883560'],"[' 20745744 (Analyzed', ' 20714672)']","[' 40562    (Average', ' 510.69 Last', ' 7207)']",[' 2143.5  '],"[' 692      (Average Length', ' 332.97 Splits', ' 0)']","[' 20714672 (Deleted', ' 20411519)']","[' 71       (Ratio', '   0.00%)']","[' 2563     (Ratio', '   0.01%)']","[' 20714672 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20714672 (Average', '  1.55 Max', ' 2776 Sum', ' 32054248)']","[' 20714395 (Average', '  1.55 Max', ' 2776 Sum', ' 32007702 Ratio', '  99.85%)']","[' 277      (Average', ' 168.04 Max', ' 519 Sum', '  46546 Ratio', '   0.15%)']", ,[' 99409   '],[' 4224    '],[' 99073   '],[' 57678   '],"[' 173030   (Atom=Atom', ' 54452 Body=Body', ' 29674 Other', ' 88904)']",[' Yes'],"[' 4888     (Eliminated', '    0 Frozen', ' 4888)']","[' 331      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20082'],[' 0'], ,[' 396.24'],[' 0'],[' 8.43617'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00522e+08'],[' 5.08183e+07'],[' 0'],[' 4.91233e+10'],[' 0'],[' 0'],[' 683 '],[' 1415 '],[' 1734 '],[' 2353 '],[' 2847 '],[' 3378 '],[' 3793 '],[' 4291 '],[' 4 '],[' 4 ']
Solving...,TA68, , ,[' 1245'],[' 631'],"[' 636.282s (Solving', ' 631.85s 1st Model', ' 2.27s Unsat', ' 4.74s)']",[' 634.781s'], ,[' 26122888'],"[' 18205824 (Analyzed', ' 18191346)']","[' 37554    (Average', ' 484.41 Last', ' 43169)']",[' 1966.9  '],"[' 631      (Average Length', ' 308.03 Splits', ' 0)']","[' 18191346 (Deleted', ' 17904936)']","[' 45       (Ratio', '   0.00%)']","[' 1963     (Ratio', '   0.01%)']","[' 18191346 (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18191346 (Average', '  1.36 Max', ' 2550 Sum', ' 24650132)']","[' 18191136 (Average', '  1.35 Max', ' 2550 Sum', ' 24595035 Ratio', '  99.78%)']","[' 210      (Average', ' 262.37 Max', ' 467 Sum', '  55097 Ratio', '   0.22%)']", ,[' 98916   '],[' 3968    '],[' 98529   '],[' 55889   '],"[' 167663   (Atom=Atom', ' 52919 Body=Body', ' 29418 Other', ' 85326)']",[' Yes'],"[' 4581     (Eliminated', '    0 Frozen', ' 4581)']","[' 308      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06458'],[' 0'], ,[' 519.92'],[' 0'],[' 7.93322'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.18046e+07'],[' 4.01997e+07'],[' 0'],[' 7.61457e+10'],[' 0'],[' 0'],[' 432 '],[' 1052 '],[' 1597 '],[' 2070 '],[' 2587 '],[' 2981 '],[' 3562 '],[' 4074 '],[' 5 '],[' 3 ']
Solving...,TA69, , ,[' 1309'],[' 663'],"[' 383.681s (Solving', ' 379.22s 1st Model', ' 2.40s Unsat', ' 123.76s)']",[' 383.016s'], ,[' 16053062'],"[' 10499665 (Analyzed', ' 10471630)']","[' 22578    (Average', ' 463.80 Last', ' 1830)']",[' 1979.5  '],"[' 663      (Average Length', ' 323.35 Splits', ' 0)']","[' 10471630 (Deleted', ' 10297165)']","[' 86       (Ratio', '   0.00%)']","[' 2204     (Ratio', '   0.02%)']","[' 10471630 (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10471630 (Average', '  1.40 Max', ' 2633 Sum', ' 14692401)']","[' 10471399 (Average', '  1.40 Max', ' 2633 Sum', ' 14663991 Ratio', '  99.81%)']","[' 231      (Average', ' 122.99 Max', ' 431 Sum', '  28410 Ratio', '   0.19%)']", ,[' 99008   '],[' 4000    '],[' 98653   '],[' 55585   '],"[' 166751   (Atom=Atom', ' 52583 Body=Body', ' 29450 Other', ' 84718)']",[' Yes'],"[' 4645     (Eliminated', '    0 Frozen', ' 4645)']","[' 140      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.11764'],[' 0'], ,[' 313.697'],[' 0'],[' 5.32163'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.52194e+07'],[' 3.06204e+07'],[' 0'],[' 4.6096e+10'],[' 0'],[' 0'],[' 622 '],[' 1114 '],[' 1759 '],[' 2209 '],[' 2728 '],[' 3278 '],[' 3795 '],[' 4392 '],[' 2 '],[' 6 ']
Solving...,TA70, , ,[' 1393'],[' 705'],"[' 407.849s (Solving', ' 402.98s 1st Model', ' 2.37s Unsat', ' 22.99s)']",[' 406.672s'], ,[' 16351283'],"[' 9383862  (Analyzed', ' 9316212)']","[' 19421    (Average', ' 479.70 Last', ' 4453)']",[' 2087.3  '],"[' 705      (Average Length', ' 340.70 Splits', ' 0)']","[' 9316212  (Deleted', ' 9191346)']","[' 67       (Ratio', '   0.00%)']","[' 2222     (Ratio', '   0.02%)']","[' 9316212  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9316212  (Average', '  1.59 Max', ' 2856 Sum', ' 14794768)']","[' 9316011  (Average', '  1.58 Max', ' 2856 Sum', ' 14761543 Ratio', '  99.78%)']","[' 201      (Average', ' 165.30 Max', ' 445 Sum', '  33225 Ratio', '   0.22%)']", ,[' 99905   '],[' 4237    '],[' 99578   '],[' 57690   '],"[' 173066   (Atom=Atom', ' 54451 Body=Body', ' 29687 Other', ' 88928)']",[' Yes'],"[' 4910     (Eliminated', '    0 Frozen', ' 4910)']","[' 207      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.16725'],[' 0'], ,[' 347.88'],[' 0'],[' 6.45762'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.36691e+07'],[' 3.23081e+07'],[' 0'],[' 4.7241e+10'],[' 0'],[' 0'],[' 523 '],[' 1010 '],[' 1533 '],[' 2311 '],[' 3049 '],[' 3485 '],[' 3928 '],[' 4482 '],[' 3 '],[' 5 ']
