Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1091'],[' 555'],"[' 480.890s (Solving', ' 476.79s 1st Model', ' 1.75s Unsat', ' 27.92s)']",[' 479.922s'], ,[' 20147663'],"[' 13729178 (Analyzed', ' 13702612)']","[' 29166    (Average', ' 469.81 Last', ' 19928)']",[' 2059.5  '],"[' 555      (Average Length', ' 269.63 Splits', ' 0)']","[' 13702612 (Deleted', ' 13501025)']","[' 75       (Ratio', '   0.00%)']","[' 2225     (Ratio', '   0.02%)']","[' 13702612 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13702612 (Average', '  1.37 Max', ' 2643 Sum', ' 18758848)']","[' 13702422 (Average', '  1.37 Max', ' 2643 Sum', ' 18738855 Ratio', '  99.89%)']","[' 190      (Average', ' 105.23 Max', ' 1576 Sum', '  19993 Ratio', '   0.11%)']", ,[' 99497   '],[' 3996    '],[' 99031   '],[' 58778   '],"[' 176330   (Atom=Atom', ' 55780 Body=Body', ' 29446 Other', ' 91104)']",[' Yes'],"[' 4530     (Eliminated', '    0 Frozen', ' 4530)']","[' 176      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03384'],[' 0'], ,[' 397.307'],[' 0'],[' 8.1136'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.31618e+07'],[' 3.19703e+07'],[' 0'],[' 5.3658e+10'],[' 0'],[' 0'],[' 525 '],[' 979 '],[' 1472 '],[' 1968 '],[' 2423 '],[' 2885 '],[' 3295 '],[' 3722 '],[' 4171 '],[' 4 '],[' 5 ']
Solving...,TA62, , ,[' 1223'],[' 621'],"[' 556.746s (Solving', ' 552.75s 1st Model', ' 1.63s Unsat', ' 105.44s)']",[' 555.547s'], ,[' 38635173'],"[' 24649533 (Analyzed', ' 24618055)']","[' 47262    (Average', ' 520.88 Last', ' 2807)']",[' 1714.6  '],"[' 621      (Average Length', ' 301.37 Splits', ' 0)']","[' 24618055 (Deleted', ' 24257813)']","[' 63       (Ratio', '   0.00%)']","[' 2847     (Ratio', '   0.01%)']","[' 24618055 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24618055 (Average', '  1.51 Max', ' 2332 Sum', ' 37120475)']","[' 24617754 (Average', '  1.51 Max', ' 2332 Sum', ' 37058464 Ratio', '  99.83%)']","[' 301      (Average', ' 206.02 Max', ' 486 Sum', '  62011 Ratio', '   0.17%)']", ,[' 99688   '],[' 3868    '],[' 99281   '],[' 57124   '],"[' 171368   (Atom=Atom', ' 54254 Body=Body', ' 29318 Other', ' 87796)']",[' Yes'],"[' 4461     (Eliminated', '    0 Frozen', ' 4461)']","[' 394      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.02363'],[' 0'], ,[' 412.371'],[' 0'],[' 7.67616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11957e+08'],[' 5.31759e+07'],[' 0'],[' 5.04126e+10'],[' 0'],[' 0'],[' 570 '],[' 1168 '],[' 1714 '],[' 2165 '],[' 2605 '],[' 3230 '],[' 3663 '],[' 4003 '],[' 4488 '],[' 4 '],[' 5 ']
Solving...,TA63, , ,[' 1167'],[' 593'],"[' 379.176s (Solving', ' 375.29s 1st Model', ' 1.69s Unsat', ' 149.34s)']",[' 378.719s'], ,[' 18933320'],"[' 12337042 (Analyzed', ' 12315760)']","[' 25546    (Average', ' 482.10 Last', ' 57731)']",[' 1912.7  '],"[' 593      (Average Length', ' 281.63 Splits', ' 0)']","[' 12315760 (Deleted', ' 12137350)']","[' 80       (Ratio', '   0.00%)']","[' 1982     (Ratio', '   0.02%)']","[' 12315760 (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12315760 (Average', '  1.44 Max', ' 2647 Sum', ' 17723625)']","[' 12315546 (Average', '  1.44 Max', ' 2647 Sum', ' 17688138 Ratio', '  99.80%)']","[' 214      (Average', ' 165.83 Max', ' 465 Sum', '  35487 Ratio', '   0.20%)']", ,[' 99121   '],[' 3981    '],[' 98682   '],[' 59431   '],"[' 178289   (Atom=Atom', ' 56448 Body=Body', ' 29431 Other', ' 92410)']",[' Yes'],"[' 4542     (Eliminated', '    0 Frozen', ' 4542)']","[' 209      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.943866'],[' 0'], ,[' 297.602'],[' 0'],[' 5.81914'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.11042e+07'],[' 3.27539e+07'],[' 0'],[' 4.2874e+10'],[' 0'],[' 0'],[' 585 '],[' 1081 '],[' 1411 '],[' 1782 '],[' 2191 '],[' 2717 '],[' 3081 '],[' 3431 '],[' 3877 '],[' 2 '],[' 7 ']
Solving...,TA64, , ,[' 1277'],[' 648'],"[' 739.180s (Solving', ' 735.06s 1st Model', ' 2.25s Unsat', ' 64.63s)']",[' 737.500s'], ,[' 35009925'],"[' 23595355 (Analyzed', ' 23570026)']","[' 46561    (Average', ' 506.22 Last', ' 52118)']",[' 2118.2  '],"[' 648      (Average Length', ' 311.09 Splits', ' 0)']","[' 23570026 (Deleted', ' 23218396)']","[' 49       (Ratio', '   0.00%)']","[' 2711     (Ratio', '   0.01%)']","[' 23570026 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23570026 (Average', '  1.41 Max', ' 2790 Sum', ' 33289000)']","[' 23569714 (Average', '  1.41 Max', ' 2790 Sum', ' 33220261 Ratio', '  99.79%)']","[' 312      (Average', ' 220.32 Max', ' 498 Sum', '  68739 Ratio', '   0.21%)']", ,[' 99968   '],[' 4344    '],[' 99586   '],[' 61517   '],"[' 184547   (Atom=Atom', ' 58171 Body=Body', ' 29794 Other', ' 96582)']",[' Yes'],"[' 4962     (Eliminated', '    0 Frozen', ' 4962)']","[' 400      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09913'],[' 0'], ,[' 592.445'],[' 0'],[' 11.7284'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02757e+08'],[' 4.88592e+07'],[' 0'],[' 8.2056e+10'],[' 0'],[' 0'],[' 627 '],[' 1147 '],[' 1616 '],[' 1963 '],[' 2305 '],[' 2725 '],[' 3148 '],[' 3770 '],[' 4114 '],[' 6 '],[' 3 ']
Solving...,TA65, , ,[' 1139'],[' 579'],"[' 311.307s (Solving', ' 307.38s 1st Model', ' 2.00s Unsat', ' 79.09s)']",[' 310.563s'], ,[' 11595755'],"[' 6187740  (Analyzed', ' 6100882)']","[' 13703    (Average', ' 445.22 Last', ' 28082)']",[' 1983.3  '],"[' 579      (Average Length', ' 279.86 Splits', ' 0)']","[' 6100882  (Deleted', ' 6006032)']","[' 102      (Ratio', '   0.00%)']","[' 1778     (Ratio', '   0.03%)']","[' 6100882  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6100882  (Average', '  1.70 Max', ' 2788 Sum', ' 10356843)']","[' 6100686  (Average', '  1.69 Max', ' 2788 Sum', ' 10335312 Ratio', '  99.79%)']","[' 196      (Average', ' 109.85 Max', ' 2063 Sum', '  21531 Ratio', '   0.21%)']", ,[' 99735   '],[' 4077    '],[' 99290   '],[' 59049   '],"[' 177143   (Atom=Atom', ' 55970 Body=Body', ' 29527 Other', ' 91646)']",[' Yes'],"[' 4632     (Eliminated', '    0 Frozen', ' 4632)']","[' 199      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.993176'],[' 0'], ,[' 267.967'],[' 0'],[' 4.93766'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.27552e+07'],[' 2.8226e+07'],[' 0'],[' 3.98433e+10'],[' 0'],[' 0'],[' 499 '],[' 828 '],[' 1335 '],[' 1822 '],[' 2319 '],[' 3126 '],[' 3293 '],[' 3690 '],[' 4197 '],[' 2 '],[' 7 ']
Solving...,TA66, , ,[' 1199'],[' 609'],"[' 405.081s (Solving', ' 401.47s 1st Model', ' 1.87s Unsat', ' 174.08s)']",[' 404.141s'], ,[' 14356443'],"[' 9656606  (Analyzed', ' 9598563)']","[' 20499    (Average', ' 468.25 Last', ' 55022)']",[' 1757.2  '],"[' 609      (Average Length', ' 295.90 Splits', ' 0)']","[' 9598563  (Deleted', ' 9450691)']","[' 96       (Ratio', '   0.00%)']","[' 2065     (Ratio', '   0.02%)']","[' 9598563  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9598563  (Average', '  1.38 Max', ' 2514 Sum', ' 13206566)']","[' 9598403  (Average', '  1.37 Max', ' 2514 Sum', ' 13186610 Ratio', '  99.85%)']","[' 160      (Average', ' 124.72 Max', ' 483 Sum', '  19956 Ratio', '   0.15%)']", ,[' 99018   '],[' 3792    '],[' 98608   '],[' 56780   '],"[' 170336   (Atom=Atom', ' 53986 Body=Body', ' 29242 Other', ' 87108)']",[' Yes'],"[' 4382     (Eliminated', '    0 Frozen', ' 4382)']","[' 148      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.96186'],[' 0'], ,[' 341.313'],[' 0'],[' 5.85705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.86343e+07'],[' 2.63573e+07'],[' 0'],[' 5.10838e+10'],[' 0'],[' 0'],[' 588 '],[' 1002 '],[' 1386 '],[' 1760 '],[' 2321 '],[' 2795 '],[' 3245 '],[' 3771 '],[' 4268 '],[' 2 '],[' 7 ']
Solving...,TA67, , ,[' 1133'],[' 576'],"[' 352.450s (Solving', ' 348.70s 1st Model', ' 1.96s Unsat', ' 120.55s)']",[' 351.688s'], ,[' 28168948'],"[' 18048945 (Analyzed', ' 18026289)']","[' 32056    (Average', ' 562.34 Last', ' 48602)']",[' 2078.6  '],"[' 576      (Average Length', ' 274.26 Splits', ' 0)']","[' 18026289 (Deleted', ' 17792398)']","[' 106      (Ratio', '   0.00%)']","[' 2123     (Ratio', '   0.01%)']","[' 18026289 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18026289 (Average', '  1.48 Max', ' 2822 Sum', ' 26675853)']","[' 18026078 (Average', '  1.48 Max', ' 2822 Sum', ' 26662530 Ratio', '  99.95%)']","[' 211      (Average', ' 63.14 Max', ' 428 Sum', '  13323 Ratio', '   0.05%)']", ,[' 99384   '],[' 4101    '],[' 98928   '],[' 60946   '],"[' 182834   (Atom=Atom', ' 57843 Body=Body', ' 29551 Other', ' 95440)']",[' Yes'],"[' 4645     (Eliminated', '    0 Frozen', ' 4645)']","[' 177      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00179'],[' 0'], ,[' 245.814'],[' 0'],[' 6.22844'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.09906e+07'],[' 3.97893e+07'],[' 0'],[' 2.89022e+10'],[' 0'],[' 0'],[' 683 '],[' 1273 '],[' 1662 '],[' 2026 '],[' 2391 '],[' 2901 '],[' 3308 '],[' 3737 '],[' 4235 '],[' 2 '],[' 7 ']
Solving...,TA68, , ,[' 1137'],[' 578'],"[' 292.321s (Solving', ' 288.36s 1st Model', ' 2.09s Unsat', ' 170.96s)']",[' 291.719s'], ,[' 12804516'],"[' 8690398  (Analyzed', ' 8639922)']","[' 19030    (Average', ' 454.02 Last', ' 45882)']",[' 1906.1  '],"[' 578      (Average Length', ' 279.43 Splits', ' 0)']","[' 8639922  (Deleted', ' 8501183)']","[' 95       (Ratio', '   0.00%)']","[' 1778     (Ratio', '   0.02%)']","[' 8639922  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8639922  (Average', '  1.35 Max', ' 2569 Sum', ' 11635936)']","[' 8639741  (Average', '  1.34 Max', ' 2569 Sum', ' 11620195 Ratio', '  99.86%)']","[' 181      (Average', ' 86.97 Max', ' 381 Sum', '  15741 Ratio', '   0.14%)']", ,[' 97652   '],[' 3849    '],[' 97211   '],[' 57520   '],"[' 172556   (Atom=Atom', ' 54669 Body=Body', ' 29299 Other', ' 88588)']",[' Yes'],"[' 4408     (Eliminated', '    0 Frozen', ' 4408)']","[' 95       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.995978'],[' 0'], ,[' 233.245'],[' 0'],[' 4.96869'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.36529e+07'],[' 2.3749e+07'],[' 0'],[' 3.11777e+10'],[' 0'],[' 0'],[' 432 '],[' 980 '],[' 1396 '],[' 1922 '],[' 2306 '],[' 2708 '],[' 3177 '],[' 3578 '],[' 4141 '],[' 1 '],[' 8 ']
Solving...,TA69, , ,[' 1287'],[' 653'],"[' 94.313s (Solving', ' 89.93s 1st Model', ' 1.69s Unsat', ' 83.93s)']",[' 94.125s'], ,[' 11520988'],"[' 6908105  (Analyzed', ' 6885212)']","[' 13951    (Average', ' 493.53 Last', ' 1958)']",[' 1815.9  '],"[' 653      (Average Length', ' 317.08 Splits', ' 0)']","[' 6885212  (Deleted', ' 6786023)']","[' 104      (Ratio', '   0.00%)']","[' 1382     (Ratio', '   0.02%)']","[' 6885212  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6885212  (Average', '  1.51 Max', ' 2484 Sum', ' 10404899)']","[' 6885028  (Average', '  1.51 Max', ' 2484 Sum', ' 10381640 Ratio', '  99.78%)']","[' 184      (Average', ' 126.41 Max', ' 504 Sum', '  23259 Ratio', '   0.22%)']", ,[' 98523   '],[' 3705    '],[' 98157   '],[' 56493   '],"[' 169475   (Atom=Atom', ' 53786 Body=Body', ' 29155 Other', ' 86534)']",[' Yes'],"[' 4339     (Eliminated', '    0 Frozen', ' 4339)']","[' 46       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03975'],[' 0'], ,[' 47.4291'],[' 0'],[' 1.3973'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.00054e+07'],[' 2.42816e+07'],[' 0'],[' 4.49451e+09'],[' 0'],[' 0'],[' 622 '],[' 987 '],[' 1365 '],[' 1868 '],[' 2215 '],[' 2698 '],[' 3194 '],[' 3706 '],[' 4269 '],[' 0 '],[' 9 ']
Solving...,TA70, , ,[' 813'],[' 416'],"[' 518.025s (Solving', ' 515.20s 1st Model', ' 1.29s Unsat', ' 68.18s)']",[' 517.156s'], ,[' 15120751'],"[' 10041036 (Analyzed', ' 9999620)']","[' 20773    (Average', ' 481.38 Last', ' 402677)']",[' 1668.2  '],"[' 416      (Average Length', ' 202.88 Splits', ' 0)']","[' 9999620  (Deleted', ' 9859511)']","[' 63       (Ratio', '   0.00%)']","[' 2414     (Ratio', '   0.02%)']","[' 9999620  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9999620  (Average', '  1.42 Max', ' 2511 Sum', ' 14192783)']","[' 9999460  (Average', '  1.42 Max', ' 2511 Sum', ' 14172935 Ratio', '  99.86%)']","[' 160      (Average', ' 124.05 Max', ' 321 Sum', '  19848 Ratio', '   0.14%)']", ,[' 98886   '],[' 3889    '],[' 98290   '],[' 57610   '],"[' 172826   (Atom=Atom', ' 54719 Body=Body', ' 29339 Other', ' 88768)']",[' Yes'],"[' 4293     (Eliminated', '    0 Frozen', ' 4293)']","[' 276      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.719635'],[' 0'], ,[' 456.693'],[' 0'],[' 6.95157'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.63967e+07'],[' 2.34743e+07'],[' 0'],[' 6.06554e+10'],[' 0'],[' 0'],[' 499 '],[' 1048 '],[' 1486 '],[' 2173 '],[' 2700 '],[' 3096 '],[' 3550 '],[' 4395 '],[' 4892 '],[' 4 '],[' 5 ']
