Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 933'],[' 477'],"[' 369.951s (Solving', ' 366.31s 1st Model', ' 1.50s Unsat', ' 63.24s)']",[' 368.625s'], ,[' 16411464'],"[' 11600959 (Analyzed', ' 11580116)']","[' 24405    (Average', ' 474.50 Last', ' 7175)']",[' 1990.3  '],"[' 477      (Average Length', ' 228.31 Splits', ' 0)']","[' 11580116 (Deleted', ' 11399610)']","[' 88       (Ratio', '   0.00%)']","[' 1800     (Ratio', '   0.02%)']","[' 11580116 (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11580116 (Average', '  1.32 Max', ' 2559 Sum', ' 15304406)']","[' 11579996 (Average', '  1.32 Max', ' 2559 Sum', ' 15298365 Ratio', '  99.96%)']","[' 120      (Average', ' 50.34 Max', ' 289 Sum', '   6041 Ratio', '   0.04%)']", ,[' 98498   '],[' 3761    '],[' 97948   '],[' 58468   '],"[' 175400   (Atom=Atom', ' 55705 Body=Body', ' 29211 Other', ' 90484)']",[' Yes'],"[' 4211     (Eliminated', '    0 Frozen', ' 4211)']","[' 164      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.94734'],[' 0'], ,[' 296.63'],[' 0'],[' 5.99054'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.38493e+07'],[' 2.75987e+07'],[' 0'],[' 4.29595e+10'],[' 0'],[' 0'],[' 525 '],[' 948 '],[' 1493 '],[' 1902 '],[' 2317 '],[' 2741 '],[' 3132 '],[' 3511 '],[' 3854 '],[' 4387 '],[' 3 '],[' 7 ']
Solving...,TA62, , ,[' 1113'],[' 567'],"[' 144.329s (Solving', ' 140.93s 1st Model', ' 2.09s Unsat', ' 135.04s)']",[' 144.172s'], ,[' 9819716 '],"[' 5711152  (Analyzed', ' 5677259)']","[' 11960    (Average', ' 474.69 Last', ' 27743)']",[' 1772.5  '],"[' 567      (Average Length', ' 275.34 Splits', ' 0)']","[' 5677259  (Deleted', ' 5573895)']","[' 120      (Ratio', '   0.00%)']","[' 1906     (Ratio', '   0.03%)']","[' 5677259  (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5677259  (Average', '  1.56 Max', ' 2491 Sum', ' 8848095)']","[' 5677051  (Average', '  1.56 Max', ' 2491 Sum', ' 8834476 Ratio', '  99.85%)']","[' 208      (Average', ' 65.48 Max', ' 291 Sum', '  13619 Ratio', '   0.15%)']", ,[' 99420   '],[' 3802    '],[' 98967   '],[' 59377   '],"[' 178127   (Atom=Atom', ' 56573 Body=Body', ' 29252 Other', ' 92302)']",[' Yes'],"[' 4349     (Eliminated', '    0 Frozen', ' 4349)']","[' 84       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.929615'],[' 0'], ,[' 103.012'],[' 0'],[' 2.13075'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.75148e+07'],[' 2.40785e+07'],[' 0'],[' 1.26697e+10'],[' 0'],[' 0'],[' 526 '],[' 1007 '],[' 1557 '],[' 1886 '],[' 2359 '],[' 2758 '],[' 3100 '],[' 3606 '],[' 3904 '],[' 4469 '],[' 0 '],[' 10 ']
Solving...,TA63, , ,[' 883'],[' 452'],"[' 237.775s (Solving', ' 234.38s 1st Model', ' 1.29s Unsat', ' 29.80s)']",[' 237.328s'], ,[' 11706409'],"[' 6119266  (Analyzed', ' 5932103)']","[' 13373    (Average', ' 443.59 Last', ' 5865)']",[' 1750.0  '],"[' 452      (Average Length', ' 217.07 Splits', ' 0)']","[' 5932103  (Deleted', ' 5842954)']","[' 97       (Ratio', '   0.00%)']","[' 2189     (Ratio', '   0.04%)']","[' 5932103  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5932103  (Average', '  1.79 Max', ' 2514 Sum', ' 10638717)']","[' 5931930  (Average', '  1.79 Max', ' 2514 Sum', ' 10621184 Ratio', '  99.84%)']","[' 173      (Average', ' 101.35 Max', ' 256 Sum', '  17533 Ratio', '   0.16%)']", ,[' 97753   '],[' 3749    '],[' 97186   '],[' 58347   '],"[' 175037   (Atom=Atom', ' 55596 Body=Body', ' 29199 Other', ' 90242)']",[' Yes'],"[' 4182     (Eliminated', '    0 Frozen', ' 4182)']","[' 212      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.793418'],[' 0'], ,[' 200.464'],[' 0'],[' 3.1352'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.11388e+07'],[' 2.68013e+07'],[' 0'],[' 3.15812e+10'],[' 0'],[' 0'],[' 574 '],[' 981 '],[' 1424 '],[' 1763 '],[' 2116 '],[' 2903 '],[' 3204 '],[' 3442 '],[' 3999 '],[' 4509 '],[' 2 '],[' 8 ']
Solving...,TA64, , ,[' 987'],[' 504'],"[' 426.602s (Solving', ' 423.02s 1st Model', ' 1.65s Unsat', ' 20.03s)']",[' 425.703s'], ,[' 17091071'],"[' 10502220 (Analyzed', ' 10475577)']","[' 21847    (Average', ' 479.50 Last', ' 30243)']",[' 1893.9  '],"[' 504      (Average Length', ' 242.14 Splits', ' 0)']","[' 10475577 (Deleted', ' 10310357)']","[' 75       (Ratio', '   0.00%)']","[' 2352     (Ratio', '   0.02%)']","[' 10475577 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10475577 (Average', '  1.53 Max', ' 2589 Sum', ' 15984011)']","[' 10475341 (Average', '  1.52 Max', ' 2589 Sum', ' 15952880 Ratio', '  99.81%)']","[' 236      (Average', ' 131.91 Max', ' 935 Sum', '  31131 Ratio', '   0.19%)']", ,[' 98608   '],[' 4041    '],[' 98088   '],[' 61729   '],"[' 185183   (Atom=Atom', ' 58686 Body=Body', ' 29491 Other', ' 97006)']",[' Yes'],"[' 4521     (Eliminated', '    0 Frozen', ' 4521)']","[' 285      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.899224'],[' 0'], ,[' 358.646'],[' 0'],[' 7.17331'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.41244e+07'],[' 3.01172e+07'],[' 0'],[' 5.32215e+10'],[' 0'],[' 0'],[' 556 '],[' 1064 '],[' 1534 '],[' 1831 '],[' 2267 '],[' 2720 '],[' 3107 '],[' 3482 '],[' 3744 '],[' 4114 '],[' 4 '],[' 6 ']
Solving...,TA65, , ,[' 1291'],[' 656'],"[' 121.550s (Solving', ' 117.42s 1st Model', ' 1.82s Unsat', ' 10.38s)']",[' 121.266s'], ,[' 5346103 '],"[' 2204292  (Analyzed', ' 2059530)']","[' 5216     (Average', ' 394.85 Last', ' 15860)']",[' 1995.7  '],"[' 656      (Average Length', ' 312.57 Splits', ' 0)']","[' 2059530  (Deleted', ' 2020184)']","[' 99       (Ratio', '   0.00%)']","[' 1536     (Ratio', '   0.07%)']","[' 2059530  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2059530  (Average', '  1.97 Max', ' 2723 Sum', ' 4061156)']","[' 2059386  (Average', '  1.96 Max', ' 2723 Sum', ' 4044972 Ratio', '  99.60%)']","[' 144      (Average', ' 112.39 Max', ' 542 Sum', '  16184 Ratio', '   0.40%)']", ,[' 99526   '],[' 3938    '],[' 99143   '],[' 62640   '],"[' 187916   (Atom=Atom', ' 59700 Body=Body', ' 29388 Other', ' 98828)']",[' Yes'],"[' 4555     (Eliminated', '    0 Frozen', ' 4555)']","[' 67       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04656'],[' 0'], ,[' 101.017'],[' 0'],[' 1.89953'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.50509e+07'],[' 1.97951e+07'],[' 0'],[' 1.54948e+10'],[' 0'],[' 0'],[' 467 '],[' 983 '],[' 1228 '],[' 1523 '],[' 1975 '],[' 2548 '],[' 2854 '],[' 3244 '],[' 3630 '],[' 4107 '],[' 1 '],[' 9 ']
Solving...,TA66, , ,[' 1131'],[' 576'],"[' 212.834s (Solving', ' 208.75s 1st Model', ' 1.56s Unsat', ' 102.70s)']",[' 212.219s'], ,[' 8539997 '],"[' 5128141  (Analyzed', ' 5060875)']","[' 11642    (Average', ' 434.71 Last', ' 915)']",[' 1944.8  '],"[' 576      (Average Length', ' 277.26 Splits', ' 0)']","[' 5060875  (Deleted', ' 4973237)']","[' 105      (Ratio', '   0.00%)']","[' 1735     (Ratio', '   0.03%)']","[' 5060875  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5060875  (Average', '  1.46 Max', ' 2599 Sum', ' 7405763)']","[' 5060719  (Average', '  1.46 Max', ' 2599 Sum', ' 7396053 Ratio', '  99.87%)']","[' 156      (Average', ' 62.24 Max', ' 292 Sum', '   9710 Ratio', '   0.13%)']", ,[' 98680   '],[' 3776    '],[' 98233   '],[' 58790   '],"[' 176366   (Atom=Atom', ' 56012 Body=Body', ' 29226 Other', ' 91128)']",[' Yes'],"[' 4329     (Eliminated', '    0 Frozen', ' 4329)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.02625'],[' 0'], ,[' 174.795'],[' 0'],[' 3.45196'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.35695e+07'],[' 2.18709e+07'],[' 0'],[' 2.55327e+10'],[' 0'],[' 0'],[' 454 '],[' 858 '],[' 1325 '],[' 1619 '],[' 2056 '],[' 2523 '],[' 2944 '],[' 3306 '],[' 3699 '],[' 4304 '],[' 1 '],[' 9 ']
Solving...,TA67, , ,[' 1189'],[' 605'],"[' 409.498s (Solving', ' 405.75s 1st Model', ' 2.20s Unsat', ' 0.42s)']",[' 408.797s'], ,[' 31163722'],"[' 21333291 (Analyzed', ' 21318423)']","[' 40058    (Average', ' 532.19 Last', ' 466258)']",[' 1995.6  '],"[' 605      (Average Length', ' 279.87 Splits', ' 0)']","[' 21318423 (Deleted', ' 21041226)']","[' 73       (Ratio', '   0.00%)']","[' 1764     (Ratio', '   0.01%)']","[' 21318423 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21318423 (Average', '  1.39 Max', ' 2935 Sum', ' 29534347)']","[' 21318255 (Average', '  1.38 Max', ' 2935 Sum', ' 29516803 Ratio', '  99.94%)']","[' 168      (Average', ' 104.43 Max', ' 439 Sum', '  17544 Ratio', '   0.06%)']", ,[' 99776   '],[' 4236    '],[' 99333   '],[' 64761   '],"[' 194279   (Atom=Atom', ' 61523 Body=Body', ' 29686 Other', ' 103070)']",[' Yes'],"[' 4793     (Eliminated', '    0 Frozen', ' 4793)']","[' 248      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.987385'],[' 0'], ,[' 288.614'],[' 0'],[' 6.01732'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.88696e+07'],[' 4.07407e+07'],[' 0'],[' 3.38404e+10'],[' 0'],[' 0'],[' 683 '],[' 1115 '],[' 1423 '],[' 1600 '],[' 1940 '],[' 2509 '],[' 3073 '],[' 3289 '],[' 3642 '],[' 4201 '],[' 4 '],[' 6 ']
Solving...,TA68, , ,[' 923'],[' 472'],"[' 387.875s (Solving', ' 384.26s 1st Model', ' 1.48s Unsat', ' 81.55s)']",[' 387.078s'], ,[' 11486663'],"[' 7327885  (Analyzed', ' 7301320)']","[' 15824    (Average', ' 461.41 Last', ' 56886)']",[' 2061.6  '],"[' 472      (Average Length', ' 226.75 Splits', ' 0)']","[' 7301320  (Deleted', ' 7185900)']","[' 63       (Ratio', '   0.00%)']","[' 1553     (Ratio', '   0.02%)']","[' 7301320  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7301320  (Average', '  1.43 Max', ' 2646 Sum', ' 10435482)']","[' 7301166  (Average', '  1.43 Max', ' 2646 Sum', ' 10417787 Ratio', '  99.83%)']","[' 154      (Average', ' 114.90 Max', ' 358 Sum', '  17695 Ratio', '   0.17%)']", ,[' 99968   '],[' 3931    '],[' 99422   '],[' 60883   '],"[' 182645   (Atom=Atom', ' 57950 Body=Body', ' 29381 Other', ' 95314)']",[' Yes'],"[' 4385     (Eliminated', '    0 Frozen', ' 4385)']","[' 113      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.903959'],[' 0'], ,[' 336.523'],[' 0'],[' 6.10667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.0095e+07'],[' 2.316e+07'],[' 0'],[' 5.41058e+10'],[' 0'],[' 0'],[' 412 '],[' 816 '],[' 1401 '],[' 2092 '],[' 2273 '],[' 2583 '],[' 2965 '],[' 3318 '],[' 3765 '],[' 4196 '],[' 3 '],[' 7 ']
Solving...,TA69, , ,[' 1197'],[' 609'],"[' 156.967s (Solving', ' 152.83s 1st Model', ' 1.71s Unsat', ' 47.55s)']",[' 156.375s'], ,[' 5044844 '],"[' 2496514  (Analyzed', ' 2463269)']","[' 6525     (Average', ' 377.51 Last', ' 1336)']",[' 2030.5  '],"[' 609      (Average Length', ' 291.77 Splits', ' 0)']","[' 2463269  (Deleted', ' 2419324)']","[' 115      (Ratio', '   0.00%)']","[' 1653     (Ratio', '   0.07%)']","[' 2463269  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2463269  (Average', '  1.59 Max', ' 2689 Sum', ' 3916131)']","[' 2463114  (Average', '  1.58 Max', ' 2689 Sum', ' 3900157 Ratio', '  99.59%)']","[' 155      (Average', ' 103.06 Max', ' 478 Sum', '  15974 Ratio', '   0.41%)']", ,[' 99132   '],[' 3938    '],[' 98708   '],[' 61999   '],"[' 185993   (Atom=Atom', ' 59059 Body=Body', ' 29388 Other', ' 97546)']",[' Yes'],"[' 4514     (Eliminated', '    0 Frozen', ' 4514)']","[' 52       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04577'],[' 0'], ,[' 133.721'],[' 0'],[' 2.41501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.41777e+07'],[' 1.81118e+07'],[' 0'],[' 2.11913e+10'],[' 0'],[' 0'],[' 548 '],[' 970 '],[' 1415 '],[' 1835 '],[' 2283 '],[' 2582 '],[' 2989 '],[' 3519 '],[' 3839 '],[' 4254 '],[' 1 '],[' 9 ']
Solving...,TA70, , ,[' 1067'],[' 544'],"[' 346.730s (Solving', ' 343.18s 1st Model', ' 2.02s Unsat', ' 137.52s)']",[' 346.344s'], ,[' 15206310'],"[' 10185658 (Analyzed', ' 10156798)']","[' 21188    (Average', ' 479.37 Last', ' 4142)']",[' 2081.5  '],"[' 544      (Average Length', ' 262.19 Splits', ' 0)']","[' 10156798 (Deleted', ' 10006548)']","[' 85       (Ratio', '   0.00%)']","[' 2026     (Ratio', '   0.02%)']","[' 10156798 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10156798 (Average', '  1.37 Max', ' 2719 Sum', ' 13938202)']","[' 10156680 (Average', '  1.37 Max', ' 2719 Sum', ' 13933670 Ratio', '  99.97%)']","[' 118      (Average', ' 38.41 Max', ' 428 Sum', '   4532 Ratio', '   0.03%)']", ,[' 99892   '],[' 4064    '],[' 99413   '],[' 62854   '],"[' 188558   (Atom=Atom', ' 59788 Body=Body', ' 29514 Other', ' 99256)']",[' Yes'],"[' 4585     (Eliminated', '    0 Frozen', ' 4585)']","[' 76       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.955677'],[' 0'], ,[' 282.406'],[' 0'],[' 5.75809'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.90683e+07'],[' 2.58148e+07'],[' 0'],[' 4.05283e+10'],[' 0'],[' 0'],[' 499 '],[' 996 '],[' 1367 '],[' 1974 '],[' 2200 '],[' 2620 '],[' 2922 '],[' 3314 '],[' 3771 '],[' 4317 '],[' 2 '],[' 8 ']
