Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 8381+'],[' 4193'],"[' 1010.481s (Solving', ' 962.69s 1st Model', ' 838.61s Unsat', ' 0.00s)']",[' 1006.891s'], ,[' 542819474'],"[' 2283129  (Analyzed', ' 1614330)']","[' 7451     (Average', ' 216.66 Last', ' 189277)']",[' 12149.6 '],"[' 4193     (Average Length', ' 2051.81 Splits', ' 0)']","[' 1614330  (Deleted', ' 1542727)']","[' 750      (Ratio', '   0.05%)']","[' 58527    (Ratio', '   3.63%)']","[' 1614330  (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1614330  (Average', ' 309.89 Max', ' 14978 Sum', ' 500272126)']","[' 1613931  (Average', ' 309.43 Max', ' 14978 Sum', ' 499523249 Ratio', '  99.85%)']","[' 399      (Average', ' 1876.88 Max', ' 3972 Sum', ' 748877 Ratio', '   0.15%)']", ,[' 130559  '],[' 18119   '],[' 133530  '],[' 86835   '],"[' 260501   (Atom=Atom', ' 69714 Body=Body', ' 43569 Other', ' 147218)']",[' Yes'],"[' 22090    (Eliminated', '    0 Frozen', ' 22090)']","[' 5470     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.24907'],[' 0'], ,[' 343.178'],[' 0'],[' 35.425'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5045e+09'],[' 1.36816e+09'],[' 0'],[' 8.64169e+09'],[' 0'],[' 0'],[' 1831 '],[' 3653 '],[' 2 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 8813+'],[' 4409'],"[' 1011.090s (Solving', ' 963.08s 1st Model', ' 791.97s Unsat', ' 0.00s)']",[' 1008.438s'], ,[' 534172331'],"[' 2180322  (Analyzed', ' 1309155)']","[' 6789     (Average', ' 192.83 Last', ' 143218)']",[' 11825.7 '],"[' 4409     (Average Length', ' 2158.39 Splits', ' 0)']","[' 1309155  (Deleted', ' 1242115)']","[' 484      (Ratio', '   0.04%)']","[' 60152    (Ratio', '   4.59%)']","[' 1309155  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1309155  (Average', ' 375.30 Max', ' 13762 Sum', ' 491323203)']","[' 1308717  (Average', ' 374.59 Max', ' 13031 Sum', ' 490398398 Ratio', '  99.81%)']","[' 438      (Average', ' 2111.43 Max', ' 4099 Sum', ' 924805 Ratio', '   0.19%)']", ,[' 131044  '],[' 18240   '],[' 134144  '],[' 87441   '],"[' 262319   (Atom=Atom', ' 70199 Body=Body', ' 43690 Other', ' 148430)']",[' Yes'],"[' 22340    (Eliminated', '    0 Frozen', ' 22340)']","[' 5996     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.52387'],[' 0'], ,[' 335.524'],[' 0'],[' 34.5749'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55641e+09'],[' 1.42949e+09'],[' 0'],[' 8.1236e+09'],[' 0'],[' 0'],[' 1809 '],[' 3694 '],[' 2 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 8847+'],[' 4426'],"[' 1011.744s (Solving', ' 961.49s 1st Model', ' 733.26s Unsat', ' 0.00s)']",[' 1009.266s'], ,[' 532796623'],"[' 2389937  (Analyzed', ' 1454203)']","[' 6976     (Average', ' 208.46 Last', ' 261340)']",[' 12158.1 '],"[' 4426     (Average Length', ' 2161.62 Splits', ' 0)']","[' 1454203  (Deleted', ' 1389206)']","[' 396      (Ratio', '   0.03%)']","[' 58517    (Ratio', '   4.02%)']","[' 1454203  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1454203  (Average', ' 335.73 Max', ' 13936 Sum', ' 488222027)']","[' 1453760  (Average', ' 335.13 Max', ' 13543 Sum', ' 487348930 Ratio', '  99.82%)']","[' 443      (Average', ' 1970.87 Max', ' 4120 Sum', ' 873097 Ratio', '   0.18%)']", ,[' 130675  '],[' 18062   '],[' 133803  '],[' 86894   '],"[' 260678   (Atom=Atom', ' 69830 Body=Body', ' 43512 Other', ' 147336)']",[' Yes'],"[' 22190    (Eliminated', '    0 Frozen', ' 22190)']","[' 5674     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.84525'],[' 0'], ,[' 340.506'],[' 0'],[' 34.6682'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54893e+09'],[' 1.41618e+09'],[' 0'],[' 8.4394e+09'],[' 0'],[' 0'],[' 1676 '],[' 3437 '],[' 2 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 8245+'],[' 4125'],"[' 1010.824s (Solving', ' 961.37s 1st Model', ' 818.89s Unsat', ' 0.00s)']",[' 1007.250s'], ,[' 537846738'],"[' 2093485  (Analyzed', ' 1468336)']","[' 6950     (Average', ' 211.27 Last', ' 231434)']",[' 12576.7 '],"[' 4125     (Average Length', ' 2025.86 Splits', ' 0)']","[' 1468336  (Deleted', ' 1398367)']","[' 479      (Ratio', '   0.03%)']","[' 61250    (Ratio', '   4.17%)']","[' 1468336  (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1468336  (Average', ' 336.48 Max', ' 13165 Sum', ' 494061610)']","[' 1467925  (Average', ' 336.05 Max', ' 12958 Sum', ' 493437293 Ratio', '  99.87%)']","[' 411      (Average', ' 1519.02 Max', ' 3855 Sum', ' 624317 Ratio', '   0.13%)']", ,[' 130556  '],[' 18146   '],[' 133501  '],[' 86859   '],"[' 260573   (Atom=Atom', ' 69711 Body=Body', ' 43596 Other', ' 147266)']",[' Yes'],"[' 22091    (Eliminated', '    0 Frozen', ' 22091)']","[' 5834     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.78794'],[' 0'], ,[' 336.719'],[' 0'],[' 34.9105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55769e+09'],[' 1.42648e+09'],[' 0'],[' 8.24187e+09'],[' 0'],[' 0'],[' 1763 '],[' 3486 '],[' 2 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 8911+'],[' 4458'],"[' 1013.290s (Solving', ' 953.19s 1st Model', ' 856.49s Unsat', ' 0.00s)']",[' 1010.000s'], ,[' 468267670'],"[' 1650763  (Analyzed', ' 1165259)']","[' 5782     (Average', ' 201.53 Last', ' 148679)']",[' 12119.0 '],"[' 4458     (Average Length', ' 2185.91 Splits', ' 0)']","[' 1165259  (Deleted', ' 1104303)']","[' 531      (Ratio', '   0.05%)']","[' 54406    (Ratio', '   4.67%)']","[' 1165259  (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1165259  (Average', ' 364.02 Max', ' 13260 Sum', ' 424177039)']","[' 1164837  (Average', ' 363.27 Max', ' 13260 Sum', ' 423298682 Ratio', '  99.79%)']","[' 422      (Average', ' 2081.41 Max', ' 4193 Sum', ' 878357 Ratio', '   0.21%)']", ,[' 130896  '],[' 18107   '],[' 134093  '],[' 87160   '],"[' 261476   (Atom=Atom', ' 70051 Body=Body', ' 43557 Other', ' 147868)']",[' Yes'],"[' 22304    (Eliminated', '    0 Frozen', ' 22304)']","[' 5353     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5031'],[' 0'], ,[' 328.788'],[' 0'],[' 34.5884'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31226e+09'],[' 1.20244e+09'],[' 0'],[' 6.27394e+09'],[' 0'],[' 0'],[' 1705 '],[' 3553 '],[' 2 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 8777+'],[' 4391'],"[' 1011.913s (Solving', ' 959.50s 1st Model', ' 815.42s Unsat', ' 0.00s)']",[' 1005.078s'], ,[' 506891452'],"[' 2141790  (Analyzed', ' 1303651)']","[' 6601     (Average', ' 197.49 Last', ' 98852)']",[' 12325.4 '],"[' 4391     (Average Length', ' 2159.35 Splits', ' 0)']","[' 1303651  (Deleted', ' 1235003)']","[' 490      (Ratio', '   0.04%)']","[' 58939    (Ratio', '   4.52%)']","[' 1303651  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1303651  (Average', ' 354.39 Max', ' 13888 Sum', ' 462002320)']","[' 1303191  (Average', ' 353.75 Max', ' 13888 Sum', ' 461168162 Ratio', '  99.82%)']","[' 460      (Average', ' 1813.39 Max', ' 4111 Sum', ' 834158 Ratio', '   0.18%)']", ,[' 130978  '],[' 18186   '],[' 134120  '],[' 87321   '],"[' 261959   (Atom=Atom', ' 70133 Body=Body', ' 43636 Other', ' 148190)']",[' Yes'],"[' 22328    (Eliminated', '    0 Frozen', ' 22328)']","[' 5802     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.0641'],[' 0'], ,[' 336.256'],[' 0'],[' 34.3823'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49312e+09'],[' 1.36991e+09'],[' 0'],[' 7.77609e+09'],[' 0'],[' 0'],[' 1721 '],[' 3586 '],[' 2 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 9629+'],[' 4817'],"[' 1013.501s (Solving', ' 952.58s 1st Model', ' 828.58s Unsat', ' 0.00s)']",[' 1004.688s'], ,[' 522472239'],"[' 1753256  (Analyzed', ' 1250937)']","[' 6218     (Average', ' 201.18 Last', ' 139124)']",[' 12675.5 '],"[' 4817     (Average Length', ' 2359.46 Splits', ' 0)']","[' 1250937  (Deleted', ' 1182712)']","[' 638      (Ratio', '   0.05%)']","[' 58090    (Ratio', '   4.64%)']","[' 1250937  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1250937  (Average', ' 378.09 Max', ' 13961 Sum', ' 472965647)']","[' 1250469  (Average', ' 377.34 Max', ' 13961 Sum', ' 472034499 Ratio', '  99.80%)']","[' 468      (Average', ' 1989.63 Max', ' 4508 Sum', ' 931148 Ratio', '   0.20%)']", ,[' 131160  '],[' 18094   '],[' 134689  '],[' 87411   '],"[' 262229   (Atom=Atom', ' 70315 Body=Body', ' 43544 Other', ' 148370)']",[' Yes'],"[' 22623    (Eliminated', '    0 Frozen', ' 22623)']","[' 5965     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0628'],[' 0'], ,[' 328.375'],[' 0'],[' 34.5743'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44762e+09'],[' 1.32826e+09'],[' 0'],[' 7.2822e+09'],[' 0'],[' 0'],[' 1817 '],[' 3605 '],[' 2 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 6989+'],[' 3497'],"[' 1009.857s (Solving', ' 967.22s 1st Model', ' 764.44s Unsat', ' 0.00s)']",[' 1004.141s'], ,[' 522735044'],"[' 1820300  (Analyzed', ' 1363391)']","[' 6016     (Average', ' 226.63 Last', ' 199934)']",[' 11694.5 '],"[' 3497     (Average Length', ' 1721.93 Splits', ' 0)']","[' 1363391  (Deleted', ' 1292617)']","[' 603      (Ratio', '   0.04%)']","[' 60737    (Ratio', '   4.45%)']","[' 1363391  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1363391  (Average', ' 357.86 Max', ' 14741 Sum', ' 487904929)']","[' 1362899  (Average', ' 357.31 Max', ' 14741 Sum', ' 487151009 Ratio', '  99.85%)']","[' 492      (Average', ' 1532.36 Max', ' 3366 Sum', ' 753920 Ratio', '   0.15%)']", ,[' 129943  '],[' 18131   '],[' 132312  '],[' 86231   '],"[' 258689   (Atom=Atom', ' 69098 Body=Body', ' 43581 Other', ' 146010)']",[' Yes'],"[' 21500    (Eliminated', '    0 Frozen', ' 21500)']","[' 5887     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.32712'],[' 0'], ,[' 338.007'],[' 0'],[' 35.1959'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53986e+09'],[' 1.4147e+09'],[' 0'],[' 7.7944e+09'],[' 0'],[' 0'],[' 1801 '],[' 3539 '],[' 2 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 7521+'],[' 3763'],"[' 1010.097s (Solving', ' 966.07s 1st Model', ' 647.74s Unsat', ' 0.00s)']",[' 1005.984s'], ,[' 527682907'],"[' 2056778  (Analyzed', ' 1447194)']","[' 5867     (Average', ' 246.67 Last', ' 203026)']",[' 12062.9 '],"[' 3763     (Average Length', ' 1847.02 Splits', ' 0)']","[' 1447194  (Deleted', ' 1374004)']","[' 626      (Ratio', '   0.04%)']","[' 63056    (Ratio', '   4.36%)']","[' 1447194  (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1447194  (Average', ' 337.95 Max', ' 14738 Sum', ' 489077607)']","[' 1446764  (Average', ' 337.49 Max', ' 13722 Sum', ' 488406609 Ratio', '  99.86%)']","[' 430      (Average', ' 1560.46 Max', ' 3590 Sum', ' 670998 Ratio', '   0.14%)']", ,[' 130312  '],[' 18176   '],[' 132901  '],[' 86645   '],"[' 259931   (Atom=Atom', ' 69467 Body=Body', ' 43626 Other', ' 146838)']",[' Yes'],"[' 21765    (Eliminated', '    0 Frozen', ' 21765)']","[' 5723     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.80022'],[' 0'], ,[' 339.019'],[' 0'],[' 34.8091'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53171e+09'],[' 1.4088e+09'],[' 0'],[' 8.06988e+09'],[' 0'],[' 0'],[' 1977 '],[' 3897 '],[' 2 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 8781+'],[' 4393'],"[' 1011.548s (Solving', ' 960.30s 1st Model', ' 550.46s Unsat', ' 0.00s)']",[' 1007.766s'], ,[' 526207877'],"[' 1990962  (Analyzed', ' 1520887)']","[' 5997     (Average', ' 253.61 Last', ' 154935)']",[' 12169.1 '],"[' 4393     (Average Length', ' 2143.68 Splits', ' 0)']","[' 1520887  (Deleted', ' 1449087)']","[' 783      (Ratio', '   0.05%)']","[' 62845    (Ratio', '   4.13%)']","[' 1520887  (Average Length', '   25.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1520887  (Average', ' 317.21 Max', ' 13830 Sum', ' 482441073)']","[' 1520400  (Average', ' 316.58 Max', ' 13047 Sum', ' 481479110 Ratio', '  99.80%)']","[' 487      (Average', ' 1975.28 Max', ' 4099 Sum', ' 961963 Ratio', '   0.20%)']", ,[' 131012  '],[' 18188   '],[' 134121  '],[' 87357   '],"[' 262067   (Atom=Atom', ' 70167 Body=Body', ' 43638 Other', ' 148262)']",[' Yes'],"[' 22297    (Eliminated', '    0 Frozen', ' 22297)']","[' 6515     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.1392'],[' 0'], ,[' 336.873'],[' 0'],[' 34.9242'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49097e+09'],[' 1.36637e+09'],[' 0'],[' 8.17995e+09'],[' 0'],[' 0'],[' 1975 '],[' 3842 '],[' 2 '],[' 0 ']
