Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 4615+'],[' 2310'],"[' 1004.053s (Solving', ' 986.17s 1st Model', ' 885.24s Unsat', ' 0.00s)']",[' 1001.109s'], ,[' 409514427'],"[' 3754400  (Analyzed', ' 2704592)']","[' 9245     (Average', ' 292.55 Last', ' 219876)']",[' 6075.7  '],"[' 2310     (Average Length', ' 1123.82 Splits', ' 0)']","[' 2704592  (Deleted', ' 2629340)']","[' 419      (Ratio', '   0.02%)']","[' 63150    (Ratio', '   2.33%)']","[' 2704592  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2704592  (Average', ' 146.83 Max', ' 6743 Sum', ' 397128076)']","[' 2704088  (Average', ' 146.63 Max', ' 5639 Sum', ' 396571660 Ratio', '  99.86%)']","[' 504      (Average', ' 1104.00 Max', ' 1104 Sum', ' 556416 Ratio', '   0.14%)']", ,[' 94664   '],[' 9792    '],[' 96065   '],[' 58301   '],"[' 174899   (Atom=Atom', ' 49257 Body=Body', ' 28867 Other', ' 96775)']",[' Yes'],"[' 11943    (Eliminated', '    0 Frozen', ' 11943)']","[' 7166     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.75225'],[' 0'], ,[' 410.436'],[' 0'],[' 27.1617'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65677e+09'],[' 1.49387e+09'],[' 0'],[' 1.95098e+10'],[' 0'],[' 0'],[' 1624 '],[' 3172 '],[' 2 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 4475+'],[' 2240'],"[' 1003.878s (Solving', ' 987.14s 1st Model', ' 933.66s Unsat', ' 0.00s)']",[' 1001.266s'], ,[' 394278869'],"[' 3780723  (Analyzed', ' 2634288)']","[' 9343     (Average', ' 281.95 Last', ' 424885)']",[' 6008.8  '],"[' 2240     (Average Length', ' 1100.79 Splits', ' 0)']","[' 2634288  (Deleted', ' 2557097)']","[' 391      (Ratio', '   0.01%)']","[' 64353    (Ratio', '   2.44%)']","[' 2634288  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2634288  (Average', ' 145.10 Max', ' 6731 Sum', ' 382232396)']","[' 2633808  (Average', ' 144.89 Max', ' 5564 Sum', ' 381672236 Ratio', '  99.85%)']","[' 480      (Average', ' 1167.00 Max', ' 1167 Sum', ' 560160 Ratio', '   0.15%)']", ,[' 94750   '],[' 9844    '],[' 96121   '],[' 58439   '],"[' 175313   (Atom=Atom', ' 49343 Body=Body', ' 28919 Other', ' 97051)']",[' Yes'],"[' 11965    (Eliminated', '    0 Frozen', ' 11965)']","[' 7301     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.63124'],[' 0'], ,[' 409.924'],[' 0'],[' 26.6879'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60974e+09'],[' 1.45193e+09'],[' 0'],[' 1.95753e+10'],[' 0'],[' 0'],[' 1617 '],[' 3179 '],[' 2 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 4883+'],[' 2444'],"[' 1004.074s (Solving', ' 984.99s 1st Model', ' 942.54s Unsat', ' 0.00s)']",[' 1001.797s'], ,[' 411549280'],"[' 3886711  (Analyzed', ' 2640952)']","[' 9521     (Average', ' 277.38 Last', ' 196454)']",[' 6138.6  '],"[' 2444     (Average Length', ' 1193.27 Splits', ' 0)']","[' 2640952  (Deleted', ' 2566556)']","[' 354      (Ratio', '   0.01%)']","[' 63018    (Ratio', '   2.39%)']","[' 2640952  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2640952  (Average', ' 150.79 Max', ' 6729 Sum', ' 398236014)']","[' 2640500  (Average', ' 150.60 Max', ' 5584 Sum', ' 397718474 Ratio', '  99.87%)']","[' 452      (Average', ' 1145.00 Max', ' 1145 Sum', ' 517540 Ratio', '   0.13%)']", ,[' 95056   '],[' 9878    '],[' 96591   '],[' 58779   '],"[' 176333   (Atom=Atom', ' 49649 Body=Body', ' 28953 Other', ' 97731)']",[' Yes'],"[' 12163    (Eliminated', '    0 Frozen', ' 12163)']","[' 6772     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.14208'],[' 0'], ,[' 401.293'],[' 0'],[' 28.0171'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63586e+09'],[' 1.47372e+09'],[' 0'],[' 1.83958e+10'],[' 0'],[' 0'],[' 1544 '],[' 3074 '],[' 2 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 4749+'],[' 2377'],"[' 1004.551s (Solving', ' 986.22s 1st Model', ' 887.71s Unsat', ' 0.00s)']",[' 1002.422s'], ,[' 397641956'],"[' 3657867  (Analyzed', ' 2657742)']","[' 8711     (Average', ' 305.10 Last', ' 322429)']",[' 6028.8  '],"[' 2377     (Average Length', ' 1163.90 Splits', ' 0)']","[' 2657742  (Deleted', ' 2580979)']","[' 387      (Ratio', '   0.01%)']","[' 65671    (Ratio', '   2.47%)']","[' 2657742  (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2657742  (Average', ' 144.95 Max', ' 6586 Sum', ' 385233043)']","[' 2657250  (Average', ' 144.72 Max', ' 6200 Sum', ' 384625915 Ratio', '  99.84%)']","[' 492      (Average', ' 1234.00 Max', ' 1234 Sum', ' 607128 Ratio', '   0.16%)']", ,[' 94977   '],[' 9874    '],[' 96469   '],[' 58696   '],"[' 176084   (Atom=Atom', ' 49570 Body=Body', ' 28949 Other', ' 97565)']",[' Yes'],"[' 12116    (Eliminated', '    0 Frozen', ' 12116)']","[' 7651     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.86136'],[' 0'], ,[' 410.55'],[' 0'],[' 26.8589'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58661e+09'],[' 1.42823e+09'],[' 0'],[' 1.99027e+10'],[' 0'],[' 0'],[' 1635 '],[' 3110 '],[' 2 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 4143+'],[' 2074'],"[' 1003.421s (Solving', ' 987.81s 1st Model', ' 824.66s Unsat', ' 0.00s)']",[' 1000.703s'], ,[' 390882900'],"[' 3751004  (Analyzed', ' 2665405)']","[' 9043     (Average', ' 294.75 Last', ' 197368)']",[' 5854.2  '],"[' 2074     (Average Length', ' 1019.69 Splits', ' 0)']","[' 2665405  (Deleted', ' 2591483)']","[' 457      (Ratio', '   0.02%)']","[' 63564    (Ratio', '   2.38%)']","[' 2665405  (Average Length', '   22.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2665405  (Average', ' 142.51 Max', ' 6800 Sum', ' 379851252)']","[' 2664910  (Average', ' 142.31 Max', ' 5714 Sum', ' 379313682 Ratio', '  99.86%)']","[' 495      (Average', ' 1086.00 Max', ' 1086 Sum', ' 537570 Ratio', '   0.14%)']", ,[' 94380   '],[' 9776    '],[' 95616   '],[' 58001   '],"[' 173999   (Atom=Atom', ' 48973 Body=Body', ' 28851 Other', ' 96175)']",[' Yes'],"[' 11762    (Eliminated', '    0 Frozen', ' 11762)']","[' 6907     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.33473'],[' 0'], ,[' 410.285'],[' 0'],[' 26.6677'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59118e+09'],[' 1.433e+09'],[' 0'],[' 2.00735e+10'],[' 0'],[' 0'],[' 1566 '],[' 3155 '],[' 2 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 4547+'],[' 2276'],"[' 1004.523s (Solving', ' 986.84s 1st Model', ' 945.54s Unsat', ' 0.00s)']",[' 1001.578s'], ,[' 400900584'],"[' 3880917  (Analyzed', ' 2856179)']","[' 9042     (Average', ' 315.88 Last', ' 541578)']",[' 6098.9  '],"[' 2276     (Average Length', ' 1112.50 Splits', ' 0)']","[' 2856179  (Deleted', ' 2778185)']","[' 430      (Ratio', '   0.02%)']","[' 63698    (Ratio', '   2.23%)']","[' 2856179  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2856179  (Average', ' 136.04 Max', ' 6643 Sum', ' 388545907)']","[' 2855732  (Average', ' 135.86 Max', ' 6234 Sum', ' 388043926 Ratio', '  99.87%)']","[' 447      (Average', ' 1123.00 Max', ' 1123 Sum', ' 501981 Ratio', '   0.13%)']", ,[' 94780   '],[' 9842    '],[' 96160   '],[' 58467   '],"[' 175397   (Atom=Atom', ' 49373 Body=Body', ' 28917 Other', ' 97107)']",[' Yes'],"[' 11972    (Eliminated', '    0 Frozen', ' 11972)']","[' 7290     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.75859'],[' 0'], ,[' 407.703'],[' 0'],[' 27.2468'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62011e+09'],[' 1.4607e+09'],[' 0'],[' 1.89768e+10'],[' 0'],[' 0'],[' 1621 '],[' 3120 '],[' 2 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 4361+'],[' 2183'],"[' 1004.109s (Solving', ' 987.32s 1st Model', ' 886.68s Unsat', ' 0.00s)']",[' 1001.219s'], ,[' 391870562'],"[' 3782532  (Analyzed', ' 2742579)']","[' 9083     (Average', ' 301.95 Last', ' 434663)']",[' 5983.5  '],"[' 2183     (Average Length', ' 1069.88 Splits', ' 0)']","[' 2742579  (Deleted', ' 2664408)']","[' 424      (Ratio', '   0.02%)']","[' 64859    (Ratio', '   2.36%)']","[' 2742579  (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2742579  (Average', ' 138.64 Max', ' 6941 Sum', ' 380223313)']","[' 2742044  (Average', ' 138.41 Max', ' 6455 Sum', ' 379593083 Ratio', '  99.83%)']","[' 535      (Average', ' 1178.00 Max', ' 1178 Sum', ' 630230 Ratio', '   0.17%)']", ,[' 94765   '],[' 9868    '],[' 96079   '],[' 58478   '],"[' 175430   (Atom=Atom', ' 49358 Body=Body', ' 28943 Other', ' 97129)']",[' Yes'],"[' 11932    (Eliminated', '    0 Frozen', ' 11932)']","[' 7242     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.73193'],[' 0'], ,[' 416.263'],[' 0'],[' 26.7735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5424e+09'],[' 1.38724e+09'],[' 0'],[' 1.98283e+10'],[' 0'],[' 0'],[' 1762 '],[' 3357 '],[' 2 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 4561+'],[' 2283'],"[' 1004.350s (Solving', ' 986.15s 1st Model', ' 935.03s Unsat', ' 0.00s)']",[' 1000.063s'], ,[' 393435962'],"[' 3582819  (Analyzed', ' 2434297)']","[' 8476     (Average', ' 287.20 Last', ' 316661)']",[' 6126.4  '],"[' 2283     (Average Length', ' 1120.39 Splits', ' 0)']","[' 2434297  (Deleted', ' 2360663)']","[' 346      (Ratio', '   0.01%)']","[' 61003    (Ratio', '   2.51%)']","[' 2434297  (Average Length', '   22.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2434297  (Average', ' 156.50 Max', ' 6801 Sum', ' 380964311)']","[' 2433785  (Average', ' 156.27 Max', ' 5696 Sum', ' 380398551 Ratio', '  99.85%)']","[' 512      (Average', ' 1105.00 Max', ' 1105 Sum', ' 565760 Ratio', '   0.15%)']", ,[' 94823   '],[' 9854    '],[' 96248   '],[' 58522   '],"[' 175562   (Atom=Atom', ' 49416 Body=Body', ' 28929 Other', ' 97217)']",[' Yes'],"[' 12029    (Eliminated', '    0 Frozen', ' 12029)']","[' 7172     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.99547'],[' 0'], ,[' 404.834'],[' 0'],[' 27.5388'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55791e+09'],[' 1.40657e+09'],[' 0'],[' 1.78084e+10'],[' 0'],[' 0'],[' 1652 '],[' 3229 '],[' 2 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 4077+'],[' 2041'],"[' 1004.452s (Solving', ' 988.00s 1st Model', ' 871.76s Unsat', ' 0.00s)']",[' 1000.672s'], ,[' 369232162'],"[' 3449028  (Analyzed', ' 2335023)']","[' 8041     (Average', ' 290.39 Last', ' 218136)']",[' 5940.9  '],"[' 2041     (Average Length', ' 998.26 Splits', ' 0)']","[' 2335023  (Deleted', ' 2262820)']","[' 353      (Ratio', '   0.02%)']","[' 61951    (Ratio', '   2.65%)']","[' 2335023  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2335023  (Average', ' 153.35 Max', ' 6522 Sum', ' 358082683)']","[' 2334541  (Average', ' 153.15 Max', ' 5539 Sum', ' 357608877 Ratio', '  99.87%)']","[' 482      (Average', ' 983.00 Max', ' 983 Sum', ' 473806 Ratio', '   0.13%)']", ,[' 94365   '],[' 9782    '],[' 95565   '],[' 57992   '],"[' 173972   (Atom=Atom', ' 48958 Body=Body', ' 28857 Other', ' 96157)']",[' Yes'],"[' 11732    (Eliminated', '    0 Frozen', ' 11732)']","[' 6894     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.54263'],[' 0'], ,[' 404.506'],[' 0'],[' 26.7161'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48111e+09'],[' 1.33742e+09'],[' 0'],[' 1.64613e+10'],[' 0'],[' 0'],[' 1421 '],[' 3101 '],[' 2 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 4095+'],[' 2050'],"[' 1006.338s (Solving', ' 979.90s 1st Model', ' 910.66s Unsat', ' 0.00s)']",[' 994.344s'], ,[' 253832933'],"[' 2408087  (Analyzed', ' 1312190)']","[' 5413     (Average', ' 242.41 Last', ' 195486)']",[' 6042.9  '],"[' 2050     (Average Length', ' 1005.50 Splits', ' 0)']","[' 1312190  (Deleted', ' 1249379)']","[' 231      (Ratio', '   0.02%)']","[' 51961    (Ratio', '   3.96%)']","[' 1312190  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1312190  (Average', ' 184.92 Max', ' 6795 Sum', ' 242650063)']","[' 1311706  (Average', ' 184.54 Max', ' 6145 Sum', ' 242147187 Ratio', '  99.79%)']","[' 484      (Average', ' 1039.00 Max', ' 1039 Sum', ' 502876 Ratio', '   0.21%)']", ,[' 94470   '],[' 9814    '],[' 95681   '],[' 58129   '],"[' 174383   (Atom=Atom', ' 49063 Body=Body', ' 28889 Other', ' 96431)']",[' Yes'],"[' 11775    (Eliminated', '    0 Frozen', ' 11775)']","[' 5747     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.49445'],[' 0'], ,[' 404.386'],[' 0'],[' 27.0517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.52118e+08'],[' 7.68109e+08'],[' 0'],[' 9.8287e+09'],[' 0'],[' 0'],[' 1613 '],[' 3195 '],[' 2 '],[' 0 ']
