Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 5457+'],[' 2732'],"[' 1004.471s (Solving', ' 979.73s 1st Model', ' 842.69s Unsat', ' 0.00s)']",[' 999.438s'], ,[' 296723994'],"[' 4703502  (Analyzed', ' 4042190)']","[' 12081    (Average', ' 334.59 Last', ' 623278)']",[' 4973.7  '],"[' 2732     (Average Length', ' 1303.38 Splits', ' 0)']","[' 4042190  (Deleted', ' 3976368)']","[' 306      (Ratio', '   0.01%)']","[' 38283    (Ratio', '   0.95%)']","[' 4042190  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4042190  (Average', ' 70.85 Max', ' 4640 Sum', ' 286383952)']","[' 4041500  (Average', ' 70.65 Max', ' 4640 Sum', ' 285600491 Ratio', '  99.73%)']","[' 690      (Average', ' 1135.45 Max', ' 2847 Sum', ' 783461 Ratio', '   0.27%)']", ,[' 116091  '],[' 9021    '],[' 117581  '],[' 68110   '],"[' 204326   (Atom=Atom', ' 60087 Body=Body', ' 34471 Other', ' 109768)']",[' Yes'],"[' 11511    (Eliminated', '    0 Frozen', ' 11511)']","[' 6043     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.78245'],[' 0'], ,[' 551.149'],[' 0'],[' 24.4584'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00255e+09'],[' 8.60359e+08'],[' 0'],[' 3.68726e+10'],[' 0'],[' 0'],[' 1121 '],[' 2295 '],[' 3293 '],[' 3 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 5101+'],[' 2554'],"[' 1005.425s (Solving', ' 977.70s 1st Model', ' 710.25s Unsat', ' 0.00s)']",[' 998.531s'], ,[' 278367396'],"[' 4433025  (Analyzed', ' 3841389)']","[' 11593    (Average', ' 331.35 Last', ' 714109)']",[' 4876.3  '],"[' 2554     (Average Length', ' 1201.19 Splits', ' 0)']","[' 3841389  (Deleted', ' 3777048)']","[' 274      (Ratio', '   0.01%)']","[' 37279    (Ratio', '   0.97%)']","[' 3841389  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3841389  (Average', ' 69.94 Max', ' 4758 Sum', ' 268672688)']","[' 3840751  (Average', ' 69.75 Max', ' 4758 Sum', ' 267954581 Ratio', '  99.73%)']","[' 638      (Average', ' 1125.56 Max', ' 2807 Sum', ' 718107 Ratio', '   0.27%)']", ,[' 116214  '],[' 9044    '],[' 117502  '],[' 68323   '],"[' 204965   (Atom=Atom', ' 60277 Body=Body', ' 34494 Other', ' 110194)']",[' Yes'],"[' 11332    (Eliminated', '    0 Frozen', ' 11332)']","[' 5663     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.35866'],[' 0'], ,[' 544.282'],[' 0'],[' 23.8941'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.60818e+08'],[' 8.2741e+08'],[' 0'],[' 2.67035e+10'],[' 0'],[' 0'],[' 1223 '],[' 2311 '],[' 3418 '],[' 3 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 5717+'],[' 2861'],"[' 1008.856s (Solving', ' 973.88s 1st Model', ' 865.67s Unsat', ' 0.00s)']",[' 993.219s'], ,[' 247711360'],"[' 3717507  (Analyzed', ' 2939651)']","[' 10407    (Average', ' 282.47 Last', ' 149631)']",[' 4941.5  '],"[' 2861     (Average Length', ' 1339.72 Splits', ' 0)']","[' 2939651  (Deleted', ' 2883564)']","[' 236      (Ratio', '   0.01%)']","[' 35193    (Ratio', '   1.20%)']","[' 2939651  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2939651  (Average', ' 80.48 Max', ' 4912 Sum', ' 236582294)']","[' 2939310  (Average', ' 80.36 Max', ' 4912 Sum', ' 236243104 Ratio', '  99.86%)']","[' 341      (Average', ' 994.69 Max', ' 996 Sum', ' 339190 Ratio', '   0.14%)']", ,[' 116326  '],[' 9036    '],[' 117858  '],[' 68295   '],"[' 204881   (Atom=Atom', ' 60257 Body=Body', ' 34486 Other', ' 110138)']",[' Yes'],"[' 11568    (Eliminated', '    0 Frozen', ' 11568)']","[' 2844     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.47075'],[' 0'], ,[' 515.749'],[' 0'],[' 24.8399'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.84187e+08'],[' 6.70861e+08'],[' 0'],[' 2.30364e+10'],[' 0'],[' 0'],[' 1142 '],[' 2125 '],[' 3099 '],[' 3 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 5005+'],[' 2506'],"[' 1006.055s (Solving', ' 976.45s 1st Model', ' 611.57s Unsat', ' 0.00s)']",[' 995.453s'], ,[' 238277971'],"[' 4626967  (Analyzed', ' 3857848)']","[' 10188    (Average', ' 378.67 Last', ' 180271)']",[' 4876.7  '],"[' 2506     (Average Length', ' 1180.06 Splits', ' 0)']","[' 3857848  (Deleted', ' 3792593)']","[' 267      (Ratio', '   0.01%)']","[' 36232    (Ratio', '   0.94%)']","[' 3857848  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3857848  (Average', ' 59.22 Max', ' 4637 Sum', ' 228470757)']","[' 3857164  (Average', ' 59.02 Max', ' 4637 Sum', ' 227672789 Ratio', '  99.65%)']","[' 684      (Average', ' 1166.62 Max', ' 1505 Sum', ' 797968 Ratio', '   0.35%)']", ,[' 115959  '],[' 9018    '],[' 117191  '],[' 67843   '],"[' 203525   (Atom=Atom', ' 59823 Body=Body', ' 34468 Other', ' 109234)']",[' Yes'],"[' 11250    (Eliminated', '    0 Frozen', ' 11250)']","[' 5752     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.82014'],[' 0'], ,[' 530.801'],[' 0'],[' 23.7741'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.42688e+08'],[' 6.3376e+08'],[' 0'],[' 2.42211e+10'],[' 0'],[' 0'],[' 1228 '],[' 2240 '],[' 3223 '],[' 3 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 5241+'],[' 2623'],"[' 1008.696s (Solving', ' 976.16s 1st Model', ' 903.74s Unsat', ' 0.00s)']",[' 997.250s'], ,[' 250009795'],"[' 3705464  (Analyzed', ' 2870917)']","[' 9255     (Average', ' 310.20 Last', ' 474360)']",[' 4780.6  '],"[' 2623     (Average Length', ' 1244.34 Splits', ' 0)']","[' 2870917  (Deleted', ' 2819718)']","[' 245      (Ratio', '   0.01%)']","[' 36159    (Ratio', '   1.26%)']","[' 2870917  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2870917  (Average', ' 83.56 Max', ' 4790 Sum', ' 239881435)']","[' 2870548  (Average', ' 83.45 Max', ' 4790 Sum', ' 239572213 Ratio', '  99.87%)']","[' 369      (Average', ' 838.00 Max', ' 838 Sum', ' 309222 Ratio', '   0.13%)']", ,[' 115776  '],[' 8957    '],[' 117139  '],[' 67596   '],"[' 202784   (Atom=Atom', ' 59637 Body=Body', ' 34407 Other', ' 108740)']",[' Yes'],"[' 11320    (Eliminated', '    0 Frozen', ' 11320)']","[' 3102     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.89219'],[' 0'], ,[' 514.789'],[' 0'],[' 24.336'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.31846e+08'],[' 7.18509e+08'],[' 0'],[' 2.37101e+10'],[' 0'],[' 0'],[' 1067 '],[' 2123 '],[' 3155 '],[' 3 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 4969+'],[' 2488'],"[' 1006.040s (Solving', ' 976.73s 1st Model', ' 653.48s Unsat', ' 0.00s)']",[' 996.828s'], ,[' 246120316'],"[' 3828152  (Analyzed', ' 3163662)']","[' 9966     (Average', ' 317.45 Last', ' 339377)']",[' 4759.6  '],"[' 2488     (Average Length', ' 1182.61 Splits', ' 0)']","[' 3163662  (Deleted', ' 3106781)']","[' 250      (Ratio', '   0.01%)']","[' 35885    (Ratio', '   1.13%)']","[' 3163662  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3163662  (Average', ' 74.93 Max', ' 4742 Sum', ' 237038094)']","[' 3162958  (Average', ' 74.66 Max', ' 4742 Sum', ' 236199043 Ratio', '  99.65%)']","[' 704      (Average', ' 1191.83 Max', ' 1548 Sum', ' 839051 Ratio', '   0.35%)']", ,[' 116222  '],[' 9091    '],[' 117440  '],[' 68256   '],"[' 204764   (Atom=Atom', ' 60163 Body=Body', ' 34541 Other', ' 110060)']",[' Yes'],"[' 11309    (Eliminated', '    0 Frozen', ' 11309)']","[' 5655     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.65081'],[' 0'], ,[' 527.687'],[' 0'],[' 24.156'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.08441e+08'],[' 6.96657e+08'],[' 0'],[' 2.42062e+10'],[' 0'],[' 0'],[' 1081 '],[' 2252 '],[' 3330 '],[' 3 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 3841+'],[' 1924'],"[' 689.059s (Solving', ' 669.03s 1st Model', ' 569.67s Unsat', ' 0.00s)']",[' 681.891s'], ,[' 174036780'],"[' 3569463  (Analyzed', ' 2992375)']","[' 8916     (Average', ' 335.62 Last', ' 592413)']",[' 4304.6  '],"[' 1923     (Average Length', ' 931.88 Splits', ' 0)']","[' 2992375  (Deleted', ' 2943714)']","[' 205      (Ratio', '   0.01%)']","[' 25349    (Ratio', '   0.85%)']","[' 2992375  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2992375  (Average', ' 55.95 Max', ' 4802 Sum', ' 167410811)']","[' 2991718  (Average', ' 55.69 Max', ' 4802 Sum', ' 166640135 Ratio', '  99.54%)']","[' 657      (Average', ' 1173.02 Max', ' 1498 Sum', ' 770676 Ratio', '   0.46%)']", ,[' 115515  '],[' 9041    '],[' 116336  '],[' 67526   '],"[' 202574   (Atom=Atom', ' 59483 Body=Body', ' 34491 Other', ' 108600)']",[' Yes'],"[' 10862    (Eliminated', '    0 Frozen', ' 10862)']","[' 5107     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.47503'],[' 0'], ,[' 346.208'],[' 0'],[' 17.2014'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.31338e+08'],[' 4.49856e+08'],[' 0'],[' 1.28205e+10'],[' 0'],[' 0'],[' 1168 '],[' 2226 '],[' 5937 '],[' 3 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 4831+'],[' 2419'],"[' 1005.281s (Solving', ' 981.59s 1st Model', ' 650.64s Unsat', ' 0.00s)']",[' 998.328s'], ,[' 260201586'],"[' 6387064  (Analyzed', ' 5710352)']","[' 13829    (Average', ' 412.93 Last', ' 186435)']",[' 4863.6  '],"[' 2419     (Average Length', ' 1160.07 Splits', ' 0)']","[' 5710352  (Deleted', ' 5625557)']","[' 308      (Ratio', '   0.01%)']","[' 34719    (Ratio', '   0.61%)']","[' 5710352  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5710352  (Average', ' 43.92 Max', ' 4775 Sum', ' 250783545)']","[' 5709682  (Average', ' 43.79 Max', ' 4775 Sum', ' 250044806 Ratio', '  99.71%)']","[' 670      (Average', ' 1102.60 Max', ' 1441 Sum', ' 738739 Ratio', '   0.29%)']", ,[' 115740  '],[' 8952    '],[' 116967  '],[' 67684   '],"[' 203048   (Atom=Atom', ' 59730 Body=Body', ' 34402 Other', ' 108916)']",[' Yes'],"[' 11179    (Eliminated', '    0 Frozen', ' 11179)']","[' 5050     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.52789'],[' 0'], ,[' 576.72'],[' 0'],[' 24.3219'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.12628e+08'],[' 6.9008e+08'],[' 0'],[' 3.48727e+10'],[' 0'],[' 0'],[' 1079 '],[' 2131 '],[' 3178 '],[' 3 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 4217+'],[' 2112'],"[' 675.049s (Solving', ' 657.54s 1st Model', ' 298.17s Unsat', ' 0.00s)']",[' 673.234s'], ,[' 161978724'],"[' 7906235  (Analyzed', ' 5109783)']","[' 12730    (Average', ' 401.40 Last', ' 134862)']",[' 6303.8  '],"[' 2111     (Average Length', ' 1012.24 Splits', ' 0)']","[' 5109783  (Deleted', ' 5036802)']","[' 122      (Ratio', '   0.00%)']","[' 19015    (Ratio', '   0.37%)']","[' 5109783  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5109783  (Average', ' 28.95 Max', ' 8007 Sum', ' 147931465)']","[' 5109477  (Average', ' 28.87 Max', ' 6715 Sum', ' 147539986 Ratio', '  99.74%)']","[' 306      (Average', ' 1279.34 Max', ' 1292 Sum', ' 391479 Ratio', '   0.26%)']", ,[' 116309  '],[' 9026    '],[' 117238  '],[' 68751   '],"[' 206249   (Atom=Atom', ' 60723 Body=Body', ' 34476 Other', ' 111050)']",[' Yes'],"[' 10955    (Eliminated', '    0 Frozen', ' 10955)']","[' 1894     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.29086'],[' 0'], ,[' 484.997'],[' 0'],[' 13.0807'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.33077e+08'],[' 3.70226e+08'],[' 0'],[' 4.40661e+10'],[' 0'],[' 0'],[' 2711 '],[' 3576 '],[' 4619 '],[' 3 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 4867+'],[' 2437'],"[' 1004.695s (Solving', ' 980.36s 1st Model', ' 421.85s Unsat', ' 0.00s)']",[' 999.469s'], ,[' 257577720'],"[' 6598189  (Analyzed', ' 5791137)']","[' 14444    (Average', ' 400.94 Last', ' 186108)']",[' 4947.6  '],"[' 2437     (Average Length', ' 1163.90 Splits', ' 0)']","[' 5791137  (Deleted', ' 5708060)']","[' 426      (Ratio', '   0.01%)']","[' 36601    (Ratio', '   0.63%)']","[' 5791137  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5791137  (Average', ' 42.77 Max', ' 4733 Sum', ' 247666991)']","[' 5790456  (Average', ' 42.64 Max', ' 4733 Sum', ' 246925699 Ratio', '  99.70%)']","[' 681      (Average', ' 1088.53 Max', ' 1942 Sum', ' 741292 Ratio', '   0.30%)']", ,[' 116150  '],[' 9070    '],[' 117383  '],[' 67954   '],"[' 203858   (Atom=Atom', ' 59882 Body=Body', ' 34520 Other', ' 109456)']",[' Yes'],"[' 11303    (Eliminated', '    0 Frozen', ' 11303)']","[' 5614     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.56162'],[' 0'], ,[' 612.48'],[' 0'],[' 22.8721'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.20404e+08'],[' 7.02772e+08'],[' 0'],[' 4.23232e+10'],[' 0'],[' 0'],[' 1283 '],[' 2672 '],[' 3787 '],[' 3 '],[' 0 ']
