Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 6399'],[' 3206'],"[' 936.851s (Solving', ' 863.94s 1st Model', ' 207.11s Unsat', ' 0.00s)']",[' 933.922s'], ,[' 220986020'],"[' 8095426  (Analyzed', ' 7333160)']","[' 14467    (Average', ' 506.89 Last', ' 78475)']",[' 7782.3  '],"[' 3206     (Average Length', ' 1457.80 Splits', ' 0)']","[' 7333160  (Deleted', ' 7211806)']","[' 67       (Ratio', '   0.00%)']","[' 37517    (Ratio', '   0.51%)']","[' 7333160  (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7333160  (Average', ' 27.65 Max', ' 9319 Sum', ' 202777631)']","[' 7330513  (Average', ' 27.20 Max', ' 9319 Sum', ' 199480133 Ratio', '  98.37%)']","[' 2647     (Average', ' 1245.75 Max', ' 7662 Sum', ' 3297498 Ratio', '   1.63%)']", ,[' 379596  '],[' 18124   '],[' 380427  '],[' 220776  '],"[' 662324   (Atom=Atom', ' 204650 Body=Body', ' 119024 Other', ' 338650)']",[' Yes'],"[' 20955    (Eliminated', '    0 Frozen', ' 20955)']","[' 7854     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.4881'],[' 0'], ,[' 647.478'],[' 0'],[' 18.1614'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.68861e+08'],[' 7.04688e+08'],[' 0'],[' 6.03059e+10'],[' 0'],[' 0'],[' 1254 '],[' 2483 '],[' 3405 '],[' 4554 '],[' 5496 '],[' 6603 '],[' 5 '],[' 1 ']
Solving...,TA72, ,[' 1'],[' 7339+'],[' 3676'],"[' 1019.549s (Solving', ' 935.72s 1st Model', ' 332.51s Unsat', ' 0.00s)']",[' 1015.828s'], ,[' 302112998'],"[' 5097293  (Analyzed', ' 4691037)']","[' 10429    (Average', ' 449.81 Last', ' 146621)']",[' 7101.4  '],"[' 3676     (Average Length', ' 1663.69 Splits', ' 0)']","[' 4691037  (Deleted', ' 4573756)']","[' 84       (Ratio', '   0.00%)']","[' 60166    (Ratio', '   1.28%)']","[' 4691037  (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4691037  (Average', ' 60.67 Max', ' 7909 Sum', ' 284627342)']","[' 4688678  (Average', ' 59.96 Max', ' 7909 Sum', ' 281297836 Ratio', '  98.83%)']","[' 2359     (Average', ' 1411.41 Max', ' 2322 Sum', ' 3329506 Ratio', '   1.17%)']", ,[' 378673  '],[' 17921   '],[' 379911  '],[' 219559  '],"[' 658673   (Atom=Atom', ' 203636 Body=Body', ' 118821 Other', ' 336216)']",[' Yes'],"[' 21159    (Eliminated', '    0 Frozen', ' 21159)']","[' 11581    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.4347'],[' 0'], ,[' 608.027'],[' 0'],[' 22.2706'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19331e+09'],[' 1.08566e+09'],[' 0'],[' 5.58578e+10'],[' 0'],[' 0'],[' 960 '],[' 2001 '],[' 2914 '],[' 3784 '],[' 4733 '],[' 5715 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 6857+'],[' 3435'],"[' 1016.596s (Solving', ' 944.14s 1st Model', ' 293.45s Unsat', ' 0.00s)']",[' 1011.859s'], ,[' 236102014'],"[' 7428608  (Analyzed', ' 6629885)']","[' 14709    (Average', ' 450.74 Last', ' 55384)']",[' 7347.5  '],"[' 3435     (Average Length', ' 1528.00 Splits', ' 0)']","[' 6629885  (Deleted', ' 6506096)']","[' 70       (Ratio', '   0.00%)']","[' 43784    (Ratio', '   0.66%)']","[' 6629885  (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6629885  (Average', ' 32.84 Max', ' 9489 Sum', ' 217744611)']","[' 6627508  (Average', ' 32.39 Max', ' 9489 Sum', ' 214719624 Ratio', '  98.61%)']","[' 2377     (Average', ' 1272.61 Max', ' 2283 Sum', ' 3024987 Ratio', '   1.39%)']", ,[' 379390  '],[' 18058   '],[' 380375  '],[' 219175  '],"[' 657521   (Atom=Atom', ' 203115 Body=Body', ' 118958 Other', ' 335448)']",[' Yes'],"[' 21043    (Eliminated', '    0 Frozen', ' 21043)']","[' 7739     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.1302'],[' 0'], ,[' 697.41'],[' 0'],[' 19.9841'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.11751e+08'],[' 7.36898e+08'],[' 0'],[' 6.6528e+10'],[' 0'],[' 0'],[' 1306 '],[' 2292 '],[' 3240 '],[' 4179 '],[' 5426 '],[' 6477 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 6301+'],[' 3157'],"[' 1016.021s (Solving', ' 944.77s 1st Model', ' 269.08s Unsat', ' 0.00s)']",[' 1013.703s'], ,[' 234008041'],"[' 6020665  (Analyzed', ' 5623409)']","[' 12694    (Average', ' 443.00 Last', ' 82979)']",[' 7639.7  '],"[' 3157     (Average Length', ' 1441.46 Splits', ' 0)']","[' 5623409  (Deleted', ' 5507032)']","[' 65       (Ratio', '   0.00%)']","[' 45212    (Ratio', '   0.80%)']","[' 5623409  (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5623409  (Average', ' 38.52 Max', ' 9243 Sum', ' 216637066)']","[' 5620994  (Average', ' 37.99 Max', ' 9243 Sum', ' 213610601 Ratio', '  98.60%)']","[' 2415     (Average', ' 1253.19 Max', ' 2119 Sum', ' 3026465 Ratio', '   1.40%)']", ,[' 378928  '],[' 18059   '],[' 379741  '],[' 220934  '],"[' 662798   (Atom=Atom', ' 204873 Body=Body', ' 118959 Other', ' 338966)']",[' Yes'],"[' 20872    (Eliminated', '    0 Frozen', ' 20872)']","[' 8450     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.164'],[' 0'], ,[' 700.382'],[' 0'],[' 19.6069'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.74897e+08'],[' 7.97721e+08'],[' 0'],[' 6.59309e+10'],[' 0'],[' 0'],[' 1152 '],[' 2205 '],[' 3270 '],[' 4445 '],[' 5306 '],[' 6331 '],[' 6 '],[' 0 ']
Solving...,TA75, , ,[' 7343'],[' 3678'],"[' 959.196s (Solving', ' 884.41s 1st Model', ' 528.00s Unsat', ' 0.00s)']",[' 957.234s'], ,[' 305053463'],"[' 4544251  (Analyzed', ' 3952814)']","[' 10475    (Average', ' 377.36 Last', ' 209167)']",[' 6907.9  '],"[' 3678     (Average Length', ' 1643.50 Splits', ' 0)']","[' 3952814  (Deleted', ' 3843141)']","[' 208      (Ratio', '   0.01%)']","[' 65063    (Ratio', '   1.65%)']","[' 3952814  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3952814  (Average', ' 72.76 Max', ' 7716 Sum', ' 287623804)']","[' 3950639  (Average', ' 71.98 Max', ' 7716 Sum', ' 284531001 Ratio', '  98.92%)']","[' 2175     (Average', ' 1421.98 Max', ' 2420 Sum', ' 3092803 Ratio', '   1.08%)']", ,[' 381124  '],[' 18151   '],[' 382332  '],[' 222741  '],"[' 668219   (Atom=Atom', ' 206588 Body=Body', ' 119051 Other', ' 342580)']",[' Yes'],"[' 21359    (Eliminated', '    0 Frozen', ' 21359)']","[' 12879    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.7308'],[' 0'], ,[' 546.282'],[' 0'],[' 22.9228'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17667e+09'],[' 1.06604e+09'],[' 0'],[' 4.87647e+10'],[' 0'],[' 0'],[' 1205 '],[' 2081 '],[' 3075 '],[' 4058 '],[' 4972 '],[' 5972 '],[' 5 '],[' 1 ']
Solving...,TA76, ,[' 1'],[' 6589+'],[' 3301'],"[' 1015.400s (Solving', ' 946.92s 1st Model', ' 332.64s Unsat', ' 0.00s)']",[' 1012.938s'], ,[' 257739636'],"[' 6992075  (Analyzed', ' 6527888)']","[' 15128    (Average', ' 431.51 Last', ' 82191)']",[' 7436.6  '],"[' 3301     (Average Length', ' 1516.23 Splits', ' 0)']","[' 6527888  (Deleted', ' 6392829)']","[' 82       (Ratio', '   0.00%)']","[' 49370    (Ratio', '   0.76%)']","[' 6527888  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6527888  (Average', ' 36.84 Max', ' 8809 Sum', ' 240515265)']","[' 6525362  (Average', ' 36.35 Max', ' 8809 Sum', ' 237266380 Ratio', '  98.65%)']","[' 2526     (Average', ' 1286.18 Max', ' 2241 Sum', ' 3248885 Ratio', '   1.35%)']", ,[' 379168  '],[' 18034   '],[' 380122  '],[' 220721  '],"[' 662159   (Atom=Atom', ' 204685 Body=Body', ' 118934 Other', ' 338540)']",[' Yes'],"[' 20988    (Eliminated', '    0 Frozen', ' 20988)']","[' 9206     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.4882'],[' 0'], ,[' 686.661'],[' 0'],[' 20.3456'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.98418e+08'],[' 9.12939e+08'],[' 0'],[' 7.04648e+10'],[' 0'],[' 0'],[' 1131 '],[' 2281 '],[' 3193 '],[' 4245 '],[' 5190 '],[' 6160 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 6955+'],[' 3484'],"[' 1015.840s (Solving', ' 944.14s 1st Model', ' 396.29s Unsat', ' 0.00s)']",[' 1012.469s'], ,[' 245829992'],"[' 8315140  (Analyzed', ' 7737737)']","[' 15991    (Average', ' 483.88 Last', ' 83697)']",[' 7642.5  '],"[' 3484     (Average Length', ' 1595.94 Splits', ' 0)']","[' 7737737  (Deleted', ' 7608911)']","[' 52       (Ratio', '   0.00%)']","[' 45789    (Ratio', '   0.59%)']","[' 7737737  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7737737  (Average', ' 29.37 Max', ' 8944 Sum', ' 227255230)']","[' 7735114  (Average', ' 28.90 Max', ' 8944 Sum', ' 223603340 Ratio', '  98.39%)']","[' 2623     (Average', ' 1392.26 Max', ' 2366 Sum', ' 3651890 Ratio', '   1.61%)']", ,[' 378676  '],[' 18035   '],[' 379776  '],[' 219881  '],"[' 659639   (Atom=Atom', ' 203844 Body=Body', ' 118935 Other', ' 336860)']",[' Yes'],"[' 21135    (Eliminated', '    0 Frozen', ' 21135)']","[' 8405     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.8073'],[' 0'], ,[' 697.524'],[' 0'],[' 20.0021'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.68511e+08'],[' 7.9228e+08'],[' 0'],[' 6.9026e+10'],[' 0'],[' 0'],[' 1068 '],[' 2286 '],[' 3231 '],[' 4188 '],[' 5179 '],[' 6121 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 6545+'],[' 3279'],"[' 1016.107s (Solving', ' 943.20s 1st Model', ' 303.30s Unsat', ' 0.00s)']",[' 1012.547s'], ,[' 251036008'],"[' 7873553  (Analyzed', ' 7311268)']","[' 15255    (Average', ' 479.27 Last', ' 111373)']",[' 7766.7  '],"[' 3279     (Average Length', ' 1511.84 Splits', ' 0)']","[' 7311268  (Deleted', ' 7192938)']","[' 83       (Ratio', '   0.00%)']","[' 44212    (Ratio', '   0.60%)']","[' 7311268  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7311268  (Average', ' 31.79 Max', ' 9216 Sum', ' 232397054)']","[' 7308853  (Average', ' 31.37 Max', ' 9216 Sum', ' 229343320 Ratio', '  98.69%)']","[' 2415     (Average', ' 1264.49 Max', ' 2239 Sum', ' 3053734 Ratio', '   1.31%)']", ,[' 380119  '],[' 18092   '],[' 381026  '],[' 221041  '],"[' 663119   (Atom=Atom', ' 204947 Body=Body', ' 118992 Other', ' 339180)']",[' Yes'],"[' 20999    (Eliminated', '    0 Frozen', ' 20999)']","[' 8250     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.2701'],[' 0'], ,[' 695.753'],[' 0'],[' 19.9914'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.69406e+08'],[' 7.89408e+08'],[' 0'],[' 7.11817e+10'],[' 0'],[' 0'],[' 1276 '],[' 2186 '],[' 3255 '],[' 4206 '],[' 5154 '],[' 6095 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 7731+'],[' 3872'],"[' 1017.744s (Solving', ' 937.31s 1st Model', ' 346.18s Unsat', ' 0.00s)']",[' 1015.094s'], ,[' 289069714'],"[' 5247476  (Analyzed', ' 4805872)']","[' 11071    (Average', ' 434.10 Last', ' 58850)']",[' 7394.8  '],"[' 3872     (Average Length', ' 1725.89 Splits', ' 0)']","[' 4805872  (Deleted', ' 4686283)']","[' 75       (Ratio', '   0.00%)']","[' 59218    (Ratio', '   1.23%)']","[' 4805872  (Average Length', '   21.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4805872  (Average', ' 56.16 Max', ' 8247 Sum', ' 269917153)']","[' 4803429  (Average', ' 55.40 Max', ' 8247 Sum', ' 266240647 Ratio', '  98.64%)']","[' 2443     (Average', ' 1504.91 Max', ' 2495 Sum', ' 3676506 Ratio', '   1.36%)']", ,[' 380872  '],[' 18114   '],[' 382206  '],[' 221334  '],"[' 663998   (Atom=Atom', ' 205218 Body=Body', ' 119014 Other', ' 339766)']",[' Yes'],"[' 21448    (Eliminated', '    0 Frozen', ' 21448)']","[' 11262    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.913'],[' 0'], ,[' 641.501'],[' 0'],[' 21.7369'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10364e+09'],[' 1.01e+09'],[' 0'],[' 6.24149e+10'],[' 0'],[' 0'],[' 1147 '],[' 2304 '],[' 3214 '],[' 4142 '],[' 5047 '],[' 6002 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 6095+'],[' 3054'],"[' 1015.232s (Solving', ' 952.22s 1st Model', ' 394.76s Unsat', ' 0.00s)']",[' 1011.047s'], ,[' 273227701'],"[' 6096359  (Analyzed', ' 5524085)']","[' 12898    (Average', ' 428.29 Last', ' 265459)']",[' 6932.1  '],"[' 3054     (Average Length', ' 1401.83 Splits', ' 0)']","[' 5524085  (Deleted', ' 5404315)']","[' 81       (Ratio', '   0.00%)']","[' 55227    (Ratio', '   1.00%)']","[' 5524085  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5524085  (Average', ' 46.81 Max', ' 8684 Sum', ' 258564158)']","[' 5521687  (Average', ' 46.21 Max', ' 8684 Sum', ' 255266200 Ratio', '  98.72%)']","[' 2398     (Average', ' 1375.30 Max', ' 2165 Sum', ' 3297958 Ratio', '   1.28%)']", ,[' 381023  '],[' 18125   '],[' 381778  '],[' 221993  '],"[' 665975   (Atom=Atom', ' 205866 Body=Body', ' 119025 Other', ' 341084)']",[' Yes'],"[' 20880    (Eliminated', '    0 Frozen', ' 20880)']","[' 10371    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.2843'],[' 0'], ,[' 671.057'],[' 0'],[' 21.5537'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03595e+09'],[' 9.43242e+08'],[' 0'],[' 6.70436e+10'],[' 0'],[' 0'],[' 1136 '],[' 2121 '],[' 3053 '],[' 4212 '],[' 5132 '],[' 6130 '],[' 6 '],[' 0 ']
