Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 763'],[' 392'],"[' 6.194s (Solving', ' 3.53s 1st Model', ' 0.90s Unsat', ' 0.18s)']",[' 6.094s'], ,[' 692308  '],"[' 33434    (Analyzed', ' 15236)']","[' 169      (Average', ' 90.15 Last', ' 474)']",[' 1166.5  '],"[' 392      (Average Length', ' 189.16 Splits', ' 0)']","[' 15236    (Deleted', ' 8516)']","[' 55       (Ratio', '   0.36%)']","[' 353      (Ratio', '   2.32%)']","[' 15236    (Average Length', '    7.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15236    (Average', ' 19.77 Max', ' 1569 Sum', ' 301145)']","[' 15178    (Average', ' 19.75 Max', ' 1569 Sum', ' 300835 Ratio', '  99.90%)']","[' 58       (Average', '  5.34 Max', '  85 Sum', '    310 Ratio', '   0.10%)']", ,[' 71195   '],[' 2399    '],[' 70822   '],[' 40056   '],"[' 120164   (Atom=Atom', ' 38405 Body=Body', ' 21474 Other', ' 60285)']",[' Yes'],"[' 2776     (Eliminated', '    0 Frozen', ' 2776)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.654108'],[' 0'], ,[' 1.27809'],[' 0'],[' 0.0528254'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.74747e+06'],[' 6.44833e+06'],[' 0'],[' 3.46601e+07'],[' 0'],[' 0'],[' 441 '],[' 678 '],[' 989 '],[' 1355 '],[' 1744 '],[' 2014 '],[' 2330 '],[' 2662 '],[' 3081 '],[' 3468 '],[' 0 '],[' 10 ']
Solving...,TA52, , ,[' 787'],[' 404'],"[' 109.549s (Solving', ' 106.58s 1st Model', ' 0.96s Unsat', ' 0.07s)']",[' 108.703s'], ,[' 11991860'],"[' 8317359  (Analyzed', ' 8100313)']","[' 16783    (Average', ' 482.65 Last', ' 2624)']",[' 1243.2  '],"[' 404      (Average Length', ' 194.48 Splits', ' 0)']","[' 8100313  (Deleted', ' 7960303)']","[' 54       (Ratio', '   0.00%)']","[' 606      (Ratio', '   0.01%)']","[' 8100313  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8100313  (Average', '  1.38 Max', ' 886 Sum', ' 11141019)']","[' 8100254  (Average', '  1.38 Max', ' 886 Sum', ' 11138854 Ratio', '  99.98%)']","[' 59       (Average', ' 36.69 Max', ' 339 Sum', '   2165 Ratio', '   0.02%)']", ,[' 71345   '],[' 2427    '],[' 70983   '],[' 40648   '],"[' 121940   (Atom=Atom', ' 38969 Body=Body', ' 21502 Other', ' 61469)']",[' Yes'],"[' 2815     (Eliminated', '    0 Frozen', ' 2815)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.783391'],[' 0'], ,[' 44.6477'],[' 0'],[' 1.47942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.21524e+07'],[' 2.20692e+07'],[' 0'],[' 2.25726e+09'],[' 0'],[' 0'],[' 559 '],[' 831 '],[' 1155 '],[' 1493 '],[' 1836 '],[' 2131 '],[' 2425 '],[' 2730 '],[' 3102 '],[' 3625 '],[' 1 '],[' 9 ']
Solving...,TA53, , ,[' 945'],[' 483'],"[' 6.740s (Solving', ' 4.09s 1st Model', ' 0.96s Unsat', ' 0.11s)']",[' 6.594s'], ,[' 848271  '],"[' 11949    (Analyzed', ' 5039)']","[' 47       (Average', ' 107.21 Last', ' 102)']",[' 1214.5  '],"[' 483      (Average Length', ' 233.22 Splits', ' 0)']","[' 5039     (Deleted', ' 0)']","[' 80       (Ratio', '   1.59%)']","[' 293      (Ratio', '   5.81%)']","[' 5039     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5039     (Average', ' 75.03 Max', ' 1661 Sum', ' 378071)']","[' 4952     (Average', ' 74.66 Max', ' 1661 Sum', ' 376232 Ratio', '  99.51%)']","[' 87       (Average', ' 21.14 Max', ' 137 Sum', '   1839 Ratio', '   0.49%)']", ,[' 71951   '],[' 2470    '],[' 71665   '],[' 41386   '],"[' 124154   (Atom=Atom', ' 39664 Body=Body', ' 21545 Other', ' 62945)']",[' Yes'],"[' 2934     (Eliminated', '    0 Frozen', ' 2934)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.743778'],[' 0'], ,[' 1.37605'],[' 0'],[' 0.061524'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.58365e+06'],[' 7.27338e+06'],[' 0'],[' 4.00852e+07'],[' 0'],[' 0'],[' 462 '],[' 746 '],[' 1041 '],[' 1427 '],[' 1748 '],[' 2050 '],[' 2402 '],[' 2768 '],[' 3096 '],[' 3773 '],[' 0 '],[' 10 ']
Solving...,TA54, , ,[' 911'],[' 466'],"[' 11.093s (Solving', ' 8.16s 1st Model', ' 0.68s Unsat', ' 0.76s)']",[' 11.000s'], ,[' 916377  '],"[' 318242   (Analyzed', ' 25211)']","[' 476      (Average', ' 52.96 Last', ' 75)']",[' 1238.6  '],"[' 466      (Average Length', ' 222.36 Splits', ' 0)']","[' 25211    (Deleted', ' 19789)']","[' 63       (Ratio', '   0.25%)']","[' 462      (Ratio', '   1.83%)']","[' 25211    (Average Length', '    7.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25211    (Average', '  6.35 Max', ' 633 Sum', ' 160096)']","[' 25145    (Average', '  6.28 Max', ' 633 Sum', ' 158350 Ratio', '  98.91%)']","[' 66       (Average', ' 26.45 Max', ' 343 Sum', '   1746 Ratio', '   1.09%)']", ,[' 71811   '],[' 2455    '],[' 71506   '],[' 41202   '],"[' 123602   (Atom=Atom', ' 39495 Body=Body', ' 21530 Other', ' 62577)']",[' Yes'],"[' 2900     (Eliminated', '    0 Frozen', ' 2900)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.739355'],[' 0'], ,[' 5.12163'],[' 0'],[' 0.0879912'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.57681e+06'],[' 7.93359e+06'],[' 0'],[' 4.00341e+08'],[' 0'],[' 0'],[' 488 '],[' 743 '],[' 1048 '],[' 1415 '],[' 1718 '],[' 2112 '],[' 2373 '],[' 2704 '],[' 3134 '],[' 3536 '],[' 0 '],[' 10 ']
Solving...,TA55, , ,[' 737'],[' 379'],"[' 7.646s (Solving', ' 5.33s 1st Model', ' 0.69s Unsat', ' 0.14s)']",[' 7.594s'], ,[' 675192  '],"[' 200496   (Analyzed', ' 12740)']","[' 399      (Average', ' 31.93 Last', ' 85)']",[' 1093.0  '],"[' 379      (Average Length', ' 183.14 Splits', ' 0)']","[' 12740    (Deleted', ' 6318)']","[' 69       (Ratio', '   0.54%)']","[' 372      (Ratio', '   2.92%)']","[' 12740    (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12740    (Average', ' 11.92 Max', ' 780 Sum', ' 151915)']","[' 12672    (Average', ' 11.89 Max', ' 780 Sum', ' 151467 Ratio', '  99.71%)']","[' 68       (Average', '  6.59 Max', '  77 Sum', '    448 Ratio', '   0.29%)']", ,[' 71827   '],[' 2442    '],[' 71440   '],[' 40984   '],"[' 122948   (Atom=Atom', ' 39290 Body=Body', ' 21517 Other', ' 62141)']",[' Yes'],"[' 2805     (Eliminated', '    0 Frozen', ' 2805)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.595948'],[' 0'], ,[' 3.03335'],[' 0'],[' 0.0591091'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.87449e+06'],[' 5.43534e+06'],[' 0'],[' 2.10985e+08'],[' 0'],[' 0'],[' 406 '],[' 694 '],[' 989 '],[' 1271 '],[' 1631 '],[' 1942 '],[' 2331 '],[' 2696 '],[' 3120 '],[' 3785 '],[' 0 '],[' 10 ']
Solving...,TA56, , ,[' 563'],[' 292'],"[' 104.810s (Solving', ' 102.87s 1st Model', ' 0.82s Unsat', ' 0.52s)']",[' 104.250s'], ,[' 3487774 '],"[' 2133026  (Analyzed', ' 2106821)']","[' 4658     (Average', ' 452.30 Last', ' 1344)']",[' 1139.1  '],"[' 292      (Average Length', ' 140.29 Splits', ' 0)']","[' 2106821  (Deleted', ' 2070879)']","[' 96       (Ratio', '   0.00%)']","[' 733      (Ratio', '   0.03%)']","[' 2106821  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2106821  (Average', '  1.48 Max', ' 1571 Sum', ' 3117334)']","[' 2106696  (Average', '  1.48 Max', ' 1571 Sum', ' 3113472 Ratio', '  99.88%)']","[' 125      (Average', ' 30.90 Max', ' 221 Sum', '   3862 Ratio', '   0.12%)']", ,[' 71082   '],[' 2426    '],[' 70613   '],[' 40145   '],"[' 120431   (Atom=Atom', ' 38467 Body=Body', ' 21501 Other', ' 60463)']",[' Yes'],"[' 2707     (Eliminated', '    0 Frozen', ' 2707)']","[' 11       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.49147'],[' 0'], ,[' 86.2212'],[' 0'],[' 1.58578'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34956e+07'],[' 8.50428e+06'],[' 0'],[' 1.12029e+10'],[' 0'],[' 0'],[' 491 '],[' 699 '],[' 1062 '],[' 1331 '],[' 1927 '],[' 2185 '],[' 2565 '],[' 2833 '],[' 3294 '],[' 3756 '],[' 1 '],[' 9 ']
Solving...,TA57, , ,[' 697'],[' 359'],"[' 10.051s (Solving', ' 7.75s 1st Model', ' 0.74s Unsat', ' 3.94s)']",[' 9.938s'], ,[' 764547  '],"[' 206982   (Analyzed', ' 108035)']","[' 633      (Average', ' 170.67 Last', ' 2997)']",[' 1107.4  '],"[' 359      (Average Length', ' 172.80 Splits', ' 0)']","[' 108035   (Deleted', ' 99034)']","[' 91       (Ratio', '   0.08%)']","[' 631      (Ratio', '   0.58%)']","[' 108035   (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 108035   (Average', '  3.18 Max', ' 1579 Sum', ' 343253)']","[' 107906   (Average', '  3.11 Max', ' 1579 Sum', ' 336459 Ratio', '  98.02%)']","[' 129      (Average', ' 52.67 Max', ' 300 Sum', '   6794 Ratio', '   1.98%)']", ,[' 71034   '],[' 2411    '],[' 70630   '],[' 40063   '],"[' 120185   (Atom=Atom', ' 38400 Body=Body', ' 21486 Other', ' 60299)']",[' Yes'],"[' 2757     (Eliminated', '    0 Frozen', ' 2757)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.590136'],[' 0'], ,[' 4.9621'],[' 0'],[' 0.108303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.51595e+06'],[' 5.94817e+06'],[' 0'],[' 5.06961e+08'],[' 0'],[' 0'],[' 536 '],[' 715 '],[' 1172 '],[' 1496 '],[' 1953 '],[' 2297 '],[' 2623 '],[' 2912 '],[' 3223 '],[' 3774 '],[' 0 '],[' 10 ']
Solving...,TA58, , ,[' 829'],[' 425'],"[' 10.648s (Solving', ' 8.11s 1st Model', ' 0.90s Unsat', ' 3.07s)']",[' 10.609s'], ,[' 1165929 '],"[' 436635   (Analyzed', ' 315170)']","[' 1313     (Average', ' 240.04 Last', ' 43)']",[' 1219.5  '],"[' 425      (Average Length', ' 203.32 Splits', ' 0)']","[' 315170   (Deleted', ' 303584)']","[' 69       (Ratio', '   0.02%)']","[' 571      (Ratio', '   0.18%)']","[' 315170   (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 315170   (Average', '  1.96 Max', ' 1276 Sum', ' 617271)']","[' 315102   (Average', '  1.96 Max', ' 1276 Sum', ' 617203 Ratio', '  99.99%)']","[' 68       (Average', '  1.00 Max', '   1 Sum', '     68 Ratio', '   0.01%)']", ,[' 71471   '],[' 2416    '],[' 71129   '],[' 40518   '],"[' 121550   (Atom=Atom', ' 38850 Body=Body', ' 21491 Other', ' 61209)']",[' Yes'],"[' 2824     (Eliminated', '    0 Frozen', ' 2824)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.665711'],[' 0'], ,[' 3.86229'],[' 0'],[' 0.101894'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.9413e+06'],[' 7.81909e+06'],[' 0'],[' 2.31547e+08'],[' 0'],[' 0'],[' 452 '],[' 752 '],[' 1117 '],[' 1428 '],[' 1789 '],[' 2104 '],[' 2484 '],[' 2904 '],[' 3198 '],[' 3902 '],[' 0 '],[' 10 ']
Solving...,TA59, , ,[' 921'],[' 471'],"[' 9.250s (Solving', ' 6.13s 1st Model', ' 1.08s Unsat', ' 1.76s)']",[' 9.250s'], ,[' 967117  '],"[' 97050    (Analyzed', ' 65245)']","[' 334      (Average', ' 195.34 Last', ' 6194)']",[' 1256.4  '],"[' 471      (Average Length', ' 227.48 Splits', ' 0)']","[' 65245    (Deleted', ' 55982)']","[' 95       (Ratio', '   0.15%)']","[' 819      (Ratio', '   1.26%)']","[' 65245    (Average Length', '    8.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 65245    (Average', '  7.06 Max', ' 1612 Sum', ' 460708)']","[' 65145    (Average', '  7.05 Max', ' 1612 Sum', ' 459928 Ratio', '  99.83%)']","[' 100      (Average', '  7.80 Max', ' 167 Sum', '    780 Ratio', '   0.17%)']", ,[' 71377   '],[' 2437    '],[' 71081   '],[' 40759   '],"[' 122273   (Atom=Atom', ' 39070 Body=Body', ' 21512 Other', ' 61691)']",[' Yes'],"[' 2891     (Eliminated', '    0 Frozen', ' 2891)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.791414'],[' 0'], ,[' 2.96032'],[' 0'],[' 0.0928779'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.76199e+06'],[' 8.27109e+06'],[' 0'],[' 1.88466e+08'],[' 0'],[' 0'],[' 353 '],[' 538 '],[' 1004 '],[' 1362 '],[' 1760 '],[' 2074 '],[' 2414 '],[' 2798 '],[' 3234 '],[' 3753 '],[' 0 '],[' 10 ']
Solving...,TA60, , ,[' 853'],[' 437'],"[' 8.239s (Solving', ' 5.30s 1st Model', ' 0.77s Unsat', ' 0.08s)']",[' 8.063s'], ,[' 745164  '],"[' 141804   (Analyzed', ' 8494)']","[' 437      (Average', ' 19.44 Last', ' 45)']",[' 1133.1  '],"[' 437      (Average Length', ' 206.21 Splits', ' 0)']","[' 8494     (Deleted', ' 4317)']","[' 76       (Ratio', '   0.89%)']","[' 316      (Ratio', '   3.72%)']","[' 8494     (Average Length', '    7.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8494     (Average', ' 25.48 Max', ' 1248 Sum', ' 216411)']","[' 8418     (Average', ' 25.45 Max', ' 1248 Sum', ' 216193 Ratio', '  99.90%)']","[' 76       (Average', '  2.87 Max', '  72 Sum', '    218 Ratio', '   0.10%)']", ,[' 71184   '],[' 2401    '],[' 70849   '],[' 40213   '],"[' 120635   (Atom=Atom', ' 38560 Body=Body', ' 21476 Other', ' 60599)']",[' Yes'],"[' 2816     (Eliminated', '    0 Frozen', ' 2816)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.695341'],[' 0'], ,[' 2.7479'],[' 0'],[' 0.0605842'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.14771e+06'],[' 6.72965e+06'],[' 0'],[' 1.71127e+08'],[' 0'],[' 0'],[' 470 '],[' 764 '],[' 1055 '],[' 1322 '],[' 1633 '],[' 1933 '],[' 2225 '],[' 2622 '],[' 2892 '],[' 3337 '],[' 0 '],[' 10 ']
