Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA51,[' 7265+'],[' 3636'],"[' 1008.756s (Solving', ' 978.71s 1st Model', ' 632.66s Unsat', ' 0.00s)']",[' 1005.516s'], ,[' 459514551'],"[' 7202679  (Analyzed', ' 6919053)']","[' 14386    (Average', ' 480.96 Last', ' 193874)']",[' 7570.9  '],"[' 3636     (Average Length', ' 1741.91 Splits', ' 0)']","[' 6919053  (Deleted', ' 6818212)']","[' 1666     (Ratio', '   0.02%)']","[' 59992    (Ratio', '   0.87%)']","[' 6919053  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6919053  (Average', ' 63.27 Max', ' 8209 Sum', ' 437758187)']","[' 6918908  (Average', ' 63.23 Max', ' 8209 Sum', ' 437462135 Ratio', '  99.93%)']","[' 145      (Average', ' 2041.74 Max', ' 3349 Sum', ' 296052 Ratio', '   0.07%)']", ,[' 106357  '],[' 14148   '],[' 108958  '],[' 74154   '],"[' 222458   (Atom=Atom', ' 60754 Body=Body', ' 33223 Other', ' 128481)']",[' Yes'],"[' 17499    (Eliminated', '    0 Frozen', ' 17499)']","[' 1648     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.66742'],[' 0'], ,[' 356.554'],[' 0'],[' 29.8145'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.00734e+09'],[' 1.83947e+09'],[' 0'],[' 1.19106e+10'],[' 0'],[' 0'],[' 1115 '],[' 2257 '],[' 3462 '],[' 3 '],[' 0 ']
UNKNOWN,TA52,[' 7207+'],[' 3606'],"[' 1009.529s (Solving', ' 978.84s 1st Model', ' 605.54s Unsat', ' 0.00s)']",[' 1007.047s'], ,[' 432259093'],"[' 9769249  (Analyzed', ' 9562077)']","[' 17942    (Average', ' 532.94 Last', ' 88897)']",[' 7828.1  '],"[' 3606     (Average Length', ' 1733.56 Splits', ' 0)']","[' 9562077  (Deleted', ' 9446871)']","[' 1667     (Ratio', '   0.02%)']","[' 60391    (Ratio', '   0.63%)']","[' 9562077  (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9562077  (Average', ' 42.86 Max', ' 8032 Sum', ' 409814613)']","[' 9561907  (Average', ' 42.82 Max', ' 8032 Sum', ' 409420338 Ratio', '  99.90%)']","[' 170      (Average', ' 2319.26 Max', ' 3318 Sum', ' 394275 Ratio', '   0.10%)']", ,[' 106405  '],[' 14174   '],[' 108972  '],[' 74252   '],"[' 222752   (Atom=Atom', ' 60826 Body=Body', ' 33249 Other', ' 128677)']",[' Yes'],"[' 17491    (Eliminated', '    0 Frozen', ' 17491)']","[' 2115     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.61583'],[' 0'], ,[' 396.139'],[' 0'],[' 29.2711'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78496e+09'],[' 1.63843e+09'],[' 0'],[' 1.4856e+10'],[' 0'],[' 0'],[' 1193 '],[' 2287 '],[' 3504 '],[' 3 '],[' 0 ']
UNKNOWN,TA53,[' 6993+'],[' 3500'],"[' 1008.521s (Solving', ' 979.27s 1st Model', ' 602.27s Unsat', ' 0.00s)']",[' 1005.875s'], ,[' 436280453'],"[' 10027701 (Analyzed', ' 9792050)']","[' 19326    (Average', ' 506.68 Last', ' 91217)']",[' 7557.0  '],"[' 3500     (Average Length', ' 1672.45 Splits', ' 0)']","[' 9792050  (Deleted', ' 9654885)']","[' 1534     (Ratio', '   0.02%)']","[' 57891    (Ratio', '   0.59%)']","[' 9792050  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9792050  (Average', ' 42.39 Max', ' 7733 Sum', ' 415127203)']","[' 9791913  (Average', ' 42.37 Max', ' 7733 Sum', ' 414859031 Ratio', '  99.94%)']","[' 137      (Average', ' 1957.46 Max', ' 3803 Sum', ' 268172 Ratio', '   0.06%)']", ,[' 106344  '],[' 14165   '],[' 108775  '],[' 74152   '],"[' 222452   (Atom=Atom', ' 60735 Body=Body', ' 33240 Other', ' 128477)']",[' Yes'],"[' 17346    (Eliminated', '    0 Frozen', ' 17346)']","[' 1362     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.4283'],[' 0'], ,[' 389.741'],[' 0'],[' 29.4862'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87001e+09'],[' 1.70961e+09'],[' 0'],[' 1.40455e+10'],[' 0'],[' 0'],[' 1069 '],[' 2133 '],[' 3313 '],[' 3 '],[' 0 ']
UNKNOWN,TA54,[' 6869+'],[' 3438'],"[' 1008.892s (Solving', ' 979.12s 1st Model', ' 593.88s Unsat', ' 0.00s)']",[' 1006.828s'], ,[' 444143416'],"[' 9069429  (Analyzed', ' 8767302)']","[' 18046    (Average', ' 485.83 Last', ' 104933)']",[' 7664.3  '],"[' 3438     (Average Length', ' 1650.96 Splits', ' 0)']","[' 8767302  (Deleted', ' 8632286)']","[' 1644     (Ratio', '   0.02%)']","[' 61409    (Ratio', '   0.70%)']","[' 8767302  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8767302  (Average', ' 48.25 Max', ' 8166 Sum', ' 422996090)']","[' 8767112  (Average', ' 48.20 Max', ' 8166 Sum', ' 422586366 Ratio', '  99.90%)']","[' 190      (Average', ' 2156.44 Max', ' 3141 Sum', ' 409724 Ratio', '   0.10%)']", ,[' 106328  '],[' 14196   '],[' 108720  '],[' 74190   '],"[' 222566   (Atom=Atom', ' 60742 Body=Body', ' 33271 Other', ' 128553)']",[' Yes'],"[' 17338    (Eliminated', '    0 Frozen', ' 17338)']","[' 2209     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.60765'],[' 0'], ,[' 376.278'],[' 0'],[' 29.588'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.91071e+09'],[' 1.75043e+09'],[' 0'],[' 1.31955e+10'],[' 0'],[' 0'],[' 1134 '],[' 2176 '],[' 3333 '],[' 3 '],[' 0 ']
UNKNOWN,TA55,[' 6057+'],[' 3032'],"[' 1007.257s (Solving', ' 982.36s 1st Model', ' 606.11s Unsat', ' 0.00s)']",[' 1005.125s'], ,[' 429295794'],"[' 8922085  (Analyzed', ' 8741153)']","[' 17337    (Average', ' 504.19 Last', ' 89778)']",[' 7266.1  '],"[' 3032     (Average Length', ' 1458.85 Splits', ' 0)']","[' 8741153  (Deleted', ' 8619073)']","[' 1728     (Ratio', '   0.02%)']","[' 58378    (Ratio', '   0.67%)']","[' 8741153  (Average Length', '   17.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8741153  (Average', ' 47.04 Max', ' 7766 Sum', ' 411224848)']","[' 8741002  (Average', ' 47.01 Max', ' 7766 Sum', ' 410932514 Ratio', '  99.93%)']","[' 151      (Average', ' 1935.99 Max', ' 4891 Sum', ' 292334 Ratio', '   0.07%)']", ,[' 105756  '],[' 14140   '],[' 107788  '],[' 73583   '],"[' 220745   (Atom=Atom', ' 60191 Body=Body', ' 33215 Other', ' 127339)']",[' Yes'],"[' 16922    (Eliminated', '    0 Frozen', ' 16922)']","[' 1820     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.69312'],[' 0'], ,[' 383.96'],[' 0'],[' 29.4838'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84934e+09'],[' 1.69225e+09'],[' 0'],[' 1.31328e+10'],[' 0'],[' 0'],[' 1054 '],[' 2242 '],[' 3467 '],[' 3 '],[' 0 ']
UNKNOWN,TA56,[' 6761+'],[' 3384'],"[' 1008.013s (Solving', ' 979.88s 1st Model', ' 587.24s Unsat', ' 0.00s)']",[' 1005.938s'], ,[' 413753407'],"[' 8956257  (Analyzed', ' 8710487)']","[' 16872    (Average', ' 516.27 Last', ' 90643)']",[' 7664.3  '],"[' 3384     (Average Length', ' 1623.95 Splits', ' 0)']","[' 8710487  (Deleted', ' 8593977)']","[' 1545     (Ratio', '   0.02%)']","[' 58663    (Ratio', '   0.67%)']","[' 8710487  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8710487  (Average', ' 45.09 Max', ' 7926 Sum', ' 392781587)']","[' 8710347  (Average', ' 45.06 Max', ' 7926 Sum', ' 392502718 Ratio', '  99.93%)']","[' 140      (Average', ' 1991.92 Max', ' 3104 Sum', ' 278869 Ratio', '   0.07%)']", ,[' 106148  '],[' 14171   '],[' 108501  '],[' 74005   '],"[' 222011   (Atom=Atom', ' 60582 Body=Body', ' 33246 Other', ' 128183)']",[' Yes'],"[' 17274    (Eliminated', '    0 Frozen', ' 17274)']","[' 1134     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.42309'],[' 0'], ,[' 400.271'],[' 0'],[' 29.3917'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74587e+09'],[' 1.60834e+09'],[' 0'],[' 1.31876e+10'],[' 0'],[' 0'],[' 1193 '],[' 2190 '],[' 3427 '],[' 3 '],[' 0 ']
UNKNOWN,TA57,[' 5285+'],[' 2646'],"[' 1005.851s (Solving', ' 985.41s 1st Model', ' 533.93s Unsat', ' 0.00s)']",[' 1004.281s'], ,[' 448785888'],"[' 8053407  (Analyzed', ' 7897474)']","[' 14798    (Average', ' 533.69 Last', ' 89427)']",[' 7154.7  '],"[' 2646     (Average Length', ' 1270.03 Splits', ' 0)']","[' 7897474  (Deleted', ' 7785607)']","[' 1659     (Ratio', '   0.02%)']","[' 61670    (Ratio', '   0.78%)']","[' 7897474  (Average Length', '   20.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7897474  (Average', ' 54.78 Max', ' 8075 Sum', ' 432662539)']","[' 7897334  (Average', ' 54.76 Max', ' 8075 Sum', ' 432442088 Ratio', '  99.95%)']","[' 140      (Average', ' 1574.65 Max', ' 2438 Sum', ' 220451 Ratio', '   0.05%)']", ,[' 105498  '],[' 14200   '],[' 107185  '],[' 73361   '],"[' 220079   (Atom=Atom', ' 59909 Body=Body', ' 33275 Other', ' 126895)']",[' Yes'],"[' 16637    (Eliminated', '    0 Frozen', ' 16637)']","[' 1335     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.03152'],[' 0'], ,[' 376.772'],[' 0'],[' 29.8489'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94514e+09'],[' 1.78506e+09'],[' 0'],[' 1.327e+10'],[' 0'],[' 0'],[' 1264 '],[' 2401 '],[' 3644 '],[' 3 '],[' 0 ']
UNKNOWN,TA58,[' 7681+'],[' 3844'],"[' 1009.634s (Solving', ' 976.09s 1st Model', ' 493.74s Unsat', ' 0.00s)']",[' 1007.188s'], ,[' 428965207'],"[' 10571708 (Analyzed', ' 10308891)']","[' 19971    (Average', ' 516.19 Last', ' 96973)']",[' 7871.7  '],"[' 3844     (Average Length', ' 1858.33 Splits', ' 0)']","[' 10308891 (Deleted', ' 10169444)']","[' 1625     (Ratio', '   0.02%)']","[' 58498    (Ratio', '   0.57%)']","[' 10308891 (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10308891 (Average', ' 39.32 Max', ' 7971 Sum', ' 405378169)']","[' 10308729 (Average', ' 39.28 Max', ' 7971 Sum', ' 404957113 Ratio', '  99.90%)']","[' 162      (Average', ' 2599.11 Max', ' 3555 Sum', ' 421056 Ratio', '   0.10%)']", ,[' 106706  '],[' 14196   '],[' 109510  '],[' 74534   '],"[' 223598   (Atom=Atom', ' 61086 Body=Body', ' 33271 Other', ' 129241)']",[' Yes'],"[' 17750    (Eliminated', '    0 Frozen', ' 17750)']","[' 1510     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.22081'],[' 0'], ,[' 388.394'],[' 0'],[' 29.099'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78911e+09'],[' 1.63732e+09'],[' 0'],[' 1.45189e+10'],[' 0'],[' 0'],[' 1180 '],[' 2356 '],[' 3556 '],[' 3 '],[' 0 ']
UNKNOWN,TA59,[' 6881+'],[' 3444'],"[' 1008.182s (Solving', ' 979.41s 1st Model', ' 526.68s Unsat', ' 0.00s)']",[' 1005.406s'], ,[' 416163846'],"[' 11370157 (Analyzed', ' 11131942)']","[' 19708    (Average', ' 564.84 Last', ' 641289)']",[' 7685.3  '],"[' 3444     (Average Length', ' 1655.53 Splits', ' 0)']","[' 11131942 (Deleted', ' 10990288)']","[' 1630     (Ratio', '   0.01%)']","[' 57168    (Ratio', '   0.51%)']","[' 11131942 (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11131942 (Average', ' 35.48 Max', ' 8015 Sum', ' 394921217)']","[' 11131773 (Average', ' 35.44 Max', ' 8015 Sum', ' 394544518 Ratio', '  99.90%)']","[' 169      (Average', ' 2228.99 Max', ' 3166 Sum', ' 376699 Ratio', '   0.10%)']", ,[' 106146  '],[' 14131   '],[' 108561  '],[' 73928   '],"[' 221780   (Atom=Atom', ' 60545 Body=Body', ' 33206 Other', ' 128029)']",[' Yes'],"[' 17296    (Eliminated', '    0 Frozen', ' 17296)']","[' 1571     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.50768'],[' 0'], ,[' 403.862'],[' 0'],[' 30.0117'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70803e+09'],[' 1.5649e+09'],[' 0'],[' 1.51587e+10'],[' 0'],[' 0'],[' 1019 '],[' 2150 '],[' 3407 '],[' 3 '],[' 0 ']
UNKNOWN,TA60,[' 6497+'],[' 3252'],"[' 1007.946s (Solving', ' 981.04s 1st Model', ' 643.87s Unsat', ' 0.00s)']",[' 1005.203s'], ,[' 460740127'],"[' 5455329  (Analyzed', ' 5203271)']","[' 12023    (Average', ' 432.78 Last', ' 380114)']",[' 7194.6  '],"[' 3252     (Average Length', ' 1558.74 Splits', ' 0)']","[' 5203271  (Deleted', ' 5113720)']","[' 1627     (Ratio', '   0.03%)']","[' 59126    (Ratio', '   1.14%)']","[' 5203271  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5203271  (Average', ' 84.94 Max', ' 8255 Sum', ' 441946783)']","[' 5203132  (Average', ' 84.89 Max', ' 8255 Sum', ' 441690910 Ratio', '  99.94%)']","[' 139      (Average', ' 1840.81 Max', ' 2990 Sum', ' 255873 Ratio', '   0.06%)']", ,[' 105996  '],[' 14167   '],[' 108242  '],[' 73832   '],"[' 221492   (Atom=Atom', ' 60413 Body=Body', ' 33242 Other', ' 127837)']",[' Yes'],"[' 17163    (Eliminated', '    0 Frozen', ' 17163)']","[' 1480     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.1183'],[' 0'], ,[' 347.341'],[' 0'],[' 29.9818'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.10407e+09'],[' 1.92767e+09'],[' 0'],[' 1.06478e+10'],[' 0'],[' 0'],[' 1022 '],[' 2148 '],[' 3393 '],[' 3 '],[' 0 ']
