Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA61,[' 8719+'],[' 4364'],"[' 1010.889s (Solving', ' 968.85s 1st Model', ' 649.78s Unsat', ' 0.00s)']",[' 1007.438s'], ,[' 368143529'],"[' 12652009 (Analyzed', ' 12370101)']","[' 23694    (Average', ' 522.08 Last', ' 96005)']",[' 7360.9  '],"[' 4364     (Average Length', ' 2026.88 Splits', ' 0)']","[' 12370101 (Deleted', ' 12154730)']","[' 3051     (Ratio', '   0.02%)']","[' 51190    (Ratio', '   0.41%)']","[' 12370101 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12370101 (Average', ' 27.87 Max', ' 7578 Sum', ' 344801024)']","[' 12369780 (Average', ' 27.82 Max', ' 7578 Sum', ' 344078850 Ratio', '  99.79%)']","[' 321      (Average', ' 2249.76 Max', ' 3866 Sum', ' 722174 Ratio', '   0.21%)']", ,[' 124805  '],[' 14323   '],[' 127672  '],[' 81925   '],"[' 245771   (Atom=Atom', ' 68600 Body=Body', ' 39773 Other', ' 137398)']",[' Yes'],"[' 18190    (Eliminated', '    0 Frozen', ' 18190)']","[' 2880     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.14782'],[' 0'], ,[' 432.269'],[' 0'],[' 28.2614'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60831e+09'],[' 1.46695e+09'],[' 0'],[' 1.77168e+10'],[' 0'],[' 0'],[' 936 '],[' 1775 '],[' 2776 '],[' 3703 '],[' 4 '],[' 0 ']
UNKNOWN,TA62,[' 9519+'],[' 4764'],"[' 1011.433s (Solving', ' 966.13s 1st Model', ' 555.42s Unsat', ' 0.00s)']",[' 1008.641s'], ,[' 413376702'],"[' 8731843  (Analyzed', ' 8434173)']","[' 16906    (Average', ' 498.89 Last', ' 122930)']",[' 7432.9  '],"[' 4764     (Average Length', ' 2195.09 Splits', ' 0)']","[' 8434173  (Deleted', ' 8288728)']","[' 3403     (Ratio', '   0.04%)']","[' 52352    (Ratio', '   0.62%)']","[' 8434173  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8434173  (Average', ' 46.07 Max', ' 7766 Sum', ' 388562112)']","[' 8433815  (Average', ' 45.96 Max', ' 7766 Sum', ' 387644196 Ratio', '  99.76%)']","[' 358      (Average', ' 2564.01 Max', ' 4072 Sum', ' 917916 Ratio', '   0.24%)']", ,[' 125432  '],[' 14397   '],[' 128503  '],[' 82534   '],"[' 247598   (Atom=Atom', ' 69135 Body=Body', ' 39847 Other', ' 138616)']",[' Yes'],"[' 18468    (Eliminated', '    0 Frozen', ' 18468)']","[' 3138     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.0044'],[' 0'], ,[' 402.342'],[' 0'],[' 29.3013'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78437e+09'],[' 1.61165e+09'],[' 0'],[' 1.49039e+10'],[' 0'],[' 0'],[' 942 '],[' 1771 '],[' 2694 '],[' 3759 '],[' 4 '],[' 0 ']
UNKNOWN,TA63,[' 9543+'],[' 4776'],"[' 1010.550s (Solving', ' 966.83s 1st Model', ' 593.10s Unsat', ' 0.00s)']",[' 1007.828s'], ,[' 399372520'],"[' 9239185  (Analyzed', ' 8882248)']","[' 19633    (Average', ' 452.41 Last', ' 89050)']",[' 7260.7  '],"[' 4776     (Average Length', ' 2192.30 Splits', ' 0)']","[' 8882248  (Deleted', ' 8728520)']","[' 3371     (Ratio', '   0.04%)']","[' 52586    (Ratio', '   0.59%)']","[' 8882248  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8882248  (Average', ' 42.24 Max', ' 7897 Sum', ' 375207562)']","[' 8881907  (Average', ' 42.15 Max', ' 7897 Sum', ' 374345537 Ratio', '  99.77%)']","[' 341      (Average', ' 2527.93 Max', ' 4101 Sum', ' 862025 Ratio', '   0.23%)']", ,[' 125190  '],[' 14297   '],[' 128297  '],[' 82205   '],"[' 246611   (Atom=Atom', ' 68906 Body=Body', ' 39747 Other', ' 137958)']",[' Yes'],"[' 18404    (Eliminated', '    0 Frozen', ' 18404)']","[' 3219     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.98757'],[' 0'], ,[' 403.745'],[' 0'],[' 29.7187'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73612e+09'],[' 1.5741e+09'],[' 0'],[' 1.4829e+10'],[' 0'],[' 0'],[' 885 '],[' 1653 '],[' 2536 '],[' 3506 '],[' 4 '],[' 0 ']
UNKNOWN,TA64,[' 8909+'],[' 4459'],"[' 1010.377s (Solving', ' 968.48s 1st Model', ' 618.75s Unsat', ' 0.00s)']",[' 1007.156s'], ,[' 398638844'],"[' 12862127 (Analyzed', ' 12562620)']","[' 24010    (Average', ' 523.22 Last', ' 124245)']",[' 7229.0  '],"[' 4459     (Average Length', ' 2043.82 Splits', ' 0)']","[' 12562620 (Deleted', ' 12387324)']","[' 3290     (Ratio', '   0.03%)']","[' 53765    (Ratio', '   0.43%)']","[' 12562620 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12562620 (Average', ' 29.87 Max', ' 7260 Sum', ' 375255319)']","[' 12562321 (Average', ' 29.82 Max', ' 7260 Sum', ' 374578452 Ratio', '  99.82%)']","[' 299      (Average', ' 2263.77 Max', ' 3784 Sum', ' 676867 Ratio', '   0.18%)']", ,[' 125123  '],[' 14388   '],[' 127906  '],[' 82211   '],"[' 246629   (Atom=Atom', ' 68821 Body=Body', ' 39838 Other', ' 137970)']",[' Yes'],"[' 18171    (Eliminated', '    0 Frozen', ' 18171)']","[' 3008     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.28812'],[' 0'], ,[' 419.272'],[' 0'],[' 27.8788'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78583e+09'],[' 1.62197e+09'],[' 0'],[' 1.7619e+10'],[' 0'],[' 0'],[' 998 '],[' 1677 '],[' 2572 '],[' 3493 '],[' 4 '],[' 0 ']
UNKNOWN,TA65,[' 8797+'],[' 4403'],"[' 1010.722s (Solving', ' 972.43s 1st Model', ' 467.39s Unsat', ' 0.00s)']",[' 1008.500s'], ,[' 364522105'],"[' 9279498  (Analyzed', ' 9058641)']","[' 18640    (Average', ' 485.98 Last', ' 197126)']",[' 6855.7  '],"[' 4403     (Average Length', ' 2031.60 Splits', ' 0)']","[' 9058641  (Deleted', ' 8920221)']","[' 2158     (Ratio', '   0.02%)']","[' 44977    (Ratio', '   0.50%)']","[' 9058641  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9058641  (Average', ' 37.89 Max', ' 7009 Sum', ' 343264040)']","[' 9058298  (Average', ' 37.81 Max', ' 7009 Sum', ' 342478249 Ratio', '  99.77%)']","[' 343      (Average', ' 2290.94 Max', ' 2976 Sum', ' 785791 Ratio', '   0.23%)']", ,[' 124889  '],[' 14342   '],[' 127745  '],[' 81982   '],"[' 245942   (Atom=Atom', ' 68638 Body=Body', ' 39792 Other', ' 137512)']",[' Yes'],"[' 18198    (Eliminated', '    0 Frozen', ' 18198)']","[' 3676     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.56297'],[' 0'], ,[' 502.942'],[' 0'],[' 26.1019'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57706e+09'],[' 1.41646e+09'],[' 0'],[' 2.84478e+10'],[' 0'],[' 0'],[' 820 '],[' 1599 '],[' 2502 '],[' 5297 '],[' 4 '],[' 0 ']
UNKNOWN,TA66,[' 9497+'],[' 4753'],"[' 1011.782s (Solving', ' 967.16s 1st Model', ' 620.20s Unsat', ' 0.00s)']",[' 1009.344s'], ,[' 438071966'],"[' 6296935  (Analyzed', ' 6032067)']","[' 13060    (Average', ' 461.87 Last', ' 130676)']",[' 7325.9  '],"[' 4753     (Average Length', ' 2171.22 Splits', ' 0)']","[' 6032067  (Deleted', ' 5929907)']","[' 3274     (Ratio', '   0.05%)']","[' 55875    (Ratio', '   0.93%)']","[' 6032067  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6032067  (Average', ' 68.56 Max', ' 7236 Sum', ' 413549881)']","[' 6031748  (Average', ' 68.44 Max', ' 7236 Sum', ' 412840468 Ratio', '  99.83%)']","[' 319      (Average', ' 2223.87 Max', ' 4103 Sum', ' 709413 Ratio', '   0.17%)']", ,[' 125353  '],[' 14377   '],[' 128455  '],[' 82448   '],"[' 247340   (Atom=Atom', ' 69069 Body=Body', ' 39827 Other', ' 138444)']",[' Yes'],"[' 18479    (Eliminated', '    0 Frozen', ' 18479)']","[' 3271     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.62162'],[' 0'], ,[' 374.471'],[' 0'],[' 29.699'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.00351e+09'],[' 1.81812e+09'],[' 0'],[' 1.35131e+10'],[' 0'],[' 0'],[' 827 '],[' 1682 '],[' 2645 '],[' 3714 '],[' 4 '],[' 0 ']
UNKNOWN,TA67,[' 9305+'],[' 4657'],"[' 1010.725s (Solving', ' 967.82s 1st Model', ' 565.95s Unsat', ' 0.00s)']",[' 1007.688s'], ,[' 405587878'],"[' 11799492 (Analyzed', ' 11484648)']","[' 21458    (Average', ' 535.22 Last', ' 151495)']",[' 7349.0  '],"[' 4657     (Average Length', ' 2152.94 Splits', ' 0)']","[' 11484648 (Deleted', ' 11329589)']","[' 3119     (Ratio', '   0.03%)']","[' 52858    (Ratio', '   0.46%)']","[' 11484648 (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11484648 (Average', ' 33.21 Max', ' 7974 Sum', ' 381386563)']","[' 11484292 (Average', ' 33.13 Max', ' 7974 Sum', ' 380492121 Ratio', '  99.77%)']","[' 356      (Average', ' 2512.48 Max', ' 4011 Sum', ' 894442 Ratio', '   0.23%)']", ,[' 125289  '],[' 14364   '],[' 128299  '],[' 82326   '],"[' 246974   (Atom=Atom', ' 68960 Body=Body', ' 39814 Other', ' 138200)']",[' Yes'],"[' 18374    (Eliminated', '    0 Frozen', ' 18374)']","[' 3611     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.34974'],[' 0'], ,[' 419.578'],[' 0'],[' 28.9454'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79e+09'],[' 1.62757e+09'],[' 0'],[' 1.75722e+10'],[' 0'],[' 0'],[' 967 '],[' 1777 '],[' 2645 '],[' 3558 '],[' 4 '],[' 0 ']
UNKNOWN,TA68,[' 8485+'],[' 4247'],"[' 1010.541s (Solving', ' 972.15s 1st Model', ' 592.46s Unsat', ' 0.00s)']",[' 1008.109s'], ,[' 386322083'],"[' 14327142 (Analyzed', ' 14014518)']","[' 26578    (Average', ' 527.30 Last', ' 192196)']",[' 7262.7  '],"[' 4247     (Average Length', ' 1961.06 Splits', ' 0)']","[' 14014518 (Deleted', ' 13779224)']","[' 3432     (Ratio', '   0.02%)']","[' 52355    (Ratio', '   0.37%)']","[' 14014518 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14014518 (Average', ' 25.96 Max', ' 7313 Sum', ' 363854124)']","[' 14014143 (Average', ' 25.90 Max', ' 7313 Sum', ' 362956413 Ratio', '  99.75%)']","[' 375      (Average', ' 2393.90 Max', ' 3634 Sum', ' 897711 Ratio', '   0.25%)']", ,[' 124644  '],[' 14342   '],[' 127277  '],[' 81809   '],"[' 245423   (Atom=Atom', ' 68465 Body=Body', ' 39792 Other', ' 137166)']",[' Yes'],"[' 17975    (Eliminated', '    0 Frozen', ' 17975)']","[' 3329     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.40439'],[' 0'], ,[' 437.902'],[' 0'],[' 28.1098'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67566e+09'],[' 1.5203e+09'],[' 0'],[' 1.91226e+10'],[' 0'],[' 0'],[' 865 '],[' 1696 '],[' 2576 '],[' 3539 '],[' 4 '],[' 0 ']
UNKNOWN,TA69,[' 8619+'],[' 4314'],"[' 1010.382s (Solving', ' 971.98s 1st Model', ' 580.73s Unsat', ' 0.00s)']",[' 1007.938s'], ,[' 395032667'],"[' 11615138 (Analyzed', ' 11362806)']","[' 21558    (Average', ' 527.08 Last', ' 93959)']",[' 7246.5  '],"[' 4314     (Average Length', ' 1982.30 Splits', ' 0)']","[' 11362806 (Deleted', ' 11196969)']","[' 2786     (Ratio', '   0.02%)']","[' 53705    (Ratio', '   0.47%)']","[' 11362806 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11362806 (Average', ' 32.76 Max', ' 7522 Sum', ' 372248094)']","[' 11362481 (Average', ' 32.70 Max', ' 7522 Sum', ' 371526050 Ratio', '  99.81%)']","[' 325      (Average', ' 2221.67 Max', ' 4212 Sum', ' 722044 Ratio', '   0.19%)']", ,[' 124956  '],[' 14394   '],[' 127623  '],[' 82068   '],"[' 246200   (Atom=Atom', ' 68672 Body=Body', ' 39844 Other', ' 137684)']",[' Yes'],"[' 18061    (Eliminated', '    0 Frozen', ' 18061)']","[' 2826     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.6141'],[' 0'], ,[' 433.208'],[' 0'],[' 28.378'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72913e+09'],[' 1.57912e+09'],[' 0'],[' 1.79276e+10'],[' 0'],[' 0'],[' 1048 '],[' 1861 '],[' 2838 '],[' 3848 '],[' 4 '],[' 0 ']
UNKNOWN,TA70,[' 9831+'],[' 4920'],"[' 1012.266s (Solving', ' 965.89s 1st Model', ' 621.64s Unsat', ' 0.00s)']",[' 1010.094s'], ,[' 402128550'],"[' 9904995  (Analyzed', ' 9603517)']","[' 19915    (Average', ' 482.23 Last', ' 138389)']",[' 7572.5  '],"[' 4920     (Average Length', ' 2268.39 Splits', ' 0)']","[' 9603517  (Deleted', ' 9472298)']","[' 2972     (Ratio', '   0.03%)']","[' 50957    (Ratio', '   0.53%)']","[' 9603517  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9603517  (Average', ' 39.16 Max', ' 8680 Sum', ' 376031722)']","[' 9603189  (Average', ' 39.07 Max', ' 8680 Sum', ' 375201422 Ratio', '  99.78%)']","[' 328      (Average', ' 2531.40 Max', ' 4211 Sum', ' 830300 Ratio', '   0.22%)']", ,[' 125686  '],[' 14408   '],[' 128896  '],[' 82809   '],"[' 248423   (Atom=Atom', ' 69399 Body=Body', ' 39858 Other', ' 139166)']",[' Yes'],"[' 18618    (Eliminated', '    0 Frozen', ' 18618)']","[' 3090     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.03788'],[' 0'], ,[' 424.967'],[' 0'],[' 28.5254'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73904e+09'],[' 1.5784e+09'],[' 0'],[' 1.63811e+10'],[' 0'],[' 0'],[' 1039 '],[' 1763 '],[' 2749 '],[' 3781 '],[' 4 '],[' 0 ']
