Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 11385+'],[' 5696'],"[' 1032.837s (Solving', ' 887.14s 1st Model', ' 584.75s Unsat', ' 0.00s)']",[' 1028.563s'], ,[' 548733516'],"[' 9388394  (Analyzed', ' 285208)']","[' 4312     (Average', ' 66.14 Last', ' 96487)']",[' 20989.8 '],"[' 5696     (Average Length', ' 2699.09 Splits', ' 0)']","[' 285208   (Deleted', ' 229596)']","[' 73       (Ratio', '   0.03%)']","[' 35875    (Ratio', '  12.58%)']","[' 285208   (Average Length', '   34.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 285208   (Average', ' 1537.77 Max', ' 26822 Sum', ' 438585582)']","[' 283423   (Average', ' 1524.57 Max', ' 26822 Sum', ' 434820675 Ratio', '  99.14%)']","[' 1785     (Average', ' 2109.19 Max', ' 3543 Sum', ' 3764907 Ratio', '   0.86%)']", ,[' 441728  '],[' 35529   '],[' 444827  '],[' 272758  '],"[' 818270   (Atom=Atom', ' 239227 Body=Body', ' 136429 Other', ' 442614)']",[' Yes'],"[' 40628    (Eliminated', '    0 Frozen', ' 40628)']","[' 6199     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.8788'],[' 0'], ,[' 412.282'],[' 0'],[' 34.2377'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27429e+09'],[' 1.20326e+09'],[' 0'],[' 2.02292e+10'],[' 0'],[' 0'],[' 2764 '],[' 5753 '],[' 8096 '],[' 3 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 10773+'],[' 5390'],"[' 1030.013s (Solving', ' 899.92s 1st Model', ' 597.14s Unsat', ' 0.00s)']",[' 1025.328s'], ,[' 577163729'],"[' 7020975  (Analyzed', ' 327748)']","[' 4211     (Average', ' 77.83 Last', ' 91252)']",[' 19691.6 '],"[' 5390     (Average Length', ' 2539.96 Splits', ' 0)']","[' 327748   (Deleted', ' 264833)']","[' 73       (Ratio', '   0.02%)']","[' 41730    (Ratio', '  12.73%)']","[' 327748   (Average Length', '   30.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 327748   (Average', ' 1485.21 Max', ' 24488 Sum', ' 486774102)']","[' 324692   (Average', ' 1456.92 Max', ' 24488 Sum', ' 477503754 Ratio', '  98.10%)']","[' 3056     (Average', ' 3033.49 Max', ' 3323 Sum', ' 9270348 Ratio', '   1.90%)']", ,[' 439523  '],[' 35023   '],[' 442305  '],[' 272010  '],"[' 816026   (Atom=Atom', ' 238985 Body=Body', ' 135923 Other', ' 441118)']",[' Yes'],"[' 39805    (Eliminated', '    0 Frozen', ' 39805)']","[' 4738     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.2187'],[' 0'], ,[' 398.287'],[' 0'],[' 35.5607'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36058e+09'],[' 1.2871e+09'],[' 0'],[' 1.71014e+10'],[' 0'],[' 0'],[' 2246 '],[' 4620 '],[' 6841 '],[' 3 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 10533+'],[' 5270'],"[' 1029.434s (Solving', ' 904.51s 1st Model', ' 615.68s Unsat', ' 0.00s)']",[' 1026.484s'], ,[' 621015378'],"[' 8722015  (Analyzed', ' 353655)']","[' 4514     (Average', ' 78.35 Last', ' 65549)']",[' 19504.0 '],"[' 5270     (Average Length', ' 2506.38 Splits', ' 0)']","[' 353655   (Deleted', ' 300020)']","[' 77       (Ratio', '   0.02%)']","[' 43288    (Ratio', '  12.24%)']","[' 353655   (Average Length', '   32.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 353655   (Average', ' 1492.81 Max', ' 25213 Sum', ' 527940487)']","[' 351272   (Average', ' 1477.03 Max', ' 25213 Sum', ' 522359629 Ratio', '  98.94%)']","[' 2383     (Average', ' 2341.95 Max', ' 3441 Sum', ' 5580858 Ratio', '   1.06%)']", ,[' 439903  '],[' 35320   '],[' 442650  '],[' 270151  '],"[' 810449   (Atom=Atom', ' 236829 Body=Body', ' 136220 Other', ' 437400)']",[' Yes'],"[' 40067    (Eliminated', '    0 Frozen', ' 40067)']","[' 7565     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.7165'],[' 0'], ,[' 403.412'],[' 0'],[' 36.8156'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41426e+09'],[' 1.3367e+09'],[' 0'],[' 1.99684e+10'],[' 0'],[' 0'],[' 2638 '],[' 4993 '],[' 7337 '],[' 3 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 12293+'],[' 6150'],"[' 1033.994s (Solving', ' 887.57s 1st Model', ' 581.64s Unsat', ' 0.00s)']",[' 1030.969s'], ,[' 601348526'],"[' 8099398  (Analyzed', ' 342537)']","[' 4777     (Average', ' 71.71 Last', ' 41478)']",[' 19569.8 '],"[' 6150     (Average Length', ' 2876.13 Splits', ' 0)']","[' 342537   (Deleted', ' 278283)']","[' 75       (Ratio', '   0.02%)']","[' 41821    (Ratio', '  12.21%)']","[' 342537   (Average Length', '   30.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 342537   (Average', ' 1459.52 Max', ' 24134 Sum', ' 499938779)']","[' 339328   (Average', ' 1432.05 Max', ' 24134 Sum', ' 490530094 Ratio', '  98.12%)']","[' 3209     (Average', ' 2931.97 Max', ' 3708 Sum', ' 9408685 Ratio', '   1.88%)']", ,[' 439167  '],[' 35109   '],[' 442584  '],[' 269736  '],"[' 809204   (Atom=Atom', ' 236625 Body=Body', ' 136009 Other', ' 436570)']",[' Yes'],"[' 40526    (Eliminated', '    0 Frozen', ' 40526)']","[' 7887     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.5054'],[' 0'], ,[' 396.128'],[' 0'],[' 35.0753'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40248e+09'],[' 1.32364e+09'],[' 0'],[' 1.87038e+10'],[' 0'],[' 0'],[' 2258 '],[' 4603 '],[' 6991 '],[' 3 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 12297+'],[' 6152'],"[' 1033.031s (Solving', ' 893.53s 1st Model', ' 642.19s Unsat', ' 0.00s)']",[' 1029.375s'], ,[' 601920125'],"[' 7726229  (Analyzed', ' 348863)']","[' 4685     (Average', ' 74.46 Last', ' 97470)']",[' 19900.8 '],"[' 6152     (Average Length', ' 2883.99 Splits', ' 0)']","[' 348863   (Deleted', ' 287678)']","[' 68       (Ratio', '   0.02%)']","[' 41712    (Ratio', '  11.96%)']","[' 348863   (Average Length', '   33.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 348863   (Average', ' 1413.51 Max', ' 26266 Sum', ' 493119967)']","[' 347545   (Average', ' 1402.55 Max', ' 26266 Sum', ' 489297875 Ratio', '  99.22%)']","[' 1318     (Average', ' 2899.92 Max', ' 4097 Sum', ' 3822092 Ratio', '   0.78%)']", ,[' 441141  '],[' 35166   '],[' 444535  '],[' 272593  '],"[' 817775   (Atom=Atom', ' 239425 Body=Body', ' 136066 Other', ' 442284)']",[' Yes'],"[' 40560    (Eliminated', '    0 Frozen', ' 40560)']","[' 5040     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.8603'],[' 0'], ,[' 392.32'],[' 0'],[' 35.8185'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40489e+09'],[' 1.32706e+09'],[' 0'],[' 1.79143e+10'],[' 0'],[' 0'],[' 2532 '],[' 4781 '],[' 7124 '],[' 3 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 13187+'],[' 6597'],"[' 1037.910s (Solving', ' 887.42s 1st Model', ' 610.86s Unsat', ' 0.00s)']",[' 1033.297s'], ,[' 587106248'],"[' 8063427  (Analyzed', ' 298230)']","[' 4822     (Average', ' 61.85 Last', ' 86261)']",[' 19999.1 '],"[' 6597     (Average Length', ' 3087.11 Splits', ' 0)']","[' 298230   (Deleted', ' 252939)']","[' 47       (Ratio', '   0.02%)']","[' 35832    (Ratio', '  12.01%)']","[' 298230   (Average Length', '   32.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 298230   (Average', ' 1579.49 Max', ' 26730 Sum', ' 471051494)']","[' 296837   (Average', ' 1566.22 Max', ' 26730 Sum', ' 467092717 Ratio', '  99.16%)']","[' 1393     (Average', ' 2841.91 Max', ' 4435 Sum', ' 3958777 Ratio', '   0.84%)']", ,[' 440574  '],[' 35147   '],[' 444294  '],[' 272397  '],"[' 817187   (Atom=Atom', ' 239248 Body=Body', ' 136047 Other', ' 441892)']",[' Yes'],"[' 40867    (Eliminated', '    0 Frozen', ' 40867)']","[' 4850     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.3275'],[' 0'], ,[' 395.852'],[' 0'],[' 35.4752'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34154e+09'],[' 1.2697e+09'],[' 0'],[' 1.84233e+10'],[' 0'],[' 0'],[' 2317 '],[' 5057 '],[' 7514 '],[' 3 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 9863+'],[' 4934'],"[' 1036.868s (Solving', ' 876.79s 1st Model', ' 523.55s Unsat', ' 0.00s)']",[' 1023.797s'], ,[' 419074983'],"[' 7122060  (Analyzed', ' 236384)']","[' 3717     (Average', ' 63.60 Last', ' 45493)']",[' 19871.6 '],"[' 4934     (Average Length', ' 2383.94 Splits', ' 0)']","[' 236384   (Deleted', ' 194262)']","[' 49       (Ratio', '   0.02%)']","[' 28460    (Ratio', '  12.04%)']","[' 236384   (Average Length', '   31.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 236384   (Average', ' 1391.74 Max', ' 27281 Sum', ' 328985842)']","[' 234700   (Average', ' 1377.03 Max', ' 27281 Sum', ' 325506698 Ratio', '  98.94%)']","[' 1684     (Average', ' 2066.00 Max', ' 2066 Sum', ' 3479144 Ratio', '   1.06%)']", ,[' 437483  '],[' 34977   '],[' 440048  '],[' 268217  '],"[' 804647   (Atom=Atom', ' 235238 Body=Body', ' 135877 Other', ' 433532)']",[' Yes'],"[' 39542    (Eliminated', '    0 Frozen', ' 39542)']","[' 5912     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 31.5781'],[' 0'], ,[' 423.892'],[' 0'],[' 33.6772'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.40669e+08'],[' 8.83404e+08'],[' 0'],[' 1.48883e+10'],[' 0'],[' 0'],[' 2299 '],[' 7376 '],[' 9787 '],[' 3 '],[' 0 ']
Solving...,TA78, , ,[' 8797+'],[' 4402'],"[' 854.103s (Solving', ' 696.00s 1st Model', ' 442.76s Unsat', ' 0.00s)']",[' 842.469s'], ,[' 336179287'],"[' 3219634  (Analyzed', ' 139751)']","[' 2599     (Average', ' 53.77 Last', ' 21454)']",[' 20212.4 '],"[' 4402     (Average Length', ' 2169.21 Splits', ' 0)']","[' 139751   (Deleted', ' 109119)']","[' 33       (Ratio', '   0.02%)']","[' 17754    (Ratio', '  12.70%)']","[' 139751   (Average Length', '   31.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 139751   (Average', ' 1848.44 Max', ' 27882 Sum', ' 258321517)']","[' 137612   (Average', ' 1814.51 Max', ' 27882 Sum', ' 253579354 Ratio', '  98.16%)']","[' 2139     (Average', ' 2217.00 Max', ' 2217 Sum', ' 4742163 Ratio', '   1.84%)']", ,[' 437116  '],[' 34934   '],[' 439398  '],[' 266938  '],"[' 800810   (Atom=Atom', ' 234002 Body=Body', ' 135834 Other', ' 430974)']",[' Yes'],"[' 39216    (Eliminated', '    0 Frozen', ' 39216)']","[' 3829     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 30.1318'],[' 0'], ,[' 305.15'],[' 0'],[' 30.8381'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.26082e+08'],[' 6.89771e+08'],[' 0'],[' 7.38267e+09'],[' 0'],[' 0'],[' 2378 '],[' 11134 '],[' 15037 '],[' 3 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 7371+'],[' 3689'],"[' 697.363s (Solving', ' 605.55s 1st Model', ' 281.59s Unsat', ' 0.00s)']",[' 688.109s'], ,[' 247659042'],"[' 7288906  (Analyzed', ' 130641)']","[' 2891     (Average', ' 45.19 Last', ' 17107)']",[' 15057.9 '],"[' 3689     (Average Length', ' 1822.23 Splits', ' 0)']","[' 130641   (Deleted', ' 110682)']","[' 43       (Ratio', '   0.03%)']","[' 16373    (Ratio', '  12.53%)']","[' 130641   (Average Length', '   32.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 130641   (Average', ' 1508.26 Max', ' 26175 Sum', ' 197040640)']","[' 128235   (Average', ' 1464.05 Max', ' 26175 Sum', ' 191264678 Ratio', '  97.07%)']","[' 2406     (Average', ' 2400.65 Max', ' 3537 Sum', ' 5775962 Ratio', '   2.93%)']", ,[' 436853  '],[' 35061   '],[' 438406  '],[' 266795  '],"[' 800381   (Atom=Atom', ' 233732 Body=Body', ' 135961 Other', ' 430688)']",[' Yes'],"[' 38614    (Eliminated', '    0 Frozen', ' 38614)']","[' 3514     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.4239'],[' 0'], ,[' 315.551'],[' 0'],[' 21.797'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.99022e+08'],[' 3.63083e+08'],[' 0'],[' 1.3864e+10'],[' 0'],[' 0'],[' 2314 '],[' 7914 '],[' 22894 '],[' 3 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 9885+'],[' 4945'],"[' 1039.544s (Solving', ' 869.35s 1st Model', ' 495.10s Unsat', ' 0.00s)']",[' 1028.063s'], ,[' 387272695'],"[' 7385948  (Analyzed', ' 159087)']","[' 3170     (Average', ' 50.19 Last', ' 37596)']",[' 20622.8 '],"[' 4945     (Average Length', ' 2386.95 Splits', ' 0)']","[' 159087   (Deleted', ' 124641)']","[' 45       (Ratio', '   0.03%)']","[' 20576    (Ratio', '  12.93%)']","[' 159087   (Average Length', '   34.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 159087   (Average', ' 1847.61 Max', ' 27599 Sum', ' 293930836)']","[' 156948   (Average', ' 1820.41 Max', ' 27599 Sum', ' 289603639 Ratio', '  98.53%)']","[' 2139     (Average', ' 2023.00 Max', ' 2023 Sum', ' 4327197 Ratio', '   1.47%)']", ,[' 437824  '],[' 35049   '],[' 440396  '],[' 267964  '],"[' 803888   (Atom=Atom', ' 234913 Body=Body', ' 135949 Other', ' 433026)']",[' Yes'],"[' 39621    (Eliminated', '    0 Frozen', ' 39621)']","[' 4290     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 32.4512'],[' 0'], ,[' 429.55'],[' 0'],[' 34.1989'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.60375e+08'],[' 8.13155e+08'],[' 0'],[' 1.53237e+10'],[' 0'],[' 0'],[' 2392 '],[' 8491 '],[' 10654 '],[' 3 '],[' 0 ']
