Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 3581+'],[' 1795'],"[' 1002.799s (Solving', ' 990.23s 1st Model', ' 14.83s Unsat', ' 0.00s)']",[' 997.891s'], ,[' 152917600'],"[' 14892945 (Analyzed', ' 14643521)']","[' 27543    (Average', ' 531.66 Last', ' 14341)']",[' 3281.5  '],"[' 1795     (Average Length', ' 843.72 Splits', ' 0)']","[' 14643521 (Deleted', ' 14475944)']","[' 182      (Ratio', '   0.00%)']","[' 18354    (Ratio', '   0.13%)']","[' 14643521 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14643521 (Average', ' 10.12 Max', ' 3680 Sum', ' 148239119)']","[' 14642874 (Average', ' 10.08 Max', ' 3680 Sum', ' 147651845 Ratio', '  99.60%)']","[' 647      (Average', ' 907.69 Max', ' 1279 Sum', ' 587274 Ratio', '   0.40%)']", ,[' 109304  '],[' 7007    '],[' 109914  '],[' 62344   '],"[' 187028   (Atom=Atom', ' 56335 Body=Body', ' 32457 Other', ' 98236)']",[' Yes'],"[' 8617     (Eliminated', '    0 Frozen', ' 8617)']","[' 3310     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.95487'],[' 0'], ,[' 779.904'],[' 0'],[' 16.3675'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.56255e+08'],[' 3.53247e+08'],[' 0'],[' 7.7644e+10'],[' 0'],[' 0'],[' 981 '],[' 1909 '],[' 2791 '],[' 3723 '],[' 4 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 3711+'],[' 1860'],"[' 1002.698s (Solving', ' 990.70s 1st Model', ' 13.59s Unsat', ' 0.00s)']",[' 999.969s'], ,[' 167048023'],"[' 13852225 (Analyzed', ' 13628817)']","[' 24849    (Average', ' 548.47 Last', ' 3589)']",[' 3395.0  '],"[' 1860     (Average Length', ' 882.73 Splits', ' 0)']","[' 13628817 (Deleted', ' 13480961)']","[' 169      (Ratio', '   0.00%)']","[' 19517    (Ratio', '   0.14%)']","[' 13628817 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13628817 (Average', ' 11.90 Max', ' 3757 Sum', ' 162187079)']","[' 13628113 (Average', ' 11.85 Max', ' 3757 Sum', ' 161520395 Ratio', '  99.59%)']","[' 704      (Average', ' 946.99 Max', ' 1321 Sum', ' 666684 Ratio', '   0.41%)']", ,[' 110152  '],[' 7137    '],[' 110838  '],[' 63023   '],"[' 189065   (Atom=Atom', ' 56884 Body=Body', ' 32587 Other', ' 99594)']",[' Yes'],"[' 8823     (Eliminated', '    0 Frozen', ' 8823)']","[' 3522     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.00847'],[' 0'], ,[' 769.179'],[' 0'],[' 16.7692'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.29221e+08'],[' 4.26609e+08'],[' 0'],[' 7.52955e+10'],[' 0'],[' 0'],[' 971 '],[' 2041 '],[' 2966 '],[' 3800 '],[' 4 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 3479+'],[' 1744'],"[' 999.840s (Solving', ' 987.70s 1st Model', ' 12.78s Unsat', ' 0.00s)']",[' 1000.125s'], ,[' 131759831'],"[' 14768142 (Analyzed', ' 14489912)']","[' 27505    (Average', ' 526.81 Last', ' 4475)']",[' 3429.2  '],"[' 1744     (Average Length', ' 826.52 Splits', ' 0)']","[' 14489912 (Deleted', ' 14302454)']","[' 165      (Ratio', '   0.00%)']","[' 15791    (Ratio', '   0.11%)']","[' 14489912 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14489912 (Average', '  8.76 Max', ' 3832 Sum', ' 126892972)']","[' 14489193 (Average', '  8.72 Max', ' 3832 Sum', ' 126299519 Ratio', '  99.53%)']","[' 719      (Average', ' 825.39 Max', ' 1355 Sum', ' 593453 Ratio', '   0.47%)']", ,[' 109192  '],[' 7035    '],[' 109774  '],[' 62141   '],"[' 186419   (Atom=Atom', ' 56104 Body=Body', ' 32485 Other', ' 97830)']",[' Yes'],"[' 8617     (Eliminated', '    0 Frozen', ' 8617)']","[' 2758     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.92356'],[' 0'], ,[' 797.17'],[' 0'],[' 15.6502'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.97096e+08'],[' 3.11051e+08'],[' 0'],[' 7.81734e+10'],[' 0'],[' 0'],[' 1002 '],[' 1968 '],[' 2786 '],[' 3653 '],[' 4 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 3709+'],[' 1859'],"[' 1001.591s (Solving', ' 988.81s 1st Model', ' 17.57s Unsat', ' 0.00s)']",[' 1000.891s'], ,[' 151834730'],"[' 15709143 (Analyzed', ' 15314133)']","[' 27922    (Average', ' 548.46 Last', ' 222054)']",[' 3407.6  '],"[' 1859     (Average Length', ' 864.63 Splits', ' 0)']","[' 15314133 (Deleted', ' 15151073)']","[' 202      (Ratio', '   0.00%)']","[' 21258    (Ratio', '   0.14%)']","[' 15314133 (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15314133 (Average', '  9.57 Max', ' 3619 Sum', ' 146545168)']","[' 15313474 (Average', '  9.53 Max', ' 3619 Sum', ' 145998745 Ratio', '  99.63%)']","[' 659      (Average', ' 829.17 Max', ' 1285 Sum', ' 546423 Ratio', '   0.37%)']", ,[' 109523  '],[' 7044    '],[' 110145  '],[' 62455   '],"[' 187361   (Atom=Atom', ' 56409 Body=Body', ' 32494 Other', ' 98458)']",[' Yes'],"[' 8666     (Eliminated', '    0 Frozen', ' 8666)']","[' 3725     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.09282'],[' 0'], ,[' 777.309'],[' 0'],[' 17.0678'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.53533e+08'],[' 3.64614e+08'],[' 0'],[' 7.66218e+10'],[' 0'],[' 0'],[' 1263 '],[' 2041 '],[' 2916 '],[' 3614 '],[' 4 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 3625+'],[' 1817'],"[' 1002.700s (Solving', ' 990.41s 1st Model', ' 16.10s Unsat', ' 0.00s)']",[' 997.875s'], ,[' 145596641'],"[' 14539951 (Analyzed', ' 14207401)']","[' 26146    (Average', ' 543.39 Last', ' 167432)']",[' 3274.7  '],"[' 1817     (Average Length', ' 856.25 Splits', ' 0)']","[' 14207401 (Deleted', ' 14049476)']","[' 149      (Ratio', '   0.00%)']","[' 19738    (Ratio', '   0.14%)']","[' 14207401 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14207401 (Average', '  9.92 Max', ' 3686 Sum', ' 140893291)']","[' 14206718 (Average', '  9.87 Max', ' 3686 Sum', ' 140209809 Ratio', '  99.51%)']","[' 683      (Average', ' 1000.71 Max', ' 3424 Sum', ' 683482 Ratio', '   0.49%)']", ,[' 110216  '],[' 7151    '],[' 110849  '],[' 63430   '],"[' 190286   (Atom=Atom', ' 57277 Body=Body', ' 32601 Other', ' 100408)']",[' Yes'],"[' 8784     (Eliminated', '    0 Frozen', ' 8784)']","[' 3416     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.97764'],[' 0'], ,[' 774.926'],[' 0'],[' 17.1777'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.32425e+08'],[' 3.44421e+08'],[' 0'],[' 6.97819e+10'],[' 0'],[' 0'],[' 952 '],[' 1797 '],[' 2788 '],[' 3871 '],[' 4 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 3819+'],[' 1914'],"[' 1003.681s (Solving', ' 986.94s 1st Model', ' 26.53s Unsat', ' 0.00s)']",[' 998.609s'], ,[' 130276838'],"[' 11368980 (Analyzed', ' 11141399)']","[' 21223    (Average', ' 524.97 Last', ' 34966)']",[' 3358.7  '],"[' 1914     (Average Length', ' 905.98 Splits', ' 0)']","[' 11141399 (Deleted', ' 11014263)']","[' 132      (Ratio', '   0.00%)']","[' 17420    (Ratio', '   0.16%)']","[' 11141399 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11141399 (Average', ' 11.28 Max', ' 3688 Sum', ' 125669344)']","[' 11140571 (Average', ' 11.20 Max', ' 3688 Sum', ' 124796603 Ratio', '  99.31%)']","[' 828      (Average', ' 1054.04 Max', ' 1377 Sum', ' 872741 Ratio', '   0.69%)']", ,[' 109738  '],[' 7039    '],[' 110479  '],[' 62591   '],"[' 187769   (Atom=Atom', ' 56550 Body=Body', ' 32489 Other', ' 98730)']",[' Yes'],"[' 8780     (Eliminated', '    0 Frozen', ' 8780)']","[' 3278     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.83514'],[' 0'], ,[' 761.118'],[' 0'],[' 16.5214'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.82474e+08'],[' 3.01377e+08'],[' 0'],[' 5.6983e+10'],[' 0'],[' 0'],[' 976 '],[' 1811 '],[' 2931 '],[' 3752 '],[' 4 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 3955+'],[' 1982'],"[' 1004.266s (Solving', ' 984.95s 1st Model', ' 17.94s Unsat', ' 0.00s)']",[' 998.109s'], ,[' 88498536'],"[' 11784728 (Analyzed', ' 11490238)']","[' 21152    (Average', ' 543.22 Last', ' 6468)']",[' 3707.2  '],"[' 1982     (Average Length', ' 933.41 Splits', ' 0)']","[' 11490238 (Deleted', ' 11348839)']","[' 134      (Ratio', '   0.00%)']","[' 14345    (Ratio', '   0.12%)']","[' 11490238 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11490238 (Average', '  7.21 Max', ' 3929 Sum', ' 82853835)']","[' 11489554 (Average', '  7.16 Max', ' 3929 Sum', ' 82223825 Ratio', '  99.24%)']","[' 684      (Average', ' 921.07 Max', ' 1352 Sum', ' 630010 Ratio', '   0.76%)']", ,[' 110148  '],[' 7130    '],[' 110929  '],[' 63332   '],"[' 189992   (Atom=Atom', ' 57200 Body=Body', ' 32580 Other', ' 100212)']",[' Yes'],"[' 8911     (Eliminated', '    0 Frozen', ' 8911)']","[' 2655     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.37648'],[' 0'], ,[' 777.762'],[' 0'],[' 14.8037'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.55483e+08'],[' 1.99736e+08'],[' 0'],[' 5.67019e+10'],[' 0'],[' 0'],[' 1152 '],[' 2141 '],[' 2994 '],[' 3868 '],[' 4 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 3829+'],[' 1919'],"[' 1004.079s (Solving', ' 986.10s 1st Model', ' 20.10s Unsat', ' 0.00s)']",[' 999.984s'], ,[' 76228197'],"[' 13608635 (Analyzed', ' 13166879)']","[' 26019    (Average', ' 506.05 Last', ' 20736)']",[' 3571.9  '],"[' 1919     (Average Length', ' 891.08 Splits', ' 0)']","[' 13166879 (Deleted', ' 12989307)']","[' 89       (Ratio', '   0.00%)']","[' 11671    (Ratio', '   0.09%)']","[' 13166879 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13166879 (Average', '  5.37 Max', ' 4004 Sum', ' 70757405)']","[' 13166196 (Average', '  5.33 Max', ' 4004 Sum', ' 70133496 Ratio', '  99.12%)']","[' 683      (Average', ' 913.48 Max', ' 1279 Sum', ' 623909 Ratio', '   0.88%)']", ,[' 109298  '],[' 6975    '],[' 109984  '],[' 62278   '],"[' 186830   (Atom=Atom', ' 56301 Body=Body', ' 32425 Other', ' 98104)']",[' Yes'],"[' 8661     (Eliminated', '    0 Frozen', ' 8661)']","[' 2112     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.06153'],[' 0'], ,[' 788.08'],[' 0'],[' 14.1434'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12468e+08'],[' 1.61952e+08'],[' 0'],[' 5.95279e+10'],[' 0'],[' 0'],[' 1045 '],[' 1827 '],[' 2774 '],[' 3678 '],[' 4 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 3295+'],[' 1652'],"[' 1003.328s (Solving', ' 987.47s 1st Model', ' 19.49s Unsat', ' 0.00s)']",[' 998.141s'], ,[' 102466191'],"[' 11924966 (Analyzed', ' 11636819)']","[' 21386    (Average', ' 544.13 Last', ' 130960)']",[' 3470.5  '],"[' 1652     (Average Length', ' 783.54 Splits', ' 0)']","[' 11636819 (Deleted', ' 11500511)']","[' 160      (Ratio', '   0.00%)']","[' 18912    (Ratio', '   0.16%)']","[' 11636819 (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11636819 (Average', '  8.39 Max', ' 3837 Sum', ' 97640938)']","[' 11636198 (Average', '  8.35 Max', ' 3837 Sum', ' 97165354 Ratio', '  99.51%)']","[' 621      (Average', ' 765.84 Max', ' 1164 Sum', ' 475584 Ratio', '   0.49%)']", ,[' 110121  '],[' 7189    '],[' 110620  '],[' 63175   '],"[' 189521   (Atom=Atom', ' 56984 Body=Body', ' 32639 Other', ' 99898)']",[' Yes'],"[' 8688     (Eliminated', '    0 Frozen', ' 8688)']","[' 3424     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.66899'],[' 0'], ,[' 768.266'],[' 0'],[' 15.618'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.99028e+08'],[' 2.39594e+08'],[' 0'],[' 5.89792e+10'],[' 0'],[' 0'],[' 1329 '],[' 2262 '],[' 3172 '],[' 4111 '],[' 4 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 3471+'],[' 1740'],"[' 1003.363s (Solving', ' 986.70s 1st Model', ' 28.35s Unsat', ' 0.00s)']",[' 996.969s'], ,[' 79743200'],"[' 14445819 (Analyzed', ' 14209736)']","[' 26584    (Average', ' 534.52 Last', ' 33807)']",[' 3632.2  '],"[' 1740     (Average Length', ' 826.28 Splits', ' 0)']","[' 14209736 (Deleted', ' 14021641)']","[' 104      (Ratio', '   0.00%)']","[' 12457    (Ratio', '   0.09%)']","[' 14209736 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14209736 (Average', '  5.26 Max', ' 4068 Sum', ' 74696133)']","[' 14208970 (Average', '  5.22 Max', ' 4068 Sum', ' 74114393 Ratio', '  99.22%)']","[' 766      (Average', ' 759.45 Max', ' 1204 Sum', ' 581740 Ratio', '   0.78%)']", ,[' 110042  '],[' 7107    '],[' 110646  '],[' 62451   '],"[' 187349   (Atom=Atom', ' 56342 Body=Body', ' 32557 Other', ' 98450)']",[' Yes'],"[' 8711     (Eliminated', '    0 Frozen', ' 8711)']","[' 2381     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.93743'],[' 0'], ,[' 803.058'],[' 0'],[' 14.4284'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20418e+08'],[' 1.66834e+08'],[' 0'],[' 6.45806e+10'],[' 0'],[' 0'],[' 977 '],[' 2229 '],[' 3081 '],[' 4158 '],[' 4 '],[' 0 ']
