Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 1509+'],[' 760'],"[' 1001.030s (Solving', ' 997.37s 1st Model', ' 3.68s Unsat', ' 0.00s)']",[' 999.484s'], ,[' 58190601'],"[' 23546381 (Analyzed', ' 23474795)']","[' 42420    (Average', ' 553.39 Last', ' 209463)']",[' 1870.7  '],"[' 760      (Average Length', ' 367.74 Splits', ' 0)']","[' 23474795 (Deleted', ' 23196824)']","[' 16       (Ratio', '   0.00%)']","[' 5968     (Ratio', '   0.03%)']","[' 23474795 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23474795 (Average', '  2.40 Max', ' 2652 Sum', ' 56354299)']","[' 23474301 (Average', '  2.39 Max', ' 2652 Sum', ' 56152796 Ratio', '  99.64%)']","[' 494      (Average', ' 407.90 Max', ' 636 Sum', ' 201503 Ratio', '   0.36%)']", ,[' 78933   '],[' 4387    '],[' 78902   '],[' 43971   '],"[' 131909   (Atom=Atom', ' 40332 Body=Body', ' 23462 Other', ' 68115)']",[' Yes'],"[' 5106     (Eliminated', '    0 Frozen', ' 5106)']","[' 919      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.886062'],[' 0'], ,[' 830.423'],[' 0'],[' 13.1029'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69057e+08'],[' 1.0463e+08'],[' 0'],[' 9.74031e+10'],[' 0'],[' 0'],[' 888 '],[' 1670 '],[' 2436 '],[' 3201 '],[' 4048 '],[' 5 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 1585+'],[' 798'],"[' 1001.008s (Solving', ' 997.07s 1st Model', ' 2.58s Unsat', ' 0.00s)']",[' 999.313s'], ,[' 74056989'],"[' 29774030 (Analyzed', ' 29690740)']","[' 53118    (Average', ' 558.96 Last', ' 56533)']",[' 1928.1  '],"[' 798      (Average Length', ' 383.98 Splits', ' 0)']","[' 29690740 (Deleted', ' 29389127)']","[' 25       (Ratio', '   0.00%)']","[' 7372     (Ratio', '   0.02%)']","[' 29690740 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29690740 (Average', '  2.42 Max', ' 2465 Sum', ' 71891112)']","[' 29690106 (Average', '  2.41 Max', ' 2465 Sum', ' 71634032 Ratio', '  99.64%)']","[' 634      (Average', ' 405.49 Max', ' 632 Sum', ' 257080 Ratio', '   0.36%)']", ,[' 79431   '],[' 4473    '],[' 79441   '],[' 44335   '],"[' 133001   (Atom=Atom', ' 40610 Body=Body', ' 23548 Other', ' 68843)']",[' Yes'],"[' 5233     (Eliminated', '    0 Frozen', ' 5233)']","[' 1370     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.964922'],[' 0'], ,[' 801.887'],[' 0'],[' 12.8749'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.96198e+08'],[' 1.18316e+08'],[' 0'],[' 9.01936e+10'],[' 0'],[' 0'],[' 1064 '],[' 1837 '],[' 2562 '],[' 3540 '],[' 4144 '],[' 5 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 1909+'],[' 960'],"[' 1001.050s (Solving', ' 996.49s 1st Model', ' 3.35s Unsat', ' 0.00s)']",[' 999.313s'], ,[' 57815331'],"[' 25164766 (Analyzed', ' 25084629)']","[' 44309    (Average', ' 566.13 Last', ' 156750)']",[' 2045.4  '],"[' 960      (Average Length', ' 456.97 Splits', ' 0)']","[' 25084629 (Deleted', ' 24798846)']","[' 26       (Ratio', '   0.00%)']","[' 5619     (Ratio', '   0.02%)']","[' 25084629 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25084629 (Average', '  2.22 Max', ' 2650 Sum', ' 55624439)']","[' 25084212 (Average', '  2.21 Max', ' 2650 Sum', ' 55426765 Ratio', '  99.64%)']","[' 417      (Average', ' 474.04 Max', ' 754 Sum', ' 197674 Ratio', '   0.36%)']", ,[' 78890   '],[' 4384    '],[' 79039   '],[' 44538   '],"[' 133610   (Atom=Atom', ' 40902 Body=Body', ' 23459 Other', ' 69249)']",[' Yes'],"[' 5283     (Eliminated', '    0 Frozen', ' 5283)']","[' 1005     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12692'],[' 0'], ,[' 822.635'],[' 0'],[' 13.2352'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67512e+08'],[' 1.03036e+08'],[' 0'],[' 9.53262e+10'],[' 0'],[' 0'],[' 808 '],[' 1639 '],[' 2280 '],[' 3150 '],[' 3779 '],[' 5 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 1697+'],[' 854'],"[' 1001.145s (Solving', ' 996.49s 1st Model', ' 2.92s Unsat', ' 0.00s)']",[' 999.703s'], ,[' 56428292'],"[' 24619738 (Analyzed', ' 24543800)']","[' 43163    (Average', ' 568.63 Last', ' 180819)']",[' 2173.8  '],"[' 854      (Average Length', ' 411.83 Splits', ' 0)']","[' 24543800 (Deleted', ' 24274678)']","[' 14       (Ratio', '   0.00%)']","[' 5714     (Ratio', '   0.02%)']","[' 24543800 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24543800 (Average', '  2.21 Max', ' 2767 Sum', ' 54171468)']","[' 24543287 (Average', '  2.20 Max', ' 2767 Sum', ' 53979226 Ratio', '  99.65%)']","[' 513      (Average', ' 374.74 Max', ' 681 Sum', ' 192242 Ratio', '   0.35%)']", ,[' 79586   '],[' 4474    '],[' 79642   '],[' 44756   '],"[' 134264   (Atom=Atom', ' 41030 Body=Body', ' 23549 Other', ' 69685)']",[' Yes'],"[' 5280     (Eliminated', '    0 Frozen', ' 5280)']","[' 943      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.11246'],[' 0'], ,[' 824.775'],[' 0'],[' 13.2528'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57069e+08'],[' 9.37438e+07'],[' 0'],[' 9.97795e+10'],[' 0'],[' 0'],[' 988 '],[' 1818 '],[' 2570 '],[' 3305 '],[' 4073 '],[' 5 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 1683+'],[' 847'],"[' 1001.141s (Solving', ' 996.84s 1st Model', ' 2.74s Unsat', ' 0.00s)']",[' 997.109s'], ,[' 56509135'],"[' 23990175 (Analyzed', ' 23933179)']","[' 43307    (Average', ' 552.64 Last', ' 217304)']",[' 1834.9  '],"[' 847      (Average Length', ' 404.30 Splits', ' 0)']","[' 23933179 (Deleted', ' 23648142)']","[' 48       (Ratio', '   0.00%)']","[' 7462     (Ratio', '   0.03%)']","[' 23933179 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23933179 (Average', '  2.29 Max', ' 2437 Sum', ' 54693258)']","[' 23932593 (Average', '  2.27 Max', ' 2437 Sum', ' 54437337 Ratio', '  99.53%)']","[' 586      (Average', ' 436.73 Max', ' 687 Sum', ' 255921 Ratio', '   0.47%)']", ,[' 79530   '],[' 4473    '],[' 79576   '],[' 44264   '],"[' 132788   (Atom=Atom', ' 40539 Body=Body', ' 23548 Other', ' 68701)']",[' Yes'],"[' 5269     (Eliminated', '    0 Frozen', ' 5269)']","[' 1381     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00982'],[' 0'], ,[' 820.693'],[' 0'],[' 13.1715'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62504e+08'],[' 1.00465e+08'],[' 0'],[' 9.19546e+10'],[' 0'],[' 0'],[' 814 '],[' 1838 '],[' 2462 '],[' 3405 '],[' 4151 '],[' 5 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 1829+'],[' 920'],"[' 1001.017s (Solving', ' 996.21s 1st Model', ' 3.78s Unsat', ' 0.00s)']",[' 995.516s'], ,[' 66820897'],"[' 25578041 (Analyzed', ' 25500168)']","[' 44669    (Average', ' 570.87 Last', ' 1232)']",[' 2131.1  '],"[' 920      (Average Length', ' 445.69 Splits', ' 0)']","[' 25500168 (Deleted', ' 25190824)']","[' 33       (Ratio', '   0.00%)']","[' 7036     (Ratio', '   0.03%)']","[' 25500168 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25500168 (Average', '  2.53 Max', ' 2497 Sum', ' 64561387)']","[' 25499635 (Average', '  2.52 Max', ' 2497 Sum', ' 64326409 Ratio', '  99.64%)']","[' 533      (Average', ' 440.86 Max', ' 961 Sum', ' 234978 Ratio', '   0.36%)']", ,[' 78765   '],[' 4391    '],[' 78891   '],[' 44119   '],"[' 132353   (Atom=Atom', ' 40476 Body=Body', ' 23466 Other', ' 68411)']",[' Yes'],"[' 5267     (Eliminated', '    0 Frozen', ' 5267)']","[' 1158     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.2646'],[' 0'], ,[' 805.418'],[' 0'],[' 13.3943'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.88911e+08'],[' 1.20821e+08'],[' 0'],[' 8.77048e+10'],[' 0'],[' 0'],[' 894 '],[' 1974 '],[' 2746 '],[' 3441 '],[' 4032 '],[' 5 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 1751+'],[' 881'],"[' 1001.380s (Solving', ' 996.47s 1st Model', ' 3.40s Unsat', ' 0.00s)']",[' 999.141s'], ,[' 61022053'],"[' 25803669 (Analyzed', ' 25736703)']","[' 45475    (Average', ' 565.95 Last', ' 42453)']",[' 1933.2  '],"[' 881      (Average Length', ' 422.46 Splits', ' 0)']","[' 25736703 (Deleted', ' 25458232)']","[' 32       (Ratio', '   0.00%)']","[' 6221     (Ratio', '   0.02%)']","[' 25736703 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25736703 (Average', '  2.29 Max', ' 2505 Sum', ' 58980368)']","[' 25736193 (Average', '  2.28 Max', ' 2505 Sum', ' 58780105 Ratio', '  99.66%)']","[' 510      (Average', ' 392.67 Max', ' 702 Sum', ' 200263 Ratio', '   0.34%)']", ,[' 78729   '],[' 4379    '],[' 78812   '],[' 43854   '],"[' 131558   (Atom=Atom', ' 40223 Body=Body', ' 23454 Other', ' 67881)']",[' Yes'],"[' 5212     (Eliminated', '    0 Frozen', ' 5212)']","[' 1171     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12925'],[' 0'], ,[' 814.621'],[' 0'],[' 12.53'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72069e+08'],[' 1.03151e+08'],[' 0'],[' 9.02458e+10'],[' 0'],[' 0'],[' 891 '],[' 1678 '],[' 2360 '],[' 3053 '],[' 3864 '],[' 5 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 1691+'],[' 851'],"[' 1001.026s (Solving', ' 996.62s 1st Model', ' 2.77s Unsat', ' 0.00s)']",[' 999.750s'], ,[' 55297636'],"[' 23873663 (Analyzed', ' 23809230)']","[' 43633    (Average', ' 545.67 Last', ' 96571)']",[' 1926.8  '],"[' 851      (Average Length', ' 411.79 Splits', ' 0)']","[' 23809230 (Deleted', ' 23517869)']","[' 21       (Ratio', '   0.00%)']","[' 6016     (Ratio', '   0.03%)']","[' 23809230 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23809230 (Average', '  2.24 Max', ' 2571 Sum', ' 53378360)']","[' 23808728 (Average', '  2.23 Max', ' 2571 Sum', ' 53171207 Ratio', '  99.61%)']","[' 502      (Average', ' 412.66 Max', ' 649 Sum', ' 207153 Ratio', '   0.39%)']", ,[' 78980   '],[' 4406    '],[' 79039   '],[' 43939   '],"[' 131813   (Atom=Atom', ' 40281 Body=Body', ' 23481 Other', ' 68051)']",[' Yes'],"[' 5215     (Eliminated', '    0 Frozen', ' 5215)']","[' 1022     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03287'],[' 0'], ,[' 825.727'],[' 0'],[' 12.3769'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60681e+08'],[' 9.69037e+07'],[' 0'],[' 9.51725e+10'],[' 0'],[' 0'],[' 800 '],[' 1688 '],[' 2401 '],[' 3346 '],[' 3934 '],[' 5 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 1715+'],[' 863'],"[' 1001.198s (Solving', ' 996.64s 1st Model', ' 3.52s Unsat', ' 0.00s)']",[' 999.016s'], ,[' 60498988'],"[' 23847295 (Analyzed', ' 23771506)']","[' 43385    (Average', ' 547.92 Last', ' 42206)']",[' 1880.9  '],"[' 863      (Average Length', ' 414.51 Splits', ' 0)']","[' 23771506 (Deleted', ' 23482845)']","[' 32       (Ratio', '   0.00%)']","[' 7336     (Ratio', '   0.03%)']","[' 23771506 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23771506 (Average', '  2.47 Max', ' 2433 Sum', ' 58632127)']","[' 23770879 (Average', '  2.45 Max', ' 2433 Sum', ' 58345126 Ratio', '  99.51%)']","[' 627      (Average', ' 457.74 Max', ' 741 Sum', ' 287001 Ratio', '   0.49%)']", ,[' 78876   '],[' 4469    '],[' 78940   '],[' 44276   '],"[' 132824   (Atom=Atom', ' 40555 Body=Body', ' 23544 Other', ' 68725)']",[' Yes'],"[' 5283     (Eliminated', '    0 Frozen', ' 5283)']","[' 1339     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00298'],[' 0'], ,[' 825.927'],[' 0'],[' 12.9551'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70293e+08'],[' 1.06759e+08'],[' 0'],[' 9.47085e+10'],[' 0'],[' 0'],[' 784 '],[' 1573 '],[' 2071 '],[' 2781 '],[' 3801 '],[' 5 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 1763+'],[' 887'],"[' 803.873s (Solving', ' 799.31s 1st Model', ' 2.96s Unsat', ' 1.90s)']",[' 801.656s'], ,[' 35511322'],"[' 11695389 (Analyzed', ' 11614624)']","[' 23391    (Average', ' 496.54 Last', ' 136077)']",[' 2139.8  '],"[' 887      (Average Length', ' 427.97 Splits', ' 0)']","[' 11614624 (Deleted', ' 11464539)']","[' 31       (Ratio', '   0.00%)']","[' 5189     (Ratio', '   0.04%)']","[' 11614624 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11614624 (Average', '  2.90 Max', ' 2756 Sum', ' 33644340)']","[' 11614148 (Average', '  2.88 Max', ' 2756 Sum', ' 33432632 Ratio', '  99.37%)']","[' 476      (Average', ' 444.76 Max', ' 685 Sum', ' 211708 Ratio', '   0.63%)']", ,[' 78989   '],[' 4406    '],[' 79085   '],[' 44655   '],"[' 133961   (Atom=Atom', ' 40997 Body=Body', ' 23481 Other', ' 69483)']",[' Yes'],"[' 5252     (Eliminated', '    0 Frozen', ' 5252)']","[' 905      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.10265'],[' 0'], ,[' 711.295'],[' 0'],[' 10.5159'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.95658e+07'],[' 6.81586e+07'],[' 0'],[' 8.80373e+10'],[' 0'],[' 0'],[' 777 '],[' 1576 '],[' 2263 '],[' 3186 '],[' 3880 '],[' 4 '],[' 1 ']
