Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 1389+'],[' 701'],"[' 848.862s (Solving', ' 845.27s 1st Model', ' 2.01s Unsat', ' 13.48s)']",[' 847.594s'], ,[' 52339046'],"[' 28299217 (Analyzed', ' 28261009)']","[' 51155    (Average', ' 552.46 Last', ' 225874)']",[' 1683.5  '],"[' 701      (Average Length', ' 340.53 Splits', ' 0)']","[' 28261009 (Deleted', ' 27892106)']","[' 37       (Ratio', '   0.00%)']","[' 4418     (Ratio', '   0.02%)']","[' 28261009 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28261009 (Average', '  1.79 Max', ' 2350 Sum', ' 50595161)']","[' 28260668 (Average', '  1.79 Max', ' 2350 Sum', ' 50506559 Ratio', '  99.82%)']","[' 341      (Average', ' 259.83 Max', ' 1392 Sum', '  88602 Ratio', '   0.18%)']", ,[' 77362   '],[' 3833    '],[' 77286   '],[' 43065   '],"[' 129191   (Atom=Atom', ' 39980 Body=Body', ' 22908 Other', ' 66303)']",[' Yes'],"[' 4507     (Eliminated', '    0 Frozen', ' 4507)']","[' 691      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.87097'],[' 0'], ,[' 668.836'],[' 0'],[' 11.0118'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54723e+08'],[' 8.3676e+07'],[' 0'],[' 8.81595e+10'],[' 0'],[' 0'],[' 781 '],[' 1486 '],[' 2172 '],[' 2841 '],[' 3648 '],[' 4280 '],[' 5 '],[' 1 ']
Solving...,TA52, ,[' 1'],[' 1381+'],[' 697'],"[' 1001.313s (Solving', ' 997.36s 1st Model', ' 2.27s Unsat', ' 0.00s)']",[' 999.859s'], ,[' 62547148'],"[' 27230332 (Analyzed', ' 27177972)']","[' 48797    (Average', ' 556.96 Last', ' 218396)']",[' 1760.7  '],"[' 697      (Average Length', ' 332.83 Splits', ' 0)']","[' 27177972 (Deleted', ' 26868125)']","[' 14       (Ratio', '   0.00%)']","[' 6418     (Ratio', '   0.02%)']","[' 27177972 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27177972 (Average', '  2.23 Max', ' 2207 Sum', ' 60739955)']","[' 27177489 (Average', '  2.23 Max', ' 2207 Sum', ' 60578966 Ratio', '  99.73%)']","[' 483      (Average', ' 333.31 Max', ' 532 Sum', ' 160989 Ratio', '   0.27%)']", ,[' 78068   '],[' 3967    '],[' 77974   '],[' 43771   '],"[' 131309   (Atom=Atom', ' 40552 Body=Body', ' 23042 Other', ' 67715)']",[' Yes'],"[' 4623     (Eliminated', '    0 Frozen', ' 4623)']","[' 1238     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.902762'],[' 0'], ,[' 817.837'],[' 0'],[' 13.4816'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75559e+08'],[' 1.06961e+08'],[' 0'],[' 1.10485e+11'],[' 0'],[' 0'],[' 996 '],[' 1680 '],[' 2455 '],[' 3228 '],[' 3984 '],[' 4504 '],[' 6 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 1433+'],[' 723'],"[' 837.864s (Solving', ' 834.20s 1st Model', ' 1.91s Unsat', ' 168.60s)']",[' 836.703s'], ,[' 37567929'],"[' 21531311 (Analyzed', ' 21482839)']","[' 41715    (Average', ' 514.99 Last', ' 51472)']",[' 1708.6  '],"[' 723      (Average Length', ' 346.37 Splits', ' 0)']","[' 21482839 (Deleted', ' 21133302)']","[' 34       (Ratio', '   0.00%)']","[' 3040     (Ratio', '   0.01%)']","[' 21482839 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21482839 (Average', '  1.68 Max', ' 2321 Sum', ' 36114086)']","[' 21482488 (Average', '  1.68 Max', ' 2321 Sum', ' 36017768 Ratio', '  99.73%)']","[' 351      (Average', ' 274.41 Max', ' 593 Sum', '  96318 Ratio', '   0.27%)']", ,[' 76395   '],[' 3798    '],[' 76330   '],[' 42724   '],"[' 128168   (Atom=Atom', ' 39674 Body=Body', ' 22873 Other', ' 65621)']",[' Yes'],"[' 4483     (Eliminated', '    0 Frozen', ' 4483)']","[' 509      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.83895'],[' 0'], ,[' 684.714'],[' 0'],[' 10.8239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07464e+08'],[' 5.67341e+07'],[' 0'],[' 9.75743e+10'],[' 0'],[' 0'],[' 712 '],[' 1246 '],[' 1775 '],[' 2658 '],[' 3398 '],[' 3934 '],[' 4 '],[' 2 ']
Solving...,TA54, ,[' 1'],[' 1561+'],[' 787'],"[' 837.093s (Solving', ' 832.87s 1st Model', ' 2.33s Unsat', ' 0.53s)']",[' 835.266s'], ,[' 49338097'],"[' 25889285 (Analyzed', ' 25857532)']","[' 48077    (Average', ' 537.84 Last', ' 2852)']",[' 1785.2  '],"[' 787      (Average Length', ' 375.36 Splits', ' 0)']","[' 25857532 (Deleted', ' 25496989)']","[' 25       (Ratio', '   0.00%)']","[' 4083     (Ratio', '   0.02%)']","[' 25857532 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25857532 (Average', '  1.84 Max', ' 2220 Sum', ' 47564279)']","[' 25857111 (Average', '  1.83 Max', ' 2220 Sum', ' 47433213 Ratio', '  99.72%)']","[' 421      (Average', ' 311.32 Max', ' 595 Sum', ' 131066 Ratio', '   0.28%)']", ,[' 77021   '],[' 3830    '],[' 77013   '],[' 42908   '],"[' 128720   (Atom=Atom', ' 39826 Body=Body', ' 22905 Other', ' 65989)']",[' Yes'],"[' 4572     (Eliminated', '    0 Frozen', ' 4572)']","[' 746      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00431'],[' 0'], ,[' 666.387'],[' 0'],[' 10.7997'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47201e+08'],[' 8.25979e+07'],[' 0'],[' 8.88629e+10'],[' 0'],[' 0'],[' 704 '],[' 1406 '],[' 2043 '],[' 2581 '],[' 3337 '],[' 3864 '],[' 5 '],[' 1 ']
Solving...,TA55, ,[' 1'],[' 1245+'],[' 629'],"[' 1000.974s (Solving', ' 997.45s 1st Model', ' 2.31s Unsat', ' 0.00s)']",[' 999.891s'], ,[' 65977419'],"[' 38108873 (Analyzed', ' 38078473)']","[' 67424    (Average', ' 564.76 Last', ' 9372)']",[' 1717.1  '],"[' 629      (Average Length', ' 305.35 Splits', ' 0)']","[' 38078473 (Deleted', ' 37628793)']","[' 21       (Ratio', '   0.00%)']","[' 4219     (Ratio', '   0.01%)']","[' 38078473 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38078473 (Average', '  1.68 Max', ' 2205 Sum', ' 64030817)']","[' 38078024 (Average', '  1.68 Max', ' 2205 Sum', ' 63910569 Ratio', '  99.81%)']","[' 449      (Average', ' 267.81 Max', ' 487 Sum', ' 120248 Ratio', '   0.19%)']", ,[' 77024   '],[' 3844    '],[' 76873   '],[' 42848   '],"[' 128540   (Atom=Atom', ' 39752 Body=Body', ' 22919 Other', ' 65869)']",[' Yes'],"[' 4443     (Eliminated', '    0 Frozen', ' 4443)']","[' 787      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.819884'],[' 0'], ,[' 774.151'],[' 0'],[' 12.3124'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81737e+08'],[' 9.1947e+07'],[' 0'],[' 9.68039e+10'],[' 0'],[' 0'],[' 739 '],[' 1676 '],[' 2421 '],[' 3081 '],[' 3921 '],[' 4384 '],[' 6 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 1351+'],[' 682'],"[' 854.049s (Solving', ' 850.39s 1st Model', ' 8.16s Unsat', ' 18.24s)']",[' 852.250s'], ,[' 47324612'],"[' 24531735 (Analyzed', ' 24496047)']","[' 44334    (Average', ' 552.53 Last', ' 105229)']",[' 1752.7  '],"[' 682      (Average Length', ' 333.98 Splits', ' 0)']","[' 24496047 (Deleted', ' 24138018)']","[' 19       (Ratio', '   0.00%)']","[' 3307     (Ratio', '   0.01%)']","[' 24496047 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24496047 (Average', '  1.87 Max', ' 2374 Sum', ' 45766955)']","[' 24495726 (Average', '  1.86 Max', ' 2374 Sum', ' 45673378 Ratio', '  99.80%)']","[' 321      (Average', ' 291.52 Max', ' 568 Sum', '  93577 Ratio', '   0.20%)']", ,[' 76485   '],[' 3745    '],[' 76394   '],[' 42802   '],"[' 128402   (Atom=Atom', ' 39805 Body=Body', ' 22820 Other', ' 65777)']",[' Yes'],"[' 4404     (Eliminated', '    0 Frozen', ' 4404)']","[' 484      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.824882'],[' 0'], ,[' 690.18'],[' 0'],[' 11.1804'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35164e+08'],[' 7.46958e+07'],[' 0'],[' 9.29997e+10'],[' 0'],[' 0'],[' 777 '],[' 1557 '],[' 2120 '],[' 2936 '],[' 3442 '],[' 4032 '],[' 5 '],[' 1 ']
Solving...,TA57, ,[' 1'],[' 1285+'],[' 649'],"[' 1001.042s (Solving', ' 998.07s 1st Model', ' 1.90s Unsat', ' 0.00s)']",[' 998.016s'], ,[' 52973639'],"[' 29351881 (Analyzed', ' 29318171)']","[' 57082    (Average', ' 513.61 Last', ' 215978)']",[' 1650.6  '],"[' 649      (Average Length', ' 317.61 Splits', ' 0)']","[' 29318171 (Deleted', ' 28942364)']","[' 11       (Ratio', '   0.00%)']","[' 3495     (Ratio', '   0.01%)']","[' 29318171 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29318171 (Average', '  1.75 Max', ' 2333 Sum', ' 51313545)']","[' 29317781 (Average', '  1.75 Max', ' 2333 Sum', ' 51176868 Ratio', '  99.73%)']","[' 390      (Average', ' 350.45 Max', ' 575 Sum', ' 136677 Ratio', '   0.27%)']", ,[' 77043   '],[' 3820    '],[' 76925   '],[' 43118   '],"[' 129350   (Atom=Atom', ' 40046 Body=Body', ' 22895 Other', ' 66409)']",[' Yes'],"[' 4452     (Eliminated', '    0 Frozen', ' 4452)']","[' 537      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.750065'],[' 0'], ,[' 818.765'],[' 0'],[' 13.5416'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44004e+08'],[' 7.57686e+07'],[' 0'],[' 1.1084e+11'],[' 0'],[' 0'],[' 709 '],[' 1391 '],[' 2133 '],[' 2815 '],[' 3458 '],[' 4368 '],[' 6 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 1439+'],[' 726'],"[' 1001.229s (Solving', ' 997.40s 1st Model', ' 1.96s Unsat', ' 0.00s)']",[' 998.250s'], ,[' 54594962'],"[' 31224604 (Analyzed', ' 31182991)']","[' 57465    (Average', ' 542.64 Last', ' 12838)']",[' 1788.2  '],"[' 726      (Average Length', ' 355.13 Splits', ' 0)']","[' 31182991 (Deleted', ' 30768620)']","[' 10       (Ratio', '   0.00%)']","[' 3780     (Ratio', '   0.01%)']","[' 31182991 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31182991 (Average', '  1.69 Max', ' 2300 Sum', ' 52745270)']","[' 31182583 (Average', '  1.69 Max', ' 2300 Sum', ' 52629742 Ratio', '  99.78%)']","[' 408      (Average', ' 283.16 Max', ' 567 Sum', ' 115528 Ratio', '   0.22%)']", ,[' 77187   '],[' 3814    '],[' 77138   '],[' 42667   '],"[' 127997   (Atom=Atom', ' 39601 Body=Body', ' 22889 Other', ' 65507)']",[' Yes'],"[' 4515     (Eliminated', '    0 Frozen', ' 4515)']","[' 677      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.890438'],[' 0'], ,[' 805.693'],[' 0'],[' 12.3704'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60471e+08'],[' 8.6298e+07'],[' 0'],[' 1.04769e+11'],[' 0'],[' 0'],[' 731 '],[' 1397 '],[' 2081 '],[' 2852 '],[' 3684 '],[' 4269 '],[' 6 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 1287+'],[' 650'],"[' 1000.836s (Solving', ' 997.65s 1st Model', ' 1.64s Unsat', ' 0.00s)']",[' 998.359s'], ,[' 49747879'],"[' 29303858 (Analyzed', ' 29265946)']","[' 55320    (Average', ' 529.03 Last', ' 78160)']",[' 1535.7  '],"[' 650      (Average Length', ' 316.85 Splits', ' 0)']","[' 29265946 (Deleted', ' 28876153)']","[' 19       (Ratio', '   0.00%)']","[' 4432     (Ratio', '   0.02%)']","[' 29265946 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29265946 (Average', '  1.65 Max', ' 2203 Sum', ' 48163133)']","[' 29265554 (Average', '  1.64 Max', ' 2203 Sum', ' 48043616 Ratio', '  99.75%)']","[' 392      (Average', ' 304.89 Max', ' 572 Sum', ' 119517 Ratio', '   0.25%)']", ,[' 76673   '],[' 3788    '],[' 76548   '],[' 42575   '],"[' 127721   (Atom=Atom', ' 39535 Body=Body', ' 22863 Other', ' 65323)']",[' Yes'],"[' 4413     (Eliminated', '    0 Frozen', ' 4413)']","[' 713      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.707079'],[' 0'], ,[' 820.285'],[' 0'],[' 12.7569'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44833e+08'],[' 7.52524e+07'],[' 0'],[' 1.13236e+11'],[' 0'],[' 0'],[' 675 '],[' 1426 '],[' 2149 '],[' 2723 '],[' 3398 '],[' 4238 '],[' 6 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 1475+'],[' 744'],"[' 1000.895s (Solving', ' 997.31s 1st Model', ' 2.06s Unsat', ' 0.00s)']",[' 999.391s'], ,[' 66582731'],"[' 33268764 (Analyzed', ' 33237231)']","[' 58065    (Average', ' 572.41 Last', ' 472581)']",[' 1594.8  '],"[' 744      (Average Length', ' 361.96 Splits', ' 0)']","[' 33237231 (Deleted', ' 32841718)']","[' 24       (Ratio', '   0.00%)']","[' 5208     (Ratio', '   0.02%)']","[' 33237231 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33237231 (Average', '  1.95 Max', ' 2250 Sum', ' 64732199)']","[' 33236817 (Average', '  1.94 Max', ' 2250 Sum', ' 64587053 Ratio', '  99.78%)']","[' 414      (Average', ' 350.59 Max', ' 599 Sum', ' 145146 Ratio', '   0.22%)']", ,[' 77478   '],[' 3918    '],[' 77437   '],[' 43345   '],"[' 130031   (Atom=Atom', ' 40175 Body=Body', ' 22993 Other', ' 66863)']",[' Yes'],"[' 4627     (Eliminated', '    0 Frozen', ' 4627)']","[' 999      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.823568'],[' 0'], ,[' 797.95'],[' 0'],[' 12.7498'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87983e+08'],[' 1.01647e+08'],[' 0'],[' 1.10876e+11'],[' 0'],[' 0'],[' 676 '],[' 1501 '],[' 2182 '],[' 2860 '],[' 3623 '],[' 4051 '],[' 6 '],[' 0 ']
