Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1379'],[' 699'],"[' 260.913s (Solving', ' 256.68s 1st Model', ' 1.78s Unsat', ' 30.23s)']",[' 260.188s'], ,[' 9802567 '],"[' 5259326  (Analyzed', ' 5221077)']","[' 11737    (Average', ' 444.84 Last', ' 60399)']",[' 1642.7  '],"[' 699      (Average Length', ' 337.11 Splits', ' 0)']","[' 5221077  (Deleted', ' 5131483)']","[' 69       (Ratio', '   0.00%)']","[' 1801     (Ratio', '   0.03%)']","[' 5221077  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5221077  (Average', '  1.68 Max', ' 2347 Sum', ' 8759229)']","[' 5220916  (Average', '  1.67 Max', ' 2347 Sum', ' 8719818 Ratio', '  99.55%)']","[' 161      (Average', ' 244.79 Max', ' 625 Sum', '  39411 Ratio', '   0.45%)']", ,[' 98574   '],[' 3666    '],[' 98238   '],[' 56320   '],"[' 168956   (Atom=Atom', ' 53652 Body=Body', ' 29116 Other', ' 86188)']",[' Yes'],"[' 4330     (Eliminated', '    0 Frozen', ' 4330)']","[' 154      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.989608'],[' 0'], ,[' 220.232'],[' 0'],[' 3.73616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.68019e+07'],[' 2.40012e+07'],[' 0'],[' 3.4052e+10'],[' 0'],[' 0'],[' 617 '],[' 1076 '],[' 1769 '],[' 2308 '],[' 2781 '],[' 3237 '],[' 3630 '],[' 4120 '],[' 4475 '],[' 2 '],[' 7 ']
Solving...,TA62, , ,[' 1687'],[' 853'],"[' 281.325s (Solving', ' 276.25s 1st Model', ' 2.06s Unsat', ' 47.91s)']",[' 280.828s'], ,[' 9743676 '],"[' 5032728  (Analyzed', ' 4971259)']","[' 11549    (Average', ' 430.45 Last', ' 3217)']",[' 1764.7  '],"[' 853      (Average Length', ' 403.88 Splits', ' 0)']","[' 4971259  (Deleted', ' 4883242)']","[' 63       (Ratio', '   0.00%)']","[' 1840     (Ratio', '   0.04%)']","[' 4971259  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4971259  (Average', '  1.70 Max', ' 2392 Sum', ' 8453568)']","[' 4971033  (Average', '  1.69 Max', ' 2392 Sum', ' 8379341 Ratio', '  99.12%)']","[' 226      (Average', ' 328.44 Max', ' 746 Sum', '  74227 Ratio', '   0.88%)']", ,[' 99408   '],[' 3788    '],[' 99212   '],[' 56742   '],"[' 170222   (Atom=Atom', ' 53952 Body=Body', ' 29238 Other', ' 87032)']",[' Yes'],"[' 4592     (Eliminated', '    0 Frozen', ' 4592)']","[' 188      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22082'],[' 0'], ,[' 240.398'],[' 0'],[' 4.03853'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.97564e+07'],[' 2.72568e+07'],[' 0'],[' 3.60098e+10'],[' 0'],[' 0'],[' 615 '],[' 1073 '],[' 1717 '],[' 2157 '],[' 2598 '],[' 3358 '],[' 3818 '],[' 4228 '],[' 4706 '],[' 2 '],[' 7 ']
Solving...,TA63, , ,[' 1437'],[' 728'],"[' 139.326s (Solving', ' 134.87s 1st Model', ' 1.85s Unsat', ' 17.95s)']",[' 139.078s'], ,[' 4145333 '],"[' 1457271  (Analyzed', ' 1383467)']","[' 3512     (Average', ' 393.93 Last', ' 3375)']",[' 1705.8  '],"[' 728      (Average Length', ' 349.61 Splits', ' 0)']","[' 1383467  (Deleted', ' 1351455)']","[' 83       (Ratio', '   0.01%)']","[' 1471     (Ratio', '   0.11%)']","[' 1383467  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1383467  (Average', '  2.23 Max', ' 2390 Sum', ' 3084824)']","[' 1383322  (Average', '  2.21 Max', ' 2390 Sum', ' 3051354 Ratio', '  98.92%)']","[' 145      (Average', ' 230.83 Max', ' 599 Sum', '  33470 Ratio', '   1.08%)']", ,[' 98278   '],[' 3662    '],[' 97972   '],[' 56085   '],"[' 168251   (Atom=Atom', ' 53421 Body=Body', ' 29112 Other', ' 85718)']",[' Yes'],"[' 4356     (Eliminated', '    0 Frozen', ' 4356)']","[' 92       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.05816'],[' 0'], ,[' 121.588'],[' 0'],[' 1.85843'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.23739e+07'],[' 1.8453e+07'],[' 0'],[' 2.11932e+10'],[' 0'],[' 0'],[' 562 '],[' 995 '],[' 1355 '],[' 1804 '],[' 2333 '],[' 2706 '],[' 3316 '],[' 3698 '],[' 4019 '],[' 1 '],[' 8 ']
Solving...,TA64, , ,[' 1349'],[' 684'],"[' 262.566s (Solving', ' 258.09s 1st Model', ' 1.83s Unsat', ' 30.77s)']",[' 262.063s'], ,[' 16836081'],"[' 11584915 (Analyzed', ' 11564123)']","[' 22102    (Average', ' 523.22 Last', ' 401355)']",[' 1738.4  '],"[' 684      (Average Length', ' 330.95 Splits', ' 0)']","[' 11564123 (Deleted', ' 11371723)']","[' 76       (Ratio', '   0.00%)']","[' 1990     (Ratio', '   0.02%)']","[' 11564123 (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11564123 (Average', '  1.35 Max', ' 2340 Sum', ' 15644790)']","[' 11563885 (Average', '  1.35 Max', ' 2340 Sum', ' 15592308 Ratio', '  99.66%)']","[' 238      (Average', ' 220.51 Max', ' 559 Sum', '  52482 Ratio', '   0.34%)']", ,[' 98226   '],[' 3687    '],[' 97881   '],[' 55444   '],"[' 166328   (Atom=Atom', ' 52755 Body=Body', ' 29137 Other', ' 84436)']",[' Yes'],"[' 4342     (Eliminated', '    0 Frozen', ' 4342)']","[' 124      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08952'],[' 0'], ,[' 180.168'],[' 0'],[' 3.57201'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.02728e+07'],[' 3.28707e+07'],[' 0'],[' 2.43781e+10'],[' 0'],[' 0'],[' 782 '],[' 1314 '],[' 1770 '],[' 2270 '],[' 2704 '],[' 3228 '],[' 3775 '],[' 4139 '],[' 4500 '],[' 2 '],[' 7 ']
Solving...,TA65, , ,[' 1485'],[' 752'],"[' 315.018s (Solving', ' 310.66s 1st Model', ' 1.78s Unsat', ' 85.25s)']",[' 314.094s'], ,[' 10715876'],"[' 6482388  (Analyzed', ' 6456617)']","[' 13957    (Average', ' 462.61 Last', ' 57961)']",[' 1644.4  '],"[' 752      (Average Length', ' 360.24 Splits', ' 0)']","[' 6456617  (Deleted', ' 6348591)']","[' 91       (Ratio', '   0.00%)']","[' 1993     (Ratio', '   0.03%)']","[' 6456617  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6456617  (Average', '  1.49 Max', ' 2341 Sum', ' 9627461)']","[' 6456395  (Average', '  1.48 Max', ' 2341 Sum', ' 9580671 Ratio', '  99.51%)']","[' 222      (Average', ' 210.77 Max', ' 690 Sum', '  46790 Ratio', '   0.49%)']", ,[' 98629   '],[' 3713    '],[' 98343   '],[' 55998   '],"[' 167990   (Atom=Atom', ' 53283 Body=Body', ' 29163 Other', ' 85544)']",[' Yes'],"[' 4427     (Eliminated', '    0 Frozen', ' 4427)']","[' 164      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03958'],[' 0'], ,[' 265.219'],[' 0'],[' 4.12764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.0257e+07'],[' 2.45626e+07'],[' 0'],[' 4.14334e+10'],[' 0'],[' 0'],[' 579 '],[' 1148 '],[' 1528 '],[' 1973 '],[' 2424 '],[' 2951 '],[' 3376 '],[' 4034 '],[' 4379 '],[' 2 '],[' 7 ']
Solving...,TA66, , ,[' 1301'],[' 660'],"[' 361.528s (Solving', ' 357.69s 1st Model', ' 1.79s Unsat', ' 22.16s)']",[' 360.891s'], ,[' 18037540'],"[' 10020764 (Analyzed', ' 9992192)']","[' 19861    (Average', ' 503.11 Last', ' 13784)']",[' 1617.8  '],"[' 660      (Average Length', ' 320.71 Splits', ' 0)']","[' 9992192  (Deleted', ' 9852160)']","[' 80       (Ratio', '   0.00%)']","[' 2651     (Ratio', '   0.03%)']","[' 9992192  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9992192  (Average', '  1.69 Max', ' 2372 Sum', ' 16906087)']","[' 9992010  (Average', '  1.69 Max', ' 2372 Sum', ' 16862742 Ratio', '  99.74%)']","[' 182      (Average', ' 238.16 Max', ' 602 Sum', '  43345 Ratio', '   0.26%)']", ,[' 99355   '],[' 3790    '],[' 98993   '],[' 56819   '],"[' 170453   (Atom=Atom', ' 54027 Body=Body', ' 29240 Other', ' 87186)']",[' Yes'],"[' 4428     (Eliminated', '    0 Frozen', ' 4428)']","[' 360      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.930162'],[' 0'], ,[' 297.775'],[' 0'],[' 4.42491'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.80863e+07'],[' 3.36508e+07'],[' 0'],[' 4.69772e+10'],[' 0'],[' 0'],[' 546 '],[' 964 '],[' 1687 '],[' 2053 '],[' 2490 '],[' 2987 '],[' 3507 '],[' 4126 '],[' 4589 '],[' 3 '],[' 6 ']
Solving...,TA67, , ,[' 1595'],[' 807'],"[' 254.788s (Solving', ' 249.80s 1st Model', ' 2.04s Unsat', ' 20.75s)']",[' 254.328s'], ,[' 20319341'],"[' 11617580 (Analyzed', ' 11583230)']","[' 21675    (Average', ' 534.41 Last', ' 265878)']",[' 1821.0  '],"[' 807      (Average Length', ' 383.92 Splits', ' 0)']","[' 11583230 (Deleted', ' 11412585)']","[' 83       (Ratio', '   0.00%)']","[' 1801     (Ratio', '   0.02%)']","[' 11583230 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11583230 (Average', '  1.63 Max', ' 2458 Sum', ' 18877068)']","[' 11583033 (Average', '  1.63 Max', ' 2458 Sum', ' 18838201 Ratio', '  99.79%)']","[' 197      (Average', ' 197.29 Max', ' 665 Sum', '  38867 Ratio', '   0.21%)']", ,[' 99531   '],[' 3734    '],[' 99283   '],[' 56422   '],"[' 169262   (Atom=Atom', ' 53686 Body=Body', ' 29184 Other', ' 86392)']",[' Yes'],"[' 4486     (Eliminated', '    0 Frozen', ' 4486)']","[' 200      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23529'],[' 0'], ,[' 174.985'],[' 0'],[' 3.79399'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.10762e+07'],[' 4.15902e+07'],[' 0'],[' 2.20347e+10'],[' 0'],[' 0'],[' 873 '],[' 1311 '],[' 1941 '],[' 2351 '],[' 3043 '],[' 3462 '],[' 3912 '],[' 4339 '],[' 4653 '],[' 2 '],[' 7 ']
Solving...,TA68, , ,[' 1527'],[' 773'],"[' 176.262s (Solving', ' 171.39s 1st Model', ' 1.75s Unsat', ' 55.22s)']",[' 175.750s'], ,[' 5712428 '],"[' 2583109  (Analyzed', ' 2496551)']","[' 6096     (Average', ' 409.54 Last', ' 78039)']",[' 1702.2  '],"[' 773      (Average Length', ' 367.09 Splits', ' 0)']","[' 2496551  (Deleted', ' 2442879)']","[' 97       (Ratio', '   0.00%)']","[' 2063     (Ratio', '   0.08%)']","[' 2496551  (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2496551  (Average', '  1.83 Max', ' 2392 Sum', ' 4579049)']","[' 2496379  (Average', '  1.82 Max', ' 2392 Sum', ' 4548887 Ratio', '  99.34%)']","[' 172      (Average', ' 175.36 Max', ' 658 Sum', '  30162 Ratio', '   0.66%)']", ,[' 97922   '],[' 3666    '],[' 97653   '],[' 55982   '],"[' 167942   (Atom=Atom', ' 53314 Body=Body', ' 29116 Other', ' 85512)']",[' Yes'],"[' 4397     (Eliminated', '    0 Frozen', ' 4397)']","[' 101      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.11811'],[' 0'], ,[' 150.876'],[' 0'],[' 2.23623'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.64042e+07'],[' 1.99996e+07'],[' 0'],[' 2.5558e+10'],[' 0'],[' 0'],[' 516 '],[' 1001 '],[' 1391 '],[' 1841 '],[' 2257 '],[' 2590 '],[' 2970 '],[' 3496 '],[' 3966 '],[' 1 '],[' 8 ']
Solving...,TA69, , ,[' 1639'],[' 829'],"[' 336.760s (Solving', ' 331.74s 1st Model', ' 1.90s Unsat', ' 213.53s)']",[' 335.313s'], ,[' 8291291 '],"[' 4480808  (Analyzed', ' 4337683)']","[' 10051    (Average', ' 431.57 Last', ' 12528)']",[' 1701.6  '],"[' 829      (Average Length', ' 396.38 Splits', ' 0)']","[' 4337683  (Deleted', ' 4256017)']","[' 88       (Ratio', '   0.00%)']","[' 2065     (Ratio', '   0.05%)']","[' 4337683  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4337683  (Average', '  1.62 Max', ' 2381 Sum', ' 7011685)']","[' 4337496  (Average', '  1.61 Max', ' 2381 Sum', ' 6963091 Ratio', '  99.31%)']","[' 187      (Average', ' 259.86 Max', ' 719 Sum', '  48594 Ratio', '   0.69%)']", ,[' 99559   '],[' 3719    '],[' 99333   '],[' 56071   '],"[' 168209   (Atom=Atom', ' 53350 Body=Body', ' 29169 Other', ' 85690)']",[' Yes'],"[' 4493     (Eliminated', '    0 Frozen', ' 4493)']","[' 95       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.19516'],[' 0'], ,[' 297.279'],[' 0'],[' 4.38312'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.44469e+07'],[' 2.36659e+07'],[' 0'],[' 4.87618e+10'],[' 0'],[' 0'],[' 654 '],[' 1198 '],[' 1730 '],[' 2292 '],[' 2825 '],[' 3229 '],[' 3780 '],[' 4319 '],[' 4721 '],[' 1 '],[' 8 ']
Solving...,TA70, , ,[' 1489'],[' 754'],"[' 331.365s (Solving', ' 327.06s 1st Model', ' 1.92s Unsat', ' 99.85s)']",[' 331.094s'], ,[' 11227930'],"[' 6405048  (Analyzed', ' 6367067)']","[' 13621    (Average', ' 467.44 Last', ' 1204)']",[' 1664.5  '],"[' 754      (Average Length', ' 360.87 Splits', ' 0)']","[' 6367067  (Deleted', ' 6264913)']","[' 91       (Ratio', '   0.00%)']","[' 1982     (Ratio', '   0.03%)']","[' 6367067  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6367067  (Average', '  1.59 Max', ' 2433 Sum', ' 10094331)']","[' 6366819  (Average', '  1.58 Max', ' 2433 Sum', ' 10031703 Ratio', '  99.38%)']","[' 248      (Average', ' 252.53 Max', ' 664 Sum', '  62628 Ratio', '   0.62%)']", ,[' 100187  '],[' 3838    '],[' 99899   '],[' 57051   '],"[' 171149   (Atom=Atom', ' 54211 Body=Body', ' 29288 Other', ' 87650)']",[' Yes'],"[' 4550     (Eliminated', '    0 Frozen', ' 4550)']","[' 155      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03673'],[' 0'], ,[' 285.337'],[' 0'],[' 4.22213'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.10948e+07'],[' 2.60883e+07'],[' 0'],[' 4.30769e+10'],[' 0'],[' 0'],[' 571 '],[' 1115 '],[' 1544 '],[' 2176 '],[' 2914 '],[' 3433 '],[' 3850 '],[' 4532 '],[' 4960 '],[' 2 '],[' 7 ']
