Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
Solving...,TA61, , , , , ,[' 1'],[' 3375+'],[' 1689'],"[' 502.442s (Solving', ' 493.40s 1st Model', ' 481.05s Unsat', ' 0.00s)']",[' 501.047s'], ,[' 291955044'],"[' 1487548  (Analyzed', ' 1383213)']","[' 4690     (Average', ' 294.93 Last', ' 137483)']",[' 6584.3  '],"[' 1689     (Average Length', ' 844.00 Splits', ' 0)']","[' 1383213  (Deleted', ' 1342447)']","[' 235      (Ratio', '   0.02%)']","[' 34762    (Ratio', '   2.51%)']","[' 1383213  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1383213  (Average', ' 203.82 Max', ' 5968 Sum', ' 281921212)']","[' 1383213  (Average', ' 203.82 Max', ' 5968 Sum', ' 281921212 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 59870   '],[' 7048    '],[' 60557   '],[' 46282   '],"[' 138842   (Atom=Atom', ' 40232 Body=Body', ' 32498 Other', ' 66112)']",[' Yes'],"[' 8735     (Eliminated', '    0 Frozen', ' 8735)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.92603'],[' 0'], ,[' 163.52'],[' 0'],[' 16.856'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00775e+09'],[' 8.99861e+08'],[' 0'],[' 4.44302e+09'],[' 0'],[' 0']
Solving...,TA62, , , , , ,[' 1'],[' 3435+'],[' 1719'],"[' 502.453s (Solving', ' 493.15s 1st Model', ' 480.43s Unsat', ' 0.00s)']",[' 500.766s'], ,[' 291882436'],"[' 1394886  (Analyzed', ' 1302749)']","[' 4322     (Average', ' 301.42 Last', ' 103186)']",[' 6673.5  '],"[' 1719     (Average Length', ' 859.00 Splits', ' 0)']","[' 1302749  (Deleted', ' 1260832)']","[' 212      (Ratio', '   0.02%)']","[' 35594    (Ratio', '   2.73%)']","[' 1302749  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1302749  (Average', ' 216.13 Max', ' 5974 Sum', ' 281566539)']","[' 1302749  (Average', ' 216.13 Max', ' 5974 Sum', ' 281566539 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 60032   '],[' 7081    '],[' 60749   '],[' 46411   '],"[' 139229   (Atom=Atom', ' 40328 Body=Body', ' 32531 Other', ' 66370)']",[' Yes'],"[' 8798     (Eliminated', '    0 Frozen', ' 8798)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95832'],[' 0'], ,[' 161.142'],[' 0'],[' 16.7951'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02795e+09'],[' 9.22849e+08'],[' 0'],[' 4.24631e+09'],[' 0'],[' 0']
Solving...,TA63, , , , , ,[' 1'],[' 3913+'],[' 1958'],"[' 503.017s (Solving', ' 492.30s 1st Model', ' 439.37s Unsat', ' 0.00s)']",[' 501.250s'], ,[' 288112291'],"[' 1496390  (Analyzed', ' 1391860)']","[' 4471     (Average', ' 311.31 Last', ' 97787)']",[' 6759.1  '],"[' 1958     (Average Length', ' 978.50 Splits', ' 0)']","[' 1391860  (Deleted', ' 1348964)']","[' 242      (Ratio', '   0.02%)']","[' 35171    (Ratio', '   2.53%)']","[' 1391860  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1391860  (Average', ' 198.64 Max', ' 5928 Sum', ' 276479106)']","[' 1391860  (Average', ' 198.64 Max', ' 5928 Sum', ' 276479106 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 60135   '],[' 7047    '],[' 61091   '],[' 46548   '],"[' 139640   (Atom=Atom', ' 40499 Body=Body', ' 32497 Other', ' 66644)']",[' Yes'],"[' 9003     (Eliminated', '    0 Frozen', ' 9003)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.14991'],[' 0'], ,[' 162.291'],[' 0'],[' 16.5852'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.9253e+08'],[' 8.87626e+08'],[' 0'],[' 4.36054e+09'],[' 0'],[' 0']
Solving...,TA64, , , , , ,[' 1'],[' 3515+'],[' 1759'],"[' 502.527s (Solving', ' 493.09s 1st Model', ' 417.78s Unsat', ' 0.00s)']",[' 500.859s'], ,[' 294743644'],"[' 1502784  (Analyzed', ' 1403858)']","[' 4732     (Average', ' 296.67 Last', ' 202712)']",[' 6660.1  '],"[' 1759     (Average Length', ' 879.00 Splits', ' 0)']","[' 1403858  (Deleted', ' 1361491)']","[' 193      (Ratio', '   0.01%)']","[' 34661    (Ratio', '   2.47%)']","[' 1403858  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1403858  (Average', ' 202.47 Max', ' 5962 Sum', ' 284246060)']","[' 1403858  (Average', ' 202.47 Max', ' 5962 Sum', ' 284246060 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 59948   '],[' 7050    '],[' 60705   '],[' 46358   '],"[' 139070   (Atom=Atom', ' 40306 Body=Body', ' 32500 Other', ' 66264)']",[' Yes'],"[' 8807     (Eliminated', '    0 Frozen', ' 8807)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.97635'],[' 0'], ,[' 163.834'],[' 0'],[' 16.8289'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.97062e+08'],[' 8.91524e+08'],[' 0'],[' 4.36685e+09'],[' 0'],[' 0']
Solving...,TA65, , , , , ,[' 1'],[' 3587+'],[' 1795'],"[' 502.535s (Solving', ' 492.98s 1st Model', ' 419.80s Unsat', ' 0.00s)']",[' 501.141s'], ,[' 293662746'],"[' 1445697  (Analyzed', ' 1326249)']","[' 4299     (Average', ' 308.50 Last', ' 210200)']",[' 6693.5  '],"[' 1795     (Average Length', ' 897.00 Splits', ' 0)']","[' 1326249  (Deleted', ' 1284955)']","[' 202      (Ratio', '   0.02%)']","[' 35671    (Ratio', '   2.69%)']","[' 1326249  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1326249  (Average', ' 213.33 Max', ' 5942 Sum', ' 282924172)']","[' 1326249  (Average', ' 213.33 Max', ' 5942 Sum', ' 282924172 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 60004   '],[' 7055    '],[' 60797   '],[' 46409   '],"[' 139223   (Atom=Atom', ' 40352 Body=Body', ' 32505 Other', ' 66366)']",[' Yes'],"[' 8848     (Eliminated', '    0 Frozen', ' 8848)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.03461'],[' 0'], ,[' 162.694'],[' 0'],[' 16.8388'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03803e+09'],[' 9.35028e+08'],[' 0'],[' 4.26471e+09'],[' 0'],[' 0']
Solving...,TA66, , , , , ,[' 1'],[' 3527+'],[' 1765'],"[' 502.527s (Solving', ' 493.00s 1st Model', ' 447.00s Unsat', ' 0.00s)']",[' 500.500s'], ,[' 294642842'],"[' 1448357  (Analyzed', ' 1350897)']","[' 4598     (Average', ' 293.80 Last', ' 98772)']",[' 6619.1  '],"[' 1765     (Average Length', ' 882.00 Splits', ' 0)']","[' 1350897  (Deleted', ' 1310234)']","[' 199      (Ratio', '   0.01%)']","[' 34987    (Ratio', '   2.59%)']","[' 1350897  (Average Length', '   22.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1350897  (Average', ' 210.37 Max', ' 6002 Sum', ' 284186342)']","[' 1350895  (Average', ' 210.36 Max', ' 6002 Sum', ' 284181437 Ratio', ' 100.00%)']","[' 2        (Average', ' 2452.50 Max', ' 3507 Sum', '   4905 Ratio', '   0.00%)']", ,[' 60062   '],[' 7077    '],[' 60825   '],[' 46445   '],"[' 139331   (Atom=Atom', ' 40366 Body=Body', ' 32527 Other', ' 66438)']",[' Yes'],"[' 8840     (Eliminated', '    0 Frozen', ' 8840)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.06323'],[' 0'], ,[' 161.782'],[' 0'],[' 17.0272'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0227e+09'],[' 9.16967e+08'],[' 0'],[' 4.30681e+09'],[' 0'],[' 0']
Solving...,TA67, , , , , ,[' 1'],[' 3457+'],[' 1730'],"[' 502.685s (Solving', ' 493.13s 1st Model', ' 467.56s Unsat', ' 0.00s)']",[' 500.688s'], ,[' 294805790'],"[' 1459994  (Analyzed', ' 1351640)']","[' 4754     (Average', ' 284.32 Last', ' 99468)']",[' 6655.7  '],"[' 1730     (Average Length', ' 864.50 Splits', ' 0)']","[' 1351640  (Deleted', ' 1310342)']","[' 213      (Ratio', '   0.02%)']","[' 35653    (Ratio', '   2.64%)']","[' 1351640  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1351640  (Average', ' 210.44 Max', ' 5962 Sum', ' 284442830)']","[' 1351640  (Average', ' 210.44 Max', ' 5962 Sum', ' 284442830 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 59923   '],[' 7051    '],[' 60651   '],[' 46332   '],"[' 138992   (Atom=Atom', ' 40279 Body=Body', ' 32501 Other', ' 66212)']",[' Yes'],"[' 8779     (Eliminated', '    0 Frozen', ' 8779)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.97658'],[' 0'], ,[' 161.773'],[' 0'],[' 16.9122'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01207e+09'],[' 9.07621e+08'],[' 0'],[' 4.32482e+09'],[' 0'],[' 0']
Solving...,TA68, , , , , ,[' 1'],[' 4269+'],[' 2136'],"[' 503.298s (Solving', ' 491.54s 1st Model', ' 432.05s Unsat', ' 0.00s)']",[' 500.906s'], ,[' 295354088'],"[' 1462601  (Analyzed', ' 1330751)']","[' 4482     (Average', ' 296.91 Last', ' 206056)']",[' 6869.8  '],"[' 2136     (Average Length', ' 1067.50 Splits', ' 0)']","[' 1330751  (Deleted', ' 1287162)']","[' 224      (Ratio', '   0.02%)']","[' 34687    (Ratio', '   2.61%)']","[' 1330751  (Average Length', '   22.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1330751  (Average', ' 212.37 Max', ' 5986 Sum', ' 282612326)']","[' 1330751  (Average', ' 212.37 Max', ' 5986 Sum', ' 282612326 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 60289   '],[' 7041    '],[' 61423   '],[' 46708   '],"[' 140120   (Atom=Atom', ' 40665 Body=Body', ' 32491 Other', ' 66964)']",[' Yes'],"[' 9175     (Eliminated', '    0 Frozen', ' 9175)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.40481'],[' 0'], ,[' 161.222'],[' 0'],[' 17.0601'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00694e+09'],[' 9.02265e+08'],[' 0'],[' 4.25313e+09'],[' 0'],[' 0']
Solving...,TA69, , , , , ,[' 1'],[' 4007+'],[' 2005'],"[' 503.064s (Solving', ' 492.11s 1st Model', ' 390.32s Unsat', ' 0.00s)']",[' 501.281s'], ,[' 290334548'],"[' 1437210  (Analyzed', ' 1325524)']","[' 4505     (Average', ' 294.23 Last', ' 113824)']",[' 6752.3  '],"[' 2005     (Average Length', ' 1002.00 Splits', ' 0)']","[' 1325524  (Deleted', ' 1280302)']","[' 250      (Ratio', '   0.02%)']","[' 38229    (Ratio', '   2.88%)']","[' 1325524  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1325524  (Average', ' 210.08 Max', ' 5979 Sum', ' 278469339)']","[' 1325524  (Average', ' 210.08 Max', ' 5979 Sum', ' 278469339 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 60278   '],[' 7071    '],[' 61281   '],[' 46667   '],"[' 139997   (Atom=Atom', ' 40594 Body=Body', ' 32521 Other', ' 66882)']",[' Yes'],"[' 9074     (Eliminated', '    0 Frozen', ' 9074)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.26626'],[' 0'], ,[' 162.682'],[' 0'],[' 16.568'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.92367e+08'],[' 8.9485e+08'],[' 0'],[' 4.2437e+09'],[' 0'],[' 0']
Solving...,TA70, , , , , ,[' 1'],[' 3601+'],[' 1802'],"[' 502.750s (Solving', ' 492.78s 1st Model', ' 454.89s Unsat', ' 0.00s)']",[' 501.000s'], ,[' 285596654'],"[' 1521101  (Analyzed', ' 1412606)']","[' 4502     (Average', ' 313.77 Last', ' 304914)']",[' 6724.3  '],"[' 1802     (Average Length', ' 900.50 Splits', ' 0)']","[' 1412606  (Deleted', ' 1371745)']","[' 247      (Ratio', '   0.02%)']","[' 36406    (Ratio', '   2.58%)']","[' 1412606  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1412606  (Average', ' 194.52 Max', ' 6011 Sum', ' 274773762)']","[' 1412606  (Average', ' 194.52 Max', ' 6011 Sum', ' 274773762 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 60127   '],[' 7084    '],[' 60927   '],[' 46503   '],"[' 139505   (Atom=Atom', ' 40417 Body=Body', ' 32534 Other', ' 66554)']",[' Yes'],"[' 8884     (Eliminated', '    0 Frozen', ' 8884)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.15509'],[' 0'], ,[' 162.969'],[' 0'],[' 16.7098'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00392e+09'],[' 8.99335e+08'],[' 0'],[' 4.50996e+09'],[' 0'],[' 0']
