Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 2265'],[' 1138'],"[' 340.278s (Solving', ' 334.94s 1st Model', ' 4.66s Unsat', ' 124.93s)']",[' 339.469s'], ,[' 39763878'],"[' 17388130 (Analyzed', ' 17240283)']","[' 31298    (Average', ' 550.84 Last', ' 1187)']",[' 2163.7  '],"[' 1138     (Average Length', ' 525.55 Splits', ' 0)']","[' 17240283 (Deleted', ' 16977674)']","[' 62       (Ratio', '   0.00%)']","[' 3117     (Ratio', '   0.02%)']","[' 17240283 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17240283 (Average', '  2.17 Max', ' 2815 Sum', ' 37432686)']","[' 17239946 (Average', '  2.16 Max', ' 2815 Sum', ' 37298795 Ratio', '  99.64%)']","[' 337      (Average', ' 397.30 Max', ' 842 Sum', ' 133891 Ratio', '   0.36%)']", ,[' 78478   '],[' 4260    '],[' 78738   '],[' 44272   '],"[' 132812   (Atom=Atom', ' 40760 Body=Body', ' 23335 Other', ' 68717)']",[' Yes'],"[' 5270     (Eliminated', '    0 Frozen', ' 5270)']","[' 470      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22998'],[' 0'], ,[' 213.52'],[' 0'],[' 5.05398'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19152e+08'],[' 6.79655e+07'],[' 0'],[' 1.99303e+10'],[' 0'],[' 0'],[' 828 '],[' 1493 '],[' 2106 '],[' 2770 '],[' 3255 '],[' 1 '],[' 4 ']
Solving...,TA52, ,[' 1'],[' 2109+'],[' 1060'],"[' 1001.120s (Solving', ' 995.78s 1st Model', ' 6.40s Unsat', ' 0.00s)']",[' 999.797s'], ,[' 79701896'],"[' 25392453 (Analyzed', ' 25288937)']","[' 43321    (Average', ' 583.76 Last', ' 50075)']",[' 1886.0  '],"[' 1060     (Average Length', ' 495.64 Splits', ' 0)']","[' 25288937 (Deleted', ' 24968106)']","[' 80       (Ratio', '   0.00%)']","[' 8347     (Ratio', '   0.03%)']","[' 25288937 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25288937 (Average', '  3.07 Max', ' 2240 Sum', ' 77618596)']","[' 25288501 (Average', '  3.06 Max', ' 2240 Sum', ' 77396144 Ratio', '  99.71%)']","[' 436      (Average', ' 510.21 Max', ' 772 Sum', ' 222452 Ratio', '   0.29%)']", ,[' 78239   '],[' 4291    '],[' 78445   '],[' 43849   '],"[' 131543   (Atom=Atom', ' 40306 Body=Body', ' 23366 Other', ' 67871)']",[' Yes'],"[' 5247     (Eliminated', '    0 Frozen', ' 5247)']","[' 1557     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1921'],[' 0'], ,[' 805.436'],[' 0'],[' 14.5347'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.40338e+08'],[' 1.58122e+08'],[' 0'],[' 1.01494e+11'],[' 0'],[' 0'],[' 807 '],[' 1445 '],[' 2152 '],[' 2816 '],[' 3286 '],[' 5 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 2453+'],[' 1232'],"[' 814.461s (Solving', ' 808.53s 1st Model', ' 8.23s Unsat', ' 5.92s)']",[' 813.656s'], ,[' 54429888'],"[' 22817340 (Analyzed', ' 22729003)']","[' 39749    (Average', ' 571.81 Last', ' 51051)']",[' 2050.6  '],"[' 1232     (Average Length', ' 575.75 Splits', ' 0)']","[' 22729003 (Deleted', ' 22465890)']","[' 96       (Ratio', '   0.00%)']","[' 6309     (Ratio', '   0.03%)']","[' 22729003 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22729003 (Average', '  2.29 Max', ' 2312 Sum', ' 52132330)']","[' 22728499 (Average', '  2.28 Max', ' 2312 Sum', ' 51869391 Ratio', '  99.50%)']","[' 504      (Average', ' 521.70 Max', ' 933 Sum', ' 262939 Ratio', '   0.50%)']", ,[' 78623   '],[' 4282    '],[' 78965   '],[' 44008   '],"[' 132020   (Atom=Atom', ' 40474 Body=Body', ' 23357 Other', ' 68189)']",[' Yes'],"[' 5374     (Eliminated', '    0 Frozen', ' 5374)']","[' 1236     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.41157'],[' 0'], ,[' 651.025'],[' 0'],[' 10.6457'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58954e+08'],[' 9.61051e+07'],[' 0'],[' 8.47887e+10'],[' 0'],[' 0'],[' 742 '],[' 1439 '],[' 2017 '],[' 2649 '],[' 3161 '],[' 4 '],[' 1 ']
Solving...,TA54, , ,[' 2343'],[' 1177'],"[' 794.559s (Solving', ' 789.11s 1st Model', ' 11.93s Unsat', ' 183.06s)']",[' 792.578s'], ,[' 57647481'],"[' 20005502 (Analyzed', ' 19886128)']","[' 38579    (Average', ' 515.47 Last', ' 68721)']",[' 1963.3  '],"[' 1177     (Average Length', ' 550.96 Splits', ' 0)']","[' 19886128 (Deleted', ' 19532305)']","[' 115      (Ratio', '   0.00%)']","[' 7718     (Ratio', '   0.04%)']","[' 19886128 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19886128 (Average', '  2.80 Max', ' 2235 Sum', ' 55612841)']","[' 19885664 (Average', '  2.78 Max', ' 2235 Sum', ' 55374552 Ratio', '  99.57%)']","[' 464      (Average', ' 513.55 Max', ' 887 Sum', ' 238289 Ratio', '   0.43%)']", ,[' 78707   '],[' 4307    '],[' 79025   '],[' 43874   '],"[' 131618   (Atom=Atom', ' 40315 Body=Body', ' 23382 Other', ' 67921)']",[' Yes'],"[' 5375     (Eliminated', '    0 Frozen', ' 5375)']","[' 1529     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29075'],[' 0'], ,[' 637.837'],[' 0'],[' 10.3749'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79685e+08'],[' 1.1749e+08'],[' 0'],[' 7.94299e+10'],[' 0'],[' 0'],[' 812 '],[' 1372 '],[' 1997 '],[' 2575 '],[' 3101 '],[' 3 '],[' 2 ']
Solving...,TA55, , ,[' 2211'],[' 1111'],"[' 534.257s (Solving', ' 529.12s 1st Model', ' 3.96s Unsat', ' 122.42s)']",[' 533.000s'], ,[' 41542191'],"[' 18163298 (Analyzed', ' 18052828)']","[' 33381    (Average', ' 540.81 Last', ' 159150)']",[' 1960.9  '],"[' 1111     (Average Length', ' 524.49 Splits', ' 0)']","[' 18052828 (Deleted', ' 17762769)']","[' 78       (Ratio', '   0.00%)']","[' 4420     (Ratio', '   0.02%)']","[' 18052828 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18052828 (Average', '  2.19 Max', ' 2602 Sum', ' 39565629)']","[' 18052368 (Average', '  2.18 Max', ' 2602 Sum', ' 39347309 Ratio', '  99.45%)']","[' 460      (Average', ' 474.61 Max', ' 837 Sum', ' 218320 Ratio', '   0.55%)']", ,[' 78048   '],[' 4269    '],[' 78312   '],[' 43542   '],"[' 130622   (Atom=Atom', ' 40021 Body=Body', ' 23344 Other', ' 67257)']",[' Yes'],"[' 5283     (Eliminated', '    0 Frozen', ' 5283)']","[' 735      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.16571'],[' 0'], ,[' 409.749'],[' 0'],[' 7.37114'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17074e+08'],[' 7.01745e+07'],[' 0'],[' 5.20121e+10'],[' 0'],[' 0'],[' 734 '],[' 1288 '],[' 2014 '],[' 2841 '],[' 3282 '],[' 2 '],[' 3 ']
Solving...,TA56, ,[' 1'],[' 1987+'],[' 999'],"[' 627.128s (Solving', ' 622.19s 1st Model', ' 4.32s Unsat', ' 19.88s)']",[' 626.391s'], ,[' 39006967'],"[' 19276075 (Analyzed', ' 19183181)']","[' 35990    (Average', ' 533.01 Last', ' 4945)']",[' 2092.3  '],"[' 999      (Average Length', ' 471.73 Splits', ' 0)']","[' 19183181 (Deleted', ' 18894786)']","[' 70       (Ratio', '   0.00%)']","[' 4125     (Ratio', '   0.02%)']","[' 19183181 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19183181 (Average', '  1.93 Max', ' 2645 Sum', ' 36997783)']","[' 19182750 (Average', '  1.92 Max', ' 2645 Sum', ' 36834056 Ratio', '  99.56%)']","[' 431      (Average', ' 379.88 Max', ' 730 Sum', ' 163727 Ratio', '   0.44%)']", ,[' 78038   '],[' 4231    '],[' 78209   '],[' 43498   '],"[' 130490   (Atom=Atom', ' 40015 Body=Body', ' 23306 Other', ' 67169)']",[' Yes'],"[' 5152     (Eliminated', '    0 Frozen', ' 5152)']","[' 604      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.18316'],[' 0'], ,[' 496.484'],[' 0'],[' 8.04747'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18821e+08'],[' 6.89318e+07'],[' 0'],[' 6.30908e+10'],[' 0'],[' 0'],[' 810 '],[' 1354 '],[' 2157 '],[' 2716 '],[' 3242 '],[' 3 '],[' 2 ']
Solving...,TA57, , ,[' 2299'],[' 1155'],"[' 522.194s (Solving', ' 515.12s 1st Model', ' 7.15s Unsat', ' 102.23s)']",[' 520.156s'], ,[' 45838214'],"[' 21267097 (Analyzed', ' 21141028)']","[' 36231    (Average', ' 583.51 Last', ' 2131)']",[' 2063.2  '],"[' 1155     (Average Length', ' 541.42 Splits', ' 0)']","[' 21141028 (Deleted', ' 20840961)']","[' 64       (Ratio', '   0.00%)']","[' 4618     (Ratio', '   0.02%)']","[' 21141028 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21141028 (Average', '  2.06 Max', ' 2545 Sum', ' 43629553)']","[' 21140570 (Average', '  2.06 Max', ' 2545 Sum', ' 43454497 Ratio', '  99.60%)']","[' 458      (Average', ' 382.22 Max', ' 879 Sum', ' 175056 Ratio', '   0.40%)']", ,[' 78324   '],[' 4282    '],[' 78612   '],[' 43601   '],"[' 130799   (Atom=Atom', ' 40067 Body=Body', ' 23357 Other', ' 67375)']",[' Yes'],"[' 5320     (Eliminated', '    0 Frozen', ' 5320)']","[' 731      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.76742'],[' 0'], ,[' 370.74'],[' 0'],[' 7.04709'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38017e+08'],[' 8.16526e+07'],[' 0'],[' 3.30214e+10'],[' 0'],[' 0'],[' 895 '],[' 1567 '],[' 2324 '],[' 2897 '],[' 3386 '],[' 2 '],[' 3 ']
Solving...,TA58, ,[' 1'],[' 2557+'],[' 1284'],"[' 632.617s (Solving', ' 626.28s 1st Model', ' 23.40s Unsat', ' 7.03s)']",[' 631.641s'], ,[' 44765577'],"[' 18187186 (Analyzed', ' 18028509)']","[' 32100    (Average', ' 561.64 Last', ' 236019)']",[' 2167.1  '],"[' 1284     (Average Length', ' 602.72 Splits', ' 0)']","[' 18028509 (Deleted', ' 17793540)']","[' 55       (Ratio', '   0.00%)']","[' 5869     (Ratio', '   0.03%)']","[' 18028509 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18028509 (Average', '  2.35 Max', ' 2579 Sum', ' 42314388)']","[' 18028156 (Average', '  2.34 Max', ' 2579 Sum', ' 42107990 Ratio', '  99.51%)']","[' 353      (Average', ' 584.70 Max', ' 979 Sum', ' 206398 Ratio', '   0.49%)']", ,[' 78987   '],[' 4301    '],[' 79405   '],[' 44683   '],"[' 134045   (Atom=Atom', ' 41130 Body=Body', ' 23376 Other', ' 69539)']",[' Yes'],"[' 5469     (Eliminated', '    0 Frozen', ' 5469)']","[' 870      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6356'],[' 0'], ,[' 496.171'],[' 0'],[' 8.31375'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40293e+08'],[' 8.72172e+07'],[' 0'],[' 6.86217e+10'],[' 0'],[' 0'],[' 825 '],[' 1407 '],[' 2128 '],[' 2738 '],[' 3327 '],[' 3 '],[' 2 ']
Solving...,TA59, ,[' 1'],[' 2299+'],[' 1155'],"[' 806.275s (Solving', ' 799.72s 1st Model', ' 34.72s Unsat', ' 0.12s)']",[' 805.109s'], ,[' 70050645'],"[' 23153652 (Analyzed', ' 23044140)']","[' 41180    (Average', ' 559.60 Last', ' 361585)']",[' 2044.9  '],"[' 1155     (Average Length', ' 544.26 Splits', ' 0)']","[' 23044140 (Deleted', ' 22712624)']","[' 123      (Ratio', '   0.00%)']","[' 7744     (Ratio', '   0.03%)']","[' 23044140 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23044140 (Average', '  2.94 Max', ' 2366 Sum', ' 67722827)']","[' 23043783 (Average', '  2.93 Max', ' 2366 Sum', ' 67570401 Ratio', '  99.77%)']","[' 357      (Average', ' 426.96 Max', ' 847 Sum', ' 152426 Ratio', '   0.23%)']", ,[' 78267   '],[' 4259    '],[' 78568   '],[' 43822   '],"[' 131462   (Atom=Atom', ' 40311 Body=Body', ' 23334 Other', ' 67817)']",[' Yes'],"[' 5310     (Eliminated', '    0 Frozen', ' 5310)']","[' 1268     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.38605'],[' 0'], ,[' 624.016'],[' 0'],[' 11.4564'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24891e+08'],[' 1.48444e+08'],[' 0'],[' 6.90834e+10'],[' 0'],[' 0'],[' 765 '],[' 1482 '],[' 2109 '],[' 2732 '],[' 3260 '],[' 4 '],[' 1 ']
Solving...,TA60, , ,[' 2351'],[' 1181'],"[' 637.220s (Solving', ' 630.91s 1st Model', ' 12.59s Unsat', ' 19.46s)']",[' 635.719s'], ,[' 71488155'],"[' 21409351 (Analyzed', ' 21303223)']","[' 37480    (Average', ' 568.39 Last', ' 575961)']",[' 1885.2  '],"[' 1181     (Average Length', ' 553.74 Splits', ' 0)']","[' 21303223 (Deleted', ' 21030089)']","[' 113      (Ratio', '   0.00%)']","[' 9707     (Ratio', '   0.05%)']","[' 21303223 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21303223 (Average', '  3.26 Max', ' 2017 Sum', ' 69422025)']","[' 21302763 (Average', '  3.25 Max', ' 2017 Sum', ' 69175311 Ratio', '  99.64%)']","[' 460      (Average', ' 536.33 Max', ' 858 Sum', ' 246714 Ratio', '   0.36%)']", ,[' 78349   '],[' 4257    '],[' 78675   '],[' 43788   '],"[' 131360   (Atom=Atom', ' 40279 Body=Body', ' 23332 Other', ' 67749)']",[' Yes'],"[' 5333     (Eliminated', '    0 Frozen', ' 5333)']","[' 1830     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.42543'],[' 0'], ,[' 466.708'],[' 0'],[' 9.71223'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24151e+08'],[' 1.46728e+08'],[' 0'],[' 4.43905e+10'],[' 0'],[' 0'],[' 723 '],[' 1357 '],[' 2033 '],[' 2602 '],[' 3067 '],[' 3 '],[' 2 ']
