Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 11739+'],[' 5876'],"[' 1029.444s (Solving', ' 904.88s 1st Model', ' 521.22s Unsat', ' 0.00s)']",[' 1023.813s'], ,[' 404139670'],"[' 5607619  (Analyzed', ' 5133895)']","[' 12596    (Average', ' 407.58 Last', ' 224940)']",[' 11007.7 '],"[' 5876     (Average Length', ' 2620.44 Splits', ' 0)']","[' 5133895  (Deleted', ' 5012391)']","[' 2645     (Ratio', '   0.05%)']","[' 62484    (Ratio', '   1.22%)']","[' 5133895  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5133895  (Average', ' 69.80 Max', ' 14962 Sum', ' 358322626)']","[' 5132084  (Average', ' 68.95 Max', ' 14962 Sum', ' 353963853 Ratio', '  98.78%)']","[' 1811     (Average', ' 2406.83 Max', ' 4967 Sum', ' 4358773 Ratio', '   1.22%)']", ,[' 438982  '],[' 26362   '],[' 441957  '],[' 277850  '],"[' 833546   (Atom=Atom', ' 253486 Body=Body', ' 127262 Other', ' 452798)']",[' Yes'],"[' 31331    (Eliminated', '    0 Frozen', ' 31331)']","[' 9370     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.2655'],[' 0'], ,[' 500.935'],[' 0'],[' 27.4966'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57222e+09'],[' 1.45873e+09'],[' 0'],[' 2.93028e+10'],[' 0'],[' 0'],[' 1358 '],[' 2421 '],[' 3399 '],[' 4362 '],[' 8101 '],[' 8648 '],[' 6 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 13651+'],[' 6832'],"[' 1034.891s (Solving', ' 880.04s 1st Model', ' 546.39s Unsat', ' 0.00s)']",[' 1028.625s'], ,[' 438288456'],"[' 4245120  (Analyzed', ' 3767928)']","[' 10755    (Average', ' 350.34 Last', ' 201463)']",[' 10984.6 '],"[' 6832     (Average Length', ' 2936.69 Splits', ' 0)']","[' 3767928  (Deleted', ' 3638331)']","[' 3262     (Ratio', '   0.09%)']","[' 65753    (Ratio', '   1.75%)']","[' 3767928  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3767928  (Average', ' 103.04 Max', ' 17049 Sum', ' 388231397)']","[' 3765730  (Average', ' 101.51 Max', ' 17049 Sum', ' 382468097 Ratio', '  98.52%)']","[' 2198     (Average', ' 2622.07 Max', ' 5415 Sum', ' 5763300 Ratio', '   1.48%)']", ,[' 435815  '],[' 26240   '],[' 439239  '],[' 272952  '],"[' 818852   (Atom=Atom', ' 248710 Body=Body', ' 127140 Other', ' 443002)']",[' Yes'],"[' 31662    (Eliminated', '    0 Frozen', ' 31662)']","[' 11139    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 30.3765'],[' 0'], ,[' 430.85'],[' 0'],[' 29.1575'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.825e+09'],[' 1.69572e+09'],[' 0'],[' 1.93285e+10'],[' 0'],[' 0'],[' 1122 '],[' 2057 '],[' 2928 '],[' 3882 '],[' 4847 '],[' 5824 '],[' 6 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 12063+'],[' 6038'],"[' 1030.564s (Solving', ' 901.35s 1st Model', ' 470.23s Unsat', ' 0.00s)']",[' 1024.250s'], ,[' 444156701'],"[' 5489740  (Analyzed', ' 5109442)']","[' 12308    (Average', ' 415.13 Last', ' 50989)']",[' 10792.3 '],"[' 6038     (Average Length', ' 2628.45 Splits', ' 0)']","[' 5109442  (Deleted', ' 4972422)']","[' 3692     (Ratio', '   0.07%)']","[' 66410    (Ratio', '   1.30%)']","[' 5109442  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5109442  (Average', ' 78.04 Max', ' 13745 Sum', ' 398728111)']","[' 5107455  (Average', ' 77.13 Max', ' 13745 Sum', ' 394109704 Ratio', '  98.84%)']","[' 1987     (Average', ' 2324.31 Max', ' 4877 Sum', ' 4618407 Ratio', '   1.16%)']", ,[' 437862  '],[' 26363   '],[' 440807  '],[' 276095  '],"[' 828281   (Atom=Atom', ' 251730 Body=Body', ' 127263 Other', ' 449288)']",[' Yes'],"[' 31239    (Eliminated', '    0 Frozen', ' 31239)']","[' 9796     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.0664'],[' 0'], ,[' 465.91'],[' 0'],[' 29.7712'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72213e+09'],[' 1.60653e+09'],[' 0'],[' 2.31581e+10'],[' 0'],[' 0'],[' 1399 '],[' 2384 '],[' 3221 '],[' 4277 '],[' 5293 '],[' 6146 '],[' 6 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 12937+'],[' 6475'],"[' 1032.374s (Solving', ' 889.15s 1st Model', ' 561.09s Unsat', ' 0.00s)']",[' 1027.781s'], ,[' 445514366'],"[' 3997993  (Analyzed', ' 3634689)']","[' 9689     (Average', ' 375.14 Last', ' 89337)']",[' 10493.5 '],"[' 6475     (Average Length', ' 2789.65 Splits', ' 0)']","[' 3634689  (Deleted', ' 3517705)']","[' 2997     (Ratio', '   0.08%)']","[' 69263    (Ratio', '   1.91%)']","[' 3634689  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3634689  (Average', ' 110.66 Max', ' 13386 Sum', ' 402222830)']","[' 3632054  (Average', ' 108.67 Max', ' 13386 Sum', ' 394991136 Ratio', '  98.20%)']","[' 2635     (Average', ' 2744.48 Max', ' 5130 Sum', ' 7231694 Ratio', '   1.80%)']", ,[' 434669  '],[' 26271   '],[' 437804  '],[' 270526  '],"[' 811574   (Atom=Atom', ' 246253 Body=Body', ' 127171 Other', ' 438150)']",[' Yes'],"[' 31400    (Eliminated', '    0 Frozen', ' 31400)']","[' 10811    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.5277'],[' 0'], ,[' 440.074'],[' 0'],[' 29.0688'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80893e+09'],[' 1.68197e+09'],[' 0'],[' 2.09892e+10'],[' 0'],[' 0'],[' 1224 '],[' 2110 '],[' 3004 '],[' 3978 '],[' 5017 '],[' 5826 '],[' 6 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 11413+'],[' 5713'],"[' 1028.859s (Solving', ' 909.20s 1st Model', ' 533.59s Unsat', ' 0.00s)']",[' 1022.813s'], ,[' 421008754'],"[' 3001143  (Analyzed', ' 2622414)']","[' 8502     (Average', ' 308.45 Last', ' 69353)']",[' 10588.7 '],"[' 5713     (Average Length', ' 2564.16 Splits', ' 0)']","[' 2622414  (Deleted', ' 2508992)']","[' 2457     (Ratio', '   0.09%)']","[' 66371    (Ratio', '   2.53%)']","[' 2622414  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2622414  (Average', ' 144.22 Max', ' 14668 Sum', ' 378199816)']","[' 2620713  (Average', ' 142.79 Max', ' 14668 Sum', ' 374461877 Ratio', '  99.01%)']","[' 1701     (Average', ' 2197.50 Max', ' 4858 Sum', ' 3737939 Ratio', '   0.99%)']", ,[' 437827  '],[' 26398   '],[' 440688  '],[' 276651  '],"[' 829949   (Atom=Atom', ' 252251 Body=Body', ' 127298 Other', ' 450400)']",[' Yes'],"[' 31259    (Eliminated', '    0 Frozen', ' 31259)']","[' 10934    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.8715'],[' 0'], ,[' 477.13'],[' 0'],[' 27.5917'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69794e+09'],[' 1.57551e+09'],[' 0'],[' 2.78565e+10'],[' 0'],[' 0'],[' 1246 '],[' 2233 '],[' 3183 '],[' 4180 '],[' 7456 '],[' 7930 '],[' 6 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 13635+'],[' 6824'],"[' 1034.550s (Solving', ' 882.47s 1st Model', ' 537.50s Unsat', ' 0.00s)']",[' 1027.969s'], ,[' 426796509'],"[' 5309175  (Analyzed', ' 4877170)']","[' 12946    (Average', ' 376.73 Last', ' 88724)']",[' 11050.2 '],"[' 6824     (Average Length', ' 2965.06 Splits', ' 0)']","[' 4877170  (Deleted', ' 4737844)']","[' 2920     (Ratio', '   0.06%)']","[' 63802    (Ratio', '   1.31%)']","[' 4877170  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4877170  (Average', ' 77.25 Max', ' 13420 Sum', ' 376740092)']","[' 4875004  (Average', ' 76.03 Max', ' 13420 Sum', ' 370832828 Ratio', '  98.43%)']","[' 2166     (Average', ' 2727.27 Max', ' 5401 Sum', ' 5907264 Ratio', '   1.57%)']", ,[' 436658  '],[' 26194   '],[' 440058  '],[' 273848  '],"[' 821540   (Atom=Atom', ' 249652 Body=Body', ' 127094 Other', ' 444794)']",[' Yes'],"[' 31594    (Eliminated', '    0 Frozen', ' 31594)']","[' 10265    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 29.8184'],[' 0'], ,[' 445.596'],[' 0'],[' 28.7089'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7512e+09'],[' 1.63336e+09'],[' 0'],[' 2.08268e+10'],[' 0'],[' 0'],[' 1144 '],[' 2158 '],[' 3080 '],[' 4011 '],[' 4939 '],[' 5957 '],[' 6 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 13223+'],[' 6618'],"[' 1033.088s (Solving', ' 890.43s 1st Model', ' 554.75s Unsat', ' 0.00s)']",[' 1027.938s'], ,[' 429658553'],"[' 6730755  (Analyzed', ' 6128861)']","[' 13783    (Average', ' 444.67 Last', ' 80982)']",[' 11162.2 '],"[' 6618     (Average Length', ' 2865.87 Splits', ' 0)']","[' 6128861  (Deleted', ' 6009861)']","[' 3698     (Ratio', '   0.06%)']","[' 58276    (Ratio', '   0.95%)']","[' 6128861  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6128861  (Average', ' 62.02 Max', ' 13663 Sum', ' 380131675)']","[' 6126551  (Average', ' 60.98 Max', ' 13663 Sum', ' 373747659 Ratio', '  98.32%)']","[' 2310     (Average', ' 2763.64 Max', ' 5268 Sum', ' 6384016 Ratio', '   1.68%)']", ,[' 436387  '],[' 26225   '],[' 439694  '],[' 273701  '],"[' 821099   (Atom=Atom', ' 249474 Body=Body', ' 127125 Other', ' 444500)']",[' Yes'],"[' 31492    (Eliminated', '    0 Frozen', ' 31492)']","[' 8429     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.4246'],[' 0'], ,[' 467.041'],[' 0'],[' 29.1097'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.64311e+09'],[' 1.53515e+09'],[' 0'],[' 2.25343e+10'],[' 0'],[' 0'],[' 1374 '],[' 2140 '],[' 3118 '],[' 4098 '],[' 5139 '],[' 5943 '],[' 6 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 11801+'],[' 5907'],"[' 943.236s (Solving', ' 817.05s 1st Model', ' 408.28s Unsat', ' 0.00s)']",[' 937.172s'], ,[' 387731079'],"[' 5136986  (Analyzed', ' 4762174)']","[' 11666    (Average', ' 408.21 Last', ' 88955)']",[' 10913.0 '],"[' 5906     (Average Length', ' 2580.53 Splits', ' 0)']","[' 4762174  (Deleted', ' 4638006)']","[' 3242     (Ratio', '   0.07%)']","[' 60151    (Ratio', '   1.26%)']","[' 4762174  (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4762174  (Average', ' 71.87 Max', ' 14747 Sum', ' 342249214)']","[' 4760227  (Average', ' 70.93 Max', ' 14747 Sum', ' 337793485 Ratio', '  98.70%)']","[' 1947     (Average', ' 2288.51 Max', ' 4802 Sum', ' 4455729 Ratio', '   1.30%)']", ,[' 437866  '],[' 26370   '],[' 440751  '],[' 276647  '],"[' 829937   (Atom=Atom', ' 252275 Body=Body', ' 127270 Other', ' 450392)']",[' Yes'],"[' 31171    (Eliminated', '    0 Frozen', ' 31171)']","[' 9464     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.3378'],[' 0'], ,[' 418.616'],[' 0'],[' 26.434'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56611e+09'],[' 1.45664e+09'],[' 0'],[' 2.08748e+10'],[' 0'],[' 0'],[' 1306 '],[' 2217 '],[' 3179 '],[' 4246 '],[' 5431 '],[' 6225 '],[' 6 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 11735+'],[' 5874'],"[' 1031.577s (Solving', ' 898.09s 1st Model', ' 451.33s Unsat', ' 0.00s)']",[' 1025.797s'], ,[' 391500547'],"[' 5985447  (Analyzed', ' 5462815)']","[' 13888    (Average', ' 393.35 Last', ' 148311)']",[' 12820.3 '],"[' 5874     (Average Length', ' 2728.20 Splits', ' 0)']","[' 5462815  (Deleted', ' 5335379)']","[' 2152     (Ratio', '   0.04%)']","[' 54483    (Ratio', '   1.00%)']","[' 5462815  (Average Length', '   35.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5462815  (Average', ' 61.24 Max', ' 16028 Sum', ' 334562426)']","[' 5461373  (Average', ' 60.61 Max', ' 16028 Sum', ' 331113693 Ratio', '  98.97%)']","[' 1442     (Average', ' 2391.63 Max', ' 5195 Sum', ' 3448733 Ratio', '   1.03%)']", ,[' 442786  '],[' 26462   '],[' 445982  '],[' 285378  '],"[' 856130   (Atom=Atom', ' 260914 Body=Body', ' 127362 Other', ' 467854)']",[' Yes'],"[' 31658    (Eliminated', '    0 Frozen', ' 31658)']","[' 8784     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.4333'],[' 0'], ,[' 491.929'],[' 0'],[' 27.099'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56412e+09'],[' 1.45379e+09'],[' 0'],[' 2.74601e+10'],[' 0'],[' 0'],[' 1217 '],[' 2077 '],[' 7743 '],[' 8244 '],[' 9291 '],[' 10150 '],[' 6 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 10067+'],[' 5040'],"[' 885.934s (Solving', ' 779.37s 1st Model', ' 329.79s Unsat', ' 0.00s)']",[' 880.531s'], ,[' 364414719'],"[' 3821828  (Analyzed', ' 3477391)']","[' 9474     (Average', ' 367.05 Last', ' 43099)']",[' 11320.2 '],"[' 5039     (Average Length', ' 2296.84 Splits', ' 0)']","[' 3477391  (Deleted', ' 3376389)']","[' 1843     (Ratio', '   0.05%)']","[' 56802    (Ratio', '   1.63%)']","[' 3477391  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3477391  (Average', ' 92.35 Max', ' 16515 Sum', ' 321153035)']","[' 3475953  (Average', ' 91.54 Max', ' 16515 Sum', ' 318303183 Ratio', '  99.11%)']","[' 1438     (Average', ' 1981.82 Max', ' 4425 Sum', ' 2849852 Ratio', '   0.89%)']", ,[' 439086  '],[' 26440   '],[' 441566  '],[' 278612  '],"[' 835832   (Atom=Atom', ' 254170 Body=Body', ' 127340 Other', ' 454322)']",[' Yes'],"[' 30864    (Eliminated', '    0 Frozen', ' 30864)']","[' 8246     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.7066'],[' 0'], ,[' 423.144'],[' 0'],[' 24.2456'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39621e+09'],[' 1.28835e+09'],[' 0'],[' 2.36999e+10'],[' 0'],[' 0'],[' 1214 '],[' 2264 '],[' 3104 '],[' 7693 '],[' 6844 '],[' 7583 '],[' 6 '],[' 0 ']
