Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 2031'],[' 1024'],"[' 17.033s (Solving', ' 11.22s 1st Model', ' 3.83s Unsat', ' 0.63s)']",[' 16.906s'], ,[' 3197795 '],"[' 53553    (Analyzed', ' 37510)']","[' 239      (Average', ' 156.95 Last', ' 3412)']",[' 1978.2  '],"[' 1024     (Average Length', ' 481.78 Splits', ' 0)']","[' 37510    (Deleted', ' 20856)']","[' 97       (Ratio', '   0.26%)']","[' 1029     (Ratio', '   2.74%)']","[' 37510    (Average Length', '    7.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37510    (Average', ' 44.84 Max', ' 2629 Sum', ' 1682109)']","[' 37363    (Average', ' 44.23 Max', ' 2629 Sum', ' 1659016 Ratio', '  98.63%)']","[' 147      (Average', ' 157.10 Max', ' 727 Sum', '  23093 Ratio', '   1.37%)']", ,[' 98465   '],[' 3842    '],[' 98403   '],[' 55728   '],"[' 167180   (Atom=Atom', ' 52884 Body=Body', ' 29292 Other', ' 85004)']",[' Yes'],"[' 4780     (Eliminated', '    0 Frozen', ' 4780)']","[' 30       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.53142'],[' 0'], ,[' 4.33347'],[' 0'],[' 0.19661'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.19673e+07'],[' 2.08833e+07'],[' 0'],[' 2.17044e+08'],[' 0'],[' 0'],[' 542 '],[' 1043 '],[' 1520 '],[' 2090 '],[' 2568 '],[' 2987 '],[' 3396 '],[' 3746 '],[' 0 '],[' 8 ']
Solving...,TA62, , ,[' 1973'],[' 995'],"[' 85.560s (Solving', ' 79.32s 1st Model', ' 3.63s Unsat', ' 68.23s)']",[' 85.000s'], ,[' 4821717 '],"[' 1285823  (Analyzed', ' 1199044)']","[' 2993     (Average', ' 400.62 Last', ' 1884)']",[' 1998.7  '],"[' 995      (Average Length', ' 473.18 Splits', ' 0)']","[' 1199044  (Deleted', ' 1166477)']","[' 80       (Ratio', '   0.01%)']","[' 1120     (Ratio', '   0.09%)']","[' 1199044  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1199044  (Average', '  2.70 Max', ' 2614 Sum', ' 3242760)']","[' 1198900  (Average', '  2.66 Max', ' 2614 Sum', ' 3194801 Ratio', '  98.52%)']","[' 144      (Average', ' 333.05 Max', ' 818 Sum', '  47959 Ratio', '   1.48%)']", ,[' 98259   '],[' 3818    '],[' 98180   '],[' 55561   '],"[' 166679   (Atom=Atom', ' 52741 Body=Body', ' 29268 Other', ' 84670)']",[' Yes'],"[' 4739     (Eliminated', '    0 Frozen', ' 4739)']","[' 104      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5852'],[' 0'], ,[' 64.3332'],[' 0'],[' 1.19784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.72268e+07'],[' 2.31395e+07'],[' 0'],[' 8.33743e+09'],[' 0'],[' 0'],[' 628 '],[' 1069 '],[' 1559 '],[' 2202 '],[' 2585 '],[' 3023 '],[' 3449 '],[' 3780 '],[' 0 '],[' 8 ']
Solving...,TA63, , ,[' 2159'],[' 1088'],"[' 17.928s (Solving', ' 11.31s 1st Model', ' 3.16s Unsat', ' 0.53s)']",[' 18.016s'], ,[' 3102538 '],"[' 59366    (Analyzed', ' 12451)']","[' 217      (Average', ' 57.38 Last', ' 231)']",[' 2002.7  '],"[' 1088     (Average Length', ' 508.84 Splits', ' 0)']","[' 12451    (Deleted', ' 5347)']","[' 112      (Ratio', '   0.90%)']","[' 707      (Ratio', '   5.68%)']","[' 12451    (Average Length', '    6.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12451    (Average', ' 116.61 Max', ' 2680 Sum', ' 1451867)']","[' 12310    (Average', ' 115.81 Max', ' 2680 Sum', ' 1441938 Ratio', '  99.32%)']","[' 141      (Average', ' 70.42 Max', ' 546 Sum', '   9929 Ratio', '   0.68%)']", ,[' 98245   '],[' 3823    '],[' 98235   '],[' 55627   '],"[' 166877   (Atom=Atom', ' 52802 Body=Body', ' 29273 Other', ' 84802)']",[' Yes'],"[' 4813     (Eliminated', '    0 Frozen', ' 4813)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.67537'],[' 0'], ,[' 4.0837'],[' 0'],[' 0.18127'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.22001e+07'],[' 2.11697e+07'],[' 0'],[' 1.77354e+08'],[' 0'],[' 0'],[' 652 '],[' 1080 '],[' 1530 '],[' 1937 '],[' 2385 '],[' 2792 '],[' 3232 '],[' 3514 '],[' 0 '],[' 8 ']
Solving...,TA64, , ,[' 2175'],[' 1096'],"[' 141.221s (Solving', ' 134.57s 1st Model', ' 3.14s Unsat', ' 0.90s)']",[' 140.672s'], ,[' 5293374 '],"[' 1571998  (Analyzed', ' 1513907)']","[' 3497     (Average', ' 432.92 Last', ' 29493)']",[' 1996.6  '],"[' 1096     (Average Length', ' 506.12 Splits', ' 0)']","[' 1513907  (Deleted', ' 1478010)']","[' 68       (Ratio', '   0.00%)']","[' 1089     (Ratio', '   0.07%)']","[' 1513907  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1513907  (Average', '  2.40 Max', ' 2582 Sum', ' 3632529)']","[' 1513737  (Average', '  2.36 Max', ' 2582 Sum', ' 3577844 Ratio', '  98.49%)']","[' 170      (Average', ' 321.68 Max', ' 854 Sum', '  54685 Ratio', '   1.51%)']", ,[' 98401   '],[' 3847    '],[' 98382   '],[' 55521   '],"[' 166559   (Atom=Atom', ' 52672 Body=Body', ' 29297 Other', ' 84590)']",[' Yes'],"[' 4828     (Eliminated', '    0 Frozen', ' 4828)']","[' 122      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.70239'],[' 0'], ,[' 115.536'],[' 0'],[' 1.9652'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.95943e+07'],[' 2.4945e+07'],[' 0'],[' 1.58129e+10'],[' 0'],[' 0'],[' 656 '],[' 1127 '],[' 1592 '],[' 2138 '],[' 2673 '],[' 3058 '],[' 3446 '],[' 3770 '],[' 1 '],[' 7 ']
Solving...,TA65, , ,[' 2111'],[' 1064'],"[' 18.498s (Solving', ' 12.22s 1st Model', ' 3.04s Unsat', ' 1.83s)']",[' 18.313s'], ,[' 3048686 '],"[' 73077    (Analyzed', ' 33415)']","[' 329      (Average', ' 101.57 Last', ' 196)']",[' 1980.8  '],"[' 1064     (Average Length', ' 497.88 Splits', ' 0)']","[' 33415    (Deleted', ' 24610)']","[' 75       (Ratio', '   0.22%)']","[' 843      (Ratio', '   2.52%)']","[' 33415    (Average Length', '    7.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33415    (Average', ' 43.47 Max', ' 2620 Sum', ' 1452535)']","[' 33297    (Average', ' 43.15 Max', ' 2620 Sum', ' 1441993 Ratio', '  99.27%)']","[' 118      (Average', ' 89.34 Max', ' 866 Sum', '  10542 Ratio', '   0.73%)']", ,[' 98502   '],[' 3853    '],[' 98476   '],[' 55759   '],"[' 167273   (Atom=Atom', ' 52904 Body=Body', ' 29303 Other', ' 85066)']",[' Yes'],"[' 4827     (Eliminated', '    0 Frozen', ' 4827)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.57861'],[' 0'], ,[' 5.14793'],[' 0'],[' 0.202733'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.16266e+07'],[' 2.05664e+07'],[' 0'],[' 3.45127e+08'],[' 0'],[' 0'],[' 506 '],[' 1016 '],[' 1490 '],[' 1952 '],[' 2399 '],[' 2903 '],[' 3305 '],[' 3613 '],[' 0 '],[' 8 ']
Solving...,TA66, , ,[' 2259'],[' 1138'],"[' 21.798s (Solving', ' 15.26s 1st Model', ' 3.35s Unsat', ' 3.98s)']",[' 21.641s'], ,[' 3234409 '],"[' 111109   (Analyzed', ' 50308)']","[' 377      (Average', ' 133.44 Last', ' 893)']",[' 2000.3  '],"[' 1138     (Average Length', ' 527.85 Splits', ' 0)']","[' 50308    (Deleted', ' 40259)']","[' 87       (Ratio', '   0.17%)']","[' 938      (Ratio', '   1.86%)']","[' 50308    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 50308    (Average', ' 30.76 Max', ' 2680 Sum', ' 1547260)']","[' 50171    (Average', ' 29.98 Max', ' 2680 Sum', ' 1508208 Ratio', '  97.48%)']","[' 137      (Average', ' 285.05 Max', ' 810 Sum', '  39052 Ratio', '   2.52%)']", ,[' 98762   '],[' 3848    '],[' 98792   '],[' 55982   '],"[' 167942   (Atom=Atom', ' 53132 Body=Body', ' 29298 Other', ' 85512)']",[' Yes'],"[' 4878     (Eliminated', '    0 Frozen', ' 4878)']","[' 31       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.68898'],[' 0'], ,[' 7.366'],[' 0'],[' 0.239307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.31393e+07'],[' 2.19822e+07'],[' 0'],[' 6.58716e+08'],[' 0'],[' 0'],[' 600 '],[' 1018 '],[' 1495 '],[' 1957 '],[' 2520 '],[' 2938 '],[' 3383 '],[' 3705 '],[' 0 '],[' 8 ']
Solving...,TA67, , ,[' 2163'],[' 1090'],"[' 32.453s (Solving', ' 26.00s 1st Model', ' 2.78s Unsat', ' 1.01s)']",[' 32.375s'], ,[' 3366451 '],"[' 1120525  (Analyzed', ' 25441)']","[' 790      (Average', ' 32.20 Last', ' 258)']",[' 2050.2  '],"[' 1090     (Average Length', ' 510.19 Splits', ' 0)']","[' 25441    (Deleted', ' 22497)']","[' 102      (Ratio', '   0.40%)']","[' 824      (Ratio', '   3.24%)']","[' 25441    (Average Length', '    7.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25441    (Average', ' 24.63 Max', ' 1354 Sum', ' 626663)']","[' 25315    (Average', ' 23.63 Max', ' 1054 Sum', ' 601234 Ratio', '  95.94%)']","[' 126      (Average', ' 201.82 Max', ' 912 Sum', '  25429 Ratio', '   4.06%)']", ,[' 98956   '],[' 3880    '],[' 98945   '],[' 56566   '],"[' 169694   (Atom=Atom', ' 53684 Body=Body', ' 29330 Other', ' 86680)']",[' Yes'],"[' 4869     (Eliminated', '    0 Frozen', ' 4869)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.66955'],[' 0'], ,[' 18.2319'],[' 0'],[' 0.245119'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.3867e+07'],[' 2.17542e+07'],[' 0'],[' 1.79695e+09'],[' 0'],[' 0'],[' 622 '],[' 1075 '],[' 1602 '],[' 2167 '],[' 2601 '],[' 3000 '],[' 3383 '],[' 3699 '],[' 0 '],[' 8 ']
Solving...,TA68, , ,[' 1873'],[' 945'],"[' 18.301s (Solving', ' 12.21s 1st Model', ' 3.00s Unsat', ' 2.15s)']",[' 18.047s'], ,[' 2881028 '],"[' 133618   (Analyzed', ' 79526)']","[' 390      (Average', ' 203.91 Last', ' 457)']",[' 2068.0  '],"[' 945      (Average Length', ' 451.08 Splits', ' 0)']","[' 79526    (Deleted', ' 68854)']","[' 81       (Ratio', '   0.10%)']","[' 767      (Ratio', '   0.96%)']","[' 79526    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 79526    (Average', ' 16.63 Max', ' 2666 Sum', ' 1322333)']","[' 79425    (Average', ' 16.47 Max', ' 2666 Sum', ' 1309859 Ratio', '  99.06%)']","[' 101      (Average', ' 123.50 Max', ' 626 Sum', '  12474 Ratio', '   0.94%)']", ,[' 98366   '],[' 3810    '],[' 98251   '],[' 55771   '],"[' 167309   (Atom=Atom', ' 52959 Body=Body', ' 29260 Other', ' 85090)']",[' Yes'],"[' 4695     (Eliminated', '    0 Frozen', ' 4695)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.58936'],[' 0'], ,[' 5.24719'],[' 0'],[' 0.198811'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.16724e+07'],[' 2.05878e+07'],[' 0'],[' 3.10515e+08'],[' 0'],[' 0'],[' 519 '],[' 1153 '],[' 1703 '],[' 2199 '],[' 2726 '],[' 3077 '],[' 3510 '],[' 3848 '],[' 0 '],[' 8 ']
Solving...,TA69, , ,[' 2319'],[' 1168'],"[' 25.626s (Solving', ' 18.38s 1st Model', ' 4.12s Unsat', ' 6.18s)']",[' 25.156s'], ,[' 4123754 '],"[' 532078   (Analyzed', ' 463760)']","[' 1388     (Average', ' 334.12 Last', ' 680)']",[' 2107.7  '],"[' 1168     (Average Length', ' 545.07 Splits', ' 0)']","[' 463760   (Deleted', ' 448560)']","[' 149      (Ratio', '   0.03%)']","[' 1211     (Ratio', '   0.26%)']","[' 463760   (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 463760   (Average', '  4.85 Max', ' 2767 Sum', ' 2250838)']","[' 463585   (Average', '  4.81 Max', ' 2767 Sum', ' 2230832 Ratio', '  99.11%)']","[' 175      (Average', ' 114.32 Max', ' 928 Sum', '  20006 Ratio', '   0.89%)']", ,[' 99561   '],[' 3922    '],[' 99618   '],[' 56796   '],"[' 170384   (Atom=Atom', ' 53872 Body=Body', ' 29372 Other', ' 87140)']",[' Yes'],"[' 4979     (Eliminated', '    0 Frozen', ' 4979)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.79438'],[' 0'], ,[' 8.00264'],[' 0'],[' 0.313795'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.66811e+07'],[' 2.44733e+07'],[' 0'],[' 4.77714e+08'],[' 0'],[' 0'],[' 696 '],[' 1171 '],[' 1732 '],[' 2171 '],[' 2638 '],[' 3136 '],[' 3612 '],[' 3924 '],[' 0 '],[' 8 ']
Solving...,TA70, , ,[' 2043'],[' 1030'],"[' 35.348s (Solving', ' 29.01s 1st Model', ' 2.99s Unsat', ' 13.25s)']",[' 35.094s'], ,[' 3513485 '],"[' 843278   (Analyzed', ' 258377)']","[' 1435     (Average', ' 180.05 Last', ' 233)']",[' 2025.3  '],"[' 1030     (Average Length', ' 492.56 Splits', ' 0)']","[' 258377   (Deleted', ' 241333)']","[' 110      (Ratio', '   0.04%)']","[' 1100     (Ratio', '   0.43%)']","[' 258377   (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 258377   (Average', '  5.31 Max', ' 2706 Sum', ' 1370844)']","[' 258245   (Average', '  5.23 Max', ' 2706 Sum', ' 1350552 Ratio', '  98.52%)']","[' 132      (Average', ' 153.73 Max', ' 852 Sum', '  20292 Ratio', '   1.48%)']", ,[' 99172   '],[' 3886    '],[' 99143   '],[' 56564   '],"[' 169688   (Atom=Atom', ' 53676 Body=Body', ' 29336 Other', ' 86676)']",[' Yes'],"[' 4857     (Eliminated', '    0 Frozen', ' 4857)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5891'],[' 0'], ,[' 19.8374'],[' 0'],[' 0.387181'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.35003e+07'],[' 2.13837e+07'],[' 0'],[' 2.0811e+09'],[' 0'],[' 0'],[' 700 '],[' 1159 '],[' 1748 '],[' 2388 '],[' 2960 '],[' 3414 '],[' 3913 '],[' 4229 '],[' 0 '],[' 8 ']
