Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 4095+'],[' 2058'],"[' 919.317s (Solving', ' 891.09s 1st Model', ' 36.53s Unsat', ' 4.29s)']",[' 917.109s'], ,[' 58723044'],"[' 13017993 (Analyzed', ' 12939319)']","[' 26801    (Average', ' 482.79 Last', ' 48353)']",[' 5267.1  '],"[' 2058     (Average Length', ' 942.50 Splits', ' 0)']","[' 12939319 (Deleted', ' 12733452)']","[' 369      (Ratio', '   0.00%)']","[' 7570     (Ratio', '   0.06%)']","[' 12939319 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12939319 (Average', '  3.89 Max', ' 8022 Sum', ' 50298437)']","[' 12938210 (Average', '  3.81 Max', ' 8022 Sum', ' 49311080 Ratio', '  98.04%)']","[' 1109     (Average', ' 890.31 Max', ' 1833 Sum', ' 987357 Ratio', '   1.96%)']", ,[' 314337  '],[' 13222   '],[' 313269  '],[' 215431  '],"[' 646289   (Atom=Atom', ' 205120 Body=Body', ' 113209 Other', ' 327960)']",[' Yes'],"[' 14147    (Eliminated', '    0 Frozen', ' 14147)']","[' 1429     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.06193'],[' 0'], ,[' 772.165'],[' 0'],[' 11.8805'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.52604e+08'],[' 2.13778e+08'],[' 0'],[' 9.09208e+10'],[' 0'],[' 0'],[' 917 '],[' 1574 '],[' 2189 '],[' 2771 '],[' 3316 '],[' 3848 '],[' 4367 '],[' 4901 '],[' 5453 '],[' 5864 '],[' 9 '],[' 1 ']
Solving...,TA72, ,[' 1'],[' 3885+'],[' 1953'],"[' 902.255s (Solving', ' 874.65s 1st Model', ' 24.86s Unsat', ' 78.04s)']",[' 899.813s'], ,[' 48844583'],"[' 13187229 (Analyzed', ' 13121701)']","[' 27640    (Average', ' 474.74 Last', ' 60274)']",[' 5291.0  '],"[' 1953     (Average Length', ' 905.44 Splits', ' 0)']","[' 13121701 (Deleted', ' 12899481)']","[' 508      (Ratio', '   0.00%)']","[' 4473     (Ratio', '   0.03%)']","[' 13121701 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13121701 (Average', '  3.12 Max', ' 7895 Sum', ' 40914529)']","[' 13120293 (Average', '  3.04 Max', ' 7895 Sum', ' 39825048 Ratio', '  97.34%)']","[' 1408     (Average', ' 773.78 Max', ' 1779 Sum', ' 1089481 Ratio', '   2.66%)']", ,[' 310654  '],[' 13100   '],[' 309493  '],[' 210629  '],"[' 631883   (Atom=Atom', ' 200487 Body=Body', ' 113040 Other', ' 318356)']",[' Yes'],"[' 13920    (Eliminated', '    0 Frozen', ' 13920)']","[' 865      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.93431'],[' 0'], ,[' 766.762'],[' 0'],[' 11.5697'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1807e+08'],[' 1.83525e+08'],[' 0'],[' 9.31611e+10'],[' 0'],[' 0'],[' 805 '],[' 1490 '],[' 1981 '],[' 2580 '],[' 3073 '],[' 3639 '],[' 4149 '],[' 4641 '],[' 5198 '],[' 5615 '],[' 8 '],[' 2 ']
Solving...,TA73, ,[' 1'],[' 4233+'],[' 2127'],"[' 836.632s (Solving', ' 807.84s 1st Model', ' 34.30s Unsat', ' 15.14s)']",[' 834.922s'], ,[' 54269058'],"[' 12992860 (Analyzed', ' 12917163)']","[' 26659    (Average', ' 484.53 Last', ' 60189)']",[' 5435.6  '],"[' 2127     (Average Length', ' 958.03 Splits', ' 0)']","[' 12917163 (Deleted', ' 12703968)']","[' 391      (Ratio', '   0.00%)']","[' 5546     (Ratio', '   0.04%)']","[' 12917163 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12917163 (Average', '  3.49 Max', ' 8268 Sum', ' 45020441)']","[' 12916130 (Average', '  3.43 Max', ' 8268 Sum', ' 44247526 Ratio', '  98.28%)']","[' 1033     (Average', ' 748.22 Max', ' 1889 Sum', ' 772915 Ratio', '   1.72%)']", ,[' 312534  '],[' 13198   '],[' 311517  '],[' 216054  '],"[' 648158   (Atom=Atom', ' 205763 Body=Body', ' 113189 Other', ' 329206)']",[' Yes'],"[' 14177    (Eliminated', '    0 Frozen', ' 14177)']","[' 901      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.27662'],[' 0'], ,[' 697.421'],[' 0'],[' 10.7795'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36264e+08'],[' 1.99079e+08'],[' 0'],[' 8.11968e+10'],[' 0'],[' 0'],[' 1051 '],[' 1647 '],[' 2084 '],[' 2599 '],[' 3101 '],[' 3801 '],[' 4339 '],[' 4887 '],[' 5352 '],[' 5828 '],[' 8 '],[' 2 ']
Solving...,TA74, ,[' 1'],[' 4045+'],[' 2033'],"[' 751.602s (Solving', ' 724.60s 1st Model', ' 38.71s Unsat', ' 124.33s)']",[' 749.531s'], ,[' 48541124'],"[' 10608584 (Analyzed', ' 10498313)']","[' 22820    (Average', ' 460.05 Last', ' 73064)']",[' 5412.5  '],"[' 2033     (Average Length', ' 907.63 Splits', ' 0)']","[' 10498313 (Deleted', ' 10280440)']","[' 540      (Ratio', '   0.01%)']","[' 4768     (Ratio', '   0.05%)']","[' 10498313 (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10498313 (Average', '  3.78 Max', ' 8545 Sum', ' 39643193)']","[' 10497444 (Average', '  3.71 Max', ' 8545 Sum', ' 38992197 Ratio', '  98.36%)']","[' 869      (Average', ' 749.13 Max', ' 1794 Sum', ' 650996 Ratio', '   1.64%)']", ,[' 315370  '],[' 13156   '],[' 314359  '],[' 218134  '],"[' 654398   (Atom=Atom', ' 207793 Body=Body', ' 113239 Other', ' 333366)']",[' Yes'],"[' 14141    (Eliminated', '    0 Frozen', ' 14141)']","[' 692      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.8819'],[' 0'], ,[' 625.121'],[' 0'],[' 9.60512'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20111e+08'],[' 1.91434e+08'],[' 0'],[' 7.16163e+10'],[' 0'],[' 0'],[' 882 '],[' 1389 '],[' 1854 '],[' 2358 '],[' 2839 '],[' 3317 '],[' 3852 '],[' 4401 '],[' 4925 '],[' 5292 '],[' 6 '],[' 4 ']
Solving...,TA75, ,[' 1'],[' 4847+'],[' 2434'],"[' 827.904s (Solving', ' 797.31s 1st Model', ' 38.80s Unsat', ' 7.18s)']",[' 826.406s'], ,[' 57483983'],"[' 10065374 (Analyzed', ' 9987269)']","[' 20666    (Average', ' 483.27 Last', ' 42020)']",[' 5044.6  '],"[' 2434     (Average Length', ' 1089.91 Splits', ' 0)']","[' 9987269  (Deleted', ' 9814568)']","[' 572      (Ratio', '   0.01%)']","[' 8630     (Ratio', '   0.09%)']","[' 9987269  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9987269  (Average', '  4.92 Max', ' 7518 Sum', ' 49165354)']","[' 9985775  (Average', '  4.75 Max', ' 7518 Sum', ' 47476166 Ratio', '  96.56%)']","[' 1494     (Average', ' 1130.65 Max', ' 2117 Sum', ' 1689188 Ratio', '   3.44%)']", ,[' 315121  '],[' 13299   '],[' 314342  '],[' 215145  '],"[' 645431   (Atom=Atom', ' 204758 Body=Body', ' 113285 Other', ' 327388)']",[' Yes'],"[' 14503    (Eliminated', '    0 Frozen', ' 14503)']","[' 1601     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.6529'],[' 0'], ,[' 690.7'],[' 0'],[' 10.4952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.60729e+08'],[' 2.29833e+08'],[' 0'],[' 8.14574e+10'],[' 0'],[' 0'],[' 871 '],[' 1400 '],[' 1910 '],[' 2436 '],[' 2985 '],[' 3465 '],[' 3989 '],[' 4536 '],[' 5056 '],[' 5508 '],[' 8 '],[' 2 ']
Solving...,TA76, ,[' 1'],[' 3963+'],[' 1992'],"[' 910.665s (Solving', ' 882.50s 1st Model', ' 71.97s Unsat', ' 0.30s)']",[' 907.250s'], ,[' 51373574'],"[' 13587505 (Analyzed', ' 13503153)']","[' 28503    (Average', ' 473.74 Last', ' 61521)']",[' 5363.6  '],"[' 1992     (Average Length', ' 915.02 Splits', ' 0)']","[' 13503153 (Deleted', ' 13274096)']","[' 363      (Ratio', '   0.00%)']","[' 4833     (Ratio', '   0.04%)']","[' 13503153 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13503153 (Average', '  3.17 Max', ' 8442 Sum', ' 42762233)']","[' 13502384 (Average', '  3.11 Max', ' 8442 Sum', ' 42021105 Ratio', '  98.27%)']","[' 769      (Average', ' 963.76 Max', ' 2486 Sum', ' 741128 Ratio', '   1.73%)']", ,[' 312502  '],[' 13065   '],[' 311340  '],[' 217727  '],"[' 653177   (Atom=Atom', ' 207650 Body=Body', ' 112975 Other', ' 332552)']",[' Yes'],"[' 13881    (Eliminated', '    0 Frozen', ' 13881)']","[' 790      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.19155'],[' 0'], ,[' 764.5'],[' 0'],[' 11.4649'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.18409e+08'],[' 1.80373e+08'],[' 0'],[' 8.38137e+10'],[' 0'],[' 0'],[' 821 '],[' 1350 '],[' 1993 '],[' 2502 '],[' 2999 '],[' 3648 '],[' 4171 '],[' 4655 '],[' 5181 '],[' 5659 '],[' 9 '],[' 1 ']
Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 4839+'],[' 2430'],"[' 1010.920s (Solving', ' 967.20s 1st Model', ' 81.84s Unsat', ' 0.00s)']",[' 1008.094s'], ,[' 62425731'],"[' 11159024 (Analyzed', ' 10976571)']","[' 23235    (Average', ' 472.42 Last', ' 44223)']",[' 4712.2  '],"[' 2430     (Average Length', ' 1112.19 Splits', ' 0)']","[' 10976571 (Deleted', ' 10790290)']","[' 49       (Ratio', '   0.00%)']","[' 11531    (Ratio', '   0.11%)']","[' 10976571 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10976571 (Average', '  4.97 Max', ' 6635 Sum', ' 54585655)']","[' 10975100 (Average', '  4.84 Max', ' 6635 Sum', ' 53085961 Ratio', '  97.25%)']","[' 1471     (Average', ' 1019.51 Max', ' 2008 Sum', ' 1499694 Ratio', '   2.75%)']", ,[' 354886  '],[' 11534   '],[' 355076  '],[' 203934  '],"[' 611798   (Atom=Atom', ' 194398 Body=Body', ' 112434 Other', ' 304966)']",[' Yes'],"[' 13724    (Eliminated', '    0 Frozen', ' 13724)']","[' 2296     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.83152'],[' 0'], ,[' 845.953'],[' 0'],[' 11.8609'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.15671e+08'],[' 2.7616e+08'],[' 0'],[' 1.10076e+11'],[' 0'],[' 0'],[' 917 '],[' 1660 '],[' 2512 '],[' 2992 '],[' 3790 '],[' 4472 '],[' 5179 '],[' 5877 '],[' 6532 '],[' 6936 '],[' 10 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 4173+'],[' 2097'],"[' 1010.295s (Solving', ' 971.15s 1st Model', ' 44.10s Unsat', ' 0.00s)']",[' 1006.859s'], ,[' 49077311'],"[' 10572148 (Analyzed', ' 10414635)']","[' 22085    (Average', ' 471.57 Last', ' 9976)']",[' 5208.7  '],"[' 2097     (Average Length', ' 979.55 Splits', ' 0)']","[' 10414635 (Deleted', ' 10245040)']","[' 23       (Ratio', '   0.00%)']","[' 7448     (Ratio', '   0.07%)']","[' 10414635 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10414635 (Average', '  3.90 Max', ' 7320 Sum', ' 40607511)']","[' 10413526 (Average', '  3.81 Max', ' 7320 Sum', ' 39718679 Ratio', '  97.81%)']","[' 1109     (Average', ' 801.47 Max', ' 1723 Sum', ' 888832 Ratio', '   2.19%)']", ,[' 354214  '],[' 11393   '],[' 354145  '],[' 206464  '],"[' 619388   (Atom=Atom', ' 197069 Body=Body', ' 112293 Other', ' 310026)']",[' Yes'],"[' 13324    (Eliminated', '    0 Frozen', ' 13324)']","[' 1361     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.74117'],[' 0'], ,[' 857.909'],[' 0'],[' 11.7679'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.6418e+08'],[' 2.34338e+08'],[' 0'],[' 1.16896e+11'],[' 0'],[' 0'],[' 805 '],[' 1452 '],[' 2065 '],[' 2849 '],[' 3389 '],[' 4046 '],[' 4675 '],[' 5270 '],[' 5857 '],[' 6291 '],[' 10 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 4611+'],[' 2316'],"[' 1010.924s (Solving', ' 968.21s 1st Model', ' 40.61s Unsat', ' 0.00s)']",[' 1008.500s'], ,[' 61518935'],"[' 11243102 (Analyzed', ' 11040384)']","[' 22693    (Average', ' 486.51 Last', ' 16666)']",[' 4952.0  '],"[' 2316     (Average Length', ' 1066.67 Splits', ' 0)']","[' 11040384 (Deleted', ' 10870874)']","[' 33       (Ratio', '   0.00%)']","[' 10797    (Ratio', '   0.10%)']","[' 11040384 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11040384 (Average', '  4.83 Max', ' 6941 Sum', ' 53292116)']","[' 11038944 (Average', '  4.70 Max', ' 6941 Sum', ' 51939582 Ratio', '  97.46%)']","[' 1440     (Average', ' 939.26 Max', ' 1938 Sum', ' 1352534 Ratio', '   2.54%)']", ,[' 355467  '],[' 11536   '],[' 355548  '],[' 205390  '],"[' 616166   (Atom=Atom', ' 195852 Body=Body', ' 112436 Other', ' 307878)']",[' Yes'],"[' 13617    (Eliminated', '    0 Frozen', ' 13617)']","[' 2084     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.4526'],[' 0'], ,[' 850.174'],[' 0'],[' 11.9135'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.1767e+08'],[' 2.81086e+08'],[' 0'],[' 1.16591e+11'],[' 0'],[' 0'],[' 1051 '],[' 1731 '],[' 2482 '],[' 3298 '],[' 3920 '],[' 4628 '],[' 5239 '],[' 5871 '],[' 6455 '],[' 6907 '],[' 10 '],[' 0 ']
