Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 7133+'],[' 3571'],"[' 1006.734s (Solving', ' 977.10s 1st Model', ' 673.50s Unsat', ' 0.00s)']",[' 1004.063s'], ,[' 354741828'],"[' 8497649  (Analyzed', ' 8208350)']","[' 18606    (Average', ' 441.17 Last', ' 284215)']",[' 5335.2  '],"[' 3571     (Average Length', ' 1634.56 Splits', ' 0)']","[' 8208350  (Deleted', ' 8098914)']","[' 1133     (Ratio', '   0.01%)']","[' 44329    (Ratio', '   0.54%)']","[' 8208350  (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8208350  (Average', ' 41.64 Max', ' 5192 Sum', ' 341770166)']","[' 8207678  (Average', ' 41.50 Max', ' 5192 Sum', ' 340656232 Ratio', '  99.67%)']","[' 672      (Average', ' 1657.64 Max', ' 3051 Sum', ' 1113934 Ratio', '   0.33%)']", ,[' 104129  '],[' 10647   '],[' 106184  '],[' 63511   '],"[' 190529   (Atom=Atom', ' 53862 Body=Body', ' 36097 Other', ' 100570)']",[' Yes'],"[' 13702    (Eliminated', '    0 Frozen', ' 13702)']","[' 6121     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.03221'],[' 0'], ,[' 524.019'],[' 0'],[' 25.4104'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35122e+09'],[' 1.16822e+09'],[' 0'],[' 2.73211e+10'],[' 0'],[' 0'],[' 921 '],[' 1715 '],[' 2566 '],[' 3222 '],[' 4 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 7275+'],[' 3642'],"[' 1006.884s (Solving', ' 977.77s 1st Model', ' 645.77s Unsat', ' 0.00s)']",[' 1004.984s'], ,[' 346766238'],"[' 9218046  (Analyzed', ' 8933246)']","[' 22187    (Average', ' 402.63 Last', ' 1514632)']",[' 5397.3  '],"[' 3642     (Average Length', ' 1680.21 Splits', ' 0)']","[' 8933246  (Deleted', ' 8835131)']","[' 1102     (Ratio', '   0.01%)']","[' 44899    (Ratio', '   0.50%)']","[' 8933246  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8933246  (Average', ' 37.33 Max', ' 5504 Sum', ' 333447118)']","[' 8932614  (Average', ' 37.20 Max', ' 5504 Sum', ' 332346994 Ratio', '  99.67%)']","[' 632      (Average', ' 1740.70 Max', ' 3156 Sum', ' 1100124 Ratio', '   0.33%)']", ,[' 104310  '],[' 10689   '],[' 106465  '],[' 63745   '],"[' 191231   (Atom=Atom', ' 54054 Body=Body', ' 36139 Other', ' 101038)']",[' Yes'],"[' 13844    (Eliminated', '    0 Frozen', ' 13844)']","[' 5473     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.9339'],[' 0'], ,[' 543.289'],[' 0'],[' 25.3351'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23212e+09'],[' 1.04961e+09'],[' 0'],[' 2.84058e+10'],[' 0'],[' 0'],[' 888 '],[' 1754 '],[' 2594 '],[' 3318 '],[' 4 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 6903+'],[' 3456'],"[' 1006.533s (Solving', ' 978.92s 1st Model', ' 455.67s Unsat', ' 0.00s)']",[' 1004.391s'], ,[' 248365030'],"[' 13138689 (Analyzed', ' 12889732)']","[' 26297    (Average', ' 490.16 Last', ' 411501)']",[' 5242.3  '],"[' 3456     (Average Length', ' 1606.35 Splits', ' 0)']","[' 12889732 (Deleted', ' 12702373)']","[' 770      (Ratio', '   0.01%)']","[' 31962    (Ratio', '   0.25%)']","[' 12889732 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12889732 (Average', ' 18.30 Max', ' 5472 Sum', ' 235911570)']","[' 12889151 (Average', ' 18.23 Max', ' 5472 Sum', ' 234980009 Ratio', '  99.61%)']","[' 581      (Average', ' 1603.38 Max', ' 2513 Sum', ' 931561 Ratio', '   0.39%)']", ,[' 103948  '],[' 10623   '],[' 105973  '],[' 63312   '],"[' 189932   (Atom=Atom', ' 53687 Body=Body', ' 36073 Other', ' 100172)']",[' Yes'],"[' 13648    (Eliminated', '    0 Frozen', ' 13648)']","[' 5194     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.55066'],[' 0'], ,[' 626.588'],[' 0'],[' 21.1571'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.79879e+08'],[' 7.46373e+08'],[' 0'],[' 3.71911e+10'],[' 0'],[' 0'],[' 1005 '],[' 1744 '],[' 2462 '],[' 4388 '],[' 4 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 7537+'],[' 3773'],"[' 1006.959s (Solving', ' 972.85s 1st Model', ' 671.81s Unsat', ' 0.00s)']",[' 1005.313s'], ,[' 305054479'],"[' 12338370 (Analyzed', ' 12088114)']","[' 25948    (Average', ' 465.86 Last', ' 191266)']",[' 5721.8  '],"[' 3773     (Average Length', ' 1717.48 Splits', ' 0)']","[' 12088114 (Deleted', ' 11939039)']","[' 1035     (Ratio', '   0.01%)']","[' 39620    (Ratio', '   0.33%)']","[' 12088114 (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12088114 (Average', ' 23.99 Max', ' 6193 Sum', ' 290027336)']","[' 12087462 (Average', ' 23.91 Max', ' 6193 Sum', ' 289041751 Ratio', '  99.66%)']","[' 652      (Average', ' 1511.63 Max', ' 3233 Sum', ' 985585 Ratio', '   0.34%)']", ,[' 104395  '],[' 10629   '],[' 106632  '],[' 63680   '],"[' 191036   (Atom=Atom', ' 54049 Body=Body', ' 36079 Other', ' 100908)']",[' Yes'],"[' 13866    (Eliminated', '    0 Frozen', ' 13866)']","[' 4938     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.95331'],[' 0'], ,[' 548.059'],[' 0'],[' 24.3547'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04874e+09'],[' 8.95314e+08'],[' 0'],[' 2.75011e+10'],[' 0'],[' 0'],[' 1171 '],[' 1792 '],[' 2543 '],[' 3158 '],[' 4 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 7719+'],[' 3864'],"[' 1007.278s (Solving', ' 974.63s 1st Model', ' 635.66s Unsat', ' 0.00s)']",[' 1004.234s'], ,[' 302862353'],"[' 11254659 (Analyzed', ' 10962920)']","[' 24560    (Average', ' 446.37 Last', ' 213096)']",[' 5532.2  '],"[' 3864     (Average Length', ' 1787.97 Splits', ' 0)']","[' 10962920 (Deleted', ' 10783655)']","[' 1128     (Ratio', '   0.01%)']","[' 42551    (Ratio', '   0.39%)']","[' 10962920 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10962920 (Average', ' 26.34 Max', ' 7312 Sum', ' 288769306)']","[' 10962265 (Average', ' 26.23 Max', ' 7312 Sum', ' 287555652 Ratio', '  99.58%)']","[' 655      (Average', ' 1852.91 Max', ' 3379 Sum', ' 1213654 Ratio', '   0.42%)']", ,[' 104430  '],[' 10660   '],[' 106813  '],[' 63960   '],"[' 191876   (Atom=Atom', ' 54298 Body=Body', ' 36110 Other', ' 101468)']",[' Yes'],"[' 14043    (Eliminated', '    0 Frozen', ' 14043)']","[' 5500     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.76643'],[' 0'], ,[' 544.668'],[' 0'],[' 24.3144'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12098e+09'],[' 9.75253e+08'],[' 0'],[' 2.70245e+10'],[' 0'],[' 0'],[' 882 '],[' 1662 '],[' 2421 '],[' 3122 '],[' 4 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 7475+'],[' 3742'],"[' 1007.397s (Solving', ' 977.34s 1st Model', ' 677.37s Unsat', ' 0.00s)']",[' 1005.109s'], ,[' 326193458'],"[' 13288808 (Analyzed', ' 12980489)']","[' 27018    (Average', ' 480.44 Last', ' 191853)']",[' 5399.9  '],"[' 3742     (Average Length', ' 1724.64 Splits', ' 0)']","[' 12980489 (Deleted', ' 12760323)']","[' 1214     (Ratio', '   0.01%)']","[' 45077    (Ratio', '   0.35%)']","[' 12980489 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12980489 (Average', ' 24.10 Max', ' 5247 Sum', ' 312774308)']","[' 12979794 (Average', ' 24.00 Max', ' 5247 Sum', ' 311523535 Ratio', '  99.60%)']","[' 695      (Average', ' 1799.67 Max', ' 3231 Sum', ' 1250773 Ratio', '   0.40%)']", ,[' 104365  '],[' 10613   '],[' 106600  '],[' 63648   '],"[' 190940   (Atom=Atom', ' 54033 Body=Body', ' 36063 Other', ' 100844)']",[' Yes'],"[' 13848    (Eliminated', '    0 Frozen', ' 13848)']","[' 6064     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.00444'],[' 0'], ,[' 526.149'],[' 0'],[' 24.5275'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25431e+09'],[' 1.09148e+09'],[' 0'],[' 2.7974e+10'],[' 0'],[' 0'],[' 889 '],[' 1673 '],[' 2445 '],[' 3182 '],[' 4 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 7385+'],[' 3697'],"[' 1007.428s (Solving', ' 976.06s 1st Model', ' 559.24s Unsat', ' 0.00s)']",[' 1005.375s'], ,[' 318076911'],"[' 14115581 (Analyzed', ' 13792540)']","[' 27222    (Average', ' 506.67 Last', ' 220179)']",[' 5716.6  '],"[' 3697     (Average Length', ' 1683.27 Splits', ' 0)']","[' 13792540 (Deleted', ' 13621246)']","[' 977      (Ratio', '   0.01%)']","[' 40565    (Ratio', '   0.29%)']","[' 13792540 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13792540 (Average', ' 21.99 Max', ' 7360 Sum', ' 303256782)']","[' 13791879 (Average', ' 21.91 Max', ' 7360 Sum', ' 302198490 Ratio', '  99.65%)']","[' 661      (Average', ' 1601.05 Max', ' 3148 Sum', ' 1058292 Ratio', '   0.35%)']", ,[' 104367  '],[' 10704   '],[' 106514  '],[' 63883   '],"[' 191645   (Atom=Atom', ' 54177 Body=Body', ' 36154 Other', ' 101314)']",[' Yes'],"[' 13851    (Eliminated', '    0 Frozen', ' 13851)']","[' 5460     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.29662'],[' 0'], ,[' 561.64'],[' 0'],[' 24.8252'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10614e+09'],[' 9.47711e+08'],[' 0'],[' 3.12384e+10'],[' 0'],[' 0'],[' 1037 '],[' 1763 '],[' 2505 '],[' 3151 '],[' 4 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 6983+'],[' 3496'],"[' 1006.693s (Solving', ' 979.40s 1st Model', ' 576.10s Unsat', ' 0.00s)']",[' 1004.406s'], ,[' 302569843'],"[' 14154605 (Analyzed', ' 13918354)']","[' 28388    (Average', ' 490.29 Last', ' 526856)']",[' 5418.7  '],"[' 3496     (Average Length', ' 1609.24 Splits', ' 0)']","[' 13918354 (Deleted', ' 13707023)']","[' 1161     (Ratio', '   0.01%)']","[' 39983    (Ratio', '   0.29%)']","[' 13918354 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13918354 (Average', ' 20.80 Max', ' 5982 Sum', ' 289538704)']","[' 13917677 (Average', ' 20.72 Max', ' 5982 Sum', ' 288402390 Ratio', '  99.61%)']","[' 677      (Average', ' 1678.45 Max', ' 2999 Sum', ' 1136314 Ratio', '   0.39%)']", ,[' 104035  '],[' 10625   '],[' 106046  '],[' 63414   '],"[' 190238   (Atom=Atom', ' 53787 Body=Body', ' 36075 Other', ' 100376)']",[' Yes'],"[' 13636    (Eliminated', '    0 Frozen', ' 13636)']","[' 5365     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.55319'],[' 0'], ,[' 577.253'],[' 0'],[' 24.2871'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06542e+09'],[' 9.16371e+08'],[' 0'],[' 3.18598e+10'],[' 0'],[' 0'],[' 891 '],[' 1728 '],[' 2406 '],[' 3156 '],[' 4 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 6837+'],[' 3423'],"[' 1006.911s (Solving', ' 979.87s 1st Model', ' 441.36s Unsat', ' 0.00s)']",[' 1005.359s'], ,[' 283762356'],"[' 10289907 (Analyzed', ' 10065630)']","[' 21932    (Average', ' 458.95 Last', ' 140406)']",[' 5103.6  '],"[' 3423     (Average Length', ' 1589.33 Splits', ' 0)']","[' 10065630 (Deleted', ' 9940730)']","[' 1327     (Ratio', '   0.01%)']","[' 34175    (Ratio', '   0.34%)']","[' 10065630 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10065630 (Average', ' 27.01 Max', ' 5074 Sum', ' 271840538)']","[' 10065050 (Average', ' 26.91 Max', ' 5074 Sum', ' 270868092 Ratio', '  99.64%)']","[' 580      (Average', ' 1676.63 Max', ' 2407 Sum', ' 972446 Ratio', '   0.36%)']", ,[' 104138  '],[' 10651   '],[' 106132  '],[' 63482   '],"[' 190442   (Atom=Atom', ' 53829 Body=Body', ' 36101 Other', ' 100512)']",[' Yes'],"[' 13645    (Eliminated', '    0 Frozen', ' 13645)']","[' 4870     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.36071'],[' 0'], ,[' 601.682'],[' 0'],[' 21.8597'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07377e+09'],[' 9.20371e+08'],[' 0'],[' 3.74026e+10'],[' 0'],[' 0'],[' 1105 '],[' 1864 '],[' 2626 '],[' 3989 '],[' 4 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 6865+'],[' 3437'],"[' 1006.342s (Solving', ' 979.28s 1st Model', ' 425.82s Unsat', ' 0.00s)']",[' 1003.953s'], ,[' 308049380'],"[' 11504432 (Analyzed', ' 11323449)']","[' 22021    (Average', ' 514.21 Last', ' 210766)']",[' 5281.9  '],"[' 3437     (Average Length', ' 1574.00 Splits', ' 0)']","[' 11323449 (Deleted', ' 11167782)']","[' 1904     (Ratio', '   0.02%)']","[' 43526    (Ratio', '   0.38%)']","[' 11323449 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11323449 (Average', ' 26.10 Max', ' 6586 Sum', ' 295544061)']","[' 11322826 (Average', ' 26.01 Max', ' 6586 Sum', ' 294516984 Ratio', '  99.65%)']","[' 623      (Average', ' 1648.60 Max', ' 2943 Sum', ' 1027077 Ratio', '   0.35%)']", ,[' 104208  '],[' 10675   '],[' 106161  '],[' 63537   '],"[' 190607   (Atom=Atom', ' 53860 Body=Body', ' 36125 Other', ' 100622)']",[' Yes'],"[' 13628    (Eliminated', '    0 Frozen', ' 13628)']","[' 5593     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.61927'],[' 0'], ,[' 585.937'],[' 0'],[' 23.4039'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12795e+09'],[' 9.75408e+08'],[' 0'],[' 3.47439e+10'],[' 0'],[' 0'],[' 1064 '],[' 2013 '],[' 2719 '],[' 3542 '],[' 4 '],[' 0 ']
