Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 8127+'],[' 4068'],"[' 1006.709s (Solving', ' 943.15s 1st Model', ' 347.82s Unsat', ' 0.01s)']",[' 898.078s'], ,[' 234710386'],"[' 7184647  (Analyzed', ' 6934007)']","[' 15624    (Average', ' 443.80 Last', ' 82688)']",[' 8289.5  '],"[' 4068     (Average Length', ' 1948.91 Splits', ' 0)']","[' 6934007  (Deleted', ' 6845009)']","[' 950      (Ratio', '   0.01%)']","[' 28343    (Ratio', '   0.41%)']","[' 6934007  (Average Length', '   27.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6934007  (Average', ' 30.03 Max', ' 9989 Sum', ' 208237920)']","[' 6933876  (Average', ' 30.01 Max', ' 9989 Sum', ' 208067379 Ratio', '  99.92%)']","[' 131      (Average', ' 1301.84 Max', ' 3488 Sum', ' 170541 Ratio', '   0.08%)']", ,[' 124552  '],[' 14369   '],[' 127325  '],[' 81651   '],"[' 244949   (Atom=Atom', ' 68280 Body=Body', ' 39819 Other', ' 136850)']",[' Yes'],"[' 18142    (Eliminated', '    0 Frozen', ' 18142)']","[' 1165     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.0845'],[' 0'], ,[' 523.596'],[' 0'],[' 25.0197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.82089e+08'],[' 6.77173e+08'],[' 0'],[' 2.2217e+10'],[' 0'],[' 0'],[' 921 '],[' 1852 '],[' 8311 '],[' 6428 '],[' 4 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 8733+'],[' 4371'],"[' 1004.370s (Solving', ' 941.50s 1st Model', ' 606.68s Unsat', ' 0.00s)']",[' 923.906s'], ,[' 282572962'],"[' 6310712  (Analyzed', ' 6011304)']","[' 16211    (Average', ' 370.82 Last', ' 1514632)']",[' 7182.1  '],"[' 4371     (Average Length', ' 2036.26 Splits', ' 0)']","[' 6011304  (Deleted', ' 5937058)']","[' 1814     (Ratio', '   0.03%)']","[' 35489    (Ratio', '   0.59%)']","[' 6011304  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6011304  (Average', ' 43.23 Max', ' 7681 Sum', ' 259863640)']","[' 6011073  (Average', ' 43.14 Max', ' 7681 Sum', ' 259347697 Ratio', '  99.80%)']","[' 231      (Average', ' 2233.52 Max', ' 3789 Sum', ' 515943 Ratio', '   0.20%)']", ,[' 124986  '],[' 14396   '],[' 127842  '],[' 82083   '],"[' 246245   (Atom=Atom', ' 68685 Body=Body', ' 39846 Other', ' 137714)']",[' Yes'],"[' 18252    (Eliminated', '    0 Frozen', ' 18252)']","[' 1832     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8792'],[' 0'], ,[' 455.981'],[' 0'],[' 27.1991'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03652e+09'],[' 9.11694e+08'],[' 0'],[' 1.70428e+10'],[' 0'],[' 0'],[' 888 '],[' 1824 '],[' 2934 '],[' 5237 '],[' 4 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 7271+'],[' 3640'],"[' 780.283s (Solving', ' 722.22s 1st Model', ' 361.27s Unsat', ' 0.00s)']",[' 688.984s'], ,[' 228154844'],"[' 8872425  (Analyzed', ' 8615088)']","[' 17571    (Average', ' 490.30 Last', ' 21004)']",[' 8283.8  '],"[' 3639     (Average Length', ' 1720.57 Splits', ' 0)']","[' 8615088  (Deleted', ' 8477524)']","[' 3291     (Ratio', '   0.04%)']","[' 28699    (Ratio', '   0.33%)']","[' 8615088  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8615088  (Average', ' 23.72 Max', ' 9636 Sum', ' 204321163)']","[' 8614815  (Average', ' 23.65 Max', ' 9636 Sum', ' 203738270 Ratio', '  99.71%)']","[' 273      (Average', ' 2135.14 Max', ' 3260 Sum', ' 582893 Ratio', '   0.29%)']", ,[' 123998  '],[' 14322   '],[' 126257  '],[' 81091   '],"[' 243269   (Atom=Atom', ' 67767 Body=Body', ' 39772 Other', ' 135730)']",[' Yes'],"[' 17581    (Eliminated', '    0 Frozen', ' 17581)']","[' 1162     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.828'],[' 0'], ,[' 339.27'],[' 0'],[' 24.3837'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.10758e+08'],[' 6.33256e+08'],[' 0'],[' 1.06495e+10'],[' 0'],[' 0'],[' 1005 '],[' 5522 '],[' 2662 '],[' 3540 '],[' 4 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 8825+'],[' 4417'],"[' 1006.181s (Solving', ' 937.36s 1st Model', ' 566.07s Unsat', ' 0.00s)']",[' 928.891s'], ,[' 293595284'],"[' 9296409  (Analyzed', ' 8986932)']","[' 18674    (Average', ' 481.25 Last', ' 81651)']",[' 7629.6  '],"[' 4417     (Average Length', ' 2041.28 Splits', ' 0)']","[' 8986932  (Deleted', ' 8861015)']","[' 2362     (Ratio', '   0.03%)']","[' 39565    (Ratio', '   0.44%)']","[' 8986932  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8986932  (Average', ' 29.90 Max', ' 8092 Sum', ' 268746452)']","[' 8986645  (Average', ' 29.84 Max', ' 8092 Sum', ' 268157570 Ratio', '  99.78%)']","[' 287      (Average', ' 2051.85 Max', ' 3818 Sum', ' 588882 Ratio', '   0.22%)']", ,[' 124979  '],[' 14354   '],[' 127796  '],[' 82029   '],"[' 246083   (Atom=Atom', ' 68673 Body=Body', ' 39804 Other', ' 137606)']",[' Yes'],"[' 18171    (Eliminated', '    0 Frozen', ' 18171)']","[' 2264     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2136'],[' 0'], ,[' 410.107'],[' 0'],[' 29.433'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06901e+09'],[' 9.59223e+08'],[' 0'],[' 1.24924e+10'],[' 0'],[' 0'],[' 1171 '],[' 1829 '],[' 2701 '],[' 3594 '],[' 4 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 8893+'],[' 4451'],"[' 1005.156s (Solving', ' 939.32s 1st Model', ' 569.99s Unsat', ' 0.00s)']",[' 905.219s'], ,[' 292035610'],"[' 10469423 (Analyzed', ' 10109074)']","[' 20705    (Average', ' 488.24 Last', ' 245658)']",[' 7379.2  '],"[' 4451     (Average Length', ' 2055.87 Splits', ' 0)']","[' 10109074 (Deleted', ' 9940546)']","[' 2712     (Ratio', '   0.03%)']","[' 41450    (Ratio', '   0.41%)']","[' 10109074 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10109074 (Average', ' 26.55 Max', ' 7983 Sum', ' 268347549)']","[' 10108759 (Average', ' 26.47 Max', ' 7983 Sum', ' 267586366 Ratio', '  99.72%)']","[' 315      (Average', ' 2416.45 Max', ' 3807 Sum', ' 761183 Ratio', '   0.28%)']", ,[' 125006  '],[' 14362   '],[' 127819  '],[' 82039   '],"[' 246113   (Atom=Atom', ' 68675 Body=Body', ' 39812 Other', ' 137626)']",[' Yes'],"[' 18175    (Eliminated', '    0 Frozen', ' 18175)']","[' 2852     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3691'],[' 0'], ,[' 408.076'],[' 0'],[' 29.8276'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09006e+09'],[' 9.82853e+08'],[' 0'],[' 1.22354e+10'],[' 0'],[' 0'],[' 882 '],[' 1750 '],[' 2666 '],[' 3630 '],[' 4 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 8527+'],[' 4268'],"[' 1005.999s (Solving', ' 941.86s 1st Model', ' 516.95s Unsat', ' 0.00s)']",[' 918.500s'], ,[' 237507193'],"[' 11126151 (Analyzed', ' 10873101)']","[' 24044    (Average', ' 452.22 Last', ' 952028)']",[' 7990.2  '],"[' 4268     (Average Length', ' 2014.37 Splits', ' 0)']","[' 10873101 (Deleted', ' 10673521)']","[' 935      (Ratio', '   0.01%)']","[' 31403    (Ratio', '   0.29%)']","[' 10873101 (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10873101 (Average', ' 19.45 Max', ' 9872 Sum', ' 211440670)']","[' 10872952 (Average', ' 19.42 Max', ' 9872 Sum', ' 211186091 Ratio', '  99.88%)']","[' 149      (Average', ' 1708.58 Max', ' 3816 Sum', ' 254579 Ratio', '   0.12%)']", ,[' 124825  '],[' 14339   '],[' 127644  '],[' 81794   '],"[' 245378   (Atom=Atom', ' 68453 Body=Body', ' 39789 Other', ' 137136)']",[' Yes'],"[' 18158    (Eliminated', '    0 Frozen', ' 18158)']","[' 1108     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.9324'],[' 0'], ,[' 523.185'],[' 0'],[' 25.3857'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.40087e+08'],[' 6.42474e+08'],[' 0'],[' 2.29699e+10'],[' 0'],[' 0'],[' 889 '],[' 1769 '],[' 4488 '],[' 4123 '],[' 4 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 9047+'],[' 4528'],"[' 1007.239s (Solving', ' 934.36s 1st Model', ' 571.31s Unsat', ' 0.00s)']",[' 914.734s'], ,[' 292408893'],"[' 10063478 (Analyzed', ' 9761694)']","[' 19954    (Average', ' 489.21 Last', ' 70324)']",[' 7684.5  '],"[' 4528     (Average Length', ' 2089.27 Splits', ' 0)']","[' 9761694  (Deleted', ' 9612669)']","[' 2441     (Ratio', '   0.03%)']","[' 38747    (Ratio', '   0.40%)']","[' 9761694  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9761694  (Average', ' 27.36 Max', ' 8017 Sum', ' 267106942)']","[' 9761349  (Average', ' 27.29 Max', ' 8017 Sum', ' 266360999 Ratio', '  99.72%)']","[' 345      (Average', ' 2162.15 Max', ' 3944 Sum', ' 745943 Ratio', '   0.28%)']", ,[' 125156  '],[' 14379   '],[' 128099  '],[' 82218   '],"[' 246650   (Atom=Atom', ' 68837 Body=Body', ' 39829 Other', ' 137984)']",[' Yes'],"[' 18322    (Eliminated', '    0 Frozen', ' 18322)']","[' 2519     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.6943'],[' 0'], ,[' 404.647'],[' 0'],[' 29.6889'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06683e+09'],[' 9.59278e+08'],[' 0'],[' 1.20536e+10'],[' 0'],[' 0'],[' 1037 '],[' 1870 '],[' 2810 '],[' 3630 '],[' 4 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 9777+'],[' 4893'],"[' 1004.618s (Solving', ' 931.25s 1st Model', ' 449.62s Unsat', ' 0.00s)']",[' 924.531s'], ,[' 281125477'],"[' 10809908 (Analyzed', ' 10490427)']","[' 20487    (Average', ' 512.05 Last', ' 87034)']",[' 7745.1  '],"[' 4893     (Average Length', ' 2277.57 Splits', ' 0)']","[' 10490427 (Deleted', ' 10318772)']","[' 2286     (Ratio', '   0.02%)']","[' 38517    (Ratio', '   0.37%)']","[' 10490427 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10490427 (Average', ' 24.26 Max', ' 8139 Sum', ' 254546864)']","[' 10490112 (Average', ' 24.18 Max', ' 8139 Sum', ' 253668019 Ratio', '  99.65%)']","[' 315      (Average', ' 2789.98 Max', ' 4198 Sum', ' 878845 Ratio', '   0.35%)']", ,[' 125320  '],[' 14348   '],[' 128517  '],[' 82497   '],"[' 247487   (Atom=Atom', ' 69147 Body=Body', ' 39798 Other', ' 138542)']",[' Yes'],"[' 18545    (Eliminated', '    0 Frozen', ' 18545)']","[' 2457     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7285'],[' 0'], ,[' 412.432'],[' 0'],[' 29.1553'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02892e+09'],[' 9.31192e+08'],[' 0'],[' 1.24851e+10'],[' 0'],[' 0'],[' 891 '],[' 1785 '],[' 2634 '],[' 3554 '],[' 4 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 6363+'],[' 3186'],"[' 1006.158s (Solving', ' 944.58s 1st Model', ' 388.55s Unsat', ' 0.00s)']",[' 924.203s'], ,[' 213854067'],"[' 6345544  (Analyzed', ' 6201249)']","[' 11959    (Average', ' 518.54 Last', ' 41721)']",[' 6036.3  '],"[' 3186     (Average Length', ' 1509.03 Splits', ' 0)']","[' 6201249  (Deleted', ' 6118057)']","[' 1475     (Ratio', '   0.02%)']","[' 31161    (Ratio', '   0.50%)']","[' 6201249  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6201249  (Average', ' 32.13 Max', ' 8353 Sum', ' 199262893)']","[' 6201048  (Average', ' 32.07 Max', ' 8353 Sum', ' 198874901 Ratio', '  99.81%)']","[' 201      (Average', ' 1930.31 Max', ' 2643 Sum', ' 387992 Ratio', '   0.19%)']", ,[' 123817  '],[' 14388   '],[' 125700  '],[' 80999   '],"[' 242993   (Atom=Atom', ' 67609 Body=Body', ' 39838 Other', ' 135546)']",[' Yes'],"[' 17271    (Eliminated', '    0 Frozen', ' 17271)']","[' 1422     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8231'],[' 0'], ,[' 479.694'],[' 0'],[' 26.8035'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.33651e+08'],[' 6.45049e+08'],[' 0'],[' 1.25862e+10'],[' 0'],[' 0'],[' 1105 '],[' 2008 '],[' 3069 '],[' 8307 '],[' 4 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 6751+'],[' 3380'],"[' 1010.641s (Solving', ' 932.83s 1st Model', ' 338.49s Unsat', ' 0.00s)']",[' 921.188s'], ,[' 148466431'],"[' 4360281  (Analyzed', ' 4154927)']","[' 9652     (Average', ' 430.47 Last', ' 15778)']",[' 6316.8  '],"[' 3380     (Average Length', ' 1592.49 Splits', ' 0)']","[' 4154927  (Deleted', ' 4084713)']","[' 1347     (Ratio', '   0.03%)']","[' 24038    (Ratio', '   0.58%)']","[' 4154927  (Average Length', '   33.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4154927  (Average', ' 31.87 Max', ' 8283 Sum', ' 132432462)']","[' 4154676  (Average', ' 31.75 Max', ' 8283 Sum', ' 131908186 Ratio', '  99.60%)']","[' 251      (Average', ' 2088.75 Max', ' 2758 Sum', ' 524276 Ratio', '   0.40%)']", ,[' 124084  '],[' 14396   '],[' 126114  '],[' 81164   '],"[' 243488   (Atom=Atom', ' 67766 Body=Body', ' 39846 Other', ' 135876)']",[' Yes'],"[' 17426    (Eliminated', '    0 Frozen', ' 17426)']","[' 1368     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.088'],[' 0'], ,[' 463.806'],[' 0'],[' 28.3856'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.35266e+08'],[' 3.85985e+08'],[' 0'],[' 8.00111e+09'],[' 0'],[' 0'],[' 1064 '],[' 2008 '],[' 3016 '],[' 9129 '],[' 4 '],[' 0 ']
