Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of interrupted calls ,Number of non-interrupted calls 
Solving...,TA71, , ,[' 1'],[' 8123+'],[' 4067'],"[' 1017.522s (Solving', ' 943.98s 1st Model', ' 524.77s Unsat', ' 0.00s)']",[' 1010.234s'], ,[' 463106413'],"[' 4602847  (Analyzed', ' 3533985)']","[' 9367     (Average', ' 377.28 Last', ' 83712)']",[' 8530.0  '],"[' 4067     (Average Length', ' 1835.78 Splits', ' 0)']","[' 3533985  (Deleted', ' 3407562)']","[' 167      (Ratio', '   0.00%)']","[' 81606    (Ratio', '   2.31%)']","[' 3533985  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3533985  (Average', ' 124.08 Max', ' 9784 Sum', ' 438490819)']","[' 3531609  (Average', ' 122.84 Max', ' 9784 Sum', ' 434105580 Ratio', '  99.00%)']","[' 2376     (Average', ' 1845.64 Max', ' 2857 Sum', ' 4385239 Ratio', '   1.00%)']", ,[' 275007  '],[' 21474   '],[' 276443  '],[' 165384  '],"[' 496148   (Atom=Atom', ' 145908 Body=Body', ' 122374 Other', ' 227866)']",[' Yes'],"[' 24910    (Eliminated', '    0 Frozen', ' 24910)']","[' 14693    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6069'],[' 0'], ,[' 472.375'],[' 0'],[' 28.681'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12698e+09'],[' 9.97185e+08'],[' 0'],[' 2.86629e+10'],[' 0'],[' 0'],[' 1621 '],[' 3076 '],[' 4225 '],[' 5459 '],[' 6502 '],[' 5 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 8375+'],[' 4193'],"[' 1016.702s (Solving', ' 947.64s 1st Model', ' 634.65s Unsat', ' 0.00s)']",[' 1010.625s'], ,[' 482751819'],"[' 3533444  (Analyzed', ' 2776187)']","[' 8628     (Average', ' 321.76 Last', ' 120274)']",[' 8301.9  '],"[' 4193     (Average Length', ' 1874.09 Splits', ' 0)']","[' 2776187  (Deleted', ' 2653405)']","[' 150      (Ratio', '   0.01%)']","[' 87814    (Ratio', '   3.16%)']","[' 2776187  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2776187  (Average', ' 165.30 Max', ' 9480 Sum', ' 458896036)']","[' 2773935  (Average', ' 163.77 Max', ' 9480 Sum', ' 454647210 Ratio', '  99.07%)']","[' 2252     (Average', ' 1886.69 Max', ' 3781 Sum', ' 4248826 Ratio', '   0.93%)']", ,[' 274408  '],[' 21286   '],[' 275937  '],[' 164946  '],"[' 494834   (Atom=Atom', ' 145658 Body=Body', ' 122186 Other', ' 226990)']",[' Yes'],"[' 24815    (Eliminated', '    0 Frozen', ' 24815)']","[' 15397    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7021'],[' 0'], ,[' 464.018'],[' 0'],[' 28.4291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27223e+09'],[' 1.127e+09'],[' 0'],[' 2.98478e+10'],[' 0'],[' 0'],[' 1314 '],[' 2517 '],[' 3619 '],[' 4797 '],[' 5809 '],[' 5 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 8915+'],[' 4463'],"[' 1024.120s (Solving', ' 945.79s 1st Model', ' 674.34s Unsat', ' 0.00s)']",[' 1017.703s'], ,[' 489429876'],"[' 4055124  (Analyzed', ' 2938297)']","[' 9337     (Average', ' 314.69 Last', ' 156834)']",[' 8800.3  '],"[' 4463     (Average Length', ' 1987.04 Splits', ' 0)']","[' 2938297  (Deleted', ' 2820682)']","[' 161      (Ratio', '   0.01%)']","[' 85011    (Ratio', '   2.89%)']","[' 2938297  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2938297  (Average', ' 156.97 Max', ' 10528 Sum', ' 461217576)']","[' 2936441  (Average', ' 155.65 Max', ' 10528 Sum', ' 457347369 Ratio', '  99.16%)']","[' 1856     (Average', ' 2085.24 Max', ' 3095 Sum', ' 3870207 Ratio', '   0.84%)']", ,[' 275108  '],[' 21401   '],[' 276832  '],[' 165561  '],"[' 496679   (Atom=Atom', ' 146158 Body=Body', ' 122301 Other', ' 228220)']",[' Yes'],"[' 25125    (Eliminated', '    0 Frozen', ' 25125)']","[' 12496    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.34'],[' 0'], ,[' 458.146'],[' 0'],[' 29.2755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23575e+09'],[' 1.09695e+09'],[' 0'],[' 2.92034e+10'],[' 0'],[' 0'],[' 1610 '],[' 2760 '],[' 4050 '],[' 5208 '],[' 6252 '],[' 5 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 8957+'],[' 4484'],"[' 1017.574s (Solving', ' 945.55s 1st Model', ' 655.70s Unsat', ' 0.00s)']",[' 1010.781s'], ,[' 488408737'],"[' 3409651  (Analyzed', ' 2389823)']","[' 8198     (Average', ' 291.51 Last', ' 90110)']",[' 8385.3  '],"[' 4484     (Average Length', ' 1990.21 Splits', ' 0)']","[' 2389823  (Deleted', ' 2276473)']","[' 142      (Ratio', '   0.01%)']","[' 85993    (Ratio', '   3.60%)']","[' 2389823  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2389823  (Average', ' 193.80 Max', ' 9549 Sum', ' 463149214)']","[' 2387483  (Average', ' 191.77 Max', ' 9549 Sum', ' 458304984 Ratio', '  98.95%)']","[' 2340     (Average', ' 2070.18 Max', ' 3047 Sum', ' 4844230 Ratio', '   1.05%)']", ,[' 274811  '],[' 21295   '],[' 276497  '],[' 165264  '],"[' 495788   (Atom=Atom', ' 145967 Body=Body', ' 122195 Other', ' 227626)']",[' Yes'],"[' 24981    (Eliminated', '    0 Frozen', ' 24981)']","[' 15477    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.2904'],[' 0'], ,[' 456.632'],[' 0'],[' 28.4545'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29299e+09'],[' 1.15033e+09'],[' 0'],[' 2.93431e+10'],[' 0'],[' 0'],[' 1370 '],[' 2468 '],[' 3664 '],[' 4831 '],[' 5868 '],[' 5 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 8961+'],[' 4486'],"[' 1017.474s (Solving', ' 944.64s 1st Model', ' 690.16s Unsat', ' 0.00s)']",[' 1010.625s'], ,[' 459836110'],"[' 2773970  (Analyzed', ' 1874144)']","[' 7551     (Average', ' 248.20 Last', ' 92269)']",[' 8392.3  '],"[' 4486     (Average Length', ' 2010.05 Splits', ' 0)']","[' 1874144  (Deleted', ' 1763112)']","[' 167      (Ratio', '   0.01%)']","[' 84474    (Ratio', '   4.51%)']","[' 1874144  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1874144  (Average', ' 232.09 Max', ' 9859 Sum', ' 434963291)']","[' 1871796  (Average', ' 229.40 Max', ' 9859 Sum', ' 429933188 Ratio', '  98.84%)']","[' 2348     (Average', ' 2142.29 Max', ' 3201 Sum', ' 5030103 Ratio', '   1.16%)']", ,[' 275517  '],[' 21444   '],[' 277246  '],[' 165713  '],"[' 497135   (Atom=Atom', ' 146267 Body=Body', ' 122344 Other', ' 228524)']",[' Yes'],"[' 25173    (Eliminated', '    0 Frozen', ' 25173)']","[' 14986    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.4518'],[' 0'], ,[' 470.282'],[' 0'],[' 27.8903'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21147e+09'],[' 1.08329e+09'],[' 0'],[' 2.7382e+10'],[' 0'],[' 0'],[' 1400 '],[' 2623 '],[' 3969 '],[' 5175 '],[' 6172 '],[' 5 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 8067+'],[' 4039'],"[' 1022.862s (Solving', ' 945.36s 1st Model', ' 571.33s Unsat', ' 0.00s)']",[' 1014.469s'], ,[' 452628930'],"[' 4373760  (Analyzed', ' 3362161)']","[' 9475     (Average', ' 354.85 Last', ' 61665)']",[' 8444.9  '],"[' 4039     (Average Length', ' 1828.20 Splits', ' 0)']","[' 3362161  (Deleted', ' 3236782)']","[' 179      (Ratio', '   0.01%)']","[' 82754    (Ratio', '   2.46%)']","[' 3362161  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3362161  (Average', ' 127.19 Max', ' 9499 Sum', ' 427627801)']","[' 3360066  (Average', ' 126.16 Max', ' 9499 Sum', ' 424174185 Ratio', '  99.19%)']","[' 2095     (Average', ' 1648.50 Max', ' 2774 Sum', ' 3453616 Ratio', '   0.81%)']", ,[' 274260  '],[' 21318   '],[' 275679  '],[' 164888  '],"[' 494660   (Atom=Atom', ' 145568 Body=Body', ' 122218 Other', ' 226874)']",[' Yes'],"[' 24737    (Eliminated', '    0 Frozen', ' 24737)']","[' 13990    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1912'],[' 0'], ,[' 486.18'],[' 0'],[' 28.8089'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12175e+09'],[' 9.92949e+08'],[' 0'],[' 3.10235e+10'],[' 0'],[' 0'],[' 1424 '],[' 2693 '],[' 3918 '],[' 5089 '],[' 6143 '],[' 5 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 8373+'],[' 4192'],"[' 1017.873s (Solving', ' 933.35s 1st Model', ' 603.10s Unsat', ' 0.00s)']",[' 1001.250s'], ,[' 408126427'],"[' 5436727  (Analyzed', ' 4205103)']","[' 10557    (Average', ' 398.32 Last', ' 143460)']",[' 8847.2  '],"[' 4192     (Average Length', ' 1885.22 Splits', ' 0)']","[' 4205103  (Deleted', ' 4088346)']","[' 108      (Ratio', '   0.00%)']","[' 69752    (Ratio', '   1.66%)']","[' 4205103  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4205103  (Average', ' 90.70 Max', ' 10282 Sum', ' 381404668)']","[' 4202761  (Average', ' 89.66 Max', ' 10282 Sum', ' 377029473 Ratio', '  98.85%)']","[' 2342     (Average', ' 1868.14 Max', ' 2919 Sum', ' 4375195 Ratio', '   1.15%)']", ,[' 274483  '],[' 21273   '],[' 276005  '],[' 164906  '],"[' 494714   (Atom=Atom', ' 145631 Body=Body', ' 122173 Other', ' 226910)']",[' Yes'],"[' 24795    (Eliminated', '    0 Frozen', ' 24795)']","[' 12827    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.6024'],[' 0'], ,[' 486.532'],[' 0'],[' 28.7565'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.24903e+08'],[' 8.12997e+08'],[' 0'],[' 2.75126e+10'],[' 0'],[' 0'],[' 1577 '],[' 2756 '],[' 4019 '],[' 5277 '],[' 6304 '],[' 5 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 8949+'],[' 4480'],"[' 1012.047s (Solving', ' 934.72s 1st Model', ' 526.73s Unsat', ' 0.00s)']",[' 1004.281s'], ,[' 463411172'],"[' 3212706  (Analyzed', ' 2263386)']","[' 7933     (Average', ' 285.31 Last', ' 86313)']",[' 8417.1  '],"[' 4480     (Average Length', ' 1986.61 Splits', ' 0)']","[' 2263386  (Deleted', ' 2143300)']","[' 161      (Ratio', '   0.01%)']","[' 84472    (Ratio', '   3.73%)']","[' 2263386  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2263386  (Average', ' 193.57 Max', ' 9921 Sum', ' 438115261)']","[' 2261119  (Average', ' 191.42 Max', ' 9921 Sum', ' 433265819 Ratio', '  98.89%)']","[' 2267     (Average', ' 2139.15 Max', ' 3164 Sum', ' 4849442 Ratio', '   1.11%)']", ,[' 275143  '],[' 21359   '],[' 276773  '],[' 165452  '],"[' 496352   (Atom=Atom', ' 146091 Body=Body', ' 122259 Other', ' 228002)']",[' Yes'],"[' 24989    (Eliminated', '    0 Frozen', ' 24989)']","[' 14758    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6943'],[' 0'], ,[' 466.42'],[' 0'],[' 28.0236'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16486e+09'],[' 1.03789e+09'],[' 0'],[' 3.18254e+10'],[' 0'],[' 0'],[' 1433 '],[' 2678 '],[' 3930 '],[' 5059 '],[' 6086 '],[' 5 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 8579+'],[' 4295'],"[' 1017.573s (Solving', ' 946.98s 1st Model', ' 723.92s Unsat', ' 0.00s)']",[' 1011.859s'], ,[' 503291063'],"[' 2826899  (Analyzed', ' 2064681)']","[' 7585     (Average', ' 272.21 Last', ' 101969)']",[' 8338.3  '],"[' 4295     (Average Length', ' 1946.27 Splits', ' 0)']","[' 2064681  (Deleted', ' 1951427)']","[' 143      (Ratio', '   0.01%)']","[' 90118    (Ratio', '   4.36%)']","[' 2064681  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2064681  (Average', ' 231.50 Max', ' 10145 Sum', ' 477981163)']","[' 2062901  (Average', ' 229.92 Max', ' 10145 Sum', ' 474703221 Ratio', '  99.31%)']","[' 1780     (Average', ' 1841.54 Max', ' 3012 Sum', ' 3277942 Ratio', '   0.69%)']", ,[' 275225  '],[' 21463   '],[' 276890  '],[' 165579  '],"[' 496733   (Atom=Atom', ' 146114 Body=Body', ' 122363 Other', ' 228256)']",[' Yes'],"[' 25128    (Eliminated', '    0 Frozen', ' 25128)']","[' 14267    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1429'],[' 0'], ,[' 445.195'],[' 0'],[' 28.9927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34859e+09'],[' 1.21066e+09'],[' 0'],[' 2.89524e+10'],[' 0'],[' 0'],[' 1358 '],[' 2583 '],[' 3798 '],[' 5038 '],[' 6084 '],[' 5 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 8427+'],[' 4219'],"[' 1016.503s (Solving', ' 949.59s 1st Model', ' 664.22s Unsat', ' 0.00s)']",[' 1011.172s'], ,[' 488362349'],"[' 3404166  (Analyzed', ' 2509331)']","[' 8314     (Average', ' 301.82 Last', ' 204563)']",[' 8480.0  '],"[' 4219     (Average Length', ' 1893.61 Splits', ' 0)']","[' 2509331  (Deleted', ' 2388995)']","[' 173      (Ratio', '   0.01%)']","[' 89873    (Ratio', '   3.58%)']","[' 2509331  (Average Length', '   20.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2509331  (Average', ' 184.38 Max', ' 10218 Sum', ' 462663423)']","[' 2507469  (Average', ' 183.01 Max', ' 10218 Sum', ' 459232835 Ratio', '  99.26%)']","[' 1862     (Average', ' 1842.42 Max', ' 2917 Sum', ' 3430588 Ratio', '   0.74%)']", ,[' 275088  '],[' 21412   '],[' 276575  '],[' 165350  '],"[' 496046   (Atom=Atom', ' 145936 Body=Body', ' 122312 Other', ' 227798)']",[' Yes'],"[' 24899    (Eliminated', '    0 Frozen', ' 24899)']","[' 13636    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3109'],[' 0'], ,[' 464.224'],[' 0'],[' 28.6574'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27992e+09'],[' 1.13346e+09'],[' 0'],[' 3.05656e+10'],[' 0'],[' 0'],[' 1372 '],[' 2627 '],[' 3697 '],[' 4827 '],[' 5824 '],[' 5 '],[' 0 ']
