Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 9951+'],[' 4977'],"[' 1019.980s (Solving', ' 942.80s 1st Model', ' 845.97s Unsat', ' 0.00s)']",[' 1017.422s'], ,[' 859117625'],"[' 1289441  (Analyzed', ' 439159)']","[' 5080     (Average', ' 86.45 Last', ' 87541)']",[' 26248.5 '],"[' 4977     (Average Length', ' 2488.00 Splits', ' 0)']","[' 439159   (Deleted', ' 391190)']","[' 155      (Ratio', '   0.04%)']","[' 44736    (Ratio', '  10.19%)']","[' 439159   (Average Length', '   43.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 439159   (Average', ' 1684.73 Max', ' 24413 Sum', ' 739862894)']","[' 439159   (Average', ' 1684.73 Max', ' 24413 Sum', ' 739862894 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 139466  '],[' 25500   '],[' 143441  '],[' 104926  '],"[' 314774   (Atom=Atom', ' 80424 Body=Body', ' 50950 Other', ' 183400)']",[' Yes'],"[' 30475    (Eliminated', '    0 Frozen', ' 30475)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6249'],[' 0'], ,[' 305.677'],[' 0'],[' 45.8924'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2562e+09'],[' 1.17049e+09'],[' 0'],[' 3.79789e+09'],[' 0'],[' 0'],[' 3919 '],[' 1 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 12559+'],[' 6281'],"[' 1033.358s (Solving', ' 929.41s 1st Model', ' 673.30s Unsat', ' 0.00s)']",[' 1029.859s'], ,[' 864694636'],"[' 1734125  (Analyzed', ' 390554)']","[' 6034     (Average', ' 64.73 Last', ' 40382)']",[' 26503.2 '],"[' 6281     (Average Length', ' 3140.00 Splits', ' 0)']","[' 390554   (Deleted', ' 346815)']","[' 130      (Ratio', '   0.03%)']","[' 40051    (Ratio', '  10.25%)']","[' 390554   (Average Length', '   45.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 390554   (Average', ' 1834.49 Max', ' 24406 Sum', ' 716467785)']","[' 390554   (Average', ' 1834.49 Max', ' 24406 Sum', ' 716467785 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 140770  '],[' 25500   '],[' 146049  '],[' 106230  '],"[' 318686   (Atom=Atom', ' 81728 Body=Body', ' 50950 Other', ' 186008)']",[' Yes'],"[' 31779    (Eliminated', '    0 Frozen', ' 31779)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.8943'],[' 0'], ,[' 306.902'],[' 0'],[' 44.2226'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20208e+09'],[' 1.12338e+09'],[' 0'],[' 4.3532e+09'],[' 0'],[' 0'],[' 3982 '],[' 1 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 10219+'],[' 5111'],"[' 1019.769s (Solving', ' 943.51s 1st Model', ' 781.37s Unsat', ' 0.00s)']",[' 1017.359s'], ,[' 872132976'],"[' 1241533  (Analyzed', ' 440232)']","[' 4951     (Average', ' 88.92 Last', ' 66580)']",[' 26301.8 '],"[' 5111     (Average Length', ' 2555.00 Splits', ' 0)']","[' 440232   (Deleted', ' 388296)']","[' 204      (Ratio', '   0.05%)']","[' 46589    (Ratio', '  10.58%)']","[' 440232   (Average Length', '   42.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 440232   (Average', ' 1703.23 Max', ' 24400 Sum', ' 749816508)']","[' 440232   (Average', ' 1703.23 Max', ' 24400 Sum', ' 749816508 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 139600  '],[' 25500   '],[' 143709  '],[' 105060  '],"[' 315176   (Atom=Atom', ' 80558 Body=Body', ' 50950 Other', ' 183668)']",[' Yes'],"[' 30609    (Eliminated', '    0 Frozen', ' 30609)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7434'],[' 0'], ,[' 300.463'],[' 0'],[' 45.577'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28029e+09'],[' 1.19277e+09'],[' 0'],[' 3.79801e+09'],[' 0'],[' 0'],[' 3746 '],[' 1 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 13051+'],[' 6527'],"[' 1030.568s (Solving', ' 928.99s 1st Model', ' 719.18s Unsat', ' 0.00s)']",[' 1027.547s'], ,[' 882336417'],"[' 1523966  (Analyzed', ' 401788)']","[' 5979     (Average', ' 67.20 Last', ' 37902)']",[' 26695.0 '],"[' 6527     (Average Length', ' 3263.00 Splits', ' 0)']","[' 401788   (Deleted', ' 357420)']","[' 125      (Ratio', '   0.03%)']","[' 41177    (Ratio', '  10.25%)']","[' 401788   (Average Length', '   43.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 401788   (Average', ' 1812.21 Max', ' 24431 Sum', ' 728122387)']","[' 401788   (Average', ' 1812.21 Max', ' 24431 Sum', ' 728122387 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 141016  '],[' 25500   '],[' 146541  '],[' 106476  '],"[' 319424   (Atom=Atom', ' 81974 Body=Body', ' 50950 Other', ' 186500)']",[' Yes'],"[' 32025    (Eliminated', '    0 Frozen', ' 32025)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.1469'],[' 0'], ,[' 302.929'],[' 0'],[' 44.5833'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21831e+09'],[' 1.13771e+09'],[' 0'],[' 4.10571e+09'],[' 0'],[' 0'],[' 3610 '],[' 1 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 12695+'],[' 6349'],"[' 1031.710s (Solving', ' 929.86s 1st Model', ' 764.01s Unsat', ' 0.00s)']",[' 1028.828s'], ,[' 888994508'],"[' 1492037  (Analyzed', ' 395183)']","[' 5822     (Average', ' 67.88 Last', ' 38161)']",[' 26654.2 '],"[' 6349     (Average Length', ' 3174.00 Splits', ' 0)']","[' 395183   (Deleted', ' 348713)']","[' 146      (Ratio', '   0.04%)']","[' 41442    (Ratio', '  10.49%)']","[' 395183   (Average Length', '   43.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 395183   (Average', ' 1869.20 Max', ' 24407 Sum', ' 738678037)']","[' 395183   (Average', ' 1869.20 Max', ' 24407 Sum', ' 738678037 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 140838  '],[' 25500   '],[' 146185  '],[' 106298  '],"[' 318890   (Atom=Atom', ' 81796 Body=Body', ' 50950 Other', ' 186144)']",[' Yes'],"[' 31847    (Eliminated', '    0 Frozen', ' 31847)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.8757'],[' 0'], ,[' 302.751'],[' 0'],[' 44.9056'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22281e+09'],[' 1.14181e+09'],[' 0'],[' 4.11995e+09'],[' 0'],[' 0'],[' 3781 '],[' 1 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 8031+'],[' 4017'],"[' 1014.450s (Solving', ' 957.08s 1st Model', ' 780.13s Unsat', ' 0.00s)']",[' 1012.156s'], ,[' 876523301'],"[' 1176289  (Analyzed', ' 471757)']","[' 4465     (Average', ' 105.66 Last', ' 59804)']",[' 26128.2 '],"[' 4017     (Average Length', ' 2008.00 Splits', ' 0)']","[' 471757   (Deleted', ' 420550)']","[' 163      (Ratio', '   0.03%)']","[' 47970    (Ratio', '  10.17%)']","[' 471757   (Average Length', '   43.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 471757   (Average', ' 1650.79 Max', ' 24400 Sum', ' 778770794)']","[' 471757   (Average', ' 1650.79 Max', ' 24400 Sum', ' 778770794 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 138506  '],[' 25500   '],[' 141521  '],[' 103966  '],"[' 311894   (Atom=Atom', ' 79464 Body=Body', ' 50950 Other', ' 181480)']",[' Yes'],"[' 29515    (Eliminated', '    0 Frozen', ' 29515)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.82339'],[' 0'], ,[' 308.583'],[' 0'],[' 47.0533'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32353e+09'],[' 1.23158e+09'],[' 0'],[' 3.99488e+09'],[' 0'],[' 0'],[' 3895 '],[' 1 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 12093+'],[' 6048'],"[' 1027.221s (Solving', ' 932.39s 1st Model', ' 722.14s Unsat', ' 0.00s)']",[' 1024.234s'], ,[' 878108149'],"[' 1768905  (Analyzed', ' 400619)']","[' 5886     (Average', ' 68.06 Last', ' 36317)']",[' 26602.1 '],"[' 6048     (Average Length', ' 3023.50 Splits', ' 0)']","[' 400619   (Deleted', ' 353327)']","[' 147      (Ratio', '   0.04%)']","[' 41161    (Ratio', '  10.27%)']","[' 400619   (Average Length', '   43.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 400619   (Average', ' 1832.13 Max', ' 24399 Sum', ' 733985842)']","[' 400619   (Average', ' 1832.13 Max', ' 24399 Sum', ' 733985842 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 140537  '],[' 25500   '],[' 145583  '],[' 105997  '],"[' 317987   (Atom=Atom', ' 81495 Body=Body', ' 50950 Other', ' 185542)']",[' Yes'],"[' 31546    (Eliminated', '    0 Frozen', ' 31546)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.0152'],[' 0'], ,[' 306.935'],[' 0'],[' 44.8446'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22413e+09'],[' 1.142e+09'],[' 0'],[' 4.38586e+09'],[' 0'],[' 0'],[' 3866 '],[' 1 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 9735+'],[' 4869'],"[' 1018.793s (Solving', ' 944.72s 1st Model', ' 854.91s Unsat', ' 0.00s)']",[' 1014.047s'], ,[' 781460395'],"[' 1189842  (Analyzed', ' 368362)']","[' 4615     (Average', ' 79.82 Last', ' 47457)']",[' 26368.7 '],"[' 4869     (Average Length', ' 2434.00 Splits', ' 0)']","[' 368362   (Deleted', ' 325747)']","[' 131      (Ratio', '   0.04%)']","[' 38617    (Ratio', '  10.48%)']","[' 368362   (Average Length', '   43.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 368362   (Average', ' 1802.53 Max', ' 24414 Sum', ' 663983867)']","[' 368362   (Average', ' 1802.53 Max', ' 24414 Sum', ' 663983867 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 139358  '],[' 25500   '],[' 143225  '],[' 104818  '],"[' 314450   (Atom=Atom', ' 80316 Body=Body', ' 50950 Other', ' 183184)']",[' Yes'],"[' 30367    (Eliminated', '    0 Frozen', ' 30367)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2197'],[' 0'], ,[' 318.052'],[' 0'],[' 48.0258'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08079e+09'],[' 1.00626e+09'],[' 0'],[' 3.54322e+09'],[' 0'],[' 0'],[' 3763 '],[' 1 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 10003+'],[' 5003'],"[' 1022.204s (Solving', ' 935.77s 1st Model', ' 805.34s Unsat', ' 0.00s)']",[' 1018.297s'], ,[' 785771848'],"[' 1335864  (Analyzed', ' 352897)']","[' 4832     (Average', ' 73.03 Last', ' 112728)']",[' 26297.2 '],"[' 5003     (Average Length', ' 2501.00 Splits', ' 0)']","[' 352897   (Deleted', ' 310692)']","[' 149      (Ratio', '   0.04%)']","[' 37960    (Ratio', '  10.76%)']","[' 352897   (Average Length', '   45.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 352897   (Average', ' 1886.18 Max', ' 24418 Sum', ' 665627297)']","[' 352897   (Average', ' 1886.18 Max', ' 24418 Sum', ' 665627297 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 139492  '],[' 25500   '],[' 143493  '],[' 104952  '],"[' 314852   (Atom=Atom', ' 80450 Body=Body', ' 50950 Other', ' 183452)']",[' Yes'],"[' 30501    (Eliminated', '    0 Frozen', ' 30501)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.1846'],[' 0'], ,[' 316.716'],[' 0'],[' 47.7278'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.069e+09'],[' 9.9869e+08'],[' 0'],[' 3.67074e+09'],[' 0'],[' 0'],[' 4121 '],[' 1 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 10739+'],[' 5371'],"[' 1025.776s (Solving', ' 932.44s 1st Model', ' 656.00s Unsat', ' 0.00s)']",[' 1021.828s'], ,[' 791274899'],"[' 1499933  (Analyzed', ' 334968)']","[' 5011     (Average', ' 66.85 Last', ' 35356)']",[' 26347.6 '],"[' 5371     (Average Length', ' 2685.00 Splits', ' 0)']","[' 334968   (Deleted', ' 293467)']","[' 140      (Ratio', '   0.04%)']","[' 36239    (Ratio', '  10.82%)']","[' 334968   (Average Length', '   45.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 334968   (Average', ' 1979.00 Max', ' 24428 Sum', ' 662902828)']","[' 334968   (Average', ' 1979.00 Max', ' 24428 Sum', ' 662902828 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 139860  '],[' 25500   '],[' 144229  '],[' 105320  '],"[' 315956   (Atom=Atom', ' 80818 Body=Body', ' 50950 Other', ' 184188)']",[' Yes'],"[' 30869    (Eliminated', '    0 Frozen', ' 30869)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.6834'],[' 0'], ,[' 319.755'],[' 0'],[' 47.0114'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05142e+09'],[' 9.82678e+08'],[' 0'],[' 3.76027e+09'],[' 0'],[' 0'],[' 4111 '],[' 1 '],[' 0 ']
