Optimal Found Or Timeout,Instances,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 9565+'],[' 4785'],"[' 1033.173s (Solving', ' 923.00s 1st Model', ' 481.46s Unsat', ' 0.00s)']",[' 1031.203s'], ,[' 609791752'],"[' 13855644 (Analyzed', ' 131829)']","[' 4156     (Average', ' 31.72 Last', ' 7297)']",[' 29501.6 '],"[' 4786     (Average Length', ' 2388.95 Splits', ' 0)']","[' 131829   (Deleted', ' 109604)']","[' 70       (Ratio', '   0.05%)']","[' 17644    (Ratio', '  13.38%)']","[' 131829   (Average Length', '   48.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 131829   (Average', ' 3661.05 Max', ' 43811 Sum', ' 482632009)']","[' 127634   (Average', ' 3533.06 Max', ' 39789 Sum', ' 465759719 Ratio', '  96.50%)']","[' 4195     (Average', ' 4022.00 Max', ' 4022 Sum', ' 16872290 Ratio', '   3.50%)']", ,[' 478344  '],[' 51874   '],[' 481064  '],[' 307178  '],"[' 921530   (Atom=Atom', ' 257302 Body=Body', ' 152774 Other', ' 511454)']",[' Yes'],"[' 56594    (Eliminated', '    0 Frozen', ' 56594)']","[' 3935     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.2875'],[' 0'], ,[' 513.575'],[' 0'],[' 32.3993'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.08006e+08'],[' 7.50595e+08'],[' 0'],[' 3.74014e+10'],[' 0'],[' 0'],[' 3636 '],[' 21345 '],[' 2 '],[' 0 ']
Solving...,TA72, , ,[' 11615+'],[' 5810'],"[' 1038.977s (Solving', ' 909.21s 1st Model', ' 454.36s Unsat', ' 0.00s)']",[' 1036.734s'], ,[' 599280527'],"[' 14266306 (Analyzed', ' 120670)']","[' 4136     (Average', ' 29.18 Last', ' 2797)']",[' 29224.1 '],"[' 5811     (Average Length', ' 2903.12 Splits', ' 0)']","[' 120670   (Deleted', ' 100621)']","[' 60       (Ratio', '   0.05%)']","[' 15288    (Ratio', '  12.67%)']","[' 120670   (Average Length', '   53.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 120670   (Average', ' 3734.08 Max', ' 36699 Sum', ' 450591424)']","[' 116903   (Average', ' 3576.99 Max', ' 36331 Sum', ' 431635880 Ratio', '  95.79%)']","[' 3767     (Average', ' 5032.00 Max', ' 5032 Sum', ' 18955544 Ratio', '   4.21%)']", ,[' 477815  '],[' 51356   '],[' 481579  '],[' 306131  '],"[' 918389   (Atom=Atom', ' 256773 Body=Body', ' 152256 Other', ' 509360)']",[' Yes'],"[' 57120    (Eliminated', '    0 Frozen', ' 57120)']","[' 3144     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.5408'],[' 0'], ,[' 512.322'],[' 0'],[' 30.4334'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.8503e+08'],[' 7.28542e+08'],[' 0'],[' 4.02581e+10'],[' 0'],[' 0'],[' 3711 '],[' 23505 '],[' 2 '],[' 0 ']
Solving...,TA73, , ,[' 9555+'],[' 4780'],"[' 1030.058s (Solving', ' 922.46s 1st Model', ' 451.15s Unsat', ' 0.00s)']",[' 1027.922s'], ,[' 568652687'],"[' 15924100 (Analyzed', ' 128561)']","[' 4051     (Average', ' 31.74 Last', ' 20090)']",[' 30304.1 '],"[' 4781     (Average Length', ' 2388.96 Splits', ' 0)']","[' 128561   (Deleted', ' 107208)']","[' 43       (Ratio', '   0.03%)']","[' 18421    (Ratio', '  14.33%)']","[' 128561   (Average Length', '   47.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 128561   (Average', ' 3324.61 Max', ' 37280 Sum', ' 427414765)']","[' 126330   (Average', ' 3256.06 Max', ' 35844 Sum', ' 418602315 Ratio', '  97.94%)']","[' 2231     (Average', ' 3950.00 Max', ' 3950 Sum', ' 8812450 Ratio', '   2.06%)']", ,[' 478345  '],[' 51876   '],[' 481098  '],[' 307181  '],"[' 921539   (Atom=Atom', ' 257303 Body=Body', ' 152776 Other', ' 511460)']",[' Yes'],"[' 56629    (Eliminated', '    0 Frozen', ' 56629)']","[' 2750     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.0892'],[' 0'], ,[' 538.504'],[' 0'],[' 29.7993'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.69892e+08'],[' 7.11463e+08'],[' 0'],[' 4.4658e+10'],[' 0'],[' 0'],[' 3761 '],[' 24995 '],[' 2 '],[' 0 ']
Solving...,TA74, , ,[' 11517+'],[' 5761'],"[' 1037.005s (Solving', ' 911.49s 1st Model', ' 393.07s Unsat', ' 0.00s)']",[' 1034.531s'], ,[' 521156571'],"[' 15847774 (Analyzed', ' 111474)']","[' 4075     (Average', ' 27.36 Last', ' 2324)']",[' 29579.6 '],"[' 5762     (Average Length', ' 2879.11 Splits', ' 0)']","[' 111474   (Deleted', ' 94894)']","[' 47       (Ratio', '   0.04%)']","[' 14464    (Ratio', '  12.98%)']","[' 111474   (Average Length', '   56.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 111474   (Average', ' 3161.10 Max', ' 41853 Sum', ' 352380021)']","[' 111224   (Average', ' 3149.84 Max', ' 36835 Sum', ' 351125521 Ratio', '  99.64%)']","[' 250      (Average', ' 5018.00 Max', ' 5018 Sum', ' 1254500 Ratio', '   0.36%)']", ,[' 478270  '],[' 51524   '],[' 481988  '],[' 306754  '],"[' 920258   (Atom=Atom', ' 257228 Body=Body', ' 152424 Other', ' 510606)']",[' Yes'],"[' 57242    (Eliminated', '    0 Frozen', ' 57242)']","[' 232      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.262'],[' 0'], ,[' 560.819'],[' 0'],[' 26.2038'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.91256e+08'],[' 6.38062e+08'],[' 0'],[' 4.7312e+10'],[' 0'],[' 0'],[' 3801 '],[' 25230 '],[' 2 '],[' 0 ']
Solving...,TA75, , ,[' 7711+'],[' 3858'],"[' 1025.223s (Solving', ' 935.37s 1st Model', ' 494.43s Unsat', ' 0.00s)']",[' 1023.359s'], ,[' 607347932'],"[' 15593678 (Analyzed', ' 148458)']","[' 3497     (Average', ' 42.45 Last', ' 38850)']",[' 30663.3 '],"[' 3859     (Average Length', ' 1924.18 Splits', ' 0)']","[' 148458   (Deleted', ' 122670)']","[' 46       (Ratio', '   0.03%)']","[' 22754    (Ratio', '  15.33%)']","[' 148458   (Average Length', '   47.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 148458   (Average', ' 3279.08 Max', ' 43569 Sum', ' 486805659)']","[' 146300   (Average', ' 3235.08 Max', ' 40541 Sum', ' 480274132 Ratio', '  98.66%)']","[' 2158     (Average', ' 3026.66 Max', ' 3028 Sum', ' 6531527 Ratio', '   1.34%)']", ,[' 477375  '],[' 51860   '],[' 479181  '],[' 306195  '],"[' 918581   (Atom=Atom', ' 256333 Body=Body', ' 152760 Other', ' 509488)']",[' Yes'],"[' 55666    (Eliminated', '    0 Frozen', ' 55666)']","[' 3415     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.0706'],[' 0'], ,[' 538.973'],[' 0'],[' 31.8173'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.32221e+08'],[' 7.68604e+08'],[' 0'],[' 4.33854e+10'],[' 0'],[' 0'],[' 3667 '],[' 23651 '],[' 2 '],[' 0 ']
Solving...,TA76, , ,[' 4457+'],[' 2231'],"[' 608.492s (Solving', ' 551.68s 1st Model', ' 86.66s Unsat', ' 0.00s)']",[' 607.484s'], ,[' 145903409'],"[' 16736920 (Analyzed', ' 10989)']","[' 1554     (Average', ' 7.07 Last', ' 222)']",[' 33396.2 '],"[' 2231     (Average Length', ' 1115.00 Splits', ' 0)']","[' 10989    (Deleted', ' 10104)']","[' 6        (Ratio', '   0.05%)']","[' 856      (Ratio', '   7.79%)']","[' 10989    (Average Length', '   76.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10989    (Average', ' 5202.88 Max', ' 25347 Sum', ' 57174402)']","[' 10989    (Average', ' 5202.88 Max', ' 25347 Sum', ' 57174402 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 474506  '],[' 51446   '],[' 474733  '],[' 302912  '],"[' 908732   (Atom=Atom', ' 253464 Body=Body', ' 152346 Other', ' 502922)']",[' Yes'],"[' 53673    (Eliminated', '    0 Frozen', ' 53673)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.02'],[' 0'], ,[' 448.282'],[' 0'],[' 7.10973'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45074e+08'],[' 2.18134e+08'],[' 0'],[' 5.18253e+10'],[' 0'],[' 0'],[' 20297 '],[' 40944 '],[' 2 '],[' 0 ']
Solving...,TA77, , ,[' 10239+'],[' 5122'],"[' 1034.571s (Solving', ' 919.35s 1st Model', ' 465.92s Unsat', ' 0.00s)']",[' 1032.703s'], ,[' 604590989'],"[' 13757639 (Analyzed', ' 131162)']","[' 3809     (Average', ' 34.43 Last', ' 4070)']",[' 29245.6 '],"[' 5123     (Average Length', ' 2560.22 Splits', ' 0)']","[' 131162   (Deleted', ' 109614)']","[' 57       (Ratio', '   0.04%)']","[' 17105    (Ratio', '  13.04%)']","[' 131162   (Average Length', '   49.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 131162   (Average', ' 3575.40 Max', ' 41488 Sum', ' 468956146)']","[' 127640   (Average', ' 3458.35 Max', ' 37129 Sum', ' 453603748 Ratio', '  96.73%)']","[' 3522     (Average', ' 4359.00 Max', ' 4359 Sum', ' 15352398 Ratio', '   3.27%)']", ,[' 476899  '],[' 51280   '],[' 479999  '],[' 305139  '],"[' 915413   (Atom=Atom', ' 255857 Body=Body', ' 152180 Other', ' 507376)']",[' Yes'],"[' 56380    (Eliminated', '    0 Frozen', ' 56380)']","[' 3402     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.9212'],[' 0'], ,[' 523.617'],[' 0'],[' 31.1197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.93692e+08'],[' 7.3582e+08'],[' 0'],[' 3.8618e+10'],[' 0'],[' 0'],[' 3610 '],[' 24517 '],[' 2 '],[' 0 ']
Solving...,TA78, , ,[' 10119+'],[' 5062'],"[' 1035.859s (Solving', ' 920.87s 1st Model', ' 422.03s Unsat', ' 0.00s)']",[' 1033.641s'], ,[' 556671797'],"[' 16835281 (Analyzed', ' 124154)']","[' 4088     (Average', ' 30.37 Last', ' 18221)']",[' 30145.3 '],"[' 5063     (Average Length', ' 2529.99 Splits', ' 0)']","[' 124154   (Deleted', ' 103325)']","[' 61       (Ratio', '   0.05%)']","[' 16912    (Ratio', '  13.62%)']","[' 124154   (Average Length', '   51.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 124154   (Average', ' 3246.84 Max', ' 39388 Sum', ' 403108408)']","[' 123299   (Average', ' 3217.73 Max', ' 36774 Sum', ' 399494323 Ratio', '  99.10%)']","[' 855      (Average', ' 4227.00 Max', ' 4227 Sum', ' 3614085 Ratio', '   0.90%)']", ,[' 477337  '],[' 51446   '],[' 480368  '],[' 305743  '],"[' 917225   (Atom=Atom', ' 256295 Body=Body', ' 152346 Other', ' 508584)']",[' Yes'],"[' 56477    (Eliminated', '    0 Frozen', ' 56477)']","[' 980      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.8947'],[' 0'], ,[' 555.754'],[' 0'],[' 27.9427'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.51389e+08'],[' 6.92846e+08'],[' 0'],[' 4.76262e+10'],[' 0'],[' 0'],[' 3611 '],[' 24686 '],[' 2 '],[' 0 ']
Solving...,TA79, , ,[' 11535+'],[' 5770'],"[' 1041.160s (Solving', ' 910.05s 1st Model', ' 411.69s Unsat', ' 0.00s)']",[' 1039.078s'], ,[' 544100629'],"[' 16556621 (Analyzed', ' 113081)']","[' 4389     (Average', ' 25.76 Last', ' 2402)']",[' 29964.6 '],"[' 5771     (Average Length', ' 2883.40 Splits', ' 0)']","[' 113081   (Deleted', ' 95088)']","[' 45       (Ratio', '   0.04%)']","[' 13882    (Ratio', '  12.28%)']","[' 113081   (Average Length', '   52.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 113081   (Average', ' 3341.88 Max', ' 38712 Sum', ' 377903314)']","[' 111660   (Average', ' 3279.55 Max', ' 33752 Sum', ' 370855154 Ratio', '  98.13%)']","[' 1421     (Average', ' 4960.00 Max', ' 4960 Sum', ' 7048160 Ratio', '   1.87%)']", ,[' 479011  '],[' 51768   '],[' 482739  '],[' 307739  '],"[' 923213   (Atom=Atom', ' 257969 Body=Body', ' 152668 Other', ' 512576)']",[' Yes'],"[' 57496    (Eliminated', '    0 Frozen', ' 57496)']","[' 1348     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.4841'],[' 0'], ,[' 546.153'],[' 0'],[' 27.0455'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.22006e+08'],[' 6.65837e+08'],[' 0'],[' 4.59753e+10'],[' 0'],[' 0'],[' 3557 '],[' 24401 '],[' 2 '],[' 0 ']
Solving...,TA80, , ,[' 8327+'],[' 4166'],"[' 1028.754s (Solving', ' 931.30s 1st Model', ' 490.96s Unsat', ' 0.00s)']",[' 1025.875s'], ,[' 629781479'],"[' 14902989 (Analyzed', ' 148450)']","[' 3584     (Average', ' 41.42 Last', ' 22606)']",[' 30270.2 '],"[' 4167     (Average Length', ' 2080.29 Splits', ' 0)']","[' 148450   (Deleted', ' 123220)']","[' 69       (Ratio', '   0.05%)']","[' 21093    (Ratio', '  14.21%)']","[' 148450   (Average Length', '   45.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 148450   (Average', ' 3421.79 Max', ' 40564 Sum', ' 507965454)']","[' 145059   (Average', ' 3346.12 Max', ' 37251 Sum', ' 496731071 Ratio', '  97.79%)']","[' 3391     (Average', ' 3313.00 Max', ' 3313 Sum', ' 11234383 Ratio', '   2.21%)']", ,[' 476741  '],[' 51546   '],[' 478859  '],[' 305247  '],"[' 915737   (Atom=Atom', ' 255699 Body=Body', ' 152446 Other', ' 507592)']",[' Yes'],"[' 55664    (Eliminated', '    0 Frozen', ' 55664)']","[' 4485     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7931'],[' 0'], ,[' 521.801'],[' 0'],[' 32.8064'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.54374e+08'],[' 7.90178e+08'],[' 0'],[' 4.13996e+10'],[' 0'],[' 0'],[' 3429 '],[' 22833 '],[' 2 '],[' 0 ']
