Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA31, ,[' 1'],[' 2335+'],[' 1170'],"[' 1000.785s (Solving', ' 997.11s 1st Model', ' 15.50s Unsat', ' 0.00s)']",[' 998.797s'], ,[' 284793404'],"[' 18019853 (Analyzed', ' 17746328)']","[' 28030    (Average', ' 633.12 Last', ' 745090)']",[' 2410.2  '],"[' 1170     (Average Length', ' 573.75 Splits', ' 0)']","[' 17746328 (Deleted', ' 17621125)']","[' 482      (Ratio', '   0.00%)']","[' 18446    (Ratio', '   0.10%)']","[' 17746328 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17746328 (Average', ' 15.87 Max', ' 2702 Sum', ' 281630158)']","[' 17746141 (Average', ' 15.86 Max', ' 2101 Sum', ' 281517771 Ratio', '  99.96%)']","[' 187      (Average', ' 601.00 Max', ' 601 Sum', ' 112387 Ratio', '   0.04%)']", ,[' 36472   '],[' 3668    '],[' 37123   '],[' 21435   '],"[' 64301    (Atom=Atom', ' 18215 Body=Body', ' 10613 Other', ' 35473)']",[' Yes'],"[' 4769     (Eliminated', '    0 Frozen', ' 4769)']","[' 1990     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.730896'],[' 0'], ,[' 611.035'],[' 0'],[' 21.5778'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12515e+09'],[' 9.26916e+08'],[' 0'],[' 4.68501e+10'],[' 0'],[' 0'],[' 1054 '],[' 2128 '],[' 2 '],[' 0 ']
Solving...,TA32, ,[' 1'],[' 2273+'],[' 1139'],"[' 1000.527s (Solving', ' 997.70s 1st Model', ' 8.53s Unsat', ' 0.00s)']",[' 1000.219s'], ,[' 263491095'],"[' 23391829 (Analyzed', ' 23090069)']","[' 38272    (Average', ' 603.31 Last', ' 13068)']",[' 2511.6  '],"[' 1139     (Average Length', ' 556.48 Splits', ' 0)']","[' 23090069 (Deleted', ' 22901963)']","[' 548      (Ratio', '   0.00%)']","[' 21795    (Ratio', '   0.09%)']","[' 23090069 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23090069 (Average', ' 11.26 Max', ' 2729 Sum', ' 259972436)']","[' 23089873 (Average', ' 11.25 Max', ' 2106 Sum', ' 259850943 Ratio', '  99.95%)']","[' 196      (Average', ' 619.86 Max', ' 623 Sum', ' 121493 Ratio', '   0.05%)']", ,[' 36981   '],[' 3848    '],[' 37600   '],[' 22124   '],"[' 66368    (Atom=Atom', ' 18724 Body=Body', ' 10793 Other', ' 36851)']",[' Yes'],"[' 4917     (Eliminated', '    0 Frozen', ' 4917)']","[' 2236     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.712101'],[' 0'], ,[' 630.145'],[' 0'],[' 21.3824'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.52198e+08'],[' 7.66515e+08'],[' 0'],[' 4.75138e+10'],[' 0'],[' 0'],[' 1273 '],[' 2420 '],[' 2 '],[' 0 ']
Solving...,TA33, ,[' 1'],[' 2185+'],[' 1095'],"[' 1000.461s (Solving', ' 997.31s 1st Model', ' 71.45s Unsat', ' 0.00s)']",[' 999.859s'], ,[' 273404554'],"[' 22979441 (Analyzed', ' 22608548)']","[' 37586    (Average', ' 601.52 Last', ' 316647)']",[' 2522.3  '],"[' 1095     (Average Length', ' 536.92 Splits', ' 0)']","[' 22608548 (Deleted', ' 22441473)']","[' 495      (Ratio', '   0.00%)']","[' 19128    (Ratio', '   0.08%)']","[' 22608548 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22608548 (Average', ' 11.93 Max', ' 2588 Sum', ' 269824639)']","[' 22608319 (Average', ' 11.93 Max', ' 2100 Sum', ' 269712591 Ratio', '  99.96%)']","[' 229      (Average', ' 489.29 Max', ' 1257 Sum', ' 112048 Ratio', '   0.04%)']", ,[' 36583   '],[' 3730    '],[' 37179   '],[' 21608   '],"[' 64820    (Atom=Atom', ' 18326 Body=Body', ' 10675 Other', ' 35819)']",[' Yes'],"[' 4776     (Eliminated', '    0 Frozen', ' 4776)']","[' 1889     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.733852'],[' 0'], ,[' 611.247'],[' 0'],[' 21.4656'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.025e+09'],[' 8.17915e+08'],[' 0'],[' 4.58447e+10'],[' 0'],[' 0'],[' 1211 '],[' 2241 '],[' 2 '],[' 0 ']
Solving...,TA34, ,[' 1'],[' 2327+'],[' 1166'],"[' 1000.534s (Solving', ' 996.82s 1st Model', ' 5.12s Unsat', ' 0.00s)']",[' 1000.188s'], ,[' 249546407'],"[' 20941123 (Analyzed', ' 20618671)']","[' 34105    (Average', ' 604.56 Last', ' 29034)']",[' 2467.4  '],"[' 1166     (Average Length', ' 571.69 Splits', ' 0)']","[' 20618671 (Deleted', ' 20437274)']","[' 522      (Ratio', '   0.00%)']","[' 17928    (Ratio', '   0.09%)']","[' 20618671 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20618671 (Average', ' 11.94 Max', ' 2678 Sum', ' 246188547)']","[' 20618446 (Average', ' 11.93 Max', ' 2130 Sum', ' 246065247 Ratio', '  99.95%)']","[' 225      (Average', ' 548.00 Max', ' 548 Sum', ' 123300 Ratio', '   0.05%)']", ,[' 36558   '],[' 3698    '],[' 37221   '],[' 21551   '],"[' 64649    (Atom=Atom', ' 18301 Body=Body', ' 10643 Other', ' 35705)']",[' Yes'],"[' 4811     (Eliminated', '    0 Frozen', ' 4811)']","[' 2116     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.778649'],[' 0'], ,[' 643.062'],[' 0'],[' 20.2784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.49976e+08'],[' 7.6974e+08'],[' 0'],[' 5.10009e+10'],[' 0'],[' 0'],[' 1179 '],[' 2334 '],[' 2 '],[' 0 ']
Solving...,TA35, ,[' 1'],[' 1855+'],[' 930'],"[' 1000.434s (Solving', ' 997.58s 1st Model', ' 24.33s Unsat', ' 0.00s)']",[' 998.703s'], ,[' 257456920'],"[' 21841709 (Analyzed', ' 21560073)']","[' 35161    (Average', ' 613.18 Last', ' 95458)']",[' 2384.7  '],"[' 930      (Average Length', ' 459.51 Splits', ' 0)']","[' 21560073 (Deleted', ' 21386622)']","[' 556      (Ratio', '   0.00%)']","[' 19315    (Ratio', '   0.09%)']","[' 21560073 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21560073 (Average', ' 11.80 Max', ' 2626 Sum', ' 254468989)']","[' 21559865 (Average', ' 11.80 Max', ' 2173 Sum', ' 254374765 Ratio', '  99.96%)']","[' 208      (Average', ' 453.00 Max', ' 453 Sum', '  94224 Ratio', '   0.04%)']", ,[' 36418   '],[' 3730    '],[' 36863   '],[' 21443   '],"[' 64325    (Atom=Atom', ' 18161 Body=Body', ' 10675 Other', ' 35489)']",[' Yes'],"[' 4625     (Eliminated', '    0 Frozen', ' 4625)']","[' 1995     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.603872'],[' 0'], ,[' 631.277'],[' 0'],[' 20.7432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.49916e+08'],[' 7.66839e+08'],[' 0'],[' 4.62504e+10'],[' 0'],[' 0'],[' 1185 '],[' 2304 '],[' 2 '],[' 0 ']
Solving...,TA36, ,[' 1'],[' 2467+'],[' 1236'],"[' 1000.684s (Solving', ' 996.67s 1st Model', ' 88.67s Unsat', ' 0.00s)']",[' 1000.000s'], ,[' 288452136'],"[' 18935204 (Analyzed', ' 18631590)']","[' 31042    (Average', ' 600.21 Last', ' 419040)']",[' 2457.9  '],"[' 1236     (Average Length', ' 608.25 Splits', ' 0)']","[' 18631590 (Deleted', ' 18499523)']","[' 533      (Ratio', '   0.00%)']","[' 19099    (Ratio', '   0.10%)']","[' 18631590 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18631590 (Average', ' 15.30 Max', ' 2615 Sum', ' 285052070)']","[' 18631416 (Average', ' 15.29 Max', ' 2024 Sum', ' 284949236 Ratio', '  99.96%)']","[' 174      (Average', ' 591.00 Max', ' 591 Sum', ' 102834 Ratio', '   0.04%)']", ,[' 36670   '],[' 3712    '],[' 37409   '],[' 21677   '],"[' 65027    (Atom=Atom', ' 18413 Body=Body', ' 10657 Other', ' 35957)']",[' Yes'],"[' 4901     (Eliminated', '    0 Frozen', ' 4901)']","[' 2106     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.812214'],[' 0'], ,[' 587.402'],[' 0'],[' 21.638'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18502e+09'],[' 9.74854e+08'],[' 0'],[' 4.19511e+10'],[' 0'],[' 0'],[' 1125 '],[' 2175 '],[' 2 '],[' 0 ']
Solving...,TA37, ,[' 1'],[' 1993+'],[' 999'],"[' 1000.288s (Solving', ' 997.66s 1st Model', ' 6.42s Unsat', ' 0.00s)']",[' 999.844s'], ,[' 288564465'],"[' 19676829 (Analyzed', ' 19457105)']","[' 32101    (Average', ' 606.12 Last', ' 11391)']",[' 2307.4  '],"[' 999      (Average Length', ' 492.62 Splits', ' 0)']","[' 19457105 (Deleted', ' 19296928)']","[' 478      (Ratio', '   0.00%)']","[' 17083    (Ratio', '   0.09%)']","[' 19457105 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19457105 (Average', ' 14.69 Max', ' 2681 Sum', ' 285764995)']","[' 19456911 (Average', ' 14.68 Max', ' 2114 Sum', ' 285655563 Ratio', '  99.96%)']","[' 194      (Average', ' 564.08 Max', ' 567 Sum', ' 109432 Ratio', '   0.04%)']", ,[' 36265   '],[' 3656    '],[' 36779   '],[' 21216   '],"[' 63644    (Atom=Atom', ' 18008 Body=Body', ' 10601 Other', ' 35035)']",[' Yes'],"[' 4620     (Eliminated', '    0 Frozen', ' 4620)']","[' 1872     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.604224'],[' 0'], ,[' 624.997'],[' 0'],[' 22.2289'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05405e+09'],[' 8.58288e+08'],[' 0'],[' 4.80012e+10'],[' 0'],[' 0'],[' 1095 '],[' 2238 '],[' 2 '],[' 0 ']
Solving...,TA38, ,[' 1'],[' 2313+'],[' 1159'],"[' 1000.705s (Solving', ' 997.42s 1st Model', ' 8.58s Unsat', ' 0.00s)']",[' 1000.375s'], ,[' 329329700'],"[' 18504936 (Analyzed', ' 18271155)']","[' 28592    (Average', ' 639.03 Last', ' 14583)']",[' 2368.9  '],"[' 1159     (Average Length', ' 569.01 Splits', ' 0)']","[' 18271155 (Deleted', ' 18127806)']","[' 545      (Ratio', '   0.00%)']","[' 19813    (Ratio', '   0.11%)']","[' 18271155 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18271155 (Average', ' 17.85 Max', ' 2720 Sum', ' 326220776)']","[' 18270935 (Average', ' 17.85 Max', ' 2088 Sum', ' 326081736 Ratio', '  99.96%)']","[' 220      (Average', ' 632.00 Max', ' 632 Sum', ' 139040 Ratio', '   0.04%)']", ,[' 36419   '],[' 3654    '],[' 37070   '],[' 21368   '],"[' 64100    (Atom=Atom', ' 18162 Body=Body', ' 10599 Other', ' 35339)']",[' Yes'],"[' 4755     (Eliminated', '    0 Frozen', ' 4755)']","[' 2160     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.716623'],[' 0'], ,[' 559.472'],[' 0'],[' 23.5353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36409e+09'],[' 1.14751e+09'],[' 0'],[' 4.0351e+10'],[' 0'],[' 0'],[' 1058 '],[' 2095 '],[' 2 '],[' 0 ']
Solving...,TA39, ,[' 1'],[' 1937+'],[' 971'],"[' 1000.419s (Solving', ' 997.26s 1st Model', ' 11.34s Unsat', ' 0.00s)']",[' 999.969s'], ,[' 268698560'],"[' 24550945 (Analyzed', ' 24304595)']","[' 40192    (Average', ' 604.71 Last', ' 34926)']",[' 2403.7  '],"[' 971      (Average Length', ' 477.33 Splits', ' 0)']","[' 24304595 (Deleted', ' 24119906)']","[' 605      (Ratio', '   0.00%)']","[' 20597    (Ratio', '   0.08%)']","[' 24304595 (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24304595 (Average', ' 10.92 Max', ' 2457 Sum', ' 265430672)']","[' 24304392 (Average', ' 10.92 Max', ' 1994 Sum', ' 265336683 Ratio', '  99.96%)']","[' 203      (Average', ' 463.00 Max', ' 463 Sum', '  93989 Ratio', '   0.04%)']", ,[' 36537   '],[' 3756    '],[' 37011   '],[' 21588   '],"[' 64760    (Atom=Atom', ' 18280 Body=Body', ' 10701 Other', ' 35779)']",[' Yes'],"[' 4680     (Eliminated', '    0 Frozen', ' 4680)']","[' 2134     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.64428'],[' 0'], ,[' 628.651'],[' 0'],[' 20.9226'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.32171e+08'],[' 7.50982e+08'],[' 0'],[' 4.90323e+10'],[' 0'],[' 0'],[' 1424 '],[' 2370 '],[' 2 '],[' 0 ']
Solving...,TA40, ,[' 1'],[' 2129+'],[' 1067'],"[' 1000.695s (Solving', ' 997.48s 1st Model', ' 58.61s Unsat', ' 0.00s)']",[' 999.047s'], ,[' 275159007'],"[' 16844619 (Analyzed', ' 16527497)']","[' 27461    (Average', ' 601.85 Last', ' 290460)']",[' 2471.9  '],"[' 1067     (Average Length', ' 527.42 Splits', ' 0)']","[' 16527497 (Deleted', ' 16430030)']","[' 475      (Ratio', '   0.00%)']","[' 18150    (Ratio', '   0.11%)']","[' 16527497 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16527497 (Average', ' 16.45 Max', ' 2615 Sum', ' 271908270)']","[' 16527312 (Average', ' 16.45 Max', ' 2097 Sum', ' 271812440 Ratio', '  99.96%)']","[' 185      (Average', ' 518.00 Max', ' 518 Sum', '  95830 Ratio', '   0.04%)']", ,[' 36519   '],[' 3718    '],[' 37100   '],[' 21532   '],"[' 64592    (Atom=Atom', ' 18262 Body=Body', ' 10663 Other', ' 35667)']",[' Yes'],"[' 4749     (Eliminated', '    0 Frozen', ' 4749)']","[' 2058     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.690886'],[' 0'], ,[' 592.98'],[' 0'],[' 21.9215'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20602e+09'],[' 9.99561e+08'],[' 0'],[' 4.31153e+10'],[' 0'],[' 0'],[' 1034 '],[' 1984 '],[' 2 '],[' 0 ']
