Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA71,[' 11887+'],[' 5947'],"[' 1033.998s (Solving', ' 889.80s 1st Model', ' 409.80s Unsat', ' 0.00s)']",[' 1031.313s'], ,[' 642273153'],"[' 6537274  (Analyzed', ' 404141)']","[' 4625     (Average', ' 87.38 Last', ' 25273)']",[' 19419.5 '],"[' 5947     (Average Length', ' 2806.02 Splits', ' 0)']","[' 404141   (Deleted', ' 339622)']","[' 92       (Ratio', '   0.02%)']","[' 48842    (Ratio', '  12.09%)']","[' 404141   (Average Length', '   37.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 404141   (Average', ' 1357.34 Max', ' 23220 Sum', ' 548556816)']","[' 400142   (Average', ' 1327.84 Max', ' 23220 Sum', ' 536633286 Ratio', '  97.83%)']","[' 3999     (Average', ' 2981.63 Max', ' 3596 Sum', ' 11923530 Ratio', '   2.17%)']", ,[' 441519  '],[' 35623   '],[' 444818  '],[' 271795  '],"[' 815381   (Atom=Atom', ' 238170 Body=Body', ' 136523 Other', ' 440688)']",[' Yes'],"[' 40922    (Eliminated', '    0 Frozen', ' 40922)']","[' 9203     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.5154'],[' 0'], ,[' 392.856'],[' 0'],[' 36.4739'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49393e+09'],[' 1.41301e+09'],[' 0'],[' 1.81334e+10'],[' 0'],[' 0'],[' 2712 '],[' 5385 '],[' 7641 '],[' 3 '],[' 0 ']
UNKNOWN,TA72,[' 12053+'],[' 6030'],"[' 1032.047s (Solving', ' 898.24s 1st Model', ' 609.29s Unsat', ' 0.00s)']",[' 1029.609s'], ,[' 655721790'],"[' 7291929  (Analyzed', ' 380403)']","[' 5078     (Average', ' 74.91 Last', ' 42215)']",[' 19329.3 '],"[' 6030     (Average Length', ' 2849.29 Splits', ' 0)']","[' 380403   (Deleted', ' 315260)']","[' 106      (Ratio', '   0.03%)']","[' 48545    (Ratio', '  12.76%)']","[' 380403   (Average Length', '   31.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 380403   (Average', ' 1464.91 Max', ' 23941 Sum', ' 557256766)']","[' 377373   (Average', ' 1442.18 Max', ' 23941 Sum', ' 548610376 Ratio', '  98.45%)']","[' 3030     (Average', ' 2853.59 Max', ' 3928 Sum', ' 8646390 Ratio', '   1.55%)']", ,[' 438911  '],[' 35052   '],[' 442243  '],[' 269643  '],"[' 808925   (Atom=Atom', ' 236589 Body=Body', ' 135952 Other', ' 436384)']",[' Yes'],"[' 40384    (Eliminated', '    0 Frozen', ' 40384)']","[' 9005     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.9488'],[' 0'], ,[' 390.418'],[' 0'],[' 36.3525'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57464e+09'],[' 1.48952e+09'],[' 0'],[' 1.80501e+10'],[' 0'],[' 0'],[' 2233 '],[' 4501 '],[' 6750 '],[' 3 '],[' 0 ']
UNKNOWN,TA73,[' 11823+'],[' 5915'],"[' 1032.120s (Solving', ' 898.25s 1st Model', ' 653.98s Unsat', ' 0.00s)']",[' 1029.828s'], ,[' 669813848'],"[' 7100629  (Analyzed', ' 423136)']","[' 4609     (Average', ' 91.81 Last', ' 128456)']",[' 19117.8 '],"[' 5915     (Average Length', ' 2751.48 Splits', ' 0)']","[' 423136   (Deleted', ' 359621)']","[' 93       (Ratio', '   0.02%)']","[' 51230    (Ratio', '  12.11%)']","[' 423136   (Average Length', '   33.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 423136   (Average', ' 1363.18 Max', ' 23211 Sum', ' 576811904)']","[' 419296   (Average', ' 1336.60 Max', ' 23211 Sum', ' 565562324 Ratio', '  98.05%)']","[' 3840     (Average', ' 2929.58 Max', ' 3769 Sum', ' 11249580 Ratio', '   1.95%)']", ,[' 440190  '],[' 35228   '],[' 443364  '],[' 269854  '],"[' 809558   (Atom=Atom', ' 236624 Body=Body', ' 136128 Other', ' 436806)']",[' Yes'],"[' 40402    (Eliminated', '    0 Frozen', ' 40402)']","[' 9469     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.7008'],[' 0'], ,[' 384.042'],[' 0'],[' 37.2013'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59782e+09'],[' 1.50872e+09'],[' 0'],[' 1.80896e+10'],[' 0'],[' 0'],[' 2537 '],[' 4725 '],[' 7121 '],[' 3 '],[' 0 ']
UNKNOWN,TA74,[' 11621+'],[' 5814'],"[' 1028.621s (Solving', ' 905.01s 1st Model', ' 633.02s Unsat', ' 0.00s)']",[' 1026.016s'], ,[' 666163522'],"[' 7951312  (Analyzed', ' 401578)']","[' 4631     (Average', ' 86.72 Last', ' 46908)']",[' 18500.3 '],"[' 5814     (Average Length', ' 2725.35 Splits', ' 0)']","[' 401578   (Deleted', ' 340006)']","[' 78       (Ratio', '   0.02%)']","[' 49844    (Ratio', '  12.41%)']","[' 401578   (Average Length', '   30.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 401578   (Average', ' 1437.32 Max', ' 22792 Sum', ' 577196799)']","[' 398011   (Average', ' 1410.02 Max', ' 22792 Sum', ' 566233555 Ratio', '  98.10%)']","[' 3567     (Average', ' 3073.52 Max', ' 3770 Sum', ' 10963244 Ratio', '   1.90%)']", ,[' 437792  '],[' 34859   '],[' 440900  '],[' 268442  '],"[' 805322   (Atom=Atom', ' 235581 Body=Body', ' 135759 Other', ' 433982)']",[' Yes'],"[' 39967    (Eliminated', '    0 Frozen', ' 39967)']","[' 9506     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.0766'],[' 0'], ,[' 397.095'],[' 0'],[' 37.1968'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56536e+09'],[' 1.4785e+09'],[' 0'],[' 1.95636e+10'],[' 0'],[' 0'],[' 2153 '],[' 4505 '],[' 6703 '],[' 3 '],[' 0 ']
UNKNOWN,TA75,[' 11621+'],[' 5814'],"[' 1030.066s (Solving', ' 906.88s 1st Model', ' 659.78s Unsat', ' 0.00s)']",[' 1027.875s'], ,[' 698063972'],"[' 6222397  (Analyzed', ' 412442)']","[' 4863     (Average', ' 84.81 Last', ' 72270)']",[' 18302.9 '],"[' 5814     (Average Length', ' 2767.69 Splits', ' 0)']","[' 412442   (Deleted', ' 347620)']","[' 90       (Ratio', '   0.02%)']","[' 52386    (Ratio', '  12.70%)']","[' 412442   (Average Length', '   32.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 412442   (Average', ' 1489.07 Max', ' 22881 Sum', ' 614154903)']","[' 408526   (Average', ' 1457.69 Max', ' 22881 Sum', ' 601213179 Ratio', '  97.89%)']","[' 3916     (Average', ' 3304.83 Max', ' 4041 Sum', ' 12941724 Ratio', '   2.11%)']", ,[' 441256  '],[' 35518   '],[' 444471  '],[' 271267  '],"[' 813797   (Atom=Atom', ' 237747 Body=Body', ' 136418 Other', ' 439632)']",[' Yes'],"[' 40733    (Eliminated', '    0 Frozen', ' 40733)']","[' 9977     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.2945'],[' 0'], ,[' 381.486'],[' 0'],[' 38.7302'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60777e+09'],[' 1.52369e+09'],[' 0'],[' 1.70912e+10'],[' 0'],[' 0'],[' 2333 '],[' 4544 '],[' 7042 '],[' 3 '],[' 0 ']
UNKNOWN,TA76,[' 12059+'],[' 6033'],"[' 1032.023s (Solving', ' 898.02s 1st Model', ' 578.41s Unsat', ' 0.00s)']",[' 1029.141s'], ,[' 681301621'],"[' 6197820  (Analyzed', ' 411872)']","[' 4826     (Average', ' 85.34 Last', ' 60857)']",[' 18861.9 '],"[' 6033     (Average Length', ' 2844.56 Splits', ' 0)']","[' 411872   (Deleted', ' 346339)']","[' 90       (Ratio', '   0.02%)']","[' 51690    (Ratio', '  12.55%)']","[' 411872   (Average Length', '   32.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 411872   (Average', ' 1436.17 Max', ' 22719 Sum', ' 591519666)']","[' 407694   (Average', ' 1404.18 Max', ' 22719 Sum', ' 578344258 Ratio', '  97.77%)']","[' 4178     (Average', ' 3153.52 Max', ' 3892 Sum', ' 13175408 Ratio', '   2.23%)']", ,[' 439596  '],[' 35296   '],[' 442928  '],[' 270312  '],"[' 810932   (Atom=Atom', ' 237014 Body=Body', ' 136196 Other', ' 437722)']",[' Yes'],"[' 40628    (Eliminated', '    0 Frozen', ' 40628)']","[' 10259    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.5879'],[' 0'], ,[' 379.374'],[' 0'],[' 37.7366'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61653e+09'],[' 1.52935e+09'],[' 0'],[' 1.68819e+10'],[' 0'],[' 0'],[' 2323 '],[' 4673 '],[' 7067 '],[' 3 '],[' 0 ']
UNKNOWN,TA77,[' 12719+'],[' 6363'],"[' 1033.083s (Solving', ' 895.08s 1st Model', ' 406.35s Unsat', ' 0.00s)']",[' 1030.719s'], ,[' 662407671'],"[' 7799318  (Analyzed', ' 488573)']","[' 5001     (Average', ' 97.70 Last', ' 18959)']",[' 19580.0 '],"[' 6363     (Average Length', ' 2980.79 Splits', ' 0)']","[' 488573   (Deleted', ' 428910)']","[' 81       (Ratio', '   0.02%)']","[' 49631    (Ratio', '  10.16%)']","[' 488573   (Average Length', '   33.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 488573   (Average', ' 1130.46 Max', ' 24776 Sum', ' 552314075)']","[' 486986   (Average', ' 1122.42 Max', ' 24776 Sum', ' 548382560 Ratio', '  99.29%)']","[' 1587     (Average', ' 2477.33 Max', ' 4033 Sum', ' 3931515 Ratio', '   0.71%)']", ,[' 438333  '],[' 34870   '],[' 441843  '],[' 268628  '],"[' 805880   (Atom=Atom', ' 235756 Body=Body', ' 135770 Other', ' 434354)']",[' Yes'],"[' 40380    (Eliminated', '    0 Frozen', ' 40380)']","[' 7390     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.3119'],[' 0'], ,[' 391.966'],[' 0'],[' 36.3623'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53652e+09'],[' 1.44516e+09'],[' 0'],[' 1.93232e+10'],[' 0'],[' 0'],[' 2332 '],[' 4578 '],[' 6947 '],[' 3 '],[' 0 ']
UNKNOWN,TA78,[' 11737+'],[' 5872'],"[' 1030.769s (Solving', ' 902.24s 1st Model', ' 674.89s Unsat', ' 0.00s)']",[' 1028.453s'], ,[' 682602261'],"[' 5924001  (Analyzed', ' 419075)']","[' 4862     (Average', ' 86.19 Last', ' 95608)']",[' 18674.8 '],"[' 5872     (Average Length', ' 2762.26 Splits', ' 0)']","[' 419075   (Deleted', ' 352688)']","[' 83       (Ratio', '   0.02%)']","[' 53669    (Ratio', '  12.81%)']","[' 419075   (Average Length', '   30.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 419075   (Average', ' 1416.72 Max', ' 22975 Sum', ' 593711216)']","[' 415746   (Average', ' 1391.52 Max', ' 22975 Sum', ' 583152842 Ratio', '  98.22%)']","[' 3329     (Average', ' 3171.64 Max', ' 3796 Sum', ' 10558374 Ratio', '   1.78%)']", ,[' 439620  '],[' 35033   '],[' 442821  '],[' 270542  '],"[' 811622   (Atom=Atom', ' 237507 Body=Body', ' 135933 Other', ' 438182)']",[' Yes'],"[' 40234    (Eliminated', '    0 Frozen', ' 40234)']","[' 9536     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.6767'],[' 0'], ,[' 371.003'],[' 0'],[' 37.7942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63208e+09'],[' 1.54519e+09'],[' 0'],[' 1.58394e+10'],[' 0'],[' 0'],[' 2266 '],[' 4493 '],[' 6917 '],[' 3 '],[' 0 ']
UNKNOWN,TA79,[' 13635+'],[' 6821'],"[' 1034.840s (Solving', ' 880.91s 1st Model', ' 562.23s Unsat', ' 0.00s)']",[' 1032.000s'], ,[' 650436016'],"[' 6625149  (Analyzed', ' 383142)']","[' 5152     (Average', ' 74.37 Last', ' 71969)']",[' 19525.8 '],"[' 6821     (Average Length', ' 3201.68 Splits', ' 0)']","[' 383142   (Deleted', ' 306812)']","[' 81       (Ratio', '   0.02%)']","[' 47654    (Ratio', '  12.44%)']","[' 383142   (Average Length', '   31.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 383142   (Average', ' 1423.33 Max', ' 22629 Sum', ' 545338893)']","[' 379221   (Average', ' 1388.55 Max', ' 22629 Sum', ' 532012204 Ratio', '  97.56%)']","[' 3921     (Average', ' 3398.80 Max', ' 4039 Sum', ' 13326689 Ratio', '   2.44%)']", ,[' 440056  '],[' 35133   '],[' 444083  '],[' 270755  '],"[' 812261   (Atom=Atom', ' 237620 Body=Body', ' 136033 Other', ' 438608)']",[' Yes'],"[' 41160    (Eliminated', '    0 Frozen', ' 41160)']","[' 9924     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.1838'],[' 0'], ,[' 372.52'],[' 0'],[' 35.764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57157e+09'],[' 1.48669e+09'],[' 0'],[' 1.67587e+10'],[' 0'],[' 0'],[' 2220 '],[' 4385 '],[' 6913 '],[' 3 '],[' 0 ']
UNKNOWN,TA80,[' 11391+'],[' 5699'],"[' 1030.546s (Solving', ' 900.87s 1st Model', ' 595.86s Unsat', ' 0.00s)']",[' 1028.000s'], ,[' 649943482'],"[' 8874240  (Analyzed', ' 388927)']","[' 4688     (Average', ' 82.96 Last', ' 80189)']",[' 19316.4 '],"[' 5699     (Average Length', ' 2689.80 Splits', ' 0)']","[' 388927   (Deleted', ' 328193)']","[' 82       (Ratio', '   0.02%)']","[' 48980    (Ratio', '  12.59%)']","[' 388927   (Average Length', '   32.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 388927   (Average', ' 1432.98 Max', ' 23502 Sum', ' 557326415)']","[' 385069   (Average', ' 1404.16 Max', ' 23502 Sum', ' 546113841 Ratio', '  97.99%)']","[' 3858     (Average', ' 2906.32 Max', ' 3553 Sum', ' 11212574 Ratio', '   2.01%)']", ,[' 440435  '],[' 35448   '],[' 443475  '],[' 271390  '],"[' 814166   (Atom=Atom', ' 237940 Body=Body', ' 136348 Other', ' 439878)']",[' Yes'],"[' 40488    (Eliminated', '    0 Frozen', ' 40488)']","[' 9251     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.1131'],[' 0'], ,[' 402.974'],[' 0'],[' 36.1185'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56002e+09'],[' 1.47429e+09'],[' 0'],[' 2.07235e+10'],[' 0'],[' 0'],[' 2330 '],[' 4647 '],[' 6925 '],[' 3 '],[' 0 ']
