Optimal Found Or Timeout,Instances,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA41, ,[' 1393'],[' 702'],"[' 206.126s (Solving', ' 204.08s 1st Model', ' 1.11s Unsat', ' 0.92s)']",[' 205.656s'], ,[' 15688009'],"[' 8963016  (Analyzed', ' 8918639)']","[' 16650    (Average', ' 535.65 Last', ' 40790)']",[' 1306.6  '],"[' 702      (Average Length', ' 335.66 Splits', ' 0)']","[' 8918639  (Deleted', ' 8791181)']","[' 57       (Ratio', '   0.00%)']","[' 1195     (Ratio', '   0.01%)']","[' 8918639  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8918639  (Average', '  1.65 Max', ' 1537 Sum', ' 14758156)']","[' 8918510  (Average', '  1.65 Max', ' 1537 Sum', ' 14737681 Ratio', '  99.86%)']","[' 129      (Average', ' 158.72 Max', ' 532 Sum', '  20475 Ratio', '   0.14%)']", ,[' 41974   '],[' 2384    '],[' 42029   '],[' 22683   '],"[' 68045    (Atom=Atom', ' 20897 Body=Body', ' 11654 Other', ' 35494)']",[' Yes'],"[' 3039     (Eliminated', '    0 Frozen', ' 3039)']","[' 154      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.484323'],[' 0'], ,[' 150.258'],[' 0'],[' 3.20394'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.61885e+07'],[' 2.53141e+07'],[' 0'],[' 1.50548e+10'],[' 0'],[' 0'],[' 560 '],[' 1143 '],[' 1671 '],[' 2259 '],[' 2863 '],[' 1 '],[' 4 ']
Solving...,TA42, ,[' 1215'],[' 613'],"[' 205.875s (Solving', ' 204.37s 1st Model', ' 0.89s Unsat', ' 1.61s)']",[' 205.688s'], ,[' 7415595 '],"[' 4499727  (Analyzed', ' 4458939)']","[' 8601     (Average', ' 518.42 Last', ' 229400)']",[' 1268.2  '],"[' 613      (Average Length', ' 296.43 Splits', ' 0)']","[' 4458939  (Deleted', ' 4386100)']","[' 36       (Ratio', '   0.00%)']","[' 920      (Ratio', '   0.02%)']","[' 4458939  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4458939  (Average', '  1.50 Max', ' 1543 Sum', ' 6689789)']","[' 4458857  (Average', '  1.50 Max', ' 1543 Sum', ' 6677186 Ratio', '  99.81%)']","[' 82       (Average', ' 153.70 Max', ' 454 Sum', '  12603 Ratio', '   0.19%)']", ,[' 41192   '],[' 2320    '],[' 41175   '],[' 22228   '],"[' 66680    (Atom=Atom', ' 20506 Body=Body', ' 11590 Other', ' 34584)']",[' Yes'],"[' 2903     (Eliminated', '    0 Frozen', ' 2903)']","[' 84       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.424839'],[' 0'], ,[' 173.354'],[' 0'],[' 3.04076'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.41033e+07'],[' 1.36326e+07'],[' 0'],[' 2.52247e+10'],[' 0'],[' 0'],[' 724 '],[' 1210 '],[' 1709 '],[' 2296 '],[' 2909 '],[' 1 '],[' 4 ']
Solving...,TA43, ,[' 1443'],[' 727'],"[' 24.031s (Solving', ' 22.11s 1st Model', ' 1.08s Unsat', ' 17.52s)']",[' 23.953s'], ,[' 2254491 '],"[' 721689   (Analyzed', ' 591866)']","[' 1903     (Average', ' 311.02 Last', ' 16827)']",[' 1290.3  '],"[' 727      (Average Length', ' 349.21 Splits', ' 0)']","[' 591866   (Deleted', ' 571693)']","[' 48       (Ratio', '   0.01%)']","[' 1099     (Ratio', '   0.19%)']","[' 591866   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 591866   (Average', '  2.48 Max', ' 1506 Sum', ' 1468758)']","[' 591741   (Average', '  2.41 Max', ' 1506 Sum', ' 1425969 Ratio', '  97.09%)']","[' 125      (Average', ' 342.31 Max', ' 539 Sum', '  42789 Ratio', '   2.91%)']", ,[' 41865   '],[' 2344    '],[' 41952   '],[' 22628   '],"[' 67880    (Atom=Atom', ' 20882 Body=Body', ' 11614 Other', ' 35384)']",[' Yes'],"[' 3031     (Eliminated', '    0 Frozen', ' 3031)']","[' 61       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.493474'],[' 0'], ,[' 15.8455'],[' 0'],[' 0.348534'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.81897e+06'],[' 7.86443e+06'],[' 0'],[' 1.88366e+09'],[' 0'],[' 0'],[' 535 '],[' 997 '],[' 1508 '],[' 1918 '],[' 2445 '],[' 0 '],[' 5 ']
Solving...,TA44, ,[' 1191'],[' 601'],"[' 247.362s (Solving', ' 245.72s 1st Model', ' 1.09s Unsat', ' 42.88s)']",[' 246.672s'], ,[' 20578536'],"[' 13213991 (Analyzed', ' 13177047)']","[' 24737    (Average', ' 532.69 Last', ' 172958)']",[' 1277.3  '],"[' 601      (Average Length', ' 287.19 Splits', ' 0)']","[' 13177047 (Deleted', ' 12960185)']","[' 59       (Ratio', '   0.00%)']","[' 1170     (Ratio', '   0.01%)']","[' 13177047 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13177047 (Average', '  1.49 Max', ' 1528 Sum', ' 19626411)']","[' 13176886 (Average', '  1.49 Max', ' 1528 Sum', ' 19604051 Ratio', '  99.89%)']","[' 161      (Average', ' 138.88 Max', ' 329 Sum', '  22360 Ratio', '   0.11%)']", ,[' 41568   '],[' 2358    '],[' 41527   '],[' 22346   '],"[' 67034    (Atom=Atom', ' 20586 Body=Body', ' 11628 Other', ' 34820)']",[' Yes'],"[' 2917     (Eliminated', '    0 Frozen', ' 2917)']","[' 147      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.431211'],[' 0'], ,[' 169.136'],[' 0'],[' 3.33927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.19174e+07'],[' 3.07384e+07'],[' 0'],[' 1.85935e+10'],[' 0'],[' 0'],[' 626 '],[' 1101 '],[' 1859 '],[' 2308 '],[' 2764 '],[' 1 '],[' 4 ']
Solving...,TA45, ,[' 1261'],[' 636'],"[' 8.149s (Solving', ' 6.41s 1st Model', ' 1.06s Unsat', ' 1.86s)']",[' 8.000s'], ,[' 1458494 '],"[' 198348   (Analyzed', ' 94363)']","[' 613      (Average', ' 153.94 Last', ' 862)']",[' 1370.7  '],"[' 636      (Average Length', ' 307.14 Splits', ' 0)']","[' 94363    (Deleted', ' 85785)']","[' 66       (Ratio', '   0.07%)']","[' 795      (Ratio', '   0.84%)']","[' 94363    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 94363    (Average', '  7.25 Max', ' 1587 Sum', ' 683977)']","[' 94275    (Average', '  7.20 Max', ' 1587 Sum', ' 679183 Ratio', '  99.30%)']","[' 88       (Average', ' 54.48 Max', ' 307 Sum', '   4794 Ratio', '   0.70%)']", ,[' 41465   '],[' 2318    '],[' 41469   '],[' 22459   '],"[' 67373    (Atom=Atom', ' 20739 Body=Body', ' 11588 Other', ' 35046)']",[' Yes'],"[' 2922     (Eliminated', '    0 Frozen', ' 2922)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.49638'],[' 0'], ,[' 2.85994'],[' 0'],[' 0.0979914'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.21631e+06'],[' 6.45018e+06'],[' 0'],[' 2.25982e+08'],[' 0'],[' 0'],[' 571 '],[' 1144 '],[' 1619 '],[' 2047 '],[' 2569 '],[' 0 '],[' 5 ']
Solving...,TA46, ,[' 1455'],[' 733'],"[' 405.875s (Solving', ' 403.81s 1st Model', ' 1.31s Unsat', ' 0.55s)']",[' 405.578s'], ,[' 36433245'],"[' 23098367 (Analyzed', ' 23054663)']","[' 40111    (Average', ' 574.77 Last', ' 39647)']",[' 1307.6  '],"[' 733      (Average Length', ' 350.67 Splits', ' 0)']","[' 23054663 (Deleted', ' 22683889)']","[' 31       (Ratio', '   0.00%)']","[' 1531     (Ratio', '   0.01%)']","[' 23054663 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23054663 (Average', '  1.53 Max', ' 1483 Sum', ' 35158411)']","[' 23054492 (Average', '  1.52 Max', ' 1483 Sum', ' 35115894 Ratio', '  99.88%)']","[' 171      (Average', ' 248.64 Max', ' 504 Sum', '  42517 Ratio', '   0.12%)']", ,[' 41794   '],[' 2394    '],[' 41885   '],[' 22594   '],"[' 67778    (Atom=Atom', ' 20798 Body=Body', ' 11664 Other', ' 35316)']",[' Yes'],"[' 3085     (Eliminated', '    0 Frozen', ' 3085)']","[' 283      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.512272'],[' 0'], ,[' 266.464'],[' 0'],[' 6.27173'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06409e+08'],[' 5.18638e+07'],[' 0'],[' 2.82036e+10'],[' 0'],[' 0'],[' 679 '],[' 1146 '],[' 1767 '],[' 2248 '],[' 2789 '],[' 2 '],[' 3 ']
UNKNOWN,TA47,[' 1289+'],[' 650'],"[' 407.345s (Solving', ' 405.70s 1st Model', ' 0.92s Unsat', ' 4.28s)']",[' 406.703s'], ,[' 15114343'],"[' 9047847  (Analyzed', ' 8995595)']","[' 17887    (Average', ' 502.91 Last', ' 9944)']",[' 1258.9  '],"[' 650      (Average Length', ' 307.23 Splits', ' 0)']","[' 8995595  (Deleted', ' 8853288)']","[' 28       (Ratio', '   0.00%)']","[' 1413     (Ratio', '   0.02%)']","[' 8995595  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8995595  (Average', '  1.58 Max', ' 1585 Sum', ' 14243038)']","[' 8995500  (Average', '  1.58 Max', ' 1585 Sum', ' 14223579 Ratio', '  99.86%)']","[' 95       (Average', ' 204.83 Max', ' 503 Sum', '  19459 Ratio', '   0.14%)']", ,[' 41669   '],[' 2364    '],[' 41677   '],[' 22507   '],"[' 67517    (Atom=Atom', ' 20741 Body=Body', ' 11634 Other', ' 35142)']",[' Yes'],"[' 2972     (Eliminated', '    0 Frozen', ' 2972)']","[' 76       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.438828'],[' 0'], ,[' 346.984'],[' 0'],[' 5.87911'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.6469e+07'],[' 2.45184e+07'],[' 0'],[' 4.7984e+10'],[' 0'],[' 0'],[' 631 '],[' 1073 '],[' 1753 '],[' 2247 '],[' 2906 '],[' 2 '],[' 3 ']
Solving...,TA48, ,[' 1215'],[' 613'],"[' 208.125s (Solving', ' 206.08s 1st Model', ' 0.87s Unsat', ' 2.98s)']",[' 207.297s'], ,[' 24538682'],"[' 17543762 (Analyzed', ' 17515141)']","[' 31595    (Average', ' 554.36 Last', ' 1882)']",[' 1280.9  '],"[' 613      (Average Length', ' 294.18 Splits', ' 0)']","[' 17515141 (Deleted', ' 17254261)']","[' 53       (Ratio', '   0.00%)']","[' 998      (Ratio', '   0.01%)']","[' 17515141 (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17515141 (Average', '  1.34 Max', ' 1514 Sum', ' 23542481)']","[' 17514993 (Average', '  1.34 Max', ' 1514 Sum', ' 23528902 Ratio', '  99.94%)']","[' 148      (Average', ' 91.75 Max', ' 418 Sum', '  13579 Ratio', '   0.06%)']", ,[' 41359   '],[' 2313    '],[' 41340   '],[' 21969   '],"[' 65903    (Atom=Atom', ' 20254 Body=Body', ' 11583 Other', ' 34066)']",[' Yes'],"[' 2894     (Eliminated', '    0 Frozen', ' 2894)']","[' 110      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.447828'],[' 0'], ,[' 97.9755'],[' 0'],[' 3.04942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.55385e+07'],[' 3.57602e+07'],[' 0'],[' 6.49455e+09'],[' 0'],[' 0'],[' 669 '],[' 1277 '],[' 1762 '],[' 2243 '],[' 2749 '],[' 1 '],[' 4 ']
UNKNOWN,TA49,[' 1211+'],[' 611'],"[' 403.351s (Solving', ' 401.60s 1st Model', ' 2.47s Unsat', ' 0.52s)']",[' 403.125s'], ,[' 14496302'],"[' 8899629  (Analyzed', ' 8790402)']","[' 16901    (Average', ' 520.11 Last', ' 24249)']",[' 1226.1  '],"[' 611      (Average Length', ' 292.45 Splits', ' 0)']","[' 8790402  (Deleted', ' 8656841)']","[' 37       (Ratio', '   0.00%)']","[' 1435     (Ratio', '   0.02%)']","[' 8790402  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8790402  (Average', '  1.55 Max', ' 1509 Sum', ' 13650887)']","[' 8790234  (Average', '  1.55 Max', ' 1509 Sum', ' 13608605 Ratio', '  99.69%)']","[' 168      (Average', ' 251.68 Max', ' 480 Sum', '  42282 Ratio', '   0.31%)']", ,[' 41841   '],[' 2379    '],[' 41814   '],[' 22529   '],"[' 67583    (Atom=Atom', ' 20748 Body=Body', ' 11649 Other', ' 35186)']",[' Yes'],"[' 2952     (Eliminated', '    0 Frozen', ' 2952)']","[' 120      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.427072'],[' 0'], ,[' 344.009'],[' 0'],[' 5.78123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.49525e+07'],[' 2.38854e+07'],[' 0'],[' 5.03328e+10'],[' 0'],[' 0'],[' 596 '],[' 1108 '],[' 1665 '],[' 2171 '],[' 2832 '],[' 2 '],[' 3 ']
UNKNOWN,TA50,[' 1417+'],[' 714'],"[' 220.967s (Solving', ' 219.19s 1st Model', ' 0.95s Unsat', ' 15.97s)']",[' 220.719s'], ,[' 6851814 '],"[' 3613232  (Analyzed', ' 3404987)']","[' 7817     (Average', ' 435.59 Last', ' 21736)']",[' 1280.9  '],"[' 714      (Average Length', ' 339.20 Splits', ' 0)']","[' 3404987  (Deleted', ' 3331585)']","[' 49       (Ratio', '   0.00%)']","[' 1152     (Ratio', '   0.03%)']","[' 3404987  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3404987  (Average', '  1.73 Max', ' 1568 Sum', ' 5903700)']","[' 3404914  (Average', '  1.73 Max', ' 1568 Sum', ' 5887424 Ratio', '  99.72%)']","[' 73       (Average', ' 222.96 Max', ' 533 Sum', '  16276 Ratio', '   0.28%)']", ,[' 41294   '],[' 2297    '],[' 41358   '],[' 22406   '],"[' 67214    (Atom=Atom', ' 20707 Body=Body', ' 11567 Other', ' 34940)']",[' Yes'],"[' 2961     (Eliminated', '    0 Frozen', ' 2961)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.466006'],[' 0'], ,[' 192.777'],[' 0'],[' 3.17521'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.18947e+07'],[' 1.26271e+07'],[' 0'],[' 3.00348e+10'],[' 0'],[' 0'],[' 555 '],[' 1032 '],[' 1554 '],[' 1949 '],[' 2675 '],[' 1 '],[' 4 ']
