Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 5219+'],[' 2616'],"[' 1011.060s (Solving', ' 964.74s 1st Model', ' 63.77s Unsat', ' 0.00s)']",[' 1008.859s'], ,[' 208261409'],"[' 9508074  (Analyzed', ' 8601592)']","[' 16786    (Average', ' 512.43 Last', ' 254771)']",[' 8941.8  '],"[' 2616     (Average Length', ' 1224.45 Splits', ' 0)']","[' 8601592  (Deleted', ' 8492329)']","[' 28       (Ratio', '   0.00%)']","[' 21100    (Ratio', '   0.25%)']","[' 8601592  (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8601592  (Average', ' 21.99 Max', ' 12336 Sum', ' 189136795)']","[' 8599102  (Average', ' 21.68 Max', ' 12336 Sum', ' 186470216 Ratio', '  98.59%)']","[' 2490     (Average', ' 1070.92 Max', ' 1858 Sum', ' 2666579 Ratio', '   1.41%)']", ,[' 387144  '],[' 18721   '],[' 387545  '],[' 227267  '],"[' 681797   (Atom=Atom', ' 210544 Body=Body', ' 119621 Other', ' 351632)']",[' Yes'],"[' 21122    (Eliminated', '    0 Frozen', ' 21122)']","[' 3903     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.15991'],[' 0'], ,[' 795.01'],[' 0'],[' 17.2546'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.42038e+08'],[' 5.88856e+08'],[' 0'],[' 9.95598e+10'],[' 0'],[' 0'],[' 1516 '],[' 2712 '],[' 3776 '],[' 5561 '],[' 6664 '],[' 7852 '],[' 6 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 5281+'],[' 2647'],"[' 1011.261s (Solving', ' 964.69s 1st Model', ' 63.94s Unsat', ' 0.00s)']",[' 1009.953s'], ,[' 191621276'],"[' 11420374 (Analyzed', ' 10322696)']","[' 20151    (Average', ' 512.27 Last', ' 39822)']",[' 8868.6  '],"[' 2647     (Average Length', ' 1251.80 Splits', ' 0)']","[' 10322696 (Deleted', ' 10193741)']","[' 27       (Ratio', '   0.00%)']","[' 21779    (Ratio', '   0.21%)']","[' 10322696 (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10322696 (Average', ' 16.68 Max', ' 12091 Sum', ' 172183489)']","[' 10320532 (Average', ' 16.44 Max', ' 12091 Sum', ' 169755831 Ratio', '  98.59%)']","[' 2164     (Average', ' 1121.84 Max', ' 1918 Sum', ' 2427658 Ratio', '   1.41%)']", ,[' 383889  '],[' 18447   '],[' 384351  '],[' 226750  '],"[' 680246   (Atom=Atom', ' 210301 Body=Body', ' 119347 Other', ' 350598)']",[' Yes'],"[' 20909    (Eliminated', '    0 Frozen', ' 20909)']","[' 4304     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.24785'],[' 0'], ,[' 794.575'],[' 0'],[' 17.0045'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.07733e+08'],[' 5.5103e+08'],[' 0'],[' 1.00251e+11'],[' 0'],[' 0'],[' 1283 '],[' 2490 '],[' 3895 '],[' 5219 '],[' 6283 '],[' 7581 '],[' 6 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 5635+'],[' 2824'],"[' 1012.527s (Solving', ' 961.18s 1st Model', ' 72.37s Unsat', ' 0.00s)']",[' 1011.281s'], ,[' 242290331'],"[' 11830610 (Analyzed', ' 10883833)']","[' 20983    (Average', ' 518.70 Last', ' 17216)']",[' 9366.4  '],"[' 2824     (Average Length', ' 1318.74 Splits', ' 0)']","[' 10883833 (Deleted', ' 10760765)']","[' 31       (Ratio', '   0.00%)']","[' 21047    (Ratio', '   0.19%)']","[' 10883833 (Average Length', '   25.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10883833 (Average', ' 20.31 Max', ' 12183 Sum', ' 221043269)']","[' 10881357 (Average', ' 20.02 Max', ' 12183 Sum', ' 217892411 Ratio', '  98.57%)']","[' 2476     (Average', ' 1272.56 Max', ' 2004 Sum', ' 3150858 Ratio', '   1.43%)']", ,[' 386479  '],[' 18600   '],[' 387083  '],[' 228606  '],"[' 685814   (Atom=Atom', ' 212004 Body=Body', ' 119500 Other', ' 354310)']",[' Yes'],"[' 21204    (Eliminated', '    0 Frozen', ' 21204)']","[' 3653     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.2329'],[' 0'], ,[' 771.662'],[' 0'],[' 18.5879'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.18314e+08'],[' 6.57019e+08'],[' 0'],[' 9.41456e+10'],[' 0'],[' 0'],[' 1570 '],[' 2927 '],[' 4081 '],[' 5309 '],[' 6474 '],[' 7656 '],[' 6 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 5779+'],[' 2896'],"[' 1010.908s (Solving', ' 962.52s 1st Model', ' 66.62s Unsat', ' 0.00s)']",[' 1009.563s'], ,[' 190599324'],"[' 8029064  (Analyzed', ' 7548052)']","[' 16334    (Average', ' 462.11 Last', ' 7706)']",[' 8024.1  '],"[' 2896     (Average Length', ' 1349.82 Splits', ' 0)']","[' 7548052  (Deleted', ' 7432728)']","[' 64       (Ratio', '   0.00%)']","[' 28913    (Ratio', '   0.38%)']","[' 7548052  (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7548052  (Average', ' 22.89 Max', ' 11442 Sum', ' 172779350)']","[' 7545905  (Average', ' 22.54 Max', ' 11442 Sum', ' 170121945 Ratio', '  98.46%)']","[' 2147     (Average', ' 1237.73 Max', ' 2131 Sum', ' 2657405 Ratio', '   1.54%)']", ,[' 382819  '],[' 18331   '],[' 383455  '],[' 224493  '],"[' 673475   (Atom=Atom', ' 208160 Body=Body', ' 119231 Other', ' 346084)']",[' Yes'],"[' 20967    (Eliminated', '    0 Frozen', ' 20967)']","[' 5335     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.7084'],[' 0'], ,[' 779.694'],[' 0'],[' 16.1166'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.8268e+08'],[' 6.12971e+08'],[' 0'],[' 9.70289e+10'],[' 0'],[' 0'],[' 1108 '],[' 2340 '],[' 3530 '],[' 4755 '],[' 5818 '],[' 6904 '],[' 6 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 5773+'],[' 2893'],"[' 1011.746s (Solving', ' 962.80s 1st Model', ' 63.07s Unsat', ' 0.00s)']",[' 1009.000s'], ,[' 190571999'],"[' 12422257 (Analyzed', ' 11451894)']","[' 22693    (Average', ' 504.64 Last', ' 38905)']",[' 8512.5  '],"[' 2893     (Average Length', ' 1348.55 Splits', ' 0)']","[' 11451894 (Deleted', ' 11316325)']","[' 34       (Ratio', '   0.00%)']","[' 18187    (Ratio', '   0.16%)']","[' 11451894 (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11451894 (Average', ' 15.01 Max', ' 12127 Sum', ' 171836596)']","[' 11448998 (Average', ' 14.68 Max', ' 12127 Sum', ' 168084733 Ratio', '  97.82%)']","[' 2896     (Average', ' 1295.53 Max', ' 2598 Sum', ' 3751863 Ratio', '   2.18%)']", ,[' 386425  '],[' 18815   '],[' 387072  '],[' 226892  '],"[' 680672   (Atom=Atom', ' 210075 Body=Body', ' 119715 Other', ' 350882)']",[' Yes'],"[' 21462    (Eliminated', '    0 Frozen', ' 21462)']","[' 3433     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.43305'],[' 0'], ,[' 791.911'],[' 0'],[' 16.463'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.04272e+08'],[' 5.45753e+08'],[' 0'],[' 9.6676e+10'],[' 0'],[' 0'],[' 1261 '],[' 2436 '],[' 3599 '],[' 4995 '],[' 6123 '],[' 7529 '],[' 6 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 5695+'],[' 2854'],"[' 1011.749s (Solving', ' 961.95s 1st Model', ' 62.36s Unsat', ' 0.00s)']",[' 1008.875s'], ,[' 192633304'],"[' 11001464 (Analyzed', ' 10251307)']","[' 19350    (Average', ' 529.78 Last', ' 39460)']",[' 7946.2  '],"[' 2854     (Average Length', ' 1326.79 Splits', ' 0)']","[' 10251307 (Deleted', ' 10116788)']","[' 37       (Ratio', '   0.00%)']","[' 21967    (Ratio', '   0.21%)']","[' 10251307 (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10251307 (Average', ' 17.14 Max', ' 11056 Sum', ' 175743075)']","[' 10248342 (Average', ' 16.81 Max', ' 11056 Sum', ' 172302587 Ratio', '  98.04%)']","[' 2965     (Average', ' 1160.37 Max', ' 2149 Sum', ' 3440488 Ratio', '   1.96%)']", ,[' 382384  '],[' 18519   '],[' 382987  '],[' 221879  '],"[' 665633   (Atom=Atom', ' 205358 Body=Body', ' 119419 Other', ' 340856)']",[' Yes'],"[' 21122    (Eliminated', '    0 Frozen', ' 21122)']","[' 4253     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.51899'],[' 0'], ,[' 791.46'],[' 0'],[' 16.7009'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.27492e+08'],[' 5.70847e+08'],[' 0'],[' 9.52295e+10'],[' 0'],[' 0'],[' 1287 '],[' 2466 '],[' 3479 '],[' 4789 '],[' 5868 '],[' 7135 '],[' 6 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 5449+'],[' 2731'],"[' 1012.022s (Solving', ' 966.03s 1st Model', ' 63.81s Unsat', ' 0.00s)']",[' 1009.953s'], ,[' 185672162'],"[' 10793779 (Analyzed', ' 9662300)']","[' 18921    (Average', ' 510.67 Last', ' 28023)']",[' 8225.3  '],"[' 2731     (Average Length', ' 1260.57 Splits', ' 0)']","[' 9662300  (Deleted', ' 9547118)']","[' 33       (Ratio', '   0.00%)']","[' 20473    (Ratio', '   0.21%)']","[' 9662300  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9662300  (Average', ' 17.48 Max', ' 11261 Sum', ' 168923786)']","[' 9659307  (Average', ' 17.07 Max', ' 11261 Sum', ' 164922066 Ratio', '  97.63%)']","[' 2993     (Average', ' 1337.03 Max', ' 2021 Sum', ' 4001720 Ratio', '   2.37%)']", ,[' 382055  '],[' 18440   '],[' 382526  '],[' 224095  '],"[' 672281   (Atom=Atom', ' 207653 Body=Body', ' 119340 Other', ' 345288)']",[' Yes'],"[' 20911    (Eliminated', '    0 Frozen', ' 20911)']","[' 3875     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.89903'],[' 0'], ,[' 806.905'],[' 0'],[' 16.7018'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.74897e+08'],[' 5.22769e+08'],[' 0'],[' 1.01086e+11'],[' 0'],[' 0'],[' 1332 '],[' 2412 '],[' 3594 '],[' 4755 '],[' 5961 '],[' 7157 '],[' 6 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 5791+'],[' 2902'],"[' 1012.476s (Solving', ' 961.87s 1st Model', ' 57.72s Unsat', ' 0.00s)']",[' 1011.109s'], ,[' 190290002'],"[' 14201693 (Analyzed', ' 13173647)']","[' 25191    (Average', ' 522.95 Last', ' 19776)']",[' 8807.0  '],"[' 2902     (Average Length', ' 1352.58 Splits', ' 0)']","[' 13173647 (Deleted', ' 13016129)']","[' 28       (Ratio', '   0.00%)']","[' 18227    (Ratio', '   0.14%)']","[' 13173647 (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13173647 (Average', ' 12.96 Max', ' 11722 Sum', ' 170795177)']","[' 13170609 (Average', ' 12.67 Max', ' 11722 Sum', ' 166923927 Ratio', '  97.73%)']","[' 3038     (Average', ' 1274.28 Max', ' 2117 Sum', ' 3871250 Ratio', '   2.27%)']", ,[' 382935  '],[' 18577   '],[' 383593  '],[' 224315  '],"[' 672941   (Atom=Atom', ' 207736 Body=Body', ' 119477 Other', ' 345728)']",[' Yes'],"[' 21235    (Eliminated', '    0 Frozen', ' 21235)']","[' 3379     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.77476'],[' 0'], ,[' 785.873'],[' 0'],[' 16.4018'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.13909e+08'],[' 5.56821e+08'],[' 0'],[' 9.60583e+10'],[' 0'],[' 0'],[' 1324 '],[' 2552 '],[' 3734 '],[' 5055 '],[' 6382 '],[' 7646 '],[' 6 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 6019+'],[' 3016'],"[' 1012.507s (Solving', ' 960.57s 1st Model', ' 72.14s Unsat', ' 0.00s)']",[' 1011.422s'], ,[' 223413297'],"[' 7838239  (Analyzed', ' 7315922)']","[' 15440    (Average', ' 473.83 Last', ' 13479)']",[' 7687.1  '],"[' 3016     (Average Length', ' 1394.41 Splits', ' 0)']","[' 7315922  (Deleted', ' 7188487)']","[' 58       (Ratio', '   0.00%)']","[' 36140    (Ratio', '   0.49%)']","[' 7315922  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7315922  (Average', ' 28.36 Max', ' 10326 Sum', ' 207460367)']","[' 7313177  (Average', ' 27.79 Max', ' 10326 Sum', ' 203319437 Ratio', '  98.00%)']","[' 2745     (Average', ' 1508.54 Max', ' 2175 Sum', ' 4140930 Ratio', '   2.00%)']", ,[' 384379  '],[' 18536   '],[' 385120  '],[' 225708  '],"[' 677120   (Atom=Atom', ' 209170 Body=Body', ' 119436 Other', ' 348514)']",[' Yes'],"[' 21277    (Eliminated', '    0 Frozen', ' 21277)']","[' 6940     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.98159'],[' 0'], ,[' 753.425'],[' 0'],[' 18.1283'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.63496e+08'],[' 7.8901e+08'],[' 0'],[' 9.3775e+10'],[' 0'],[' 0'],[' 1089 '],[' 2203 '],[' 3313 '],[' 4523 '],[' 5774 '],[' 6779 '],[' 6 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 5533+'],[' 2773'],"[' 1012.260s (Solving', ' 963.11s 1st Model', ' 71.60s Unsat', ' 0.00s)']",[' 1010.000s'], ,[' 217854173'],"[' 8714809  (Analyzed', ' 8066879)']","[' 16725    (Average', ' 482.32 Last', ' 22388)']",[' 8230.0  '],"[' 2773     (Average Length', ' 1290.64 Splits', ' 0)']","[' 8066879  (Deleted', ' 7950308)']","[' 56       (Ratio', '   0.00%)']","[' 31357    (Ratio', '   0.39%)']","[' 8066879  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8066879  (Average', ' 24.90 Max', ' 11154 Sum', ' 200896899)']","[' 8063956  (Average', ' 24.45 Max', ' 11154 Sum', ' 197226895 Ratio', '  98.17%)']","[' 2923     (Average', ' 1255.56 Max', ' 2024 Sum', ' 3670004 Ratio', '   1.83%)']", ,[' 385111  '],[' 18876   '],[' 385609  '],[' 226385  '],"[' 679151   (Atom=Atom', ' 209507 Body=Body', ' 119776 Other', ' 349868)']",[' Yes'],"[' 21374    (Eliminated', '    0 Frozen', ' 21374)']","[' 5708     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.40958'],[' 0'], ,[' 780.189'],[' 0'],[' 17.5568'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.07733e+08'],[' 6.45062e+08'],[' 0'],[' 9.7106e+10'],[' 0'],[' 0'],[' 1440 '],[' 2619 '],[' 3823 '],[' 5148 '],[' 6273 '],[' 7340 '],[' 6 '],[' 0 ']
