Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA31, , , ,[' 677'],[' 345'],"[' 3.161s (Solving', ' 2.24s 1st Model', ' 0.23s Unsat', ' 0.17s)']",[' 3.109s'], ,[' 417379  '],"[' 126431   (Analyzed', ' 11243)']","[' 291      (Average', ' 38.64 Last', ' 193)']",[' 772.0   '],"[' 345      (Average Length', ' 166.08 Splits', ' 0)']","[' 11243    (Deleted', ' 4103)']","[' 53       (Ratio', '   0.47%)']","[' 317      (Ratio', '   2.82%)']","[' 11243    (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11243    (Average', '  8.59 Max', ' 348 Sum', '  96603)']","[' 11190    (Average', '  8.59 Max', ' 348 Sum', '  96550 Ratio', '  99.95%)']","[' 53       (Average', '  1.00 Max', '   1 Sum', '     53 Ratio', '   0.05%)']", ,[' 30322   '],[' 1519    '],[' 30200   '],[' 16223   '],"[' 48665    (Atom=Atom', ' 15152 Body=Body', ' 8464 Other', ' 25049)']",[' Yes'],"[' 1847     (Eliminated', '    0 Frozen', ' 1847)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.226503'],[' 0'], ,[' 1.15315'],[' 0'],[' 0.0258289'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.57355e+06'],[' 2.28912e+06'],[' 0'],[' 1.01036e+08'],[' 0'],[' 0'],[' 413 '],[' 836 '],[' 1232 '],[' 1657 '],[' 2025 '],[' 2411 '],[' 0 '],[' 6 ']
Solving...,TA32, , , ,[' 651'],[' 332'],"[' 38.688s (Solving', ' 37.91s 1st Model', ' 0.31s Unsat', ' 35.42s)']",[' 38.594s'], ,[' 1775068 '],"[' 1120565  (Analyzed', ' 972382)']","[' 2539     (Average', ' 382.98 Last', ' 260)']",[' 897.7   '],"[' 332      (Average Length', ' 160.36 Splits', ' 0)']","[' 972382   (Deleted', ' 947809)']","[' 51       (Ratio', '   0.01%)']","[' 780      (Ratio', '   0.08%)']","[' 972382   (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 972382   (Average', '  1.40 Max', ' 768 Sum', ' 1365769)']","[' 972325   (Average', '  1.40 Max', ' 768 Sum', ' 1363711 Ratio', '  99.85%)']","[' 57       (Average', ' 36.11 Max', ' 228 Sum', '   2058 Ratio', '   0.15%)']", ,[' 31131   '],[' 1588    '],[' 31001   '],[' 16847   '],"[' 50537    (Atom=Atom', ' 15707 Body=Body', ' 8533 Other', ' 26297)']",[' Yes'],"[' 1908     (Eliminated', '    0 Frozen', ' 1908)']","[' 11       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.219827'],[' 0'], ,[' 30.9258'],[' 0'],[' 0.586134'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.92725e+06'],[' 4.32693e+06'],[' 0'],[' 5.12992e+09'],[' 0'],[' 0'],[' 486 '],[' 1017 '],[' 1338 '],[' 1616 '],[' 2102 '],[' 2531 '],[' 0 '],[' 6 ']
Solving...,TA33, , , ,[' 589'],[' 301'],"[' 168.689s (Solving', ' 168.00s 1st Model', ' 0.23s Unsat', ' 0.17s)']",[' 168.250s'], ,[' 11937245'],"[' 7375492  (Analyzed', ' 7345368)']","[' 13849    (Average', ' 530.39 Last', ' 929)']",[' 739.7   '],"[' 301      (Average Length', ' 145.02 Splits', ' 0)']","[' 7345368  (Deleted', ' 7251632)']","[' 44       (Ratio', '   0.00%)']","[' 864      (Ratio', '   0.01%)']","[' 7345368  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7345368  (Average', '  1.56 Max', ' 984 Sum', ' 11492742)']","[' 7345300  (Average', '  1.56 Max', ' 984 Sum', ' 11487448 Ratio', '  99.95%)']","[' 68       (Average', ' 77.85 Max', ' 330 Sum', '   5294 Ratio', '   0.05%)']", ,[' 30494   '],[' 1560    '],[' 30332   '],[' 16454   '],"[' 49358    (Atom=Atom', ' 15342 Body=Body', ' 8505 Other', ' 25511)']",[' Yes'],"[' 1848     (Eliminated', '    0 Frozen', ' 1848)']","[' 118      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.173907'],[' 0'], ,[' 128.829'],[' 0'],[' 3.01814'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.21651e+07'],[' 1.45813e+07'],[' 0'],[' 1.65203e+10'],[' 0'],[' 0'],[' 464 '],[' 842 '],[' 1426 '],[' 1867 '],[' 2255 '],[' 2707 '],[' 1 '],[' 5 ']
Solving...,TA34, , , ,[' 573'],[' 293'],"[' 90.172s (Solving', ' 89.36s 1st Model', ' 0.23s Unsat', ' 87.78s)']",[' 90.031s'], ,[' 2986667 '],"[' 2081575  (Analyzed', ' 2006810)']","[' 4600     (Average', ' 436.26 Last', ' 50075)']",[' 783.1   '],"[' 293      (Average Length', ' 141.24 Splits', ' 0)']","[' 2006810  (Deleted', ' 1973193)']","[' 63       (Ratio', '   0.00%)']","[' 858      (Ratio', '   0.04%)']","[' 2006810  (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2006810  (Average', '  1.34 Max', ' 969 Sum', ' 2692015)']","[' 2006748  (Average', '  1.34 Max', ' 969 Sum', ' 2691785 Ratio', '  99.99%)']","[' 62       (Average', '  3.71 Max', ' 169 Sum', '    230 Ratio', '   0.01%)']", ,[' 30080   '],[' 1504    '],[' 29911   '],[' 16070   '],"[' 48206    (Atom=Atom', ' 15014 Body=Body', ' 8449 Other', ' 24743)']",[' Yes'],"[' 1785     (Eliminated', '    0 Frozen', ' 1785)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.183345'],[' 0'], ,[' 76.0111'],[' 0'],[' 1.37377'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00586e+07'],[' 5.26847e+06'],[' 0'],[' 1.35839e+10'],[' 0'],[' 0'],[' 510 '],[' 911 '],[' 1340 '],[' 1703 '],[' 2160 '],[' 2802 '],[' 0 '],[' 6 ']
Solving...,TA35, , , ,[' 445'],[' 229'],"[' 11.844s (Solving', ' 11.20s 1st Model', ' 0.23s Unsat', ' 10.28s)']",[' 11.766s'], ,[' 1395891 '],"[' 675482   (Analyzed', ' 668457)']","[' 1899     (Average', ' 352.00 Last', ' 250)']",[' 746.9   '],"[' 229      (Average Length', ' 110.17 Splits', ' 0)']","[' 668457   (Deleted', ' 650524)']","[' 70       (Ratio', '   0.01%)']","[' 1025     (Ratio', '   0.15%)']","[' 668457   (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 668457   (Average', '  1.85 Max', ' 1004 Sum', ' 1234689)']","[' 668370   (Average', '  1.84 Max', ' 1004 Sum', ' 1232129 Ratio', '  99.79%)']","[' 87       (Average', ' 29.43 Max', ' 168 Sum', '   2560 Ratio', '   0.21%)']", ,[' 30655   '],[' 1582    '],[' 30425   '],[' 16684   '],"[' 50048    (Atom=Atom', ' 15550 Body=Body', ' 8527 Other', ' 25971)']",[' Yes'],"[' 1802     (Eliminated', '    0 Frozen', ' 1802)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.14548'],[' 0'], ,[' 7.09455'],[' 0'],[' 0.192781'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.56629e+06'],[' 2.98784e+06'],[' 0'],[' 8.71574e+08'],[' 0'],[' 0'],[' 484 '],[' 1007 '],[' 1318 '],[' 1726 '],[' 2287 '],[' 2800 '],[' 0 '],[' 6 ']
Solving...,TA36, , , ,[' 673'],[' 343'],"[' 4.547s (Solving', ' 3.72s 1st Model', ' 0.36s Unsat', ' 1.83s)']",[' 4.484s'], ,[' 509702  '],"[' 149318   (Analyzed', ' 65658)']","[' 490      (Average', ' 134.00 Last', ' 963)']",[' 818.6   '],"[' 343      (Average Length', ' 166.57 Splits', ' 0)']","[' 65658    (Deleted', ' 59076)']","[' 47       (Ratio', '   0.07%)']","[' 500      (Ratio', '   0.76%)']","[' 65658    (Average Length', '    8.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 65658    (Average', '  3.13 Max', ' 1027 Sum', ' 205601)']","[' 65605    (Average', '  3.12 Max', ' 1027 Sum', ' 204663 Ratio', '  99.54%)']","[' 53       (Average', ' 17.70 Max', ' 205 Sum', '    938 Ratio', '   0.46%)']", ,[' 30421   '],[' 1545    '],[' 30304   '],[' 16419   '],"[' 49253    (Atom=Atom', ' 15322 Body=Body', ' 8490 Other', ' 25441)']",[' Yes'],"[' 1878     (Eliminated', '    0 Frozen', ' 1878)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.209368'],[' 0'], ,[' 2.22726'],[' 0'],[' 0.0506179'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.87072e+06'],[' 2.48754e+06'],[' 0'],[' 2.94804e+08'],[' 0'],[' 0'],[' 492 '],[' 900 '],[' 1272 '],[' 1627 '],[' 2074 '],[' 2511 '],[' 0 '],[' 6 ']
Solving...,TA37, , , ,[' 691'],[' 352'],"[' 13.789s (Solving', ' 13.03s 1st Model', ' 0.31s Unsat', ' 11.50s)']",[' 13.734s'], ,[' 751805  '],"[' 371134   (Analyzed', ' 314960)']","[' 1063     (Average', ' 296.29 Last', ' 581)']",[' 721.1   '],"[' 352      (Average Length', ' 171.12 Splits', ' 0)']","[' 314960   (Deleted', ' 305827)']","[' 53       (Ratio', '   0.02%)']","[' 580      (Ratio', '   0.18%)']","[' 314960   (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 314960   (Average', '  1.59 Max', ' 986 Sum', ' 502171)']","[' 314896   (Average', '  1.58 Max', ' 986 Sum', ' 497817 Ratio', '  99.13%)']","[' 64       (Average', ' 68.03 Max', ' 259 Sum', '   4354 Ratio', '   0.87%)']", ,[' 30215   '],[' 1527    '],[' 30104   '],[' 16160   '],"[' 48476    (Atom=Atom', ' 15081 Body=Body', ' 8472 Other', ' 24923)']",[' Yes'],"[' 1866     (Eliminated', '    0 Frozen', ' 1866)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.181723'],[' 0'], ,[' 10.2588'],[' 0'],[' 0.209982'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.28256e+06'],[' 2.35681e+06'],[' 0'],[' 1.69937e+09'],[' 0'],[' 0'],[' 370 '],[' 756 '],[' 1176 '],[' 1563 '],[' 2097 '],[' 2554 '],[' 0 '],[' 6 ']
Solving...,TA38, , , ,[' 563'],[' 288'],"[' 91.862s (Solving', ' 91.30s 1st Model', ' 0.25s Unsat', ' 89.16s)']",[' 91.656s'], ,[' 3666839 '],"[' 2603783  (Analyzed', ' 2464069)']","[' 5525     (Average', ' 445.99 Last', ' 10698)']",[' 873.1   '],"[' 288      (Average Length', ' 139.84 Splits', ' 0)']","[' 2464069  (Deleted', ' 2423221)']","[' 53       (Ratio', '   0.00%)']","[' 761      (Ratio', '   0.03%)']","[' 2464069  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2464069  (Average', '  1.33 Max', ' 866 Sum', ' 3274999)']","[' 2463994  (Average', '  1.33 Max', ' 866 Sum', ' 3270546 Ratio', '  99.86%)']","[' 75       (Average', ' 59.37 Max', ' 200 Sum', '   4453 Ratio', '   0.14%)']", ,[' 30314   '],[' 1560    '],[' 30144   '],[' 16561   '],"[' 49679    (Atom=Atom', ' 15449 Body=Body', ' 8505 Other', ' 25725)']",[' Yes'],"[' 1840     (Eliminated', '    0 Frozen', ' 1840)']","[' 11       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.196839'],[' 0'], ,[' 75.989'],[' 0'],[' 1.48923'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16011e+07'],[' 5.86873e+06'],[' 0'],[' 1.27781e+10'],[' 0'],[' 0'],[' 573 '],[' 1020 '],[' 1338 '],[' 1661 '],[' 2175 '],[' 2609 '],[' 0 '],[' 6 ']
Solving...,TA39, , , ,[' 453'],[' 233'],"[' 168.484s (Solving', ' 167.94s 1st Model', ' 0.22s Unsat', ' 0.41s)']",[' 168.063s'], ,[' 24074194'],"[' 17479728 (Analyzed', ' 17471015)']","[' 32200    (Average', ' 542.58 Last', ' 553)']",[' 693.5   '],"[' 233      (Average Length', ' 112.75 Splits', ' 0)']","[' 17471015 (Deleted', ' 17254785)']","[' 46       (Ratio', '   0.00%)']","[' 829      (Ratio', '   0.00%)']","[' 17471015 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17471015 (Average', '  1.34 Max', ' 925 Sum', ' 23389333)']","[' 17470967 (Average', '  1.34 Max', ' 925 Sum', ' 23388337 Ratio', ' 100.00%)']","[' 48       (Average', ' 20.75 Max', ' 184 Sum', '    996 Ratio', '   0.00%)']", ,[' 30795   '],[' 1551    '],[' 30569   '],[' 16651   '],"[' 49949    (Atom=Atom', ' 15548 Body=Body', ' 8496 Other', ' 25905)']",[' Yes'],"[' 1775     (Eliminated', '    0 Frozen', ' 1775)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.134027'],[' 0'], ,[' 74.905'],[' 0'],[' 2.58592'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.30904e+07'],[' 2.36324e+07'],[' 0'],[' 5.09651e+09'],[' 0'],[' 0'],[' 641 '],[' 997 '],[' 1468 '],[' 1896 '],[' 2233 '],[' 2576 '],[' 1 '],[' 5 ']
Solving...,TA40, , , ,[' 521'],[' 267'],"[' 169.343s (Solving', ' 168.73s 1st Model', ' 0.11s Unsat', ' 0.66s)']",[' 169.203s'], ,[' 5707101 '],"[' 4398103  (Analyzed', ' 4302685)']","[' 8635     (Average', ' 498.28 Last', ' 149556)']",[' 691.0   '],"[' 267      (Average Length', ' 128.34 Splits', ' 0)']","[' 4302685  (Deleted', ' 4237700)']","[' 50       (Ratio', '   0.00%)']","[' 707      (Ratio', '   0.02%)']","[' 4302685  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4302685  (Average', '  1.25 Max', ' 790 Sum', ' 5375362)']","[' 4302620  (Average', '  1.25 Max', ' 790 Sum', ' 5371649 Ratio', '  99.93%)']","[' 65       (Average', ' 57.12 Max', ' 191 Sum', '   3713 Ratio', '   0.07%)']", ,[' 30090   '],[' 1517    '],[' 29895   '],[' 16137   '],"[' 48407    (Atom=Atom', ' 15068 Body=Body', ' 8462 Other', ' 24877)']",[' Yes'],"[' 1772     (Eliminated', '    0 Frozen', ' 1772)']","[' 52       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.156888'],[' 0'], ,[' 142.392'],[' 0'],[' 2.78224'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70769e+07'],[' 7.24412e+06'],[' 0'],[' 2.35868e+10'],[' 0'],[' 0'],[' 469 '],[' 805 '],[' 1232 '],[' 1595 '],[' 2132 '],[' 2502 '],[' 1 '],[' 5 ']
