Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA31, , , ,[' 277'],[' 147'],"[' 1.290s (Solving', ' 0.76s 1st Model', ' 0.08s Unsat', ' 0.17s)']",[' 1.203s'], ,[' 108320  '],"[' 9271     (Analyzed', ' 8358)']","[' 53       (Average', ' 157.70 Last', ' 104)']",[' 461.8   '],"[' 147      (Average Length', ' 69.64 Splits', ' 0)']","[' 8358     (Deleted', ' 3519)']","[' 68       (Ratio', '   0.81%)']","[' 395      (Ratio', '   4.73%)']","[' 8358     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8358     (Average', '  6.56 Max', ' 708 Sum', '  54837)']","[' 8254     (Average', '  6.26 Max', ' 708 Sum', '  52337 Ratio', '  95.44%)']","[' 104      (Average', ' 24.04 Max', ' 114 Sum', '   2500 Ratio', '   4.56%)']", ,[' 29392   '],[' 1247    '],[' 29080   '],[' 15321   '],"[' 45959    (Atom=Atom', ' 14522 Body=Body', ' 8192 Other', ' 23245)']",[' Yes'],"[' 1385     (Eliminated', '    0 Frozen', ' 1385)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.122487'],[' 0'], ,[' 0.293402'],[' 0'],[' 0.0095714'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 881853'],[' 809864'],[' 0'],[' 2.32619e+07'],[' 0'],[' 0'],[' 326 '],[' 714 '],[' 914 '],[' 1239 '],[' 1590 '],[' 1841 '],[' 2249 '],[' 2544 '],[' 0 '],[' 8 ']
Solving...,TA32, , , ,[' 267'],[' 142'],"[' 126.812s (Solving', ' 126.19s 1st Model', ' 0.12s Unsat', ' 0.76s)']",[' 126.391s'], ,[' 5654394 '],"[' 3377094  (Analyzed', ' 3375341)']","[' 7397     (Average', ' 456.31 Last', ' 20124)']",[' 535.1   '],"[' 142      (Average Length', ' 65.74 Splits', ' 0)']","[' 3375341  (Deleted', ' 3302149)']","[' 67       (Ratio', '   0.00%)']","[' 887      (Ratio', '   0.03%)']","[' 3375341  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3375341  (Average', '  1.63 Max', ' 729 Sum', ' 5491510)']","[' 3375254  (Average', '  1.63 Max', ' 729 Sum', ' 5491105 Ratio', '  99.99%)']","[' 87       (Average', '  4.66 Max', '  89 Sum', '    405 Ratio', '   0.01%)']", ,[' 30248   '],[' 1288    '],[' 29930   '],[' 15745   '],"[' 47231    (Atom=Atom', ' 14905 Body=Body', ' 8233 Other', ' 24093)']",[' Yes'],"[' 1420     (Eliminated', '    0 Frozen', ' 1420)']","[' 17       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.137561'],[' 0'], ,[' 101.423'],[' 0'],[' 1.9794'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69157e+07'],[' 9.45066e+06'],[' 0'],[' 1.48441e+10'],[' 0'],[' 0'],[' 404 '],[' 750 '],[' 1203 '],[' 1550 '],[' 1826 '],[' 2348 '],[' 2626 '],[' 2984 '],[' 1 '],[' 7 ']
Solving...,TA33, , , ,[' 291'],[' 154'],"[' 126.216s (Solving', ' 125.68s 1st Model', ' 0.12s Unsat', ' 0.08s)']",[' 125.859s'], ,[' 6586736 '],"[' 4802632  (Analyzed', ' 4801322)']","[' 8675     (Average', ' 553.47 Last', ' 294)']",[' 514.9   '],"[' 154      (Average Length', ' 71.45 Splits', ' 0)']","[' 4801322  (Deleted', ' 4731560)']","[' 48       (Ratio', '   0.00%)']","[' 528      (Ratio', '   0.01%)']","[' 4801322  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4801322  (Average', '  1.33 Max', ' 639 Sum', ' 6397952)']","[' 4801239  (Average', '  1.33 Max', ' 639 Sum', ' 6396340 Ratio', '  99.97%)']","[' 83       (Average', ' 19.42 Max', ' 103 Sum', '   1612 Ratio', '   0.03%)']", ,[' 29590   '],[' 1254    '],[' 29283   '],[' 15375   '],"[' 46121    (Atom=Atom', ' 14569 Body=Body', ' 8199 Other', ' 23353)']",[' Yes'],"[' 1397     (Eliminated', '    0 Frozen', ' 1397)']","[' 78       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.125756'],[' 0'], ,[' 94.4915'],[' 0'],[' 2.28605'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78207e+07'],[' 6.89197e+06'],[' 0'],[' 1.2181e+10'],[' 0'],[' 0'],[' 430 '],[' 650 '],[' 953 '],[' 1515 '],[' 1809 '],[' 2144 '],[' 2463 '],[' 2834 '],[' 1 '],[' 7 ']
Solving...,TA34, , , ,[' 297'],[' 157'],"[' 1.261s (Solving', ' 0.81s 1st Model', ' 0.21s Unsat', ' 0.11s)']",[' 1.234s'], ,[' 124311  '],"[' 8630     (Analyzed', ' 7186)']","[' 56       (Average', ' 128.32 Last', ' 176)']",[' 491.9   '],"[' 157      (Average Length', ' 73.15 Splits', ' 0)']","[' 7186     (Deleted', ' 0)']","[' 57       (Ratio', '   0.79%)']","[' 375      (Ratio', '   5.22%)']","[' 7186     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7186     (Average', '  8.50 Max', ' 683 Sum', '  61070)']","[' 7094     (Average', '  8.34 Max', ' 683 Sum', '  59935 Ratio', '  98.14%)']","[' 92       (Average', ' 12.34 Max', ' 101 Sum', '   1135 Ratio', '   1.86%)']", ,[' 29246   '],[' 1246    '],[' 28942   '],[' 15212   '],"[' 45632    (Atom=Atom', ' 14414 Body=Body', ' 8191 Other', ' 23027)']",[' Yes'],"[' 1392     (Eliminated', '    0 Frozen', ' 1392)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.128925'],[' 0'], ,[' 0.260648'],[' 0'],[' 0.0090111'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06111e+06'],[' 983763'],[' 0'],[' 1.43739e+07'],[' 0'],[' 0'],[' 471 '],[' 739 '],[' 1057 '],[' 1365 '],[' 1641 '],[' 1981 '],[' 2290 '],[' 2673 '],[' 0 '],[' 8 ']
Solving...,TA35, , , ,[' 349'],[' 183'],"[' 12.293s (Solving', ' 11.70s 1st Model', ' 0.17s Unsat', ' 10.92s)']",[' 12.281s'], ,[' 456221  '],"[' 249431   (Analyzed', ' 247907)']","[' 753      (Average', ' 329.23 Last', ' 264)']",[' 523.9   '],"[' 183      (Average Length', ' 85.72 Splits', ' 0)']","[' 247907   (Deleted', ' 237949)']","[' 81       (Ratio', '   0.03%)']","[' 734      (Ratio', '   0.30%)']","[' 247907   (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 247907   (Average', '  1.51 Max', ' 715 Sum', ' 374189)']","[' 247807   (Average', '  1.51 Max', ' 715 Sum', ' 373227 Ratio', '  99.74%)']","[' 100      (Average', '  9.62 Max', ' 112 Sum', '    962 Ratio', '   0.26%)']", ,[' 29513   '],[' 1266    '],[' 29234   '],[' 15560   '],"[' 46676    (Atom=Atom', ' 14742 Body=Body', ' 8211 Other', ' 23723)']",[' Yes'],"[' 1437     (Eliminated', '    0 Frozen', ' 1437)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.152389'],[' 0'], ,[' 9.38429'],[' 0'],[' 0.177506'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.10237e+06'],[' 1.47157e+06'],[' 0'],[' 1.48085e+09'],[' 0'],[' 0'],[' 314 '],[' 610 '],[' 1083 '],[' 1226 '],[' 1565 '],[' 1837 '],[' 2297 '],[' 2627 '],[' 0 '],[' 8 ']
Solving...,TA36, , , ,[' 235'],[' 126'],"[' 1.206s (Solving', ' 0.58s 1st Model', ' 0.09s Unsat', ' 0.06s)']",[' 1.156s'], ,[' 114775  '],"[' 9520     (Analyzed', ' 6765)']","[' 60       (Average', ' 112.75 Last', ' 468)']",[' 592.6   '],"[' 126      (Average Length', ' 57.83 Splits', ' 0)']","[' 6765     (Deleted', ' 1910)']","[' 57       (Ratio', '   0.84%)']","[' 316      (Ratio', '   4.67%)']","[' 6765     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6765     (Average', '  7.27 Max', ' 724 Sum', '  49167)']","[' 6692     (Average', '  7.23 Max', ' 724 Sum', '  48916 Ratio', '  99.49%)']","[' 73       (Average', '  3.44 Max', '  27 Sum', '    251 Ratio', '   0.51%)']", ,[' 29364   '],[' 1226    '],[' 29031   '],[' 15321   '],"[' 45959    (Atom=Atom', ' 14543 Body=Body', ' 8171 Other', ' 23245)']",[' Yes'],"[' 1343     (Eliminated', '    0 Frozen', ' 1343)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.128816'],[' 0'], ,[' 0.226932'],[' 0'],[' 0.0082968'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10595e+06'],[' 1.03389e+06'],[' 0'],[' 8.6828e+06'],[' 0'],[' 0'],[' 437 '],[' 755 '],[' 1103 '],[' 1403 '],[' 1795 '],[' 2070 '],[' 2336 '],[' 2675 '],[' 0 '],[' 8 ']
Solving...,TA37, , , ,[' 339'],[' 178'],"[' 1.314s (Solving', ' 0.75s 1st Model', ' 0.09s Unsat', ' 0.08s)']",[' 1.266s'], ,[' 143793  '],"[' 5237     (Analyzed', ' 3925)']","[' 29       (Average', ' 135.34 Last', ' 128)']",[' 494.4   '],"[' 178      (Average Length', ' 84.99 Splits', ' 0)']","[' 3925     (Deleted', ' 0)']","[' 52       (Ratio', '   1.32%)']","[' 245      (Ratio', '   6.24%)']","[' 3925     (Average Length', '    5.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3925     (Average', ' 18.73 Max', ' 683 Sum', '  73497)']","[' 3855     (Average', ' 18.53 Max', ' 683 Sum', '  72747 Ratio', '  98.98%)']","[' 70       (Average', ' 10.71 Max', ' 109 Sum', '    750 Ratio', '   1.02%)']", ,[' 29085   '],[' 1245    '],[' 28804   '],[' 15210   '],"[' 45626    (Atom=Atom', ' 14413 Body=Body', ' 8190 Other', ' 23023)']",[' Yes'],"[' 1414     (Eliminated', '    0 Frozen', ' 1414)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.137987'],[' 0'], ,[' 0.236078'],[' 0'],[' 0.0097485'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13505e+06'],[' 1.05943e+06'],[' 0'],[' 1.20449e+07'],[' 0'],[' 0'],[' 317 '],[' 563 '],[' 923 '],[' 1179 '],[' 1500 '],[' 1770 '],[' 2129 '],[' 2531 '],[' 0 '],[' 8 ']
Solving...,TA38, , , ,[' 347'],[' 182'],"[' 1.809s (Solving', ' 1.19s 1st Model', ' 0.15s Unsat', ' 0.31s)']",[' 1.781s'], ,[' 172467  '],"[' 18128    (Analyzed', ' 14934)']","[' 110      (Average', ' 135.76 Last', ' 251)']",[' 616.9   '],"[' 182      (Average Length', ' 86.16 Splits', ' 0)']","[' 14934    (Deleted', ' 8661)']","[' 67       (Ratio', '   0.45%)']","[' 381      (Ratio', '   2.55%)']","[' 14934    (Average Length', '    7.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14934    (Average', '  5.15 Max', ' 777 Sum', '  76839)']","[' 14857    (Average', '  5.13 Max', ' 777 Sum', '  76672 Ratio', '  99.78%)']","[' 77       (Average', '  2.17 Max', '  10 Sum', '    167 Ratio', '   0.22%)']", ,[' 29566   '],[' 1283    '],[' 29288   '],[' 15800   '],"[' 47396    (Atom=Atom', ' 14965 Body=Body', ' 8228 Other', ' 24203)']",[' Yes'],"[' 1455     (Eliminated', '    0 Frozen', ' 1455)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.154769'],[' 0'], ,[' 0.43458'],[' 0'],[' 0.0143072'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45629e+06'],[' 1.34592e+06'],[' 0'],[' 3.23546e+07'],[' 0'],[' 0'],[' 511 '],[' 741 '],[' 1034 '],[' 1354 '],[' 1631 '],[' 1921 '],[' 2236 '],[' 2535 '],[' 0 '],[' 8 ']
Solving...,TA39, , , ,[' 213'],[' 115'],"[' 132.640s (Solving', ' 132.12s 1st Model', ' 0.11s Unsat', ' 6.76s)']",[' 132.188s'], ,[' 4801103 '],"[' 3662469  (Analyzed', ' 3660090)']","[' 8234     (Average', ' 444.51 Last', ' 45)']",[' 472.4   '],"[' 115      (Average Length', ' 53.36 Splits', ' 0)']","[' 3660090  (Deleted', ' 3598662)']","[' 87       (Ratio', '   0.00%)']","[' 951      (Ratio', '   0.03%)']","[' 3660090  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3660090  (Average', '  1.27 Max', ' 634 Sum', ' 4665996)']","[' 3659954  (Average', '  1.27 Max', ' 634 Sum', ' 4664265 Ratio', '  99.96%)']","[' 136      (Average', ' 12.73 Max', '  82 Sum', '   1731 Ratio', '   0.04%)']", ,[' 29715   '],[' 1290    '],[' 29371   '],[' 15538   '],"[' 46610    (Atom=Atom', ' 14696 Body=Body', ' 8235 Other', ' 23679)']",[' Yes'],"[' 1396     (Eliminated', '    0 Frozen', ' 1396)']","[' 51       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.115307'],[' 0'], ,[' 104.894'],[' 0'],[' 2.04248'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37318e+07'],[' 5.48979e+06'],[' 0'],[' 1.5488e+10'],[' 0'],[' 0'],[' 530 '],[' 840 '],[' 1080 '],[' 1537 '],[' 1830 '],[' 2246 '],[' 2566 '],[' 2809 '],[' 1 '],[' 7 ']
Solving...,TA40, , , ,[' 335'],[' 176'],"[' 1.475s (Solving', ' 0.88s 1st Model', ' 0.17s Unsat', ' 0.16s)']",[' 1.391s'], ,[' 133837  '],"[' 14966    (Analyzed', ' 12040)']","[' 94       (Average', ' 128.09 Last', ' 201)']",[' 501.5   '],"[' 176      (Average Length', ' 83.92 Splits', ' 0)']","[' 12040    (Deleted', ' 5897)']","[' 54       (Ratio', '   0.45%)']","[' 369      (Ratio', '   3.06%)']","[' 12040    (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12040    (Average', '  5.08 Max', ' 700 Sum', '  61157)']","[' 11969    (Average', '  5.02 Max', ' 700 Sum', '  60484 Ratio', '  98.90%)']","[' 71       (Average', '  9.48 Max', ' 140 Sum', '    673 Ratio', '   1.10%)']", ,[' 29117   '],[' 1228    '],[' 28833   '],[' 15287   '],"[' 45857    (Atom=Atom', ' 14507 Body=Body', ' 8173 Other', ' 23177)']",[' Yes'],"[' 1394     (Eliminated', '    0 Frozen', ' 1394)']","[' 30       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.136025'],[' 0'], ,[' 0.310189'],[' 0'],[' 0.0107206'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12502e+06'],[' 1.03134e+06'],[' 0'],[' 1.98193e+07'],[' 0'],[' 0'],[' 393 '],[' 621 '],[' 985 '],[' 1232 '],[' 1492 '],[' 1716 '],[' 2119 '],[' 2356 '],[' 0 '],[' 8 ']
