Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 431'],[' 225'],"[' 262.182s (Solving', ' 260.72s 1st Model', ' 0.53s Unsat', ' 36.81s)']",[' 261.609s'], ,[' 7890520 '],"[' 4097308  (Analyzed', ' 4034198)']","[' 8785     (Average', ' 459.21 Last', ' 782)']",[' 1236.8  '],"[' 225      (Average Length', ' 107.71 Splits', ' 0)']","[' 4034198  (Deleted', ' 3973588)']","[' 81       (Ratio', '   0.00%)']","[' 2217     (Ratio', '   0.05%)']","[' 4034198  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4034198  (Average', '  1.85 Max', ' 1811 Sum', ' 7450856)']","[' 4034036  (Average', '  1.84 Max', ' 1811 Sum', ' 7439072 Ratio', '  99.84%)']","[' 162      (Average', ' 72.74 Max', ' 179 Sum', '  11784 Ratio', '   0.16%)']", ,[' 74139   '],[' 2827    '],[' 73604   '],[' 42632   '],"[' 127892   (Atom=Atom', ' 40553 Body=Body', ' 21902 Other', ' 65437)']",[' Yes'],"[' 3042     (Eliminated', '    0 Frozen', ' 3042)']","[' 185      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.354387'],[' 0'], ,[' 231.043'],[' 0'],[' 3.70784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.58776e+07'],[' 1.63951e+07'],[' 0'],[' 3.88436e+10'],[' 0'],[' 0'],[' 494 '],[' 956 '],[' 1453 '],[' 1761 '],[' 2414 '],[' 2866 '],[' 3275 '],[' 3819 '],[' 4285 '],[' 2 '],[' 7 ']
Solving...,TA52, , , ,[' 317'],[' 168'],"[' 268.029s (Solving', ' 266.75s 1st Model', ' 0.39s Unsat', ' 43.50s)']",[' 266.828s'], ,[' 13541525'],"[' 9224238  (Analyzed', ' 9221023)']","[' 18712    (Average', ' 492.79 Last', ' 4977)']",[' 1196.9  '],"[' 168      (Average Length', ' 79.11 Splits', ' 0)']","[' 9221023  (Deleted', ' 9098593)']","[' 99       (Ratio', '   0.00%)']","[' 2148     (Ratio', '   0.02%)']","[' 9221023  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9221023  (Average', '  1.42 Max', ' 1795 Sum', ' 13067189)']","[' 9220837  (Average', '  1.42 Max', ' 1795 Sum', ' 13061664 Ratio', '  99.96%)']","[' 186      (Average', ' 29.70 Max', ' 125 Sum', '   5525 Ratio', '   0.04%)']", ,[' 74685   '],[' 2790    '],[' 74093   '],[' 42080   '],"[' 126236   (Atom=Atom', ' 40038 Body=Body', ' 21865 Other', ' 64333)']",[' Yes'],"[' 2948     (Eliminated', '    0 Frozen', ' 2948)']","[' 201      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.297238'],[' 0'], ,[' 212.28'],[' 0'],[' 3.85638'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.79833e+07'],[' 1.71732e+07'],[' 0'],[' 3.17928e+10'],[' 0'],[' 0'],[' 557 '],[' 1093 '],[' 1406 '],[' 1871 '],[' 2355 '],[' 2708 '],[' 3189 '],[' 3844 '],[' 4143 '],[' 2 '],[' 7 ']
Solving...,TA53, , , ,[' 397'],[' 208'],"[' 340.185s (Solving', ' 338.72s 1st Model', ' 0.40s Unsat', ' 4.23s)']",[' 339.344s'], ,[' 15709498'],"[' 10855038 (Analyzed', ' 10841500)']","[' 22743    (Average', ' 476.70 Last', ' 4015)']",[' 1100.5  '],"[' 208      (Average Length', ' 99.34 Splits', ' 0)']","[' 10841500 (Deleted', ' 10668136)']","[' 88       (Ratio', '   0.00%)']","[' 1902     (Ratio', '   0.02%)']","[' 10841500 (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10841500 (Average', '  1.40 Max', ' 1642 Sum', ' 15205318)']","[' 10841305 (Average', '  1.40 Max', ' 1642 Sum', ' 15194872 Ratio', '  99.93%)']","[' 195      (Average', ' 53.57 Max', ' 160 Sum', '  10446 Ratio', '   0.07%)']", ,[' 72974   '],[' 2699    '],[' 72422   '],[' 40741   '],"[' 122219   (Atom=Atom', ' 38790 Body=Body', ' 21774 Other', ' 61655)']",[' Yes'],"[' 2897     (Eliminated', '    0 Frozen', ' 2897)']","[' 197      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.324272'],[' 0'], ,[' 265.277'],[' 0'],[' 4.86086'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.47724e+07'],[' 2.04121e+07'],[' 0'],[' 3.93862e+10'],[' 0'],[' 0'],[' 423 '],[' 1030 '],[' 1377 '],[' 1685 '],[' 2106 '],[' 2560 '],[' 3022 '],[' 3521 '],[' 4056 '],[' 3 '],[' 6 ']
Solving...,TA54, , , ,[' 443'],[' 231'],"[' 284.759s (Solving', ' 283.22s 1st Model', ' 0.55s Unsat', ' 59.38s)']",[' 283.781s'], ,[' 9233358 '],"[' 6411038  (Analyzed', ' 6349595)']","[' 14746    (Average', ' 430.60 Last', ' 35838)']",[' 1138.5  '],"[' 231      (Average Length', ' 111.15 Splits', ' 0)']","[' 6349595  (Deleted', ' 6247564)']","[' 93       (Ratio', '   0.00%)']","[' 1838     (Ratio', '   0.03%)']","[' 6349595  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6349595  (Average', '  1.38 Max', ' 1800 Sum', ' 8783012)']","[' 6349438  (Average', '  1.38 Max', ' 1800 Sum', ' 8774108 Ratio', '  99.90%)']","[' 157      (Average', ' 56.71 Max', ' 172 Sum', '   8904 Ratio', '   0.10%)']", ,[' 75142   '],[' 2812    '],[' 74613   '],[' 42463   '],"[' 127385   (Atom=Atom', ' 40399 Body=Body', ' 21887 Other', ' 65099)']",[' Yes'],"[' 3033     (Eliminated', '    0 Frozen', ' 3033)']","[' 82       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.33719'],[' 0'], ,[' 238.303'],[' 0'],[' 4.24379'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.82554e+07'],[' 1.39422e+07'],[' 0'],[' 3.7497e+10'],[' 0'],[' 0'],[' 485 '],[' 879 '],[' 1252 '],[' 1743 '],[' 2102 '],[' 2536 '],[' 3169 '],[' 3576 '],[' 4005 '],[' 2 '],[' 7 ']
Solving...,TA55, , , ,[' 563'],[' 291'],"[' 272.348s (Solving', ' 270.52s 1st Model', ' 0.66s Unsat', ' 46.41s)']",[' 271.641s'], ,[' 17340114'],"[' 12814733 (Analyzed', ' 12801164)']","[' 24263    (Average', ' 527.60 Last', ' 21091)']",[' 1203.5  '],"[' 291      (Average Length', ' 140.71 Splits', ' 0)']","[' 12801164 (Deleted', ' 12630729)']","[' 98       (Ratio', '   0.00%)']","[' 2172     (Ratio', '   0.02%)']","[' 12801164 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12801164 (Average', '  1.30 Max', ' 1748 Sum', ' 16693447)']","[' 12800991 (Average', '  1.30 Max', ' 1748 Sum', ' 16679318 Ratio', '  99.92%)']","[' 173      (Average', ' 81.67 Max', ' 235 Sum', '  14129 Ratio', '   0.08%)']", ,[' 74694   '],[' 2835    '],[' 74224   '],[' 43034   '],"[' 129098   (Atom=Atom', ' 40947 Body=Body', ' 21910 Other', ' 66241)']",[' Yes'],"[' 3115     (Eliminated', '    0 Frozen', ' 3115)']","[' 95       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.394523'],[' 0'], ,[' 192.243'],[' 0'],[' 4.13041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.96646e+07'],[' 2.13232e+07'],[' 0'],[' 2.63035e+10'],[' 0'],[' 0'],[' 682 '],[' 920 '],[' 1446 '],[' 2061 '],[' 2429 '],[' 2825 '],[' 3325 '],[' 3900 '],[' 4307 '],[' 2 '],[' 7 ']
Solving...,TA56, , ,[' 1'],[' 469+'],[' 244'],"[' 261.784s (Solving', ' 259.85s 1st Model', ' 0.69s Unsat', ' 36.26s)']",[' 260.734s'], ,[' 16504652'],"[' 12150830 (Analyzed', ' 12138939)']","[' 22106    (Average', ' 549.12 Last', ' 53101)']",[' 1177.5  '],"[' 244      (Average Length', ' 117.45 Splits', ' 0)']","[' 12138939 (Deleted', ' 11971642)']","[' 81       (Ratio', '   0.00%)']","[' 1904     (Ratio', '   0.02%)']","[' 12138939 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12138939 (Average', '  1.31 Max', ' 1851 Sum', ' 15943184)']","[' 12138815 (Average', '  1.31 Max', ' 1851 Sum', ' 15940235 Ratio', '  99.98%)']","[' 124      (Average', ' 23.78 Max', ' 186 Sum', '   2949 Ratio', '   0.02%)']", ,[' 74368   '],[' 2787    '],[' 73852   '],[' 42295   '],"[' 126881   (Atom=Atom', ' 40256 Body=Body', ' 21862 Other', ' 64763)']",[' Yes'],"[' 3021     (Eliminated', '    0 Frozen', ' 3021)']","[' 78       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.44648'],[' 0'], ,[' 180.995'],[' 0'],[' 3.50504'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.63767e+07'],[' 1.90049e+07'],[' 0'],[' 2.38925e+10'],[' 0'],[' 0'],[' 748 '],[' 1157 '],[' 1576 '],[' 2135 '],[' 2513 '],[' 2908 '],[' 3374 '],[' 3723 '],[' 4313 '],[' 2 '],[' 7 ']
Solving...,TA57, , , ,[' 409'],[' 214'],"[' 473.582s (Solving', ' 472.10s 1st Model', ' 0.56s Unsat', ' 26.85s)']",[' 471.281s'], ,[' 14186157'],"[' 9067583  (Analyzed', ' 9048927)']","[' 20307    (Average', ' 445.61 Last', ' 723)']",[' 1216.5  '],"[' 214      (Average Length', ' 101.38 Splits', ' 0)']","[' 9048927  (Deleted', ' 8892156)']","[' 71       (Ratio', '   0.00%)']","[' 2415     (Ratio', '   0.03%)']","[' 9048927  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9048927  (Average', '  1.51 Max', ' 1661 Sum', ' 13693209)']","[' 9048749  (Average', '  1.51 Max', ' 1661 Sum', ' 13679537 Ratio', '  99.90%)']","[' 178      (Average', ' 76.81 Max', ' 159 Sum', '  13672 Ratio', '   0.10%)']", ,[' 74279   '],[' 2791    '],[' 73732   '],[' 41973   '],"[' 125915   (Atom=Atom', ' 39930 Body=Body', ' 21866 Other', ' 64119)']",[' Yes'],"[' 2994     (Eliminated', '    0 Frozen', ' 2994)']","[' 301      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.353875'],[' 0'], ,[' 401.581'],[' 0'],[' 6.65038'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.28825e+07'],[' 2.16766e+07'],[' 0'],[' 6.38475e+10'],[' 0'],[' 0'],[' 522 '],[' 1097 '],[' 1408 '],[' 1820 '],[' 2231 '],[' 2678 '],[' 3233 '],[' 3826 '],[' 4297 '],[' 4 '],[' 5 ']
Solving...,TA58, , , ,[' 493'],[' 256'],"[' 90.805s (Solving', ' 89.09s 1st Model', ' 0.67s Unsat', ' 86.92s)']",[' 90.344s'], ,[' 3012951 '],"[' 1889749  (Analyzed', ' 1880418)']","[' 4511     (Average', ' 416.85 Last', ' 61103)']",[' 1330.4  '],"[' 256      (Average Length', ' 122.16 Splits', ' 0)']","[' 1880418  (Deleted', ' 1845281)']","[' 111      (Ratio', '   0.01%)']","[' 1390     (Ratio', '   0.07%)']","[' 1880418  (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1880418  (Average', '  1.42 Max', ' 1933 Sum', ' 2668568)']","[' 1880277  (Average', '  1.42 Max', ' 1933 Sum', ' 2665624 Ratio', '  99.89%)']","[' 141      (Average', ' 20.88 Max', ' 162 Sum', '   2944 Ratio', '   0.11%)']", ,[' 74409   '],[' 2836    '],[' 73904   '],[' 42500   '],"[' 127496   (Atom=Atom', ' 40412 Body=Body', ' 21911 Other', ' 65173)']",[' Yes'],"[' 3081     (Eliminated', '    0 Frozen', ' 3081)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.411916'],[' 0'], ,[' 74.4289'],[' 0'],[' 1.21392'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.145e+07'],[' 6.96249e+06'],[' 0'],[' 1.19841e+10'],[' 0'],[' 0'],[' 555 '],[' 1040 '],[' 1494 '],[' 1854 '],[' 2274 '],[' 2664 '],[' 3252 '],[' 3656 '],[' 4212 '],[' 0 '],[' 9 ']
Solving...,TA59, , ,[' 1'],[' 411+'],[' 215'],"[' 668.918s (Solving', ' 667.30s 1st Model', ' 0.52s Unsat', ' 1.13s)']",[' 665.547s'], ,[' 18200814'],"[' 13200973 (Analyzed', ' 13190121)']","[' 28468    (Average', ' 463.33 Last', ' 19296)']",[' 1203.1  '],"[' 215      (Average Length', ' 102.36 Splits', ' 0)']","[' 13190121 (Deleted', ' 12982143)']","[' 30       (Ratio', '   0.00%)']","[' 2458     (Ratio', '   0.02%)']","[' 13190121 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13190121 (Average', '  1.33 Max', ' 1620 Sum', ' 17579565)']","[' 13189993 (Average', '  1.33 Max', ' 1620 Sum', ' 17570617 Ratio', '  99.95%)']","[' 128      (Average', ' 69.91 Max', ' 157 Sum', '   8948 Ratio', '   0.05%)']", ,[' 73688   '],[' 2751    '],[' 73143   '],[' 41324   '],"[' 123968   (Atom=Atom', ' 39321 Body=Body', ' 21826 Other', ' 62821)']",[' Yes'],"[' 2956     (Eliminated', '    0 Frozen', ' 2956)']","[' 250      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.366235'],[' 0'], ,[' 571.54'],[' 0'],[' 9.4411'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.31785e+07'],[' 2.39332e+07'],[' 0'],[' 9.16082e+10'],[' 0'],[' 0'],[' 470 '],[' 998 '],[' 1346 '],[' 1699 '],[' 2216 '],[' 2651 '],[' 3132 '],[' 3581 '],[' 4133 '],[' 6 '],[' 3 ']
Solving...,TA60, , , ,[' 615'],[' 317'],"[' 308.641s (Solving', ' 306.43s 1st Model', ' 1.55s Unsat', ' 81.34s)']",[' 307.703s'], ,[' 10704194'],"[' 7422962  (Analyzed', ' 7400673)']","[' 16869    (Average', ' 438.71 Last', ' 52776)']",[' 1309.3  '],"[' 317      (Average Length', ' 153.04 Splits', ' 0)']","[' 7400673  (Deleted', ' 7270329)']","[' 93       (Ratio', '   0.00%)']","[' 2067     (Ratio', '   0.03%)']","[' 7400673  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7400673  (Average', '  1.37 Max', ' 1839 Sum', ' 10139740)']","[' 7400536  (Average', '  1.37 Max', ' 1839 Sum', ' 10132375 Ratio', '  99.93%)']","[' 137      (Average', ' 53.76 Max', ' 252 Sum', '   7365 Ratio', '   0.07%)']", ,[' 74949   '],[' 2813    '],[' 74504   '],[' 43038   '],"[' 129110   (Atom=Atom', ' 40973 Body=Body', ' 21888 Other', ' 66249)']",[' Yes'],"[' 3118     (Eliminated', '    0 Frozen', ' 3118)']","[' 105      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.464455'],[' 0'], ,[' 250.862'],[' 0'],[' 4.17987'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.33835e+07'],[' 1.66612e+07'],[' 0'],[' 3.74944e+10'],[' 0'],[' 0'],[' 452 '],[' 808 '],[' 1244 '],[' 1704 '],[' 2161 '],[' 2514 '],[' 2830 '],[' 3406 '],[' 3713 '],[' 2 '],[' 7 ']
