Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 2897+'],[' 1453'],"[' 995.958s (Solving', ' 987.07s 1st Model', ' 320.14s Unsat', ' 55.46s)']",[' 992.125s'], ,[' 131820330'],"[' 18807768 (Analyzed', ' 18652527)']","[' 35542    (Average', ' 524.80 Last', ' 991806)']",[' 2368.9  '],"[' 1453     (Average Length', ' 685.64 Splits', ' 0)']","[' 18652527 (Deleted', ' 18439889)']","[' 231      (Ratio', '   0.00%)']","[' 19090    (Ratio', '   0.10%)']","[' 18652527 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18652527 (Average', '  6.90 Max', ' 2258 Sum', ' 128761903)']","[' 18651986 (Average', '  6.89 Max', ' 2258 Sum', ' 128428130 Ratio', '  99.74%)']","[' 541      (Average', ' 616.96 Max', ' 978 Sum', ' 333773 Ratio', '   0.26%)']", ,[' 81415   '],[' 5169    '],[' 81989   '],[' 45975   '],"[' 137921   (Atom=Atom', ' 41554 Body=Body', ' 24244 Other', ' 72123)']",[' Yes'],"[' 6493     (Eliminated', '    0 Frozen', ' 6493)']","[' 3256     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.98728'],[' 0'], ,[' 737.023'],[' 0'],[' 16.3417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.32928e+08'],[' 3.22685e+08'],[' 0'],[' 7.65651e+10'],[' 0'],[' 0'],[' 830 '],[' 1518 '],[' 2326 '],[' 3001 '],[' 3 '],[' 1 ']
Solving...,TA52, ,[' 1'],[' 2837+'],[' 1423'],"[' 1000.912s (Solving', ' 992.72s 1st Model', ' 78.60s Unsat', ' 0.00s)']",[' 999.000s'], ,[' 125899718'],"[' 19789700 (Analyzed', ' 19622363)']","[' 36743    (Average', ' 534.04 Last', ' 118132)']",[' 2437.9  '],"[' 1423     (Average Length', ' 659.55 Splits', ' 0)']","[' 19622363 (Deleted', ' 19385630)']","[' 215      (Ratio', '   0.00%)']","[' 19795    (Ratio', '   0.10%)']","[' 19622363 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19622363 (Average', '  6.25 Max', ' 2360 Sum', ' 122670381)']","[' 19621894 (Average', '  6.24 Max', ' 2360 Sum', ' 122405787 Ratio', '  99.78%)']","[' 469      (Average', ' 564.17 Max', ' 891 Sum', ' 264594 Ratio', '   0.22%)']", ,[' 81520   '],[' 5164    '],[' 82030   '],[' 46128   '],"[' 138380   (Atom=Atom', ' 41712 Body=Body', ' 24239 Other', ' 72429)']",[' Yes'],"[' 6424     (Eliminated', '    0 Frozen', ' 6424)']","[' 3120     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.85402'],[' 0'], ,[' 739.435'],[' 0'],[' 16.7778'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.30104e+08'],[' 3.26538e+08'],[' 0'],[' 7.10893e+10'],[' 0'],[' 0'],[' 892 '],[' 1651 '],[' 2402 '],[' 3031 '],[' 4 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 2649+'],[' 1329'],"[' 1001.798s (Solving', ' 993.63s 1st Model', ' 30.46s Unsat', ' 0.00s)']",[' 998.703s'], ,[' 111181926'],"[' 22758518 (Analyzed', ' 22576430)']","[' 41325    (Average', ' 546.31 Last', ' 77225)']",[' 2653.2  '],"[' 1329     (Average Length', ' 631.03 Splits', ' 0)']","[' 22576430 (Deleted', ' 22241419)']","[' 165      (Ratio', '   0.00%)']","[' 15877    (Ratio', '   0.07%)']","[' 22576430 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22576430 (Average', '  4.78 Max', ' 2627 Sum', ' 107868210)']","[' 22575863 (Average', '  4.76 Max', ' 2627 Sum', ' 107571588 Ratio', '  99.73%)']","[' 567      (Average', ' 523.14 Max', ' 870 Sum', ' 296622 Ratio', '   0.27%)']", ,[' 82107   '],[' 5253    '],[' 82579   '],[' 46603   '],"[' 139805   (Atom=Atom', ' 42098 Body=Body', ' 24328 Other', ' 73379)']",[' Yes'],"[' 6475     (Eliminated', '    0 Frozen', ' 6475)']","[' 2355     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.79783'],[' 0'], ,[' 749.062'],[' 0'],[' 15.3673'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.45658e+08'],[' 2.5493e+08'],[' 0'],[' 7.2644e+10'],[' 0'],[' 0'],[' 873 '],[' 1586 '],[' 2313 '],[' 3012 '],[' 4 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 2793+'],[' 1401'],"[' 1001.589s (Solving', ' 993.25s 1st Model', ' 220.18s Unsat', ' 0.00s)']",[' 997.500s'], ,[' 119791200'],"[' 20165121 (Analyzed', ' 19981944)']","[' 37959    (Average', ' 526.41 Last', ' 899331)']",[' 2444.8  '],"[' 1401     (Average Length', ' 657.20 Splits', ' 0)']","[' 19981944 (Deleted', ' 19733686)']","[' 180      (Ratio', '   0.00%)']","[' 18772    (Ratio', '   0.09%)']","[' 19981944 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19981944 (Average', '  5.83 Max', ' 2431 Sum', ' 116588052)']","[' 19981446 (Average', '  5.82 Max', ' 2431 Sum', ' 116307696 Ratio', '  99.76%)']","[' 498      (Average', ' 562.96 Max', ' 963 Sum', ' 280356 Ratio', '   0.24%)']", ,[' 81945   '],[' 5227    '],[' 82444   '],[' 46349   '],"[' 139043   (Atom=Atom', ' 41870 Body=Body', ' 24302 Other', ' 72871)']",[' Yes'],"[' 6476     (Eliminated', '    0 Frozen', ' 6476)']","[' 3063     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.87026'],[' 0'], ,[' 756.236'],[' 0'],[' 16.8796'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77396e+08'],[' 2.8008e+08'],[' 0'],[' 7.42207e+10'],[' 0'],[' 0'],[' 948 '],[' 1599 '],[' 2252 '],[' 2958 '],[' 4 '],[' 0 ']
Solving...,TA55, , ,[' 3061'],[' 1535'],"[' 762.467s (Solving', ' 753.10s 1st Model', ' 370.61s Unsat', ' 107.92s)']",[' 758.484s'], ,[' 99245687'],"[' 18076203 (Analyzed', ' 17748772)']","[' 33533    (Average', ' 529.29 Last', ' 1492423)']",[' 2697.9  '],"[' 1535     (Average Length', ' 716.62 Splits', ' 0)']","[' 17748772 (Deleted', ' 17565671)']","[' 251      (Ratio', '   0.00%)']","[' 14273    (Ratio', '   0.08%)']","[' 17748772 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17748772 (Average', '  5.38 Max', ' 2630 Sum', ' 95502476)']","[' 17748211 (Average', '  5.36 Max', ' 2630 Sum', ' 95185476 Ratio', '  99.67%)']","[' 561      (Average', ' 565.06 Max', ' 2242 Sum', ' 317000 Ratio', '   0.33%)']", ,[' 81849   '],[' 5208    '],[' 82481   '],[' 46654   '],"[' 139958   (Atom=Atom', ' 42194 Body=Body', ' 24283 Other', ' 73481)']",[' Yes'],"[' 6590     (Eliminated', '    0 Frozen', ' 6590)']","[' 2347     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.20312'],[' 0'], ,[' 539.168'],[' 0'],[' 12.6532'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.15237e+08'],[' 2.31375e+08'],[' 0'],[' 4.64e+10'],[' 0'],[' 0'],[' 956 '],[' 1699 '],[' 2453 '],[' 3123 '],[' 2 '],[' 2 ']
Solving...,TA56, ,[' 1'],[' 2459+'],[' 1234'],"[' 1001.682s (Solving', ' 993.62s 1st Model', ' 19.37s Unsat', ' 0.00s)']",[' 997.406s'], ,[' 70998483'],"[' 19577353 (Analyzed', ' 19371126)']","[' 35353    (Average', ' 547.93 Last', ' 104571)']",[' 2712.1  '],"[' 1234     (Average Length', ' 583.16 Splits', ' 0)']","[' 19371126 (Deleted', ' 19142464)']","[' 56       (Ratio', '   0.00%)']","[' 11009    (Ratio', '   0.06%)']","[' 19371126 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19371126 (Average', '  3.50 Max', ' 2869 Sum', ' 67702337)']","[' 19370571 (Average', '  3.48 Max', ' 2869 Sum', ' 67457258 Ratio', '  99.64%)']","[' 555      (Average', ' 441.58 Max', ' 761 Sum', ' 245079 Ratio', '   0.36%)']", ,[' 81554   '],[' 5208    '],[' 81933   '],[' 46149   '],"[' 138443   (Atom=Atom', ' 41689 Body=Body', ' 24283 Other', ' 72471)']",[' Yes'],"[' 6337     (Eliminated', '    0 Frozen', ' 6337)']","[' 1864     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.86008'],[' 0'], ,[' 806.614'],[' 0'],[' 13.5483'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87777e+08'],[' 1.27133e+08'],[' 0'],[' 7.23269e+10'],[' 0'],[' 0'],[' 1029 '],[' 1777 '],[' 2536 '],[' 3231 '],[' 4 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 2347+'],[' 1178'],"[' 1001.540s (Solving', ' 994.76s 1st Model', ' 11.66s Unsat', ' 0.00s)']",[' 995.063s'], ,[' 88187957'],"[' 21707084 (Analyzed', ' 21521057)']","[' 38729    (Average', ' 555.68 Last', ' 61673)']",[' 2477.7  '],"[' 1178     (Average Length', ' 563.04 Splits', ' 0)']","[' 21521057 (Deleted', ' 21267383)']","[' 123      (Ratio', '   0.00%)']","[' 13434    (Ratio', '   0.06%)']","[' 21521057 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21521057 (Average', '  3.96 Max', ' 2637 Sum', ' 85213212)']","[' 21520526 (Average', '  3.95 Max', ' 2637 Sum', ' 84928851 Ratio', '  99.67%)']","[' 531      (Average', ' 535.52 Max', ' 796 Sum', ' 284361 Ratio', '   0.33%)']", ,[' 81786   '],[' 5240    '],[' 82132   '],[' 46421   '],"[' 139259   (Atom=Atom', ' 41929 Body=Body', ' 24315 Other', ' 73015)']",[' Yes'],"[' 6336     (Eliminated', '    0 Frozen', ' 6336)']","[' 2580     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.53637'],[' 0'], ,[' 780.365'],[' 0'],[' 14.3535'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.54128e+08'],[' 1.78028e+08'],[' 0'],[' 7.20803e+10'],[' 0'],[' 0'],[' 1081 '],[' 1907 '],[' 2816 '],[' 3506 '],[' 4 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 2667+'],[' 1338'],"[' 1001.816s (Solving', ' 994.01s 1st Model', ' 55.62s Unsat', ' 0.00s)']",[' 997.844s'], ,[' 114181976'],"[' 21034002 (Analyzed', ' 20861918)']","[' 39326    (Average', ' 530.49 Last', ' 90844)']",[' 2414.0  '],"[' 1338     (Average Length', ' 625.83 Splits', ' 0)']","[' 20861918 (Deleted', ' 20594512)']","[' 168      (Ratio', '   0.00%)']","[' 17802    (Ratio', '   0.09%)']","[' 20861918 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20861918 (Average', '  5.32 Max', ' 2485 Sum', ' 111074789)']","[' 20861424 (Average', '  5.31 Max', ' 2485 Sum', ' 110784898 Ratio', '  99.74%)']","[' 494      (Average', ' 586.82 Max', ' 926 Sum', ' 289891 Ratio', '   0.26%)']", ,[' 81760   '],[' 5193    '],[' 82225   '],[' 46302   '],"[' 138902   (Atom=Atom', ' 41857 Body=Body', ' 24268 Other', ' 72777)']",[' Yes'],"[' 6408     (Eliminated', '    0 Frozen', ' 6408)']","[' 2830     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.79564'],[' 0'], ,[' 753.786'],[' 0'],[' 15.9756'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.72197e+08'],[' 2.75663e+08'],[' 0'],[' 7.59864e+10'],[' 0'],[' 0'],[' 882 '],[' 1660 '],[' 2444 '],[' 3146 '],[' 4 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 2763+'],[' 1386'],"[' 1001.656s (Solving', ' 993.27s 1st Model', ' 194.36s Unsat', ' 0.00s)']",[' 997.313s'], ,[' 106639701'],"[' 20085863 (Analyzed', ' 19909132)']","[' 36651    (Average', ' 543.21 Last', ' 191764)']",[' 2552.1  '],"[' 1386     (Average Length', ' 661.65 Splits', ' 0)']","[' 19909132 (Deleted', ' 19677270)']","[' 195      (Ratio', '   0.00%)']","[' 16432    (Ratio', '   0.08%)']","[' 19909132 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19909132 (Average', '  5.19 Max', ' 2440 Sum', ' 103415688)']","[' 19908570 (Average', '  5.18 Max', ' 2440 Sum', ' 103104517 Ratio', '  99.70%)']","[' 562      (Average', ' 553.69 Max', ' 1234 Sum', ' 311171 Ratio', '   0.30%)']", ,[' 81451   '],[' 5171    '],[' 81986   '],[' 46058   '],"[' 138170   (Atom=Atom', ' 41635 Body=Body', ' 24246 Other', ' 72289)']",[' Yes'],"[' 6456     (Eliminated', '    0 Frozen', ' 6456)']","[' 2671     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.98629'],[' 0'], ,[' 762.442'],[' 0'],[' 15.6199'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.42865e+08'],[' 2.53295e+08'],[' 0'],[' 7.20011e+10'],[' 0'],[' 0'],[' 782 '],[' 1475 '],[' 2265 '],[' 2981 '],[' 4 '],[' 0 ']
Solving...,TA60, , ,[' 2449'],[' 1229'],"[' 614.636s (Solving', ' 607.44s 1st Model', ' 19.60s Unsat', ' 89.56s)']",[' 610.750s'], ,[' 72370802'],"[' 14477833 (Analyzed', ' 14372585)']","[' 27727    (Average', ' 518.36 Last', ' 15896)']",[' 2585.3  '],"[' 1228     (Average Length', ' 585.94 Splits', ' 0)']","[' 14372585 (Deleted', ' 14178281)']","[' 110      (Ratio', '   0.00%)']","[' 9319     (Ratio', '   0.06%)']","[' 14372585 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14372585 (Average', '  4.83 Max', ' 3177 Sum', ' 69474127)']","[' 14372222 (Average', '  4.82 Max', ' 3177 Sum', ' 69302170 Ratio', '  99.75%)']","[' 363      (Average', ' 473.71 Max', ' 607 Sum', ' 171957 Ratio', '   0.25%)']", ,[' 81409   '],[' 5184    '],[' 81800   '],[' 46172   '],"[' 138512   (Atom=Atom', ' 41736 Body=Body', ' 24259 Other', ' 72517)']",[' Yes'],"[' 6325     (Eliminated', '    0 Frozen', ' 6325)']","[' 1587     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6253'],[' 0'], ,[' 434.624'],[' 0'],[' 10.0559'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26678e+08'],[' 1.59443e+08'],[' 0'],[' 3.73454e+10'],[' 0'],[' 0'],[' 774 '],[' 1537 '],[' 2475 '],[' 3118 '],[' 3 '],[' 1 ']
