Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 7363+'],[' 3687'],"[' 1017.753s (Solving', ' 935.91s 1st Model', ' 371.11s Unsat', ' 0.00s)']",[' 1013.906s'], ,[' 348553465'],"[' 4076335  (Analyzed', ' 3319848)']","[' 8415     (Average', ' 394.52 Last', ' 43386)']",[' 9176.8  '],"[' 3687     (Average Length', ' 1678.71 Splits', ' 0)']","[' 3319848  (Deleted', ' 3220942)']","[' 99       (Ratio', '   0.00%)']","[' 59085    (Ratio', '   1.78%)']","[' 3319848  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3319848  (Average', ' 97.54 Max', ' 11109 Sum', ' 323826919)']","[' 3317142  (Average', ' 96.27 Max', ' 11109 Sum', ' 319589342 Ratio', '  98.69%)']","[' 2706     (Average', ' 1565.99 Max', ' 2458 Sum', ' 4237577 Ratio', '   1.31%)']", ,[' 393306  '],[' 21452   '],[' 394514  '],[' 231352  '],"[' 694052   (Atom=Atom', ' 211898 Body=Body', ' 122352 Other', ' 359802)']",[' Yes'],"[' 24660    (Eliminated', '    0 Frozen', ' 24660)']","[' 10916    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.5056'],[' 0'], ,[' 565.516'],[' 0'],[' 27.1023'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15574e+09'],[' 1.0701e+09'],[' 0'],[' 3.74148e+10'],[' 0'],[' 0'],[' 1412 '],[' 3259 '],[' 4352 '],[' 5589 '],[' 6735 '],[' 5 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 8255+'],[' 4133'],"[' 1017.764s (Solving', ' 933.46s 1st Model', ' 628.55s Unsat', ' 0.00s)']",[' 1014.141s'], ,[' 405696789'],"[' 5099608  (Analyzed', ' 3879198)']","[' 10385    (Average', ' 373.54 Last', ' 86689)']",[' 8721.2  '],"[' 4133     (Average Length', ' 1874.77 Splits', ' 0)']","[' 3879198  (Deleted', ' 3763902)']","[' 110      (Ratio', '   0.00%)']","[' 73208    (Ratio', '   1.89%)']","[' 3879198  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3879198  (Average', ' 97.87 Max', ' 9723 Sum', ' 379654361)']","[' 3876868  (Average', ' 96.83 Max', ' 9723 Sum', ' 375609855 Ratio', '  98.93%)']","[' 2330     (Average', ' 1735.84 Max', ' 2753 Sum', ' 4044506 Ratio', '   1.07%)']", ,[' 392127  '],[' 21221   '],[' 393669  '],[' 231547  '],"[' 694637   (Atom=Atom', ' 212324 Body=Body', ' 122121 Other', ' 360192)']",[' Yes'],"[' 24763    (Eliminated', '    0 Frozen', ' 24763)']","[' 13956    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.0356'],[' 0'], ,[' 518.682'],[' 0'],[' 27.6928'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39283e+09'],[' 1.27691e+09'],[' 0'],[' 3.61872e+10'],[' 0'],[' 0'],[' 1255 '],[' 2393 '],[' 3557 '],[' 4649 '],[' 5815 '],[' 5 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 8093+'],[' 4052'],"[' 1018.567s (Solving', ' 941.78s 1st Model', ' 569.70s Unsat', ' 0.00s)']",[' 1014.641s'], ,[' 436146203'],"[' 5283486  (Analyzed', ' 4168487)']","[' 10322    (Average', ' 403.84 Last', ' 68647)']",[' 8967.9  '],"[' 4052     (Average Length', ' 1831.99 Splits', ' 0)']","[' 4168487  (Deleted', ' 4056264)']","[' 129      (Ratio', '   0.00%)']","[' 74333    (Ratio', '   1.78%)']","[' 4168487  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4168487  (Average', ' 97.97 Max', ' 10772 Sum', ' 408372331)']","[' 4166639  (Average', ' 97.24 Max', ' 10772 Sum', ' 405364046 Ratio', '  99.26%)']","[' 1848     (Average', ' 1627.86 Max', ' 2675 Sum', ' 3008285 Ratio', '   0.74%)']", ,[' 393828  '],[' 21371   '],[' 395319  '],[' 233454  '],"[' 700358   (Atom=Atom', ' 214081 Body=Body', ' 122271 Other', ' 364006)']",[' Yes'],"[' 24862    (Eliminated', '    0 Frozen', ' 24862)']","[' 11052    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.4902'],[' 0'], ,[' 526.129'],[' 0'],[' 29.3577'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43877e+09'],[' 1.31973e+09'],[' 0'],[' 3.92692e+10'],[' 0'],[' 0'],[' 1580 '],[' 2720 '],[' 3941 '],[' 5203 '],[' 6344 '],[' 5 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 7795+'],[' 3903'],"[' 1017.022s (Solving', ' 945.84s 1st Model', ' 610.32s Unsat', ' 0.00s)']",[' 1012.875s'], ,[' 432991065'],"[' 4028136  (Analyzed', ' 3058463)']","[' 9083     (Average', ' 336.72 Last', ' 361847)']",[' 8286.1  '],"[' 3903     (Average Length', ' 1762.74 Splits', ' 0)']","[' 3058463  (Deleted', ' 2942380)']","[' 118      (Ratio', '   0.00%)']","[' 80535    (Ratio', '   2.63%)']","[' 3058463  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3058463  (Average', ' 133.98 Max', ' 9989 Sum', ' 409777121)']","[' 3056339  (Average', ' 132.77 Max', ' 9989 Sum', ' 406081958 Ratio', '  99.10%)']","[' 2124     (Average', ' 1739.72 Max', ' 2702 Sum', ' 3695163 Ratio', '   0.90%)']", ,[' 392345  '],[' 21356   '],[' 393640  '],[' 231808  '],"[' 695420   (Atom=Atom', ' 212450 Body=Body', ' 122256 Other', ' 360714)']",[' Yes'],"[' 24651    (Eliminated', '    0 Frozen', ' 24651)']","[' 14255    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.1362'],[' 0'], ,[' 513.449'],[' 0'],[' 28.0451'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5163e+09'],[' 1.39028e+09'],[' 0'],[' 3.92618e+10'],[' 0'],[' 0'],[' 1303 '],[' 2522 '],[' 3622 '],[' 4805 '],[' 5953 '],[' 5 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 8437+'],[' 4224'],"[' 1019.486s (Solving', ' 931.74s 1st Model', ' 551.28s Unsat', ' 0.00s)']",[' 1014.578s'], ,[' 425743112'],"[' 2535870  (Analyzed', ' 1869615)']","[' 6580     (Average', ' 284.14 Last', ' 83426)']",[' 8540.8  '],"[' 4224     (Average Length', ' 1911.54 Splits', ' 0)']","[' 1869615  (Deleted', ' 1756984)']","[' 161      (Ratio', '   0.01%)']","[' 81100    (Ratio', '   4.34%)']","[' 1869615  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1869615  (Average', ' 214.00 Max', ' 9902 Sum', ' 400097046)']","[' 1867558  (Average', ' 212.20 Max', ' 9902 Sum', ' 396732855 Ratio', '  99.16%)']","[' 2057     (Average', ' 1635.48 Max', ' 2707 Sum', ' 3364191 Ratio', '   0.84%)']", ,[' 393619  '],[' 21482   '],[' 395323  '],[' 231545  '],"[' 694631   (Atom=Atom', ' 212061 Body=Body', ' 122382 Other', ' 360188)']",[' Yes'],"[' 25186    (Eliminated', '    0 Frozen', ' 25186)']","[' 14170    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.4776'],[' 0'], ,[' 480.273'],[' 0'],[' 27.9755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55906e+09'],[' 1.44108e+09'],[' 0'],[' 3.43191e+10'],[' 0'],[' 0'],[' 1324 '],[' 2608 '],[' 3897 '],[' 5104 '],[' 6294 '],[' 5 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 8303+'],[' 4157'],"[' 1016.909s (Solving', ' 943.36s 1st Model', ' 595.67s Unsat', ' 0.00s)']",[' 1014.078s'], ,[' 446877336'],"[' 2977122  (Analyzed', ' 2076456)']","[' 6979     (Average', ' 297.53 Last', ' 119386)']",[' 8049.5  '],"[' 4157     (Average Length', ' 1835.47 Splits', ' 0)']","[' 2076456  (Deleted', ' 1960393)']","[' 116      (Ratio', '   0.01%)']","[' 84092    (Ratio', '   4.05%)']","[' 2076456  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2076456  (Average', ' 204.23 Max', ' 9404 Sum', ' 424079170)']","[' 2074206  (Average', ' 202.15 Max', ' 9404 Sum', ' 419765536 Ratio', '  98.98%)']","[' 2250     (Average', ' 1917.17 Max', ' 4327 Sum', ' 4313634 Ratio', '   1.02%)']", ,[' 392580  '],[' 21294   '],[' 394040  '],[' 231670  '],"[' 695006   (Atom=Atom', ' 212374 Body=Body', ' 122194 Other', ' 360438)']",[' Yes'],"[' 24754    (Eliminated', '    0 Frozen', ' 24754)']","[' 15601    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7701'],[' 0'], ,[' 489.208'],[' 0'],[' 28.0336'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61403e+09'],[' 1.48446e+09'],[' 0'],[' 3.84958e+10'],[' 0'],[' 0'],[' 1331 '],[' 2521 '],[' 3626 '],[' 4775 '],[' 5934 '],[' 5 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 8577+'],[' 4294'],"[' 1016.857s (Solving', ' 939.22s 1st Model', ' 551.48s Unsat', ' 0.00s)']",[' 1014.969s'], ,[' 455388851'],"[' 4217572  (Analyzed', ' 3460326)']","[' 8944     (Average', ' 386.89 Last', ' 65900)']",[' 8331.8  '],"[' 4294     (Average Length', ' 1920.45 Splits', ' 0)']","[' 3460326  (Deleted', ' 3342426)']","[' 110      (Ratio', '   0.00%)']","[' 82322    (Ratio', '   2.38%)']","[' 3460326  (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3460326  (Average', ' 124.65 Max', ' 9479 Sum', ' 431316924)']","[' 3457881  (Average', ' 123.30 Max', ' 9479 Sum', ' 426668665 Ratio', '  98.92%)']","[' 2445     (Average', ' 1901.13 Max', ' 6908 Sum', ' 4648259 Ratio', '   1.08%)']", ,[' 391864  '],[' 21231   '],[' 393502  '],[' 230382  '],"[' 691142   (Atom=Atom', ' 211149 Body=Body', ' 122131 Other', ' 357862)']",[' Yes'],"[' 24869    (Eliminated', '    0 Frozen', ' 24869)']","[' 15753    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.8798'],[' 0'], ,[' 500.239'],[' 0'],[' 28.0213'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60894e+09'],[' 1.47072e+09'],[' 0'],[' 4.01377e+10'],[' 0'],[' 0'],[' 1267 '],[' 2500 '],[' 3635 '],[' 4857 '],[' 5972 '],[' 5 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 8129+'],[' 4070'],"[' 1017.407s (Solving', ' 943.51s 1st Model', ' 659.07s Unsat', ' 0.00s)']",[' 1014.969s'], ,[' 445428769'],"[' 4101552  (Analyzed', ' 3086361)']","[' 8894     (Average', ' 347.02 Last', ' 87369)']",[' 8571.9  '],"[' 4070     (Average Length', ' 1815.54 Splits', ' 0)']","[' 3086361  (Deleted', ' 2970516)']","[' 123      (Ratio', '   0.00%)']","[' 82089    (Ratio', '   2.66%)']","[' 3086361  (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3086361  (Average', ' 136.26 Max', ' 9923 Sum', ' 420546018)']","[' 3084095  (Average', ' 134.93 Max', ' 9923 Sum', ' 416456120 Ratio', '  99.03%)']","[' 2266     (Average', ' 1804.90 Max', ' 2621 Sum', ' 4089898 Ratio', '   0.97%)']", ,[' 394507  '],[' 21471   '],[' 395983  '],[' 233830  '],"[' 701486   (Atom=Atom', ' 214357 Body=Body', ' 122371 Other', ' 364758)']",[' Yes'],"[' 24947    (Eliminated', '    0 Frozen', ' 24947)']","[' 14762    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.9312'],[' 0'], ,[' 509.463'],[' 0'],[' 28.1351'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57652e+09'],[' 1.44732e+09'],[' 0'],[' 4.10024e+10'],[' 0'],[' 0'],[' 1451 '],[' 2540 '],[' 3741 '],[' 4965 '],[' 6161 '],[' 5 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 8157+'],[' 4084'],"[' 1017.415s (Solving', ' 941.57s 1st Model', ' 610.51s Unsat', ' 0.00s)']",[' 1014.922s'], ,[' 452798408'],"[' 2943214  (Analyzed', ' 2163706)']","[' 7467     (Average', ' 289.77 Last', ' 128596)']",[' 8368.6  '],"[' 4084     (Average Length', ' 1823.35 Splits', ' 0)']","[' 2163706  (Deleted', ' 2050101)']","[' 122      (Ratio', '   0.01%)']","[' 83198    (Ratio', '   3.85%)']","[' 2163706  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2163706  (Average', ' 198.39 Max', ' 9555 Sum', ' 429258019)']","[' 2161266  (Average', ' 196.39 Max', ' 9555 Sum', ' 424929339 Ratio', '  98.99%)']","[' 2440     (Average', ' 1774.05 Max', ' 2647 Sum', ' 4328680 Ratio', '   1.01%)']", ,[' 393580  '],[' 21418   '],[' 395046  '],[' 231707  '],"[' 695117   (Atom=Atom', ' 212287 Body=Body', ' 122318 Other', ' 360512)']",[' Yes'],"[' 24884    (Eliminated', '    0 Frozen', ' 24884)']","[' 15631    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.1319'],[' 0'], ,[' 496.901'],[' 0'],[' 27.9947'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66894e+09'],[' 1.54108e+09'],[' 0'],[' 3.97108e+10'],[' 0'],[' 0'],[' 1306 '],[' 2476 '],[' 3686 '],[' 4861 '],[' 5952 '],[' 5 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 7953+'],[' 3982'],"[' 1017.746s (Solving', ' 937.80s 1st Model', ' 566.86s Unsat', ' 0.00s)']",[' 1014.188s'], ,[' 434743733'],"[' 2839407  (Analyzed', ' 2090478)']","[' 6906     (Average', ' 302.70 Last', ' 54924)']",[' 8434.7  '],"[' 3982     (Average Length', ' 1800.84 Splits', ' 0)']","[' 2090478  (Deleted', ' 1975682)']","[' 123      (Ratio', '   0.01%)']","[' 83171    (Ratio', '   3.98%)']","[' 2090478  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2090478  (Average', ' 196.63 Max', ' 9632 Sum', ' 411055843)']","[' 2088230  (Average', ' 194.80 Max', ' 9632 Sum', ' 407220069 Ratio', '  99.07%)']","[' 2248     (Average', ' 1706.31 Max', ' 2631 Sum', ' 3835774 Ratio', '   0.93%)']", ,[' 394003  '],[' 21469   '],[' 395437  '],[' 232728  '],"[' 698180   (Atom=Atom', ' 213257 Body=Body', ' 122369 Other', ' 362554)']",[' Yes'],"[' 24903    (Eliminated', '    0 Frozen', ' 24903)']","[' 15385    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.9271'],[' 0'], ,[' 486.12'],[' 0'],[' 28.4542'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59313e+09'],[' 1.46707e+09'],[' 0'],[' 3.54957e+10'],[' 0'],[' 0'],[' 1284 '],[' 2505 '],[' 3626 '],[' 4750 '],[' 5901 '],[' 5 '],[' 0 ']
