Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 2333'],[' 1172'],"[' 698.129s (Solving', ' 692.46s 1st Model', ' 7.71s Unsat', ' 87.89s)']",[' 695.250s'], ,[' 49692842'],"[' 21808828 (Analyzed', ' 21713828)']","[' 40052    (Average', ' 542.14 Last', ' 99548)']",[' 2105.1  '],"[' 1172     (Average Length', ' 549.66 Splits', ' 0)']","[' 21713828 (Deleted', ' 21377684)']","[' 62       (Ratio', '   0.00%)']","[' 4947     (Ratio', '   0.02%)']","[' 21713828 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21713828 (Average', '  2.19 Max', ' 2308 Sum', ' 47510772)']","[' 21713257 (Average', '  2.17 Max', ' 2308 Sum', ' 47226735 Ratio', '  99.40%)']","[' 571      (Average', ' 497.44 Max', ' 868 Sum', ' 284037 Ratio', '   0.60%)']", ,[' 78033   '],[' 4230    '],[' 78349   '],[' 43534   '],"[' 130598   (Atom=Atom', ' 40052 Body=Body', ' 23305 Other', ' 67241)']",[' Yes'],"[' 5296     (Eliminated', '    0 Frozen', ' 5296)']","[' 977      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32654'],[' 0'], ,[' 530.491'],[' 0'],[' 10.2466'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42971e+08'],[' 7.97124e+07'],[' 0'],[' 5.90089e+10'],[' 0'],[' 0'],[' 687 '],[' 1399 '],[' 1917 '],[' 2560 '],[' 3073 '],[' 3 '],[' 2 ']
Solving...,TA52, , ,[' 2181'],[' 1096'],"[' 662.524s (Solving', ' 656.65s 1st Model', ' 7.67s Unsat', ' 52.85s)']",[' 659.656s'], ,[' 50197321'],"[' 18965073 (Analyzed', ' 18879254)']","[' 35258    (Average', ' 535.46 Last', ' 12825)']",[' 1940.6  '],"[' 1096     (Average Length', ' 515.81 Splits', ' 0)']","[' 18879254 (Deleted', ' 18603634)']","[' 65       (Ratio', '   0.00%)']","[' 7229     (Ratio', '   0.04%)']","[' 18879254 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18879254 (Average', '  2.55 Max', ' 2164 Sum', ' 48206090)']","[' 18878719 (Average', '  2.54 Max', ' 2164 Sum', ' 47980147 Ratio', '  99.53%)']","[' 535      (Average', ' 422.32 Max', ' 823 Sum', ' 225943 Ratio', '   0.47%)']", ,[' 77917   '],[' 4246    '],[' 78173   '],[' 43228   '],"[' 129680   (Atom=Atom', ' 39730 Body=Body', ' 23321 Other', ' 66629)']",[' Yes'],"[' 5252     (Eliminated', '    0 Frozen', ' 5252)']","[' 1564     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3079'],[' 0'], ,[' 508.982'],[' 0'],[' 10.0228'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52332e+08'],[' 9.79613e+07'],[' 0'],[' 5.92442e+10'],[' 0'],[' 0'],[' 777 '],[' 1308 '],[' 1883 '],[' 2488 '],[' 3026 '],[' 3 '],[' 2 ']
Solving...,TA53, , ,[' 2303'],[' 1157'],"[' 307.849s (Solving', ' 301.88s 1st Model', ' 7.67s Unsat', ' 89.32s)']",[' 306.797s'], ,[' 17853832'],"[' 7967606  (Analyzed', ' 7811516)']","[' 16471    (Average', ' 474.26 Last', ' 13672)']",[' 2277.4  '],"[' 1157     (Average Length', ' 536.90 Splits', ' 0)']","[' 7811516  (Deleted', ' 7674392)']","[' 63       (Ratio', '   0.00%)']","[' 3218     (Ratio', '   0.04%)']","[' 7811516  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7811516  (Average', '  2.01 Max', ' 2759 Sum', ' 15714248)']","[' 7811053  (Average', '  1.98 Max', ' 2759 Sum', ' 15493030 Ratio', '  98.59%)']","[' 463      (Average', ' 477.79 Max', ' 834 Sum', ' 221218 Ratio', '   1.41%)']", ,[' 78921   '],[' 4290    '],[' 79214   '],[' 44607   '],"[' 133817   (Atom=Atom', ' 41065 Body=Body', ' 23365 Other', ' 69387)']",[' Yes'],"[' 5333     (Eliminated', '    0 Frozen', ' 5333)']","[' 370      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3529'],[' 0'], ,[' 235.433'],[' 0'],[' 4.51104'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.75633e+07'],[' 3.74646e+07'],[' 0'],[' 2.45642e+10'],[' 0'],[' 0'],[' 717 '],[' 1315 '],[' 1989 '],[' 2566 '],[' 3114 '],[' 1 '],[' 4 ']
Solving...,TA54, , ,[' 2343'],[' 1177'],"[' 818.177s (Solving', ' 812.78s 1st Model', ' 14.23s Unsat', ' 2.39s)']",[' 814.656s'], ,[' 50716547'],"[' 22313008 (Analyzed', ' 22180681)']","[' 41716    (Average', ' 531.71 Last', ' 80686)']",[' 2127.1  '],"[' 1177     (Average Length', ' 552.14 Splits', ' 0)']","[' 22180681 (Deleted', ' 21851539)']","[' 103      (Ratio', '   0.00%)']","[' 6469     (Ratio', '   0.03%)']","[' 22180681 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22180681 (Average', '  2.18 Max', ' 2348 Sum', ' 48384122)']","[' 22180071 (Average', '  2.17 Max', ' 2348 Sum', ' 48101538 Ratio', '  99.42%)']","[' 610      (Average', ' 463.25 Max', ' 834 Sum', ' 282584 Ratio', '   0.58%)']", ,[' 78889   '],[' 4341    '],[' 79212   '],[' 44276   '],"[' 132824   (Atom=Atom', ' 40683 Body=Body', ' 23416 Other', ' 68725)']",[' Yes'],"[' 5414     (Eliminated', '    0 Frozen', ' 5414)']","[' 1184     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.40993'],[' 0'], ,[' 639.892'],[' 0'],[' 12.1231'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46632e+08'],[' 8.93971e+07'],[' 0'],[' 7.10181e+10'],[' 0'],[' 0'],[' 801 '],[' 1403 '],[' 2097 '],[' 2637 '],[' 3197 '],[' 4 '],[' 1 ']
Solving...,TA55, , ,[' 2231'],[' 1121'],"[' 635.932s (Solving', ' 630.59s 1st Model', ' 6.50s Unsat', ' 221.94s)']",[' 633.250s'], ,[' 39195173'],"[' 20018194 (Analyzed', ' 19889096)']","[' 37608    (Average', ' 528.85 Last', ' 57301)']",[' 2109.7  '],"[' 1121     (Average Length', ' 525.91 Splits', ' 0)']","[' 19889096 (Deleted', ' 19569825)']","[' 70       (Ratio', '   0.00%)']","[' 4687     (Ratio', '   0.02%)']","[' 19889096 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19889096 (Average', '  1.86 Max', ' 2398 Sum', ' 37027987)']","[' 19888556 (Average', '  1.85 Max', ' 2398 Sum', ' 36789709 Ratio', '  99.36%)']","[' 540      (Average', ' 441.26 Max', ' 807 Sum', ' 238278 Ratio', '   0.64%)']", ,[' 78097   '],[' 4249    '],[' 78372   '],[' 43468   '],"[' 130400   (Atom=Atom', ' 39967 Body=Body', ' 23324 Other', ' 67109)']",[' Yes'],"[' 5274     (Eliminated', '    0 Frozen', ' 5274)']","[' 877      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.19905'],[' 0'], ,[' 490.442'],[' 0'],[' 8.51622'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18198e+08'],[' 6.80835e+07'],[' 0'],[' 5.73807e+10'],[' 0'],[' 0'],[' 686 '],[' 1268 '],[' 1917 '],[' 2490 '],[' 3028 '],[' 2 '],[' 3 ']
Solving...,TA56, ,[' 1'],[' 1507+'],[' 759'],"[' 630.545s (Solving', ' 627.04s 1st Model', ' 2.66s Unsat', ' 25.82s)']",[' 628.672s'], ,[' 37470630'],"[' 20505693 (Analyzed', ' 20413516)']","[' 36833    (Average', ' 554.22 Last', ' 112797)']",[' 2118.4  '],"[' 759      (Average Length', ' 364.59 Splits', ' 0)']","[' 20413516 (Deleted', ' 20157112)']","[' 15       (Ratio', '   0.00%)']","[' 2441     (Ratio', '   0.01%)']","[' 20413516 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20413516 (Average', '  1.74 Max', ' 2878 Sum', ' 35568034)']","[' 20413151 (Average', '  1.74 Max', ' 2878 Sum', ' 35456773 Ratio', '  99.69%)']","[' 365      (Average', ' 304.82 Max', ' 627 Sum', ' 111261 Ratio', '   0.31%)']", ,[' 78065   '],[' 4270    '],[' 78035   '],[' 43687   '],"[' 131057   (Atom=Atom', ' 40165 Body=Body', ' 23345 Other', ' 67547)']",[' Yes'],"[' 4990     (Eliminated', '    0 Frozen', ' 4990)']","[' 438      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.879414'],[' 0'], ,[' 496.487'],[' 0'],[' 8.89741'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0484e+08'],[' 5.46054e+07'],[' 0'],[' 5.79874e+10'],[' 0'],[' 0'],[' 821 '],[' 1426 '],[' 2264 '],[' 2828 '],[' 4196 '],[' 4 '],[' 1 ']
Solving...,TA57, , ,[' 2075'],[' 1043'],"[' 666.090s (Solving', ' 660.69s 1st Model', ' 18.90s Unsat', ' 43.44s)']",[' 663.484s'], ,[' 51776254'],"[' 22212346 (Analyzed', ' 22103053)']","[' 39603    (Average', ' 558.12 Last', ' 116428)']",[' 2065.5  '],"[' 1043     (Average Length', ' 496.81 Splits', ' 0)']","[' 22103053 (Deleted', ' 21825587)']","[' 76       (Ratio', '   0.00%)']","[' 5987     (Ratio', '   0.03%)']","[' 22103053 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22103053 (Average', '  2.24 Max', ' 2401 Sum', ' 49578430)']","[' 22102533 (Average', '  2.23 Max', ' 2401 Sum', ' 49351601 Ratio', '  99.54%)']","[' 520      (Average', ' 436.21 Max', ' 764 Sum', ' 226829 Ratio', '   0.46%)']", ,[' 78421   '],[' 4295    '],[' 78637   '],[' 44012   '],"[' 132032   (Atom=Atom', ' 40465 Body=Body', ' 23370 Other', ' 68197)']",[' Yes'],"[' 5261     (Eliminated', '    0 Frozen', ' 5261)']","[' 1162     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.2488'],[' 0'], ,[' 498.568'],[' 0'],[' 9.33667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45374e+08'],[' 8.69444e+07'],[' 0'],[' 5.05128e+10'],[' 0'],[' 0'],[' 850 '],[' 1522 '],[' 2097 '],[' 2801 '],[' 3404 '],[' 3 '],[' 2 ']
Solving...,TA58, , ,[' 2291'],[' 1151'],"[' 615.234s (Solving', ' 609.24s 1st Model', ' 9.26s Unsat', ' 1.14s)']",[' 611.656s'], ,[' 40645560'],"[' 19176488 (Analyzed', ' 19060474)']","[' 34983    (Average', ' 544.85 Last', ' 144147)']",[' 2053.2  '],"[' 1151     (Average Length', ' 541.28 Splits', ' 0)']","[' 19060474 (Deleted', ' 18758280)']","[' 53       (Ratio', '   0.00%)']","[' 5339     (Ratio', '   0.03%)']","[' 19060474 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19060474 (Average', '  2.02 Max', ' 2383 Sum', ' 38487804)']","[' 19060028 (Average', '  2.01 Max', ' 2383 Sum', ' 38290116 Ratio', '  99.49%)']","[' 446      (Average', ' 443.25 Max', ' 876 Sum', ' 197688 Ratio', '   0.51%)']", ,[' 78306   '],[' 4252    '],[' 78601   '],[' 43547   '],"[' 130637   (Atom=Atom', ' 40043 Body=Body', ' 23327 Other', ' 67267)']",[' Yes'],"[' 5297     (Eliminated', '    0 Frozen', ' 5297)']","[' 991      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.414'],[' 0'], ,[' 457.701'],[' 0'],[' 8.94794'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24833e+08'],[' 7.55503e+07'],[' 0'],[' 4.61293e+10'],[' 0'],[' 0'],[' 737 '],[' 1343 '],[' 1941 '],[' 2542 '],[' 3122 '],[' 3 '],[' 2 ']
Solving...,TA59, , ,[' 2187'],[' 1099'],"[' 598.453s (Solving', ' 592.65s 1st Model', ' 6.72s Unsat', ' 183.90s)']",[' 596.938s'], ,[' 33912397'],"[' 18305092 (Analyzed', ' 18186905)']","[' 36136    (Average', ' 503.29 Last', ' 41012)']",[' 2134.5  '],"[' 1099     (Average Length', ' 523.15 Splits', ' 0)']","[' 18186905 (Deleted', ' 17886793)']","[' 59       (Ratio', '   0.00%)']","[' 4183     (Ratio', '   0.02%)']","[' 18186905 (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18186905 (Average', '  1.75 Max', ' 2387 Sum', ' 31851369)']","[' 18186305 (Average', '  1.74 Max', ' 2387 Sum', ' 31602291 Ratio', '  99.22%)']","[' 600      (Average', ' 415.13 Max', ' 751 Sum', ' 249078 Ratio', '   0.78%)']", ,[' 77801   '],[' 4224    '],[' 78073   '],[' 43177   '],"[' 129527   (Atom=Atom', ' 39701 Body=Body', ' 23299 Other', ' 66527)']",[' Yes'],"[' 5246     (Eliminated', '    0 Frozen', ' 5246)']","[' 781      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.34356'],[' 0'], ,[' 462.538'],[' 0'],[' 7.44465'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03322e+08'],[' 5.95566e+07'],[' 0'],[' 5.1197e+10'],[' 0'],[' 0'],[' 580 '],[' 1197 '],[' 1815 '],[' 2427 '],[' 3017 '],[' 2 '],[' 3 ']
Solving...,TA60, , ,[' 2193'],[' 1102'],"[' 546.887s (Solving', ' 541.28s 1st Model', ' 6.27s Unsat', ' 131.23s)']",[' 544.688s'], ,[' 41995079'],"[' 17971168 (Analyzed', ' 17869026)']","[' 32869    (Average', ' 543.64 Last', ' 28246)']",[' 2077.8  '],"[' 1102     (Average Length', ' 514.96 Splits', ' 0)']","[' 17869026 (Deleted', ' 17625670)']","[' 76       (Ratio', '   0.00%)']","[' 6150     (Ratio', '   0.03%)']","[' 17869026 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17869026 (Average', '  2.23 Max', ' 2265 Sum', ' 39899672)']","[' 17868468 (Average', '  2.22 Max', ' 2265 Sum', ' 39685780 Ratio', '  99.46%)']","[' 558      (Average', ' 383.32 Max', ' 743 Sum', ' 213892 Ratio', '   0.54%)']", ,[' 78008   '],[' 4268    '],[' 78256   '],[' 43460   '],"[' 130376   (Atom=Atom', ' 39940 Body=Body', ' 23343 Other', ' 67093)']",[' Yes'],"[' 5266     (Eliminated', '    0 Frozen', ' 5266)']","[' 1069     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.31424'],[' 0'], ,[' 410.615'],[' 0'],[' 7.73251'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25431e+08'],[' 7.82601e+07'],[' 0'],[' 4.38309e+10'],[' 0'],[' 0'],[' 742 '],[' 1259 '],[' 1891 '],[' 2445 '],[' 2959 '],[' 2 '],[' 3 ']
