Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 5999+'],[' 3007'],"[' 1012.550s (Solving', ' 953.57s 1st Model', ' 153.02s Unsat', ' 0.00s)']",[' 1008.422s'], ,[' 153496365'],"[' 9306634  (Analyzed', ' 8719764)']","[' 18264    (Average', ' 477.43 Last', ' 126630)']",[' 7103.8  '],"[' 3007     (Average Length', ' 1392.41 Splits', ' 0)']","[' 8719764  (Deleted', ' 8588250)']","[' 66       (Ratio', '   0.00%)']","[' 27109    (Ratio', '   0.31%)']","[' 8719764  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8719764  (Average', ' 15.82 Max', ' 8966 Sum', ' 137904371)']","[' 8717497  (Average', ' 15.51 Max', ' 8966 Sum', ' 135203399 Ratio', '  98.04%)']","[' 2267     (Average', ' 1191.43 Max', ' 2151 Sum', ' 2700972 Ratio', '   1.96%)']", ,[' 372373  '],[' 15763   '],[' 373070  '],[' 215835  '],"[' 647501   (Atom=Atom', ' 202070 Body=Body', ' 116663 Other', ' 328768)']",[' Yes'],"[' 18460    (Eliminated', '    0 Frozen', ' 18460)']","[' 4787     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0049'],[' 0'], ,[' 770.659'],[' 0'],[' 16.2927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.15762e+08'],[' 5.5984e+08'],[' 0'],[' 8.66483e+10'],[' 0'],[' 0'],[' 1093 '],[' 2002 '],[' 3248 '],[' 4088 '],[' 4926 '],[' 5758 '],[' 6533 '],[' 7 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 6187+'],[' 3101'],"[' 1012.681s (Solving', ' 955.72s 1st Model', ' 147.48s Unsat', ' 0.00s)']",[' 1009.281s'], ,[' 147632993'],"[' 9821378  (Analyzed', ' 9294902)']","[' 19794    (Average', ' 469.58 Last', ' 119227)']",[' 6857.6  '],"[' 3101     (Average Length', ' 1408.37 Splits', ' 0)']","[' 9294902  (Deleted', ' 9142018)']","[' 33       (Ratio', '   0.00%)']","[' 26300    (Ratio', '   0.28%)']","[' 9294902  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9294902  (Average', ' 14.23 Max', ' 8631 Sum', ' 132231275)']","[' 9292743  (Average', ' 13.96 Max', ' 8631 Sum', ' 129748387 Ratio', '  98.12%)']","[' 2159     (Average', ' 1150.02 Max', ' 2122 Sum', ' 2482888 Ratio', '   1.88%)']", ,[' 369452  '],[' 15538   '],[' 370200  '],[' 213242  '],"[' 639722   (Atom=Atom', ' 199702 Body=Body', ' 116438 Other', ' 323582)']",[' Yes'],"[' 18286    (Eliminated', '    0 Frozen', ' 18286)']","[' 4786     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.6511'],[' 0'], ,[' 778.671'],[' 0'],[' 15.7147'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.04967e+08'],[' 5.49537e+08'],[' 0'],[' 9.14225e+10'],[' 0'],[' 0'],[' 918 '],[' 1685 '],[' 2687 '],[' 3421 '],[' 4225 '],[' 5123 '],[' 5887 '],[' 7 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 5581+'],[' 2798'],"[' 1011.186s (Solving', ' 962.54s 1st Model', ' 139.15s Unsat', ' 0.00s)']",[' 1009.609s'], ,[' 161735790'],"[' 10498337 (Analyzed', ' 10011437)']","[' 20510    (Average', ' 488.12 Last', ' 27441)']",[' 6800.9  '],"[' 2798     (Average Length', ' 1273.47 Splits', ' 0)']","[' 10011437 (Deleted', ' 9853992)']","[' 50       (Ratio', '   0.00%)']","[' 27610    (Ratio', '   0.28%)']","[' 10011437 (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10011437 (Average', ' 14.72 Max', ' 8880 Sum', ' 147377118)']","[' 10009353 (Average', ' 14.51 Max', ' 8880 Sum', ' 145231475 Ratio', '  98.54%)']","[' 2084     (Average', ' 1029.58 Max', ' 2016 Sum', ' 2145643 Ratio', '   1.46%)']", ,[' 371029  '],[' 15719   '],[' 371510  '],[' 214930  '],"[' 644786   (Atom=Atom', ' 201209 Body=Body', ' 116619 Other', ' 326958)']",[' Yes'],"[' 18200    (Eliminated', '    0 Frozen', ' 18200)']","[' 4920     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.92028'],[' 0'], ,[' 795.666'],[' 0'],[' 15.9201'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.04941e+08'],[' 5.48528e+08'],[' 0'],[' 9.64602e+10'],[' 0'],[' 0'],[' 1192 '],[' 2060 '],[' 2935 '],[' 3747 '],[' 4603 '],[' 5487 '],[' 6216 '],[' 7 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 5915+'],[' 2965'],"[' 1012.252s (Solving', ' 960.35s 1st Model', ' 171.34s Unsat', ' 0.00s)']",[' 1010.328s'], ,[' 141577865'],"[' 10045835 (Analyzed', ' 9633401)']","[' 20899    (Average', ' 460.95 Last', ' 51469)']",[' 6436.3  '],"[' 2965     (Average Length', ' 1341.91 Splits', ' 0)']","[' 9633401  (Deleted', ' 9482609)']","[' 43       (Ratio', '   0.00%)']","[' 27382    (Ratio', '   0.28%)']","[' 9633401  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9633401  (Average', ' 13.30 Max', ' 8234 Sum', ' 128126609)']","[' 9631067  (Average', ' 13.03 Max', ' 8234 Sum', ' 125529471 Ratio', '  97.97%)']","[' 2334     (Average', ' 1112.74 Max', ' 2085 Sum', ' 2597138 Ratio', '   2.03%)']", ,[' 369271  '],[' 15649   '],[' 369890  '],[' 212635  '],"[' 637901   (Atom=Atom', ' 198984 Body=Body', ' 116549 Other', ' 322368)']",[' Yes'],"[' 18268    (Eliminated', '    0 Frozen', ' 18268)']","[' 5291     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5508'],[' 0'], ,[' 799.084'],[' 0'],[' 14.9795'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.77848e+08'],[' 5.22555e+08'],[' 0'],[' 9.85716e+10'],[' 0'],[' 0'],[' 1052 '],[' 1829 '],[' 2681 '],[' 3442 '],[' 4280 '],[' 5085 '],[' 5893 '],[' 7 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 6685+'],[' 3350'],"[' 1012.778s (Solving', ' 958.04s 1st Model', ' 282.68s Unsat', ' 0.00s)']",[' 1010.688s'], ,[' 213868530'],"[' 8409135  (Analyzed', ' 7998119)']","[' 17166    (Average', ' 465.93 Last', ' 255807)']",[' 5929.4  '],"[' 3350     (Average Length', ' 1500.38 Splits', ' 0)']","[' 7998119  (Deleted', ' 7857844)']","[' 128      (Ratio', '   0.00%)']","[' 45926    (Ratio', '   0.57%)']","[' 7998119  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7998119  (Average', ' 25.12 Max', ' 7059 Sum', ' 200906450)']","[' 7996077  (Average', ' 24.76 Max', ' 7059 Sum', ' 198033237 Ratio', '  98.57%)']","[' 2042     (Average', ' 1407.06 Max', ' 2413 Sum', ' 2873213 Ratio', '   1.43%)']", ,[' 371479  '],[' 15744   '],[' 372333  '],[' 214793  '],"[' 644375   (Atom=Atom', ' 201047 Body=Body', ' 116644 Other', ' 326684)']",[' Yes'],"[' 18598    (Eliminated', '    0 Frozen', ' 18598)']","[' 8111     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.1405'],[' 0'], ,[' 737.75'],[' 0'],[' 18.3513'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.49864e+08'],[' 7.66375e+08'],[' 0'],[' 8.75601e+10'],[' 0'],[' 0'],[' 1123 '],[' 1858 '],[' 2693 '],[' 3623 '],[' 4452 '],[' 5283 '],[' 6077 '],[' 7 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 5929+'],[' 2972'],"[' 1011.233s (Solving', ' 962.30s 1st Model', ' 204.97s Unsat', ' 0.00s)']",[' 1009.641s'], ,[' 166705682'],"[' 10461423 (Analyzed', ' 9856641)']","[' 21024    (Average', ' 468.83 Last', ' 71168)']",[' 6300.1  '],"[' 2972     (Average Length', ' 1342.52 Splits', ' 0)']","[' 9856641  (Deleted', ' 9707243)']","[' 44       (Ratio', '   0.00%)']","[' 31386    (Ratio', '   0.32%)']","[' 9856641  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9856641  (Average', ' 15.59 Max', ' 7869 Sum', ' 153694475)']","[' 9854275  (Average', ' 15.30 Max', ' 7869 Sum', ' 150853049 Ratio', '  98.15%)']","[' 2366     (Average', ' 1200.94 Max', ' 7330 Sum', ' 2841426 Ratio', '   1.85%)']", ,[' 369411  '],[' 15593   '],[' 370053  '],[' 213304  '],"[' 639908   (Atom=Atom', ' 199709 Body=Body', ' 116493 Other', ' 323706)']",[' Yes'],"[' 18235    (Eliminated', '    0 Frozen', ' 18235)']","[' 6034     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.1699'],[' 0'], ,[' 783.983'],[' 0'],[' 16.1443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.5803e+08'],[' 5.97795e+08'],[' 0'],[' 9.5251e+10'],[' 0'],[' 0'],[' 1030 '],[' 1783 '],[' 2694 '],[' 3499 '],[' 4346 '],[' 5143 '],[' 5935 '],[' 7 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 5755+'],[' 2885'],"[' 1011.633s (Solving', ' 962.13s 1st Model', ' 185.54s Unsat', ' 0.00s)']",[' 1009.375s'], ,[' 137684401'],"[' 11072520 (Analyzed', ' 10569757)']","[' 21809    (Average', ' 484.65 Last', ' 65617)']",[' 7050.6  '],"[' 2885     (Average Length', ' 1321.39 Splits', ' 0)']","[' 10569757 (Deleted', ' 10412511)']","[' 30       (Ratio', '   0.00%)']","[' 20043    (Ratio', '   0.19%)']","[' 10569757 (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10569757 (Average', ' 11.65 Max', ' 9045 Sum', ' 123138675)']","[' 10567281 (Average', ' 11.37 Max', ' 9045 Sum', ' 120154948 Ratio', '  97.58%)']","[' 2476     (Average', ' 1205.06 Max', ' 2119 Sum', ' 2983727 Ratio', '   2.42%)']", ,[' 369637  '],[' 15623   '],[' 370230  '],[' 214079  '],"[' 642233   (Atom=Atom', ' 200454 Body=Body', ' 116523 Other', ' 325256)']",[' Yes'],"[' 18216    (Eliminated', '    0 Frozen', ' 18216)']","[' 3312     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.1552'],[' 0'], ,[' 807.492'],[' 0'],[' 15.1426'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.37838e+08'],[' 4.90729e+08'],[' 0'],[' 9.92051e+10'],[' 0'],[' 0'],[' 963 '],[' 1901 '],[' 2752 '],[' 3627 '],[' 4466 '],[' 5321 '],[' 6052 '],[' 7 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 5505+'],[' 2760'],"[' 1010.761s (Solving', ' 963.86s 1st Model', ' 135.90s Unsat', ' 0.00s)']",[' 1009.250s'], ,[' 147364976'],"[' 10085652 (Analyzed', ' 9581425)']","[' 19406    (Average', ' 493.74 Last', ' 64697)']",[' 6840.4  '],"[' 2760     (Average Length', ' 1260.47 Splits', ' 0)']","[' 9581425  (Deleted', ' 9443405)']","[' 55       (Ratio', '   0.00%)']","[' 23498    (Ratio', '   0.25%)']","[' 9581425  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9581425  (Average', ' 13.92 Max', ' 9053 Sum', ' 133347174)']","[' 9579134  (Average', ' 13.66 Max', ' 9053 Sum', ' 130879158 Ratio', '  98.15%)']","[' 2291     (Average', ' 1077.27 Max', ' 1982 Sum', ' 2468016 Ratio', '   1.85%)']", ,[' 370815  '],[' 15711   '],[' 371283  '],[' 214112  '],"[' 642332   (Atom=Atom', ' 200399 Body=Body', ' 116611 Other', ' 325322)']",[' Yes'],"[' 18179    (Eliminated', '    0 Frozen', ' 18179)']","[' 4173     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.6767'],[' 0'], ,[' 811.035'],[' 0'],[' 15.075'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.5162e+08'],[' 4.99144e+08'],[' 0'],[' 1.0149e+11'],[' 0'],[' 0'],[' 1157 '],[' 1885 '],[' 2813 '],[' 3716 '],[' 4650 '],[' 5507 '],[' 6275 '],[' 7 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 5717+'],[' 2866'],"[' 1011.891s (Solving', ' 961.14s 1st Model', ' 272.52s Unsat', ' 0.00s)']",[' 1010.359s'], ,[' 190603939'],"[' 9113926  (Analyzed', ' 8719246)']","[' 18258    (Average', ' 477.56 Last', ' 38291)']",[' 5942.2  '],"[' 2866     (Average Length', ' 1301.53 Splits', ' 0)']","[' 8719246  (Deleted', ' 8581974)']","[' 59       (Ratio', '   0.00%)']","[' 41195    (Ratio', '   0.47%)']","[' 8719246  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8719246  (Average', ' 20.55 Max', ' 7620 Sum', ' 179220111)']","[' 8716996  (Average', ' 20.22 Max', ' 7620 Sum', ' 176319837 Ratio', '  98.38%)']","[' 2250     (Average', ' 1289.01 Max', ' 2121 Sum', ' 2900274 Ratio', '   1.62%)']", ,[' 371582  '],[' 15789   '],[' 372138  '],[' 215374  '],"[' 646118   (Atom=Atom', ' 201583 Body=Body', ' 116689 Other', ' 327846)']",[' Yes'],"[' 18345    (Eliminated', '    0 Frozen', ' 18345)']","[' 7498     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5026'],[' 0'], ,[' 757.37'],[' 0'],[' 17.6474'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.27686e+08'],[' 6.51228e+08'],[' 0'],[' 8.95004e+10'],[' 0'],[' 0'],[' 1022 '],[' 1866 '],[' 2612 '],[' 3379 '],[' 4251 '],[' 5080 '],[' 5808 '],[' 7 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 5349+'],[' 2682'],"[' 1010.631s (Solving', ' 966.07s 1st Model', ' 217.49s Unsat', ' 0.00s)']",[' 1008.719s'], ,[' 167493760'],"[' 9425380  (Analyzed', ' 9009174)']","[' 18932    (Average', ' 475.87 Last', ' 139275)']",[' 6568.4  '],"[' 2682     (Average Length', ' 1221.54 Splits', ' 0)']","[' 9009174  (Deleted', ' 8878153)']","[' 51       (Ratio', '   0.00%)']","[' 33601    (Ratio', '   0.37%)']","[' 9009174  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9009174  (Average', ' 17.09 Max', ' 9000 Sum', ' 153947811)']","[' 9007399  (Average', ' 16.89 Max', ' 9000 Sum', ' 152129876 Ratio', '  98.82%)']","[' 1775     (Average', ' 1024.19 Max', ' 6117 Sum', ' 1817935 Ratio', '   1.18%)']", ,[' 372446  '],[' 15828   '],[' 372846  '],[' 216777  '],"[' 650327   (Atom=Atom', ' 202947 Body=Body', ' 116728 Other', ' 330652)']",[' Yes'],"[' 18228    (Eliminated', '    0 Frozen', ' 18228)']","[' 5948     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.11096'],[' 0'], ,[' 794.107'],[' 0'],[' 16.4307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.51004e+08'],[' 5.88679e+08'],[' 0'],[' 9.95638e+10'],[' 0'],[' 0'],[' 1055 '],[' 2006 '],[' 2755 '],[' 3549 '],[' 4681 '],[' 5481 '],[' 6265 '],[' 7 '],[' 0 ']
