Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1385'],[' 700'],"[' 282.688s (Solving', ' 279.28s 1st Model', ' 4.43s Unsat', ' 128.57s)']",[' 281.813s'], ,[' 28147142'],"[' 17988644 (Analyzed', ' 17956306)']","[' 33159    (Average', ' 541.52 Last', ' 75513)']",[' 1720.4  '],"[' 700      (Average Length', ' 340.56 Splits', ' 0)']","[' 17956306 (Deleted', ' 17687066)']","[' 72       (Ratio', '   0.00%)']","[' 1469     (Ratio', '   0.01%)']","[' 17956306 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17956306 (Average', '  1.49 Max', ' 2161 Sum', ' 26750643)']","[' 17956163 (Average', '  1.49 Max', ' 2161 Sum', ' 26741383 Ratio', '  99.97%)']","[' 143      (Average', ' 64.76 Max', ' 150 Sum', '   9260 Ratio', '   0.03%)']", ,[' 74473   '],[' 3178    '],[' 74397   '],[' 41846   '],"[' 125534   (Atom=Atom', ' 39416 Body=Body', ' 22253 Other', ' 63865)']",[' Yes'],"[' 3852     (Eliminated', '    0 Frozen', ' 3852)']","[' 113      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.765317'],[' 0'], ,[' 169.24'],[' 0'],[' 4.45101'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.5136e+07'],[' 4.23619e+07'],[' 0'],[' 1.54686e+10'],[' 0'],[' 0'],[' 620 '],[' 1071 '],[' 1549 '],[' 2005 '],[' 2515 '],[' 2885 '],[' 3321 '],[' 1 '],[' 6 ']
Solving...,TA52, , ,[' 1585'],[' 800'],"[' 359.351s (Solving', ' 356.00s 1st Model', ' 2.28s Unsat', ' 206.71s)']",[' 358.734s'], ,[' 33336525'],"[' 20159608 (Analyzed', ' 20121052)']","[' 38221    (Average', ' 526.44 Last', ' 25742)']",[' 1619.3  '],"[' 800      (Average Length', ' 381.42 Splits', ' 0)']","[' 20121052 (Deleted', ' 19807529)']","[' 71       (Ratio', '   0.00%)']","[' 2157     (Ratio', '   0.01%)']","[' 20121052 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20121052 (Average', '  1.59 Max', ' 2035 Sum', ' 31909274)']","[' 20120784 (Average', '  1.58 Max', ' 2035 Sum', ' 31845950 Ratio', '  99.80%)']","[' 268      (Average', ' 236.28 Max', ' 629 Sum', '  63324 Ratio', '   0.20%)']", ,[' 74531   '],[' 3221    '],[' 74531   '],[' 41683   '],"[' 125045   (Atom=Atom', ' 39210 Body=Body', ' 22296 Other', ' 63539)']",[' Yes'],"[' 3971     (Eliminated', '    0 Frozen', ' 3971)']","[' 346      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.835932'],[' 0'], ,[' 227.455'],[' 0'],[' 5.51303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01321e+08'],[' 5.36104e+07'],[' 0'],[' 2.38134e+10'],[' 0'],[' 0'],[' 584 '],[' 1083 '],[' 1470 '],[' 1974 '],[' 2500 '],[' 2911 '],[' 3294 '],[' 1 '],[' 6 ']
Solving...,TA53, , ,[' 1425'],[' 720'],"[' 15.037s (Solving', ' 11.60s 1st Model', ' 2.02s Unsat', ' 6.00s)']",[' 14.859s'], ,[' 2360570 '],"[' 186070   (Analyzed', ' 143666)']","[' 632      (Average', ' 227.32 Last', ' 1427)']",[' 1720.2  '],"[' 720      (Average Length', ' 342.98 Splits', ' 0)']","[' 143666   (Deleted', ' 130443)']","[' 64       (Ratio', '   0.04%)']","[' 933      (Ratio', '   0.65%)']","[' 143666   (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 143666   (Average', '  9.39 Max', ' 2233 Sum', ' 1349453)']","[' 143534   (Average', '  9.26 Max', ' 2233 Sum', ' 1330643 Ratio', '  98.61%)']","[' 132      (Average', ' 142.50 Max', ' 540 Sum', '  18810 Ratio', '   1.39%)']", ,[' 75117   '],[' 3210    '],[' 75050   '],[' 42532   '],"[' 127592   (Atom=Atom', ' 40070 Body=Body', ' 22285 Other', ' 65237)']",[' Yes'],"[' 3893     (Eliminated', '    0 Frozen', ' 3893)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.781449'],[' 0'], ,[' 7.39594'],[' 0'],[' 0.198075'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39829e+07'],[' 1.29753e+07'],[' 0'],[' 8.97907e+08'],[' 0'],[' 0'],[' 606 '],[' 1040 '],[' 1467 '],[' 2067 '],[' 2454 '],[' 2892 '],[' 3297 '],[' 0 '],[' 7 ']
Solving...,TA54, , ,[' 1455'],[' 735'],"[' 12.664s (Solving', ' 9.39s 1st Model', ' 1.73s Unsat', ' 1.69s)']",[' 12.422s'], ,[' 2235312 '],"[' 481628   (Analyzed', ' 117501)']","[' 883      (Average', ' 133.07 Last', ' 1639)']",[' 1754.5  '],"[' 735      (Average Length', ' 349.05 Splits', ' 0)']","[' 117501   (Deleted', ' 107629)']","[' 62       (Ratio', '   0.05%)']","[' 890      (Ratio', '   0.76%)']","[' 117501   (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 117501   (Average', '  7.29 Max', ' 2355 Sum', ' 856762)']","[' 117419   (Average', '  7.16 Max', ' 2355 Sum', ' 840969 Ratio', '  98.16%)']","[' 82       (Average', ' 192.60 Max', ' 605 Sum', '  15793 Ratio', '   1.84%)']", ,[' 75772   '],[' 3256    '],[' 75717   '],[' 43461   '],"[' 130379   (Atom=Atom', ' 40953 Body=Body', ' 22331 Other', ' 67095)']",[' Yes'],"[' 3951     (Eliminated', '    0 Frozen', ' 3951)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.768374'],[' 0'], ,[' 5.10517'],[' 0'],[' 0.136514'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30262e+07'],[' 1.18491e+07'],[' 0'],[' 4.58513e+08'],[' 0'],[' 0'],[' 629 '],[' 1038 '],[' 1574 '],[' 1984 '],[' 2453 '],[' 2878 '],[' 3432 '],[' 0 '],[' 7 ']
Solving...,TA55, , ,[' 1573'],[' 794'],"[' 205.846s (Solving', ' 202.33s 1st Model', ' 1.94s Unsat', ' 53.92s)']",[' 205.125s'], ,[' 27108959'],"[' 14433669 (Analyzed', ' 14405014)']","[' 26358    (Average', ' 546.51 Last', ' 5451)']",[' 1560.9  '],"[' 794      (Average Length', ' 374.88 Splits', ' 0)']","[' 14405014 (Deleted', ' 14127830)']","[' 77       (Ratio', '   0.00%)']","[' 1611     (Ratio', '   0.01%)']","[' 14405014 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14405014 (Average', '  1.79 Max', ' 2089 Sum', ' 25813387)']","[' 14404773 (Average', '  1.79 Max', ' 2089 Sum', ' 25787559 Ratio', '  99.90%)']","[' 241      (Average', ' 107.17 Max', ' 655 Sum', '  25828 Ratio', '   0.10%)']", ,[' 74276   '],[' 3205    '],[' 74264   '],[' 41329   '],"[' 123983   (Atom=Atom', ' 38872 Body=Body', ' 22280 Other', ' 62831)']",[' Yes'],"[' 3943     (Eliminated', '    0 Frozen', ' 3943)']","[' 129      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.771896'],[' 0'], ,[' 115.613'],[' 0'],[' 3.52377'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.03252e+07'],[' 4.71016e+07'],[' 0'],[' 9.28685e+09'],[' 0'],[' 0'],[' 536 '],[' 1024 '],[' 1464 '],[' 1948 '],[' 2463 '],[' 2922 '],[' 3294 '],[' 1 '],[' 6 ']
Solving...,TA56, , ,[' 1197'],[' 606'],"[' 154.960s (Solving', ' 152.18s 1st Model', ' 1.60s Unsat', ' 4.82s)']",[' 154.828s'], ,[' 12811045'],"[' 7041950  (Analyzed', ' 7018716)']","[' 13265    (Average', ' 529.12 Last', ' 216534)']",[' 1709.3  '],"[' 606      (Average Length', ' 294.71 Splits', ' 0)']","[' 7018716  (Deleted', ' 6903741)']","[' 55       (Ratio', '   0.00%)']","[' 1321     (Ratio', '   0.02%)']","[' 7018716  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7018716  (Average', '  1.68 Max', ' 2132 Sum', ' 11800615)']","[' 7018513  (Average', '  1.68 Max', ' 2132 Sum', ' 11765401 Ratio', '  99.70%)']","[' 203      (Average', ' 173.47 Max', ' 466 Sum', '  35214 Ratio', '   0.30%)']", ,[' 74346   '],[' 3186    '],[' 74178   '],[' 41486   '],"[' 124454   (Atom=Atom', ' 39048 Body=Body', ' 22261 Other', ' 63145)']",[' Yes'],"[' 3768     (Eliminated', '    0 Frozen', ' 3768)']","[' 109      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.705856'],[' 0'], ,[' 110.438'],[' 0'],[' 2.26601'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.97878e+07'],[' 2.21912e+07'],[' 0'],[' 1.12774e+10'],[' 0'],[' 0'],[' 575 '],[' 1180 '],[' 1600 '],[' 2089 '],[' 2517 '],[' 2960 '],[' 3411 '],[' 1 '],[' 6 ']
Solving...,TA57, , ,[' 1439'],[' 727'],"[' 181.380s (Solving', ' 177.66s 1st Model', ' 1.92s Unsat', ' 29.48s)']",[' 180.781s'], ,[' 18476157'],"[' 12470198 (Analyzed', ' 12434838)']","[' 24131    (Average', ' 515.31 Last', ' 8753)']",[' 1671.6  '],"[' 727      (Average Length', ' 345.77 Splits', ' 0)']","[' 12434838 (Deleted', ' 12247473)']","[' 63       (Ratio', '   0.00%)']","[' 1294     (Ratio', '   0.01%)']","[' 12434838 (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12434838 (Average', '  1.38 Max', ' 2222 Sum', ' 17216903)']","[' 12434689 (Average', '  1.38 Max', ' 2222 Sum', ' 17201583 Ratio', '  99.91%)']","[' 149      (Average', ' 102.82 Max', ' 302 Sum', '  15320 Ratio', '   0.09%)']", ,[' 75133   '],[' 3220    '],[' 75068   '],[' 42253   '],"[' 126755   (Atom=Atom', ' 39781 Body=Body', ' 22295 Other', ' 64679)']",[' Yes'],"[' 3905     (Eliminated', '    0 Frozen', ' 3905)']","[' 71       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.765484'],[' 0'], ,[' 99.8652'],[' 0'],[' 2.95157'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.51536e+07'],[' 2.75336e+07'],[' 0'],[' 8.00253e+09'],[' 0'],[' 0'],[' 751 '],[' 1220 '],[' 1664 '],[' 2134 '],[' 2597 '],[' 3160 '],[' 3605 '],[' 1 '],[' 6 ']
Solving...,TA58, , ,[' 1527'],[' 771'],"[' 156.556s (Solving', ' 153.42s 1st Model', ' 2.20s Unsat', ' 4.59s)']",[' 156.313s'], ,[' 19342843'],"[' 12470166 (Analyzed', ' 12417221)']","[' 23102    (Average', ' 537.50 Last', ' 22603)']",[' 1627.2  '],"[' 771      (Average Length', ' 364.21 Splits', ' 0)']","[' 12417221 (Deleted', ' 12251504)']","[' 70       (Ratio', '   0.00%)']","[' 1308     (Ratio', '   0.01%)']","[' 12417221 (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12417221 (Average', '  1.45 Max', ' 2231 Sum', ' 18038354)']","[' 12417104 (Average', '  1.45 Max', ' 2231 Sum', ' 18031187 Ratio', '  99.96%)']","[' 117      (Average', ' 61.26 Max', ' 376 Sum', '   7167 Ratio', '   0.04%)']", ,[' 74875   '],[' 3212    '],[' 74845   '],[' 42365   '],"[' 127091   (Atom=Atom', ' 39901 Body=Body', ' 22287 Other', ' 64903)']",[' Yes'],"[' 3932     (Eliminated', '    0 Frozen', ' 3932)']","[' 60       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.744715'],[' 0'], ,[' 73.9114'],[' 0'],[' 2.42431'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.13387e+07'],[' 3.17051e+07'],[' 0'],[' 5.22836e+09'],[' 0'],[' 0'],[' 613 '],[' 979 '],[' 1517 '],[' 1977 '],[' 2520 '],[' 2940 '],[' 3365 '],[' 1 '],[' 6 ']
Solving...,TA59, , ,[' 1499'],[' 757'],"[' 75.505s (Solving', ' 71.93s 1st Model', ' 2.47s Unsat', ' 65.43s)']",[' 75.281s'], ,[' 10684349'],"[' 5533475  (Analyzed', ' 5508070)']","[' 10654    (Average', ' 517.00 Last', ' 10935)']",[' 1715.6  '],"[' 757      (Average Length', ' 364.59 Splits', ' 0)']","[' 5508070  (Deleted', ' 5420037)']","[' 87       (Ratio', '   0.00%)']","[' 1504     (Ratio', '   0.03%)']","[' 5508070  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5508070  (Average', '  1.73 Max', ' 2184 Sum', ' 9526143)']","[' 5507905  (Average', '  1.73 Max', ' 2184 Sum', ' 9517781 Ratio', '  99.91%)']","[' 165      (Average', ' 50.68 Max', ' 1041 Sum', '   8362 Ratio', '   0.09%)']", ,[' 74556   '],[' 3193    '],[' 74531   '],[' 41870   '],"[' 125606   (Atom=Atom', ' 39425 Body=Body', ' 22268 Other', ' 63913)']",[' Yes'],"[' 3918     (Eliminated', '    0 Frozen', ' 3918)']","[' 73       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.81362'],[' 0'], ,[' 38.0034'],[' 0'],[' 1.34233'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.50221e+07'],[' 2.21677e+07'],[' 0'],[' 2.97824e+09'],[' 0'],[' 0'],[' 476 '],[' 940 '],[' 1396 '],[' 1817 '],[' 2387 '],[' 2870 '],[' 3338 '],[' 0 '],[' 7 ']
Solving...,TA60, , ,[' 1505'],[' 760'],"[' 27.062s (Solving', ' 23.72s 1st Model', ' 1.76s Unsat', ' 17.97s)']",[' 26.906s'], ,[' 2716926 '],"[' 540825   (Analyzed', ' 492951)']","[' 1604     (Average', ' 307.33 Last', ' 224)']",[' 1732.0  '],"[' 760      (Average Length', ' 362.41 Splits', ' 0)']","[' 492951   (Deleted', ' 476471)']","[' 88       (Ratio', '   0.02%)']","[' 1121     (Ratio', '   0.23%)']","[' 492951   (Average Length', '    9.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 492951   (Average', '  3.35 Max', ' 2223 Sum', ' 1650441)']","[' 492803   (Average', '  3.30 Max', ' 2223 Sum', ' 1626046 Ratio', '  98.52%)']","[' 148      (Average', ' 164.83 Max', ' 1894 Sum', '  24395 Ratio', '   1.48%)']", ,[' 74707   '],[' 3170    '],[' 74678   '],[' 42244   '],"[' 126728   (Atom=Atom', ' 39822 Body=Body', ' 22245 Other', ' 64661)']",[' Yes'],"[' 3891     (Eliminated', '    0 Frozen', ' 3891)']","[' 18       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.784337'],[' 0'], ,[' 17.1175'],[' 0'],[' 0.352053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53952e+07'],[' 1.36283e+07'],[' 0'],[' 2.47582e+09'],[' 0'],[' 0'],[' 574 '],[' 895 '],[' 1423 '],[' 1867 '],[' 2319 '],[' 2726 '],[' 3148 '],[' 0 '],[' 7 ']
