Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 5287+'],[' 2652'],"[' 1012.176s (Solving', ' 963.86s 1st Model', ' 82.22s Unsat', ' 0.00s)']",[' 1004.875s'], ,[' 88260591'],"[' 9683158  (Analyzed', ' 9252474)']","[' 19349    (Average', ' 478.19 Last', ' 13059)']",[' 6486.1  '],"[' 2652     (Average Length', ' 1222.91 Splits', ' 0)']","[' 9252474  (Deleted', ' 9113939)']","[' 28       (Ratio', '   0.00%)']","[' 14728    (Ratio', '   0.16%)']","[' 9252474  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9252474  (Average', '  8.15 Max', ' 8381 Sum', ' 75436311)']","[' 9250557  (Average', '  7.94 Max', ' 8381 Sum', ' 73442116 Ratio', '  97.36%)']","[' 1917     (Average', ' 1040.27 Max', ' 1918 Sum', ' 1994195 Ratio', '   2.64%)']", ,[' 365452  '],[' 13957   '],[' 365848  '],[' 211205  '],"[' 633611   (Atom=Atom', ' 199246 Body=Body', ' 114857 Other', ' 319508)']",[' Yes'],"[' 16353    (Eliminated', '    0 Frozen', ' 16353)']","[' 2953     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.0463'],[' 0'], ,[' 829.334'],[' 0'],[' 13.3608'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.01271e+08'],[' 3.64616e+08'],[' 0'],[' 1.04565e+11'],[' 0'],[' 0'],[' 1040 '],[' 1929 '],[' 2976 '],[' 3614 '],[' 4354 '],[' 5150 '],[' 5862 '],[' 6555 '],[' 8 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 5225+'],[' 2621'],"[' 1013.603s (Solving', ' 966.01s 1st Model', ' 147.03s Unsat', ' 0.00s)']",[' 1002.297s'], ,[' 94668089'],"[' 10495183 (Analyzed', ' 10172831)']","[' 21315    (Average', ' 477.26 Last', ' 53780)']",[' 5835.8  '],"[' 2621     (Average Length', ' 1207.36 Splits', ' 0)']","[' 10172831 (Deleted', ' 10001582)']","[' 29       (Ratio', '   0.00%)']","[' 18860    (Ratio', '   0.19%)']","[' 10172831 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10172831 (Average', '  8.24 Max', ' 7529 Sum', ' 83867488)']","[' 10170784 (Average', '  8.04 Max', ' 7529 Sum', ' 81813872 Ratio', '  97.55%)']","[' 2047     (Average', ' 1003.23 Max', ' 1951 Sum', ' 2053616 Ratio', '   2.45%)']", ,[' 360982  '],[' 13765   '],[' 361361  '],[' 207090  '],"[' 621266   (Atom=Atom', ' 195323 Body=Body', ' 114665 Other', ' 311278)']",[' Yes'],"[' 16144    (Eliminated', '    0 Frozen', ' 16144)']","[' 3521     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.83377'],[' 0'], ,[' 825.051'],[' 0'],[' 14.1691'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.30115e+08'],[' 3.88526e+08'],[' 0'],[' 9.91203e+10'],[' 0'],[' 0'],[' 779 '],[' 1459 '],[' 2183 '],[' 2931 '],[' 3591 '],[' 4278 '],[' 5039 '],[' 5709 '],[' 8 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 5507+'],[' 2762'],"[' 1010.379s (Solving', ' 965.72s 1st Model', ' 129.95s Unsat', ' 0.00s)']",[' 1007.031s'], ,[' 123948045'],"[' 11305663 (Analyzed', ' 10899813)']","[' 22872    (Average', ' 476.56 Last', ' 31688)']",[' 6004.4  '],"[' 2762     (Average Length', ' 1237.38 Splits', ' 0)']","[' 10899813 (Deleted', ' 10732616)']","[' 62       (Ratio', '   0.00%)']","[' 22889    (Ratio', '   0.21%)']","[' 10899813 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10899813 (Average', ' 10.25 Max', ' 7499 Sum', ' 111673616)']","[' 10898041 (Average', ' 10.08 Max', ' 7499 Sum', ' 109856292 Ratio', '  98.37%)']","[' 1772     (Average', ' 1025.58 Max', ' 2035 Sum', ' 1817324 Ratio', '   1.63%)']", ,[' 364322  '],[' 13893   '],[' 364729  '],[' 210457  '],"[' 631367   (Atom=Atom', ' 198562 Body=Body', ' 114793 Other', ' 318012)']",[' Yes'],"[' 16300    (Eliminated', '    0 Frozen', ' 16300)']","[' 4461     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.30382'],[' 0'], ,[' 813.561'],[' 0'],[' 14.5927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.1426e+08'],[' 4.62174e+08'],[' 0'],[' 1.05382e+11'],[' 0'],[' 0'],[' 1089 '],[' 1858 '],[' 2516 '],[' 3284 '],[' 3952 '],[' 4700 '],[' 5413 '],[' 6068 '],[' 8 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 5051+'],[' 2534'],"[' 1007.226s (Solving', ' 965.06s 1st Model', ' 88.71s Unsat', ' 0.00s)']",[' 1007.859s'], ,[' 88072755'],"[' 11351249 (Analyzed', ' 10997279)']","[' 22723    (Average', ' 483.97 Last', ' 57118)']",[' 6053.2  '],"[' 2534     (Average Length', ' 1165.59 Splits', ' 0)']","[' 10997279 (Deleted', ' 10827713)']","[' 26       (Ratio', '   0.00%)']","[' 14655    (Ratio', '   0.13%)']","[' 10997279 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10997279 (Average', '  6.99 Max', ' 8086 Sum', ' 76882847)']","[' 10995236 (Average', '  6.81 Max', ' 8086 Sum', ' 74905318 Ratio', '  97.43%)']","[' 2043     (Average', ' 967.95 Max', ' 1905 Sum', ' 1977529 Ratio', '   2.57%)']", ,[' 362188  '],[' 13837   '],[' 362492  '],[' 208469  '],"[' 625403   (Atom=Atom', ' 196630 Body=Body', ' 114737 Other', ' 314036)']",[' Yes'],"[' 16141    (Eliminated', '    0 Frozen', ' 16141)']","[' 2426     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.83462'],[' 0'], ,[' 842.518'],[' 0'],[' 12.8867'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.96627e+08'],[' 3.54821e+08'],[' 0'],[' 1.10635e+11'],[' 0'],[' 0'],[' 928 '],[' 1557 '],[' 2425 '],[' 3239 '],[' 3909 '],[' 4658 '],[' 5332 '],[' 6021 '],[' 8 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 5581+'],[' 2799'],"[' 1009.689s (Solving', ' 960.37s 1st Model', ' 165.93s Unsat', ' 0.00s)']",[' 1007.344s'], ,[' 114964777'],"[' 9910975  (Analyzed', ' 9636622)']","[' 19491    (Average', ' 494.41 Last', ' 325114)']",[' 5816.6  '],"[' 2799     (Average Length', ' 1276.97 Splits', ' 0)']","[' 9636622  (Deleted', ' 9480367)']","[' 74       (Ratio', '   0.00%)']","[' 22037    (Ratio', '   0.23%)']","[' 9636622  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9636622  (Average', ' 10.77 Max', ' 7605 Sum', ' 103761299)']","[' 9634654  (Average', ' 10.54 Max', ' 7605 Sum', ' 101533892 Ratio', '  97.85%)']","[' 1968     (Average', ' 1131.81 Max', ' 2080 Sum', ' 2227407 Ratio', '   2.15%)']", ,[' 364738  '],[' 14007   '],[' 365246  '],[' 210532  '],"[' 631592   (Atom=Atom', ' 198523 Body=Body', ' 114907 Other', ' 318162)']",[' Yes'],"[' 16515    (Eliminated', '    0 Frozen', ' 16515)']","[' 4302     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3363'],[' 0'], ,[' 810.073'],[' 0'],[' 14.3798'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.06408e+08'],[' 4.56635e+08'],[' 0'],[' 9.73918e+10'],[' 0'],[' 0'],[' 996 '],[' 1746 '],[' 2503 '],[' 3193 '],[' 4034 '],[' 4867 '],[' 5622 '],[' 6312 '],[' 8 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 5583+'],[' 2800'],"[' 1011.772s (Solving', ' 961.61s 1st Model', ' 199.84s Unsat', ' 0.00s)']",[' 1008.641s'], ,[' 115584185'],"[' 8590083  (Analyzed', ' 8286219)']","[' 18199    (Average', ' 455.31 Last', ' 196594)']",[' 5425.2  '],"[' 2800     (Average Length', ' 1261.22 Splits', ' 0)']","[' 8286219  (Deleted', ' 8144877)']","[' 56       (Ratio', '   0.00%)']","[' 26057    (Ratio', '   0.31%)']","[' 8286219  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8286219  (Average', ' 12.66 Max', ' 7323 Sum', ' 104903661)']","[' 8284501  (Average', ' 12.45 Max', ' 7323 Sum', ' 103158911 Ratio', '  98.34%)']","[' 1718     (Average', ' 1015.57 Max', ' 2114 Sum', ' 1744750 Ratio', '   1.66%)']", ,[' 361682  '],[' 13815   '],[' 362155  '],[' 207813  '],"[' 623435   (Atom=Atom', ' 195996 Body=Body', ' 114715 Other', ' 312724)']",[' Yes'],"[' 16288    (Eliminated', '    0 Frozen', ' 16288)']","[' 4576     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.2427'],[' 0'], ,[' 799.869'],[' 0'],[' 14.5303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.04548e+08'],[' 4.56074e+08'],[' 0'],[' 9.10544e+10'],[' 0'],[' 0'],[' 905 '],[' 1600 '],[' 2366 '],[' 3046 '],[' 3705 '],[' 4451 '],[' 5098 '],[' 5795 '],[' 8 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 5231+'],[' 2624'],"[' 1010.538s (Solving', ' 965.80s 1st Model', ' 143.82s Unsat', ' 0.00s)']",[' 1005.391s'], ,[' 116738590'],"[' 12915581 (Analyzed', ' 12512340)']","[' 25969    (Average', ' 481.82 Last', ' 26817)']",[' 6211.6  '],"[' 2624     (Average Length', ' 1216.91 Splits', ' 0)']","[' 12512340 (Deleted', ' 12326470)']","[' 42       (Ratio', '   0.00%)']","[' 20877    (Ratio', '   0.17%)']","[' 12512340 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12512340 (Average', '  8.36 Max', ' 7744 Sum', ' 104577487)']","[' 12510633 (Average', '  8.21 Max', ' 7744 Sum', ' 102712515 Ratio', '  98.22%)']","[' 1707     (Average', ' 1092.54 Max', ' 2055 Sum', ' 1864972 Ratio', '   1.78%)']", ,[' 363244  '],[' 13820   '],[' 363610  '],[' 211638  '],"[' 634910   (Atom=Atom', ' 199816 Body=Body', ' 114720 Other', ' 320374)']",[' Yes'],"[' 16186    (Eliminated', '    0 Frozen', ' 16186)']","[' 4087     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.51803'],[' 0'], ,[' 796.744'],[' 0'],[' 14.3548'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.92939e+08'],[' 4.38721e+08'],[' 0'],[' 9.74357e+10'],[' 0'],[' 0'],[' 878 '],[' 1560 '],[' 2414 '],[' 3072 '],[' 3794 '],[' 4498 '],[' 5239 '],[' 5927 '],[' 8 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 5025+'],[' 2521'],"[' 1009.838s (Solving', ' 967.78s 1st Model', ' 192.50s Unsat', ' 0.00s)']",[' 1004.063s'], ,[' 113730040'],"[' 10252129 (Analyzed', ' 9846213)']","[' 20334    (Average', ' 484.22 Last', ' 120606)']",[' 5902.9  '],"[' 2521     (Average Length', ' 1150.88 Splits', ' 0)']","[' 9846213  (Deleted', ' 9701631)']","[' 43       (Ratio', '   0.00%)']","[' 21103    (Ratio', '   0.21%)']","[' 9846213  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9846213  (Average', ' 10.43 Max', ' 7789 Sum', ' 102691705)']","[' 9844321  (Average', ' 10.25 Max', ' 7789 Sum', ' 100892263 Ratio', '  98.25%)']","[' 1892     (Average', ' 951.08 Max', ' 1840 Sum', ' 1799442 Ratio', '   1.75%)']", ,[' 363364  '],[' 13881   '],[' 363635  '],[' 209480  '],"[' 628436   (Atom=Atom', ' 197597 Body=Body', ' 114781 Other', ' 316058)']",[' Yes'],"[' 16152    (Eliminated', '    0 Frozen', ' 16152)']","[' 3824     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.86256'],[' 0'], ,[' 822.828'],[' 0'],[' 14.133'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.7434e+08'],[' 4.26207e+08'],[' 0'],[' 1.06224e+11'],[' 0'],[' 0'],[' 1022 '],[' 1657 '],[' 2423 '],[' 3103 '],[' 3788 '],[' 4658 '],[' 5397 '],[' 6051 '],[' 8 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 4787+'],[' 2402'],"[' 1009.508s (Solving', ' 968.99s 1st Model', ' 60.93s Unsat', ' 0.02s)']",[' 1003.453s'], ,[' 93826212'],"[' 10903603 (Analyzed', ' 10572511)']","[' 22065    (Average', ' 479.15 Last', ' 59309)']",[' 5845.7  '],"[' 2402     (Average Length', ' 1106.20 Splits', ' 0)']","[' 10572511 (Deleted', ' 10404954)']","[' 20       (Ratio', '   0.00%)']","[' 14747    (Ratio', '   0.14%)']","[' 10572511 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10572511 (Average', '  7.91 Max', ' 8189 Sum', ' 83630486)']","[' 10570478 (Average', '  7.72 Max', ' 8189 Sum', ' 81623712 Ratio', '  97.60%)']","[' 2033     (Average', ' 987.10 Max', ' 1851 Sum', ' 2006774 Ratio', '   2.40%)']", ,[' 363952  '],[' 13985   '],[' 364151  '],[' 209431  '],"[' 628289   (Atom=Atom', ' 197444 Body=Body', ' 114885 Other', ' 315960)']",[' Yes'],"[' 16184    (Eliminated', '    0 Frozen', ' 16184)']","[' 2864     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.31435'],[' 0'], ,[' 840.08'],[' 0'],[' 13.1048'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.88808e+08'],[' 3.48574e+08'],[' 0'],[' 1.04139e+11'],[' 0'],[' 0'],[' 952 '],[' 1637 '],[' 2295 '],[' 2988 '],[' 3766 '],[' 4480 '],[' 5242 '],[' 5912 '],[' 8 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 4583+'],[' 2300'],"[' 1008.441s (Solving', ' 969.50s 1st Model', ' 159.39s Unsat', ' 0.00s)']",[' 1005.563s'], ,[' 101975158'],"[' 12202418 (Analyzed', ' 11925956)']","[' 23883    (Average', ' 499.35 Last', ' 71836)']",[' 6165.8  '],"[' 2300     (Average Length', ' 1082.71 Splits', ' 0)']","[' 11925956 (Deleted', ' 11772490)']","[' 37       (Ratio', '   0.00%)']","[' 19489    (Ratio', '   0.16%)']","[' 11925956 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11925956 (Average', '  7.62 Max', ' 8551 Sum', ' 90844806)']","[' 11924334 (Average', '  7.50 Max', ' 8551 Sum', ' 89451631 Ratio', '  98.47%)']","[' 1622     (Average', ' 858.92 Max', ' 1733 Sum', ' 1393175 Ratio', '   1.53%)']", ,[' 365402  '],[' 14034   '],[' 365552  '],[' 211440  '],"[' 634316   (Atom=Atom', ' 199404 Body=Body', ' 114934 Other', ' 319978)']",[' Yes'],"[' 16184    (Eliminated', '    0 Frozen', ' 16184)']","[' 3311     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.25339'],[' 0'], ,[' 830.275'],[' 0'],[' 13.04'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.38223e+08'],[' 3.9025e+08'],[' 0'],[' 1.05128e+11'],[' 0'],[' 0'],[' 887 '],[' 1676 '],[' 2465 '],[' 3146 '],[' 3923 '],[' 4786 '],[' 5480 '],[' 6181 '],[' 8 '],[' 0 ']
